Polling Station No,KUMARAN. G.P,SUBRAMANIAN. MA,SRIVIDYA. G,ARUL PRAKASAM. M,SENTHAMIZHAN. G,SOUNDARARAJAN. N,PARTHIBAN. S,ANAND. S,KANDHASAMY. R (ALIAS) BABU,PRASAD. N,PRITHVIRAJ. A,YOGAPRAKASH. B,RAJA. R,VALARMATHI. P,GINGSTON. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,2,165,13,240,46,0,4,0,0,0,0,0,0,0,0,470,0,3,473,0
67,1,142,14,241,53,0,4,1,0,0,0,1,2,1,0,460,0,0,460,0
68,1,149,12,280,40,0,1,0,0,0,0,0,1,3,0,487,0,4,491,0
69,4,153,20,330,78,0,1,1,1,1,0,0,1,2,0,592,0,2,594,0
70,2,140,16,295,40,1,0,0,0,0,0,0,2,1,0,497,0,8,505,0
71,1,132,24,270,49,0,1,0,0,0,1,0,0,0,1,479,0,3,482,0
72,1,170,19,292,45,1,0,0,0,0,0,2,0,0,0,530,0,4,534,0
73,5,138,23,260,61,2,0,0,0,0,0,0,0,1,0,490,0,3,493,0
74,1,252,12,328,53,0,0,0,0,1,0,0,0,0,0,647,0,1,648,0
75,2,174,23,323,69,0,0,0,0,0,0,0,2,1,1,595,0,5,600,0
76,1,182,22,303,62,3,1,0,0,0,1,0,0,0,1,576,0,7,583,0
77,3,171,15,311,52,0,0,0,0,0,0,1,1,0,1,555,0,1,556,0
78,1,206,26,407,70,1,0,0,0,2,1,0,0,0,0,714,0,0,714,0
79,3,173,22,251,137,0,2,0,0,0,0,0,1,1,0,590,0,5,595,0
80,1,120,18,297,62,1,1,0,0,0,0,1,1,1,0,503,0,1,504,0
81,3,210,34,245,60,0,0,0,1,0,1,0,1,0,0,555,0,2,557,1
82,1,204,37,323,50,1,2,0,0,0,0,0,1,0,0,619,0,1,620,0
83,0,149,22,237,52,0,1,0,0,1,0,1,0,0,0,463,0,0,463,0
84,1,372,19,319,65,2,0,0,0,0,0,0,1,0,0,779,0,4,783,0
85,4,167,15,310,75,0,0,0,0,0,0,0,1,0,0,572,0,1,573,0
86,0,362,8,178,21,1,0,0,1,0,0,0,1,0,0,572,0,4,576,0
87,3,282,14,225,76,0,0,0,0,0,0,1,2,0,0,603,0,6,609,0
88,0,195,26,295,91,2,1,0,0,0,1,1,1,2,0,615,0,8,623,0
89,2,169,21,239,53,0,0,0,0,1,0,0,2,0,5,492,0,5,497,0
90,2,170,19,261,46,0,0,0,0,0,0,1,1,1,0,501,0,1,502,0
91,3,215,16,338,70,0,0,0,0,4,0,2,4,2,0,654,0,3,657,0
92,2,193,32,337,52,0,1,0,0,0,0,0,0,2,1,620,0,5,625,0
93,0,216,24,376,68,0,1,1,1,0,0,0,0,0,0,687,0,6,693,0
94,e 22,245,16,450,59,0,1,0,0,2,0,1,1,1,1,779,0,3,782,1
95,2,136,6,305,32,0,0,0,0,0,1,0,0,0,0,482,0,0,482,0
96,2,231,2,504,32,2,3,0,1,0,0,0,7,2,1,787,0,2,789,0
97,1,252,20,362,39,1,0,1,0,0,2,0,0,1,0,679,0,0,679,0
98,1,208,15,350,21,0,0,0,0,0,0,1,1,0,2,599,0,2,601,0
99,3,228,33,401,90,2,0,1,1,0,1,0,1,1,0,762,0,7,769,0
100,1,211,17,381,54,1,0,0,1,0,0,0,0,0,1,667,0,6,673,0
101,0,161,8,272,25,0,0,0,1,0,0,0,3,0,1,471,0,0,471,0
102,1,197,8,267,18,0,0,0,0,2,0,0,0,1,1,495,0,2,497,0
103,1,88,13,214,75,0,2,0,0,0,0,1,0,1,3,398,0,8,406,0
104,1,158,16,265,89,1,1,0,0,0,0,0,0,1,0,532,0,4,536,0
105,4,204,8,207,46,0,0,0,0,0,0,1,1,0,0,471,0,3,474,0
106,1,196,17,149,51,0,0,0,0,0,0,0,0,0,1,415,0,1,416,0
107,5,172,25,188,128,0,0,0,0,1,0,1,1,0,2,523,0,6,529,0
108,1,167,5,156,30,1,2,0,0,0,1,0,1,0,0,364,0,2,366,0
109,0,150,12,248,69,1,0,0,0,0,1,1,0,0,0,482,0,1,483,0
110,2,176,24,240,46,1,0,0,0,0,0,0,0,0,1,490,0,4,494,0
111,1,106,9,230,56,0,0,1,0,0,0,0,3,0,0,406,0,3,409,0
112,0,131,16,228,38,0,1,1,0,0,0,0,5,0,0,420,0,1,421,0
113,0,162,25,239,60,0,0,0,0,0,0,1,0,0,0,487,0,1,488,0
114,0,148,26,205,59,1,0,1,0,0,0,0,1,1,1,443,0,9,452,0
115,0,199,21,378,101,0,0,0,0,0,0,0,1,0,0,700,0,3,703,0
116,0,169,10,234,70,0,0,0,0,0,0,0,0,0,0,483,0,5,488,0
117,1,203,32,374,46,0,1,0,0,0,0,1,0,0,1,659,0,2,661,0
118,1,159,14,298,30,0,0,1,0,1,1,1,1,0,1,508,0,1,509,0
119,0,184,10,237,27,0,1,0,0,0,0,1,0,0,0,460,0,0,460,0
120,1,142,27,367,36,1,0,1,0,1,0,0,2,0,0,578,0,2,580,0
121,1,249,20,368,69,0,0,2,0,0,1,4,0,0,0,714,0,0,714,0
122,2,141,9,212,23,0,0,0,0,0,0,0,0,0,1,388,0,1,389,0
123,2,180,13,294,40,0,0,0,0,0,0,0,0,0,1,530,0,0,530,0
124,4,223,14,426,40,0,1,1,0,0,1,0,1,0,1,712,0,5,717,0
125,4,173,9,282,45,0,0,1,0,0,1,2,1,0,0,518,0,2,520,0
126,0,171,9,249,36,0,0,0,1,0,0,0,0,0,0,466,0,1,467,0
127,2,180,13,336,26,0,1,0,1,1,1,1,1,1,0,564,0,0,564,0
128,4,226,14,390,33,1,0,0,0,1,0,1,2,0,0,672,0,4,676,0
129,4,187,25,215,54,1,0,0,0,0,1,0,1,0,0,488,0,2,490,0
130,0,267,19,305,34,0,1,0,0,0,0,1,2,0,1,630,0,0,630,0
131,1,293,13,254,24,0,0,0,0,0,1,1,0,1,0,588,0,2,590,0
132,1,281,7,193,27,0,0,0,0,0,0,1,1,2,1,514,0,1,515,0
133,0,248,13,225,36,0,0,1,2,0,0,0,3,1,0,529,0,3,532,0
134,2,219,23,325,84,0,1,0,0,0,0,1,0,0,2,657,0,5,662,0
135,0,165,11,183,47,0,0,0,0,0,1,0,0,0,1,408,0,2,410,0
136,0,143,15,195,63,2,0,0,0,1,0,0,0,0,1,420,0,4,424,0
137,1,139,14,304,31,0,0,0,0,0,0,0,0,0,1,490,0,5,495,0
138,0,156,17,332,39,2,1,0,1,0,1,0,2,1,1,553,0,5,558,0
139,0,165,22,308,64,0,0,0,0,0,2,1,1,0,0,563,0,6,569,0
140,11,210,20,372,56,0,0,0,0,0,1,1,2,0,0,673,0,5,678,0
141,e 35,230,15,543,32,1,2,1,0,0,1,2,0,3,0,835,0,1,836,0
142,2,140,20,236,96,0,0,0,0,0,2,0,1,0,0,497,0,1,498,0
143,1,120,19,106,74,0,0,0,0,0,1,0,0,0,0,321,0,1,322,0
144,2,137,16,150,93,0,0,0,0,1,1,1,0,0,0,401,0,4,405,0
145,8,180,10,350,46,1,0,0,0,0,0,0,1,0,0,596,0,0,596,0
146,0,148,9,204,24,0,0,1,1,0,0,0,0,0,1,388,0,4,392,0
147,1,109,11,266,48,0,0,0,0,0,1,1,0,0,0,437,0,1,438,0
148,0,115,18,265,42,0,2,0,2,0,0,1,2,0,0,447,0,4,451,0
149,2,116,22,254,65,0,0,0,0,0,0,0,0,0,1,460,0,1,461,0
150,2,128,23,263,76,0,0,0,0,0,0,0,0,0,0,492,0,0,492,0
151,0,205,20,269,66,1,0,0,0,0,0,0,0,1,0,562,0,7,569,0
152,4,172,16,360,45,0,0,0,0,2,0,1,1,0,0,601,0,3,604,0
153,4,213,28,340,44,0,0,0,1,1,0,1,1,0,1,634,0,0,634,0
154,3,178,18,269,53,0,0,1,0,1,0,0,0,1,0,524,0,2,526,0
155,0,87,6,167,20,0,1,0,0,0,0,0,0,0,0,281,0,1,282,0
156,1,128,9,182,34,2,0,1,0,0,0,0,1,1,0,359,0,3,362,0
157,0,211,23,275,57,0,1,0,2,1,0,1,0,1,0,572,0,2,574,0
158,3,195,21,267,34,0,1,0,3,0,0,0,3,1,0,528,0,1,529,0
159,1,243,27,374,43,1,0,0,1,0,0,0,2,2,1,695,0,2,697,0
160,1,167,10,257,34,0,1,0,0,1,0,0,1,0,1,473,0,3,476,0
161,0,172,17,235,42,1,0,0,0,0,0,0,0,2,0,469,0,0,469,0
162,7,141,31,96,145,0,0,0,1,0,0,0,0,1,1,423,0,13,436,0
163,2,146,17,154,112,0,0,1,1,1,2,0,0,3,0,439,0,10,449,0
164,1,207,18,164,209,2,0,2,0,0,0,0,1,3,1,608,0,23,631,0
165,3,238,40,411,70,0,1,0,0,0,0,1,0,1,0,765,0,3,768,0
166,3,201,36,256,77,0,0,0,1,0,0,0,0,0,0,574,0,3,577,0
167,2,197,30,328,90,0,0,0,0,0,0,1,0,0,0,648,0,2,650,0
168,3,263,19,230,32,0,2,0,0,0,0,0,0,0,1,550,0,1,551,0
169,0,194,28,267,87,0,0,0,0,0,1,0,0,0,0,577,0,1,578,0
170,1,215,23,256,72,0,0,1,2,0,0,0,2,0,0,572,0,2,574,0
171,6,237,29,266,76,0,0,0,0,0,0,0,0,0,0,614,0,5,619,0
172,3,154,18,179,48,0,0,0,0,0,0,1,0,0,0,403,0,4,407,0
173,3,286,19,345,43,1,0,0,0,0,1,2,2,0,0,702,0,0,702,0
174,1,141,19,159,49,0,0,0,0,0,0,0,0,0,0,369,0,2,371,0
175,1,251,32,320,92,2,0,0,0,0,2,0,2,2,0,704,0,8,712,0
176,1,225,27,311,79,0,0,0,0,0,0,1,0,0,1,645,0,2,647,0
177,2,265,37,240,166,0,1,0,0,1,0,0,0,2,0,714,0,9,723,0
178,4,212,34,298,60,1,0,0,0,0,0,0,0,1,0,610,0,5,615,0
179,4,257,28,405,125,1,0,0,1,0,0,0,0,1,1,823,0,7,830,0
180,3,186,28,340,122,1,3,0,0,0,0,1,0,0,1,685,0,2,687,0
181,3,239,23,413,60,0,0,0,0,2,0,4,1,1,1,747,0,0,747,0
182,0,207,28,306,40,2,0,0,0,2,0,1,1,0,0,587,0,9,596,0
183,3,208,13,308,84,0,0,0,0,0,0,0,0,0,0,616,0,0,616,0
184,4,146,13,284,45,0,0,0,0,1,0,0,0,2,0,495,0,5,500,0
185,2,139,21,229,75,1,0,0,1,0,0,1,1,1,1,472,0,6,478,0
186,2,249,31,327,48,0,0,0,0,1,0,0,1,0,1,660,0,1,661,0
187,0,130,8,102,30,0,2,0,0,0,0,0,2,1,1,276,0,4,280,0
188,e 41,98,13,104,13,0,0,0,0,0,0,0,0,0,0,229,0,3,232,0
189,0,155,8,266,44,2,0,0,1,1,0,1,3,0,1,482,0,3,485,0
190,1,56,8,226,13,0,1,0,0,0,0,1,2,0,0,308,0,2,310,0
191,1,131,12,295,40,0,1,0,1,1,0,0,2,0,0,484,0,1,485,0
192,0,252,42,358,61,0,0,1,1,0,0,0,0,0,0,715,0,7,722,0
193,1,195,21,226,54,1,0,0,0,0,0,0,0,0,0,498,0,2,500,0
194,5,191,21,304,33,2,0,1,1,0,0,0,1,0,1,560,0,1,561,0
195,1,141,8,192,20,0,0,0,0,0,0,0,1,0,0,363,0,0,363,0
196,2,156,10,188,36,0,1,0,0,0,0,0,0,0,1,394,0,3,397,0
197,4,126,20,135,45,0,0,0,0,0,0,1,0,1,0,332,0,1,333,0
198,2,317,9,259,18,1,0,0,0,0,1,0,1,0,0,608,0,1,609,0
199,0,197,11,175,36,0,0,0,0,1,0,0,3,1,1,425,0,2,427,0
200,3,229,15,405,38,3,0,0,0,0,3,0,0,0,1,697,0,1,698,0
201,1,289,26,369,45,0,1,0,0,1,1,0,0,0,0,733,0,2,735,0
202,2,311,15,355,30,0,0,0,2,1,0,0,3,0,1,720,0,2,722,0
203,4,259,19,377,33,0,0,1,0,3,1,2,3,1,0,703,0,3,706,0
204,10,265,16,174,30,0,0,0,0,0,0,0,1,0,0,496,0,2,498,0
205,0,175,8,224,20,1,1,0,0,0,0,0,0,0,0,429,0,1,430,0
206,2,303,20,285,25,1,0,0,0,0,0,0,0,0,0,636,0,3,639,0
207,4,92,25,122,118,0,0,0,0,0,0,1,1,0,0,363,0,4,367,0
208,2,137,15,136,126,0,0,0,0,0,0,0,0,0,0,416,0,9,425,0
209,1,234,22,183,79,2,0,0,0,0,0,0,0,0,0,521,0,7,528,0
210,4,231,27,281,53,0,1,0,0,0,0,2,2,1,0,602,0,2,604,0
211,1,245,20,345,42,0,1,0,0,1,0,0,1,0,1,657,0,5,662,0
212,3,210,11,200,45,0,0,0,0,0,0,0,1,1,0,471,0,4,475,0
213,0,88,8,78,21,1,0,0,0,0,0,0,1,0,0,197,0,2,199,0
214,0,239,41,324,79,0,0,0,0,0,0,1,1,0,0,685,0,4,689,0
215,3,235,32,403,77,1,0,0,0,1,1,0,2,0,0,755,0,5,760,0
216,2,166,11,267,99,0,0,1,0,2,0,1,0,0,1,550,0,6,556,0
217,5,244,21,430,87,0,0,0,0,0,2,1,0,0,1,791,0,2,793,0
218,3,172,28,330,61,1,0,1,0,1,0,1,2,0,0,600,0,0,600,0
219,3,110,35,314,76,0,0,0,0,0,0,0,0,0,0,538,0,1,539,0
220,3,165,39,369,68,1,0,1,0,0,1,0,1,1,1,650,0,1,651,0
221,6,179,30,402,75,1,0,1,1,2,0,1,1,0,0,699,0,1,700,0
222,4,175,31,277,57,1,0,0,0,0,1,0,0,0,0,546,0,4,550,0
223,2,140,27,250,53,1,0,0,0,0,0,0,1,1,0,475,0,3,478,0
224,3,287,19,310,54,0,0,1,0,0,0,1,1,0,0,676,0,1,677,0
225,3,172,24,263,58,0,1,0,0,0,0,0,0,0,0,521,0,2,523,0
226,2,192,30,279,62,0,1,0,2,0,0,1,0,1,1,571,0,1,572,0
227,4,195,26,326,101,0,1,0,0,1,0,1,1,0,1,657,0,3,660,0
228,2,187,30,291,66,0,0,1,0,0,0,0,0,1,0,578,0,3,581,0
229,2,152,30,315,65,1,0,0,0,0,0,0,0,0,0,565,0,2,567,0
230,2,189,35,285,52,2,1,0,0,0,0,1,0,1,0,568,0,7,575,0
231,1,221,29,339,129,0,0,0,0,0,1,0,0,1,0,721,0,8,729,0
232,2,136,26,216,79,0,0,0,0,0,0,0,0,0,0,459,0,6,465,0
233,2,256,24,453,59,0,0,0,1,0,2,4,2,0,0,803,0,2,805,0
234,0,236,14,391,32,0,0,0,0,1,0,0,4,1,2,681,0,0,681,0
235,e 51,221,32,347,74,1,1,0,0,0,0,2,1,0,0,680,0,8,688,0
236,1,285,37,381,77,0,1,1,0,0,1,1,1,0,0,786,0,3,789,0
237,4,205,30,364,66,1,1,0,0,0,1,1,4,0,0,677,0,5,682,0
238,1,206,21,346,59,0,1,0,0,0,0,1,3,2,0,640,0,3,643,0
239,3,214,26,316,106,0,0,0,1,0,1,0,3,1,1,672,0,6,678,0
240,5,195,19,347,66,1,2,1,0,0,0,0,5,1,1,643,0,2,645,0
241,3,279,33,345,49,0,0,0,0,0,0,0,0,1,2,712,0,5,717,0
242,4,113,16,122,51,1,0,0,0,0,0,1,0,2,1,311,0,19,330,0
243,5,181,33,167,102,0,0,0,1,0,0,2,0,3,0,494,0,13,507,0
244,3,185,17,213,87,2,0,0,0,0,1,0,3,1,0,512,0,14,526,0
245,3,274,23,409,81,0,0,0,0,0,0,0,0,0,2,792,0,1,793,0
246,5,212,9,237,42,0,2,1,0,2,0,0,1,1,0,512,0,6,518,0
247,0,115,12,284,94,0,0,0,0,0,0,1,0,1,0,507,0,0,507,0
248,0,191,14,240,21,1,0,0,0,1,1,1,0,0,1,471,0,3,474,0
249,0,191,24,410,77,2,0,0,0,2,0,3,2,0,0,711,0,2,713,0
250,3,205,32,365,53,0,1,0,0,0,0,1,2,0,0,662,0,1,663,0
251,1,232,43,388,41,0,0,0,1,1,0,0,2,1,2,712,0,4,716,1
252,1,214,25,363,59,0,1,0,0,0,0,0,1,0,1,665,0,0,665,0
253,2,231,27,334,82,1,0,1,0,0,1,0,3,1,1,684,0,1,685,0
254,0,196,31,357,73,0,1,1,0,0,0,2,1,1,1,664,0,5,669,0
255,2,160,42,339,60,0,0,0,1,1,0,2,1,0,0,608,0,1,609,0
256,0,87,16,210,15,0,0,2,0,1,3,2,2,1,0,339,0,2,341,0
257,4,156,12,193,21,0,0,0,0,0,0,0,1,2,0,389,0,1,390,0
258,1,174,31,261,88,1,0,0,1,0,1,2,1,1,0,562,0,8,570,0
259,4,124,23,189,44,0,0,1,1,0,1,2,0,0,0,389,0,4,393,0
260,2,182,40,353,49,1,1,1,0,0,1,1,2,2,0,635,0,5,640,0
261,2,193,28,276,80,1,0,0,0,0,1,1,2,2,0,586,0,0,586,0
262,1,73,16,172,62,0,2,0,0,0,0,0,0,0,0,326,0,0,326,0
263,2,157,18,261,134,0,0,0,0,0,1,0,2,0,1,576,0,3,579,0
264,1,155,23,175,67,0,0,0,0,0,0,0,0,0,0,421,0,1,422,0
265,1,243,12,265,53,1,0,0,1,0,0,1,1,0,1,579,0,5,584,1
266,1,138,24,209,113,1,1,0,0,1,1,0,0,1,2,492,0,9,501,0
267,2,192,43,171,92,1,0,0,1,0,0,0,0,1,1,504,0,13,517,0
268,9,190,21,271,64,1,0,0,0,0,0,1,0,1,1,559,0,3,562,0
269,6,228,29,285,103,0,0,0,0,2,1,0,0,0,0,654,0,6,660,0
270,2,134,20,271,49,1,1,0,0,0,1,3,1,1,1,485,0,1,486,0
271,2,201,27,306,90,1,2,1,0,2,0,1,1,1,0,635,0,8,643,1
272,3,104,13,161,65,1,1,0,0,0,0,1,0,0,0,349,0,1,350,0
273,0,112,25,346,89,0,0,0,1,1,1,0,1,0,0,576,0,7,583,0
274,0,224,15,438,67,0,0,1,0,0,0,0,0,2,0,747,0,0,747,0
275,0,278,28,367,67,1,0,0,0,0,0,0,1,0,0,742,0,0,742,0
276,4,327,21,341,84,0,1,0,0,0,1,0,0,0,0,779,0,1,780,0
277,3,167,23,354,46,0,2,0,0,1,0,0,3,0,0,599,0,5,604,0
278,1,86,9,182,56,0,0,0,0,1,0,0,1,0,0,336,0,2,338,0
279,0,115,7,180,44,1,0,1,0,0,1,1,0,0,0,350,0,1,351,0
280,1,239,24,301,65,0,0,0,0,0,0,0,1,1,0,632,0,1,633,0
281,3,222,13,358,69,0,0,1,1,1,0,0,0,0,1,669,0,1,670,0
282,e 61,239,25,273,67,0,0,0,0,1,0,0,2,0,0,608,0,1,609,0
