Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
55,17,72,312,1,0,0,112,1,0,0,0,0,0,525,0,1,526,0
56,53,72,232,4,2,0,92,2,0,0,0,1,1,468,0,1,469,0
57,52,161,549,0,2,1,264,0,1,0,0,1,1,1035,0,0,1035,0
58,39,165,512,2,0,2,188,1,0,0,0,0,1,916,0,1,917,0
59,42,163,573,2,0,0,150,0,0,0,0,2,1,950,0,3,953,0
60,38,168,376,4,0,2,276,1,0,0,0,1,1,877,0,0,877,0
61,20,83,273,1,6,1,146,0,0,0,0,0,1,540,0,2,542,0
62,40,181,498,0,0,0,266,1,1,1,0,0,2,1001,0,1,1002,0
63,41,177,380,1,2,0,274,1,0,0,2,1,0,880,0,5,885,0
64,26,143,330,0,0,0,201,0,1,0,0,0,1,704,0,4,708,0
65,15,175,209,0,0,0,144,0,0,0,0,0,0,546,0,0,546,0
66,35,244,395,3,0,1,203,1,0,0,0,1,0,885,0,3,888,0
67,3,116,104,0,0,0,63,0,0,0,0,0,0,286,0,0,286,0
68,24,216,353,1,1,1,181,1,0,1,0,0,1,788,0,3,791,0
69,9,140,287,1,0,0,197,0,0,0,0,0,0,639,0,0,639,0
70,19,140,251,1,1,0,116,0,0,0,1,0,0,532,0,1,533,0
71,30,129,238,2,1,0,163,0,1,0,0,0,2,572,0,2,574,0
72,44,151,478,4,0,1,209,1,0,0,0,2,0,899,0,5,904,0
73,32,86,350,2,2,1,230,1,0,0,0,0,0,711,0,0,711,0
74,27,113,255,0,0,0,190,0,0,0,0,1,0,593,0,5,598,0
75,24,110,155,1,0,0,179,0,0,0,0,0,0,474,0,3,477,0
76,38,229,368,1,1,1,249,0,0,0,0,0,0,892,0,3,895,0
77,46,127,407,3,1,0,171,0,0,0,0,0,0,762,0,2,764,0
78,14,80,247,1,0,1,69,0,0,0,0,0,0,417,0,0,417,0
79,20,55,358,1,0,2,113,0,0,0,1,0,0,557,0,0,557,0
80,21,74,402,4,0,1,94,0,0,0,1,0,0,602,0,1,603,0
81,51,156,414,2,0,0,175,0,0,0,1,1,1,814,0,1,815,0
82,23,171,319,2,0,2,117,0,0,0,0,0,0,650,0,2,652,0
83,52,247,533,4,0,0,184,0,1,0,0,0,1,1036,0,4,1040,0
84,37,121,587,7,0,0,183,0,0,0,0,0,1,950,0,0,950,0
85,60,198,576,4,0,3,153,4,1,0,0,0,1,1008,0,1,1009,0
86,23,93,376,0,0,0,78,1,0,2,1,0,0,582,0,1,583,0
87,39,241,311,0,1,0,96,0,0,0,0,0,1,693,0,1,694,0
88,49,127,575,4,0,1,186,2,0,0,0,0,0,952,0,1,953,0
89,36,266,437,1,0,0,97,0,0,0,0,1,3,861,0,3,864,0
90,62,142,533,1,0,0,125,0,0,0,3,1,0,875,0,3,878,0
91,57,189,492,4,0,0,126,0,0,0,0,0,0,876,0,2,878,0
92,28,136,535,7,0,2,130,0,0,0,0,0,0,872,0,4,876,0
93,43,96,351,2,0,0,133,0,1,0,0,0,0,632,0,2,634,0
94,23,79,364,4,1,0,82,0,0,0,0,1,1,568,0,1,569,0
95,43,235,628,0,0,1,143,0,0,0,1,0,1,1060,0,3,1063,0
96,38,214,551,3,1,0,200,1,1,0,0,2,1,1023,0,1,1024,0
97,57,168,576,2,1,0,157,0,0,0,0,0,0,973,0,1,974,0
98,26,94,397,2,1,0,124,1,0,0,1,0,0,653,0,1,654,0
99,67,257,561,4,0,0,184,0,0,0,1,0,0,1085,0,2,1087,0
100,38,217,373,4,0,0,102,1,0,1,0,0,1,739,0,1,740,0
101,46,101,320,2,1,1,102,0,0,1,0,0,1,576,0,4,580,0
102,62,159,428,1,0,1,231,0,1,1,0,1,1,902,0,1,903,0
103,39,143,480,3,0,1,146,0,0,1,1,0,1,820,0,0,820,0
104,54,93,342,2,0,0,121,0,0,0,0,0,0,620,0,2,622,0
105,48,155,483,3,0,0,178,1,0,0,0,0,0,881,0,1,882,0
106,53,173,464,1,0,0,178,0,0,0,1,0,0,880,0,1,881,0
107,52,171,583,4,3,1,144,0,0,1,0,0,0,977,0,2,979,0
108,25,117,316,4,1,0,149,0,0,0,0,1,1,620,0,0,620,0
109,37,143,481,3,0,0,203,0,1,0,0,1,1,875,0,3,878,0
110,42,110,415,5,0,0,161,0,0,0,0,0,0,740,0,1,741,0
111,35,191,537,7,3,0,116,1,0,0,0,0,2,917,0,3,920,0
112,46,224,407,2,0,2,166,0,0,0,1,0,3,859,0,2,861,0
113,11,62,328,2,0,0,49,0,0,1,0,0,0,456,0,0,456,0
114,26,124,346,2,2,1,183,0,0,1,1,0,1,695,0,1,696,0
115,27,91,469,2,2,0,125,0,0,0,0,0,1,728,0,0,728,0
116,36,150,549,3,0,2,226,1,0,1,1,1,1,985,0,3,988,0
117,29,203,366,3,1,107,0,0,0,0,0,0,0,717,0,0,717,0
118,42,177,439,6,0,1,181,0,0,1,0,1,1,858,0,2,860,0
119,10,75,300,1,0,1,106,0,0,0,0,0,1,505,0,1,506,0
120,37,126,430,1,1,0,99,0,1,2,0,0,1,707,0,0,707,0
121,39,113,544,7,0,2,154,1,0,0,2,0,1,869,0,4,873,0
122,24,73,246,0,0,0,94,0,1,0,0,0,0,442,0,1,443,0
123,39,92,436,4,0,0,149,0,0,1,1,1,0,737,0,1,738,0
124,46,120,512,6,2,0,214,1,0,0,0,0,2,919,0,1,920,0
125,11,94,294,2,2,1,84,0,0,1,0,1,0,496,0,1,497,0
126,12,86,357,1,0,0,85,0,0,0,0,0,0,544,0,1,545,0
127,28,75,358,5,0,0,99,0,0,2,1,0,1,575,0,1,576,0
128,30,62,310,5,1,1,102,1,0,0,0,1,1,527,0,0,527,0
129,54,103,444,5,0,1,144,1,0,0,0,0,0,763,0,0,763,0
130,34,133,369,4,0,0,76,0,0,0,1,0,0,624,0,0,624,0
131,16,87,245,6,0,0,79,0,0,0,0,1,1,441,0,2,443,0
132,25,109,308,7,0,0,76,0,0,0,0,0,0,537,0,0,537,0
133,63,112,353,13,1,0,97,0,0,0,0,0,2,644,0,2,646,0
134,34,164,548,35,0,1,145,1,0,0,0,0,0,931,0,0,931,0
135,46,197,488,5,0,2,212,0,0,0,0,0,2,967,0,3,970,0
136,44,118,406,2,0,0,221,1,0,2,0,1,1,818,0,3,821,0
137,37,171,357,3,0,3,223,1,0,0,1,0,3,807,0,1,808,0
138,56,211,388,2,0,1,206,0,0,0,0,1,3,878,0,0,878,0
139,49,146,451,1,1,11,170,0,0,0,1,1,0,841,0,0,841,0
140,30,124,227,4,0,1,110,1,0,0,0,0,0,498,0,1,499,0
141,46,145,379,1,0,1,235,0,0,0,0,1,1,816,0,1,817,0
142,50,104,265,2,1,1,176,0,0,0,0,0,0,601,0,1,602,0
143,25,104,345,4,0,0,123,1,0,1,0,0,0,608,0,1,609,0
144,47,136,525,4,1,0,183,0,0,1,0,0,0,901,0,1,902,0
145,36,97,261,4,0,0,120,2,0,0,0,0,1,532,0,1,533,0
146,65,113,467,8,0,1,183,2,0,1,0,3,1,853,0,0,853,0
147,32,134,447,2,0,4,226,0,0,0,0,1,1,858,0,1,859,1
148,23,169,483,3,0,0,173,1,2,2,2,1,2,870,0,3,873,0
149,17,147,382,4,1,0,110,0,0,1,2,0,1,672,0,1,673,0
150,21,141,264,4,0,2,110,1,1,0,1,1,1,552,0,1,553,0
151,41,64,255,6,1,1,71,1,2,0,1,0,0,453,0,3,456,0
152,22,105,183,6,0,0,60,0,0,0,0,0,0,382,0,0,382,0
153,29,181,298,3,5,1,150,0,0,0,0,0,0,676,0,1,677,0
154,51,144,500,0,0,0,354,0,0,0,0,0,1,1053,0,7,1060,0
155,42,186,466,4,4,0,166,1,0,0,0,0,2,885,0,1,886,0
156,39,135,464,9,0,0,138,0,0,0,0,1,1,793,0,1,794,0
157,41,116,399,5,0,0,141,0,1,0,1,0,1,708,0,3,711,0
158,20,72,438,2,0,0,126,0,1,0,3,0,0,676,0,1,677,0
159,24,64,183,4,0,0,78,0,0,0,0,0,0,362,0,5,367,0
160,44,179,524,1,1,0,181,0,0,0,2,1,2,947,0,2,949,0
161,60,108,337,4,0,0,148,1,1,0,2,1,4,677,0,0,677,0
162,42,215,482,7,1,0,313,0,0,0,1,0,1,1079,0,1,1080,0
163,19,128,438,2,4,0,129,0,0,0,0,0,1,726,0,2,728,0
164,32,139,424,5,1,3,180,0,0,1,0,0,1,800,0,3,803,0
165,38,174,586,8,2,1,153,1,0,0,1,2,2,983,0,4,987,0
166,43,231,547,6,0,3,144,0,0,0,0,0,1,987,0,1,988,0
167,52,156,422,4,1,0,188,0,0,0,2,2,0,842,0,1,843,0
168,9,179,328,0,0,1,141,0,0,0,0,0,0,661,0,1,662,0
169,27,162,556,3,3,0,178,0,0,1,0,0,4,943,0,2,945,0
170,22,173,561,3,1,0,262,0,0,0,0,0,1,1033,0,3,1036,0
171,8,32,183,0,1,0,70,0,0,0,0,0,0,300,0,1,301,0
172,22,165,302,4,0,1,166,0,0,0,0,1,1,665,0,0,665,0
173,18,111,426,3,0,0,105,1,2,0,0,0,1,674,0,1,675,0
174,28,166,519,2,0,1,168,0,0,0,0,0,2,892,0,1,893,0
175,20,79,461,3,1,0,126,0,0,0,0,0,1,702,0,0,702,0
176,22,114,282,5,0,1,135,0,0,0,0,0,1,565,0,0,565,0
177,25,90,389,2,0,0,123,2,0,0,1,0,2,637,0,1,638,0
178,34,90,372,0,0,2,158,2,0,0,0,0,3,668,0,1,669,0
179,20,58,346,1,1,0,134,0,0,1,1,0,1,569,0,0,569,0
180,14,114,410,0,0,0,160,0,0,0,0,0,0,702,0,1,703,0
181,11,61,257,2,1,1,163,1,0,0,0,0,0,500,0,0,500,0
182,12,132,397,1,1,0,115,0,0,0,0,0,0,660,0,0,660,0
183,42,184,486,2,1,0,222,1,0,0,1,0,1,955,0,2,957,0
184,42,166,503,5,0,1,252,1,0,0,0,0,1,993,0,2,995,0
185,46,83,360,0,1,2,90,0,0,0,1,0,2,588,0,1,589,0
186,44,129,626,3,2,0,143,1,0,0,0,0,0,954,0,0,954,0
187,38,145,293,1,0,0,186,1,0,1,0,0,0,671,0,2,673,0
188,26,50,415,2,0,0,130,2,0,0,0,0,0,631,0,1,632,0
189,30,161,510,2,0,0,178,0,0,1,0,0,1,890,0,3,893,1
190,20,149,230,1,0,0,127,0,0,0,0,0,0,529,0,2,531,0
191,22,191,480,2,1,0,119,0,1,0,0,0,2,824,0,1,825,0
192,17,134,402,0,0,0,145,1,0,0,0,0,0,705,0,1,706,0
193,36,356,356,1,0,0,193,0,0,0,0,0,0,943,0,2,945,0
194,42,162,452,3,1,1,242,0,0,0,0,0,2,910,0,1,911,0
195,21,192,368,1,0,1,193,0,0,1,1,0,0,779,0,1,780,0
196,15,102,291,2,0,0,158,0,0,0,0,1,0,571,0,0,571,0
197,32,104,333,0,0,0,176,1,0,0,0,0,0,653,0,1,654,0
198,21,130,382,6,0,0,114,0,0,0,0,0,0,661,0,4,665,0
199,18,488,259,1,0,0,137,1,0,0,0,0,0,907,0,0,907,0
200,15,364,274,0,0,1,103,0,0,0,0,0,0,759,0,0,759,0
201,22,105,417,2,4,0,171,0,0,0,0,0,0,727,0,1,728,0
202,19,370,178,0,1,0,88,1,0,0,0,0,0,658,0,1,659,0
203,43,163,327,3,0,1,176,0,1,0,0,0,2,726,0,5,731,0
204,38,169,462,10,0,1,183,0,0,1,0,0,1,874,0,1,875,0
205,45,183,373,1,0,1,149,0,0,1,0,0,0,758,0,0,758,0
206,15,115,450,6,0,0,118,0,0,0,1,0,0,715,0,2,717,0
207,28,167,415,6,0,1,136,3,0,0,0,2,2,778,0,0,778,0
208,25,287,243,0,0,0,166,0,0,0,0,0,0,726,0,3,729,0
209,40,306,315,1,5,0,205,1,0,1,0,0,0,878,0,0,878,0
210,45,266,402,2,0,2,215,0,0,0,0,0,1,937,0,1,938,0
211,62,279,391,1,16,0,179,1,1,0,0,0,1,940,0,1,941,0
212,39,212,272,3,7,0,149,0,0,1,0,0,1,687,0,2,689,0
213,18,335,202,0,2,0,75,0,0,0,0,0,0,633,0,0,633,0
214,16,193,409,4,1,0,107,0,0,0,0,0,1,733,0,1,734,0
215,51,241,475,2,1,0,139,1,0,0,0,3,4,921,0,0,921,0
216,17,68,286,2,0,0,107,1,0,0,0,0,1,484,0,1,485,0
217,48,114,331,1,0,0,86,0,0,0,0,0,1,587,0,1,588,0
218,29,97,340,4,0,0,120,1,0,0,0,0,0,592,0,1,593,0
219,37,121,356,3,2,2,163,0,0,0,0,0,0,696,0,1,697,0
220,46,186,415,3,2,1,198,0,1,0,0,0,4,863,0,1,864,0
221,50,116,350,2,3,0,110,1,0,0,1,0,4,653,0,2,655,0
222,43,94,476,4,0,1,131,0,1,1,0,0,0,764,0,0,764,0
223,48,131,329,2,2,0,109,0,0,0,0,0,0,622,0,1,623,0
224,43,88,491,4,1,0,169,0,0,0,0,0,2,807,0,2,809,0
225,35,69,298,2,2,0,126,0,0,0,0,0,0,547,0,0,547,0
226,30,181,337,4,0,0,121,0,0,0,0,0,2,690,0,1,691,0
227,35,137,445,1,19,0,137,0,0,0,0,0,0,789,0,1,790,0
228,46,109,486,2,0,1,164,0,0,0,0,1,1,819,0,4,823,0
229,50,136,447,7,0,1,155,0,2,0,0,0,4,826,0,2,828,0
230,28,146,355,13,0,1,96,1,1,1,0,0,2,666,0,1,667,0
231,32,185,576,2,0,0,187,1,0,0,0,0,4,1002,0,1,1003,0
232,41,129,596,4,1,1,220,0,0,1,0,1,2,1011,0,1,1012,0
233,19,220,213,0,0,0,120,0,0,0,0,0,1,574,0,1,575,0
234,10,403,132,0,0,0,77,0,0,0,0,0,1,624,0,0,624,0
235,20,558,150,0,0,1,123,0,1,0,0,0,1,856,0,0,856,0
236,11,196,179,0,1,0,74,1,0,0,0,0,0,464,0,0,464,0
237,37,69,294,1,1,0,95,0,0,0,0,0,0,504,0,0,504,0
238,34,167,360,0,0,1,151,0,0,0,0,0,0,716,0,0,716,0
239,29,213,448,3,0,0,243,2,0,0,0,0,0,947,0,2,949,0
240,29,136,452,4,2,2,141,0,1,0,0,1,2,784,0,2,786,0
241,16,108,323,3,1,0,100,0,0,0,0,0,0,558,0,3,561,0
242,45,117,442,4,3,0,134,0,0,0,0,1,0,755,0,1,756,0
243,31,152,315,4,6,0,106,0,0,0,0,1,1,624,0,0,624,0
244,36,114,472,8,1,1,176,0,0,0,0,0,0,813,0,3,816,0
245,28,125,494,3,0,0,127,0,0,0,0,0,0,785,0,0,785,0
246,53,93,368,3,1,0,132,0,0,0,1,0,1,662,0,0,662,0
247,39,144,307,2,1,0,106,0,0,1,0,0,0,604,0,2,606,0
248,47,121,372,18,2,0,154,0,0,1,1,0,0,725,0,0,725,0
249,61,176,477,11,0,2,217,0,0,1,0,0,2,967,0,3,970,0
250,16,123,325,4,0,0,137,0,1,0,1,0,0,612,0,1,613,0
251,27,191,387,3,1,1,190,0,0,0,0,1,1,811,0,0,811,0
252,30,113,346,4,0,0,157,0,0,0,1,1,4,677,0,2,679,0
253,33,115,424,7,8,0,173,2,1,3,0,0,1,785,0,1,786,0
254,16,114,376,0,1,0,127,0,0,0,0,0,0,637,0,0,637,0
255,27,224,304,4,1,0,226,2,0,0,1,0,0,791,0,1,792,0
256,19,62,287,4,0,0,101,0,0,0,0,0,1,482,0,1,483,0
257,59,132,498,7,2,0,221,0,1,0,1,0,2,957,0,0,957,0
258,27,129,494,2,0,2,250,0,0,0,1,0,1,920,0,1,921,0
259,51,99,275,0,0,0,139,0,0,1,0,0,0,570,0,1,571,0
260,41,109,376,4,1,1,174,0,0,0,0,0,0,715,0,0,715,0
261,43,79,305,2,0,0,85,0,0,0,0,0,0,523,0,0,523,0
262,41,145,386,6,0,0,132,0,0,0,0,0,0,724,0,2,726,0
263,23,81,221,3,0,0,109,0,0,0,0,0,0,440,0,1,441,0
264,32,156,338,2,3,2,196,1,0,0,0,0,1,741,0,2,743,0
265,42,196,208,0,2,0,85,0,0,0,0,0,1,539,0,0,539,0
266,31,168,356,3,1,1,155,0,1,0,0,0,2,728,0,0,728,0
267,47,166,281,2,0,1,138,0,0,0,0,1,0,644,0,2,646,0
268,21,120,356,2,0,0,109,0,0,0,0,0,0,613,0,0,613,0
269,15,91,320,2,0,0,110,0,0,1,0,0,0,548,0,1,549,0
270,48,80,243,6,4,1,106,0,0,0,0,0,1,492,0,0,492,0
271,35,203,396,4,17,0,142,1,0,0,1,0,0,805,0,1,806,0
272,47,154,436,5,0,0,197,0,0,0,0,1,1,850,0,2,852,0
273,38,128,373,4,0,0,106,1,0,0,0,1,0,656,0,0,656,0
274,19,112,234,0,0,0,54,0,0,0,0,0,1,424,0,0,424,0
275,21,60,286,2,0,1,147,0,1,0,0,1,1,525,0,0,525,0
276,15,112,316,0,1,0,134,0,0,0,0,0,0,583,0,2,585,0
