Polling Station No,CHANDRA PRABHA JEYAPAL,S.PANDI,R.S.RAJAKANNAPPAN,M. IRULANDI,A. SARAVANAKUMAR,K.SENTHIL MALLAR,G. SELVARAJ,MALARVIZHI. B,C.MALAISELVAM,DR.R.RAMKUMAR,K.GANGAI AMARAN,M.KARUPPA SAMY,C.KENGUSAMY,SATHIYAM C.SARAVANAN,V.PANDI,M.BOOMINATHAN (A) M.K.VAIYAVAN,K.MURUGAN,R.MOOVENDRAN,RAVI GOVINTHAN,K.RAJAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
258,13,229,207,1,0,0,1,149,0,4,0,0,0,20,1,1,0,1,2,0,629,0,0,629,0
259,99,160,282,0,0,7,0,169,1,2,1,0,0,3,2,1,2,3,2,0,734,0,0,734,0
260,ge 94,38,455,3,0,0,0,90,2,6,0,0,0,0,0,0,0,0,2,0,605,0,1,606,0
261,6,14,264,3,0,0,0,27,0,7,0,0,0,1,0,0,0,0,0,0,322,0,0,322,0
262,84,325,158,3,1,4,1,206,2,0,0,2,1,7,4,7,4,6,3,0,818,0,6,824,0
263,18,31,348,4,1,1,1,107,1,5,1,2,0,1,0,1,1,0,0,1,524,0,0,524,0
264,14,85,334,5,1,0,1,187,0,13,0,1,0,0,1,1,1,1,1,0,646,0,1,647,0
265,31,226,189,6,1,0,0,266,2,64,0,1,4,5,0,0,1,4,2,0,802,0,3,805,0
266,13,14,424,4,0,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,565,0,0,565,0
267,16,165,91,2,0,0,0,114,0,2,0,1,0,5,1,0,0,1,0,0,398,0,1,399,0
268,16,60,186,1,0,1,1,215,0,3,1,0,0,1,0,0,0,1,0,0,486,0,0,486,0
269,9,77,216,3,0,0,1,125,1,5,0,0,0,2,0,2,0,1,1,0,443,0,1,444,0
270,12,15,578,5,0,1,0,80,0,14,0,0,1,0,0,0,0,0,6,0,712,0,2,714,0
271,23,204,69,3,1,2,2,205,0,1,2,2,2,8,1,0,2,4,1,1,533,0,1,534,0
272,18,265,98,3,0,1,1,332,2,27,1,4,1,1,3,0,0,1,0,1,759,0,0,759,0
273,27,311,151,1,1,2,3,393,2,72,1,3,3,2,2,4,2,2,1,2,985,0,0,985,0
274,59,173,107,2,0,2,0,141,0,26,0,1,1,1,1,2,3,2,0,0,521,0,2,523,0
275,73,155,204,7,4,6,7,307,2,160,1,3,1,2,2,1,2,2,0,2,941,0,0,941,0
276,25,133,85,1,0,4,0,75,0,2,0,0,0,20,0,0,0,3,0,0,348,0,2,350,0
277,64,231,198,4,2,3,1,210,3,60,0,0,0,3,0,2,3,3,2,0,789,0,0,789,0
278,89,218,220,7,0,8,0,103,1,167,0,0,2,9,2,0,0,1,3,0,830,0,1,831,0
279,61,115,153,0,1,2,1,82,1,15,0,3,0,0,0,0,1,1,1,0,437,0,0,437,0
280,15,41,54,3,0,2,1,36,0,283,0,0,0,0,1,0,0,0,0,0,436,0,1,437,0
281,56,134,168,6,1,14,1,101,3,112,2,1,2,2,1,0,0,0,4,1,609,0,0,609,0
282,59,42,233,2,0,0,0,172,3,33,0,0,0,0,0,0,1,0,2,0,547,0,0,547,0
283,33,54,132,3,0,1,0,99,1,48,0,0,0,0,1,0,0,0,1,0,373,0,0,373,0
284,11,86,145,5,0,2,5,38,1,469,2,1,0,3,2,3,0,1,0,0,774,0,0,774,0
285,8,48,133,3,1,0,0,39,1,98,0,0,0,3,1,1,1,0,2,0,339,0,0,339,0
286,10,33,59,1,0,0,1,16,0,226,1,0,0,0,1,0,1,1,2,0,352,0,0,352,0
287,39,109,67,1,1,0,2,74,2,558,3,0,0,1,2,0,0,4,0,1,864,0,3,867,0
288,26,70,101,2,0,38,2,42,0,167,1,0,0,0,0,1,0,0,1,0,451,0,0,451,0
289,36,264,143,3,0,0,0,105,1,85,0,0,0,9,6,0,0,4,0,1,657,0,0,657,0
290,35,204,164,4,0,10,0,137,2,84,0,0,0,2,0,1,0,2,4,1,650,0,0,650,0
291,15,33,83,1,0,0,1,52,0,464,0,0,0,1,1,0,0,1,1,0,653,0,0,653,0
292,21,60,106,2,0,0,1,40,0,407,0,0,0,2,0,0,0,1,2,0,642,0,1,643,0
293,10,24,51,1,0,0,2,49,3,178,2,0,0,1,0,1,1,0,0,1,324,0,2,326,0
294,14,59,44,2,1,0,0,27,2,528,2,0,0,0,1,1,2,1,1,0,685,0,1,686,0
295,12,28,80,3,0,0,2,41,1,288,1,0,2,0,0,0,0,2,1,2,463,0,0,463,0
296,17,34,47,0,0,1,3,18,1,348,1,1,0,0,1,0,0,0,1,0,473,0,0,473,0
297,10,34,76,2,0,0,0,34,0,520,1,1,0,0,0,1,0,1,0,0,680,0,0,680,0
298,15,130,88,6,1,6,1,71,7,448,1,0,0,12,1,2,1,3,1,0,794,0,1,795,0
299,12,128,114,2,0,0,0,115,2,357,1,0,0,0,0,1,2,0,0,0,734,0,0,734,0
300,10,63,53,2,2,0,2,75,1,218,0,1,0,0,0,0,1,0,0,0,428,0,0,428,0
301,31,65,65,1,0,0,0,106,2,69,0,0,0,0,1,0,0,0,0,0,340,0,0,340,0
302,25,38,67,0,0,0,0,97,0,84,0,0,1,0,1,1,0,0,0,0,314,0,0,314,0
303,26,47,87,1,0,3,0,46,15,31,0,0,0,1,0,1,1,1,0,0,260,0,1,261,0
304,38,149,125,2,0,1,0,110,1,10,1,2,1,47,2,2,0,5,3,0,499,0,3,502,0
305,30,106,150,3,2,1,1,155,1,87,0,0,0,9,2,2,2,1,1,1,554,0,0,554,0
306,5,110,72,0,0,0,0,50,5,7,0,0,0,15,3,1,1,0,0,0,269,0,2,271,0
307,4,36,35,1,0,0,0,36,2,387,1,1,0,1,3,0,0,0,0,1,508,0,0,508,0
308,34,155,94,2,0,1,0,68,3,70,0,1,1,30,1,0,2,0,1,0,463,0,0,463,0
309,4,18,30,0,0,0,0,12,2,582,0,2,0,0,0,0,0,0,0,0,650,0,0,650,0
310,34,114,78,0,0,0,0,121,0,90,0,0,0,0,2,0,1,1,0,0,441,0,0,441,0
311,31,151,129,4,0,2,0,114,0,41,0,0,0,11,2,2,0,0,2,0,489,0,0,489,0
312,27,97,134,4,2,5,0,62,5,102,0,0,0,14,0,0,2,0,0,1,455,0,0,455,0
313,18,28,82,2,1,0,2,24,1,323,1,0,0,6,1,0,1,0,0,0,490,0,0,490,0
314,43,113,258,5,0,0,0,98,0,14,0,0,1,1,0,0,0,4,5,0,542,0,0,542,0
315,63,138,227,7,1,8,0,75,9,0,0,1,0,0,1,2,0,1,0,2,535,0,2,537,0
316,44,49,256,6,0,1,1,135,0,48,1,0,0,11,1,0,0,2,3,1,559,0,0,559,0
317,17,64,92,1,0,0,0,61,1,68,0,0,0,0,0,0,0,0,0,1,305,0,1,306,0
318,42,209,157,7,0,0,1,214,1,233,2,2,0,1,2,4,0,1,0,0,876,0,0,876,0
319,55,91,179,6,0,5,1,147,4,92,1,0,0,3,3,1,0,1,1,1,591,0,0,591,0
320,21,25,256,1,0,0,1,80,1,4,0,0,0,1,0,1,0,1,1,0,393,0,0,393,0
321,27,123,143,5,0,2,1,120,6,26,0,0,0,2,2,1,0,0,2,0,460,0,0,460,0
322,49,155,218,4,0,1,0,179,0,95,2,0,0,4,2,2,1,5,1,3,721,0,2,723,0
323,33,87,146,0,0,0,1,159,1,19,0,0,0,1,0,0,0,1,0,0,448,0,1,449,0
324,15,179,124,0,1,1,0,71,1,59,0,0,0,6,1,1,0,2,2,2,465,0,1,466,0
325,ge2 05,60,156,1,0,2,0,96,0,7,0,0,0,7,0,0,1,1,0,0,351,0,0,351,0
326,56,105,239,4,1,0,0,123,2,5,0,2,0,26,2,3,0,1,3,0,572,0,0,572,0
327,20,194,146,1,0,1,1,127,2,51,0,0,0,12,0,0,0,0,1,0,556,0,0,556,0
328,19,96,479,6,0,0,0,213,0,24,1,2,0,1,0,1,0,0,3,2,847,0,1,848,0
329,19,40,430,5,0,0,0,154,0,15,0,0,0,2,0,0,0,0,3,0,668,0,2,670,0
330,42,25,464,12,0,1,3,217,2,6,0,0,1,1,1,0,0,2,1,0,778,0,0,778,0
331,20,41,705,8,0,0,2,139,0,10,0,0,0,1,0,0,1,0,3,0,930,0,0,930,0
332,32,76,367,6,0,1,0,86,0,49,0,0,0,0,1,2,0,0,2,2,624,0,0,624,0
333,18,197,94,1,1,1,0,273,1,43,0,4,0,2,1,2,0,2,1,1,642,0,1,643,0
334,33,184,117,2,0,1,1,207,1,62,3,2,0,4,1,0,0,1,2,0,621,0,1,622,0
335,18,153,95,1,0,0,0,130,0,50,0,1,0,0,0,0,1,0,0,0,449,0,0,449,0
336,41,89,186,10,1,2,1,166,1,47,1,0,0,28,2,1,1,3,2,1,583,0,1,584,0
337,106,101,112,5,0,2,1,136,5,144,0,2,1,4,1,1,2,0,1,1,625,0,2,627,0
338,51,64,104,3,0,2,0,45,11,97,1,0,3,1,2,0,1,2,0,0,387,0,0,387,0
339,38,54,120,1,0,0,2,101,0,114,0,0,0,0,4,2,1,0,0,0,437,0,0,437,0
340,45,98,222,1,0,0,0,176,0,13,0,0,0,1,0,2,0,1,0,0,559,0,3,562,0
341,26,21,223,0,0,0,0,99,0,9,0,0,0,0,0,0,0,0,1,0,379,0,0,379,0
342,19,58,245,0,1,1,0,60,0,9,0,0,0,0,1,0,2,1,3,1,401,0,0,401,0
343,10,36,315,7,0,1,0,94,0,42,0,0,0,1,0,0,0,0,2,0,508,0,2,510,0
344,16,28,239,3,1,0,1,85,1,197,0,8,1,2,1,0,1,1,0,0,585,0,0,585,0
345,52,201,111,4,0,6,2,98,10,228,2,0,1,34,4,2,1,0,1,0,757,0,1,758,0
346,111,178,126,3,0,0,2,240,0,151,0,0,0,2,2,3,1,0,1,2,822,0,2,824,0
347,28,69,84,1,0,1,0,62,0,141,0,0,0,0,2,1,0,0,0,0,389,0,1,390,0
348,24,65,66,4,3,6,1,44,3,229,2,1,1,0,3,1,0,0,0,0,453,0,0,453,0
349,43,75,65,1,0,0,0,49,0,99,1,0,0,2,0,0,0,0,0,0,335,0,1,336,0
350,7,29,25,0,0,2,0,30,0,16,2,0,0,8,0,0,0,0,0,1,120,0,0,120,0
351,27,67,64,3,0,0,0,64,2,353,0,0,0,1,3,0,0,1,0,2,587,0,1,588,0
352,20,93,105,2,0,3,1,73,0,240,1,0,3,55,0,0,0,0,1,0,597,0,1,598,0
353,32,47,118,3,0,7,1,77,12,0,0,0,1,1,0,2,1,1,1,0,304,0,1,305,0
354,74,210,145,5,2,6,0,192,4,12,0,1,1,19,3,5,0,3,1,1,684,0,0,684,0
355,15,102,89,3,0,0,1,64,0,149,0,0,1,15,1,1,0,0,2,0,443,0,1,444,0
356,42,69,174,1,0,2,0,126,1,75,0,0,0,31,2,1,1,2,4,1,532,0,0,532,0
357,13,56,144,3,0,0,1,99,0,4,0,1,3,169,0,2,0,1,0,0,496,0,3,499,0
358,18,31,71,1,0,1,3,117,0,1,0,0,0,165,0,0,2,1,0,0,411,0,1,412,0
359,30,34,53,1,2,2,2,76,4,239,3,0,1,145,1,0,0,0,2,0,595,0,0,595,0
360,20,36,72,3,1,1,0,89,1,288,1,0,0,0,5,1,0,1,0,0,519,0,0,519,0
361,7,39,45,3,1,1,0,43,0,242,1,0,0,9,2,0,0,0,1,0,394,0,0,394,0
362,91,177,104,5,0,1,0,204,1,11,0,0,0,21,2,0,2,7,1,1,628,0,0,628,0
363,31,15,156,1,0,0,1,239,1,182,1,0,0,0,0,2,0,0,0,0,629,0,1,630,0
364,142,158,198,6,0,0,3,258,1,24,0,3,0,22,0,1,0,0,0,1,817,0,0,817,0
365,65,149,231,2,0,1,2,132,1,39,0,0,1,20,2,2,1,3,3,1,655,0,3,658,0
366,72,85,205,6,1,3,2,116,2,18,0,0,0,4,1,0,0,2,0,0,517,0,1,518,0
367,33,130,211,6,0,1,1,122,0,27,1,3,1,1,1,0,0,2,1,0,541,0,3,544,0
368,26,101,212,0,0,1,2,159,1,26,0,0,1,3,1,0,0,1,1,0,535,0,1,536,0
369,20,68,91,2,0,0,0,90,0,61,0,0,0,4,0,2,2,0,1,1,342,0,1,343,0
370,23,35,402,5,0,0,0,110,1,57,0,0,1,2,0,0,1,0,2,0,639,0,1,640,0
371,32,82,148,1,0,1,1,203,1,43,1,0,1,2,1,1,0,1,0,0,519,0,1,520,0
372,33,147,134,2,0,4,3,208,5,44,0,1,0,0,1,3,0,0,0,1,586,0,2,588,0
373,49,88,215,5,1,1,0,124,1,50,0,0,0,0,1,1,2,0,0,1,539,0,1,540,0
374,72,130,123,2,1,1,1,228,1,8,0,0,0,0,0,0,1,0,0,1,569,0,1,570,0
375,128,164,173,5,1,1,0,187,2,4,0,0,2,4,2,0,0,0,0,1,674,0,0,674,0
376,36,54,84,0,0,0,1,135,1,10,0,0,1,3,0,1,1,1,0,1,329,0,1,330,0
377,115,178,186,5,0,0,2,272,2,15,1,0,0,1,0,1,1,0,0,2,781,0,1,782,0
378,31,113,187,3,0,0,0,152,0,122,0,1,1,1,2,2,4,3,7,1,630,0,0,630,0
379,15,102,187,5,0,0,1,187,0,73,1,1,0,0,0,3,1,0,0,0,576,0,1,577,0
380,22,87,378,1,0,0,1,126,1,117,1,0,0,9,0,0,0,1,2,0,746,0,1,747,0
381,21,40,50,1,0,4,1,77,0,151,0,0,0,0,1,3,0,0,0,0,349,0,2,351,0
382,58,303,254,8,0,1,2,161,3,97,0,0,0,6,0,0,0,2,0,1,896,0,0,896,0
383,15,104,159,6,0,1,3,159,5,100,0,0,1,1,2,1,0,1,0,0,558,0,2,560,0
384,7,235,191,11,3,5,2,115,1,118,1,0,0,3,3,1,2,1,5,1,705,0,0,705,0
385,31,114,69,0,0,0,0,51,0,17,1,0,0,0,1,0,0,1,0,0,285,0,0,285,0
386,14,145,50,4,0,0,0,44,2,50,1,2,1,1,0,0,0,1,0,0,315,0,6,321,0
387,36,181,160,4,0,1,0,137,0,78,1,0,0,0,1,0,0,0,0,1,600,0,1,601,0
388,20,22,114,2,0,1,1,116,0,295,3,0,0,2,1,0,0,0,2,0,579,0,0,579,0
389,6,55,58,2,0,0,1,32,0,24,0,0,0,0,0,0,0,1,0,0,179,0,1,180,0
390,ge 66,37,38,0,0,0,0,22,0,19,0,0,0,0,0,1,0,0,0,0,123,0,1,124,0
391,15,61,51,5,0,0,0,61,0,31,0,0,1,42,1,0,0,2,0,0,270,0,0,270,0
392,30,187,152,2,0,3,0,135,1,57,0,1,0,18,1,1,1,0,2,1,592,0,0,592,0
393,77,83,217,2,0,1,3,143,2,13,0,2,0,2,1,2,7,6,5,1,567,0,2,569,0
394,20,63,241,2,0,1,0,86,2,80,2,1,0,2,0,0,0,0,0,1,501,0,0,501,0
395,23,41,134,4,0,1,1,128,1,87,0,1,0,1,1,0,0,1,2,1,427,0,1,428,0
396,20,40,79,1,0,0,1,65,1,69,0,0,0,0,1,1,0,3,4,0,285,0,0,285,0
397,90,66,134,1,1,1,2,123,8,152,1,0,0,11,1,0,0,0,2,0,593,0,1,594,0
398,27,103,212,5,0,0,1,209,0,82,0,0,0,0,0,1,0,0,2,0,642,0,2,644,0
399,33,83,99,4,0,1,2,168,0,216,2,0,1,0,0,1,0,0,0,0,610,0,1,611,0
400,52,102,143,4,1,0,0,162,2,233,0,0,0,0,2,2,0,1,0,0,704,0,1,705,0
401,101,90,170,4,0,1,1,241,4,76,0,1,0,0,1,0,1,1,0,0,692,0,1,693,0
402,18,3,440,4,0,0,0,110,0,4,0,0,0,0,0,0,1,0,0,0,580,0,1,581,0
403,6,1,476,2,0,1,1,99,0,4,0,0,1,0,0,0,0,0,1,0,592,0,0,592,0
404,9,5,308,2,1,0,0,141,1,2,0,0,0,0,1,0,0,0,0,0,470,0,1,471,0
405,74,125,167,1,0,1,1,207,0,18,0,1,0,0,0,1,1,1,0,0,598,0,0,598,0
406,89,208,85,1,0,2,2,157,0,10,2,1,1,5,1,0,1,1,0,0,566,0,1,567,0
407,35,96,92,1,0,0,0,120,0,4,0,0,1,1,0,1,0,0,0,0,351,0,1,352,0
408,83,157,118,0,0,0,0,165,0,15,0,0,0,3,1,0,0,0,2,0,544,0,0,544,0
409,67,109,64,1,0,0,0,92,0,23,0,0,0,1,0,1,0,0,0,0,358,0,0,358,0
410,109,225,124,4,1,1,0,207,1,17,0,2,1,3,2,3,0,1,1,1,703,0,2,705,0
411,86,206,190,6,0,2,3,197,0,11,2,2,1,4,1,1,1,0,1,1,715,0,1,716,0
412,77,147,109,1,0,1,0,142,0,18,0,0,0,0,0,1,1,0,0,0,497,0,2,499,0
413,100,302,170,4,1,0,0,267,2,20,1,1,1,0,2,1,0,3,1,0,876,0,3,879,0
414,25,48,196,7,0,0,2,396,2,1,1,0,1,0,0,0,0,1,1,0,681,0,2,683,0
