Polling Station No,Candidate_1,NAMMISARAN ANAHCRA,NAPPARAWSE.L.J,RAMUKUS.M.S,RAMUKAHTNASAV.M,IHDNAG.V,MAGUMNAHS.P.S,NAMARAHTEES.V,NAHOM YAJIV.G,NASETAKNEV.P,IHTAMUHDNI.R,M.NAPPARAWSE,IHTNAHS.V,NADNAKINAM.K,YAJIV.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
128,8,59,281,0,0,1,0,189,0,0,1,0,1,2,542,542,0,1,543,0
129,17,135,295,0,0,0,0,286,0,0,1,0,1,1,736,736,0,2,738,0
130,10,171,350,1,0,0,0,289,0,0,0,1,0,5,827,827,0,4,831,0
131,11,168,204,1,0,0,1,228,1,0,0,2,1,3,620,620,0,0,620,0
132,7,152,216,1,2,0,0,198,0,0,0,0,2,0,578,578,0,2,580,0
133,19,240,247,1,1,0,1,270,0,0,0,0,0,0,779,779,0,0,779,0
134,8,171,294,0,0,0,0,227,7,0,2,0,0,0,709,709,0,4,713,0
135,19,157,240,0,0,0,2,199,1,0,0,0,0,2,620,620,0,8,628,0
136,26,159,380,0,1,2,0,298,1,0,0,0,2,3,872,872,0,6,878,0
137,10,96,353,1,0,0,0,287,1,0,0,0,3,2,753,753,0,2,755,0
138,31,153,327,0,1,0,0,251,0,0,0,0,0,1,764,764,0,9,773,0
139,13,97,159,0,0,0,0,122,0,0,0,0,0,0,391,391,0,2,393,0
140,3,195,192,3,2,0,0,190,1,0,0,0,0,0,586,586,0,1,587,0
141,9,52,404,1,1,1,1,167,5,0,1,0,0,2,644,644,0,3,647,0
142,6,55,269,1,0,0,0,116,0,0,1,0,1,1,450,450,0,3,453,0
143,18,166,182,1,1,0,0,247,1,1,0,0,0,2,619,619,0,2,621,0
144,7,115,188,0,0,0,0,135,0,0,0,0,0,0,445,445,0,1,446,0
145,13,56,228,0,0,1,0,127,0,0,0,0,0,0,425,425,0,3,428,0
146,9,100,165,0,0,0,0,171,0,0,0,0,1,1,447,447,0,0,447,0
147,14,97,466,2,0,2,1,251,0,0,0,1,1,0,835,835,0,0,835,0
148,15,42,361,1,1,1,0,143,0,0,0,0,1,0,565,565,0,1,566,0
149,8,67,276,1,0,1,0,124,1,0,0,0,0,0,478,478,0,1,479,0
150,8,60,233,0,1,1,0,117,0,1,0,0,0,1,422,422,0,0,422,0
151,6,177,112,1,0,1,1,172,0,0,0,0,0,0,470,470,0,1,471,0
152,13,171,160,3,0,0,1,186,0,0,1,0,0,0,535,535,0,2,537,0
153,25,116,465,0,0,0,0,246,0,0,0,0,0,1,853,853,0,7,860,0
154,29,116,366,2,0,0,1,331,0,0,0,1,0,1,847,847,0,2,849,0
155,14,145,353,0,2,0,0,203,1,1,0,0,2,0,721,721,0,3,724,0
156,13,63,303,0,0,0,2,143,0,0,0,1,0,0,525,525,0,4,529,0
157,7,170,174,0,0,0,0,196,0,1,0,0,0,2,550,550,0,4,554,0
158,11,155,250,1,0,0,1,230,0,0,2,0,1,1,652,652,0,4,656,0
159,12,233,249,1,1,0,2,228,0,1,0,0,1,1,729,729,0,2,731,0
160,16,179,264,1,0,1,0,203,1,0,0,0,1,0,666,666,0,8,674,0
161,13,326,194,1,0,2,0,259,0,0,2,0,1,0,798,798,0,3,801,0
162,18,144,200,0,0,0,0,126,0,0,0,1,0,0,489,489,0,5,494,0
163,18,411,196,1,1,0,1,237,0,2,1,0,0,0,868,868,0,4,872,0
164,7,170,94,0,0,0,0,105,1,0,0,0,1,1,379,379,0,2,381,0
165,17,220,265,0,0,1,0,248,1,0,0,1,0,1,754,754,0,2,756,0
166,9,151,258,1,1,0,0,211,0,0,0,1,0,1,633,633,0,3,636,0
167,33,112,279,1,0,0,1,241,1,0,0,0,1,0,669,669,0,2,671,0
168,22,175,276,1,0,0,2,250,1,0,0,0,1,3,731,731,0,3,734,0
169,12,371,168,0,0,0,0,233,1,0,1,0,0,1,787,787,0,1,788,0
170,8,368,91,0,0,1,0,218,0,0,0,0,0,0,686,686,0,0,686,0
171,23,87,319,1,0,2,1,233,0,0,0,0,3,1,670,670,0,7,677,0
172,10,220,197,0,0,0,0,243,1,0,0,1,0,0,672,672,0,1,673,0
173,16,106,348,1,1,0,0,232,0,0,0,0,1,2,707,707,0,1,708,0
174,21,136,509,3,0,1,0,280,0,0,1,1,0,1,953,953,0,2,955,0
175,22,188,347,3,0,2,0,288,2,0,0,1,1,3,857,857,0,3,860,0
176,12,234,266,1,0,0,1,308,0,0,0,1,0,1,824,824,0,0,824,0
177,4,102,430,1,0,0,0,65,0,0,0,0,2,0,604,604,0,0,604,0
178,10,157,356,2,0,0,0,218,0,0,0,0,3,1,747,747,0,0,747,0
179,16,90,572,1,0,0,0,139,0,0,1,0,0,0,819,819,0,3,822,0
180,12,224,328,0,2,0,1,138,0,1,0,0,1,1,708,708,0,2,710,0
181,25,129,656,4,1,0,1,160,0,0,0,2,0,1,979,979,0,3,982,0
182,21,110,243,1,1,0,0,195,0,0,0,0,0,2,573,573,0,2,575,0
183,49,164,193,1,0,1,1,184,0,0,0,0,1,1,595,595,0,1,596,0
184,7,119,237,0,0,0,0,99,0,0,1,0,1,3,467,467,0,1,468,0
185,12,92,454,3,0,0,2,205,0,0,0,1,3,0,772,772,0,1,773,0
186,12,80,436,2,2,0,0,161,0,0,0,0,0,0,693,693,0,2,695,0
187,14,191,382,1,1,0,1,248,1,0,0,0,2,0,841,841,0,6,847,0
188,10,109,397,0,0,0,2,70,0,0,0,0,3,0,591,591,0,6,597,0
189,16,124,495,2,0,0,2,117,1,0,0,0,0,1,758,758,0,0,758,0
190,23,178,360,1,0,0,0,231,0,0,0,0,4,0,797,797,0,0,797,0
191,19,176,466,5,1,0,1,226,0,0,1,2,4,0,901,901,0,2,903,0
192,27,137,432,1,0,1,0,154,0,0,0,0,2,2,756,756,0,1,757,0
193,7,90,225,1,0,1,0,75,1,0,0,0,0,0,400,400,0,0,400,0
194,13,118,431,0,0,4,0,97,0,1,0,1,0,0,665,665,0,1,666,0
195,20,175,527,3,1,1,2,242,0,0,3,0,3,1,978,978,0,0,978,0
196,19,103,530,1,0,2,0,183,1,2,1,1,1,4,848,848,0,3,851,0
197,32,150,537,2,1,0,3,245,0,0,0,0,2,1,973,973,0,6,979,0
198,15,83,393,3,1,1,0,82,1,0,0,1,2,2,584,584,0,1,585,0
199,40,152,387,6,0,1,3,255,1,0,0,1,4,5,855,855,0,3,858,0
200,13,81,252,2,0,0,0,189,3,0,0,0,0,0,540,540,0,0,540,0
201,16,124,232,1,0,0,0,121,0,0,0,0,0,0,494,494,0,1,495,0
202,15,205,522,2,0,0,0,148,0,0,0,0,0,0,892,892,0,2,894,0
203,12,108,653,3,0,0,0,49,1,0,0,0,3,2,831,831,0,0,831,0
204,17,91,534,1,1,0,0,171,1,0,1,0,4,2,823,823,0,1,824,0
205,10,78,140,0,0,0,1,201,0,0,1,0,0,3,434,434,0,3,437,0
206,25,125,651,0,1,1,0,128,0,0,0,0,0,1,932,932,0,3,935,0
207,9,142,379,3,1,1,0,208,0,0,2,1,2,2,750,750,0,4,754,0
208,14,91,305,1,0,0,0,151,0,0,0,0,1,0,563,563,0,0,563,0
209,19,158,174,5,0,1,1,212,0,1,2,1,1,1,576,576,0,1,577,0
210,19,183,222,0,0,0,0,328,0,0,0,0,2,4,758,758,0,2,760,0
211,14,181,275,3,1,2,0,243,0,0,0,0,2,1,722,722,0,4,726,0
212,27,209,210,1,4,0,2,308,2,0,2,2,0,1,768,768,0,0,768,0
213,9,172,253,2,0,1,0,102,1,0,1,1,2,0,544,544,0,2,546,0
214,13,106,214,0,0,0,1,166,0,0,0,0,1,0,501,501,0,1,502,0
215,20,129,303,0,1,0,0,157,0,0,0,0,2,0,612,612,0,2,614,0
216,14,188,161,0,0,0,0,126,0,0,0,0,1,0,490,490,0,0,490,0
217,14,120,277,0,0,0,0,169,0,0,0,0,1,1,582,582,0,4,586,0
218,22,182,328,1,1,0,1,238,0,0,0,0,4,1,778,778,0,3,781,0
219,28,159,471,2,0,0,0,261,0,0,1,0,4,0,926,926,0,2,928,0
220,23,159,387,1,0,0,0,183,0,1,0,0,3,3,760,760,0,1,761,0
221,11,119,281,1,1,1,1,184,0,0,0,1,1,1,602,602,0,1,603,0
222,39,219,426,3,4,0,2,298,1,0,2,1,3,2,1000,1000,0,4,1004,0
223,13,66,163,2,0,0,1,224,1,0,0,0,0,2,472,472,0,0,472,0
224,9,87,213,3,0,0,2,162,0,0,0,0,2,0,478,478,0,4,482,0
225,24,130,266,1,0,1,0,166,0,0,1,1,2,1,593,593,0,2,595,0
226,22,165,505,4,2,0,0,113,0,0,0,1,4,1,817,817,0,2,819,0
227,20,175,520,2,1,0,0,136,0,0,1,0,3,0,858,858,0,0,858,0
228,20,139,471,2,0,9,0,186,2,0,0,0,3,0,832,832,0,2,834,0
229,16,125,369,4,0,0,0,89,1,1,0,0,2,0,607,607,0,2,609,0
230,13,99,372,7,1,1,0,147,0,0,0,0,2,1,643,643,0,1,644,0
231,22,182,359,1,0,0,0,202,0,0,0,0,1,5,772,772,0,0,772,0
232,16,145,428,2,2,0,0,178,1,0,0,0,1,1,774,774,0,5,779,0
233,9,120,277,3,1,0,0,89,0,0,0,0,0,2,501,501,0,0,501,0
234,21,146,382,0,1,0,1,129,0,0,0,0,1,0,681,681,0,1,682,0
235,16,256,426,4,2,1,0,249,1,0,0,1,2,1,959,959,0,2,961,0
236,9,71,301,1,1,3,0,79,0,0,0,0,0,1,466,466,0,0,466,0
237,21,146,501,0,0,0,1,145,0,0,1,1,4,1,821,821,0,1,822,0
238,9,114,288,0,0,0,0,172,0,0,0,0,1,2,586,586,0,2,588,0
239,10,123,273,1,3,0,0,223,2,0,0,1,3,1,640,640,0,5,645,0
240,9,109,253,1,0,1,0,130,0,0,1,0,3,1,508,508,0,3,511,0
241,11,211,455,1,0,0,0,95,0,0,0,0,1,0,774,774,0,1,775,0
242,21,191,428,1,0,1,2,252,0,0,0,0,2,2,900,900,0,1,901,0
243,24,131,375,2,1,0,2,216,0,1,0,0,1,5,758,758,0,3,761,0
244,10,102,294,2,0,0,0,148,0,0,0,0,0,0,556,556,0,0,556,0
245,4,96,164,0,0,0,0,87,0,0,0,0,0,1,352,352,0,1,353,0
246,29,194,568,4,0,1,0,131,0,0,1,1,0,0,929,929,0,2,931,0
247,27,246,363,1,0,1,1,269,0,0,0,0,2,0,910,910,0,3,913,0
248,9,101,487,1,0,0,0,86,1,0,1,0,4,4,694,694,0,1,695,0
249,16,124,662,1,0,1,0,123,0,0,0,1,6,3,937,937,0,1,938,0
250,11,115,377,2,0,0,0,91,0,0,0,1,0,1,598,598,0,0,598,0
251,30,169,485,1,2,0,0,309,0,1,1,0,2,4,1004,1004,0,4,1008,0
252,13,130,333,1,0,0,0,189,0,0,0,0,0,1,667,667,0,1,668,0
253,35,201,320,6,0,0,0,298,2,0,0,1,0,0,863,863,0,5,868,0
254,34,212,390,2,0,2,0,292,0,0,0,0,0,1,933,933,0,3,936,0
255,26,153,370,2,2,1,0,208,0,0,0,3,2,1,768,768,0,7,775,0
256,12,97,242,4,1,0,0,169,0,0,0,0,1,3,529,529,0,2,531,0
257,13,181,244,0,1,0,0,114,0,0,0,0,0,0,553,553,0,1,554,0
258,34,152,297,3,2,1,0,318,3,0,0,1,0,1,812,812,0,0,812,0
259,12,106,175,0,0,0,0,164,0,0,1,0,2,0,460,460,0,2,462,0
260,11,110,289,3,0,0,0,111,1,0,1,1,1,1,529,529,0,1,530,0
261,11,71,321,0,0,1,0,141,1,0,0,1,1,2,550,550,0,3,553,0
262,8,174,608,1,2,1,0,100,0,0,0,0,4,0,898,898,0,1,899,0
263,16,161,391,2,0,1,0,223,0,0,2,0,5,2,803,803,0,0,803,0
264,15,147,299,3,1,0,1,237,0,0,0,0,3,2,708,708,0,0,708,0
265,28,113,380,4,0,3,1,226,0,1,0,0,4,2,762,762,0,2,764,0
266,13,160,318,1,1,2,1,133,0,0,0,1,2,1,633,633,0,2,635,0
267,10,81,352,0,1,0,0,120,0,0,0,0,1,2,567,567,0,1,568,0
268,30,196,345,4,1,1,1,283,0,0,0,0,1,1,863,863,0,2,865,0
269,19,209,314,0,0,0,0,150,0,0,0,0,0,2,694,694,0,3,697,0
270,17,218,306,1,0,8,1,180,0,0,0,0,1,1,733,733,0,1,734,0
271,5,104,279,2,0,9,0,79,0,0,0,0,1,0,479,479,0,2,481,0
272,14,415,308,1,0,0,4,207,1,0,0,0,0,2,952,952,0,1,953,0
273,10,150,306,1,0,5,0,132,0,0,0,0,2,0,606,606,0,1,607,0
274,25,130,296,3,0,0,1,194,0,0,1,0,.,2,655,655,0,3,658,0
275,34,254,329,2,0,2,1,274,2,1,0,2,2,6,909,909,0,3,912,0
276,15,271,247,2,2,1,0,184,0,0,0,0,0,2,724,724,0,2,726,0
277,9,92,344,1,2,3,0,170,2,0,0,0,3,2,628,628,0,2,630,0
278,19,198,335,0,0,0,0,220,0,0,0,0,0,1,773,773,0,0,773,0
279,20,170,404,4,0,0,0,241,0,1,1,1,3,3,848,848,0,5,853,0
280,28,145,532,3,0,9,1,230,0,0,0,0,4,2,954,954,0,2,956,0
281,9,79,379,3,0,1,0,162,0,0,0,0,0,0,633,633,0,2,635,0
282,13,87,286,3,0,1,0,157,0,0,0,0,2,0,549,549,0,1,550,0
283,3,78,156,0,0,0,1,90,0,0,0,1,1,0,330,330,0,0,330,0
284,27,114,224,0,2,0,0,127,1,0,1,1,2,7,506,506,0,3,509,0
285,7,100,308,2,1,1,1,178,0,0,0,0,1,0,599,599,0,2,601,0
286,32,125,201,2,11,0,3,125,0,0,2,1,1,2,505,505,0,6,511,0
287,21,132,282,4,14,0,0,122,0,0,1,1,1,0,578,578,0,2,580,0
288,5,27,100,0,1,1,0,52,0,0,0,1,0,0,187,187,0,0,187,0
289,18,97,341,1,0,0,0,177,0,0,1,0,0,2,637,637,0,1,638,0
290,11,118,383,0,0,1,1,178,0,0,0,1,5,1,699,699,0,3,702,0
291,21,118,227,1,1,0,0,180,0,1,0,1,7,2,559,559,0,1,560,0
292,23,135,269,0,1,0,0,112,0,0,0,0,4,2,546,546,0,2,548,0
293,16,210,385,2,2,68,3,201,1,0,0,2,6,2,898,898,0,5,903,0
294,8,110,238,2,0,1,0,150,0,2,1,0,4,2,518,518,0,2,520,0
295,12,52,205,0,1,0,0,85,0,0,0,1,3,0,359,359,0,1,360,0
296,15,169,368,5,1,0,0,189,1,0,0,0,5,3,756,756,0,2,758,0
297,10,49,160,0,1,1,0,45,1,0,0,0,1,0,268,268,0,0,268,0
298,13,174,566,3,1,0,2,280,2,1,0,0,5,0,1047,1047,0,0,1047,0
299,13,138,389,0,0,0,0,97,0,0,0,1,2,1,641,641,0,0,641,0
300,23,188,693,1,0,1,0,135,0,0,2,0,5,3,1051,1051,0,4,1055,0
301,22,219,368,1,2,3,4,359,2,0,1,0,4,4,989,989,0,7,996,0
302,11,92,239,2,1,0,0,137,0,0,0,0,1,0,483,483,0,1,484,0
303,35,245,467,1,1,2,0,141,0,0,3,0,4,3,902,902,0,1,903,0
304,13,119,410,2,0,0,0,106,1,0,0,0,1,0,652,652,0,0,652,0
305,126,122,521,7,2,0,2,213,1,0,0,2,3,2,1001,1001,0,3,1004,0
306,23,159,414,2,0,10,1,173,1,0,0,0,0,0,783,783,0,2,785,0
307,14,141,289,3,0,2,0,152,0,0,0,0,0,0,601,601,0,1,602,0
308,19,98,345,3,0,2,0,97,0,0,0,2,0,0,566,566,0,0,566,0
309,15,177,467,2,0,0,1,126,0,0,0,0,0,0,788,788,0,5,793,0
310,10,135,256,2,0,0,1,121,0,0,1,0,0,0,526,526,0,1,527,0
311,9,138,372,1,1,2,1,134,0,1,0,1,1,0,661,661,0,0,661,0
312,10,131,228,1,0,0,0,86,0,0,0,0,1,0,457,457,0,3,460,0
313,20,164,218,0,2,0,0,290,1,1,0,1,1,1,699,699,0,0,699,0
