Polling Station No,APPAVU.M,ESSAKKIAMMAL.E,GIRIJA THAMARAIPANDIAN.D,BALAKRISHNAN.S.P,DR.SATHISH CHRISTOPHER,JESURAJENDRAN.J,MAHALAKSHMI,MURUGAN.P,ARUNRAJ,OLIVER ANTON NAVAMONI. S,ANANTHI.R,ANAND PRASAD,KARTHICK.V,KINGSLY ISACC JEBARAJ.S,SUNDARAJAN.S,SELVAN.T,DANIEL.A,PON SANTHANA KUMARAN.R,MANIKANDAN.A.I,MANIKANDAN.S,MANIKANDAN.L,RAJAN.P,JEYARAJ.P V S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
25,284,5,28,26,158,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,2,0,0,509,0,0,509,0
26,80,0,29,85,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,269,0,0,269,0
27,224,1,36,35,159,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,460,0,1,461,0
28,220,2,103,251,195,2,1,1,0,0,0,0,0,2,0,1,2,2,2,0,1,0,0,785,0,3,788,0
29,63,0,55,281,137,2,2,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,546,0,1,547,0
30,248,1,106,104,231,0,0,0,1,0,1,1,1,0,1,1,6,2,1,0,2,1,0,708,0,4,712,0
31,88,0,15,33,73,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,213,0,2,215,0
32,209,0,37,143,187,0,0,0,1,0,2,4,0,0,1,1,2,0,1,2,3,0,0,593,0,2,595,0
33,207,3,44,57,292,0,1,1,0,0,1,11,0,2,1,0,5,1,0,1,1,0,0,628,0,2,630,0
34,129,1,39,99,112,1,0,0,0,0,0,3,2,0,0,0,2,5,0,0,0,0,0,393,0,2,395,0
35,247,4,45,93,298,0,1,1,0,0,2,4,0,0,0,6,5,2,1,1,2,0,0,712,0,1,713,0
36,98,1,32,49,187,0,2,1,0,0,0,3,0,0,0,0,2,4,0,0,1,0,0,380,0,0,380,0
37,205,1,59,172,261,1,0,2,0,2,2,1,0,1,0,0,5,2,1,1,3,0,0,719,0,1,720,0
38,144,0,31,147,277,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0,0,0,606,0,3,609,0
39,117,0,27,112,171,1,0,0,0,1,0,0,1,0,0,1,1,2,0,1,1,0,2,438,0,0,438,0
40,168,0,31,201,200,0,0,0,0,0,0,0,1,0,0,4,1,1,0,2,1,0,0,610,0,0,610,0
41,128,3,45,306,278,1,0,1,1,1,2,0,2,0,0,0,10,3,1,2,0,1,0,785,0,3,788,0
42,259,4,75,129,411,1,0,0,0,0,0,1,0,1,0,1,6,3,0,1,1,0,0,893,0,4,897,0
43,194,0,69,186,305,0,0,1,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,763,0,1,764,0
44,208,3,90,182,283,0,1,2,1,0,0,3,2,2,1,2,3,2,1,0,2,0,0,788,0,2,790,0
45,232,3,117,81,344,2,0,1,0,0,0,0,1,0,1,4,3,1,2,0,0,0,0,792,0,1,793,0
46,200,1,90,43,347,1,2,1,1,0,0,3,1,1,1,1,0,2,0,0,1,0,0,696,0,3,699,0
47,145,1,36,97,230,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,515,0,1,516,0
48,175,1,126,186,189,0,0,0,1,0,2,1,1,1,0,1,6,5,4,2,2,1,0,704,0,0,704,0
49,101,0,30,158,160,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,1,0,0,457,0,0,457,0
50,117,0,36,152,183,0,0,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,495,0,1,496,0
51,164,1,42,178,246,0,0,0,0,0,0,0,1,1,0,2,2,0,2,0,2,0,1,642,0,0,642,0
52,421,3,33,81,255,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,798,0,2,800,0
53,246,2,33,58,257,1,2,0,0,2,0,6,0,0,0,1,2,2,1,0,2,0,0,615,0,0,615,0
54,181,0,39,133,149,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,1,0,0,513,0,0,513,0
55,160,2,48,133,119,0,1,0,0,0,0,2,0,0,0,1,2,2,1,0,0,0,0,471,0,1,472,0
56,235,1,85,290,251,0,2,0,0,0,1,3,1,0,1,3,3,2,0,1,1,2,1,883,0,0,883,0
57,200,3,90,260,214,0,0,0,0,0,0,1,1,0,1,3,0,1,0,2,1,0,0,777,0,1,778,0
58,240,0,43,208,209,0,0,1,0,0,1,4,0,1,0,1,5,6,0,0,0,0,0,719,0,1,720,0
59,166,1,42,186,198,1,0,0,0,0,0,0,0,0,0,1,5,3,0,3,1,1,0,608,0,2,610,0
60,88,0,47,181,159,0,1,0,0,0,0,1,0,0,0,1,4,4,0,0,4,0,0,490,0,1,491,0
61,307,2,81,49,267,1,1,1,0,0,0,0,0,1,0,2,6,1,0,1,1,0,0,721,0,0,721,0
62,150,1,41,220,179,0,0,0,0,0,0,0,0,2,0,1,4,1,0,0,1,0,4,604,0,1,605,0
63,247,4,61,164,364,0,2,2,0,0,0,0,1,1,0,1,5,3,0,2,1,0,1,859,0,0,859,0
64,337,2,81,111,240,0,0,1,0,0,0,0,4,1,0,2,7,2,3,0,0,0,1,792,0,1,793,0
65,252,3,102,217,231,1,0,0,0,1,1,0,0,1,1,1,5,4,0,0,0,0,0,820,0,1,821,0
66,127,1,54,298,147,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,632,0,2,634,0
67,123,1,53,211,145,1,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,1,0,543,0,1,544,0
68,69,1,26,100,64,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,265,0,0,265,0
69,73,0,27,130,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,332,0
70,266,0,74,273,170,0,0,0,0,0,0,1,2,0,0,0,6,3,1,3,4,0,0,803,0,2,805,0
71,83,0,24,132,89,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,334,0,0,334,0
72,219,0,89,137,202,0,1,1,0,1,1,0,1,0,0,0,4,3,0,0,1,0,0,660,0,0,660,0
73,ge 1 286,1,63,60,206,1,0,0,0,0,0,0,2,1,0,0,2,5,0,0,0,0,1,628,0,0,628,0
74,190,2,56,152,268,2,0,0,0,1,0,1,0,0,0,0,7,6,0,1,3,0,1,690,0,3,693,0
75,521,0,20,28,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,694,0,4,698,0
76,243,1,34,157,149,1,0,3,0,0,0,1,2,1,0,1,4,0,1,0,0,0,0,598,0,3,601,0
77,170,1,43,189,105,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,2,0,0,517,0,2,519,0
78,248,1,30,169,188,0,0,1,0,0,0,0,2,0,1,0,7,2,0,1,0,0,1,651,0,2,653,0
79,192,3,64,165,137,0,0,0,0,1,3,0,3,1,3,0,3,4,0,0,0,0,0,579,0,0,579,0
80,163,0,62,205,90,0,1,0,0,0,0,0,0,0,0,0,2,4,2,2,1,1,1,534,0,2,536,0
81,189,1,46,214,128,1,1,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,590,0,1,591,0
82,110,1,23,105,116,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,361,0,0,361,0
83,275,1,87,277,139,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,787,0,0,787,0
84,68,0,60,244,162,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,1,0,1,544,0,2,546,0
85,143,0,64,243,159,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,2,0,2,621,0,1,622,0
86,245,0,48,126,199,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,625,0,1,626,0
87,133,1,62,225,124,0,1,1,0,1,0,0,2,0,1,4,3,1,0,2,0,0,1,562,0,1,563,0
88,129,1,30,99,187,0,0,1,0,0,0,4,0,1,0,3,0,3,0,1,0,0,1,460,0,1,461,0
89,188,0,50,71,108,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,425,0,1,426,0
90,145,0,21,141,240,0,0,0,0,0,1,0,0,1,1,1,1,3,0,1,0,0,0,556,0,0,556,0
91,194,2,54,185,184,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,626,0,1,627,0
92,86,0,38,89,72,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,290,0,0,290,0
93,123,0,30,58,171,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,1,0,390,0,3,393,0
94,127,0,64,41,238,2,1,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,482,0,0,482,0
95,119,1,40,59,159,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,1,0,1,387,0,2,389,0
96,155,3,53,43,269,2,0,1,0,0,0,0,1,2,0,1,1,1,0,2,1,0,0,535,0,5,540,0
97,175,1,48,57,234,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,3,0,2,528,0,2,530,0
98,176,0,56,109,263,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,611,0,2,613,0
99,181,1,50,144,260,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,1,645,0,1,646,0
100,204,1,57,175,302,1,0,1,0,0,1,1,0,2,0,3,6,3,1,0,3,0,1,762,0,4,766,0
101,84,0,28,85,178,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,379,0,1,380,0
102,124,0,35,103,121,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,387,0,2,389,0
103,204,2,48,285,254,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,797,0,1,798,0
104,236,0,45,224,147,0,0,0,0,0,0,0,0,3,0,1,10,22,1,3,3,0,0,695,0,2,697,0
105,206,0,48,68,102,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,431,0,0,431,0
106,230,2,41,43,220,0,0,0,1,0,0,0,0,1,2,3,3,1,1,1,0,0,0,549,0,0,549,0
107,128,0,57,48,215,1,0,0,0,0,0,1,0,0,2,0,2,3,1,0,0,0,0,458,0,2,460,0
108,293,1,77,93,346,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,816,0,2,818,0
109,121,1,49,74,188,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,1,0,441,0,2,443,0
110,205,0,60,71,292,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,635,0,1,636,0
111,194,0,35,68,209,0,1,0,0,0,0,1,2,0,0,2,4,2,0,0,1,0,0,519,0,1,520,0
112,177,0,60,71,235,0,0,0,1,0,0,1,2,2,0,0,1,1,1,0,0,0,0,552,0,3,555,0
113,155,0,62,112,261,2,2,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,600,0,2,602,0
114,288,1,71,101,106,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,569,0,2,571,0
115,127,2,24,181,111,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,452,0,0,452,0
116,202,1,34,151,205,1,1,0,0,0,0,1,5,0,2,1,3,2,1,0,1,0,0,611,0,2,613,0
117,237,2,35,114,197,0,0,0,0,1,0,0,1,1,0,2,1,0,2,1,0,0,0,594,0,0,594,0
118,151,0,71,232,201,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,660,0,1,661,0
119,122,0,80,192,166,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,567,0,0,567,0
120,150,0,26,57,82,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,320,0,0,320,0
121,99,2,78,182,169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,532,0,1,533,0
122,94,0,44,204,94,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,440,0,2,442,0
123,151,2,24,22,216,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,419,0,3,422,0
124,115,1,42,217,191,1,0,1,0,0,2,0,3,1,1,1,1,2,0,0,1,1,1,582,0,5,587,0
125,126,1,21,185,169,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,507,0,2,509,0
126,116,0,58,185,158,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,522,0,0,522,0
127,98,2,53,203,128,0,0,1,0,0,0,1,1,0,0,1,2,1,0,0,1,1,0,493,0,1,494,0
128,47,0,51,202,161,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,463,0,2,465,0
129,104,1,63,263,165,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,603,0,2,605,0
130,121,0,72,356,233,1,0,1,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,791,0,0,791,0
131,230,1,35,129,173,0,0,0,0,0,0,0,0,0,2,0,3,3,1,0,1,0,1,579,0,1,580,0
132,111,0,70,225,119,0,0,0,0,1,0,0,1,0,0,0,3,3,2,0,1,0,0,536,0,3,539,0
133,103,0,45,179,121,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,452,0,3,455,0
134,145,0,35,226,139,1,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,553,0,0,553,0
135,277,1,45,276,295,0,0,1,1,0,0,0,0,0,0,0,14,4,3,4,2,0,0,923,0,3,926,0
136,269,2,32,147,320,1,1,0,0,1,0,3,0,1,0,0,2,3,1,1,1,0,1,786,0,1,787,0
137,206,3,19,68,199,0,0,0,0,2,0,1,0,0,0,1,7,2,0,0,0,0,1,509,0,0,509,0
138,236,6,22,75,205,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,554,0,0,554,0
139,43,0,56,433,172,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,706,0,1,707,0
140,39,0,25,251,148,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,468,0,0,468,0
141,69,0,26,87,125,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,310,0,1,311,0
142,299,1,90,181,145,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,724,0,1,725,0
143,301,0,94,157,231,2,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0,1,793,0,2,795,0
144,253,4,71,229,202,0,0,0,0,3,0,1,2,2,1,2,3,1,1,1,0,0,0,776,0,0,776,0
145,111,1,17,99,84,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,318,0,0,318,0
146,ge 2 147,1,41,153,217,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,565,0,0,565,0
147,151,2,88,366,371,0,1,0,0,2,0,2,0,0,1,0,1,0,2,1,1,0,1,990,0,1,991,0
148,158,0,32,189,162,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,546,0,2,548,0
149,149,0,41,160,209,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,564,0,2,566,0
150,104,2,38,379,245,0,0,1,1,2,2,3,2,2,2,3,2,5,1,1,2,0,1,798,0,4,802,0
151,164,1,39,253,243,1,0,0,0,1,1,2,2,1,0,3,1,0,0,1,0,0,1,714,0,4,718,0
152,50,1,38,305,194,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,594,0,2,596,0
153,96,0,33,351,191,3,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,681,0,1,682,0
154,224,0,44,150,297,3,1,1,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0,726,0,2,728,0
155,204,1,60,136,152,1,1,0,1,0,0,0,0,1,0,0,5,2,0,0,0,0,1,565,0,1,566,0
156,142,0,42,324,257,0,0,0,0,0,0,0,1,0,0,0,4,4,2,4,0,2,0,782,0,2,784,0
157,72,1,26,223,132,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,457,0,0,457,0
158,91,0,41,257,186,0,1,1,0,0,0,1,0,0,0,0,1,3,0,2,0,0,2,586,0,0,586,0
159,100,0,31,250,119,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,2,0,0,508,0,0,508,0
160,159,0,52,328,169,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,715,0,2,717,0
161,52,0,31,198,128,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,417,0,0,417,0
162,131,0,24,183,119,1,0,0,0,1,0,0,0,0,0,0,6,2,1,0,2,0,0,470,0,1,471,0
163,233,1,27,51,342,1,0,0,0,1,0,1,0,0,0,0,3,1,0,1,0,0,0,662,0,1,663,0
164,293,2,37,47,270,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,1,0,0,656,0,1,657,0
165,244,0,29,74,248,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,599,0,1,600,0
166,254,0,59,49,355,1,0,0,0,0,0,0,0,0,1,1,3,3,0,1,0,1,1,729,0,3,732,0
167,297,0,67,158,111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,637,0,2,639,0
168,122,2,84,313,166,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,1,0,0,695,0,2,697,0
169,109,1,63,185,113,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,476,0,1,477,0
170,105,1,79,329,174,0,0,1,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,695,0,2,697,0
171,50,1,7,38,66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,164,0,0,164,0
172,159,0,29,182,154,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,1,527,0
173,123,0,25,138,116,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,405,0,1,406,0
174,162,0,55,211,139,1,0,10,0,0,0,0,0,0,0,1,5,1,2,1,0,0,0,588,0,0,588,0
175,120,2,72,306,184,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,686,0,1,687,0
176,137,0,74,355,147,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,718,0,5,723,0
177,144,0,27,140,75,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,393,0,1,394,0
178,103,1,53,535,149,0,1,0,0,0,0,0,2,0,1,1,1,0,0,3,0,0,0,850,0,2,852,0
179,139,0,44,225,171,0,0,2,0,1,1,0,1,0,0,1,3,0,0,0,0,0,1,589,0,1,590,0
180,146,1,44,140,131,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,466,0,0,466,0
181,173,1,36,73,322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,607,0,1,608,0
182,110,0,27,64,213,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,419,0,0,419,0
183,129,0,64,189,263,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,653,0,1,654,0
184,215,4,56,216,207,1,0,0,0,1,1,1,0,0,0,0,3,2,3,2,0,0,0,712,0,1,713,0
185,193,2,44,281,192,0,0,0,0,0,1,0,3,0,4,1,1,3,1,1,0,0,0,727,0,3,730,0
186,171,0,46,105,209,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,535,0,6,541,0
187,103,0,19,195,109,0,1,0,0,0,0,0,1,2,0,1,1,2,1,2,2,0,0,439,0,1,440,0
188,229,2,67,49,208,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,558,0,0,558,0
189,139,1,62,51,182,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,437,0,1,438,0
190,220,0,48,71,285,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,629,0,1,630,0
191,216,1,42,145,206,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,615,0,0,615,0
192,177,0,67,27,223,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,497,0,0,497,0
193,224,0,63,30,288,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,609,0,3,612,0
194,219,0,71,24,293,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,613,0,1,614,0
195,138,0,43,132,173,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,489,0,1,490,0
196,141,0,50,52,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,393,0,1,394,0
197,145,0,31,148,255,1,0,0,0,0,1,0,0,1,0,3,2,0,0,1,0,0,0,588,0,4,592,0
198,188,1,45,190,167,2,0,0,0,0,0,0,1,0,2,1,8,4,0,2,3,1,0,615,0,3,618,0
199,268,2,38,141,319,0,1,0,0,1,0,0,0,0,0,0,3,4,0,1,3,1,0,782,0,5,787,0
200,134,1,78,195,102,1,1,0,0,0,0,0,1,0,0,1,3,1,0,2,0,0,0,520,0,0,520,0
201,210,1,97,89,243,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,643,0,0,643,0
202,196,0,59,111,223,0,1,0,0,0,0,1,1,0,0,0,3,4,1,3,0,0,0,603,0,1,604,0
203,182,0,44,233,254,1,0,1,0,2,2,0,0,0,0,0,7,0,1,0,1,0,1,729,0,2,731,0
204,220,0,104,199,224,0,0,0,0,0,0,0,3,0,0,1,8,3,0,3,2,0,1,768,0,6,774,0
205,93,0,77,122,184,0,0,0,0,0,0,1,1,0,2,1,3,0,0,2,0,0,0,486,0,1,487,0
206,174,1,32,159,275,0,1,1,0,0,0,2,6,0,0,1,1,0,0,0,0,0,0,653,0,1,654,0
207,141,1,18,138,264,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,568,0,0,568,0
208,198,0,116,34,190,0,3,2,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,549,0,2,551,0
209,83,2,31,53,90,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,267,0,2,269,0
210,301,0,67,165,248,0,0,0,0,0,0,1,0,0,0,4,8,0,1,1,0,0,0,796,0,3,799,0
211,287,0,46,80,230,0,0,1,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,650,0,0,650,0
212,344,2,36,28,158,0,0,1,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,576,0,1,577,0
213,147,0,43,27,102,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,328,0,1,329,0
214,93,0,25,99,159,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,382,0,1,383,0
215,113,0,26,147,196,0,0,0,0,1,0,3,3,2,0,2,2,0,1,0,0,0,2,498,0,2,500,0
216,58,2,16,156,144,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,382,0,2,384,0
217,154,3,44,271,213,0,1,1,0,1,0,2,1,2,2,3,1,0,0,0,0,0,0,699,0,3,702,0
218,126,1,73,153,128,0,0,0,1,0,0,0,0,0,1,0,11,1,2,0,4,1,0,502,0,1,503,0
219,ge 3 128,2,42,226,185,0,0,0,0,0,0,0,2,0,2,0,4,2,0,5,0,0,1,599,0,2,601,0
220,236,1,31,76,357,0,1,0,0,0,1,2,2,0,0,2,8,2,0,0,1,0,0,720,0,2,722,0
221,236,0,51,117,193,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,603,0,2,605,0
222,152,1,40,197,291,1,0,0,1,0,0,1,2,1,1,1,6,2,0,0,0,0,1,698,0,2,700,0
223,133,0,42,131,250,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,562,0,1,563,0
224,142,1,39,134,255,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,579,0,2,581,0
225,204,1,51,216,283,0,1,0,0,1,0,0,1,2,0,1,2,0,0,0,1,0,0,764,0,3,767,0
226,280,1,34,258,298,0,0,1,0,0,1,1,0,0,0,1,8,3,1,0,1,0,0,888,0,5,893,0
227,126,0,71,264,323,1,0,0,0,1,0,2,2,3,1,2,2,1,0,0,0,1,0,800,0,1,801,0
228,108,2,43,304,390,1,0,3,0,0,1,1,1,0,0,0,1,3,1,1,3,0,2,865,0,4,869,0
229,169,1,29,185,209,1,0,0,0,3,0,0,1,0,0,0,4,0,0,1,0,0,0,603,0,2,605,0
