Polling Station No,ANANTHAN AYYASAMY,ESAI MATHIVANAN,R. RAMESHKUMAR,E. RAJA,R. AMUTHARANI,K. PAULRAJ,A. PONNUTHAI,K. RAJENDRAN,B. VEERALAKSHMI,M. ARUMUGASAMY,P. KARPAGAVALLI,I. SARAVANAN,SENTHILKUMAR,SELVARAJ .C,K. NAGARAJAN,A. PALANIKUMAR,PRABAKARAN .R,K. RAMACHANDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
24,155,36,6,187,182,1,22,0,0,2,4,4,9,0,0,2,1,0,611,0,6,617,0
25,149,48,2,139,154,2,19,2,1,1,2,3,3,2,3,8,2,3,543,0,2,545,0
26,129,40,0,354,275,0,8,1,0,0,2,3,7,0,3,3,1,0,826,0,2,828,0
27,96,23,0,238,197,0,14,0,0,0,0,0,6,0,1,1,0,0,576,0,3,579,0
28,153,41,1,291,222,1,5,0,0,1,0,1,8,1,0,3,1,0,729,0,4,733,0
29,138,50,2,172,278,0,19,0,0,1,4,1,3,0,1,4,0,0,673,0,3,676,0
30,95,20,0,75,100,0,10,0,1,0,1,0,0,0,0,1,1,0,304,0,0,304,0
31,170,39,0,254,252,1,3,1,1,1,2,2,3,0,2,2,1,1,735,0,4,739,0
32,157,61,2,194,244,0,16,1,0,0,0,2,1,0,0,4,1,1,684,0,3,687,0
33,234,42,0,153,251,0,5,0,0,0,0,0,0,2,1,5,2,0,695,0,2,697,0
34,216,36,1,62,96,0,17,0,0,0,0,2,2,0,0,3,3,5,443,0,0,443,0
35,159,42,3,181,197,3,5,1,1,0,0,0,0,0,0,2,2,1,597,0,3,600,0
36,116,11,0,99,90,0,9,0,0,0,1,0,3,0,0,2,1,1,333,0,3,336,0
37,188,30,0,205,154,2,10,0,0,0,3,1,1,0,0,1,0,0,595,0,2,597,0
38,138,23,0,160,116,0,3,0,0,1,0,2,3,0,0,2,0,0,448,0,2,450,0
39,118,28,1,108,152,0,0,0,1,0,1,0,1,0,0,3,1,0,414,0,1,415,0
40,121,52,1,138,139,0,9,0,0,0,2,0,2,1,1,3,0,1,470,0,3,473,0
41,47,15,1,300,164,0,0,0,0,0,1,0,1,0,1,0,0,0,530,0,3,533,0
42,35,20,0,330,156,2,1,0,0,0,0,1,2,0,0,0,0,1,548,0,1,549,0
43,52,21,3,303,172,2,0,0,0,0,1,3,3,0,1,1,1,0,563,0,5,568,0
44,46,38,1,311,151,1,0,0,0,0,1,2,2,0,0,0,1,0,554,0,3,557,0
45,127,14,0,46,78,178,1,1,1,0,0,3,0,1,2,9,1,1,463,0,3,466,0
46,92,25,0,66,102,107,0,0,1,1,1,1,4,0,0,3,0,1,404,0,0,404,0
47,217,141,2,252,259,1,0,0,1,0,3,0,1,2,3,4,4,0,890,0,2,892,0
48,126,48,3,194,191,1,2,0,0,0,3,2,7,1,3,5,0,1,587,0,2,589,0
49,236,62,1,163,206,4,28,0,0,1,0,1,2,2,1,4,2,2,715,0,3,718,0
50,118,66,1,127,84,9,0,0,0,0,1,0,2,0,1,4,2,0,415,0,1,416,0
51,266,70,0,132,165,1,0,0,1,0,0,1,2,0,0,3,1,0,642,0,2,644,0
52,320,58,1,105,141,2,1,0,1,0,1,1,3,0,1,1,4,1,641,0,4,645,0
53,263,62,0,118,162,1,0,0,1,2,0,0,2,0,0,4,0,0,615,0,2,617,0
54,207,32,0,161,194,0,0,0,1,0,0,0,1,0,0,5,2,0,603,0,1,604,0
55,209,52,2,155,155,7,7,1,0,1,4,6,4,0,3,5,0,0,611,0,1,612,0
56,240,66,1,205,193,5,1,0,0,0,2,1,9,1,2,12,3,0,741,0,1,742,0
57,271,62,3,207,164,0,0,0,0,0,2,2,1,1,3,11,11,2,740,0,0,740,0
58,251,54,0,129,160,0,1,0,0,1,2,1,4,0,3,1,1,2,610,0,1,611,0
59,248,102,0,105,174,0,1,1,0,1,1,0,5,1,2,6,7,1,655,0,3,658,0
60,296,92,1,216,203,27,25,2,3,2,5,3,5,1,1,14,6,0,902,0,2,904,0
61,103,37,0,190,132,29,1,0,0,0,1,2,3,3,0,3,0,3,507,0,3,510,0
62,193,16,1,117,70,120,20,0,0,0,1,1,3,1,0,3,4,0,550,0,2,552,0
63,80,7,2,146,77,3,29,1,0,0,0,0,3,0,2,1,0,0,351,0,0,351,0
64,167,72,0,119,146,1,0,2,0,0,1,1,3,0,2,6,1,0,521,0,2,523,0
65,99,46,0,114,85,1,0,0,1,0,2,0,5,0,3,4,0,1,361,0,2,363,0
66,172,32,0,151,72,21,2,0,2,0,0,2,1,0,0,0,2,0,457,0,0,457,0
67,152,21,2,153,59,22,0,0,0,0,0,0,0,0,0,1,1,0,411,0,1,412,0
68,184,30,1,207,88,1,7,1,0,0,0,0,4,0,0,2,2,1,528,0,1,529,0
69,259,33,0,173,108,0,9,1,0,1,1,1,2,2,1,3,3,0,597,0,2,599,0
70,220,34,0,193,128,0,3,0,0,0,2,3,3,0,1,11,0,0,598,0,0,598,0
71,128,36,2,262,175,35,1,1,0,0,1,0,3,0,0,4,0,1,649,0,1,650,0
72,211,59,0,133,132,15,6,1,1,0,0,1,2,1,0,11,2,1,576,0,2,578,0
73,130,22,1,105,97,4,9,1,0,0,0,0,2,1,0,5,1,1,379,0,2,381,0
74,234,54,0,97,195,0,0,1,1,0,0,0,1,0,1,4,1,1,590,0,4,594,0
75,233,50,2,138,198,2,2,0,0,0,2,1,1,0,1,1,2,0,633,0,5,638,0
76,250,73,1,128,160,0,1,0,0,0,1,0,1,1,1,6,6,1,630,0,1,631,0
77,274,39,0,105,144,2,0,1,0,0,0,1,2,0,0,2,2,0,572,0,2,574,0
78,98,18,1,179,144,22,0,0,0,0,0,0,0,0,0,2,0,0,464,0,1,465,0
79,74,18,0,182,112,30,2,2,0,0,3,0,2,2,2,2,1,0,432,0,1,433,0
80,131,31,2,239,138,49,1,0,0,1,2,1,2,5,2,3,7,0,614,0,1,615,0
81,210,26,3,343,241,13,8,1,2,0,3,8,5,0,2,5,8,1,879,0,5,884,0
82,171,81,3,331,246,84,1,0,2,1,2,6,3,1,1,4,1,0,938,0,3,941,0
83,158,68,2,196,247,43,1,0,0,1,2,3,0,0,0,1,1,1,724,0,2,726,0
84,172,62,1,247,241,74,6,0,0,1,2,1,1,2,1,5,1,2,819,0,2,821,0
85,255,44,0,248,107,19,0,0,0,0,1,1,3,0,1,3,0,0,682,0,1,683,0
86,156,27,0,188,105,28,1,1,0,3,4,1,1,0,0,2,3,1,521,0,6,527,0
87,184,17,3,83,57,4,31,0,0,0,4,5,6,0,4,14,4,0,416,0,3,419,0
88,228,23,3,124,65,6,19,3,0,0,3,1,8,4,1,17,2,1,508,0,3,511,0
89,142,23,2,130,86,19,2,0,0,0,2,0,5,0,1,11,6,1,430,0,2,432,0
90,213,18,0,145,59,7,33,1,0,0,1,0,5,2,1,6,1,0,492,0,3,495,0
91,217,70,1,240,184,37,2,0,1,0,4,0,1,0,1,4,2,1,765,0,0,765,0
92,103,28,1,206,118,2,89,3,0,1,4,2,3,0,2,1,0,0,563,0,1,564,0
93,155,34,0,113,94,10,66,1,1,2,4,0,0,0,2,1,1,0,484,0,0,484,0
94,157,43,1,230,168,1,108,1,2,1,4,2,2,0,8,0,1,1,730,0,3,733,0
95,167,77,0,284,127,18,1,3,1,0,1,2,10,3,1,5,0,0,700,0,2,702,0
96,94,38,1,258,216,10,9,2,2,1,4,7,10,4,1,12,3,4,676,0,2,678,0
97,114,42,0,133,100,15,3,0,0,1,1,0,6,1,1,5,1,0,423,0,1,424,0
98,293,44,1,175,124,1,97,2,1,0,1,2,4,1,0,8,3,0,757,0,3,760,0
99,196,39,6,189,176,3,6,2,0,2,5,2,2,1,1,9,4,4,647,0,1,648,0
100,133,26,0,167,123,43,12,0,1,3,1,1,1,1,1,2,8,3,526,0,2,528,0
101,191,84,1,118,253,1,1,1,1,0,4,2,2,3,3,10,7,0,682,0,0,682,0
102,333,70,4,144,164,21,1,1,1,1,1,2,0,1,2,5,3,2,756,0,7,763,0
103,126,35,1,239,152,13,1,0,1,0,1,2,4,2,2,4,1,0,584,0,3,587,0
104,138,42,1,403,151,12,0,1,0,0,2,2,5,2,1,1,1,1,763,0,1,764,0
105,257,35,2,233,157,0,6,0,0,0,3,0,8,1,1,9,0,1,713,0,0,713,0
106,229,27,0,74,164,1,4,0,0,0,1,0,0,0,0,2,3,0,505,0,1,506,0
107,317,41,0,152,196,2,10,0,0,2,0,0,0,0,1,8,3,2,734,0,2,736,0
108,200,29,2,111,160,0,8,0,0,1,1,1,1,0,1,3,0,0,518,0,0,518,0
109,185,29,1,73,172,1,0,1,1,0,3,0,1,0,0,1,3,0,471,0,2,473,0
110,303,39,0,69,233,1,2,0,0,0,1,1,1,1,1,7,2,1,662,0,7,669,0
111,161,29,0,79,117,1,1,2,0,0,2,2,1,0,0,3,1,0,399,0,1,400,0
112,126,24,2,232,167,2,2,1,0,0,0,0,3,1,0,2,1,1,564,0,1,565,0
113,109,16,1,417,107,0,6,0,0,0,1,0,2,0,0,2,1,1,663,0,3,666,0
114,148,7,0,236,86,0,16,0,0,0,0,0,0,0,0,1,0,0,494,0,2,496,0
115,194,34,1,250,181,0,2,0,1,0,1,2,11,1,1,6,0,0,685,0,2,687,0
116,182,47,0,130,147,0,2,0,0,0,0,0,0,0,0,1,0,0,509,0,3,512,0
117,392,38,3,129,231,5,1,0,1,1,0,7,4,0,0,7,2,1,822,0,5,827,0
118,185,63,3,258,184,1,7,1,1,0,2,3,2,0,0,1,0,0,711,0,3,714,0
119,157,47,0,260,155,3,1,1,1,1,1,1,0,0,0,1,1,0,630,0,3,633,0
120,171,33,0,229,130,0,9,0,0,0,1,3,3,0,2,3,0,0,584,0,0,584,0
121,264,21,0,128,128,1,10,0,0,0,0,1,0,0,1,6,1,0,561,0,1,562,0
122,253,40,0,264,153,2,11,0,1,0,1,1,1,0,1,4,0,0,732,0,0,732,0
123,179,33,3,148,113,133,2,0,0,1,2,3,1,0,1,6,4,1,630,0,4,634,0
124,102,12,1,121,94,45,1,0,0,0,2,0,5,0,0,1,4,0,388,0,0,388,0
125,192,40,1,137,124,110,4,1,1,0,1,4,6,1,1,3,1,0,627,0,2,629,0
126,73,31,1,329,226,3,0,0,0,1,3,3,2,0,2,1,2,0,677,0,5,682,0
127,264,39,0,186,186,66,2,0,1,0,9,3,0,1,2,6,2,0,767,0,2,769,0
128,334,15,1,145,172,12,16,1,0,3,5,2,6,1,3,9,7,2,734,0,2,736,0
129,227,39,0,147,286,4,2,0,0,0,1,4,0,0,3,0,2,0,715,0,1,716,0
130,180,28,2,165,208,2,5,0,0,0,1,0,0,0,0,1,0,0,592,0,2,594,0
131,294,45,0,229,252,1,0,0,0,0,0,3,2,0,2,4,1,1,834,0,1,835,0
132,192,34,2,145,193,1,1,1,0,0,1,2,0,1,3,2,2,0,580,0,1,581,0
133,239,23,0,135,231,1,2,0,0,0,0,0,1,0,0,3,2,0,637,0,3,640,0
134,142,16,2,194,95,0,2,0,0,0,0,1,0,0,1,2,0,1,456,0,3,459,0
135,13,2,1,460,39,0,0,0,0,0,2,0,3,0,0,0,0,0,520,0,1,521,0
136,261,60,3,201,272,2,1,1,0,0,5,4,4,0,2,5,4,0,825,0,2,827,0
137,102,11,1,213,44,0,13,0,0,1,0,1,3,0,0,2,2,0,393,0,0,393,0
138,143,12,1,414,83,1,25,0,0,1,1,1,1,0,0,1,1,0,685,0,1,686,0
139,197,42,3,306,184,15,2,0,0,0,0,1,1,0,0,1,0,1,753,0,7,760,0
140,184,12,0,304,134,2,25,1,0,0,1,0,2,0,2,1,0,0,668,0,3,671,0
141,116,7,0,261,118,0,2,0,1,0,0,0,2,0,0,2,0,0,509,0,3,512,0
142,114,14,1,207,115,1,7,0,0,0,2,0,2,0,0,1,5,0,469,0,3,472,0
143,219,19,1,301,126,1,8,0,1,0,1,0,1,1,1,2,0,1,683,0,2,685,0
144,182,23,0,92,154,0,0,1,0,0,0,1,0,1,0,0,0,0,454,0,1,455,0
145,79,7,0,443,81,7,1,0,0,1,3,0,2,0,0,0,1,1,626,0,0,626,0
146,162,35,0,423,141,2,0,1,0,0,2,1,1,1,0,0,2,1,772,0,0,772,0
147,181,24,2,96,96,32,0,1,0,0,0,0,0,1,1,3,2,0,439,0,3,442,0
148,228,27,1,303,101,27,0,0,1,0,3,0,2,1,0,3,0,0,697,0,4,701,0
149,11,12,1,832,73,0,0,0,0,0,2,0,0,0,0,0,0,0,931,0,1,932,0
150,3,4,1,772,42,0,0,0,0,0,0,1,4,0,0,0,0,0,827,0,2,829,0
151,105,4,1,271,217,2,0,0,0,0,2,1,2,1,1,1,0,0,608,0,1,609,0
152,125,16,3,322,69,0,4,1,0,1,1,2,3,0,0,3,1,0,551,0,1,552,0
153,26,11,1,407,47,0,4,0,1,0,1,0,1,0,0,0,0,0,499,0,1,500,0
154,5,3,0,552,38,1,2,0,0,1,0,1,0,0,0,0,0,0,603,0,0,603,0
155,127,8,1,261,91,0,0,0,0,1,0,0,0,0,0,1,1,0,491,0,0,491,0
156,19,12,0,677,73,0,0,0,1,0,0,0,2,0,0,1,0,0,785,0,2,787,0
157,319,33,8,229,214,2,4,1,0,0,2,0,2,2,0,2,1,1,820,0,1,821,0
158,206,19,0,130,181,0,0,1,1,0,2,0,1,0,0,4,0,1,546,0,1,547,0
159,205,11,0,80,77,0,0,0,0,0,0,0,0,0,0,0,2,0,375,0,1,376,0
160,116,11,2,631,88,0,1,0,0,1,3,1,4,2,0,3,2,0,865,0,3,868,0
161,1,7,1,524,44,0,1,0,0,0,0,0,2,0,0,0,0,0,580,0,0,580,0
162,2,6,0,396,40,0,0,0,0,0,0,0,1,0,0,0,0,0,445,0,0,445,0
163,337,24,1,129,200,1,1,0,1,0,1,1,2,0,0,4,0,0,702,0,1,703,0
164,196,29,1,102,215,1,0,0,0,0,0,0,0,0,0,2,1,0,547,0,0,547,0
165,214,36,2,98,222,1,8,0,0,0,1,4,0,0,0,1,1,1,589,0,2,591,0
166,101,5,0,129,106,0,2,0,1,0,0,0,0,0,1,0,0,0,345,0,3,348,0
167,202,35,1,113,178,0,5,0,0,0,3,2,3,0,2,2,2,0,548,0,2,550,0
168,263,18,2,127,194,2,1,0,0,0,0,0,1,0,0,2,2,1,613,0,0,613,0
169,175,38,1,134,111,1,8,0,0,0,2,0,0,0,1,0,2,0,473,0,7,480,0
170,314,13,0,144,171,0,0,0,1,1,0,0,1,0,0,2,5,1,653,0,2,655,0
171,164,61,1,263,226,110,0,0,0,2,1,4,3,0,1,8,1,0,845,0,1,846,0
172,259,88,1,237,243,24,1,0,0,2,1,2,4,1,3,7,3,1,877,0,8,885,0
173,154,63,0,164,171,0,1,0,1,0,2,0,0,0,1,2,6,1,566,0,1,567,0
174,151,45,0,86,127,0,0,1,0,0,1,1,0,0,0,1,2,0,415,0,1,416,0
175,182,87,0,208,168,0,1,0,1,2,3,1,3,0,1,0,1,0,658,0,4,662,0
176,203,32,2,157,180,1,2,0,0,0,0,0,2,0,0,3,2,1,585,0,2,587,0
177,164,51,1,72,125,2,1,0,0,0,0,1,4,1,1,1,0,0,424,0,1,425,0
178,433,22,0,155,208,1,3,2,0,0,2,1,2,1,2,4,2,1,839,0,3,842,0
179,263,22,3,172,186,2,0,0,0,0,6,2,2,0,0,6,1,2,667,0,1,668,0
180,329,36,1,122,220,0,2,0,0,1,0,0,1,0,1,2,5,1,721,0,6,727,0
181,111,39,0,270,167,4,0,0,1,0,0,0,0,0,0,1,0,1,594,0,1,595,0
182,126,41,2,328,147,8,1,0,0,0,1,0,1,0,0,1,0,1,657,0,4,661,0
183,152,39,1,233,113,19,0,0,0,0,4,2,0,0,0,1,0,1,565,0,1,566,0
184,280,52,2,237,147,89,1,2,0,2,4,1,3,1,1,3,4,0,829,0,3,832,0
185,220,19,0,160,134,1,1,0,0,0,2,0,1,0,0,0,3,0,541,0,3,544,0
186,122,32,0,151,95,0,0,1,0,0,1,0,1,0,0,0,0,2,405,0,0,405,0
187,222,27,2,116,253,0,4,1,0,0,3,0,0,0,2,1,3,0,634,0,0,634,0
188,241,44,3,194,271,2,1,0,0,1,0,1,2,0,1,5,0,0,766,0,2,768,0
189,207,45,0,178,263,1,1,1,0,2,3,1,0,0,0,3,2,1,708,0,2,710,0
190,274,64,0,166,215,1,2,1,0,0,0,2,2,0,0,0,3,0,730,0,3,733,0
191,166,74,1,167,227,0,2,0,0,1,2,0,3,0,1,3,1,0,648,0,0,648,0
192,189,69,1,264,201,1,1,0,0,0,2,1,1,0,0,0,1,0,731,0,1,732,0
193,273,64,0,232,170,50,0,0,0,1,0,0,2,0,2,0,2,0,796,0,3,799,0
194,255,58,2,215,206,77,0,1,1,4,4,6,3,3,2,3,1,1,842,0,2,844,0
195,107,31,2,442,164,4,0,0,0,0,3,0,0,0,0,3,2,1,759,0,2,761,0
196,192,28,1,80,56,66,0,1,1,2,2,1,0,0,0,3,3,0,436,0,2,438,0
197,132,26,0,133,120,68,0,1,0,1,0,1,0,0,1,2,2,0,487,0,1,488,0
198,361,30,1,52,122,1,26,0,0,0,1,0,0,0,0,4,4,0,602,0,0,602,0
199,266,22,1,118,152,3,23,0,1,0,0,0,0,0,0,5,5,3,599,0,2,601,0
200,118,31,2,161,154,2,23,1,1,0,4,4,3,0,0,4,0,1,509,0,0,509,0
201,161,34,0,172,113,0,21,0,1,0,1,1,3,0,1,2,0,0,510,0,2,512,0
202,134,15,2,107,126,1,16,1,0,0,2,0,1,0,2,0,0,1,408,0,0,408,0
203,172,48,2,278,198,0,12,2,0,1,1,1,1,0,0,1,1,0,718,0,2,720,0
204,151,86,0,263,129,2,23,2,0,0,1,0,0,0,0,0,0,1,658,0,0,658,0
205,139,35,3,219,156,9,11,0,1,0,2,0,1,1,0,3,2,0,582,0,3,585,0
206,189,43,0,264,155,17,0,0,0,0,2,1,3,3,4,3,3,0,687,0,1,688,0
207,108,14,0,169,81,5,2,0,0,0,0,0,2,0,0,1,1,0,383,0,0,383,0
208,126,21,1,175,208,2,3,2,1,1,3,1,3,0,1,1,1,0,550,0,5,555,0
209,93,22,1,187,94,0,1,1,0,1,1,0,4,1,2,2,0,1,411,0,0,411,0
210,335,42,3,173,168,36,7,1,0,0,4,1,8,2,2,9,6,1,798,0,2,800,0
211,106,36,1,247,126,14,17,1,0,1,2,0,2,1,2,2,1,0,559,0,0,559,0
212,80,13,0,135,80,16,2,0,0,0,1,2,7,0,0,5,2,0,343,0,0,343,0
213,245,7,0,112,94,0,1,0,0,0,1,1,0,0,0,0,1,0,462,0,0,462,0
214,294,32,6,192,124,13,20,2,3,1,3,5,9,2,3,13,6,2,730,0,5,735,0
215,217,137,0,186,161,2,1,0,0,0,1,0,1,0,1,4,7,0,718,0,0,718,0
216,257,176,0,205,215,0,2,2,0,0,1,3,0,0,1,2,1,1,866,0,5,871,0
217,173,137,2,178,213,0,2,0,1,0,2,0,1,0,0,4,1,0,714,0,2,716,0
218,152,75,1,270,204,7,29,4,0,0,0,1,3,1,1,3,1,1,753,0,4,757,0
219,126,62,4,230,142,11,14,0,0,1,2,1,6,1,1,2,1,0,604,0,1,605,0
220,119,56,0,238,229,1,28,0,2,0,2,1,4,1,0,2,1,3,687,0,1,688,0
221,65,23,0,99,43,7,3,0,0,0,1,0,4,0,1,0,0,0,246,0,0,246,0
222,167,63,0,159,105,139,3,0,1,0,2,2,4,3,0,6,2,0,656,0,2,658,0
223,190,73,0,200,109,134,3,0,1,1,3,2,3,4,2,1,1,1,728,0,2,730,0
224,272,39,2,263,185,99,9,0,0,0,1,2,0,0,1,7,2,0,882,0,2,884,0
225,236,11,0,108,131,1,2,0,1,0,2,0,1,0,0,6,1,0,500,0,1,501,0
226,230,13,1,125,124,0,1,0,1,1,2,1,0,1,1,9,3,0,513,0,2,515,0
227,40,1,0,69,36,0,0,0,0,0,0,0,1,0,0,0,0,0,147,0,0,147,0
228,130,4,0,77,45,0,0,0,0,0,0,0,0,0,0,4,0,0,260,0,0,260,0
229,110,6,3,184,78,1,3,0,0,0,1,1,4,0,2,3,1,1,398,0,0,398,0
230,128,98,1,252,190,6,2,1,0,0,1,0,4,0,1,0,0,0,684,0,0,684,0
231,124,45,1,106,116,1,29,1,0,0,2,4,5,1,1,1,1,0,438,0,3,441,0
232,52,18,1,77,50,0,12,0,0,0,1,0,0,0,0,1,0,1,213,0,1,214,0
233,110,8,0,125,50,1,2,0,2,0,0,0,0,0,1,5,0,0,304,0,3,307,0
234,149,62,1,296,152,6,0,0,0,0,2,2,5,3,2,7,1,2,690,0,4,694,0
235,201,56,1,325,174,16,17,0,0,0,2,0,4,0,2,3,3,0,804,0,1,805,0
236,64,87,3,207,110,1,0,0,1,0,1,0,1,1,0,2,0,1,479,0,4,483,0
237,247,62,0,210,179,0,2,1,0,1,1,2,6,2,3,7,7,0,730,0,1,731,0
238,157,55,0,442,142,23,2,0,2,2,0,2,6,0,2,1,1,0,837,0,7,844,0
239,139,29,3,118,96,7,4,1,0,0,1,1,0,1,0,3,3,0,406,0,3,409,0
240,116,37,3,120,136,2,1,1,0,1,0,1,2,3,0,1,0,0,424,0,1,425,0
241,126,22,1,151,114,0,1,1,0,0,1,1,4,0,0,6,4,2,434,0,5,439,0
242,120,28,5,170,156,0,3,0,0,1,1,2,2,0,0,3,2,0,493,0,6,499,0
243,136,20,0,131,148,0,0,0,0,0,0,0,0,0,1,1,1,1,439,0,1,440,0
244,255,93,1,209,244,9,0,2,0,0,5,1,2,4,0,5,1,9,840,0,2,842,0
245,201,29,0,201,247,0,16,0,1,0,1,2,1,1,0,0,2,0,702,0,4,706,0
246,130,38,1,112,134,0,7,0,0,0,1,0,2,0,0,1,1,1,428,0,0,428,0
247,51,25,0,196,190,27,2,0,1,0,2,1,1,1,0,0,1,0,498,0,3,501,0
248,220,62,2,364,134,32,0,0,8,2,3,0,3,0,1,3,4,4,842,0,0,842,0
249,96,35,0,143,96,10,2,0,7,0,0,2,5,0,0,6,1,0,403,0,0,403,0
250,263,39,0,229,153,3,0,0,1,0,4,2,4,1,2,7,3,1,712,0,3,715,0
251,134,48,2,152,141,19,7,0,0,0,1,1,0,0,0,4,0,0,509,0,2,511,0
252,91,64,1,217,96,57,0,0,0,1,1,1,6,2,0,0,6,2,545,0,2,547,0
253,255,31,0,151,123,29,2,1,0,0,0,0,0,0,0,0,1,0,593,0,2,595,0
254,219,37,0,213,188,1,1,1,0,0,1,0,2,2,1,3,3,0,672,0,5,677,0
255,80,15,0,149,75,1,0,0,0,0,0,0,1,1,0,0,1,0,323,0,1,324,0
256,98,84,2,104,96,2,38,0,0,0,1,0,1,4,1,2,2,2,437,0,2,439,0
257,244,69,0,235,152,2,33,0,1,0,0,0,1,0,0,3,1,1,742,0,2,744,0
258,58,25,0,163,69,2,31,0,2,1,3,1,5,0,0,0,1,0,361,0,1,362,0
259,123,56,0,326,127,39,0,1,11,0,1,2,3,1,0,1,0,2,693,0,3,696,0
260,153,67,1,372,99,54,0,1,25,1,0,1,3,1,0,1,1,0,780,0,3,783,0
261,188,54,2,234,227,6,9,0,0,1,1,3,1,1,3,2,2,0,734,0,1,735,0
262,107,37,0,163,60,17,4,0,2,0,0,1,2,0,0,0,0,0,393,0,0,393,0
263,214,33,2,208,248,2,0,0,0,0,1,0,1,0,0,1,2,0,712,0,1,713,0
264,220,80,0,285,148,10,2,0,2,0,0,0,2,0,0,1,3,0,753,0,1,754,0
265,101,37,0,353,122,6,1,1,18,1,1,0,2,0,0,0,0,0,643,0,2,645,0
266,140,13,2,104,88,0,0,1,1,0,0,0,1,0,2,1,3,0,356,0,2,358,0
267,318,56,0,181,153,33,1,0,0,0,1,1,0,0,0,2,1,0,747,0,0,747,0
268,176,25,0,167,158,7,0,2,3,1,4,4,1,1,2,10,2,1,564,0,2,566,0
269,131,26,2,203,202,9,1,0,1,1,3,1,1,1,0,1,2,1,586,0,1,587,0
270,180,34,2,183,324,2,42,5,0,3,6,2,7,0,0,7,4,0,801,0,0,801,0
271,182,24,0,202,198,2,1,0,0,1,1,2,4,0,1,3,1,0,622,0,0,622,0
272,365,27,1,86,117,0,0,0,0,0,3,1,0,0,1,10,0,0,611,0,0,611,0
273,608,38,0,125,62,1,0,0,1,0,1,1,0,0,4,13,5,0,859,0,2,861,0
274,380,30,0,127,48,0,0,0,1,1,3,0,1,0,3,4,1,0,599,0,3,602,0
275,373,36,2,92,73,0,5,1,0,1,4,2,1,0,0,9,7,0,606,0,3,609,0
276,329,67,1,131,114,0,0,0,0,2,0,0,1,0,0,1,4,0,650,0,0,650,0
277,252,76,1,118,78,15,0,1,0,0,0,0,4,0,0,10,3,0,558,0,0,558,0
278,189,12,1,523,95,0,0,0,0,0,0,0,1,0,0,2,0,0,823,0,0,823,0
279,275,45,2,351,143,46,0,1,0,1,2,0,3,1,0,6,0,0,876,0,0,876,0
280,207,31,2,202,152,4,26,1,1,1,5,4,4,1,2,5,0,1,649,0,3,652,0
281,198,40,0,123,102,0,0,0,0,0,0,0,1,0,1,4,1,0,470,0,1,471,0
