Polling Station No,Candidate_1,JARAVLES.K,NAYINILIMAHT.V.K,MAVISAMARAP.P.K,YMASANIHTAR.K,LEVIHTKAS.K,JARAMRAHD.S,RAMUKMAR.K,IARUDANNA.A,R.IARUDANNA,MAGUMURA.S,NANAVARAS.A,JARAVLES.G,JARAVLES .M,JARNAHOM.V,HSEMAR .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
58,58,121,23,63,1,0,0,176,1,0,1,0,1,0,1,0,388,0,3,391,0
59,59,110,6,50,0,0,1,100,0,0,0,1,0,0,1,0,269,0,1,270,0
60,60,151,52,146,0,0,0,336,0,0,0,0,0,0,0,0,685,0,7,692,0
61,61,119,37,136,1,1,2,241,0,1,0,0,0,0,0,2,540,0,6,546,0
62,62,128,22,136,1,1,1,228,2,0,0,0,0,0,1,2,522,0,0,522,0
63,63,154,22,231,0,0,0,305,2,1,0,0,0,0,2,2,719,0,4,723,0
64,64,161,34,236,1,0,0,218,0,0,0,1,0,0,1,0,652,0,2,654,0
65,65,118,13,117,0,0,0,162,0,0,1,0,0,1,2,2,416,0,4,420,0
66,66,165,13,165,0,0,1,196,1,0,0,0,0,0,0,0,541,0,7,548,0
67,67,139,27,188,0,1,0,208,0,0,0,0,0,0,0,1,564,0,1,565,0
68,68,124,25,68,1,0,1,314,0,0,0,0,0,1,0,4,538,0,1,539,0
69,69,182,19,91,0,0,2,200,2,0,0,0,0,1,0,0,497,0,0,497,0
70,70,79,18,52,1,0,0,149,0,0,0,0,0,0,0,0,299,0,4,303,0
71,71,155,35,82,1,1,1,411,0,1,1,1,0,1,0,1,691,0,2,693,0
72,72,130,20,64,0,0,0,203,1,1,2,0,0,0,0,0,421,0,3,424,0
73,73,104,16,66,0,0,0,169,0,0,0,0,0,0,1,0,356,0,2,358,0
74,74,157,19,113,0,0,0,211,1,0,0,0,0,0,0,0,501,0,2,503,0
75,75,145,33,79,0,1,0,197,1,1,0,0,0,0,0,0,457,0,1,458,0
76,76,143,41,137,1,0,0,339,0,1,1,0,0,0,1,2,666,0,1,667,0
77,77,147,21,157,2,0,2,225,0,2,2,0,0,1,1,1,561,0,4,565,0
78,78,191,51,169,1,0,0,359,1,0,0,0,0,0,1,4,777,0,6,783,0
79,79,159,37,182,1,0,1,296,1,2,1,0,0,0,0,1,681,0,2,683,0
80,80,74,34,121,0,1,0,160,0,0,0,0,1,0,0,0,391,0,2,393,0
81,81,107,31,245,0,0,1,252,1,0,1,2,0,0,0,2,642,0,3,645,0
82,82,91,22,136,2,0,0,206,1,1,2,0,1,0,1,0,463,0,2,465,0
83,83,93,22,148,2,0,0,340,0,1,0,0,0,0,0,1,607,0,1,608,0
84,84,125,27,177,2,0,0,281,0,2,0,0,0,1,2,0,617,0,4,621,0
85,85,118,31,299,2,0,1,225,0,1,0,1,0,2,4,1,685,0,2,687,0
86,86,134,33,122,2,0,0,300,0,0,0,0,0,0,1,1,593,0,4,597,0
87,87,109,23,180,2,0,1,186,1,0,1,0,0,0,1,2,506,0,0,506,0
88,88,54,13,184,1,0,0,80,0,0,0,0,0,0,0,0,332,0,3,335,0
89,89,124,35,299,0,0,3,238,2,2,0,1,0,0,0,1,705,0,4,709,0
90,90,178,24,204,0,1,0,235,1,0,1,1,0,0,1,1,647,0,3,650,0
91,91,90,32,75,0,0,0,238,2,0,0,0,0,0,1,5,443,0,2,445,0
92,92,95,31,93,0,0,1,316,0,1,1,0,0,0,0,1,539,0,0,539,0
93,93,183,52,166,0,0,0,341,0,1,1,0,0,1,1,1,747,0,1,748,0
94,94,161,19,162,0,0,0,246,0,0,0,0,0,1,0,1,590,0,1,591,0
95,95,94,16,101,0,0,2,148,1,0,0,0,0,0,0,1,363,0,1,364,0
96,96,100,32,132,0,0,1,173,0,0,1,0,1,1,1,0,442,0,2,444,0
97,97,175,37,220,0,1,0,315,1,0,0,0,0,0,0,0,749,0,4,753,0
98,98,145,38,163,0,0,1,382,0,2,2,0,1,0,0,0,734,0,8,742,0
99,99,116,35,183,1,0,1,317,0,0,1,1,2,0,0,0,657,0,3,660,0
100,100,288,56,271,0,0,2,388,0,0,0,0,0,0,1,2,1008,0,2,1010,0
101,101,110,15,126,1,0,1,198,0,0,1,0,0,0,2,3,457,0,3,460,0
102,102,140,50,252,1,0,2,277,2,0,0,0,1,0,0,0,725,0,5,730,0
103,103,109,25,293,3,0,0,151,0,0,1,0,1,1,2,1,587,0,0,587,0
104,104,101,15,128,0,0,1,200,0,0,0,1,0,0,2,2,450,0,2,452,0
105,105,197,31,172,0,0,0,310,1,0,0,0,0,0,2,1,714,0,4,718,0
106,106,220,18,202,0,0,0,255,1,0,1,1,1,0,1,4,704,0,3,707,0
107,107,287,22,301,2,0,1,276,2,0,0,1,0,3,3,11,909,0,4,913,0
108,108,100,9,196,0,0,0,163,1,0,0,0,0,0,1,0,470,0,0,470,0
109,109,199,12,92,2,0,1,370,2,0,1,0,1,0,1,0,681,0,5,686,0
110,110,143,27,226,0,0,1,183,4,1,0,0,0,0,1,0,586,0,0,586,0
111,111,144,26,145,0,0,1,164,3,0,1,0,0,0,0,0,484,0,0,484,0
112,112,81,31,103,2,0,0,171,1,0,0,0,0,0,0,0,389,0,3,392,0
113,113,190,21,129,4,0,0,236,4,0,0,0,0,0,1,0,585,0,4,589,0
114,114,166,20,108,0,0,1,152,3,0,0,0,0,0,0,0,450,0,2,452,0
115,115,163,28,83,0,0,0,282,0,0,1,1,0,0,0,0,558,0,4,562,0
116,116,210,26,97,0,0,1,284,2,0,2,1,0,0,0,0,623,0,3,626,0
117,117,257,38,99,0,0,0,341,1,0,0,0,1,0,0,0,737,0,1,738,0
118,118,189,22,75,0,0,1,244,0,0,1,0,0,0,0,0,532,0,3,535,0
119,119,176,25,136,0,0,1,276,0,0,0,0,0,1,1,0,616,0,2,618,0
120,120,101,24,124,0,0,0,145,2,0,0,0,0,1,3,0,400,0,3,403,0
121,121,149,35,120,2,0,0,269,2,0,0,0,0,0,0,1,578,0,4,582,0
122,122,96,12,59,0,0,1,192,1,0,0,0,0,0,0,0,361,0,3,364,0
123,123,101,17,89,0,0,2,205,0,0,1,0,1,0,1,1,418,0,1,419,0
124,124,223,38,124,2,1,3,266,1,1,1,0,0,0,0,1,661,0,4,665,0
125,125,166,33,72,0,1,0,270,1,1,0,0,0,0,0,1,545,0,1,546,0
126,126,202,37,174,1,1,0,253,1,2,1,0,0,0,1,0,673,0,3,676,0
127,127,178,14,88,0,1,0,202,2,0,0,0,0,0,0,0,485,0,3,488,0
128,128,267,27,142,0,0,0,234,2,2,1,0,1,0,1,0,677,0,6,683,0
129,129,133,17,94,0,0,0,131,1,0,0,0,0,0,0,0,376,0,5,381,0
130,130,123,17,115,2,0,0,158,1,0,0,0,0,0,1,0,417,0,2,419,0
131,131,245,32,172,3,0,1,385,1,1,1,0,0,1,2,2,846,0,3,849,0
132,132,146,26,157,1,1,1,255,2,0,0,0,0,0,0,0,589,0,4,593,0
133,133,109,17,137,0,0,1,168,1,0,0,0,0,0,0,1,434,0,1,435,0
134,134,214,30,178,0,0,0,345,4,1,1,0,0,0,2,0,775,0,1,776,0
135,135,83,19,78,0,1,1,157,1,0,1,0,0,0,0,1,342,0,2,344,0
136,136,208,31,147,0,0,0,254,1,1,0,1,0,0,0,0,643,0,1,644,0
137,137,76,17,135,0,1,0,188,8,1,0,0,0,1,0,0,427,0,1,428,0
138,138,114,17,119,0,0,0,250,4,1,1,0,0,1,0,1,508,0,2,510,0
139,139,134,19,174,3,0,0,214,2,0,0,0,0,0,0,1,547,0,3,550,0
140,140,180,23,148,0,1,1,163,0,3,0,0,0,0,1,0,520,0,4,524,0
141,141,44,5,38,0,0,0,54,0,0,0,0,0,0,0,0,141,0,2,143,0
142,142,257,13,54,0,0,0,177,2,1,0,0,0,0,1,1,506,0,1,507,0
143,143,210,11,66,0,0,1,200,2,0,0,0,0,0,0,0,490,0,1,491,0
144,144,134,24,190,2,0,0,177,1,0,1,0,0,1,1,1,532,0,1,533,0
145,145,76,16,116,0,0,0,117,0,0,0,0,0,0,2,0,327,0,3,330,0
146,146,131,37,152,0,0,1,265,2,1,1,0,0,2,0,1,593,0,1,594,0
147,147,208,29,182,3,0,1,382,1,1,1,0,0,1,0,1,810,0,4,814,0
148,148,133,49,175,1,1,1,290,1,0,2,0,1,2,1,0,657,0,7,664,0
149,149,84,9,109,0,0,0,97,0,1,0,0,1,0,2,0,303,0,0,303,0
150,150,87,20,130,0,1,1,136,0,0,1,0,1,0,0,0,377,0,1,378,0
151,151,77,26,98,0,1,1,152,0,0,0,0,0,0,0,0,355,0,2,357,0
152,152,193,29,234,0,0,0,240,0,1,1,0,1,0,1,1,701,0,4,705,0
153,153,170,17,84,0,0,1,216,0,0,0,0,2,0,0,1,491,0,4,495,0
154,154,89,13,70,2,0,0,170,3,0,1,0,1,0,0,1,350,0,1,351,0
155,155,126,32,271,0,0,1,335,4,1,0,0,2,1,0,1,774,0,3,777,0
156,156,71,19,143,0,0,1,235,2,0,2,0,0,0,0,0,473,0,1,474,0
157,157,149,36,257,0,0,0,340,1,1,0,0,1,0,2,0,787,0,3,790,0
158,158,131,18,214,1,0,0,186,0,0,1,0,0,1,0,0,552,0,5,557,0
159,159,162,37,178,2,0,0,342,0,3,0,0,0,0,2,0,726,0,0,726,0
160,160,156,29,274,2,1,3,236,1,0,0,0,2,0,0,1,705,0,3,708,3
161,161,120,19,118,1,0,0,245,0,0,0,0,1,0,0,0,504,0,2,506,0
162,162,166,12,178,2,0,0,174,2,1,1,1,0,0,3,0,540,0,2,542,0
163,163,196,42,296,2,0,3,339,1,1,1,0,1,0,4,1,887,0,4,891,0
164,164,139,18,157,0,0,1,221,1,0,0,0,1,0,0,0,538,0,3,541,0
165,165,247,29,202,2,0,0,350,2,3,1,0,0,0,1,2,839,0,6,845,0
166,166,236,34,211,1,0,0,310,0,0,0,1,2,0,0,1,796,0,5,801,0
167,167,125,14,211,2,0,0,202,0,3,0,0,0,0,0,0,557,0,2,559,0
168,168,115,25,204,0,1,0,224,1,0,1,0,1,0,0,1,573,0,1,574,0
169,169,145,39,265,1,0,0,201,3,1,0,1,0,0,0,1,657,0,4,661,0
170,170,162,9,201,3,2,1,186,0,0,0,1,0,0,1,0,566,0,4,570,0
171,171,169,39,247,0,1,0,264,1,0,1,1,0,0,1,0,724,0,5,729,0
172,172,202,30,335,1,0,0,217,0,0,1,1,1,0,0,0,788,0,2,790,0
173,173,228,33,266,3,0,1,254,1,0,1,0,1,1,5,0,794,0,7,801,0
174,174,150,37,286,0,0,1,220,2,0,0,0,0,0,2,0,698,0,2,700,0
175,175,177,23,198,2,0,0,227,5,0,1,0,0,1,0,0,634,0,0,634,0
176,176,151,29,269,0,1,1,236,3,1,0,0,0,0,0,0,691,0,2,693,0
177,177,105,28,290,3,1,0,194,1,0,0,0,2,0,0,0,624,0,3,627,0
178,178,153,42,341,4,1,1,232,1,1,0,0,2,0,2,1,781,0,3,784,0
179,179,166,21,203,0,0,1,159,0,1,1,0,0,0,3,0,555,0,4,559,0
180,180,155,12,206,1,1,2,167,2,1,1,0,1,1,5,1,556,0,5,561,0
181,181,265,37,295,1,0,0,191,2,1,1,0,0,2,3,1,799,0,10,809,0
182,182,208,22,190,2,1,0,155,1,1,1,0,1,0,3,1,586,0,4,590,0
183,183,146,13,243,2,1,1,140,2,1,1,0,1,1,2,1,555,0,5,560,0
184,184,98,14,158,0,0,0,157,0,0,0,0,2,1,0,0,430,0,2,432,0
185,185,111,19,192,0,0,0,167,0,0,0,0,0,0,0,0,489,0,4,493,0
186,186,215,14,251,0,0,4,256,0,1,1,0,1,1,1,0,745,0,3,748,0
187,187,202,20,292,1,0,1,237,7,2,1,0,1,0,2,0,766,0,5,771,0
188,188,164,22,213,1,1,1,257,3,2,2,0,1,3,0,1,671,0,5,676,0
189,189,185,19,340,1,0,0,259,1,1,0,1,0,0,1,2,810,0,2,812,0
190,190,132,16,141,1,0,1,202,0,0,0,0,0,0,0,0,493,0,3,496,0
191,191,64,16,246,0,0,0,164,0,1,1,0,0,0,0,1,493,0,3,496,0
192,192,177,21,234,2,0,1,294,8,0,1,0,0,0,0,0,738,0,2,740,0
193,193,91,9,216,3,0,0,108,0,0,0,0,0,0,3,0,430,0,6,436,0
194,194,225,20,287,2,0,0,343,1,1,0,1,0,0,1,1,882,0,6,888,0
195,195,173,28,170,0,0,0,272,1,1,1,0,1,0,1,0,648,0,6,654,0
196,196,168,20,79,2,0,0,159,0,0,2,0,0,0,1,0,431,0,1,432,0
197,197,166,53,245,1,1,1,383,0,3,1,0,0,0,1,0,855,0,2,857,0
198,198,128,44,107,0,0,1,242,1,0,0,0,0,0,0,0,523,0,2,525,0
199,199,101,20,159,0,0,0,154,0,0,0,0,0,0,0,0,434,0,2,436,0
200,200,170,25,191,0,0,0,340,1,0,0,0,0,0,0,1,728,0,3,731,0
201,201,193,41,112,1,1,1,231,0,1,1,0,0,0,1,0,583,0,2,585,0
202,202,228,17,144,0,0,0,184,0,0,0,0,0,0,0,0,573,0,3,576,0
203,203,260,35,191,1,1,0,250,0,0,1,0,0,1,2,1,743,0,5,748,0
204,204,192,17,223,1,0,1,141,1,0,0,0,0,0,1,0,577,0,4,581,0
205,205,179,37,188,1,0,1,392,0,0,0,0,1,1,0,1,801,0,6,807,0
206,206,140,35,175,0,0,1,369,2,1,0,0,0,0,0,0,723,0,5,728,0
207,207,96,23,147,1,0,0,285,0,0,0,0,1,0,0,0,553,0,1,554,0
208,208,43,23,64,2,0,0,153,0,0,0,0,0,0,1,1,287,0,1,288,0
209,209,190,49,159,0,0,0,438,0,0,0,0,1,0,0,0,837,0,1,838,0
210,210,120,40,111,1,0,1,281,0,1,1,0,0,1,0,3,560,0,5,565,0
211,211,106,27,123,0,1,1,232,1,0,0,0,0,0,2,0,493,0,2,495,0
212,212,202,31,203,0,0,0,375,1,0,1,0,1,0,0,0,814,0,1,815,0
213,213,126,34,169,2,0,1,299,0,1,0,0,1,0,2,0,635,0,3,638,0
214,214,121,28,201,0,0,0,252,0,2,0,0,0,0,0,0,604,0,3,607,0
215,215,157,37,258,1,0,0,225,0,1,0,0,0,0,0,0,679,0,2,681,0
216,216,56,20,67,0,0,0,169,0,1,0,0,0,0,0,2,315,0,0,315,0
217,217,131,30,186,0,1,0,226,2,1,1,0,0,0,1,1,580,0,3,583,0
218,218,173,49,142,0,1,2,319,1,1,1,0,0,1,0,2,692,0,8,700,0
219,219,158,27,127,0,0,0,314,1,0,0,0,0,0,0,0,627,0,8,635,0
220,220,128,28,92,0,1,0,213,0,0,1,0,0,0,1,3,467,0,2,469,0
221,221,136,28,112,2,0,1,220,1,0,1,0,1,0,0,0,502,0,3,505,0
222,222,164,28,125,2,0,7,362,2,2,1,0,0,0,1,2,696,0,5,701,0
223,223,111,23,188,0,0,0,301,0,3,1,0,0,0,3,6,636,0,1,637,0
224,224,131,50,275,1,1,0,388,2,1,1,0,1,0,0,3,854,0,0,854,0
225,225,118,20,325,0,1,2,259,1,1,2,0,0,0,1,0,730,0,1,731,0
226,226,641,13,56,0,0,1,181,0,0,0,0,0,0,0,0,892,0,1,893,0
227,227,437,15,60,0,0,1,192,0,1,0,0,1,0,0,0,707,0,0,707,0
228,228,565,23,48,0,1,1,273,0,1,0,0,3,0,1,0,916,0,5,921,0
229,229,458,18,44,1,0,1,142,0,0,0,1,0,0,0,0,665,0,3,668,0
230,230,430,13,18,0,0,0,120,0,0,0,0,0,0,0,0,581,0,0,581,0
231,231,377,16,40,0,1,0,133,0,0,1,0,0,0,0,0,568,0,2,570,0
232,232,426,10,23,0,0,0,97,0,0,0,0,0,0,0,0,556,0,1,557,0
233,233,441,14,53,0,0,0,189,1,0,0,1,1,0,0,0,700,0,5,705,0
234,234,351,20,141,2,0,1,271,0,1,0,1,0,0,0,1,789,0,6,795,0
235,235,237,19,207,0,1,1,199,0,0,0,0,0,0,4,0,668,0,3,671,0
236,236,264,29,207,3,0,3,301,0,0,1,0,0,0,2,0,810,0,1,811,0
237,237,239,30,194,1,1,2,250,2,1,2,2,3,0,5,1,733,0,4,737,0
238,238,277,22,188,4,1,2,240,0,0,0,0,0,1,3,2,740,0,7,747,0
239,239,241,37,174,4,0,1,422,1,0,1,0,0,0,3,2,886,0,3,889,0
240,240,183,48,178,1,2,2,404,0,0,0,0,0,1,2,1,822,0,4,826,0
241,241,233,25,127,3,0,1,330,0,2,1,0,0,1,0,0,723,0,3,726,0
242,242,484,19,173,1,1,1,232,0,1,0,0,0,0,1,0,913,0,2,915,0
243,243,118,5,175,0,0,0,159,0,0,0,0,0,1,1,1,460,0,2,462,0
244,244,141,11,154,1,0,1,120,0,1,1,0,0,0,0,0,430,0,2,432,0
245,245,140,26,177,1,0,0,194,1,1,0,0,0,0,3,1,544,0,0,544,0
246,246,120,31,139,2,1,0,287,0,0,0,0,0,0,0,0,580,0,2,582,0
247,247,69,17,150,1,0,2,174,0,0,0,0,0,0,0,0,413,0,1,414,0
248,248,107,56,132,3,0,1,354,1,0,0,0,1,0,0,1,656,0,1,657,0
249,249,168,63,122,1,1,1,492,0,0,1,0,0,0,0,0,849,0,3,852,0
250,250,117,30,216,0,0,0,306,0,1,0,0,0,0,2,0,672,0,3,675,0
251,251,235,33,111,2,0,3,468,0,2,2,0,0,0,0,0,856,0,3,859,0
252,252,182,65,104,2,1,1,476,0,1,2,0,0,0,0,0,834,0,3,837,1
253,253,117,23,155,0,0,1,200,0,1,0,0,1,0,0,1,499,0,7,506,0
254,254,126,29,108,3,0,0,279,0,1,0,0,0,0,1,1,548,0,3,551,0
255,255,222,41,159,1,0,0,320,0,1,0,0,0,0,0,0,744,0,1,745,0
256,256,187,35,262,2,0,1,414,0,1,1,1,0,0,3,1,908,0,0,908,0
257,257,143,50,150,0,2,1,475,2,2,1,0,0,0,0,4,830,0,2,832,0
258,258,191,46,246,1,1,0,309,0,0,0,0,0,0,2,1,797,0,5,802,0
259,259,122,30,136,1,0,1,313,1,0,0,0,0,0,0,2,606,0,4,610,0
260,260,185,38,191,1,1,2,357,0,2,0,1,0,0,0,1,779,0,6,785,0
261,261,199,39,243,4,0,1,394,1,3,1,0,0,0,1,0,886,0,4,890,0
262,262,143,35,204,3,0,0,344,1,0,0,0,0,1,2,0,733,0,2,735,0
263,263,124,43,178,0,1,2,316,0,0,0,0,1,0,0,1,666,0,4,670,0
264,264,149,29,174,1,2,3,482,0,0,1,0,1,1,0,5,848,0,4,852,0
265,265,141,46,101,0,0,1,489,0,1,0,0,0,1,1,1,782,0,4,786,0
266,266,161,36,193,1,2,3,399,1,1,2,0,0,1,2,2,804,0,5,809,0
267,267,111,27,150,1,0,3,356,1,2,3,1,0,0,1,3,659,0,6,665,0
268,268,114,50,142,2,0,2,365,0,1,1,0,0,0,0,3,680,0,0,680,0
269,269,160,38,163,2,2,0,358,0,0,0,1,0,3,1,5,733,0,2,735,0
270,270,89,24,75,1,0,1,295,0,0,0,0,0,0,0,1,486,0,2,488,0
271,271,118,32,151,3,0,2,493,1,0,0,0,0,0,1,0,801,0,0,801,0
272,272,129,33,123,1,1,0,356,2,1,3,0,0,0,1,0,650,0,2,652,0
273,273,86,30,87,0,0,1,222,1,1,0,0,1,0,1,0,430,0,0,430,0
274,274,133,35,91,3,0,0,305,0,1,1,1,0,0,0,0,570,0,3,573,0
275,275,133,30,113,2,0,2,380,0,1,5,1,0,0,0,1,668,0,3,671,1
276,276,168,24,189,5,0,1,304,0,2,0,1,1,0,0,0,695,0,2,697,0
277,277,140,23,87,0,0,1,345,1,0,1,0,0,0,1,1,600,0,3,603,0
278,278,73,23,83,0,2,0,188,0,0,0,0,0,0,0,0,369,0,0,369,0
279,279,51,6,56,0,0,0,104,0,0,0,0,0,0,0,0,217,0,3,220,0
280,280,140,54,102,1,0,0,292,0,0,1,0,0,0,1,0,591,0,2,593,0
281,281,140,33,89,1,0,1,252,0,1,2,0,0,0,1,0,520,0,2,522,0
282,282,118,41,152,0,0,3,388,2,1,0,0,0,1,1,0,707,0,3,710,0
283,283,163,37,112,0,0,0,279,1,0,1,0,0,0,2,0,595,0,1,596,0
284,284,149,32,119,3,2,0,347,2,3,3,0,0,0,1,3,664,0,2,666,0
285,285,173,37,94,0,0,0,352,0,1,0,0,0,0,0,0,657,0,3,660,0
286,286,179,33,95,0,0,0,453,0,1,1,1,0,0,0,2,765,0,3,768,0
287,287,90,12,71,2,0,0,182,0,0,1,0,0,1,0,1,360,0,2,362,0
288,288,165,53,116,2,3,0,443,2,0,1,0,1,0,0,3,789,0,1,790,0
289,289,114,37,68,0,0,3,380,0,0,0,0,0,0,0,2,604,0,1,605,0
290,290,100,22,66,1,1,2,226,0,0,2,0,1,0,0,0,421,0,0,421,0
291,291,155,31,73,0,0,1,293,0,0,0,0,0,0,0,1,554,0,2,556,0
292,292,160,43,123,2,0,0,389,2,1,0,0,1,1,1,1,724,0,4,728,0
293,293,116,40,136,2,0,0,386,0,0,1,0,0,0,0,0,681,0,3,684,0
294,294,166,30,94,1,1,0,325,0,0,1,0,0,0,1,1,620,0,6,626,0
295,295,116,28,99,2,0,0,307,0,0,0,0,0,0,0,0,552,0,5,557,0
296,296,166,36,146,0,1,0,358,1,1,0,0,0,0,1,2,712,0,1,713,0
297,297,120,35,118,0,1,1,292,0,0,2,0,0,0,1,2,572,0,1,573,0
298,298,160,45,152,0,0,1,412,1,1,1,0,0,0,0,0,773,0,4,777,1
299,299,123,37,147,0,6,2,434,0,1,2,1,0,1,2,1,757,0,4,761,0
300,300,79,31,95,1,1,0,327,0,0,2,0,0,0,0,1,537,0,1,538,0
301,301,98,20,99,1,2,0,231,0,2,0,0,1,1,1,2,458,0,2,460,0
302,302,151,36,131,1,0,0,426,1,1,1,0,0,0,0,1,749,0,2,751,0
303,303,119,27,106,1,2,1,310,2,0,1,0,1,0,0,1,571,0,1,572,0
304,304,84,21,61,0,0,1,251,0,2,0,0,0,0,1,1,422,0,1,423,0
305,305,133,21,129,0,0,0,195,0,0,1,0,0,0,1,0,480,0,2,482,0
306,306,161,35,153,4,1,0,359,0,1,0,0,0,0,0,2,716,0,4,720,0
307,307,171,32,155,2,0,0,322,1,0,1,0,0,0,0,0,684,0,4,688,0
308,308,117,32,66,1,0,1,284,0,0,0,1,0,0,1,2,505,0,0,505,0
