Polling Station No,Candidate_1,AARIANURAK.S.N AJ,IMHSKALAYIKAB .G,NAHTANAGOY.N,NAYIANNIHC.M,AYVIHD.K,YMASINALAP.C,.NANNAMRALAM M,HSENGIV.M,AWHSETAKNEV.S NAR,RAMUKLIHTNES,NAHTANAGOL.P .LIHP.M.CS.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
43,43,146,14,201,2,1,0,1,207,1,1,1,575,0,3,578,0
44,44,294,33,210,3,0,0,0,341,2,1,2,886,0,4,890,0
45,45,202,9,213,2,0,1,1,340,1,0,1,770,0,0,770,0
46,46,213,13,98,2,1,0,0,276,0,0,0,603,0,1,604,0
47,47,227,20,107,2,0,1,1,303,3,0,0,664,0,2,666,0
48,48,191,27,96,0,0,1,0,219,2,1,0,537,0,0,537,0
49,49,292,31,183,2,1,1,4,209,1,0,0,724,0,4,728,0
50,50,255,34,96,7,1,1,1,184,0,0,0,579,0,2,581,0
51,51,169,27,132,1,0,1,3,257,1,1,1,593,0,1,594,0
52,52,230,30,114,1,2,2,1,209,1,0,4,594,0,3,597,0
53,53,152,26,172,3,0,1,0,217,0,3,0,574,0,0,574,0
54,54,180,13,144,0,0,1,1,261,0,0,1,601,0,2,603,0
55,55,246,40,175,1,1,0,1,248,1,1,1,715,0,7,722,0
56,56,226,29,148,0,1,1,1,276,0,0,0,682,0,3,685,0
57,57,222,17,107,2,0,0,2,232,0,0,2,584,0,2,586,0
58,58,190,39,164,4,1,1,1,351,2,2,2,757,0,2,759,0
59,59,135,24,164,2,0,0,1,286,2,2,0,616,0,3,619,0
60,60,154,36,162,1,0,1,1,247,3,2,0,607,0,2,609,0
61,61,167,33,198,1,0,1,0,319,0,2,0,721,0,6,727,0
62,62,240,35,201,4,2,3,1,398,2,2,2,890,0,7,897,0
63,63,217,35,183,0,0,0,1,231,1,1,0,669,0,3,672,0
64,64,208,41,205,0,2,0,0,315,0,0,0,771,0,3,774,0
65,65,257,38,239,1,0,1,0,328,0,0,2,866,0,2,868,0
66,66,183,33,185,1,0,0,0,244,0,1,0,647,0,0,647,0
67,67,165,30,139,0,1,2,1,313,0,0,0,651,0,4,655,0
68,68,153,29,162,1,2,3,3,255,2,0,1,611,0,4,615,0
69,69,183,29,250,4,1,1,0,249,1,0,0,718,0,9,727,0
70,70,71,19,111,0,0,0,1,176,1,1,1,381,0,3,384,0
71,71,184,37,245,3,1,2,2,336,1,3,5,819,0,9,828,0
72,72,203,23,219,4,1,0,2,344,3,0,4,803,0,6,809,0
73,73,207,41,223,5,3,2,1,346,3,0,3,834,0,7,841,0
74,74,97,19,199,3,2,2,1,232,2,1,3,561,0,5,566,0
75,75,96,6,121,2,0,0,2,181,0,0,0,408,0,3,411,0
76,76,131,17,142,0,0,1,0,157,0,0,1,449,0,3,452,0
77,77,156,22,202,1,0,0,0,262,1,0,0,644,0,1,645,0
78,78,161,28,122,2,1,0,1,200,0,0,1,516,0,3,519,0
79,79,298,36,237,8,3,0,3,332,3,4,2,926,0,9,935,0
80,80,236,58,262,4,0,0,2,364,2,0,1,929,0,2,931,0
81,81,100,19,316,6,0,0,1,195,2,0,0,639,0,2,641,0
82,82,131,16,214,4,2,0,1,238,0,3,0,609,0,3,612,0
83,83,102,12,98,0,0,1,0,167,1,1,0,382,0,2,384,0
84,84,192,19,116,3,2,1,0,210,0,1,0,544,0,3,547,0
85,85,168,10,158,0,0,0,0,169,0,0,0,505,0,2,507,0
86,86,81,15,238,3,0,0,0,101,1,0,2,441,0,1,442,0
87,87,251,23,295,2,0,1,1,343,1,1,1,919,0,6,925,0
88,88,100,18,189,1,2,0,2,270,1,3,3,589,0,0,589,0
89,89,101,25,191,3,2,1,0,226,1,0,3,553,0,3,556,0
90,90,153,32,323,6,0,2,1,310,0,2,4,833,0,6,839,0
91,91,235,21,178,1,0,2,0,257,0,1,0,695,0,5,700,0
92,92,230,33,137,1,1,1,0,322,1,1,0,727,0,2,729,0
93,93,115,16,135,1,1,0,2,185,0,1,3,459,0,2,461,0
94,94,136,16,178,4,0,0,0,173,2,0,2,511,0,4,515,0
95,95,194,47,134,3,2,1,0,442,2,4,2,831,0,1,832,0
96,96,206,31,143,0,1,1,0,473,1,2,1,859,0,8,867,0
97,97,208,29,69,0,2,0,2,236,1,0,2,549,0,1,550,0
98,98,124,22,98,2,2,1,0,234,0,0,2,485,0,2,487,0
99,99,157,34,245,4,0,0,3,383,1,2,2,831,0,8,839,0
100,100,168,29,70,0,1,0,0,254,0,2,0,524,0,3,527,0
101,101,211,19,211,2,2,4,2,420,3,2,3,879,0,6,885,0
102,102,199,37,142,3,2,0,0,288,1,0,1,673,0,1,674,0
103,103,246,33,205,4,0,1,0,379,1,2,5,876,0,3,879,0
104,104,164,26,258,2,1,1,2,366,0,1,0,821,0,4,825,0
105,105,182,32,246,2,2,1,2,287,0,3,1,758,0,4,762,0
106,106,113,14,187,5,1,2,1,258,1,1,6,589,0,6,595,0
107,107,155,44,401,8,3,5,3,318,1,3,2,943,0,8,951,0
108,108,131,58,190,1,1,1,0,244,0,0,2,628,0,3,631,0
109,109,207,29,327,6,2,4,2,342,4,1,6,930,0,2,932,0
110,110,170,32,286,6,3,0,4,417,2,3,8,931,0,5,936,0
111,111,126,63,112,3,0,0,2,232,0,0,1,539,0,3,542,0
112,112,258,49,178,0,3,27,0,356,0,0,0,871,0,3,874,0
113,113,104,40,165,1,1,3,2,326,0,1,1,644,0,3,647,0
114,114,153,24,227,0,0,2,0,313,0,1,0,720,0,1,721,0
115,115,146,33,156,2,0,1,1,238,0,0,0,577,0,2,579,0
116,116,152,32,231,2,1,2,0,289,2,0,2,713,0,2,715,0
117,117,207,39,194,3,1,0,2,226,1,1,0,674,0,2,676,0
118,118,218,44,151,1,0,1,2,242,1,0,3,663,0,3,666,0
119,119,92,10,113,2,1,0,0,152,0,0,1,371,0,0,371,0
120,120,198,43,143,6,0,1,0,321,1,1,3,717,0,3,720,0
121,121,78,32,148,0,0,1,2,246,1,1,2,511,0,2,513,0
122,122,248,35,134,2,1,0,2,351,0,1,0,774,0,2,776,0
123,123,200,37,136,1,1,2,0,376,0,0,1,754,0,1,755,0
124,124,273,32,265,2,0,0,1,402,1,0,2,978,0,4,982,0
125,125,186,17,113,0,0,0,0,255,0,3,2,576,0,0,576,0
126,126,125,19,107,5,0,0,1,134,2,1,2,396,0,4,400,0
127,127,169,22,142,2,1,1,3,181,1,7,5,534,0,14,548,0
128,128,174,28,255,2,8,1,3,258,2,5,9,745,0,16,761,0
129,129,104,18,191,1,1,1,1,146,2,1,1,467,0,5,472,0
130,130,223,35,238,1,4,2,4,303,2,3,8,823,0,24,847,0
131,131,260,80,174,3,0,1,1,271,0,1,1,792,0,3,795,0
132,132,206,21,140,3,0,1,1,136,1,0,0,509,0,1,510,0
133,133,137,18,90,0,1,0,0,198,0,0,0,444,0,3,447,0
134,134,174,12,202,4,0,0,1,313,0,0,0,706,0,3,709,0
135,135,138,40,185,5,2,2,1,264,3,1,3,644,0,7,651,0
136,136,212,31,131,2,2,2,1,261,0,1,4,647,0,2,649,0
137,137,173,38,158,0,2,1,1,258,3,1,3,638,0,8,646,0
138,138,231,87,149,5,0,1,1,262,0,2,4,742,0,5,747,0
139,139,101,19,98,2,0,1,0,206,3,0,0,430,0,3,433,0
140,140,96,31,72,4,1,0,1,138,0,0,1,344,0,1,345,0
141,141,265,25,259,3,0,1,2,401,2,1,3,962,0,8,970,0
142,142,162,25,285,1,1,1,0,178,1,1,0,655,0,4,659,0
143,143,207,46,272,4,0,1,0,224,0,1,1,756,0,0,756,0
144,144,194,24,292,3,2,0,0,228,1,1,0,745,0,5,750,0
145,145,67,15,144,0,0,0,0,104,1,0,0,331,0,0,331,0
146,146,173,29,341,1,0,1,0,260,0,0,1,806,0,2,808,0
147,147,172,13,266,2,1,0,0,162,0,1,0,617,0,3,620,0
148,148,150,13,131,1,0,0,1,120,0,0,0,416,0,2,418,0
149,149,287,30,334,2,0,0,0,247,2,1,0,903,0,9,912,0
150,150,159,18,245,2,0,2,2,165,1,3,1,598,0,1,599,0
151,151,221,37,344,6,0,0,0,220,2,2,3,835,0,5,840,0
152,152,234,26,247,0,2,0,1,258,0,0,5,773,0,2,775,0
153,153,168,19,311,4,0,0,0,114,0,1,0,617,0,4,621,0
154,154,192,12,224,4,0,0,0,88,0,0,0,520,0,1,521,0
155,155,189,23,240,4,0,0,0,161,1,0,0,618,0,2,620,0
156,156,280,23,366,1,3,0,2,291,0,1,2,969,0,10,979,0
157,157,151,21,256,0,1,0,1,253,0,1,3,687,0,2,689,0
158,158,132,39,259,3,1,0,0,184,0,2,1,621,0,3,624,0
159,159,136,27,265,3,0,1,1,155,0,0,0,588,0,1,589,0
160,160,214,28,308,3,4,2,1,312,3,4,1,880,0,4,884,0
161,161,218,17,197,1,2,0,0,324,2,1,1,763,0,3,766,0
162,162,289,26,204,3,1,2,0,301,0,0,1,827,0,3,830,0
163,163,275,19,139,0,1,0,1,326,0,1,1,763,0,1,764,0
164,164,191,14,97,0,0,1,0,175,1,0,0,479,0,3,482,0
165,165,193,21,89,0,1,0,0,189,0,1,0,494,0,7,501,0
166,166,233,23,135,2,0,0,0,327,0,1,3,724,0,5,729,0
167,167,292,19,125,1,0,0,0,226,1,0,1,665,0,5,670,0
168,168,214,13,136,1,2,2,1,254,0,0,2,625,0,6,631,0
169,169,176,15,84,1,0,0,0,188,0,0,0,464,0,2,466,0
170,170,270,29,144,1,1,1,2,280,0,0,1,729,0,4,733,0
171,171,186,28,120,2,0,1,0,146,0,1,2,486,0,2,488,0
172,172,159,22,136,0,1,0,1,195,0,3,2,519,0,1,520,0
173,173,194,12,129,1,0,1,0,119,0,0,0,456,0,5,461,0
174,174,198,38,332,3,0,0,0,212,1,2,2,788,0,1,789,0
175,175,138,17,217,0,0,0,2,182,0,3,1,560,0,1,561,0
176,176,153,36,325,2,0,0,0,236,0,1,2,755,0,3,758,0
177,177,155,32,319,6,1,0,0,246,3,3,3,768,0,2,770,0
178,178,241,35,196,4,2,0,1,192,0,1,0,672,0,3,675,0
179,179,141,27,134,2,1,0,1,134,3,0,0,443,0,0,443,0
180,180,226,46,294,5,2,0,0,245,1,3,3,825,0,9,834,0
181,181,197,45,255,1,1,1,1,298,1,1,5,806,0,5,811,0
182,182,120,14,99,3,0,0,0,179,0,0,2,417,0,1,418,0
183,183,357,41,246,0,0,1,2,307,2,3,3,962,0,4,966,0
184,184,260,42,292,2,1,2,2,284,1,0,2,888,0,6,894,0
185,185,180,25,145,4,2,1,1,280,2,1,0,641,0,6,647,0
186,186,109,17,160,4,1,2,1,192,0,0,1,487,0,6,493,0
187,187,177,32,249,4,3,0,2,288,2,0,2,759,0,3,762,0
188,188,78,23,179,1,0,1,1,169,1,0,1,454,0,1,455,0
189,189,227,42,211,5,2,2,3,267,1,0,1,761,0,7,768,0
190,190,113,20,128,0,0,0,0,101,0,0,1,363,0,4,367,0
191,191,127,35,202,0,0,1,3,209,1,0,2,580,0,8,588,0
192,192,184,47,196,3,0,1,1,261,1,2,2,698,0,4,702,0
193,193,121,53,158,1,0,1,1,203,1,1,2,542,0,3,545,0
194,194,150,22,232,3,1,0,1,120,1,3,1,534,0,1,535,0
195,195,168,29,178,6,0,1,2,233,0,3,2,622,0,1,623,0
196,196,180,58,262,7,0,1,2,255,3,3,2,773,0,10,783,0
197,197,212,33,254,4,1,0,1,226,2,1,0,734,0,8,742,0
198,198,157,36,173,1,0,2,1,225,1,3,2,601,0,3,604,0
199,199,124,19,146,4,2,1,1,173,1,5,1,477,0,1,478,0
200,200,204,24,174,1,1,0,2,185,2,1,1,595,0,4,599,0
201,201,181,41,169,2,1,1,0,199,0,1,3,598,0,1,599,0
202,202,248,35,185,1,0,0,3,273,0,2,4,751,0,3,754,0
203,203,186,34,280,7,1,1,2,384,3,1,2,901,0,2,903,0
204,204,260,44,183,3,1,0,3,292,1,1,7,795,0,4,799,0
205,205,149,23,96,0,2,0,0,179,0,0,3,452,0,4,456,0
206,206,80,11,109,0,1,0,1,123,0,0,1,326,0,1,327,0
207,207,236,59,240,1,2,2,0,282,2,1,0,825,0,3,828,0
208,208,220,41,239,3,1,0,1,305,1,1,4,816,0,5,821,0
209,209,224,35,149,2,1,1,1,258,0,2,2,675,0,7,682,0
210,210,250,81,241,5,2,2,1,423,0,1,0,1006,0,5,1011,0
211,211,202,46,239,5,1,3,1,266,0,3,3,769,0,4,773,0
212,212,195,48,235,3,0,2,0,265,0,1,4,753,0,8,761,1
213,213,157,42,167,1,2,1,1,201,4,0,1,577,0,5,582,0
214,214,259,67,247,1,0,2,2,285,0,3,5,871,0,1,872,0
215,215,138,29,186,3,0,0,2,235,0,0,3,596,0,1,597,0
216,216,251,27,296,1,1,1,0,298,2,1,3,881,0,9,890,0
217,217,194,12,101,1,1,1,0,148,0,0,1,459,0,5,464,0
218,218,279,37,218,2,1,3,0,319,1,1,0,861,0,2,863,0
219,219,286,36,306,4,0,2,2,356,1,3,3,999,0,2,1001,0
220,220,150,26,149,1,1,1,1,230,1,0,1,561,0,4,565,0
221,221,105,46,154,4,0,0,0,233,0,2,3,547,0,5,552,0
222,222,274,55,208,12,3,0,3,344,0,1,4,904,0,6,910,0
223,223,92,20,148,1,0,0,0,189,2,0,2,454,0,0,454,0
224,224,221,18,230,2,0,1,2,288,3,0,1,766,0,2,768,0
225,225,122,21,168,3,0,0,1,233,0,1,0,549,0,3,552,0
226,226,156,31,217,4,0,1,1,307,0,1,3,721,0,2,723,0
227,227,213,40,166,0,1,0,1,287,0,0,4,712,0,4,716,0
228,228,96,24,81,0,0,0,0,158,0,0,0,359,0,2,361,0
229,229,210,38,235,4,3,2,4,306,0,2,4,808,0,5,813,0
230,230,297,48,190,1,1,0,2,397,0,3,5,944,0,6,950,0
231,231,108,23,169,1,0,1,0,200,0,1,2,505,0,0,505,0
232,232,153,31,220,4,2,1,1,166,0,0,1,579,0,2,581,0
233,233,314,32,207,1,0,0,3,289,1,0,2,849,0,5,854,0
234,234,86,12,161,3,2,0,0,167,0,0,3,434,0,8,442,0
235,235,205,27,177,5,1,0,1,236,2,1,4,659,0,2,661,0
236,236,305,36,231,7,1,1,2,296,0,1,6,886,0,6,892,0
237,237,175,31,210,4,2,1,3,250,2,3,2,683,0,0,683,0
238,238,331,40,324,2,1,2,2,287,0,6,2,997,0,9,1006,0
239,239,197,33,221,3,2,1,0,216,0,1,1,675,0,1,676,0
240,240,240,23,177,1,0,0,1,217,0,5,3,667,0,5,672,0
241,241,271,27,96,3,2,2,0,153,0,2,0,556,0,2,558,0
242,242,180,20,228,6,0,0,1,247,0,1,6,689,0,3,692,0
243,243,257,16,170,1,0,1,0,232,0,0,2,679,0,2,681,0
244,244,179,8,140,1,0,1,1,222,0,1,2,555,0,4,559,0
245,245,110,18,179,0,1,1,0,178,0,0,1,488,0,4,492,0
246,246,206,14,81,0,0,1,0,172,1,0,3,478,0,4,482,0
247,247,336,30,120,0,0,0,0,271,1,2,1,761,0,8,769,0
248,248,217,25,163,1,4,0,1,288,1,5,8,713,0,19,732,0
249,249,126,23,101,3,0,0,2,245,1,1,2,504,0,2,506,0
250,250,236,35,120,0,0,1,0,318,3,3,3,719,0,3,722,0
251,251,160,36,108,2,0,1,0,274,1,0,3,585,0,5,590,0
252,252,139,28,101,0,1,0,1,270,2,0,1,543,0,4,547,0
253,253,160,26,142,1,0,0,0,276,0,2,1,608,0,1,609,0
254,254,119,18,175,6,1,1,1,351,2,4,2,680,0,7,687,0
255,255,136,40,100,0,1,1,1,136,0,0,2,417,0,2,419,0
256,256,246,56,143,2,1,3,2,384,2,0,1,840,0,3,843,0
257,257,110,16,63,3,0,1,1,182,1,0,2,379,0,2,381,0
258,258,229,34,128,5,0,0,2,349,0,0,0,747,0,3,750,0
259,259,161,25,75,0,0,0,1,213,0,1,1,477,0,8,485,0
260,260,137,24,50,0,0,2,0,128,0,1,0,342,0,0,342,0
261,261,228,24,86,0,1,1,0,293,0,0,0,633,0,5,638,0
262,262,175,20,129,1,1,2,0,225,1,0,2,556,0,5,561,0
263,263,134,21,90,0,0,0,0,150,0,0,2,397,0,4,401,0
264,264,242,31,114,2,0,0,0,313,2,3,0,707,0,2,709,0
265,265,123,21,83,2,0,0,0,112,1,0,0,342,0,0,342,0
266,266,215,26,114,0,0,0,2,186,1,1,0,545,0,4,549,0
267,267,210,20,79,1,0,0,1,227,0,0,3,541,0,2,543,0
268,268,142,28,161,3,1,1,0,236,3,0,0,575,0,6,581,0
269,269,197,16,109,4,1,0,0,201,1,1,1,531,0,0,531,0
270,270,251,18,145,2,1,2,1,158,0,0,2,580,0,1,581,0
271,271,239,30,160,4,0,2,1,302,1,0,3,742,0,2,744,0
272,272,220,29,168,2,0,1,0,290,0,2,2,714,0,3,717,0
273,273,212,22,183,4,1,1,2,320,0,1,10,756,0,7,763,0
274,274,218,28,140,5,1,0,0,220,1,1,1,615,0,2,617,0
275,275,197,23,155,6,1,1,0,191,1,1,0,576,0,6,582,0
276,276,258,22,87,1,0,0,0,231,1,0,1,601,0,2,603,0
277,277,143,8,67,0,0,0,1,84,0,0,0,303,0,0,303,0
278,278,253,32,159,3,0,2,2,214,0,1,0,666,0,3,669,0
279,279,209,53,252,3,0,1,1,307,0,1,4,831,0,7,838,0
280,280,263,31,205,2,1,0,1,203,2,0,0,708,0,12,720,0
281,281,198,26,235,3,1,0,1,218,1,0,2,685,0,1,686,0
282,282,199,23,127,2,0,1,0,140,0,0,1,493,0,6,499,0
283,283,216,23,156,3,0,0,0,172,0,0,1,571,0,1,572,0
