Polling Station No,AASSAN MAULAANA J.M.H,ASHOK. M.K,KEERTHANA. M,MOHANRAJ. K,KANCHANA. R,KUMAR. R,POYYAMOZHI. M,MANI. M,MOHAMED YASEEN. I,ROKESH KUMAR. V,ASHOK. M,AZARUTHEEN. M,AHAMMED NAZEER KHAN,KANNAN. K,KALA PETHACHI,SARABESHWAR SISU. P,SURESH K,DIWAKAR. R,DEEPAK RAVI,BHASKAR. G,MOHAN. R,RADHAKRISHNAN. D.R,RAJASEKAR. S,RITISH,VIGNESH. M,VIGNESH. R,JANAGARAJ RAVI GUNASEELAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,125,140,35,2,0,270,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,1,581,0,6,587,0
67,94,138,27,1,0,203,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,470,0,0,470,0
68,116,153,38,0,0,283,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,595,0,1,596,0
69,153,227,31,1,0,372,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,787,0,3,790,0
70,124,130,34,3,1,281,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,578,0,3,581,0
71,168,138,27,0,0,403,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,740,0,2,742,0
72,134,97,19,1,0,192,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,447,0,2,449,0
73,201,183,33,1,0,309,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,731,0,4,735,0
74,116,159,12,1,0,254,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,549,0,7,556,0
75,166,212,32,1,1,482,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,903,0,5,908,0
76,160,136,24,0,0,262,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,585,0,3,588,0
77,225,157,42,0,0,283,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,713,0,3,716,0
78,63,114,16,2,1,355,0,1,1,1,0,0,0,0,2,2,0,3,0,0,3,3,0,0,0,1,0,568,0,2,570,0
79,129,251,36,1,2,329,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,756,0,3,759,0
80,182,114,23,0,0,315,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,638,0,7,645,0
81,146,106,24,0,1,289,1,1,0,0,0,0,0,0,0,3,2,2,0,0,1,0,1,0,0,0,0,577,0,4,581,1
82,112,113,47,1,0,294,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,573,0,6,579,0
83,96,168,15,0,1,230,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,519,0,2,521,0
84,82,131,13,0,0,114,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,343,0,2,345,0
85,113,246,15,0,0,256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,633,0,9,642,0
86,127,214,21,1,0,341,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,3,712,0
87,125,220,22,0,1,286,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,657,0,1,658,0
88,147,176,35,0,0,367,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,730,0,2,732,0
89,126,166,22,0,1,95,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,413,0,6,419,1
90,108,154,24,1,1,274,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,568,0,2,570,0
91,130,147,18,0,0,213,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,512,0,8,520,0
92,105,183,22,0,1,189,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,505,0,6,511,0
93,76,126,14,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,5,292,0
94,192,126,37,0,0,329,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,687,0,5,692,0
95,174,74,11,0,1,207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,2,470,0
96,153,202,23,0,0,351,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,737,0,6,743,0
97,116,166,27,0,0,221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,532,0,6,538,0
98,162,192,31,0,0,218,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,610,0,8,618,0
99,104,161,27,3,0,193,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,495,0,4,499,0
100,190,123,16,2,0,156,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,494,0,10,504,0
101,138,188,32,2,1,186,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,553,0,6,559,0
102,168,293,42,1,2,253,1,1,0,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,769,0,8,777,0
103,158,290,32,2,0,331,1,0,0,1,1,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,823,0,7,830,0
104,189,224,47,1,0,297,2,3,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,770,0,7,777,0
105,166,168,30,4,0,263,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,637,0,13,650,0
106,88,79,19,0,0,76,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,266,0,3,269,0
107,141,330,24,0,0,169,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,668,0,17,685,0
108,75,196,25,2,3,143,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,1,2,453,0,9,462,0
109,40,115,16,1,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,255,0,4,259,0
110,124,150,23,0,2,198,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,503,0,6,509,0
111,130,187,19,1,1,202,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,545,0,14,559,0
112,128,132,36,1,0,215,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,516,0,7,523,0
113,132,166,20,2,0,197,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,521,0,5,526,0
114,133,175,30,1,2,198,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,542,0,10,552,0
115,177,142,38,1,1,248,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,611,0,7,618,0
116,188,193,33,1,0,243,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,662,0,7,669,0
117,215,146,44,1,0,257,0,4,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,1,0,674,0,4,678,0
118,207,169,39,1,0,196,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,616,0,7,623,1
119,190,180,36,1,2,271,2,1,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,689,0,6,695,0
120,136,121,26,1,1,186,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,474,0,8,482,0
121,182,156,29,1,1,264,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,1,1,642,0,1,643,0
122,176,138,27,0,0,218,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,564,0,2,566,0
123,134,61,14,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,368,0,2,370,0
124,227,63,13,2,0,247,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,557,0,1,558,0
125,237,131,27,0,0,260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,657,0,0,657,0
126,289,154,38,1,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,762,0,2,764,0
127,306,88,28,2,0,305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,732,0,6,738,0
128,261,91,10,1,1,279,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,649,0,1,650,0
129,267,79,16,0,1,278,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,643,0,1,644,0
130,321,92,29,0,2,308,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,761,0,6,767,0
131,177,223,32,0,0,270,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,707,0,14,721,0
132,222,162,34,0,1,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,716,0,7,723,0
133,158,177,33,0,0,255,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,629,0,1,630,0
134,147,193,29,0,1,360,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,737,0,3,740,0
135,110,169,26,0,0,318,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,630,0,2,632,0
136,91,120,21,0,1,372,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,612,0,1,613,0
137,130,157,44,0,1,372,0,1,2,0,0,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,715,0,5,720,1
138,169,165,27,0,1,460,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,828,0,2,830,0
139,119,111,24,1,2,367,1,2,0,7,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,640,0,0,640,0
140,63,94,7,0,2,252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,421,0,0,421,0
141,114,138,26,2,0,354,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,641,0,0,641,0
142,111,198,26,0,1,313,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,653,0,1,654,1
143,105,108,18,1,1,250,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,493,0,1,494,0
144,131,114,23,0,0,312,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,587,0,5,592,0
145,151,123,25,2,2,354,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,2,1,0,668,0,2,670,0
146,183,72,15,0,0,283,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,2,0,563,0,1,564,0
147,101,66,17,0,1,235,0,1,0,2,2,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,1,432,0,2,434,0
148,128,81,15,1,2,324,3,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,563,0,2,565,0
149,122,236,31,0,0,319,1,3,0,0,0,0,0,0,2,0,1,3,0,1,0,1,0,0,0,0,1,721,0,6,727,0
150,141,140,36,0,1,325,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,650,0,6,656,1
151,162,125,17,0,3,367,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,681,0,1,682,0
152,140,115,32,0,1,345,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,640,0,4,644,0
153,99,120,13,0,0,258,2,0,0,7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,503,0,2,505,0
154,143,105,27,1,2,368,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,652,0,4,656,0
155,179,165,27,0,1,463,2,2,0,7,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,853,0,1,854,0
156,111,106,27,0,0,338,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,590,0,2,592,0
157,191,91,26,1,0,362,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,677,0,0,677,0
158,123,108,27,2,3,297,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,565,0,3,568,0
159,124,108,24,0,0,250,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,512,0,7,519,0
160,175,141,18,3,0,368,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,711,0,6,717,0
161,202,137,47,1,0,457,0,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,852,0,4,856,0
162,154,166,21,0,0,379,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,2,0,729,0,5,734,0
163,101,163,11,0,0,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,11,428,0
164,122,196,17,0,0,116,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,456,0,9,465,0
165,108,164,10,0,1,83,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,371,0,3,374,0
166,107,141,22,1,1,297,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,577,0,2,579,0
167,140,160,24,1,0,322,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,0,0,1,0,0,656,0,0,656,0
168,214,86,16,0,1,243,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,565,0,1,566,0
169,149,108,13,0,0,289,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,564,0,0,564,1
170,158,240,27,1,2,149,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,582,0,10,592,0
171,153,228,30,1,1,154,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,571,0,5,576,0
172,176,188,24,1,0,116,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,511,0,7,518,0
173,71,211,17,0,0,107,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,413,0,6,419,0
174,117,187,13,0,3,112,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,440,0,12,452,0
175,191,139,34,0,0,390,1,1,1,0,0,0,0,0,1,0,2,0,0,1,0,3,0,1,0,0,0,765,0,3,768,0
176,276,99,18,0,1,433,0,0,1,0,0,0,0,0,3,0,2,1,0,1,0,1,11,0,0,0,0,847,0,2,849,2
177,105,89,6,0,1,188,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,2,394,0
178,151,178,19,0,0,263,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,617,0,3,620,0
179,138,170,20,0,1,319,2,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,657,0,4,661,0
180,120,212,27,0,1,210,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,577,0,4,581,0
181,114,125,23,1,2,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,478,0,1,479,0
182,254,114,27,0,0,339,0,1,0,1,1,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,743,0,1,744,0
183,139,172,28,0,0,126,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,468,0,5,473,0
184,135,191,19,0,0,227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,574,0,11,585,0
185,211,150,18,0,1,316,0,1,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,705,0,3,708,0
186,241,119,18,0,1,301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,686,0,2,688,0
187,116,104,21,1,0,202,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,446,0,1,447,0
188,121,87,30,1,0,331,1,0,0,1,2,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,582,0,1,583,0
189,182,135,20,1,1,452,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,798,0,0,798,0
190,79,131,12,0,0,65,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,290,0,2,292,0
191,102,174,23,1,3,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,397,0,8,405,0
192,104,142,28,3,1,114,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,399,0,9,408,0
193,90,162,7,0,1,104,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,370,0,6,376,0
194,98,135,8,0,2,185,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,431,0,8,439,0
195,114,159,25,0,1,285,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,587,0,2,589,0
196,112,201,27,0,2,271,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,616,0,2,618,0
197,114,149,21,1,0,199,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,489,0,1,490,0
198,165,237,24,2,0,193,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,626,0,9,635,0
199,268,173,30,2,1,263,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,741,0,4,745,1
200,143,252,27,3,0,148,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,581,0,9,590,0
201,153,188,20,1,0,278,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,0,647,0,5,652,0
202,109,128,11,0,0,94,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,346,0,6,352,0
