Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,292,3,26,0,4,224,4,0,2,167,2,1,2,0,0,8,2,0,0,2,739,739,0,739,0,
67,357,3,14,0,2,226,2,0,2,106,1,2,0,1,0,6,3,0,0,1,726,726,0,726,0,
68,163,1,14,0,3,132,1,0,3,233,3,2,1,0,0,1,1,0,0,0,558,558,0,558,0,
69,239,0,29,0,3,213,0,0,0,207,1,2,0,1,2,0,3,0,1,2,703,703,0,703,0,
70,262,0,43,3,1,321,1,0,4,225,2,0,0,0,0,2,3,0,0,5,872,872,0,872,0,
71,247,0,23,0,1,206,1,1,2,319,4,3,1,1,0,2,4,0,0,0,815,815,0,815,0,6 :oN dnuoR
72,197,3,10,0,2,150,2,0,3,106,1,0,0,0,1,0,2,0,0,0,477,477,0,477,0,
73,263,2,28,0,4,395,1,0,2,250,1,1,0,4,1,1,1,1,1,3,959,959,0,959,0,
74,306,1,23,2,2,312,1,1,1,217,2,2,0,0,1,3,5,0,0,6,885,885,0,885,0,
75,129,1,1,1,3,166,0,0,1,62,0,0,0,1,0,1,1,0,0,1,368,368,0,368,0,
76,345,1,32,0,2,227,2,2,3,238,2,3,0,0,0,3,2,0,0,1,863,863,0,863,0,
77,163,0,9,0,0,91,1,0,0,233,0,1,0,1,2,0,1,0,0,0,502,502,0,502,0,
78,335,0,16,0,6,232,0,0,2,51,0,1,0,0,0,5,1,0,0,1,650,650,0,650,0,
79,525,1,22,1,4,342,1,0,1,60,1,0,0,0,0,11,2,0,1,1,973,973,0,973,0,
80,222,4,41,1,3,182,0,0,1,214,0,2,1,0,0,5,2,0,0,3,681,681,0,681,0,
81,223,2,24,0,0,184,0,0,1,130,0,0,0,0,0,0,0,0,0,0,564,564,0,564,0,
82,94,2,19,0,3,171,4,0,6,285,2,3,0,0,0,2,0,0,0,0,591,591,0,591,0,
83,162,1,15,2,0,131,4,2,1,348,0,4,0,0,0,1,2,0,0,0,673,673,0,673,0,
84,254,15,3,0,3,216,4,1,0,266,3,3,1,0,1,1,6,1,0,0,778,778,0,778,0,
85,74,0,20,0,0,164,0,0,0,20,0,0,0,0,0,0,0,0,0,1,279,279,0,279,0,7 :oN dnuoR
86,407,2,30,0,4,209,1,0,0,137,1,2,1,0,1,3,9,0,0,2,809,809,0,809,0,
87,105,2,13,0,0,75,2,0,1,135,1,0,0,0,1,2,0,0,0,0,337,337,0,337,0,
88,166,0,21,0,2,153,0,0,8,387,1,6,1,1,1,1,1,0,0,0,749,749,0,749,0,
89,160,2,22,0,3,147,2,0,1,272,1,3,0,2,1,4,2,0,0,0,622,622,0,622,0,
90,25,0,7,0,1,72,0,2,8,176,0,0,1,0,0,0,0,0,0,0,292,292,0,292,0,
91,144,2,13,2,4,111,8,13,28,470,3,8,2,1,1,6,1,0,0,0,817,817,0,817,0,
92,261,0,16,1,4,192,2,1,6,282,1,2,0,1,0,5,5,0,0,1,780,780,0,780,0,
93,181,0,25,1,1,205,4,4,29,548,3,5,0,0,0,1,1,0,0,3,1011,1011,0,1011,0,
94,75,1,12,0,3,123,4,0,7,264,2,2,0,1,0,0,3,0,0,0,497,497,0,497,0,
95,210,2,8,0,3,182,2,0,0,121,1,0,0,1,1,2,2,0,0,0,535,535,0,535,0,
96,62,0,19,0,1,124,0,3,42,443,1,0,0,0,1,1,1,0,0,2,700,700,0,700,0,
97,84,1,11,0,1,74,1,0,4,194,2,1,0,0,1,0,1,0,0,0,375,375,0,375,0,
98,94,1,14,1,2,113,2,3,15,513,1,5,0,0,0,5,2,0,0,0,771,771,0,771,0,
99,60,0,4,1,0,47,2,0,6,249,1,2,0,0,1,3,0,0,1,0,377,377,0,377,0,8 :oN dnuoR
100,150,2,21,0,4,116,2,0,1,231,1,5,0,0,0,3,3,1,1,0,541,541,0,541,0,
101,163,0,10,1,2,145,2,0,2,247,3,2,0,0,1,2,1,0,1,2,584,584,0,584,0,
102,120,2,12,0,3,146,4,1,4,434,4,5,0,1,1,2,2,2,0,1,744,744,0,744,0,
103,87,3,13,0,0,103,1,1,4,422,3,4,2,1,1,5,3,0,0,2,655,655,0,655,0,
104,78,0,9,0,2,60,0,4,2,191,2,2,0,0,0,1,3,0,0,1,355,355,0,355,0,
105,47,0,13,0,0,111,1,10,1,262,1,1,2,1,1,1,3,0,0,2,457,457,0,457,0,
106,99,2,12,0,2,105,6,4,2,369,1,4,4,1,0,3,1,0,0,1,616,616,0,616,0,
107,315,2,38,0,5,273,4,0,0,217,4,3,0,2,5,7,1,0,0,1,877,877,0,877,0,
108,338,1,13,0,3,243,2,0,0,217,1,1,0,0,5,3,2,0,0,4,833,833,0,833,0,
109,220,2,15,0,1,176,5,1,4,410,2,6,0,0,0,5,2,1,0,1,851,851,0,851,0,
110,119,1,17,0,0,97,2,3,1,323,1,0,0,0,0,2,0,0,0,1,567,567,0,567,0,
111,175,1,17,0,1,198,1,1,5,547,0,7,0,0,0,3,1,0,0,2,959,959,0,959,0,
112,178,0,15,1,3,204,4,1,5,512,3,3,2,0,2,1,2,0,1,1,938,938,0,938,0,
113,111,0,13,0,1,156,3,0,5,596,1,8,0,1,1,0,1,1,1,0,899,899,0,899,0,9 :oN dnuoR
114,123,0,23,0,3,117,0,0,6,521,1,2,1,0,0,1,0,0,0,0,798,798,0,798,0,
115,121,0,17,0,3,139,4,4,7,598,3,2,1,0,1,2,1,0,0,1,904,904,0,904,0,
116,50,0,11,0,2,75,2,1,2,331,3,5,0,0,0,0,0,0,0,0,482,482,0,482,0,
117,200,1,23,0,7,134,0,0,1,192,2,1,0,0,1,0,0,0,0,0,562,562,0,562,0,
118,442,2,16,0,6,222,3,0,3,350,4,2,1,0,1,4,2,0,0,0,1058,1058,0,1058,0,
119,131,2,21,0,2,121,6,1,7,493,3,5,0,0,0,2,1,0,0,1,796,796,0,796,0,
120,145,1,31,1,7,158,5,0,5,605,2,2,0,1,0,2,1,0,0,1,967,967,0,967,0,
121,211,1,14,1,1,187,0,0,1,411,2,0,0,0,0,1,0,0,0,2,832,832,0,832,0,
122,130,2,13,0,2,135,5,0,6,543,2,3,2,1,0,6,2,0,1,3,856,856,0,856,0,
123,289,1,12,0,1,207,0,2,5,314,4,4,0,1,0,1,1,1,0,3,846,846,0,846,0,
124,459,2,8,0,0,144,0,0,1,40,2,0,0,0,0,1,2,0,0,2,661,661,0,661,0,
125,343,3,5,0,0,124,0,0,0,65,0,0,0,0,1,9,1,0,0,1,552,552,0,552,0,
126,204,1,35,2,1,204,2,7,4,497,2,3,2,1,1,4,1,0,0,1,972,972,0,972,0,
127,308,0,11,0,0,132,0,2,1,43,1,0,0,1,1,8,1,1,0,0,510,510,0,510,0,01 :oN dnuoR
128,170,1,24,0,0,248,2,13,7,393,3,3,0,0,2,3,2,0,0,4,875,875,0,875,0,
129,259,0,4,0,1,124,4,0,2,32,1,0,0,0,0,0,3,0,0,0,430,430,0,430,0,
130,386,0,79,1,2,186,15,5,0,68,1,3,0,1,2,5,5,0,1,0,760,760,0,760,0,
131,112,2,19,1,4,190,4,1,12,439,0,2,0,1,1,2,1,0,0,2,793,793,0,793,0,
132,144,3,17,0,5,191,6,0,6,463,3,5,0,1,4,4,0,1,1,4,858,858,0,858,0,
133,27,2,12,0,1,59,0,2,53,445,2,3,0,0,0,0,0,0,0,1,607,607,0,607,0,
134,85,1,7,0,1,45,0,1,49,295,0,2,0,1,0,0,3,0,0,1,491,491,0,491,0,
135,212,0,13,1,2,198,4,4,60,447,5,4,0,1,3,7,9,0,0,1,971,971,0,971,0,
136,295,2,22,1,5,113,2,0,2,293,0,1,0,0,0,4,2,0,0,1,743,743,0,743,0,
137,317,1,15,0,4,164,2,0,7,330,1,0,0,1,0,4,0,0,1,1,848,848,0,848,0,
138,448,1,9,0,2,237,2,1,0,121,0,0,0,1,1,3,1,0,0,0,827,827,0,827,0,
139,221,2,20,1,3,138,3,6,8,255,2,1,1,0,0,7,3,1,0,2,674,674,0,674,0,
140,68,1,7,0,1,120,3,1,2,218,1,6,1,0,0,1,0,0,0,1,431,431,0,431,0,
141,159,3,20,0,1,116,1,0,6,328,0,4,1,0,0,4,1,0,0,2,646,646,0,646,0,11 :oN dnuoR
142,256,0,37,1,2,226,1,2,12,270,0,1,0,2,0,2,0,0,0,4,816,816,0,816,0,
143,217,1,13,0,3,121,1,0,3,200,1,1,1,0,1,2,0,0,0,0,565,565,0,565,0,
144,167,1,28,1,0,190,2,0,12,261,2,0,0,0,0,1,2,0,0,2,669,669,0,669,0,
145,126,0,17,0,2,173,0,1,12,341,3,1,1,0,0,3,0,0,0,1,681,681,0,681,0,
146,196,1,29,0,1,224,2,0,1,182,3,1,0,1,1,2,2,1,1,2,650,650,0,650,0,
147,177,1,33,0,0,158,2,0,0,171,2,0,0,0,0,1,0,0,0,3,548,548,0,548,0,
148,209,1,28,1,4,198,1,1,5,257,1,1,0,0,0,3,3,0,0,1,714,714,0,714,0,
149,369,3,18,1,2,284,2,0,1,92,1,0,1,0,0,6,3,0,1,2,786,786,0,786,0,
150,68,0,11,0,0,69,0,1,2,214,2,1,0,0,0,3,2,0,0,1,374,374,0,374,0,
151,312,0,23,0,6,217,2,2,5,215,4,2,1,1,1,1,5,0,0,1,798,798,0,798,0,
152,157,0,7,0,0,115,2,0,2,372,0,2,1,0,0,1,1,0,0,2,662,662,0,662,0,
153,102,3,4,0,1,84,2,0,0,225,1,0,0,0,0,0,0,0,0,1,423,423,0,423,0,
154,407,2,50,2,8,275,2,0,3,232,2,1,2,0,2,9,0,0,0,1,998,998,0,998,0,
155,103,2,17,6,2,78,1,0,0,344,1,0,0,0,0,0,3,0,0,2,559,559,0,559,0,21 :oN dnuoR
156,424,1,36,1,7,327,3,1,1,82,1,3,1,0,1,9,4,0,1,2,905,905,0,905,0,
157,288,3,32,0,2,198,1,0,2,457,2,3,0,0,1,2,2,0,2,2,997,997,0,997,0,
158,195,1,18,1,5,218,4,0,2,460,2,1,0,0,3,4,2,0,4,0,920,920,0,920,0,
159,216,1,14,1,2,192,0,0,3,281,0,2,0,1,0,1,1,0,0,1,716,716,0,716,0,
160,61,0,3,0,0,113,3,1,0,346,3,2,0,0,1,2,1,0,0,0,536,536,0,536,0,
161,125,0,17,0,0,140,2,0,1,333,1,0,0,0,0,0,0,0,0,2,621,621,0,621,0,
162,240,3,7,2,2,259,0,0,4,369,2,3,1,3,3,3,5,1,0,1,908,908,0,908,0,
163,87,2,9,0,3,140,1,2,3,271,2,0,2,1,1,1,2,0,0,0,527,527,0,527,0,
164,392,1,25,1,6,267,2,0,3,292,0,3,1,1,0,2,4,0,1,3,1004,1004,0,1004,0,
165,228,0,11,0,1,118,1,0,0,54,0,0,0,0,0,0,1,0,0,0,414,414,0,414,0,
166,146,2,17,2,0,171,4,0,2,324,1,1,0,0,0,2,1,0,0,1,674,674,0,674,0,
167,284,2,10,0,1,194,0,2,0,42,0,0,0,1,0,2,1,0,0,2,541,541,0,541,0,
168,210,1,16,0,0,174,1,1,2,234,2,0,0,0,0,2,2,1,0,2,648,648,0,648,0,
169,325,1,6,0,3,170,2,0,0,83,0,0,0,0,2,1,2,0,0,4,599,599,0,599,0,31 :oN dnuoR
170,160,0,19,0,0,110,0,0,0,32,0,0,0,0,0,0,3,0,0,2,326,326,0,326,0,
171,283,2,14,2,1,302,0,0,0,153,1,4,0,0,1,3,2,0,0,0,768,768,0,768,0,
172,105,0,5,0,0,69,0,0,1,51,0,0,0,0,0,1,2,0,0,1,235,235,0,235,0,
173,130,1,35,2,4,183,10,0,4,633,5,6,0,2,0,6,2,0,0,4,1027,1027,0,1027,0,
174,90,4,29,0,3,164,1,4,7,509,2,0,1,2,0,0,3,0,2,3,824,824,0,824,0,
175,240,0,22,1,5,231,2,0,4,175,1,2,0,3,0,1,0,0,0,2,689,689,0,689,0,
176,243,0,31,1,2,232,2,0,1,156,1,0,0,0,2,1,2,0,0,1,675,675,0,675,0,
177,205,0,32,0,0,180,1,0,0,151,1,2,0,0,1,0,0,0,0,4,577,577,0,577,0,
178,217,0,20,1,0,173,0,1,1,89,0,1,0,0,0,2,2,0,0,1,508,508,0,508,0,
179,259,0,32,0,2,330,4,2,0,98,2,0,0,1,0,1,0,0,0,5,736,736,0,736,0,
180,209,1,23,0,2,290,1,0,2,129,1,2,1,2,0,2,0,0,1,2,668,668,0,668,0,
181,373,2,24,2,5,348,0,2,1,95,3,0,0,1,2,5,1,1,1,3,869,869,0,869,0,
182,93,0,16,0,2,147,0,1,0,343,2,0,0,0,0,0,1,0,0,2,607,607,0,607,0,
183,92,0,13,0,4,118,3,0,1,269,1,1,0,1,2,2,1,0,0,2,510,510,0,510,0,41 :oN dnuoR
184,175,1,12,1,3,222,1,1,0,196,1,2,1,0,0,1,0,0,0,3,620,620,0,620,0,
185,111,1,11,0,3,137,0,1,2,289,2,3,1,1,0,0,1,1,1,1,566,566,0,566,0,
186,258,2,15,1,6,230,1,1,1,133,1,0,0,0,0,1,4,0,2,2,658,658,0,658,0,
187,84,0,28,1,0,136,3,0,5,266,0,3,0,0,0,1,1,0,1,0,529,529,0,529,0,
188,108,1,24,1,1,150,1,1,2,223,2,0,0,0,0,0,0,0,0,1,515,515,0,515,0,
189,531,3,24,1,2,349,0,0,0,39,2,0,0,0,1,5,2,0,2,1,962,962,0,962,0,
190,450,0,25,0,1,240,0,0,1,24,3,1,0,0,0,5,6,0,0,2,758,758,0,758,0,
191,537,6,15,1,5,306,1,0,0,36,0,0,0,2,0,8,10,0,1,2,930,930,0,930,0,
192,262,0,50,1,2,289,0,0,1,231,0,3,0,2,0,0,4,0,1,1,847,847,0,847,0,
193,279,1,26,0,3,231,3,0,3,135,2,3,0,0,0,2,6,0,0,2,696,696,0,696,0,
194,202,0,17,0,1,198,3,0,1,131,3,0,0,0,1,4,6,0,0,2,569,569,0,569,0,
195,148,3,22,0,3,284,3,2,1,477,2,3,1,0,0,3,1,0,0,0,953,953,0,953,0,
196,165,1,28,0,2,195,2,1,11,487,5,7,1,3,0,5,2,0,0,0,915,915,0,915,0,
197,158,2,17,1,2,148,3,0,2,553,3,3,1,1,1,0,1,0,0,2,898,898,0,898,0,51 :oN dnuoR
198,92,1,9,0,1,119,1,1,4,458,2,1,0,0,0,1,0,0,1,1,692,692,0,692,0,
199,214,1,24,0,2,220,1,1,3,211,2,1,1,0,0,2,3,1,1,0,688,688,0,688,0,
200,174,1,34,2,1,190,1,0,1,257,1,4,0,1,2,1,3,1,1,2,677,677,0,677,0,
201,146,4,19,1,4,152,2,1,3,276,7,5,1,0,0,5,0,0,1,3,630,630,0,630,0,
202,77,1,3,0,2,51,2,0,0,233,0,0,0,0,0,1,0,0,0,0,370,370,0,370,0,
203,225,0,12,0,1,150,0,2,3,217,1,1,0,0,0,1,0,0,0,2,615,615,0,615,0,
204,600,7,16,0,5,271,3,0,0,42,0,2,1,2,1,5,2,0,0,0,957,957,0,957,0,
205,280,0,9,0,3,117,0,0,2,103,0,0,0,0,0,1,0,0,0,1,516,516,0,516,0,
206,181,1,19,2,2,165,2,0,0,211,1,0,1,1,1,1,7,0,0,2,597,597,0,597,0,
207,206,3,28,0,3,165,2,0,2,317,2,2,2,2,0,10,1,1,0,1,747,747,0,747,0,
208,242,0,11,0,0,131,1,0,2,240,1,1,1,1,1,1,1,0,0,2,636,636,0,636,0,
209,205,2,23,0,0,215,2,1,1,129,1,1,0,0,0,4,0,1,0,1,586,586,0,586,0,
210,106,2,20,1,2,145,0,1,1,214,0,2,1,0,1,4,0,0,0,1,501,501,0,501,0,
211,613,1,30,0,3,313,2,0,0,72,0,1,0,1,0,8,5,0,0,4,1053,1053,0,1053,0,61 :oN dnuoR
212,209,1,59,1,3,163,1,0,0,141,0,1,0,2,1,6,1,0,0,4,593,593,0,593,0,
213,439,1,15,0,0,116,1,0,1,217,2,0,0,3,2,1,6,0,0,1,805,805,0,805,0,
214,96,1,18,0,2,159,0,0,5,755,4,1,0,0,1,0,2,0,0,3,1047,1047,0,1047,0,
215,330,1,12,1,1,174,0,1,4,306,6,2,0,2,0,5,1,0,0,2,848,848,0,848,0,
216,61,0,11,0,3,99,3,2,1,366,1,0,0,0,0,2,0,0,0,0,549,549,0,549,0,
217,322,1,29,2,4,282,2,0,3,329,0,0,0,0,1,3,4,0,0,4,986,986,0,986,0,
218,99,0,12,0,0,129,5,0,5,357,5,6,0,0,1,2,6,0,0,0,627,627,0,627,0,
219,104,0,19,0,1,105,0,1,3,326,1,0,0,0,1,2,1,0,0,0,564,564,0,564,0,
220,60,2,0,0,0,30,0,0,1,145,0,0,0,0,0,0,0,0,0,1,239,239,0,239,0,
221,284,0,9,0,1,208,3,0,1,478,0,3,0,0,0,2,1,0,0,1,991,991,0,991,0,
222,70,0,6,0,0,67,1,0,2,31,0,0,0,0,0,0,0,1,0,0,178,178,0,178,0,
223,166,2,25,0,4,256,0,0,1,147,3,0,1,0,1,3,2,0,0,0,611,611,0,611,0,
224,150,3,24,1,1,218,0,1,6,392,4,5,1,0,1,4,3,1,0,1,816,816,0,816,0,
225,330,2,31,0,3,169,0,3,2,290,2,1,0,0,0,4,2,0,0,1,840,840,0,840,0,71 :oN dnuoR
226,126,1,32,3,0,249,1,0,1,210,2,1,0,2,1,4,1,2,0,1,637,637,0,637,0,
227,247,2,24,0,1,121,0,0,2,214,0,1,0,0,1,3,0,0,0,0,616,616,0,616,0,
228,61,0,24,0,2,59,1,0,5,344,1,1,0,0,0,1,1,0,0,1,501,501,0,501,0,
229,321,2,28,4,7,234,3,0,3,246,0,2,1,2,1,5,8,0,9,4,880,880,0,880,0,
230,205,5,18,0,2,243,4,2,4,199,5,1,1,0,1,5,0,0,2,3,700,700,0,700,0,
231,387,2,35,0,5,188,3,1,3,41,0,0,0,1,0,5,3,0,0,2,676,676,0,676,0,
232,255,0,6,0,1,101,0,0,2,177,1,0,0,0,0,3,2,0,0,2,550,550,0,550,0,
233,187,0,22,0,4,176,3,1,3,325,1,3,3,1,1,2,0,0,1,0,733,733,0,733,0,
234,169,1,13,0,1,92,5,0,8,172,1,0,1,0,0,6,1,0,0,1,471,471,0,471,0,
235,233,2,28,0,1,226,1,1,2,153,1,0,0,1,0,4,5,0,0,2,660,660,0,660,0,
236,282,3,12,1,2,191,1,0,0,173,2,10,1,0,1,3,3,0,1,1,687,687,0,687,0,
237,416,1,20,0,2,237,3,1,3,313,1,25,2,0,0,5,3,0,0,0,1032,1032,0,1032,0,
238,260,0,11,0,0,276,1,1,1,65,1,0,0,0,1,3,6,1,11,3,641,641,0,641,0,
239,204,0,20,0,3,161,3,0,0,132,2,1,0,1,4,1,1,0,0,1,534,534,0,534,0,81 :oN dnuoR
240,262,1,27,0,2,122,1,0,4,119,0,0,0,0,1,0,0,0,0,0,539,539,0,539,0,
241,224,3,18,1,4,107,1,4,7,368,3,2,0,0,0,4,3,0,0,0,749,749,0,749,0,
242,226,0,13,2,5,239,5,2,3,537,4,0,1,0,1,6,2,0,0,1,1047,1047,0,1047,0,
243,527,1,35,0,1,195,3,1,4,142,1,2,0,0,0,7,1,0,0,0,920,920,0,920,0,
244,291,3,6,2,0,89,1,0,1,153,2,3,0,0,0,2,2,0,1,2,558,558,0,558,0,
245,193,0,15,1,1,67,1,0,1,256,4,2,0,0,0,0,2,0,0,1,544,544,0,544,0,
246,268,0,14,0,3,130,0,1,1,320,1,3,1,1,0,9,1,1,0,1,755,755,0,755,0,
247,253,2,13,1,1,69,4,2,2,257,2,2,0,0,0,6,1,0,0,3,618,618,0,618,0,
248,248,3,31,1,5,227,5,3,2,309,2,2,0,0,2,3,2,0,0,3,848,848,0,848,0,
249,269,1,11,0,1,188,1,1,3,253,1,2,0,0,0,4,8,0,0,1,744,744,0,744,0,
250,248,3,6,1,3,99,0,0,3,276,3,2,0,0,1,1,0,1,0,2,649,649,0,649,0,
251,379,1,15,0,2,178,0,0,1,139,3,3,2,0,1,4,3,0,3,3,737,737,0,737,0,
252,189,1,14,0,3,123,1,0,1,232,1,1,0,1,0,0,0,0,1,2,570,570,0,570,0,
