Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,1,215,28,211,2,275,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,737,0,2,739,0
67,1,201,18,127,2,211,1,1,0,0,0,1,0,1,2,1,1,4,0,1,2,4,0,0,0,0,0,0,579,0,4,583,0
68,0,125,11,203,1,144,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,487,0,3,490,0
69,0,252,33,196,3,307,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,800,0,4,804,0
70,0,100,9,87,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,347,0,4,351,0
71,1,266,43,226,2,284,2,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,831,0,2,833,0
72,0,204,35,141,1,226,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,614,0,4,618,0
73,2,127,25,175,2,155,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,6,494,0
74,0,183,45,173,0,227,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,635,0,10,645,0
75,3,346,31,142,2,391,0,1,1,2,0,0,1,0,2,2,1,5,1,0,1,1,1,1,0,2,1,1,939,0,2,941,0
76,0,77,12,60,1,88,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,240,0,0,240,0
77,1,288,43,132,1,293,2,2,0,1,0,1,0,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,771,0,3,774,0
78,1,314,33,122,1,376,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,855,0,2,857,0
79,0,176,26,114,2,229,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,2,0,0,0,2,0,1,559,0,2,561,0
80,1,245,32,141,1,288,1,1,0,1,0,1,0,0,1,4,0,4,0,0,0,1,0,0,0,1,0,1,724,0,2,726,0
81,2,182,37,150,3,357,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,736,0,4,740,0
82,ge 1 2,225,42,142,2,365,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,788,0,6,794,0
83,0,140,13,98,2,283,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,1,540,0
84,1,186,17,139,3,265,0,0,0,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,619,0,7,626,0
85,1,218,29,130,3,340,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,729,0,5,734,0
86,1,219,42,167,2,388,1,0,0,2,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,829,0,2,831,0
87,1,173,24,150,1,391,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0,751,0,1,752,0
88,1,149,20,104,2,269,0,0,0,1,0,1,1,1,0,1,1,1,0,2,0,1,0,0,0,1,0,0,556,0,1,557,0
89,2,198,26,115,1,310,2,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,660,0,2,662,0
90,2,207,30,149,1,316,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,1,715,0,2,717,0
91,3,142,17,126,1,391,2,1,0,0,2,2,2,1,0,2,0,0,0,0,3,2,1,3,0,0,0,0,701,0,2,703,0
92,2,178,34,152,2,308,0,0,1,4,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,0,0,0,691,0,3,694,0
93,4,151,28,113,2,384,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,0,691,0,3,694,0
94,4,204,28,131,2,362,0,1,0,2,0,2,1,0,2,2,1,3,0,2,0,1,1,0,0,1,0,0,750,0,4,754,0
95,1,119,23,135,1,349,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,2,1,1,0,1,0,0,639,0,5,644,0
96,0,202,17,66,0,235,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,524,0,0,524,0
97,1,109,18,64,0,121,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,317,0,3,320,0
98,1,182,24,137,2,211,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,563,0,1,564,0
99,1,284,26,113,1,281,0,0,1,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,715,0,5,720,0
100,1,370,19,89,0,340,0,1,0,0,0,2,0,0,0,0,0,9,1,1,3,3,1,0,0,1,0,0,841,0,1,842,0
101,0,213,26,155,3,230,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,634,0,3,637,0
102,0,144,15,82,0,150,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,395,0,3,398,0
103,0,230,23,135,0,194,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,586,0,7,593,0
104,1,204,20,81,0,209,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,522,0,3,525,0
105,2,247,27,128,0,254,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,662,0,1,663,0
106,0,228,26,151,2,271,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,683,0,2,685,0
107,1,237,30,175,0,277,0,2,1,2,0,0,0,0,0,1,0,5,0,1,0,2,1,0,0,0,0,0,735,0,0,735,0
108,2,239,27,112,1,307,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,697,0,3,700,0
