Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
30,35,283,154,3,1,111,0,0,0,0,0,1,0,2,5,2,597,597,0,597,0,
31,28,324,303,0,1,174,1,0,0,0,2,1,1,4,4,0,843,843,0,843,0,
32,17,326,248,3,2,87,0,0,0,0,0,0,0,1,1,2,687,687,0,687,0,
33,57,417,215,0,3,212,1,1,0,0,1,0,1,4,6,1,919,919,0,919,0,
34,15,205,268,0,0,126,1,0,0,0,0,0,0,2,1,1,619,619,0,619,0,
35,13,368,134,0,2,102,0,0,0,0,0,0,0,0,3,1,623,623,0,623,0,
36,10,185,164,1,0,158,1,2,0,0,0,0,0,1,4,1,527,527,0,527,0,
37,9,258,191,1,0,115,0,0,0,0,0,0,0,0,0,0,574,574,0,574,0,
38,9,180,108,1,0,104,0,0,0,0,1,0,2,0,0,2,407,407,0,407,0,
39,16,408,180,2,2,236,2,2,0,1,0,0,0,2,0,3,854,854,0,854,0,
40,25,291,269,2,4,154,0,1,0,0,0,0,1,1,0,2,750,750,0,750,0,
41,13,291,212,4,3,168,1,1,1,0,1,1,2,2,4,2,706,706,0,706,0,
42,16,129,172,0,2,168,0,0,0,0,0,0,0,0,1,2,490,490,0,490,0,
43,12,365,160,1,1,186,1,0,0,1,1,0,0,1,2,1,732,732,0,732,0,4 :oN dnuoR
44,17,153,243,0,1,216,1,0,1,0,0,1,2,1,2,1,639,639,0,639,0,
45,5,226,145,1,3,145,0,0,0,0,0,3,0,0,1,0,529,529,0,529,0,
46,31,249,206,0,1,298,0,1,1,0,1,0,1,0,0,5,794,794,0,794,0,
47,17,228,238,1,0,297,0,1,0,0,0,0,0,1,0,4,787,787,0,787,0,
48,14,151,163,1,1,235,0,2,0,0,1,1,0,1,0,4,574,574,0,574,0,
49,11,96,103,1,0,117,0,0,1,0,0,0,0,0,0,2,331,331,0,331,0,
50,22,206,202,2,2,347,1,0,0,0,0,0,0,0,2,7,791,791,0,791,0,
51,37,316,253,2,2,351,0,1,0,2,2,4,1,0,2,5,978,978,0,978,0,
52,28,171,286,1,1,297,1,0,0,0,0,2,0,0,0,3,790,790,0,790,0,
53,25,257,269,2,1,372,1,6,0,0,0,0,0,0,2,4,939,939,0,939,0,
54,22,366,244,1,4,310,1,0,0,0,1,4,0,0,2,9,964,964,0,964,0,
55,26,202,227,1,1,201,0,5,0,0,0,0,0,0,1,3,667,667,0,667,0,
56,15,170,152,0,0,192,0,1,0,0,0,0,0,1,2,3,536,536,0,536,0,
57,16,93,141,0,1,163,0,0,0,0,0,0,0,0,0,1,415,415,0,415,0,5 :oN dnuoR
58,19,130,156,0,2,183,0,1,0,0,0,0,0,1,0,4,496,496,0,496,0,
59,27,162,186,0,1,179,0,1,0,0,0,0,0,0,0,2,558,558,0,558,0,
60,9,85,137,0,0,147,0,0,0,0,0,1,0,0,0,2,381,381,0,381,0,
61,22,301,206,1,2,318,1,0,1,0,1,0,1,0,4,7,865,865,0,865,0,
62,18,187,205,1,1,256,1,0,0,0,0,0,0,0,0,2,671,671,0,671,0,
63,21,233,168,0,1,264,1,1,0,0,0,1,1,0,4,1,696,696,0,696,0,
64,13,206,151,0,0,205,1,2,0,0,0,0,1,0,5,3,587,587,0,587,0,
65,18,423,180,0,3,310,0,0,0,0,1,2,0,0,1,2,940,940,0,940,0,
66,5,143,90,0,0,86,0,1,1,0,0,1,0,0,1,1,329,329,0,329,0,
67,25,271,309,14,1,248,0,2,0,0,0,0,1,2,3,0,876,876,0,876,0,
68,27,294,182,0,1,215,0,0,0,0,1,0,2,1,1,2,726,726,0,726,0,
69,22,294,298,1,1,387,1,0,0,0,1,0,1,1,1,3,1011,1011,0,1011,0,
70,41,343,236,1,1,363,1,2,1,0,2,0,1,3,1,4,1000,1000,0,1000,0,
71,37,198,282,1,0,326,0,0,0,0,0,0,0,0,1,3,848,848,0,848,0,6 :oN dnuoR
72,28,281,345,0,2,222,0,0,0,0,0,0,0,0,0,3,881,881,0,881,0,
73,34,242,190,0,4,249,0,0,0,0,0,0,0,0,2,2,723,723,0,723,0,
74,15,223,262,0,2,184,0,0,1,0,0,0,0,2,1,1,691,691,0,691,0,
75,49,234,261,2,0,320,1,1,1,0,1,0,0,1,0,5,876,876,0,876,0,
76,53,182,285,1,2,376,2,0,0,1,0,1,1,1,1,3,909,909,0,909,0,
77,18,91,136,1,2,152,0,0,0,0,1,0,1,1,0,4,407,407,0,407,0,
78,17,286,224,0,0,170,0,0,0,0,0,0,0,0,1,1,699,699,0,699,0,
79,43,362,309,0,0,203,1,0,0,0,0,0,1,3,2,0,924,924,0,924,0,
80,19,277,145,0,2,130,2,0,0,0,0,0,0,1,1,1,578,578,0,578,0,
81,12,345,278,0,2,243,0,0,0,0,0,1,1,3,0,2,887,887,0,887,0,
82,17,201,180,0,7,203,0,0,1,0,0,0,1,3,2,7,622,622,0,622,0,
83,31,408,305,3,5,231,1,0,1,0,2,2,2,6,6,3,1006,1006,0,1006,0,
84,24,323,281,1,1,289,0,0,1,0,1,1,3,3,0,4,932,932,0,932,0,
85,7,140,95,1,1,90,0,1,1,1,0,1,1,2,1,0,342,342,0,342,0,7 :oN dnuoR
86,26,206,140,2,2,203,0,0,0,0,0,1,1,1,0,1,583,583,0,583,0,
87,21,492,251,1,3,224,0,0,0,0,1,3,1,2,5,2,1006,1006,0,1006,0,
88,28,450,214,1,2,143,0,0,0,0,1,3,0,4,3,5,854,854,0,854,0,
89,7,182,102,0,1,87,0,0,1,0,0,17,0,1,1,2,401,401,0,401,0,
90,49,300,199,1,1,175,1,0,0,0,0,0,0,0,2,2,730,730,0,730,0,
91,17,264,166,2,1,71,1,0,1,0,0,1,2,0,5,0,531,531,0,531,0,
92,26,332,355,4,4,305,0,1,0,0,0,2,0,2,3,2,1036,1036,0,1036,0,
93,13,201,164,1,3,136,0,0,0,0,1,2,1,6,3,3,534,534,0,534,0,
94,4,176,128,0,0,83,1,0,0,0,1,0,0,3,1,0,397,397,0,397,0,
95,37,408,224,0,2,215,2,0,0,0,4,6,2,1,6,3,910,910,0,910,0,
96,15,253,140,1,4,162,1,2,0,0,2,2,1,2,4,1,590,590,0,590,0,
97,16,178,164,1,1,168,0,0,0,0,0,0,1,3,1,2,535,535,0,535,0,
98,11,187,195,1,0,130,0,0,0,0,0,1,1,5,4,0,535,535,0,535,0,
99,24,309,195,1,1,247,3,2,0,1,1,2,0,4,4,1,795,795,0,795,0,8 :oN dnuoR
100,21,294,196,2,0,171,2,0,0,0,0,0,0,3,3,1,693,693,0,693,0,
101,39,408,335,0,1,187,0,1,0,0,1,3,0,4,2,3,984,984,0,984,0,
102,14,151,76,0,2,62,17,1,0,0,0,0,0,0,3,1,327,327,0,327,0,
103,39,339,294,4,5,316,1,1,0,1,5,5,2,6,13,2,1033,1033,0,1033,0,
104,19,203,195,3,3,194,0,0,0,0,1,1,2,5,2,2,630,630,0,630,0,
105,22,465,334,2,2,244,3,0,2,0,0,0,2,7,2,5,1090,1090,0,1090,0,
106,42,375,309,0,3,263,2,0,1,0,0,0,1,3,3,2,1004,1004,0,1004,0,
107,21,325,240,1,2,239,1,0,0,0,1,1,2,1,1,4,839,839,0,839,0,
108,26,417,254,2,3,204,0,0,0,0,0,0,0,5,3,1,915,915,0,915,0,
109,17,322,160,2,1,105,0,0,1,0,0,1,0,1,1,3,614,614,0,614,0,
110,23,324,307,5,3,272,2,0,1,0,1,2,3,3,4,5,955,955,0,955,0,
111,32,278,300,3,3,260,0,1,0,0,2,1,1,5,5,1,892,892,0,892,0,
112,18,219,161,1,1,117,0,0,0,0,0,0,0,2,3,2,524,524,0,524,0,
113,6,177,103,1,1,78,0,0,0,0,0,0,1,1,3,0,371,371,0,371,0,9 :oN dnuoR
114,28,319,337,2,4,184,0,0,0,0,0,0,1,3,4,1,883,883,0,883,0,
115,20,354,193,0,3,144,0,0,0,0,0,0,0,2,5,2,723,723,0,723,0,
116,4,258,265,3,0,144,1,0,0,0,0,0,1,1,7,1,685,685,0,685,0,
117,4,148,102,1,0,49,0,0,0,0,0,0,0,0,0,0,304,304,0,304,0,
118,21,238,184,1,1,116,1,0,0,0,1,0,1,3,1,0,568,568,0,568,0,
119,18,267,135,0,3,167,0,0,1,0,0,3,1,0,3,1,599,599,0,599,0,
120,31,379,182,0,3,165,0,0,0,0,1,0,0,2,2,0,765,765,0,765,0,
121,18,206,204,1,2,139,0,0,0,0,0,0,0,1,1,3,575,575,0,575,0,
122,21,317,258,0,1,177,0,0,0,0,0,0,2,2,3,1,782,782,0,782,0,
123,28,395,319,2,1,198,1,2,0,0,0,2,1,4,9,0,962,962,0,962,0,
124,23,382,354,5,1,162,0,0,0,0,0,0,1,4,2,2,936,936,0,936,0,
125,17,185,194,0,0,103,0,0,0,0,0,1,1,1,0,1,503,503,0,503,0,
126,22,136,123,0,1,56,1,0,0,0,1,0,1,1,3,2,347,347,0,347,0,
127,19,342,270,1,0,175,0,0,1,0,3,0,2,1,5,1,820,820,0,820,0,01 :oN dnuoR
128,30,394,303,1,4,175,0,1,0,0,0,0,2,12,2,2,926,926,0,926,0,
129,14,191,171,4,2,93,1,0,0,1,0,0,0,3,4,1,485,485,0,485,0,
130,108,365,338,2,1,117,0,1,0,0,1,0,2,5,6,5,951,951,0,951,0,
131,34,233,254,4,2,120,1,0,0,0,1,1,0,3,3,0,656,656,0,656,0,
132,14,225,172,0,2,82,1,0,0,0,0,0,1,1,1,1,500,500,0,500,0,
133,1,149,106,0,1,44,0,0,0,0,0,0,1,1,0,1,304,304,0,304,0,
134,47,232,239,0,4,136,0,0,0,0,1,0,0,4,4,1,668,668,0,668,0,
135,44,310,233,2,2,253,1,0,0,0,0,0,0,1,3,1,850,850,0,850,0,
136,34,252,211,0,4,166,0,0,0,0,1,1,1,2,3,3,678,678,0,678,0,
137,11,134,102,3,2,132,1,0,0,0,0,0,1,3,2,0,391,391,0,391,0,
138,26,366,377,4,2,223,1,0,0,2,1,0,1,5,4,2,1014,1014,0,1014,0,
139,16,274,256,1,4,157,1,0,0,1,0,0,1,3,4,4,722,722,0,722,0,
140,21,155,131,1,1,119,0,0,0,0,1,1,1,6,5,0,442,442,0,442,0,
141,21,345,221,1,0,188,0,0,0,0,0,1,0,2,2,3,784,784,0,784,0,11 :oN dnuoR
142,11,95,134,3,3,155,1,0,0,0,0,0,0,0,1,1,404,404,0,404,0,
143,26,246,322,1,3,263,1,0,0,0,0,0,0,2,3,2,869,869,0,869,0,
144,19,181,176,1,2,124,0,0,0,0,0,0,0,4,2,1,510,510,0,510,0,
145,16,228,167,0,3,153,1,0,0,0,1,0,1,5,1,0,576,576,0,576,0,
146,25,273,185,6,1,126,1,0,1,0,0,0,0,0,2,1,621,621,0,621,0,
147,19,164,162,0,1,114,0,0,0,0,0,0,0,2,0,3,465,465,0,465,0,
148,27,296,107,2,1,226,1,0,0,0,0,1,1,1,4,1,668,668,0,668,0,
149,21,197,300,1,3,252,1,0,1,1,0,0,1,1,3,3,785,785,0,785,0,
150,29,224,281,1,4,279,0,0,1,0,1,0,1,0,1,4,826,826,0,826,0,
151,22,140,173,0,3,136,0,1,1,0,0,0,0,3,0,0,479,479,0,479,0,
152,27,239,172,2,0,267,0,0,0,0,1,0,0,2,0,1,711,711,0,711,0,
153,51,282,152,1,2,157,0,0,0,1,1,1,1,1,0,6,656,656,0,656,0,
154,22,124,132,0,0,134,1,0,0,0,0,1,0,0,2,1,417,417,0,417,0,
155,82,307,252,0,3,187,0,0,0,1,0,1,1,1,1,4,840,840,0,840,0,21 :oN dnuoR
156,38,214,148,2,3,193,0,0,0,0,1,2,1,1,0,5,608,608,0,608,0,
157,34,312,173,4,2,205,1,0,0,0,0,0,0,0,1,1,733,733,0,733,0,
158,39,222,123,1,0,165,0,0,0,0,2,1,0,2,2,3,560,560,0,560,0,
159,44,152,206,2,2,195,1,0,1,0,1,0,1,6,3,2,616,616,0,616,0,
160,16,198,177,2,4,162,2,0,0,0,0,0,0,0,2,0,563,563,0,563,0,
161,35,166,221,1,1,210,0,2,0,0,0,0,1,1,1,0,639,639,0,639,0,
162,36,233,174,0,6,282,1,0,3,1,1,2,0,5,2,3,749,749,0,749,0,
163,23,342,198,0,3,258,1,0,0,1,1,1,1,1,5,3,838,838,0,838,0,
164,22,162,121,0,1,125,0,0,0,0,0,0,1,0,2,2,436,436,0,436,0,
165,42,225,207,2,3,174,0,0,0,0,1,1,1,0,1,1,658,658,0,658,0,
166,24,176,236,4,2,124,0,0,0,0,1,1,2,3,2,5,580,580,0,580,0,
167,41,320,282,3,2,200,0,0,0,0,1,0,0,1,3,5,858,858,0,858,0,
168,62,242,290,1,4,215,1,1,0,0,0,1,4,2,0,4,827,827,0,827,0,
169,21,216,187,3,0,119,1,0,0,0,1,0,0,1,1,3,553,553,0,553,0,31 :oN dnuoR
170,32,272,245,2,1,197,1,1,0,1,1,2,2,4,7,3,771,771,0,771,0,
171,32,225,148,0,2,93,0,0,0,0,0,0,0,2,4,3,509,509,0,509,0,
172,9,142,83,2,2,53,0,0,0,0,0,1,0,2,4,1,299,299,0,299,0,
173,15,308,191,0,2,165,0,0,0,0,0,0,0,2,1,1,685,685,0,685,0,
174,12,160,178,0,1,159,0,0,0,0,0,0,0,0,1,0,511,511,0,511,0,
175,31,397,387,4,6,212,1,0,0,0,0,0,2,3,2,6,1051,1051,0,1051,0,
176,51,294,258,1,2,154,0,1,0,1,0,0,0,2,1,2,767,767,0,767,0,
177,46,457,267,0,5,219,0,0,0,0,2,2,1,2,3,2,1006,1006,0,1006,0,
178,36,215,184,0,4,104,1,4,0,0,0,0,2,0,2,1,553,553,0,553,0,
179,36,277,275,3,7,98,1,6,0,0,0,0,0,3,3,3,712,712,0,712,0,
180,14,106,185,3,2,116,0,0,0,0,0,0,0,3,0,1,430,430,0,430,0,
181,6,272,258,0,3,138,0,0,0,0,0,0,1,2,1,1,682,682,0,682,0,
182,29,301,152,1,3,136,0,0,0,1,0,0,0,0,0,1,624,624,0,624,0,
183,14,240,134,0,9,121,1,0,1,0,0,0,0,1,1,2,524,524,0,524,0,41 :oN dnuoR
184,53,299,330,3,4,163,1,0,0,0,0,0,0,5,7,0,865,865,0,865,0,
185,38,226,227,0,1,128,0,0,0,0,0,0,0,0,1,3,624,624,0,624,0,
186,53,186,229,2,1,131,0,0,0,0,0,2,0,1,3,2,610,610,0,610,0,
187,31,193,166,1,1,175,1,1,0,0,2,2,1,0,2,1,577,577,0,577,0,
188,53,242,222,1,1,174,1,0,0,0,0,2,1,4,2,6,709,709,0,709,0,
189,44,236,198,4,5,188,1,0,0,0,3,0,1,1,0,5,686,686,0,686,0,
190,30,232,195,4,1,229,1,0,1,0,4,0,0,1,2,1,701,701,0,701,0,
191,35,229,274,4,4,182,2,0,0,0,0,0,1,3,1,5,740,740,0,740,0,
192,26,255,175,1,4,150,0,0,0,0,0,0,2,1,2,1,617,617,0,617,0,
193,35,330,287,0,4,195,2,1,0,0,0,0,1,1,2,2,860,860,0,860,0,
194,15,254,262,11,1,223,3,0,0,1,1,2,0,4,3,3,783,783,0,783,0,
195,36,217,242,1,2,172,1,1,0,0,0,1,2,5,3,3,686,686,0,686,0,
196,30,146,198,0,1,91,1,0,0,1,0,1,1,3,0,1,474,474,0,474,0,
197,62,341,373,5,1,170,0,0,0,0,0,0,0,3,3,2,960,960,0,960,0,51 :oN dnuoR
198,17,364,233,3,2,142,0,0,0,0,0,0,0,1,0,0,762,762,0,762,0,
199,20,288,245,1,3,129,0,0,0,0,1,1,2,2,1,3,696,696,0,696,0,
200,30,348,351,3,4,179,1,1,0,1,0,2,3,4,1,4,932,932,0,932,0,
201,42,535,215,4,1,149,0,0,1,0,0,2,3,0,3,3,958,958,0,958,0,
202,58,212,289,0,2,251,1,0,0,0,0,0,0,0,2,1,816,816,0,816,0,
203,20,297,208,1,1,154,0,1,0,0,1,0,1,0,1,1,686,686,0,686,0,
204,33,558,172,4,0,165,2,0,0,0,0,1,0,2,1,2,940,940,0,940,0,
205,20,393,205,0,5,165,1,0,1,0,0,0,1,3,1,3,798,798,0,798,0,
206,8,204,108,0,1,69,0,0,0,0,0,0,2,0,0,0,392,392,0,392,0,
207,18,355,85,1,0,61,0,0,0,0,0,0,0,0,0,0,520,520,0,520,0,
208,12,446,131,1,0,71,0,0,0,0,0,1,0,2,4,3,671,671,0,671,0,
209,20,368,190,2,1,111,0,1,0,1,0,3,0,3,2,3,705,705,0,705,0,
210,19,433,218,1,1,162,1,0,0,1,1,0,1,3,2,1,844,844,0,844,0,
211,36,294,267,3,5,238,1,1,0,3,1,1,0,1,2,3,856,856,0,856,0,61 :oN dnuoR
212,58,352,291,3,2,176,0,0,0,1,0,0,0,1,3,3,890,890,0,890,0,
213,35,379,350,2,2,239,0,1,0,0,2,0,2,1,1,0,1014,1014,0,1014,0,
214,47,292,336,1,1,161,0,0,0,0,0,1,0,1,3,0,843,843,0,843,0,
215,41,384,277,1,1,133,1,0,0,0,2,1,1,2,3,4,851,851,0,851,0,
216,12,142,239,1,5,126,0,1,0,0,0,1,1,1,0,0,529,529,0,529,0,
217,31,228,295,1,5,183,0,1,0,1,0,0,0,2,3,1,751,751,0,751,0,
218,50,185,265,3,4,126,0,0,0,0,2,0,0,3,1,1,640,640,0,640,0,
219,31,273,267,2,1,251,0,3,1,0,0,0,0,0,0,3,832,832,0,832,0,
220,45,294,266,2,4,192,0,0,0,0,0,0,2,2,3,4,814,814,0,814,0,
221,22,206,138,0,2,61,0,0,0,0,0,0,1,0,1,0,431,431,0,431,0,
222,46,361,326,4,1,225,2,3,0,1,0,0,4,1,2,2,978,978,0,978,0,
223,31,179,225,2,4,124,0,1,0,0,0,0,2,3,1,4,576,576,0,576,0,
224,20,231,228,0,3,158,0,0,3,0,0,0,0,1,1,4,649,649,0,649,0,
225,38,317,248,4,7,147,0,0,0,1,0,0,1,3,1,2,769,769,0,769,0,71 :oN dnuoR
226,56,302,273,3,3,189,2,0,0,1,2,0,0,2,4,2,839,839,0,839,0,
227,45,370,338,4,2,227,1,0,0,0,0,0,0,0,3,2,992,992,0,992,0,
228,29,339,427,7,6,279,1,0,0,1,0,1,0,5,5,5,1105,1105,0,1105,0,
229,22,157,205,0,1,68,1,0,1,0,1,0,0,1,1,0,458,458,0,458,0,
230,37,272,343,0,1,261,0,0,0,2,0,0,0,1,0,2,919,919,0,919,0,
231,23,225,156,1,2,171,0,0,0,0,0,0,0,1,0,1,580,580,0,580,0,
232,22,150,177,0,1,175,0,0,0,0,0,0,0,0,0,1,526,526,0,526,0,
233,43,257,149,1,2,183,0,0,1,0,1,0,0,0,1,0,638,638,0,638,0,
234,18,121,233,0,2,124,0,1,0,0,0,0,0,1,0,1,501,501,0,501,0,
235,34,380,383,1,4,224,0,0,0,0,0,1,1,0,2,0,1030,1030,0,1030,0,
236,18,270,305,1,1,179,2,1,0,1,0,0,0,0,1,2,781,781,0,781,0,
237,32,329,256,2,2,159,0,1,0,1,0,0,1,0,0,2,785,785,0,785,0,
238,32,316,298,3,3,230,0,0,0,0,1,1,1,0,3,1,889,889,0,889,0,
239,22,329,251,5,3,184,1,0,0,1,0,2,1,1,2,0,802,802,0,802,0,81 :oN dnuoR
240,31,409,254,0,4,147,1,0,0,1,1,0,0,0,3,1,852,852,0,852,0,
241,12,224,153,1,3,144,0,0,0,0,0,0,1,0,3,2,543,543,0,543,0,
242,24,195,148,2,0,162,0,0,0,0,0,0,1,1,1,0,534,534,0,534,0,
243,26,220,350,3,2,203,1,1,1,0,1,0,0,2,2,1,813,813,0,813,0,
244,18,419,159,3,1,163,0,0,1,1,1,1,0,0,2,1,770,770,0,770,0,
245,17,160,112,0,1,84,0,1,0,0,0,0,0,1,1,4,381,381,0,381,0,
246,23,302,139,3,2,138,0,1,0,1,0,1,0,3,2,2,617,617,0,617,0,
247,12,175,91,1,0,54,0,1,0,0,0,0,0,1,0,1,336,336,0,336,0,
248,17,220,223,0,0,147,0,5,0,0,0,0,0,1,0,0,613,613,0,613,0,
249,21,330,167,2,1,189,0,0,1,0,0,0,0,0,3,2,716,716,0,716,0,
250,58,319,195,0,0,84,0,0,0,0,1,1,1,5,2,2,668,668,0,668,0,
251,28,352,213,0,3,165,0,0,0,0,0,1,1,0,1,0,764,764,0,764,0,
252,12,265,140,0,1,153,0,0,0,0,0,1,0,3,1,0,576,576,0,576,0,
253,22,348,169,1,0,224,1,0,0,0,2,0,0,3,3,2,775,775,0,775,0,91 :oN dnuoR
254,45,280,300,3,2,218,0,0,0,1,0,0,1,2,4,1,857,857,0,857,0,
255,15,282,221,1,2,151,0,0,0,0,0,0,0,3,1,0,676,676,0,676,0,
256,19,206,155,1,1,180,0,0,0,1,0,1,0,1,1,1,567,567,0,567,0,
257,25,120,199,2,1,152,0,0,0,0,0,0,0,0,0,5,504,504,0,504,0,
258,80,229,342,0,0,293,1,1,0,0,0,1,0,1,2,2,952,952,0,952,0,
259,62,277,308,3,7,258,0,0,0,0,0,0,1,1,1,1,919,919,0,919,0,
260,29,260,120,0,0,116,1,0,0,0,0,0,0,0,4,4,534,534,0,534,0,
261,37,162,223,0,0,211,0,1,0,0,0,0,0,1,1,2,638,638,0,638,0,
262,19,208,222,2,2,156,0,0,0,0,0,0,0,0,0,0,609,609,0,609,0,
263,19,136,351,0,5,189,0,0,0,0,0,0,0,0,2,1,703,703,0,703,0,
264,22,268,347,2,1,266,1,0,1,0,0,1,0,1,0,1,911,911,0,911,0,
265,29,316,325,2,5,266,0,0,2,0,0,0,0,1,1,1,948,948,0,948,0,
266,40,409,331,2,2,176,0,0,0,0,0,2,0,7,3,1,973,973,0,973,0,
267,12,515,241,5,1,110,0,0,0,0,0,1,0,0,0,2,887,887,0,887,0,02 : oN dnuoR
268,14,113,269,3,0,180,0,0,0,0,0,0,1,2,2,1,585,585,0,585,0,
269,12,320,83,2,0,90,2,0,0,1,0,8,0,2,1,1,522,522,0,522,0,
270,6,371,131,1,0,91,0,0,0,1,1,0,0,2,1,5,610,610,0,610,0,
271,9,339,125,0,1,66,1,0,1,0,0,0,0,1,2,1,546,546,0,546,0,
272,34,585,176,0,4,143,1,0,0,0,0,0,1,2,3,1,950,950,0,950,0,
273,38,270,210,0,2,136,0,0,0,0,0,0,0,4,1,1,662,662,0,662,0,
274,16,508,116,0,1,133,0,0,0,1,1,0,0,0,3,3,782,782,0,782,0,
275,7,509,119,0,0,132,2,0,0,0,0,4,0,1,2,0,776,776,0,776,0,
276,11,404,140,0,2,145,0,0,0,0,0,1,1,0,2,3,709,709,0,709,0,
277,9,427,153,0,1,108,0,0,0,0,0,7,1,2,3,1,712,712,0,712,0,
278,34,308,344,1,8,304,0,1,0,0,2,1,0,2,3,2,1010,1010,0,1010,0,
279,26,386,322,1,2,109,3,0,0,0,2,1,0,1,3,0,856,856,0,856,0,
280,18,517,210,2,2,187,1,1,0,0,0,1,0,2,2,0,943,943,0,943,0,
281,20,244,256,2,2,174,0,0,0,0,0,6,0,2,3,3,712,712,0,712,0,12 : oN dnuoR
282,31,353,280,1,3,150,1,0,0,0,0,0,1,4,3,1,828,828,0,828,0,
283,22,385,145,2,0,107,0,0,1,0,1,6,0,5,7,2,683,683,0,683,0,
284,25,326,104,3,2,139,0,1,0,1,1,3,0,2,11,4,622,622,0,622,0,
285,21,250,206,1,4,136,0,0,0,0,1,0,0,1,1,0,621,621,0,621,0,
286,28,290,260,3,3,160,0,0,0,0,0,0,1,2,1,1,749,749,0,749,0,
287,15,323,211,11,0,126,0,0,0,0,0,1,1,3,3,3,697,697,0,697,0,
288,16,275,118,0,1,51,0,0,0,0,0,10,0,1,0,1,473,473,0,473,0,
289,41,379,354,3,2,211,1,0,1,1,0,1,0,1,3,1,999,999,0,999,0,
290,8,154,122,1,3,97,0,0,0,0,0,0,0,0,0,0,385,385,0,385,0,
291,24,202,150,0,0,116,0,1,1,1,0,0,0,2,1,3,501,501,0,501,0,
292,31,358,191,2,3,171,1,0,0,1,0,4,1,6,5,4,778,778,0,778,0,
293,24,443,192,3,2,279,1,1,1,0,0,0,0,0,0,2,948,948,0,948,0,
294,16,382,201,1,2,170,1,0,0,0,0,2,0,0,3,1,779,779,0,779,0,
295,13,218,140,1,0,148,1,0,0,0,0,0,0,1,3,1,526,526,0,526,0,22 : oN dnuoR
296,20,228,266,3,2,150,0,0,0,0,0,0,1,1,0,3,674,674,0,674,0,
297,1,161,144,1,1,76,0,0,0,0,0,0,0,0,1,0,385,385,0,385,0,
