Polling Station No,SANGAI. GANESAN,M. KAVITHA,DR. DHILIPAN JAISHANKAR,S. MARIAPPAN,N.SELVAM,K. THANGAVEL,J. PANDI,PRABAKARAN,C. RAVI,C. RAMARAJAN,VASANTHI MURUGESAN,VELRAJ .S,S.ARULRAJ,ANAND,K. SUBBURAJ,K.SURESH,V. PAULPANDIAN,S. MUTHUSELVAN,K. RAVIKUMAR,M. RAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
90,144,54,254,1,0,0,2,2,1,212,31,1,3,1,1,4,1,1,0,2,715,0,2,717,0
91,92,40,149,1,0,1,0,0,0,172,1,0,0,0,1,0,0,0,0,1,458,0,0,458,0
92,140,129,160,2,1,0,0,0,1,247,1,2,1,1,0,1,1,0,0,0,687,0,0,687,0
93,76,27,122,0,0,0,0,0,0,103,24,1,3,4,1,4,0,1,1,0,367,0,0,367,0
94,107,10,62,0,0,0,0,0,1,72,13,0,0,1,0,1,3,0,0,0,270,0,1,271,0
95,157,31,277,5,0,1,3,31,1,114,105,1,0,4,0,3,4,2,6,0,745,0,5,750,0
96,115,15,164,2,2,0,0,33,1,66,0,0,1,2,0,4,2,0,0,0,407,0,1,408,0
97,89,40,153,0,0,0,0,94,0,118,0,0,0,1,1,2,1,1,1,0,501,0,0,501,0
98,82,49,180,3,0,0,0,2,0,119,4,0,0,0,1,1,0,0,0,0,441,0,0,441,0
99,122,54,146,2,0,0,0,35,0,112,12,0,2,4,4,2,1,1,0,0,497,0,0,497,1
100,196,156,302,3,1,0,0,0,1,212,0,0,1,2,0,3,1,0,1,2,881,0,4,885,0
101,159,112,279,1,0,0,0,0,0,173,0,0,1,1,0,1,0,1,0,0,728,0,0,728,0
102,195,88,184,3,0,1,0,2,0,113,37,2,1,1,0,2,2,0,0,0,631,0,2,633,0
103,163,55,206,6,0,1,2,23,1,191,30,1,1,4,0,2,0,0,0,0,686,0,1,687,0
104,e 292,30,244,1,0,0,1,0,0,81,0,0,1,0,0,2,0,0,0,0,452,0,1,453,0
105,216,144,235,1,0,0,1,0,1,170,0,0,0,2,1,0,5,0,1,0,777,0,4,781,0
106,103,15,85,1,0,1,0,21,0,82,22,0,0,0,0,3,0,1,1,1,336,0,0,336,0
107,90,74,208,0,1,0,2,5,5,195,143,1,0,3,0,3,1,0,1,0,732,0,0,732,0
108,142,14,188,1,0,0,1,2,0,136,28,2,2,5,0,7,5,0,2,2,537,0,3,540,0
109,97,33,238,1,0,0,0,0,1,96,52,0,1,4,0,0,3,0,1,0,527,0,0,527,0
110,81,30,174,2,0,0,1,0,0,90,46,0,1,4,2,2,2,1,2,0,438,0,1,439,0
111,199,32,441,2,2,0,0,1,2,227,1,0,0,3,1,2,0,0,3,0,916,0,2,918,0
112,182,50,142,2,0,1,0,21,1,147,53,0,1,1,1,4,2,2,0,0,610,0,1,611,0
113,97,71,89,3,0,2,0,1,1,156,22,0,0,0,0,2,2,2,1,0,449,0,1,450,0
114,146,66,162,0,0,0,0,1,1,111,18,0,1,1,0,2,8,2,2,2,523,0,0,523,0
115,243,178,181,0,0,1,0,0,1,239,1,1,0,1,0,3,1,0,1,1,852,0,0,852,0
116,116,41,355,4,0,0,2,1,1,162,168,0,1,9,2,8,3,2,0,0,875,0,2,877,0
117,56,17,168,4,1,0,0,12,0,73,33,1,0,1,0,1,2,0,2,0,371,0,0,371,0
118,168,35,239,4,1,2,0,1,2,141,97,0,1,0,8,7,2,0,1,1,710,0,1,711,0
119,200,40,280,4,0,1,2,21,0,157,139,3,3,8,0,2,3,1,4,2,870,0,3,873,0
120,148,25,292,2,1,1,3,0,2,217,3,0,2,0,2,0,4,1,2,0,705,0,4,709,0
121,140,30,209,3,1,1,0,4,1,187,100,2,4,7,1,2,2,0,2,0,696,0,1,697,0
122,85,24,266,3,1,0,1,13,4,161,7,2,2,7,0,5,2,0,0,0,583,0,0,583,0
123,78,22,115,0,0,1,0,11,2,81,1,0,1,2,0,2,1,1,0,0,318,0,0,318,0
124,184,24,250,1,0,1,0,0,0,177,27,0,2,1,2,4,2,2,0,3,680,0,0,680,0
125,195,42,270,3,0,0,1,2,1,172,66,0,1,7,4,2,0,1,1,1,769,0,2,771,0
126,59,18,157,1,0,0,0,0,0,125,52,0,0,1,0,3,0,0,0,0,416,0,1,417,0
127,93,21,254,3,0,1,1,0,1,142,74,0,0,5,0,1,0,0,0,1,597,0,1,598,0
128,74,13,189,4,1,0,0,1,2,89,33,0,1,2,1,2,2,1,1,0,416,0,0,416,0
129,105,10,164,2,0,1,0,0,0,87,68,0,0,2,1,3,7,1,7,1,459,0,1,460,0
130,98,18,161,2,0,0,1,0,1,88,47,0,0,3,0,1,2,0,0,1,423,0,1,424,0
131,173,52,242,2,0,0,1,29,0,149,31,1,2,9,2,2,5,1,4,1,706,0,0,706,0
132,104,20,138,2,1,0,0,0,4,194,29,0,0,0,1,7,4,1,2,0,507,0,0,507,0
133,77,17,126,4,1,0,0,0,1,240,35,0,1,1,1,1,1,0,1,1,508,0,2,510,0
134,113,31,164,2,0,0,0,0,2,236,47,0,0,1,1,0,0,1,0,0,598,0,3,601,0
135,141,19,186,0,2,1,0,0,1,146,61,1,2,1,0,3,4,0,0,0,568,0,1,569,0
136,70,22,171,1,1,0,1,1,2,305,46,0,1,0,0,3,1,0,0,0,625,0,0,625,0
137,82,15,124,2,0,0,0,0,0,237,40,0,1,0,1,1,4,0,0,2,509,0,1,510,0
138,126,25,205,0,0,0,0,0,2,127,104,2,2,4,0,3,0,0,0,1,601,0,3,604,0
139,132,34,158,1,0,2,0,0,2,165,110,0,0,3,1,2,3,0,1,0,614,0,3,617,0
140,91,32,336,0,1,0,1,3,0,118,0,0,0,2,0,0,0,0,2,0,586,0,2,588,0
141,74,31,61,1,0,0,2,188,3,98,9,0,1,1,0,2,2,0,0,0,473,0,1,474,0
142,196,56,103,1,0,0,0,72,1,126,10,1,0,1,0,1,1,0,0,0,569,0,2,571,0
143,61,33,87,0,0,1,2,193,0,107,0,1,1,0,2,0,0,0,3,0,491,0,1,492,0
144,126,24,203,4,0,1,0,6,4,126,53,2,1,1,1,2,1,3,0,0,558,0,1,559,0
145,132,22,206,4,1,0,0,0,4,205,52,1,1,3,0,4,2,0,0,0,637,0,1,638,0
146,146,86,182,5,2,3,1,9,4,115,188,1,2,4,5,2,2,1,1,2,761,0,2,763,0
147,105,35,244,6,0,0,1,1,1,113,108,0,1,8,1,4,3,1,2,0,634,0,2,636,0
148,125,76,218,2,2,0,2,38,4,178,2,1,2,4,0,11,0,0,0,2,667,0,1,668,0
149,131,44,173,4,0,3,0,68,4,211,1,0,6,6,4,13,2,2,0,0,672,0,0,672,0
150,111,24,95,1,0,0,0,0,0,98,2,0,0,1,1,2,1,0,1,0,337,0,1,338,0
151,142,28,150,1,0,0,0,0,0,160,52,0,1,0,0,1,0,2,3,0,540,0,2,542,0
152,129,48,154,0,1,0,0,1,3,140,58,0,0,0,0,3,1,0,0,0,538,0,0,538,0
153,200,50,238,1,0,1,0,39,4,146,69,2,2,5,5,9,7,1,1,0,780,0,2,782,0
154,204,69,165,7,0,2,0,148,3,164,15,2,1,2,3,4,5,0,1,2,797,0,2,799,0
155,194,54,199,4,2,1,2,3,2,209,180,1,3,7,2,16,2,2,1,3,887,0,3,890,0
156,e 3205,28,215,0,0,0,0,0,1,103,49,0,0,2,0,2,2,0,3,1,611,0,1,612,0
157,80,16,185,0,0,0,1,0,0,101,38,1,0,3,0,0,2,0,0,1,428,0,1,429,0
158,67,38,183,6,0,2,1,2,1,374,118,2,3,7,1,4,4,0,0,0,813,0,1,814,0
159,91,59,143,3,0,1,2,1,4,261,132,0,2,4,0,1,2,1,0,0,707,0,1,708,0
160,135,25,128,1,0,0,0,0,0,118,36,0,0,2,0,6,0,1,0,0,452,0,1,453,0
161,41,18,288,0,0,0,0,0,0,88,2,0,0,1,0,2,0,1,0,0,441,0,1,442,0
162,107,20,119,1,2,0,1,0,0,118,68,1,0,0,0,2,3,0,2,0,444,0,0,444,0
163,185,42,284,0,1,1,0,3,3,303,73,0,0,1,0,1,3,0,0,0,900,0,0,900,0
164,108,36,155,1,0,1,1,1,1,211,53,1,2,1,0,0,0,0,1,0,573,0,0,573,0
165,99,28,164,0,0,0,0,11,0,143,12,0,0,3,1,6,1,0,4,1,473,0,3,476,0
166,125,30,190,0,0,1,0,0,4,118,26,0,1,4,0,2,2,1,1,0,505,0,1,506,0
167,196,15,156,2,3,2,1,0,1,83,38,1,0,4,0,3,7,1,0,1,514,0,0,514,0
168,115,15,23,0,0,0,0,3,0,53,3,0,0,0,0,1,2,0,0,1,216,0,1,217,0
169,135,56,157,2,0,0,0,0,5,254,85,0,1,0,0,3,4,1,4,0,707,0,2,709,0
170,68,23,107,0,0,0,0,1,0,258,19,0,1,2,0,5,1,0,0,0,485,0,2,487,0
171,65,16,79,3,0,1,0,0,3,213,25,1,1,0,1,3,1,0,1,0,413,0,0,413,0
172,102,21,66,1,1,0,1,0,2,251,4,1,2,1,0,0,0,1,1,0,455,0,0,455,0
173,144,15,58,1,0,1,0,0,0,217,2,1,1,0,1,4,2,0,1,0,448,0,0,448,0
174,43,19,79,1,2,2,0,1,6,299,51,0,2,1,0,3,0,0,1,2,512,0,0,512,0
175,63,16,57,2,1,1,1,0,1,197,36,1,1,1,3,2,3,1,0,0,387,0,0,387,0
176,38,10,81,2,1,3,0,1,2,285,40,0,1,0,0,2,0,0,1,0,467,0,1,468,0
177,33,9,102,2,2,1,0,1,0,210,47,1,5,1,0,2,1,2,4,0,423,0,3,426,0
178,159,49,150,2,1,1,0,1,1,194,67,0,1,2,1,4,3,1,0,1,638,0,1,639,0
179,105,30,222,2,0,1,0,7,1,173,36,0,4,4,0,8,0,1,1,0,595,0,1,596,0
180,69,24,94,1,0,1,0,13,0,96,6,1,0,1,0,4,0,1,0,0,311,0,0,311,0
181,386,63,84,1,2,1,2,39,4,159,2,1,0,1,0,3,7,0,2,0,757,0,3,760,0
182,104,52,158,1,1,1,1,1,0,193,3,2,2,3,0,2,0,0,0,0,524,0,1,525,0
183,204,20,84,3,0,0,1,19,0,132,3,0,0,2,3,2,3,0,0,0,476,0,1,477,0
184,69,29,69,3,0,0,0,0,2,121,37,1,0,0,0,3,2,3,1,1,341,0,3,344,0
185,124,81,106,1,0,1,0,1,1,158,42,1,0,0,1,2,1,1,0,1,522,0,3,525,0
186,128,39,247,2,0,0,1,14,0,192,1,1,3,1,1,6,1,0,1,2,640,0,5,645,0
187,84,33,235,1,0,2,0,36,0,190,3,1,0,4,0,3,2,0,0,0,594,0,1,595,0
188,151,38,91,2,0,0,1,12,3,97,0,0,0,0,0,0,1,0,0,0,396,0,1,397,0
189,199,49,227,2,0,1,0,12,0,291,3,1,1,5,1,3,2,0,2,1,800,0,2,802,0
190,179,37,255,3,1,1,0,22,3,280,45,1,2,3,2,3,2,0,1,0,840,0,2,842,0
191,162,50,314,1,1,0,0,10,1,180,4,0,0,6,1,9,1,0,2,0,742,0,1,743,0
192,62,47,333,3,1,0,0,1,1,176,16,0,0,9,1,1,2,3,6,1,663,0,1,664,0
193,109,39,289,5,0,1,1,55,6,203,78,0,0,3,2,6,8,4,7,2,818,0,4,822,0
194,201,24,103,2,0,0,0,9,1,169,29,0,0,1,0,1,2,0,2,0,544,0,1,545,0
195,74,42,206,2,0,2,2,0,1,184,6,0,0,2,0,1,0,0,0,1,523,0,2,525,0
196,93,31,255,1,1,1,0,1,0,135,16,2,0,1,0,0,1,1,2,0,541,0,2,543,0
197,308,22,181,2,1,0,1,23,1,280,0,1,0,0,0,4,1,0,0,0,825,0,1,826,0
198,82,33,335,0,0,0,1,14,1,127,0,0,1,7,1,2,1,1,3,0,609,0,1,610,0
199,103,28,401,2,0,1,0,2,1,194,70,2,2,4,0,4,0,0,2,0,816,0,5,821,0
200,75,8,367,1,1,0,0,0,0,135,6,0,0,2,1,0,1,0,2,0,599,0,2,601,0
201,74,17,296,4,0,0,0,2,1,123,31,0,0,5,0,3,2,0,1,0,559,0,4,563,0
202,121,32,276,1,0,1,1,17,0,118,51,0,0,2,1,0,1,0,1,1,624,0,1,625,0
203,78,15,153,2,0,0,0,4,6,82,6,0,2,3,0,0,2,0,2,0,355,0,2,357,0
204,62,34,265,2,0,0,0,16,4,154,21,0,1,4,0,0,0,0,0,1,564,0,0,564,0
205,137,38,426,2,0,1,0,8,0,205,1,0,0,1,1,1,2,0,2,0,825,0,3,828,0
206,49,9,37,0,0,0,3,457,23,24,0,1,0,0,0,2,1,0,0,0,606,0,1,607,0
207,207,48,126,0,1,0,1,119,1,89,2,1,0,2,0,2,2,0,0,0,601,0,3,604,0
208,e 4161,32,168,3,1,0,0,0,1,102,72,0,0,2,1,3,7,2,2,0,557,0,1,558,0
209,233,55,194,3,1,1,0,0,2,176,154,6,0,3,1,5,6,3,2,0,845,0,4,849,0
210,173,34,142,2,0,1,0,19,0,76,5,0,2,1,0,2,1,1,2,0,461,0,0,461,0
211,138,7,72,0,0,0,1,0,0,75,1,0,1,1,0,2,1,0,0,0,299,0,1,300,0
212,253,26,172,4,0,1,0,1,4,152,3,1,0,1,0,2,8,1,8,0,637,0,2,639,0
213,243,22,95,0,0,0,1,0,0,142,7,0,0,2,0,4,1,0,1,0,518,0,1,519,0
214,109,14,124,1,0,0,0,0,4,86,12,0,0,1,0,1,1,0,4,0,357,0,0,357,0
215,212,27,219,4,0,1,0,1,0,179,38,2,2,2,1,3,1,0,1,0,693,0,0,693,0
216,95,26,171,0,1,1,0,47,2,131,13,0,1,1,1,1,1,0,2,2,496,0,0,496,0
217,76,38,108,1,0,1,0,90,4,59,5,2,0,2,0,1,0,0,0,0,387,0,0,387,0
218,77,40,176,0,0,1,0,1,1,167,5,0,0,0,0,1,0,2,2,0,473,0,0,473,0
219,72,15,72,1,0,0,0,3,1,165,24,0,0,2,2,3,4,0,2,0,366,0,0,366,0
220,163,42,252,0,0,0,0,9,0,265,25,2,2,1,1,3,1,0,1,0,767,0,1,768,0
221,145,35,197,0,1,0,1,0,1,404,4,1,1,0,0,2,0,0,2,0,794,0,2,796,0
222,116,34,308,4,0,0,1,23,0,146,16,0,0,0,0,1,1,3,0,0,653,0,0,653,0
223,276,77,156,0,0,0,0,16,12,131,9,0,0,0,1,2,4,1,1,0,686,0,1,687,0
224,86,40,110,0,0,0,0,6,2,110,11,0,1,0,0,0,0,0,0,1,367,0,0,367,0
225,209,53,185,0,1,0,0,12,39,105,1,0,0,3,0,2,3,1,6,0,620,0,3,623,0
226,131,24,191,1,0,0,0,1,2,190,2,1,0,1,1,3,0,0,1,0,549,0,2,551,0
227,94,30,464,2,0,0,1,0,1,153,16,0,1,0,0,1,0,0,2,0,765,0,0,765,0
228,96,47,150,2,0,0,0,0,2,223,12,2,1,2,0,1,0,0,1,0,539,0,0,539,0
229,48,6,204,4,0,0,0,1,4,107,3,0,0,0,0,2,0,1,1,0,381,0,2,383,0
230,67,13,225,3,1,0,1,0,0,211,2,1,1,3,1,4,0,1,1,0,535,0,2,537,0
231,65,10,244,0,1,2,1,0,2,200,3,0,2,2,0,0,2,2,2,1,539,0,1,540,0
232,174,31,226,1,1,0,4,6,4,327,0,0,0,0,0,10,1,1,3,0,789,0,1,790,0
233,128,15,254,0,1,0,1,0,0,133,19,1,0,1,0,3,0,0,1,0,557,0,2,559,0
234,252,34,197,2,0,0,1,7,2,393,1,1,0,1,1,6,6,3,1,1,909,0,3,912,0
235,130,28,335,1,1,0,2,0,1,299,20,0,1,3,1,2,1,1,0,0,826,0,2,828,0
236,46,9,129,1,0,0,0,1,0,99,0,0,0,0,2,0,2,0,2,0,291,0,0,291,0
237,178,35,211,2,3,0,1,1,0,276,1,0,0,5,2,7,0,0,2,0,724,0,1,725,0
238,128,31,218,4,0,0,0,11,0,239,0,1,0,5,3,1,1,0,2,0,644,0,1,645,0
239,74,56,424,2,3,1,1,24,3,221,10,0,2,5,0,1,1,1,1,1,831,0,5,836,0
240,120,43,334,2,0,0,0,17,0,310,9,0,3,2,1,1,0,0,1,1,844,0,4,848,0
241,108,32,330,1,0,1,1,42,0,299,6,0,1,1,1,0,1,0,0,0,824,0,3,827,0
242,81,39,267,1,1,0,0,7,1,287,9,0,0,1,0,1,0,0,0,2,697,0,8,705,0
243,159,31,251,3,1,0,0,4,0,235,0,1,0,0,0,1,2,0,0,0,688,0,0,688,0
244,86,36,148,1,1,0,0,22,2,157,2,0,1,0,0,2,0,0,0,0,458,0,1,459,0
245,142,65,254,2,0,1,1,11,2,293,6,0,0,2,1,3,6,1,1,0,791,0,3,794,0
246,206,38,215,0,1,1,0,1,1,290,0,3,1,1,0,3,1,1,0,1,764,0,1,765,0
247,95,27,153,0,0,1,2,74,0,89,0,1,1,2,0,1,2,0,0,1,449,0,1,450,0
248,28,12,235,1,0,0,0,1,0,111,2,0,0,4,0,1,1,0,0,0,396,0,2,398,0
249,47,22,246,2,0,0,1,1,0,212,12,0,2,5,0,3,1,2,6,1,563,0,2,565,0
250,51,14,282,2,0,1,1,0,0,165,1,0,0,3,1,4,2,0,1,0,528,0,1,529,0
251,59,23,210,3,0,0,0,9,3,154,2,0,0,0,0,1,0,0,0,0,464,0,3,467,0
