Polling Station No,OORVASI AMIRTHARAJ. S,SHUNMUGASUNDARAM. S,SHANMUGANATHAN. S. P,SARAVANAN. G,SUDALAIMANI. A,SUBRAMANIAN. M,BHARATH. M,MUNDASAMY. K,MUTHURAMALINGAM. S,RAJASUTHAN. N,VIYANARASU. A,ARUNACHALAM. C,BISHOP DR GODFREY NOBLE,MURUGAN. S,VASANTH FERNANDO. T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
39,62,21,268,192,2,0,0,1,56,0,0,0,0,0,1,603,0,0,603,0
40,58,20,215,133,0,0,0,0,32,14,0,0,1,0,1,474,0,0,474,0
41,88,51,398,259,3,0,0,1,7,6,0,1,0,4,0,818,0,0,818,0
42,83,29,322,233,0,2,0,1,33,6,0,0,2,0,1,712,0,1,713,0
43,465,20,127,81,1,0,0,0,5,1,0,0,0,0,0,700,0,1,701,0
44,533,26,18,95,0,1,0,0,6,1,0,0,0,0,0,680,0,4,684,0
45,168,21,68,84,0,0,0,0,2,6,0,1,0,1,1,352,0,0,352,0
46,220,79,284,249,3,0,0,2,3,33,1,1,3,0,3,881,0,0,881,0
47,163,84,115,97,0,0,0,0,1,0,0,0,0,0,0,460,0,1,461,0
48,110,62,253,258,2,2,0,0,0,1,0,0,0,2,0,690,0,3,693,0
49,226,67,381,316,1,0,1,0,1,4,0,1,1,1,0,1000,0,2,1002,0
50,122,72,231,168,0,0,1,0,0,0,0,0,2,0,1,597,0,1,598,0
51,209,55,151,197,0,0,0,0,1,0,0,0,0,2,0,615,0,2,617,0
52,224,29,97,125,0,2,0,0,0,0,0,0,0,0,0,477,0,1,478,0
53,221,27,82,128,2,0,1,0,0,0,0,0,0,0,0,461,0,2,463,0
54,163,45,256,339,1,2,0,0,0,0,0,0,2,0,1,809,0,2,811,0
55,193,85,242,303,3,0,0,0,0,0,0,0,2,1,0,829,0,2,831,0
56,97,20,179,173,0,1,1,0,2,0,0,0,0,0,0,473,0,0,473,0
57,117,52,229,273,1,1,0,0,0,0,0,0,0,0,0,673,0,1,674,0
58,95,22,207,138,0,0,0,0,0,0,0,0,1,0,0,463,0,0,463,0
59,112,30,184,175,0,0,0,0,0,0,0,0,0,0,0,501,0,3,504,0
60,66,36,217,202,1,1,0,1,0,0,0,0,1,0,0,525,0,2,527,0
61,107,55,288,228,1,0,0,0,1,0,0,0,0,0,0,680,0,1,681,0
62,54,34,277,139,0,0,2,0,0,1,1,1,0,0,0,509,0,5,514,0
63,63,50,399,261,2,1,0,0,0,3,0,0,1,0,0,780,0,1,781,0
64,117,32,217,156,1,0,0,0,1,8,0,0,0,0,0,532,0,2,534,0
65,64,50,215,244,1,1,1,0,0,0,1,1,2,0,0,580,0,0,580,0
66,54,54,210,174,1,0,0,1,7,11,0,2,1,2,1,518,0,1,519,0
67,92,55,142,266,0,1,3,1,1,3,3,0,1,1,1,570,0,1,571,0
68,131,34,89,212,2,0,0,0,0,0,0,0,1,0,0,469,0,0,469,0
69,202,76,147,369,2,0,0,0,1,0,0,0,1,1,0,799,0,1,800,0
70,120,15,61,102,1,0,0,0,2,4,0,0,0,0,0,305,0,2,307,0
71,44,63,188,281,1,1,0,0,0,32,1,0,2,1,0,614,0,0,614,0
72,67,64,135,226,2,1,0,0,0,6,0,0,1,0,0,502,0,0,502,0
73,134,50,252,268,0,0,1,0,0,7,0,1,0,1,0,714,0,5,719,0
74,75,53,242,243,1,0,0,1,0,0,1,0,0,0,0,616,0,1,617,0
75,96,31,243,177,0,0,0,0,0,1,1,0,1,0,1,551,0,1,552,0
76,76,47,228,314,3,1,1,1,0,5,0,0,1,1,1,679,0,2,681,0
77,60,47,337,277,1,0,0,0,0,2,0,0,3,0,0,727,0,1,728,0
78,75,75,352,450,7,1,1,0,12,1,0,3,3,2,2,984,0,4,988,0
79,89,60,352,254,0,2,1,0,0,0,0,1,3,1,1,764,0,4,768,0
80,125,102,364,241,2,0,0,0,0,0,0,1,1,0,1,837,0,2,839,0
81,85,60,174,306,4,1,0,1,0,9,0,1,1,0,2,644,0,0,644,0
82,123,56,247,285,0,1,0,0,3,1,0,14,0,0,1,731,0,0,731,0
83,66,44,341,186,1,0,0,0,1,0,0,0,2,1,0,642,0,4,646,0
84,59,50,351,331,1,0,0,0,0,1,0,1,0,0,0,794,0,6,800,0
85,132,55,225,344,0,1,1,0,1,9,2,1,1,0,3,775,0,2,777,0
86,116,58,313,183,1,0,1,0,5,0,0,2,0,1,0,680,0,3,683,0
87,78,42,183,365,2,0,0,0,3,4,1,0,0,0,0,678,0,0,678,0
88,46,28,138,133,2,0,0,0,0,0,1,0,0,1,0,349,0,1,350,0
89,113,33,383,196,0,0,0,0,0,20,0,0,0,1,0,746,0,1,747,0
90,94,43,311,257,3,3,0,2,0,22,1,0,1,1,1,739,0,2,741,0
91,92,62,407,354,0,2,0,0,1,0,0,0,1,0,0,919,0,2,921,0
92,53,37,248,163,0,0,0,0,0,0,0,0,0,0,0,501,0,3,504,0
93,44,39,274,361,5,1,0,0,0,0,1,1,1,2,2,731,0,1,732,0
94,60,27,142,315,1,0,0,1,0,5,0,0,1,1,1,554,0,1,555,0
95,89,19,165,288,2,0,1,1,0,0,1,1,0,1,1,569,0,0,569,0
96,69,24,223,141,2,1,0,0,6,0,1,2,0,1,0,470,0,0,470,0
97,216,18,122,172,3,0,2,2,0,1,1,0,0,0,0,537,0,0,537,0
98,97,16,229,206,3,0,0,1,4,0,0,0,0,1,1,558,0,2,560,0
99,225,22,93,192,0,1,1,1,1,1,0,1,0,0,0,538,0,1,539,0
100,135,27,185,264,0,0,0,1,0,0,0,0,3,0,0,615,0,2,617,0
101,120,33,136,203,1,0,0,1,0,0,0,0,0,0,1,495,0,1,496,0
102,148,28,176,182,0,1,0,0,0,0,0,0,0,0,0,535,0,0,535,0
103,221,19,114,153,0,0,0,0,0,0,0,7,0,0,1,515,0,2,517,0
104,140,30,101,161,0,1,0,1,0,0,0,1,0,1,1,437,0,1,438,0
105,144,36,242,510,3,1,0,5,0,0,1,0,1,0,0,943,0,3,946,0
106,202,41,161,275,0,0,0,0,0,2,0,2,0,1,0,684,0,4,688,0
107,163,9,59,446,1,0,0,0,6,0,0,0,4,1,0,689,0,1,690,0
108,213,20,58,66,1,0,1,0,1,0,0,0,0,0,0,360,0,2,362,0
109,109,28,230,126,0,1,0,0,0,1,0,0,0,1,0,496,0,1,497,0
110,93,47,228,297,1,2,0,0,0,4,0,1,0,1,2,676,0,1,677,0
111,234,49,176,259,0,1,0,2,1,0,0,0,1,0,1,724,0,2,726,0
112,280,52,228,307,1,0,0,2,2,0,1,0,3,0,0,876,0,7,883,0
113,116,34,383,130,2,0,0,0,1,0,1,0,2,0,0,669,0,1,670,0
114,83,21,363,121,0,0,1,0,0,0,0,0,1,0,0,590,0,2,592,0
115,151,31,180,102,0,1,0,0,0,0,0,0,1,1,0,467,0,2,469,0
116,100,37,265,135,0,1,1,0,0,0,0,0,0,0,0,539,0,0,539,0
117,101,25,290,167,0,1,0,1,44,4,0,0,2,2,0,637,0,4,641,0
118,144,25,227,133,2,0,0,0,1,0,0,0,1,0,0,533,0,0,533,0
119,159,37,341,119,3,0,0,0,0,0,0,0,0,0,0,659,0,3,662,0
120,96,56,449,292,2,2,0,0,29,3,0,0,2,7,1,939,0,4,943,0
121,96,42,201,179,1,0,0,0,0,7,0,0,0,2,0,528,0,1,529,0
122,110,44,419,249,0,1,0,1,0,0,0,1,1,1,0,827,0,3,830,0
123,95,26,411,137,0,0,0,0,0,2,0,0,0,2,2,675,0,2,677,0
124,135,30,255,180,0,1,0,0,1,1,2,0,0,1,3,609,0,1,610,0
125,90,39,201,166,2,0,0,1,59,23,1,0,0,2,1,585,0,2,587,0
126,107,47,272,106,0,0,0,0,0,10,0,0,0,0,0,542,0,0,542,0
127,50,10,276,124,2,0,0,0,29,0,0,0,0,0,0,491,0,0,491,0
128,100,29,217,112,1,0,0,0,21,1,1,0,0,0,0,482,0,1,483,0
129,203,43,268,262,0,0,0,0,1,30,1,1,0,0,0,809,0,2,811,0
130,75,28,235,259,4,1,2,1,20,1,0,0,1,0,0,627,0,2,629,0
131,118,45,267,347,1,0,1,0,17,41,1,1,2,1,0,842,0,4,846,0
132,100,21,213,191,0,2,0,0,12,0,0,0,1,1,2,543,0,1,544,0
133,75,14,185,161,0,1,0,2,20,0,1,1,1,0,0,461,0,1,462,0
134,105,45,248,242,3,3,3,0,35,46,1,1,0,3,3,738,0,2,740,0
135,284,19,49,118,1,1,0,0,7,0,1,0,0,1,0,481,0,0,481,0
136,122,15,183,209,2,2,0,0,16,1,0,0,1,0,1,552,0,4,556,0
137,65,22,179,230,3,2,1,0,25,0,0,0,1,0,0,528,0,5,533,0
138,143,36,182,405,2,1,0,1,25,0,0,1,1,0,1,798,0,3,801,0
139,67,27,92,127,1,1,0,0,4,0,0,0,2,0,0,321,0,1,322,0
140,103,23,149,209,1,0,0,1,8,0,3,0,0,0,0,497,0,2,499,0
141,103,20,149,151,0,0,0,0,20,0,1,1,1,0,1,447,0,2,449,0
142,112,63,274,277,2,0,0,0,1,0,0,1,0,1,1,732,0,3,735,0
143,76,26,378,308,1,3,0,0,81,0,0,0,1,1,1,876,0,2,878,0
144,40,5,137,121,3,0,0,0,21,13,0,0,1,1,2,344,0,1,345,0
145,44,34,329,150,0,1,0,0,26,1,0,0,0,0,0,585,0,3,588,0
146,99,35,167,264,2,1,0,0,53,0,0,1,0,0,0,622,0,2,624,0
147,174,39,185,235,0,2,1,1,10,11,0,1,3,2,4,668,0,2,670,0
148,71,28,155,96,0,0,1,0,0,0,0,0,1,1,1,354,0,1,355,0
149,134,36,275,138,0,1,0,1,0,0,0,1,0,2,0,588,0,2,590,0
150,95,97,305,239,0,1,0,1,0,14,4,0,2,1,3,762,0,5,767,0
151,14,19,93,96,0,1,0,1,12,0,0,0,0,1,0,237,0,1,238,0
152,62,24,176,252,0,1,0,0,43,1,1,0,2,2,2,566,0,1,567,0
153,100,52,226,170,1,1,0,0,4,3,0,0,0,0,2,559,0,2,561,0
154,35,24,138,98,1,0,0,0,4,0,0,0,0,0,0,300,0,0,300,0
155,82,51,156,111,1,0,0,0,1,12,0,0,0,0,1,415,0,2,417,0
156,63,40,340,140,2,0,0,0,0,1,0,0,1,4,3,594,0,2,596,0
157,112,73,155,221,0,2,1,1,0,16,2,2,1,1,1,588,0,0,588,0
158,83,49,127,215,1,1,0,1,1,8,1,0,2,0,1,490,0,3,493,0
159,273,21,37,140,0,0,0,0,0,0,0,0,0,0,0,471,0,1,472,0
160,272,26,23,98,0,0,0,0,1,0,6,0,0,0,0,426,0,1,427,0
161,127,23,65,129,1,0,0,0,0,2,0,0,2,1,1,351,0,4,355,0
162,189,46,108,206,3,2,0,0,0,0,0,0,1,0,0,555,0,4,559,0
163,71,30,178,97,0,2,1,0,0,3,1,3,1,1,0,388,0,5,393,0
164,131,29,101,176,0,0,0,0,0,21,1,0,0,0,0,459,0,2,461,0
165,116,35,226,192,0,1,0,0,0,17,7,0,0,1,0,595,0,2,597,0
166,53,36,93,105,3,0,2,0,1,6,0,0,0,0,0,299,0,2,301,0
167,71,31,240,138,1,0,0,0,2,3,1,1,0,1,2,491,0,4,495,0
168,106,25,249,208,1,0,0,0,2,1,0,1,1,0,0,594,0,4,598,0
169,82,38,287,184,1,0,0,1,2,4,2,0,0,0,1,602,0,5,607,0
170,49,26,289,131,1,0,0,0,0,2,0,0,0,0,0,498,0,2,500,0
171,99,28,181,220,1,0,0,0,2,5,0,0,0,0,0,536,0,3,539,0
172,99,23,229,128,0,0,0,0,1,17,8,0,0,0,0,505,0,2,507,0
173,112,28,119,228,3,0,0,1,3,4,0,1,2,0,0,501,0,2,503,0
174,52,17,131,159,1,0,0,0,12,1,1,2,0,0,2,378,0,3,381,0
175,432,4,21,59,0,0,0,0,0,0,1,0,0,0,1,518,0,3,521,0
176,348,20,51,171,0,0,0,0,8,0,1,0,2,1,1,603,0,0,603,0
177,171,36,186,161,0,0,0,0,2,44,7,0,2,0,0,609,0,5,614,0
178,64,39,118,101,1,1,0,0,0,0,0,0,1,0,2,327,0,2,329,0
179,139,52,232,234,1,3,0,1,8,8,6,0,4,0,0,688,0,1,689,0
180,189,76,162,356,2,4,1,0,8,45,0,2,1,2,2,850,0,5,855,0
181,150,84,281,272,2,5,1,0,1,17,0,2,2,1,0,818,0,1,819,0
182,79,42,97,218,0,1,1,0,1,7,2,0,2,0,1,451,0,0,451,0
183,209,82,143,208,4,0,1,0,40,1,0,0,1,1,0,690,0,1,691,0
184,134,23,101,154,1,0,1,3,0,12,0,0,1,0,1,431,0,2,433,0
185,65,32,92,160,0,3,0,1,5,5,0,0,0,0,1,364,0,5,369,0
186,64,97,153,184,2,0,0,1,30,0,1,0,0,2,0,534,0,2,536,0
187,93,108,316,184,7,5,2,3,9,0,2,5,2,10,6,752,0,6,758,0
188,224,107,115,150,1,0,0,0,2,0,1,0,0,1,0,601,0,2,603,0
189,91,54,89,143,0,0,0,0,4,0,0,0,0,0,0,381,0,0,381,0
190,75,54,299,226,0,1,0,1,0,0,1,0,1,0,0,658,0,2,660,0
191,149,39,146,159,1,0,0,0,0,0,0,0,1,0,2,497,0,0,497,0
192,201,50,99,238,2,1,0,0,0,1,1,0,3,1,2,599,0,2,601,0
193,161,73,392,275,0,2,1,1,1,0,0,0,1,3,4,914,0,5,919,0
194,108,61,316,251,1,0,0,2,0,0,1,0,1,1,3,745,0,3,748,0
195,188,102,296,254,2,1,1,0,2,0,1,0,2,1,2,852,0,2,854,0
196,58,29,104,103,0,0,0,0,1,0,0,0,0,0,0,295,0,1,296,0
197,104,48,111,200,0,0,0,0,0,0,0,2,1,1,0,467,0,1,468,0
198,96,55,196,211,0,2,2,0,3,1,0,0,2,1,0,569,0,2,571,0
199,257,73,57,122,0,0,0,0,0,0,0,0,2,0,1,512,0,2,514,0
200,147,69,56,104,0,1,0,0,1,1,0,0,0,0,0,379,0,3,382,0
201,85,28,173,240,0,2,1,0,5,2,0,1,2,0,2,541,0,6,547,0
202,125,73,258,207,1,2,2,7,10,0,0,0,0,2,4,691,0,2,693,0
203,68,63,109,80,0,2,0,0,0,0,0,1,2,2,0,327,0,0,327,0
204,191,72,186,205,2,1,2,0,0,0,0,2,0,0,0,661,0,1,662,0
205,206,40,109,268,0,1,0,0,2,1,0,0,1,3,2,633,0,2,635,0
206,56,31,136,73,0,0,0,0,0,0,1,0,0,0,0,297,0,1,298,0
207,161,39,84,122,0,0,1,3,0,1,0,0,1,0,0,412,0,0,412,0
208,209,49,137,207,0,0,0,0,1,0,0,0,1,0,0,604,0,1,605,0
209,56,28,127,75,1,1,1,0,0,0,0,0,1,0,0,290,0,1,291,0
210,115,40,202,280,0,0,1,1,16,0,1,0,3,0,1,660,0,0,660,0
211,164,106,412,243,9,4,1,3,0,1,2,3,4,4,5,961,0,7,968,0
212,84,31,103,118,1,2,0,1,0,1,0,0,1,1,0,343,0,1,344,0
213,36,48,277,138,0,0,0,8,0,0,0,3,0,3,2,515,0,2,517,0
214,242,78,109,145,1,2,0,0,1,0,0,0,0,0,1,579,0,0,579,0
215,147,28,145,149,0,3,0,0,7,0,0,0,1,0,2,482,0,1,483,0
216,271,76,100,233,1,1,1,0,0,0,0,0,2,0,0,685,0,4,689,0
217,130,56,190,227,1,0,1,1,18,1,2,0,3,0,1,631,0,1,632,0
218,270,71,206,375,1,2,1,0,13,0,0,0,1,0,0,940,0,4,944,0
219,218,68,151,249,0,1,0,1,16,1,1,0,1,0,1,708,0,2,710,0
220,161,69,241,220,0,0,0,0,14,0,0,0,0,0,1,706,0,1,707,0
221,97,37,62,84,2,2,0,1,0,0,1,1,0,0,0,287,0,1,288,0
222,117,37,187,215,1,0,1,0,18,2,3,0,0,1,0,582,0,2,584,0
223,176,62,109,156,1,2,0,0,0,0,0,2,0,0,1,509,0,1,510,0
224,130,57,118,161,1,1,0,0,4,0,0,0,0,0,0,472,0,4,476,0
225,205,58,248,201,1,0,0,0,0,0,0,0,0,0,1,714,0,2,716,0
226,107,38,165,116,0,2,0,0,0,0,0,0,0,0,0,428,0,1,429,0
227,208,60,166,171,0,0,0,1,1,0,0,0,1,1,2,611,0,2,613,0
228,137,45,166,165,0,0,0,0,4,0,0,0,0,1,0,518,0,1,519,0
229,208,77,337,187,0,0,0,0,1,0,0,0,0,0,0,810,0,2,812,0
230,140,60,271,222,2,2,1,0,9,1,1,0,3,0,1,713,0,1,714,0
231,139,36,199,221,0,0,0,0,3,1,0,1,0,1,1,602,0,5,607,0
232,133,24,182,170,1,1,0,0,50,0,0,1,1,1,1,565,0,0,565,0
233,120,40,219,236,0,1,0,2,16,0,0,0,0,0,0,634,0,2,636,0
234,97,36,219,316,1,1,0,1,18,0,0,0,1,3,1,694,0,1,695,0
235,264,23,37,118,0,1,0,0,1,0,0,0,0,0,0,444,0,2,446,0
236,235,10,113,212,0,1,0,0,1,0,0,1,0,0,1,574,0,6,580,0
237,205,66,132,154,1,1,0,1,0,0,0,0,0,0,0,560,0,2,562,0
238,116,30,201,274,2,0,0,5,0,0,0,0,2,1,0,631,0,3,634,0
239,158,36,174,236,0,0,0,4,0,0,0,1,1,1,0,611,0,1,612,0
240,74,25,167,188,1,0,0,0,1,0,0,1,0,0,0,457,0,1,458,0
241,116,42,286,260,0,0,0,4,0,1,0,2,0,0,1,712,0,0,712,0
242,122,20,152,144,0,0,0,2,1,0,0,0,2,0,1,444,0,5,449,0
243,120,34,164,225,1,0,0,0,2,0,0,0,0,1,0,547,0,0,547,0
244,133,31,105,178,1,0,0,0,2,0,0,0,0,1,0,451,0,0,451,0
245,173,22,154,277,2,0,0,0,7,0,0,0,0,1,0,636,0,3,639,0
246,129,25,193,138,2,0,0,0,5,0,0,1,1,1,0,495,0,1,496,0
247,95,37,137,98,0,0,0,0,0,0,0,0,0,0,0,367,0,3,370,0
248,132,51,205,236,0,2,0,1,0,0,0,0,0,1,0,628,0,3,631,0
249,260,36,96,189,0,0,0,0,0,0,0,0,0,2,0,583,0,2,585,0
250,179,31,37,83,1,0,1,0,0,0,0,1,0,0,0,333,0,2,335,0
251,325,69,153,225,1,0,0,0,1,0,0,0,2,0,2,778,0,2,780,0
252,275,76,318,231,0,0,0,0,9,0,0,0,0,0,0,909,0,4,913,0
253,213,37,187,153,1,0,0,0,0,0,0,0,1,0,1,593,0,0,593,0
254,124,56,144,130,1,0,0,1,0,0,0,0,0,0,1,457,0,0,457,0
255,238,57,141,180,0,1,0,0,0,1,0,0,1,0,0,619,0,0,619,0
256,280,103,117,288,1,3,1,2,2,0,0,0,3,1,0,801,0,2,803,0
257,232,89,185,253,1,0,0,0,1,1,0,0,0,0,0,762,0,4,766,0
258,94,32,170,182,1,0,0,0,5,1,0,0,0,0,0,485,0,0,485,0
259,65,24,118,99,0,0,0,0,1,0,0,1,0,0,1,309,0,1,310,0
260,75,20,122,148,1,0,1,0,25,0,0,0,1,0,0,393,0,7,400,0
261,198,59,177,162,1,1,1,0,0,0,0,0,0,1,0,600,0,1,601,0
262,99,27,270,136,1,0,0,0,1,0,1,0,1,0,1,537,0,1,538,0
263,133,67,166,158,1,2,1,0,0,0,0,0,0,1,0,529,0,3,532,0
264,120,53,204,271,0,1,0,2,6,0,1,0,3,3,0,664,0,0,664,0
265,152,71,316,323,3,2,0,1,0,0,0,0,0,1,0,869,0,1,870,0
266,151,48,304,353,2,2,0,0,0,1,1,0,0,0,0,862,0,2,864,0
267,38,37,107,121,0,0,0,1,17,0,0,0,2,0,0,323,0,3,326,0
268,167,42,186,186,2,3,0,0,2,0,0,0,2,0,0,590,0,2,592,0
269,38,20,174,171,2,0,0,1,2,3,0,0,2,0,0,413,0,2,415,0
270,131,48,169,173,1,0,0,1,1,0,0,0,1,0,0,525,0,2,527,0
271,81,26,160,130,0,0,1,1,0,1,1,0,0,0,1,402,0,1,403,0
272,122,59,337,233,2,1,0,1,0,0,1,3,2,2,4,767,0,1,768,0
273,164,80,65,164,0,1,0,0,0,0,0,0,0,1,0,475,0,0,475,0
274,205,49,185,148,0,0,0,0,0,0,0,0,2,0,0,589,0,1,590,0
275,154,27,239,166,1,0,0,0,1,0,1,2,0,1,0,592,0,1,593,0
276,277,23,129,180,1,0,0,0,1,0,1,1,0,0,0,613,0,5,618,0
277,65,32,247,124,0,0,2,0,1,0,0,0,0,1,0,472,0,4,476,0
278,141,75,136,220,0,0,0,0,0,0,0,1,0,0,0,573,0,3,576,0
279,291,78,109,313,0,0,1,0,0,1,0,0,1,0,0,794,0,2,796,0
280,159,31,187,172,1,0,0,4,4,0,0,0,1,0,0,559,0,3,562,0
281,118,50,246,170,1,0,1,0,2,0,1,0,0,0,1,590,0,3,593,0
282,90,19,125,103,1,1,1,0,1,0,0,0,0,0,0,341,0,0,341,0
283,167,55,283,215,0,0,0,0,1,0,0,0,0,1,1,723,0,0,723,0
284,85,29,207,110,2,1,0,0,0,0,0,1,0,0,0,435,0,1,436,0
285,46,23,148,108,0,0,1,0,1,0,0,1,0,0,0,328,0,1,329,0
286,98,34,231,140,3,0,0,0,2,1,0,0,1,1,0,511,0,4,515,0
287,43,32,172,212,1,0,0,1,18,0,0,2,3,1,2,487,0,1,488,0
288,121,42,285,243,1,2,0,0,1,0,0,0,1,0,0,696,0,0,696,0
289,179,37,63,322,0,1,0,0,0,0,0,0,1,0,0,603,0,0,603,0
290,167,11,67,312,1,0,0,0,0,0,0,0,1,1,0,560,0,0,560,0
291,236,11,37,313,1,2,0,0,0,0,0,0,0,0,0,600,0,0,600,0
292,313,19,85,539,4,2,0,0,0,1,1,0,1,0,0,965,0,2,967,0
293,95,24,46,530,1,0,0,0,0,0,0,0,1,0,0,697,0,1,698,0
