Polling Station No,C.K .NARAMURIHT,RK .NAPPURAKAIREP,NAHOM AYMAR,S .IVEDAMU,R ASAVINEES .YHTAPUHTES,M .MAGUMNAHS,P .UHTES,M .MANRAVAHCNAP,M .IMHSKALAYIKAB,P .NAMARIP,A .AKILLAM,S .UHTUMIRAM,M.P.K .AJAR,AGAYANIV.RD T .USARAYYEM,S .NAHTANAWHSIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
185,76,274,24,0,245,0,0,0,1,1,2,0,2,3,0,628,0,0,628,
186,75,139,18,3,133,0,0,0,0,0,0,0,0,0,0,368,0,1,369,
187,146,239,53,2,299,1,1,1,2,1,0,0,3,1,3,752,0,3,755,
188,60,218,35,0,155,0,0,0,1,0,0,0,4,0,2,475,0,2,477,
189,91,191,47,2,244,3,1,0,5,2,0,3,1,1,1,592,0,2,594,
190,98,190,42,1,267,2,1,2,1,0,0,2,1,3,1,611,0,5,616,
191,88,243,36,0,224,1,0,1,1,0,1,0,0,1,2,598,0,2,600,
192,91,249,31,1,214,1,0,0,0,0,0,0,2,0,0,589,0,7,596,
193,81,247,54,2,259,1,1,0,1,1,1,2,5,4,0,659,0,4,663,
194,57,86,24,2,99,0,2,1,3,1,0,0,0,0,0,275,0,1,276,
195,88,195,62,0,204,3,0,0,2,0,1,0,2,0,1,558,0,3,561,
196,118,227,52,2,369,4,1,1,0,1,2,1,1,1,0,780,0,3,783,
197,66,132,62,4,265,2,0,1,1,0,0,0,7,2,1,543,0,7,550,
198,24,115,25,2,126,1,0,0,1,0,0,0,1,0,0,295,0,1,296,
199,97,297,76,1,329,2,0,2,0,0,1,2,2,0,1,810,0,0,810,
200,49,162,40,1,218,2,1,0,0,0,0,2,1,0,1,477,0,2,479,
201,49,164,25,0,197,1,0,1,1,0,0,0,0,1,0,439,0,0,439,
202,86,194,94,1,271,1,0,2,1,2,1,0,3,0,0,656,0,3,659,
203,143,300,45,4,327,0,1,0,1,0,0,1,2,0,0,824,0,2,826,
204,83,235,29,1,264,1,2,1,1,0,0,1,6,0,4,628,0,3,631,
205,61,207,34,2,311,1,0,1,0,0,0,1,1,2,1,622,0,3,625,
206,66,178,41,3,307,1,0,1,0,0,2,1,0,3,1,604,0,1,605,
207,73,251,57,1,342,1,0,0,1,0,0,1,0,2,1,730,0,5,735,
208,110,198,37,0,207,1,1,0,1,2,0,2,6,3,2,570,0,4,574,
209,58,114,3,0,152,3,0,1,0,0,1,1,1,1,0,335,0,3,338,
210,38,274,29,0,241,2,0,0,2,1,0,1,2,2,2,594,0,5,599,
211,54,244,30,0,218,2,0,0,0,0,0,1,3,2,2,556,0,4,560,
212,39,484,35,0,207,1,0,0,0,0,0,1,1,0,0,768,0,0,768,
213,41,437,23,0,237,0,0,0,0,1,0,1,1,0,0,741,0,2,743,
214,43,96,12,0,87,0,0,0,0,0,0,0,0,0,0,238,0,1,239,
215,37,348,24,1,215,0,0,0,0,0,0,0,0,0,0,625,0,2,627,
216,38,154,25,1,126,0,0,0,0,0,0,0,0,1,0,345,0,1,346,
217,80,269,29,1,267,2,0,0,0,0,0,1,0,0,0,649,0,2,651,
218,37,218,21,0,237,0,0,0,0,0,0,0,1,0,0,514,0,0,514,
219,95,299,60,0,333,1,0,0,1,0,0,1,1,1,1,793,0,5,798,
220,78,255,29,2,248,1,0,0,0,0,1,0,2,4,0,620,0,4,624,
221,47,258,23,2,198,1,0,0,0,0,0,0,1,7,0,537,0,3,540,
222,81,393,17,0,213,0,0,0,0,0,0,0,0,0,0,704,0,3,707,
223,55,262,26,3,212,0,0,0,0,0,0,0,0,0,0,558,0,1,559,
224,72,133,11,0,124,0,0,0,0,0,0,1,1,0,1,343,0,2,345,
225,134,203,24,0,306,0,0,0,0,0,1,0,1,1,1,671,0,2,673,
226,110,153,22,3,249,1,0,0,0,0,0,1,1,0,0,540,0,0,540,
227,75,288,42,1,285,1,0,0,1,2,1,2,1,0,1,700,0,1,701,
228,85,130,25,1,166,2,0,0,0,0,0,0,1,1,0,411,0,1,412,
229,59,130,29,0,159,0,0,0,1,0,0,0,0,1,0,379,0,3,382,
230,108,143,29,0,234,1,0,0,0,1,0,0,0,1,0,517,0,2,519,
231,104,167,39,3,311,2,2,0,2,0,1,1,1,2,2,637,0,2,639,
232,64,140,11,0,169,0,0,0,0,0,0,0,0,0,0,384,0,1,385,
233,40,235,27,0,186,0,0,0,0,1,0,0,2,1,1,493,0,0,493,
234,65,212,24,2,306,0,0,1,3,0,0,1,2,1,1,618,0,1,619,
235,114,299,46,1,330,1,2,2,1,0,0,1,2,2,2,803,0,1,804,
236,93,137,29,4,226,0,0,0,0,0,0,0,0,3,0,492,0,0,492,
237,78,245,29,1,193,0,0,0,0,0,0,0,0,0,1,547,0,1,548,
238,48,193,51,2,253,1,0,1,0,1,0,1,0,1,2,554,0,6,560,
239,87,107,14,0,174,1,0,1,0,0,0,1,0,1,0,386,0,1,387,
240,75,276,45,1,329,1,0,0,1,1,1,2,1,24,1,758,0,6,764,
241,40,101,24,0,153,0,0,0,0,0,0,0,0,1,0,319,0,1,320,
242,97,152,78,3,284,1,0,0,2,0,0,0,3,2,0,622,0,2,624,
243,105,312,35,1,234,3,0,0,0,0,0,0,1,0,0,691,0,0,691,
244,100,193,46,2,178,0,0,0,0,1,0,0,1,7,1,529,0,1,530,
245,60,161,27,0,147,1,0,1,0,0,0,0,3,0,1,401,0,1,402,
246,105,197,38,1,254,1,1,0,0,0,1,1,1,1,0,601,0,1,602,
