Polling Station No,.oN noitatS gnilloP,No. of valid votes cast in favour of,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
34,35,236,326,155,0,0,0,1,1,1,1,756,756,0,0,756,0
35,24,182,249,133,1,0,0,1,0,0,0,590,590,0,2,592,0
36,42,226,260,228,0,0,0,0,1,1,2,760,760,0,2,762,0
37,72,213,252,179,0,0,2,1,3,1,2,725,725,0,1,726,0
38,29,199,271,177,1,1,0,0,0,4,1,683,683,0,2,685,0
39,29,255,225,122,1,0,0,1,2,0,4,639,639,0,3,642,0
40,22,312,344,193,0,0,1,0,0,5,2,879,879,0,5,884,0
41,34,200,252,161,0,2,2,1,1,1,4,658,658,0,0,658,0
42,23,141,163,170,2,1,3,0,0,1,4,508,508,0,2,510,0
43,50,223,290,216,1,9,0,1,0,2,1,793,793,0,3,796,0
44,43,289,253,295,4,1,1,2,3,1,1,893,893,0,4,897,0
45,33,226,168,221,7,0,4,2,0,4,3,668,668,0,3,671,0
46,49,207,257,131,3,2,0,0,0,2,1,652,652,0,4,656,0
47,34,308,346,224,5,0,0,0,1,3,0,921,921,0,1,922,0
48,73,199,297,324,1,1,2,0,4,0,0,901,901,0,2,903,0
49,62,280,280,215,5,2,0,0,1,7,1,853,853,0,2,855,0
50,110,253,225,185,7,3,2,3,2,38,3,831,831,0,5,836,0
51,9,65,207,183,2,0,0,1,1,1,1,470,470,0,0,470,0
52,18,63,224,293,0,0,0,0,2,1,0,601,601,0,2,603,0
53,35,189,209,127,2,1,1,0,2,6,0,572,572,0,0,572,0
54,58,245,220,185,2,3,2,0,1,2,1,719,719,0,4,723,0
55,71,295,346,222,2,3,1,2,1,4,3,950,950,0,2,952,0
56,39,243,196,151,2,7,0,0,0,5,0,643,643,0,2,645,0
57,10,163,241,89,0,0,0,2,2,0,2,509,509,0,1,510,0
58,39,231,283,179,1,1,0,0,1,2,1,738,738,0,1,739,0
59,26,144,219,112,2,0,1,1,1,1,2,509,509,0,1,510,0
60,76,279,393,224,0,2,1,0,0,3,2,980,980,0,3,983,0
61,47,283,258,248,1,1,0,0,0,0,4,842,842,0,6,848,0
62,55,135,309,152,0,0,1,0,0,1,2,655,655,0,3,658,0
63,71,181,92,156,4,0,2,1,3,0,1,511,511,0,4,515,0
64,59,271,383,168,1,4,0,0,0,1,3,890,890,0,1,891,0
65,45,237,202,160,1,2,0,0,0,1,3,651,651,0,4,655,0
66,85,218,384,256,5,2,0,1,3,1,1,956,956,0,2,958,0
67,63,177,178,70,2,0,1,0,0,1,1,493,493,0,4,497,0
68,71,160,218,122,0,1,3,2,0,1,1,579,579,0,4,583,0
69,39,201,149,147,0,0,0,0,0,0,0,536,536,0,1,537,0
70,80,227,334,166,2,2,2,1,0,2,2,818,818,0,4,822,0
71,42,184,134,120,2,0,1,0,0,0,1,484,484,0,0,484,0
72,49,112,238,133,0,0,0,0,0,0,1,533,533,0,0,533,0
73,69,217,293,245,0,0,0,1,2,0,3,830,830,0,2,832,0
74,43,248,368,211,0,2,0,0,0,0,0,872,872,0,3,875,0
75,41,200,247,187,2,1,1,0,1,3,5,688,688,0,5,693,0
76,17,68,152,82,0,5,0,0,0,0,0,324,324,0,2,326,0
77,56,246,254,212,0,3,1,1,0,1,2,776,776,0,4,780,0
78,25,129,191,125,0,1,1,0,0,1,0,473,473,0,3,476,0
79,77,224,415,163,0,1,1,2,1,2,4,890,890,0,3,893,0
80,49,172,285,229,0,0,1,1,0,2,0,739,739,0,2,741,0
81,18,112,190,122,1,1,1,2,0,1,1,449,449,0,2,451,0
82,58,218,257,185,4,6,3,0,1,1,0,733,733,0,5,738,0
83,58,215,342,201,1,1,1,0,1,2,3,825,825,0,2,827,0
84,42,175,183,126,3,1,0,0,0,0,1,531,531,0,1,532,0
85,44,230,357,219,1,3,1,1,0,2,2,860,860,0,5,865,0
86,45,193,322,293,0,0,0,0,0,1,0,854,854,0,1,855,0
87,14,147,199,117,0,1,0,0,2,0,2,482,482,0,2,484,0
88,43,158,170,142,1,1,1,0,0,0,1,517,517,0,1,518,0
89,34,197,269,151,0,0,1,0,1,0,0,653,653,0,0,653,0
90,48,201,291,160,2,0,0,2,3,1,2,710,710,0,1,711,0
91,23,140,148,81,1,2,1,3,0,0,0,399,399,0,1,400,0
92,33,168,144,114,0,0,1,1,0,1,1,463,463,0,0,463,0
93,68,189,261,172,1,1,1,0,0,1,0,694,694,0,0,694,0
94,24,151,378,182,1,0,0,0,0,0,0,736,736,0,4,740,0
95,18,86,205,103,2,1,0,0,1,2,1,419,419,0,2,421,0
96,44,181,383,151,0,0,0,1,1,1,0,762,762,0,1,763,0
97,38,142,416,226,0,2,1,0,0,2,2,829,829,0,2,831,0
98,43,232,325,213,3,10,1,0,0,1,0,828,828,0,5,833,0
99,35,133,224,147,1,1,1,0,0,0,0,542,542,0,2,544,0
100,66,195,397,143,0,3,0,2,0,0,0,806,806,0,3,809,0
101,39,170,236,101,2,0,0,1,0,1,1,551,551,0,1,552,0
102,20,131,240,116,4,1,0,1,0,1,0,514,514,0,1,515,0
103,46,136,382,131,1,3,0,0,0,1,1,701,701,0,2,703,0
104,48,166,242,172,0,0,0,0,2,4,2,636,636,0,7,643,0
105,34,100,211,121,0,7,0,0,0,1,1,475,475,0,0,475,0
106,15,137,255,178,0,10,1,0,0,3,2,601,601,0,5,606,0
107,40,159,179,177,0,9,1,0,0,0,1,566,566,0,0,566,0
108,46,238,224,185,3,22,0,1,0,1,0,720,720,0,0,720,0
109,38,129,122,101,2,6,0,2,0,0,5,405,405,0,0,405,0
110,36,165,192,142,8,6,2,0,0,3,0,554,554,0,3,557,0
111,33,209,231,99,16,1,1,1,0,1,0,592,592,0,1,593,0
112,22,219,183,112,0,0,0,1,0,0,0,537,537,0,2,539,0
113,28,197,175,118,1,1,1,0,2,1,6,530,530,0,2,532,0
114,47,201,218,109,1,0,2,0,0,3,1,582,582,0,4,586,0
115,61,275,378,205,0,1,1,1,1,0,1,924,924,0,1,925,0
116,55,256,227,305,0,2,3,3,3,2,1,857,857,0,5,862,0
117,37,205,309,223,2,14,0,2,2,5,8,807,807,0,6,813,0
118,41,191,242,157,0,3,1,0,0,3,0,638,638,0,0,638,0
119,51,220,277,120,0,0,0,2,0,0,1,671,671,0,2,673,0
120,52,217,254,105,0,0,0,1,1,0,0,630,630,0,4,634,0
121,85,238,205,141,2,1,2,1,1,1,2,679,679,0,3,682,0
122,38,205,146,107,0,0,0,1,0,0,1,498,498,0,0,498,0
123,36,220,199,162,7,1,0,1,1,0,0,627,627,0,2,629,0
124,90,302,275,156,7,2,0,0,1,1,2,836,836,0,5,841,0
125,21,138,349,106,0,0,1,1,2,1,2,621,621,0,1,622,0
126,33,185,291,160,1,0,3,5,1,1,1,681,681,0,2,683,0
127,44,174,357,151,1,0,1,0,0,1,2,731,731,0,0,731,0
128,55,188,351,124,0,0,4,2,0,0,2,726,726,0,3,729,0
129,38,115,176,75,1,0,0,1,0,1,1,408,408,0,1,409,0
130,10,392,63,89,2,0,0,0,1,1,3,561,561,0,1,562,0
131,36,158,202,106,0,0,0,1,0,4,1,508,508,0,1,509,0
132,58,230,223,149,2,0,2,0,1,1,4,670,670,0,1,671,0
133,58,192,365,168,2,0,0,0,0,0,1,786,786,0,1,787,0
134,47,231,116,84,1,0,1,0,0,0,1,481,481,0,2,483,0
135,50,153,178,166,4,0,0,2,1,0,0,554,554,0,1,555,0
136,57,243,194,207,2,0,4,2,1,3,1,714,714,0,6,720,0
137,45,276,288,140,0,1,2,1,0,1,0,754,754,0,2,756,0
138,65,193,258,94,3,1,1,0,0,0,2,617,617,0,3,620,0
139,37,193,187,161,2,0,0,2,0,1,0,583,583,0,3,586,0
140,54,215,203,160,1,0,2,0,1,3,4,643,643,0,5,648,0
141,45,242,173,106,1,0,1,0,1,0,1,570,570,0,2,572,0
142,26,298,171,156,1,0,1,3,0,1,0,657,657,0,2,659,0
143,44,207,196,117,1,0,0,1,0,0,2,568,568,0,2,570,0
144,74,299,249,174,3,2,3,2,0,1,1,808,808,0,1,809,0
145,49,232,170,149,0,1,2,0,0,1,1,605,605,0,0,605,0
146,53,323,287,228,6,0,0,5,0,2,3,907,907,0,3,910,0
147,35,204,224,109,0,0,1,12,0,0,2,587,587,0,0,587,0
148,25,238,247,156,0,0,1,10,1,1,0,679,679,0,5,684,0
149,53,304,294,150,0,0,0,3,0,2,2,808,808,0,8,816,0
150,52,379,242,179,1,2,4,0,2,1,3,865,865,0,4,869,0
151,61,314,204,208,1,2,0,0,0,2,1,793,793,0,1,794,0
152,40,273,224,140,5,2,0,0,1,1,0,686,686,0,2,688,0
153,34,283,127,104,1,2,4,2,0,0,1,558,558,0,4,562,0
154,52,317,191,104,6,0,3,2,1,0,3,679,679,0,3,682,0
155,32,303,213,155,2,0,0,1,0,2,0,708,708,0,2,710,0
156,65,274,234,147,1,0,2,0,0,2,2,727,727,0,3,730,0
157,70,275,270,199,2,2,1,3,1,0,3,826,826,0,3,829,0
158,28,241,192,180,1,0,2,0,0,0,1,645,645,0,1,646,0
159,54,273,309,101,2,2,0,1,1,2,3,748,748,0,7,755,0
160,49,289,208,173,0,0,0,2,0,1,0,722,722,0,1,723,0
161,17,180,197,56,0,0,0,0,2,0,1,453,453,0,0,453,0
162,81,406,228,199,1,0,2,1,2,3,3,926,926,0,2,928,0
163,22,141,204,83,1,0,2,0,0,0,1,454,454,0,2,456,0
