Polling Station No,ABISHEK. R,SARANYA IMRAN,TAMILAN PRASANNA,ARUN RAO. N.A,DR.N. GUNASEKAR,D. THIRUNAVUKKARASAR,T. MAGIZHANBAN,G.R. RAJENDRAN,RAJMOHAN,ARAVINDAN,R. KUMARAVEL,M. NAGARAJAN,S. PICHAMUTHU,RAJKUMAR,RAJMOHAN,S. VINOTH KUMAR,VENKATESH. K,SRIDHAR. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
105,232,4,165,1,0,0,1,0,138,0,0,1,0,0,0,1,0,0,543,0,8,551,0
106,e 2221,4,122,0,0,1,0,0,95,0,1,0,1,0,1,1,0,1,448,0,5,453,0
107,53,11,305,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,464,0,3,467,0
108,270,2,137,0,2,1,1,0,113,0,0,0,0,0,0,1,2,0,529,0,9,538,0
109,352,4,137,1,3,0,0,1,147,2,0,0,1,0,0,2,0,1,651,0,11,662,0
110,225,1,71,1,1,0,0,1,76,0,0,0,0,0,0,0,0,0,376,0,4,380,0
111,205,0,36,1,0,3,0,1,75,0,0,0,0,0,0,0,0,0,321,0,1,322,0
112,20,18,422,1,3,0,0,0,332,0,0,1,0,0,0,0,0,0,797,0,0,797,0
113,25,10,353,0,1,0,0,0,269,0,0,0,0,0,0,0,0,0,658,0,1,659,0
114,37,19,324,2,0,3,0,0,409,2,2,0,0,0,1,0,0,0,799,0,9,808,0
115,45,11,487,1,1,0,0,0,193,1,0,0,0,0,1,1,0,0,741,0,3,744,0
116,75,2,371,0,0,1,0,1,179,0,1,1,0,0,0,0,0,0,631,0,2,633,0
117,171,6,246,0,3,0,1,1,177,1,0,0,0,0,0,1,0,0,607,0,11,618,0
118,45,9,194,0,1,0,0,0,116,0,0,0,0,0,0,0,0,0,365,0,1,366,0
119,206,12,141,2,3,0,1,2,206,0,0,0,0,0,0,2,0,0,575,0,9,584,0
120,161,37,192,0,2,0,0,0,341,0,1,1,0,0,0,0,0,0,735,0,4,739,0
121,189,11,143,1,0,0,1,1,256,1,1,0,1,0,1,0,1,0,607,0,10,617,0
122,127,16,169,1,0,3,0,0,231,0,0,0,0,0,1,0,0,0,548,0,13,561,0
123,24,14,553,0,2,0,0,0,177,0,0,0,0,0,1,1,0,0,772,0,1,773,0
124,239,10,171,0,2,1,1,2,184,0,0,0,0,0,0,0,1,0,611,0,11,622,0
125,140,15,179,0,1,0,0,0,222,1,0,0,0,0,1,0,0,0,559,0,2,561,0
126,112,18,153,0,1,0,0,0,157,0,0,1,0,0,1,0,0,0,443,0,1,444,0
127,102,7,250,1,1,3,0,1,208,1,0,0,1,0,0,0,0,0,575,0,1,576,0
128,125,7,210,0,1,0,0,1,161,0,1,1,0,0,0,2,0,0,509,0,3,512,0
129,36,27,262,0,1,0,1,3,555,0,0,0,2,1,0,2,1,0,891,0,2,893,0
130,45,17,247,0,2,1,1,3,443,0,1,0,0,1,1,1,1,0,764,0,1,765,0
131,34,22,311,0,3,5,3,1,512,1,1,0,0,0,0,2,0,0,895,0,1,896,0
132,44,16,185,1,0,0,1,1,275,0,0,0,0,1,0,0,0,1,525,0,1,526,0
133,17,9,157,0,0,0,0,1,254,0,0,0,0,0,0,0,0,0,438,0,0,438,0
134,118,27,206,0,1,0,0,1,282,0,0,0,0,2,3,1,0,0,641,0,8,649,0
135,159,25,232,0,2,1,0,0,388,1,0,0,0,0,0,1,1,0,810,0,3,813,1
136,149,28,220,0,3,0,1,0,379,0,1,0,1,0,1,1,1,0,785,0,9,794,0
137,81,10,231,1,2,0,1,1,326,0,0,0,1,0,0,2,0,0,656,0,4,660,0
138,82,25,177,1,1,0,1,1,323,1,0,0,1,0,1,0,1,0,615,0,0,615,0
139,94,19,145,1,0,1,0,2,363,0,0,0,0,0,1,1,0,0,627,0,3,630,0
140,116,11,175,0,3,0,0,0,233,0,0,0,0,0,0,1,0,0,539,0,2,541,0
141,145,21,222,1,2,0,0,0,334,0,0,1,0,0,0,2,1,0,729,0,2,731,0
142,61,6,322,0,1,0,1,0,375,0,0,0,0,1,1,1,0,0,769,0,3,772,0
143,43,6,315,2,1,2,1,4,421,0,0,0,0,1,1,2,0,0,799,0,1,800,0
144,41,8,343,0,0,1,0,0,352,1,1,0,0,2,2,2,1,0,754,0,1,755,0
145,62,17,262,1,4,0,0,0,345,0,0,2,0,2,0,0,0,0,695,0,1,696,0
146,154,17,214,0,0,0,1,1,332,0,1,0,0,0,0,1,0,0,721,0,2,723,0
147,56,21,94,0,2,1,0,0,247,0,0,0,0,0,2,0,0,0,423,0,6,429,0
148,175,9,214,0,0,1,0,1,148,0,1,0,0,0,0,0,1,0,550,0,15,565,0
149,87,11,161,0,1,0,0,2,149,0,0,0,0,0,0,0,0,0,411,0,5,416,0
150,68,9,248,0,1,0,0,1,239,3,0,0,0,0,0,0,1,0,570,0,4,574,0
151,117,13,193,0,1,0,0,0,207,1,0,0,0,0,1,0,0,1,534,0,9,543,0
152,80,3,150,2,1,2,0,0,80,0,0,0,0,1,1,0,0,0,320,0,7,327,0
153,44,9,220,0,1,0,0,2,358,0,0,0,0,0,0,1,0,0,635,0,1,636,0
