Polling Station No,M. ANUSIYA,P.M.RAMAJEYAM,C. ARUNA DEVI,DR.K. KRISHNASAMY,R SUNDARARAJ,SUBBULAKSHMI. S,C .SELVAKUMAR,P .MATHANRAJA,M. ANANTH,S .MUTHUSELVAM,G .MURUGAN,M .LAKSHMANAN,VEDAPRAKASH. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
75,110,222,6,125,118,0,3,336,0,1,0,3,3,927,0,5,932,0
76,59,139,6,128,94,0,6,271,2,4,0,0,6,715,0,4,719,0
77,146,89,0,0,16,0,0,373,1,0,0,0,1,626,0,2,628,0
78,76,131,4,3,22,0,2,254,0,0,0,0,1,493,0,1,494,0
79,166,171,0,2,33,0,2,638,2,0,0,1,0,1015,0,3,1018,0
80,99,189,2,1,30,0,1,383,0,0,1,0,2,708,0,1,709,0
81,131,222,1,0,26,1,2,462,1,0,0,0,1,847,0,3,850,0
82,140,245,2,3,82,0,2,483,0,1,0,0,4,962,0,0,962,0
83,20,111,2,8,89,0,0,111,1,0,0,0,0,342,0,0,342,0
84,125,184,3,253,67,0,3,258,4,5,2,0,1,905,0,5,910,0
85,80,109,4,2,30,1,4,343,2,0,0,0,0,575,0,2,577,0
86,62,167,1,3,35,0,0,281,1,0,0,0,0,550,0,0,550,0
87,34,130,5,77,89,2,1,261,2,0,0,0,4,605,0,4,609,0
88,247,99,2,117,82,0,5,248,1,2,1,0,0,604,0,6,610,0
89,46,243,25,49,43,1,0,237,2,1,1,1,2,651,0,4,655,0
90,93,399,32,94,34,1,0,369,0,1,1,0,4,1028,0,5,1033,0
91,43,164,5,1,72,0,0,393,1,0,0,0,0,679,0,3,682,0
92,43,149,5,6,90,0,2,433,1,1,0,3,0,733,0,2,735,0
93,41,130,2,2,153,1,2,368,0,1,0,1,0,701,0,3,704,0
94,35,148,3,3,109,1,1,275,0,2,0,3,0,580,0,6,586,0
95,36,130,2,6,66,1,2,341,2,0,0,0,2,588,0,1,589,0
96,36,114,2,3,137,2,2,420,0,0,0,1,1,718,0,3,721,0
97,25,93,0,2,38,2,0,263,3,0,0,0,0,426,0,3,429,0
98,42,165,0,4,79,0,1,352,2,4,1,0,0,650,0,4,654,0
99,44,161,2,8,63,0,2,355,2,0,0,0,0,637,0,8,645,0
100,36,176,3,1,76,0,1,309,0,0,0,0,2,604,0,0,604,0
101,54,217,2,7,103,0,0,345,1,0,0,0,2,731,0,7,738,0
102,56,243,4,11,85,0,0,383,3,0,1,1,1,788,0,6,794,0
103,44,202,1,3,60,0,1,272,1,1,0,0,0,585,0,4,589,0
104,26,162,2,0,79,0,2,200,1,0,0,1,1,474,0,1,475,0
105,41,191,1,14,88,0,0,244,0,0,0,0,0,579,0,3,582,0
106,30,89,1,7,41,0,1,159,0,0,1,0,1,330,0,0,330,0
107,62,271,3,13,85,1,2,342,1,0,0,0,0,780,0,8,788,0
108,35,154,0,6,113,0,2,321,1,0,0,1,0,633,0,2,635,0
109,15,75,0,0,31,0,1,181,0,0,0,0,0,303,0,3,306,0
110,46,179,2,6,78,2,1,348,0,1,0,0,1,664,0,6,670,0
111,32,166,0,3,48,0,0,239,0,1,1,1,0,491,0,4,495,0
112,39,160,1,5,67,1,1,284,1,1,0,0,0,560,0,3,563,0
113,45,160,2,2,47,0,0,209,0,0,0,0,0,465,0,1,466,0
114,88,185,5,3,141,2,2,402,0,0,1,0,1,830,0,2,832,0
115,62,133,0,2,73,2,1,193,0,0,0,0,0,466,0,2,468,0
116,79,132,2,2,55,2,2,239,0,1,0,1,1,516,0,1,517,0
117,69,146,4,9,43,0,7,557,2,2,1,0,0,840,0,0,840,1
118,67,148,0,1,27,0,3,392,1,0,0,0,0,639,0,4,643,0
119,77,111,2,15,29,1,2,340,4,2,0,0,0,583,0,0,583,0
120,64,121,1,33,37,0,0,292,0,0,0,1,0,549,0,1,550,0
121,93,215,1,40,45,1,1,452,2,0,0,0,1,851,0,4,855,0
122,112,249,1,1,62,0,3,464,1,1,0,0,0,894,0,6,900,0
123,51,207,1,7,50,0,1,358,1,0,0,1,0,677,0,2,679,0
124,113,195,4,3,34,1,1,387,0,0,0,0,0,738,0,4,742,0
125,60,155,1,2,45,2,1,357,0,3,0,2,1,629,0,2,631,0
126,59,178,1,4,35,1,9,498,1,0,0,1,0,787,0,6,793,0
127,44,88,0,0,42,2,1,325,1,1,0,0,1,505,0,3,508,0
128,56,158,2,3,34,0,1,344,1,4,1,0,1,605,0,2,607,0
129,45,116,1,6,27,0,4,266,0,1,0,0,0,466,0,2,468,0
130,34,182,3,2,39,0,1,413,0,0,0,2,2,678,0,2,680,0
131,35,115,1,1,26,0,1,251,1,0,0,0,0,431,0,3,434,0
132,357,170,3,9,25,0,0,274,0,1,0,0,1,540,0,0,540,0
133,112,157,1,13,41,0,1,484,1,1,0,0,0,811,0,3,814,0
134,85,184,1,14,52,1,0,444,1,6,1,2,3,794,0,4,798,0
135,48,56,0,5,16,0,0,294,1,1,0,0,0,421,0,1,422,0
136,54,137,1,1,25,2,1,410,1,1,0,2,0,635,0,0,635,0
137,100,221,3,2,44,0,0,471,2,0,2,1,2,848,0,4,852,0
138,55,152,1,0,30,0,0,215,0,0,0,0,0,453,0,0,453,0
139,49,100,2,2,41,0,0,263,3,1,0,0,0,461,0,2,463,0
140,35,94,4,1,34,0,0,188,0,2,0,1,3,362,0,0,362,0
141,72,135,0,1,34,0,1,505,2,0,0,0,1,751,0,1,752,0
142,78,128,2,1,24,0,3,458,3,0,0,0,1,698,0,0,698,0
143,53,130,1,21,22,3,2,344,1,2,0,0,2,581,0,1,582,0
144,33,143,1,20,45,0,1,236,0,0,0,0,1,480,0,0,480,0
145,33,123,3,0,40,1,0,333,1,1,1,0,1,537,0,0,537,0
146,53,137,2,7,99,2,1,370,1,2,0,0,0,674,0,1,675,0
147,41,168,1,17,43,0,1,253,1,0,0,0,0,525,0,4,529,0
148,30,112,2,4,45,0,2,380,2,3,0,0,1,581,0,0,581,0
149,38,151,0,6,27,0,2,346,1,1,1,0,0,573,0,2,575,0
150,69,121,3,5,72,1,2,427,1,0,1,2,3,707,0,1,708,0
151,2,31,0,0,2,0,0,16,0,0,0,0,0,51,0,0,51,0
152,93,177,3,1,76,1,1,442,0,1,1,1,0,797,0,3,800,0
153,41,297,0,1,16,1,1,320,1,2,1,0,0,681,0,1,682,0
154,63,119,1,35,50,1,0,330,0,1,1,1,0,602,0,2,604,0
155,94,213,5,40,60,1,4,475,4,2,1,1,1,901,0,3,904,0
156,55,188,2,5,45,1,0,364,1,1,0,0,1,663,0,3,666,0
157,51,172,2,4,48,0,0,332,0,1,0,0,0,610,0,1,611,0
158,51,86,2,5,28,0,1,260,0,0,0,0,0,433,0,1,434,0
159,50,142,1,6,27,0,2,199,0,0,0,0,0,427,0,2,429,0
160,68,104,1,3,22,1,0,462,0,0,0,1,1,663,0,5,668,0
161,47,133,2,439,39,0,2,174,1,1,0,0,1,839,0,5,844,0
162,30,162,6,235,43,1,2,104,0,3,2,2,1,591,0,3,594,0
163,21,161,1,171,65,0,1,79,0,1,0,0,0,500,0,4,504,0
164,16,161,2,23,229,0,2,162,0,3,1,0,0,599,0,1,600,0
165,55,143,1,13,75,1,3,81,1,0,0,0,1,374,0,1,375,0
166,47,199,3,3,203,0,2,372,3,3,0,0,0,835,0,4,839,0
167,79,100,4,2,181,0,2,206,1,0,0,1,0,576,0,6,582,0
168,50,56,2,2,177,1,1,148,1,0,1,0,1,440,0,1,441,0
169,68,169,3,9,256,1,3,327,3,1,0,2,5,847,0,5,852,0
170,62,125,2,8,220,1,2,247,4,1,1,1,4,678,0,2,680,0
171,69,71,3,3,297,4,2,235,2,0,0,2,1,689,0,1,690,0
172,25,157,1,37,164,1,1,170,3,1,1,2,0,563,0,4,567,0
173,58,164,4,46,100,0,7,169,1,0,0,0,3,552,0,0,552,0
174,83,248,2,91,115,0,0,310,1,1,0,1,5,857,0,2,859,0
175,72,279,4,22,182,2,4,269,0,4,2,2,4,846,0,3,849,0
176,430,246,1,3,108,0,4,260,0,0,0,0,2,654,0,4,658,0
177,28,207,1,26,94,1,0,175,0,1,0,0,1,534,0,4,538,0
178,33,157,4,31,112,0,0,216,2,1,0,1,0,557,0,0,557,0
179,74,240,3,47,74,4,3,414,3,2,0,0,1,865,0,3,868,0
180,39,158,5,34,27,0,1,236,1,2,1,0,2,506,0,4,510,0
181,19,127,1,15,24,0,1,165,0,0,0,1,1,354,0,2,356,0
182,77,147,1,28,77,3,0,360,3,1,1,3,0,701,0,3,704,0
183,63,188,1,18,60,1,2,242,0,1,1,0,2,579,0,5,584,0
184,75,117,1,8,18,0,3,158,0,0,0,1,2,383,0,0,383,0
185,125,211,1,22,37,2,1,373,1,0,0,1,1,775,0,0,775,0
186,63,243,3,3,37,0,0,314,1,0,0,0,1,665,0,2,667,0
187,145,295,1,2,36,2,2,403,3,1,1,0,2,893,0,5,898,0
188,45,127,4,6,60,0,1,350,0,0,0,1,1,595,0,4,599,0
189,32,128,1,27,30,0,0,173,0,0,0,0,2,393,0,1,394,0
190,38,100,1,7,56,1,1,332,0,0,0,0,0,536,0,3,539,0
191,32,122,1,16,43,0,0,252,1,0,1,0,0,468,0,3,471,0
192,55,231,2,31,65,1,0,428,4,0,0,1,1,819,0,5,824,0
193,32,141,4,5,73,3,2,385,0,1,0,1,0,647,0,6,653,0
194,84,172,0,20,43,1,0,292,5,1,0,0,1,619,0,1,620,0
195,40,206,4,18,58,0,0,155,0,0,0,0,0,481,0,4,485,0
196,94,298,6,50,49,1,7,371,2,1,1,3,11,894,0,10,904,0
197,65,298,1,24,54,1,4,273,1,0,1,3,6,731,0,6,737,0
198,85,199,3,46,86,6,2,288,0,1,0,1,0,717,0,2,719,0
199,41,175,4,7,64,0,1,251,0,1,0,0,1,545,0,2,547,0
200,78,206,1,38,50,1,3,333,2,0,0,2,0,714,0,1,715,0
201,51,211,3,3,89,2,3,326,2,2,0,1,1,694,0,4,698,0
202,36,107,2,61,38,1,1,149,0,1,1,0,1,398,0,3,401,0
203,88,228,8,37,125,1,1,300,2,1,0,0,4,795,0,9,804,0
204,14,95,1,22,9,0,1,54,0,0,0,0,0,196,0,1,197,0
205,37,211,0,29,230,0,3,284,2,1,1,1,4,803,0,9,812,0
206,62,211,3,44,123,3,2,243,0,1,1,2,2,697,0,3,700,0
207,35,298,3,118,123,2,1,282,0,1,1,2,1,867,0,2,869,0
208,43,157,5,293,161,3,3,256,2,2,3,2,4,934,0,1,935,0
209,80,154,4,35,213,0,5,279,2,2,2,1,5,782,0,6,788,0
210,53,77,1,343,141,1,8,141,2,5,1,1,1,775,0,3,778,0
211,32,105,0,255,119,0,2,62,0,0,1,0,0,576,0,3,579,0
212,17,202,0,1,21,0,2,71,1,0,0,0,2,317,0,0,317,0
213,33,247,1,2,121,0,3,176,1,0,0,0,4,588,0,0,588,0
214,82,178,1,6,118,0,4,203,3,1,1,2,2,601,0,2,603,0
215,86,339,4,200,66,1,1,220,0,1,4,0,5,927,0,14,941,0
216,85,237,1,4,140,1,4,320,1,1,3,4,9,810,0,1,811,0
217,21,143,2,0,59,0,0,122,0,0,0,1,2,350,0,1,351,0
218,22,128,1,2,105,0,2,131,1,0,2,0,0,394,0,2,396,0
219,55,252,6,5,96,0,1,249,3,1,1,1,7,677,0,5,682,0
220,521,259,3,1,94,0,0,261,1,0,0,0,2,642,0,1,643,0
221,47,299,1,20,91,0,2,313,0,2,0,0,2,777,0,2,779,0
222,24,252,3,50,55,0,0,173,2,0,0,1,1,561,0,5,566,0
223,20,219,0,25,36,0,3,118,0,0,1,2,2,426,0,5,431,0
224,72,187,2,11,167,1,2,263,2,1,0,2,2,712,0,5,717,0
225,34,239,3,31,122,0,4,217,1,2,1,1,4,659,0,7,666,0
226,46,213,1,1,128,1,2,179,0,1,0,0,1,573,0,1,574,0
227,15,108,1,8,68,0,1,213,2,0,0,0,3,419,0,2,421,0
228,46,170,3,22,67,1,1,216,1,1,0,1,0,529,0,3,532,0
229,78,274,2,41,80,0,2,311,0,0,3,0,1,792,0,4,796,0
230,46,191,1,4,182,1,2,263,2,1,1,2,2,698,0,2,700,0
231,38,300,2,53,57,1,2,310,1,1,0,0,2,767,0,4,771,0
232,48,210,1,8,145,0,2,233,3,0,0,2,2,654,0,2,656,0
233,41,254,3,41,9,0,0,103,1,0,0,0,0,452,0,0,452,0
234,26,112,1,201,15,0,2,165,0,1,1,1,3,528,0,1,529,0
235,26,98,1,221,14,0,0,153,1,1,1,1,1,518,0,0,518,0
236,29,189,0,6,99,1,3,187,1,1,0,1,3,520,0,0,520,0
237,54,214,2,51,70,0,0,248,2,0,0,1,1,643,0,1,644,0
238,81,167,1,37,83,0,3,172,0,4,1,0,5,554,0,0,554,0
239,90,245,4,32,90,1,4,274,1,0,2,0,4,747,0,2,749,0
240,25,187,0,18,108,1,0,222,0,0,0,0,0,561,0,2,563,0
241,20,89,1,36,24,0,0,113,0,0,0,0,1,284,0,1,285,0
242,58,279,1,10,110,1,1,283,1,0,1,2,3,750,0,3,753,0
243,17,227,1,7,108,0,3,208,2,0,1,2,5,581,0,3,584,0
244,52,267,1,6,156,1,4,322,1,1,1,1,2,815,0,1,816,0
245,28,157,4,128,46,0,1,173,1,1,0,1,1,541,0,1,542,0
246,45,101,4,2,83,1,1,160,0,0,0,0,2,399,0,2,401,0
247,82,215,0,28,84,1,1,141,1,0,0,1,1,555,0,0,555,0
248,39,223,1,62,40,0,1,255,0,0,1,0,3,625,0,2,627,0
249,42,213,2,105,88,0,2,255,1,0,0,0,1,709,0,0,709,0
250,66,235,10,20,66,0,2,441,1,0,2,3,0,846,0,4,850,0
251,53,194,4,6,91,2,0,413,4,3,1,2,1,774,0,6,780,0
252,70,181,9,6,90,2,1,267,2,0,2,2,3,635,0,9,644,0
253,53,139,2,8,49,0,2,241,3,0,0,1,0,498,0,7,505,0
254,48,122,7,12,66,5,4,263,4,4,3,4,3,545,0,7,552,0
255,87,243,3,133,28,2,2,270,1,0,0,2,5,776,0,7,783,0
256,85,320,3,36,81,0,0,318,0,1,1,0,2,847,0,4,851,0
257,56,284,2,10,29,0,2,163,0,1,0,0,2,549,0,2,551,0
258,39,209,1,33,42,1,1,147,0,0,1,0,1,475,0,0,475,0
259,54,147,2,1,88,1,0,190,0,1,0,0,0,484,0,1,485,0
260,66,170,1,3,83,0,1,185,0,0,0,0,1,510,0,1,511,0
261,54,231,2,3,130,0,1,319,2,2,0,0,1,745,0,2,747,0
262,66,174,3,3,89,0,0,226,0,0,0,2,0,563,0,1,564,0
263,35,413,2,3,29,0,0,271,0,0,0,0,0,753,0,1,754,0
264,692,221,3,1,136,0,0,346,0,0,1,1,0,801,0,4,805,0
265,60,131,2,0,54,2,2,255,0,0,0,0,0,506,0,2,508,0
266,69,137,2,0,93,0,2,227,2,0,0,0,1,533,0,5,538,0
267,70,150,3,2,48,5,0,176,1,0,0,0,0,455,0,0,455,0
268,39,171,1,4,78,0,1,259,0,0,0,0,0,553,0,3,556,0
269,44,192,1,2,45,0,1,242,1,0,1,1,0,530,0,2,532,0
270,58,172,2,2,72,0,1,196,1,0,0,0,0,504,0,2,506,0
271,30,143,0,2,63,0,6,285,0,1,0,0,0,530,0,1,531,0
272,51,179,2,10,73,0,2,333,0,1,1,1,0,653,0,4,657,0
273,59,147,0,13,58,0,0,266,0,1,0,0,0,544,0,3,547,0
274,49,154,1,4,42,0,0,182,0,2,0,0,0,434,0,1,435,0
275,43,91,1,4,60,2,2,207,1,0,0,0,1,412,0,2,414,0
276,41,83,1,7,49,0,2,176,1,0,1,0,0,361,0,0,361,0
277,83,144,1,10,70,0,3,254,0,0,1,0,1,567,0,1,568,0
278,54,211,2,5,92,1,0,254,0,0,3,0,0,622,0,2,624,0
279,151,248,3,28,37,0,2,288,1,1,1,0,4,764,0,6,770,0
280,75,146,4,2,111,0,0,328,2,1,0,0,0,669,0,1,670,0
281,21,116,1,0,140,0,1,145,0,0,0,0,0,424,0,3,427,0
282,36,223,2,64,26,0,1,168,1,1,0,0,4,526,0,2,528,0
283,63,131,1,10,108,0,2,211,2,0,2,0,1,531,0,1,532,0
284,67,167,2,28,98,0,2,293,3,1,1,0,0,662,0,5,667,0
285,75,128,4,11,46,0,0,322,2,1,0,0,0,589,0,3,592,0
286,21,184,1,8,89,0,0,146,2,1,0,1,0,453,0,0,453,0
287,52,253,2,0,32,1,0,187,2,0,1,1,0,531,0,3,534,0
288,58,189,0,2,41,1,0,287,1,0,0,1,2,582,0,1,583,0
289,51,122,3,10,14,0,0,218,0,2,0,1,0,421,0,1,422,0
290,75,176,4,13,30,3,1,326,1,0,0,0,1,630,0,3,633,0
291,57,186,2,22,36,0,0,205,0,0,0,0,1,509,0,0,509,0
292,25,157,1,30,57,0,2,160,0,0,0,0,1,433,0,2,435,0
293,54,113,2,18,133,1,0,134,0,1,0,0,1,457,0,0,457,0
294,82,196,1,1,148,1,2,235,1,1,0,0,0,668,0,2,670,0
295,71,136,4,1,104,2,1,195,1,0,0,0,0,515,0,1,516,0
296,52,120,0,2,108,0,1,211,3,0,0,1,0,498,0,2,500,0
297,35,181,3,3,98,3,2,208,1,0,0,0,0,534,0,2,536,0
298,48,153,4,3,57,1,3,309,1,1,0,0,0,580,0,3,583,0
299,66,168,5,4,77,0,1,311,1,0,2,0,1,636,0,2,638,0
300,40,204,3,5,82,1,0,241,2,0,0,1,0,579,0,3,582,0
301,52,217,1,8,64,0,1,349,0,0,0,1,0,693,0,4,697,0
302,40,134,1,7,52,0,0,320,4,2,1,0,0,561,0,0,561,0
303,33,78,1,4,12,0,1,98,0,0,1,0,1,229,0,3,232,0
304,89,113,1,2,90,0,1,239,0,0,0,1,2,538,0,3,541,0
305,81,121,1,3,52,0,1,314,2,0,0,1,0,576,0,1,577,0
306,51,148,1,1,46,0,1,229,4,0,0,0,1,482,0,3,485,0
307,68,156,2,1,98,0,2,267,0,1,0,0,2,597,0,3,600,0
308,760,210,2,2,116,0,2,423,3,0,0,0,1,819,0,5,824,0
309,79,192,4,4,68,0,0,254,2,0,0,0,1,604,0,3,607,0
310,77,176,5,6,73,3,2,409,8,2,0,1,2,764,0,3,767,0
311,69,136,3,7,75,2,1,358,7,2,0,0,1,661,0,5,666,0
312,27,127,1,1,49,0,0,190,1,0,0,1,0,397,0,3,400,0
313,55,144,0,2,71,0,1,372,2,1,1,2,1,652,0,3,655,0
314,65,157,2,5,70,0,2,409,3,0,0,2,0,715,0,2,717,0
315,54,207,3,14,56,0,1,423,3,2,0,1,1,765,0,8,773,0
