Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
77,77,28,148,108,2,0,288,0,1,0,0,0,0,0,0,2,0,0,0,0,577,0,5,582,0
78,78,26,404,59,1,0,213,1,0,0,0,0,0,0,1,0,0,0,0,1,706,0,0,706,0
79,79,22,178,55,0,0,238,2,0,0,0,1,0,0,0,0,0,0,1,0,497,0,2,499,0
80,80,33,207,59,2,2,293,0,1,0,0,1,1,0,0,0,3,1,2,1,606,0,3,609,0
81,81,17,405,59,1,0,160,0,1,0,0,0,0,0,0,1,1,0,0,0,645,0,5,650,0
82,82,29,161,86,0,0,311,0,2,0,0,1,0,0,1,0,0,0,1,0,592,0,2,594,0
83,83,25,109,88,0,0,194,0,1,0,0,0,0,0,0,0,1,0,1,0,419,0,5,424,0
84,84,48,182,82,1,2,387,0,2,0,0,0,0,0,0,0,1,0,1,0,706,0,1,707,0
85,85,34,223,97,0,1,337,1,0,0,0,0,0,0,0,0,0,0,1,1,695,0,3,698,0
86,86,19,164,74,0,3,235,0,1,0,1,0,0,0,0,0,1,0,0,0,498,0,3,501,0
87,87,18,196,50,0,2,150,0,0,0,0,0,0,0,1,0,0,0,0,1,418,0,1,419,0
88,88,27,114,63,2,0,240,0,1,0,0,0,1,0,0,1,0,0,0,0,449,0,1,450,0
89,89,31,117,55,0,0,172,0,0,0,0,1,0,0,1,2,0,0,1,0,380,0,5,385,0
90,90,24,135,40,1,2,269,0,0,0,0,1,1,0,0,0,1,0,0,0,474,0,2,476,0
91,91,32,194,34,0,0,248,2,0,0,0,1,0,0,0,0,0,0,0,0,511,0,3,514,0
92,92,30,150,87,1,0,298,0,0,0,1,0,0,0,1,0,0,0,0,0,568,0,2,570,0
93,93,26,108,53,2,1,216,2,0,0,0,0,0,0,2,1,0,1,0,0,412,0,1,413,0
94,94,36,170,33,1,0,349,0,0,0,0,0,0,1,1,0,0,0,1,0,592,0,0,592,0
95,95,34,136,41,0,0,315,0,0,0,1,1,0,0,0,0,1,0,2,0,531,0,0,531,0
96,96,32,176,89,0,0,262,1,0,0,0,1,2,0,1,0,0,0,1,0,565,0,0,565,0
97,97,33,161,36,0,3,247,2,0,0,1,1,0,0,0,1,1,0,0,0,486,0,3,489,0
98,98,34,182,31,0,2,247,1,0,0,0,0,0,2,0,0,2,0,1,1,503,0,0,503,0
99,99,41,166,83,3,0,189,1,1,0,0,0,1,0,2,1,2,0,1,0,491,0,1,492,0
100,100,76,282,89,2,3,422,2,0,3,0,1,0,0,3,1,2,1,3,2,892,0,8,900,0
101,101,49,178,71,1,2,352,0,2,0,0,2,0,0,1,2,2,0,1,5,668,0,3,671,0
102,102,33,303,36,2,1,156,1,0,0,0,1,0,1,1,2,2,0,7,0,546,0,1,547,0
103,103,28,169,73,0,3,218,1,0,0,0,1,0,0,0,0,2,0,0,0,495,0,1,496,0
104,104,37,142,45,2,1,290,1,1,0,0,2,0,0,0,1,0,0,0,0,522,0,2,524,0
105,105,42,269,120,4,1,466,1,1,0,0,2,0,1,2,2,2,0,2,1,916,0,5,921,0
106,106,47,263,180,1,1,237,1,0,0,1,0,0,3,0,3,2,3,4,1,747,0,1,748,0
107,107,61,217,234,4,4,243,0,0,0,0,2,1,1,0,0,1,2,12,4,786,0,2,788,0
108,108,49,210,125,3,0,277,0,0,0,0,2,0,0,0,1,0,0,0,0,667,0,2,669,0
109,109,59,151,88,0,0,261,0,0,0,0,0,0,1,0,0,0,0,1,0,561,0,2,563,0
110,110,50,200,188,0,0,236,0,1,0,0,0,0,0,0,0,0,1,3,4,683,0,0,683,0
111,111,48,317,66,1,2,344,0,1,0,0,1,1,0,1,0,2,0,2,0,786,0,3,789,0
112,112,34,329,91,1,1,265,0,0,0,0,1,1,0,2,0,0,0,2,0,727,0,3,730,0
113,113,7,193,161,1,1,280,1,0,1,1,0,0,1,0,0,2,0,1,1,651,0,1,652,0
114,114,11,169,102,0,1,79,0,0,1,0,0,0,1,1,2,0,0,0,0,367,0,0,367,0
115,115,15,284,19,0,0,185,1,0,0,0,0,0,0,0,0,2,1,0,0,507,0,3,510,0
116,116,23,397,32,1,0,278,1,1,0,0,0,1,1,1,0,0,1,5,0,742,0,1,743,0
117,117,33,200,150,0,2,230,3,2,0,1,0,0,1,1,0,0,0,0,0,623,0,3,626,0
118,118,53,232,51,2,3,421,0,0,1,0,4,1,0,1,0,1,0,0,1,771,0,3,774,0
119,119,56,209,189,6,0,327,1,1,0,0,1,0,3,1,0,2,0,0,0,796,0,3,799,0
120,120,28,135,72,0,1,211,1,0,0,0,2,0,1,0,0,0,0,2,0,453,0,2,455,0
121,121,30,107,103,1,0,229,1,1,0,1,2,0,0,1,0,0,0,1,0,477,0,5,482,0
122,122,36,85,246,2,1,357,0,2,0,0,0,0,0,0,0,1,2,0,1,733,0,4,737,0
123,123,38,129,271,2,2,342,0,1,0,0,0,0,0,1,0,1,0,0,2,789,0,3,792,0
124,124,34,177,186,2,0,229,0,0,0,0,0,0,0,0,0,1,0,1,0,630,0,4,634,0
125,125,27,202,191,0,0,295,1,0,0,0,0,0,0,1,0,0,0,0,0,717,0,3,720,0
126,126,18,229,105,2,3,201,1,1,0,0,1,0,0,0,0,1,0,1,3,566,0,1,567,0
127,127,43,321,106,0,3,282,2,1,0,1,1,0,0,1,0,1,1,1,1,765,0,3,768,0
128,128,50,154,89,0,2,183,0,0,0,0,2,0,0,0,0,0,0,2,0,482,0,1,483,0
