Polling Station No,Candidate_1,INAMAHDAR M,NANHSIRKAMARAYAJ R,ULEVAGUMNAHS C,RAMUKLIHTNES KA,IALAMURIHT R,ILA DEMAHA M,LEVAGUMNAHS A,LEVAGUMNAHS K,LEVAGUMNAHS S,LEVAGUNAHS M,JARAGNAHT P,NARDNEHAM PS,NAGAHZAVIDAV IJALAB K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
269,269,23,265,131,0,269,0,0,0,0,1,1,0,2,692,0,7,699,0
270,270,12,126,62,1,141,3,0,0,2,0,0,0,0,347,0,1,348,0
271,271,22,311,127,1,176,0,0,0,0,0,0,0,3,640,0,1,641,0
272,272,21,312,187,2,218,0,0,0,0,3,1,2,3,749,0,4,753,0
273,273,15,161,130,1,189,0,1,0,1,3,1,1,1,504,0,4,508,0
274,274,17,175,117,2,192,0,0,0,3,0,0,1,0,507,0,4,511,0
275,275,10,165,102,0,170,0,0,0,0,2,0,0,3,452,0,0,452,0
276,276,18,306,169,0,192,1,0,0,2,3,0,0,2,693,0,5,698,0
277,277,21,198,127,0,202,1,1,0,1,3,0,0,1,555,0,1,556,0
278,278,37,282,97,1,259,1,0,0,0,2,1,1,3,684,0,3,687,0
279,279,21,270,93,0,169,0,1,0,1,0,1,2,0,558,0,2,560,0
280,280,20,272,111,2,206,1,0,0,2,0,0,2,0,616,0,1,617,0
281,281,18,288,261,2,147,1,0,0,2,0,0,1,4,724,0,1,725,0
282,282,15,218,287,3,161,0,1,0,1,1,0,1,3,691,0,1,692,0
283,283,17,170,284,2,110,0,0,1,0,6,3,5,6,604,0,1,605,0
284,284,14,220,287,1,110,1,1,2,0,2,2,1,4,645,0,1,646,0
285,285,22,317,165,3,186,1,0,0,1,5,1,1,6,708,0,5,713,0
286,286,18,333,143,0,197,0,1,0,1,1,0,3,4,701,0,1,702,0
287,287,19,385,136,2,104,2,0,0,1,0,0,2,1,652,0,1,653,0
288,288,24,302,121,2,140,0,0,0,0,2,1,1,1,594,0,4,598,0
289,289,24,358,90,0,143,0,1,1,0,4,3,0,1,625,0,3,628,0
290,290,14,260,244,1,99,0,0,1,0,2,1,3,2,627,0,1,628,0
291,291,17,173,99,1,220,1,0,1,1,2,0,2,2,519,0,1,520,0
292,292,17,239,93,4,217,1,3,1,1,3,3,5,8,595,0,4,599,0
293,293,22,320,228,2,202,1,1,2,0,0,2,6,1,787,0,9,796,0
294,294,22,243,169,5,181,0,0,1,1,3,0,0,2,627,0,1,628,0
