Polling Station No,V.P.KANDASAMY,THALAPATHY MURUGESAN,DR.S.RAJASEKARAN,KANTHASAMY.K.,NM.SUKUMAR,SUMAN SINGH.R.,NAGARAJ.K.,NELSON.W.,PALANISAMY.M.,PAPPA MUTHULAKSHMI.P.,KANDASAMY.A.,KANDASAMY.R.,KANDASAMY.V.,MURUGESAN.N.,MURUGESH.R.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
142,65,382,65,0,422,2,0,5,0,1,0,1,1,0,0,944,0,1,945,0
143,86,270,38,1,246,0,0,0,0,0,1,0,0,0,1,643,0,5,648,0
144,140,250,38,0,224,0,0,0,0,3,0,0,0,0,0,655,0,3,658,0
145,111,213,35,1,285,0,0,0,0,0,0,1,0,0,0,646,0,6,652,0
146,140,185,25,1,239,0,0,1,0,4,0,0,0,0,0,595,0,3,598,0
147,96,178,22,1,200,0,0,1,0,3,0,1,0,0,1,503,0,1,504,0
148,138,147,31,0,311,1,0,0,0,1,1,1,0,0,0,631,0,4,635,0
149,110,176,37,0,332,0,0,0,0,0,1,0,0,0,0,656,0,1,657,0
150,165,289,42,0,396,2,0,1,0,1,0,1,0,0,0,897,0,2,899,0
151,65,153,15,1,207,0,0,0,0,1,1,0,0,0,0,443,0,5,448,0
152,109,191,32,0,226,1,0,1,0,2,0,0,0,0,0,562,0,1,563,0
153,146,250,20,0,296,2,0,0,1,0,0,0,0,0,0,715,0,2,717,0
154,97,206,45,0,319,1,0,0,0,3,0,0,0,0,0,671,0,5,676,0
155,171,261,49,2,273,1,1,0,1,3,1,0,0,0,1,764,0,4,768,0
156,104,169,31,1,228,0,2,0,0,1,0,0,1,1,0,538,0,2,540,0
157,129,153,47,0,220,1,1,1,0,2,0,0,0,0,0,554,0,4,558,0
158,146,225,38,1,296,0,0,0,0,1,0,2,0,0,0,709,0,2,711,0
159,77,234,27,0,187,0,1,1,1,0,0,1,0,0,0,529,0,0,529,0
160,178,182,37,1,307,1,0,0,0,1,0,0,0,0,1,708,0,11,719,0
161,149,222,43,2,350,0,1,0,0,0,0,0,0,0,0,767,0,5,772,0
162,66,134,19,0,316,0,0,0,0,0,2,1,0,0,2,540,0,1,541,0
163,101,195,26,0,277,1,0,1,0,1,0,1,0,0,0,603,0,2,605,0
164,153,230,40,0,315,0,0,0,1,0,3,0,0,0,2,744,0,6,750,0
165,e 3135,203,27,0,188,0,0,0,0,0,1,0,0,2,0,556,0,3,559,0
166,99,233,20,0,235,1,1,0,0,1,0,1,0,0,2,593,0,3,596,0
167,104,284,38,0,335,0,0,0,0,3,0,0,0,0,0,764,0,4,768,0
168,177,313,19,1,331,2,0,0,0,1,0,1,0,0,3,848,0,1,849,0
169,302,262,33,1,265,0,1,0,0,0,0,1,0,2,0,867,0,5,872,0
170,234,209,26,1,173,1,1,0,0,0,0,0,0,0,2,647,0,3,650,0
171,211,266,26,3,321,1,0,0,1,3,1,0,0,0,1,834,0,2,836,0
172,86,402,17,1,202,0,0,1,0,0,0,0,0,0,0,709,0,2,711,0
173,198,247,26,0,325,1,1,0,0,0,0,0,1,0,2,801,0,1,802,0
174,165,294,43,0,278,2,0,1,0,0,0,0,1,0,0,784,0,8,792,0
175,146,245,30,0,330,1,0,0,0,0,1,3,1,0,1,758,0,5,763,0
176,137,198,30,1,207,0,1,0,0,0,0,0,0,0,0,574,0,2,576,0
177,85,156,25,1,145,1,0,0,0,0,1,0,0,0,1,415,0,1,416,0
178,166,257,12,1,278,0,1,1,1,1,1,0,0,0,1,720,0,1,721,0
179,108,236,15,0,208,2,1,0,0,3,0,1,0,0,1,575,0,3,578,0
180,212,289,23,0,243,1,0,0,0,2,0,1,0,0,3,774,0,1,775,0
181,308,327,59,0,286,1,1,0,0,0,1,1,1,0,1,986,0,4,990,0
182,190,262,21,1,201,0,0,0,0,2,0,1,0,0,0,678,0,3,681,0
183,205,209,37,3,310,1,0,0,0,3,1,0,0,0,0,769,0,2,771,0
184,168,354,34,1,277,1,0,0,0,4,1,0,1,0,2,843,0,5,848,0
185,203,223,27,1,174,0,0,0,0,0,0,1,1,0,0,630,0,3,633,0
186,107,205,24,0,174,0,0,0,0,0,0,0,0,0,1,511,0,3,514,0
187,198,264,56,0,243,0,0,0,0,1,0,0,0,0,2,764,0,5,769,0
188,72,179,17,0,152,0,0,0,1,0,1,1,1,0,1,425,0,3,428,0
189,138,154,12,1,171,0,0,0,1,0,1,0,0,1,0,479,0,3,482,0
190,114,230,18,1,183,0,0,0,0,0,0,0,0,0,0,546,0,6,552,0
191,111,225,24,0,243,1,0,0,0,4,0,1,0,0,0,609,0,5,614,0
192,225,263,39,1,272,0,0,0,2,2,0,0,0,0,0,804,0,6,810,0
193,208,284,36,1,283,1,0,0,0,1,0,0,1,1,0,816,0,3,819,0
194,181,311,37,0,323,0,0,0,0,3,0,0,0,0,0,855,0,3,858,0
195,116,239,45,1,289,0,0,0,1,0,0,0,0,0,0,691,0,2,693,0
196,178,233,30,0,257,0,0,0,0,3,0,1,0,2,0,704,0,2,706,0
197,200,289,31,1,278,1,0,0,0,2,1,0,0,0,0,803,0,2,805,0
198,241,296,36,0,293,0,0,0,0,0,0,0,1,1,0,868,0,4,872,0
199,201,288,30,2,270,0,0,1,1,1,0,1,0,0,0,795,0,2,797,0
200,208,147,36,0,274,2,0,1,0,0,0,0,0,0,1,669,0,6,675,0
201,191,274,17,1,263,2,1,0,0,1,0,1,0,0,1,752,0,5,757,0
202,140,286,27,0,254,0,0,0,0,0,0,0,0,0,0,707,0,3,710,0
203,246,183,23,0,193,0,0,0,0,0,0,1,0,0,1,647,0,3,650,0
204,172,239,23,0,272,0,0,1,0,0,0,0,0,0,1,708,0,1,709,0
205,151,190,22,0,197,0,1,1,0,0,0,1,0,0,0,563,0,0,563,0
206,212,224,19,3,138,1,0,0,0,0,0,0,0,0,1,598,0,2,600,0
207,113,135,17,0,240,0,0,0,0,0,0,1,0,2,0,508,0,0,508,0
208,276,191,20,1,253,1,0,0,0,3,1,2,0,0,0,748,0,3,751,0
209,172,280,54,0,339,0,1,0,1,1,0,1,0,0,0,849,0,3,852,0
210,216,250,27,1,307,0,0,1,0,0,0,0,1,1,0,804,0,3,807,0
211,230,335,29,0,190,0,0,0,0,0,0,0,0,0,0,784,0,1,785,0
212,148,193,24,0,165,0,0,0,0,2,1,0,1,0,0,534,0,3,537,0
213,199,278,31,0,241,0,0,0,0,1,0,0,1,0,0,751,0,2,753,0
214,122,235,26,1,241,0,0,0,0,2,0,0,0,0,1,628,0,4,632,0
215,221,198,32,1,248,1,0,1,0,2,0,2,0,0,0,706,0,5,711,0
216,162,187,17,3,288,1,2,0,0,0,0,0,1,0,3,664,0,1,665,0
217,283,176,24,2,225,1,2,0,0,2,0,1,0,0,0,716,0,6,722,0
