Polling Station No,M. SEKAR,S.THIRUMURUGAN,R. VAITHILINGAM,DR. K. ARVIND,C. GUNASEKARAN,M. SELVARAJ,A. AJESHKANNAN,M. KANAGARAJ,T. VIJAYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
252,109,55,313,189,0,1,0,0,1,668,0,0,668,0
253,102,23,205,112,0,1,2,2,0,447,0,7,454,0
254,115,14,235,146,0,0,1,2,1,514,0,2,516,0
255,170,10,217,108,2,0,0,0,0,507,0,1,508,0
256,182,23,260,129,1,3,0,0,0,598,0,4,602,0
257,90,19,217,107,0,0,1,2,1,437,0,0,437,0
258,174,15,121,133,0,1,0,1,0,445,0,1,446,0
259,276,21,239,186,1,0,2,0,2,727,0,3,730,0
260,185,22,352,149,2,0,0,0,0,710,0,1,711,0
261,151,32,201,106,2,0,0,1,0,493,0,1,494,0
262,25,9,88,37,0,0,0,1,1,161,0,0,161,0
263,441,38,269,148,0,3,5,2,1,907,0,5,912,0
264,295,31,245,168,1,0,1,0,1,742,0,1,743,0
265,97,15,267,224,0,1,0,0,1,605,0,2,607,0
266,103,13,159,130,0,2,1,2,0,410,0,1,411,0
267,149,11,239,119,0,3,1,2,1,525,0,1,526,0
268,66,6,227,71,0,0,1,1,2,374,0,0,374,0
269,120,33,339,171,0,1,1,2,2,669,0,1,670,0
270,135,37,314,121,2,0,0,1,2,612,0,6,618,0
271,227,28,246,185,1,3,0,0,0,690,0,2,692,0
272,157,18,266,138,1,1,1,0,0,582,0,3,585,0
273,34,4,104,72,0,3,0,0,0,217,0,1,218,0
274,227,27,271,241,0,0,2,0,0,768,0,1,769,0
275,177,11,194,86,2,2,0,0,0,472,0,3,475,0
276,192,34,341,127,1,1,1,0,1,698,0,1,699,0
277,134,16,204,111,1,0,1,0,1,468,0,4,472,0
278,161,28,247,181,1,1,0,2,1,622,0,3,625,0
279,174,22,172,190,1,2,1,3,0,565,0,4,569,0
280,256,62,369,204,0,0,0,1,2,894,0,0,894,0
281,226,26,294,210,3,13,0,2,0,774,0,3,777,0
282,169,13,194,124,0,4,0,1,0,505,0,0,505,0
283,177,13,218,146,0,3,1,0,1,559,0,0,559,0
284,246,22,233,168,0,1,1,3,2,676,0,1,677,0
285,313,21,189,170,5,2,2,1,1,704,0,3,707,0
286,334,23,334,187,2,7,0,1,1,889,0,1,890,0
287,210,28,230,106,1,10,0,1,0,586,0,2,588,0
288,146,19,176,122,0,27,1,4,1,496,0,1,497,0
289,174,18,409,270,2,25,1,3,1,903,0,5,908,0
290,337,40,369,176,0,1,1,0,0,924,0,0,924,0
291,145,59,226,109,1,8,3,0,1,552,0,0,552,0
292,197,22,331,156,0,1,1,4,0,712,0,0,712,0
293,104,16,147,94,0,0,1,1,0,363,0,0,363,0
294,115,16,188,80,0,1,0,1,0,401,0,1,402,0
295,241,40,376,156,0,2,1,2,1,819,0,0,819,0
296,155,20,243,90,2,12,0,4,0,526,0,1,527,0
297,160,49,310,188,1,10,1,0,1,720,0,4,724,0
298,143,24,232,128,1,13,0,0,1,542,0,3,545,0
299,125,50,250,165,1,20,0,0,1,612,0,0,612,0
300,73,13,182,150,0,9,0,1,0,428,0,1,429,0
301,94,149,301,170,3,2,3,1,1,724,0,1,725,0
302,110,44,283,160,0,0,1,0,0,598,0,1,599,0
303,100,35,251,133,0,4,1,3,0,527,0,2,529,0
304,117,62,363,188,0,3,2,3,0,738,0,3,741,0
305,116,41,245,109,0,1,1,0,0,513,0,3,516,0
306,129,62,246,169,0,2,4,0,0,612,0,1,613,0
307,191,47,371,174,0,0,2,0,2,787,0,1,788,0
308,109,38,279,146,2,0,0,0,0,574,0,3,577,0
309,207,38,223,134,1,0,0,1,0,604,0,1,605,0
310,109,33,262,122,1,0,6,0,1,534,0,2,536,0
311,97,30,193,132,1,0,3,0,1,457,0,1,458,0
312,154,29,380,121,0,0,0,2,1,687,0,2,689,0
313,99,19,293,127,1,0,0,0,3,542,0,1,543,0
314,12,5,191,45,0,0,0,0,0,253,0,0,253,0
