Polling Station No,oN .SP,ABOHS L .INAR YCNA,T .RAMUKAVIS,IAHARAHT TREBHTUC,C .HGNISAJAR,M.S YNOHTNA .UHTUM,N .HSENAG,S .RELLIM TSIRHC,R .JAR LIOKytra,XELA ECNERWAL MERP,M .ILARUM,K .MARAKNALA YNOTNA,M .NANAVARAS,M .JARAVLES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
55,55,31,193,108,1,0,0,1,0,87,1,0,1,1,424,1,0,0,425
56,56,18,402,27,0,0,1,0,0,121,0,0,1,0,570,1,0,0,571
57,57,55,71,286,0,0,0,0,1,185,0,1,2,0,601,3,0,0,604
58,58,35,177,112,0,0,0,0,0,172,1,0,1,0,498,2,0,0,500
59,59,55,32,174,1,3,0,0,0,115,0,0,1,0,381,0,0,0,381
60,60,45,93,446,2,6,0,1,0,224,0,0,1,0,818,2,0,0,820
61,61,73,105,326,3,8,1,1,1,235,0,1,1,0,755,3,0,0,758
62,62,43,132,302,2,1,0,2,0,243,1,0,1,1,728,4,0,0,732
63,63,69,77,320,0,6,3,2,2,333,2,0,0,2,816,4,0,0,820
64,64,42,147,283,0,3,0,1,0,259,1,1,0,2,739,1,0,0,740
65,65,28,146,216,0,0,1,1,0,382,1,0,0,1,776,0,0,0,776
66,66,46,204,198,2,2,2,0,0,286,0,0,0,1,741,2,0,0,743
67,67,47,187,182,1,1,1,0,0,409,1,0,0,2,831,2,0,0,833
68,68,47,155,289,2,0,0,0,0,203,0,0,0,2,698,5,0,0,703
69,69,33,50,280,1,1,0,0,0,161,1,0,0,3,530,2,0,0,532
70,70,98,47,339,1,0,2,6,0,254,2,0,1,0,750,2,0,0,752
71,71,36,29,154,0,0,2,0,3,416,1,0,0,1,642,1,0,0,643
72,72,24,20,333,2,2,4,3,1,396,0,0,1,0,786,3,0,0,789
73,73,29,32,173,2,0,1,5,1,353,0,1,1,0,598,2,0,0,600
74,74,31,15,287,1,1,1,2,1,282,1,0,1,0,623,3,0,0,626
75,75,39,6,336,0,0,1,2,2,375,1,0,1,0,763,0,0,0,763
76,76,35,6,257,0,0,1,3,0,437,0,0,1,0,740,0,0,0,740
77,77,26,20,280,0,4,2,1,1,366,1,0,1,0,702,1,0,0,703
78,78,27,27,206,0,4,1,0,1,362,1,0,0,0,629,2,0,0,631
79,79,20,18,234,0,0,2,0,0,366,0,1,0,0,641,1,0,0,642
80,80,9,7,205,0,0,1,0,0,210,0,0,0,1,433,0,0,0,433
81,81,21,32,188,1,2,1,0,0,345,1,0,0,1,592,0,0,0,592
82,82,15,4,180,0,2,1,0,1,266,0,0,0,1,470,0,0,0,470
83,83,26,21,210,1,5,1,2,2,473,1,0,3,0,745,1,0,0,746
84,84,21,9,256,1,1,0,0,0,268,1,1,1,0,559,0,0,0,559
85,85,17,16,161,1,0,0,0,0,179,1,1,0,1,377,1,0,0,378
86,86,35,16,233,2,3,1,0,0,318,1,4,3,0,616,2,0,0,618
87,87,22,74,495,1,2,1,0,0,162,0,1,1,0,759,2,0,0,761
88,88,5,12,414,1,1,0,0,0,59,1,0,0,1,494,0,0,0,494
89,89,21,11,286,1,1,2,0,0,348,1,0,0,1,672,0,0,0,672
90,90,21,8,271,4,0,0,0,2,364,1,0,1,1,673,0,0,0,673
91,91,12,11,167,0,1,0,0,0,234,1,0,0,1,427,1,0,0,428
92,92,14,7,213,0,1,0,0,1,290,2,0,0,0,528,1,0,0,529
93,93,18,14,223,2,1,1,0,0,239,0,0,0,0,498,0,0,0,498
94,94,19,340,178,2,1,0,1,0,226,1,0,1,1,770,1,0,0,771
95,95,9,19,121,1,0,0,0,1,222,0,2,0,0,375,0,0,0,375
96,96,15,11,228,1,2,0,0,0,356,0,0,0,0,613,2,0,0,615
97,97,9,12,191,0,2,1,1,0,323,0,0,0,1,540,4,0,0,544
98,98,32,315,173,1,2,0,0,1,246,1,1,1,3,776,2,0,0,778
99,99,29,266,243,2,2,1,0,0,236,0,0,1,6,786,5,0,0,791
100,100,29,77,264,2,2,0,2,1,169,2,0,0,0,548,1,0,0,549
101,101,23,209,191,4,4,0,2,1,163,1,0,0,1,599,0,0,0,599
102,102,13,135,250,2,2,0,0,0,127,0,1,2,0,532,0,0,0,532
103,103,12,64,317,0,0,1,0,0,142,0,0,0,1,537,1,0,0,538
104,104,22,4,507,1,2,1,0,0,81,0,1,0,0,619,2,0,0,621
105,105,9,117,161,1,0,0,0,0,80,1,0,0,0,369,2,0,0,371
106,106,11,86,166,0,0,0,0,0,103,1,0,1,0,368,0,0,0,368
107,107,13,16,400,1,0,0,1,1,115,0,1,0,0,548,0,0,0,548
108,108,16,39,215,0,1,0,0,0,281,1,0,0,0,553,0,0,0,553
109,109,23,25,287,0,0,3,0,1,435,0,0,0,0,774,2,0,0,776
110,110,28,274,181,0,1,0,1,0,212,0,0,0,1,698,3,0,0,701
111,111,19,140,343,1,0,1,0,1,175,3,1,0,1,685,1,0,0,686
112,112,42,195,212,1,6,0,0,0,178,4,0,1,0,639,1,0,0,640
113,113,18,196,177,2,6,0,0,0,148,0,0,0,1,548,1,0,0,549
114,114,32,91,198,0,1,0,0,1,160,0,0,0,0,483,1,0,0,484
115,115,67,31,287,1,1,1,0,2,157,0,1,0,0,548,0,0,0,548
116,116,69,33,284,3,0,0,0,1,159,0,1,1,0,551,0,0,0,551
117,117,75,27,340,1,1,0,0,0,167,0,0,1,1,613,0,0,0,613
118,118,132,114,337,0,1,0,1,1,184,0,0,0,1,771,1,0,0,772
119,119,54,171,219,1,1,0,0,1,189,0,1,0,2,639,1,0,0,640
120,120,30,245,187,1,0,2,0,0,146,0,1,0,0,612,2,0,0,614
121,121,17,64,124,1,0,0,0,0,85,0,0,0,1,292,1,0,0,293
122,122,42,74,149,0,0,1,1,0,97,1,0,0,0,365,1,0,0,366
123,123,67,285,127,0,0,0,0,0,152,0,1,0,0,632,2,0,0,634
124,124,48,98,288,0,0,0,2,0,156,0,0,0,0,592,1,0,0,593
125,125,59,198,246,1,0,0,0,0,166,0,1,1,0,672,1,0,0,673
126,126,26,221,136,2,1,1,1,1,233,0,1,0,1,624,2,0,0,626
127,127,10,300,37,0,0,0,0,0,55,1,0,2,2,407,0,0,0,407
128,128,30,105,259,0,0,1,0,1,156,0,0,0,1,553,1,0,0,554
129,129,21,28,183,0,1,1,0,0,75,0,0,0,1,310,1,0,0,311
130,130,53,113,340,0,0,1,0,1,223,0,0,1,0,732,1,0,0,733
131,131,34,157,169,1,1,1,0,0,112,0,0,1,2,478,3,0,0,481
132,132,41,22,221,0,0,2,0,0,128,0,0,1,2,417,0,0,0,417
133,133,40,207,206,1,1,0,0,0,112,1,0,1,1,570,0,0,0,570
134,134,34,113,192,0,0,1,1,0,80,0,0,0,0,421,1,0,0,422
135,135,66,192,288,1,0,1,0,0,270,0,1,1,1,821,3,0,0,824
136,136,49,53,299,0,0,1,0,1,122,0,1,0,1,527,0,0,0,527
137,137,58,52,273,3,0,0,1,0,94,0,0,0,0,481,2,0,0,483
138,138,86,53,366,2,1,0,0,0,167,0,0,1,3,679,2,0,0,681
139,139,69,79,305,0,1,2,0,0,212,0,2,1,0,671,2,0,0,673
140,140,80,146,191,2,1,0,1,1,159,1,0,0,1,583,1,0,0,584
141,141,107,100,328,0,2,0,1,0,174,0,0,0,0,712,2,0,0,714
142,142,89,45,304,1,0,1,1,0,177,0,0,0,1,619,2,0,0,621
143,143,37,131,227,1,0,1,1,2,309,0,0,0,0,709,2,0,0,711
144,144,25,424,131,0,0,3,0,1,172,0,0,0,2,758,1,0,0,759
145,145,12,188,99,0,0,2,0,0,97,2,0,0,0,400,2,0,0,402
146,146,34,220,224,0,2,0,0,0,105,0,1,0,2,588,2,0,0,590
147,147,24,274,169,2,1,0,0,0,159,0,0,0,1,630,2,0,0,632
148,148,12,207,101,0,0,1,0,0,83,0,1,1,0,406,1,0,0,407
149,149,25,345,59,1,0,0,0,1,168,0,2,1,0,602,1,0,0,603
150,150,46,386,140,2,0,0,1,0,177,0,1,1,2,756,0,0,0,756
151,151,19,133,293,2,0,2,2,2,482,2,1,0,1,939,6,0,0,945
152,152,31,28,223,0,0,0,0,2,379,0,0,0,2,665,0,0,0,665
153,153,17,338,15,0,2,0,0,0,108,0,0,1,2,483,2,0,0,485
154,154,32,353,179,1,0,1,1,1,148,0,0,0,2,718,0,0,0,718
155,155,16,387,54,1,3,0,0,2,215,0,0,1,1,680,6,0,0,686
156,156,35,421,149,1,1,0,2,0,209,0,0,1,0,819,1,0,0,820
157,157,25,430,105,1,0,2,0,0,173,0,1,0,3,740,6,0,0,746
158,158,42,106,218,1,0,1,0,2,246,0,0,0,1,617,2,0,0,619
159,159,37,184,193,0,0,0,1,0,198,0,0,2,2,617,5,0,0,622
160,160,50,201,317,2,0,0,0,1,242,0,0,3,1,817,7,0,0,824
161,161,30,313,197,0,0,5,0,1,229,0,1,1,2,779,1,0,0,780
162,162,10,146,88,0,0,0,1,0,122,0,0,0,1,368,0,0,0,368
163,163,14,267,136,1,1,0,0,0,204,0,0,1,1,625,1,0,0,626
164,164,27,248,323,0,0,1,0,0,192,0,2,1,2,796,0,0,0,796
165,165,39,39,383,0,2,1,0,6,438,0,0,0,0,908,4,0,0,912
166,166,20,62,204,1,2,2,0,0,254,0,0,0,1,546,0,0,0,546
167,167,24,104,272,1,0,1,0,0,140,0,0,0,1,543,1,0,0,544
168,168,18,218,126,3,0,1,0,0,131,1,1,0,0,499,1,0,0,500
169,169,28,268,141,1,0,0,0,0,177,0,0,0,0,615,3,0,0,618
170,170,23,58,390,1,0,0,0,1,241,0,1,0,0,715,0,0,0,715
171,171,37,24,284,1,0,0,0,0,438,1,0,0,0,785,0,0,0,785
172,172,26,9,205,1,1,1,0,0,369,0,0,1,2,615,3,0,0,618
173,173,35,19,219,1,0,1,5,0,417,1,0,1,0,699,0,0,0,699
174,174,52,19,180,5,0,0,2,1,395,1,0,0,0,655,1,0,0,656
175,175,77,22,223,0,1,1,0,0,553,1,1,0,0,879,1,0,0,880
176,176,50,30,244,0,0,2,1,0,388,1,0,0,1,717,2,0,0,719
177,177,51,21,296,0,1,2,2,0,460,0,1,0,2,836,0,0,0,836
178,178,53,25,243,0,0,2,0,1,405,0,1,0,0,730,1,0,0,731
179,179,11,2,130,1,0,0,1,1,183,0,0,0,1,330,0,0,0,330
180,180,36,14,182,1,0,0,0,1,424,0,0,0,1,659,1,0,0,660
181,181,22,8,175,3,0,1,0,1,341,0,1,0,0,552,1,0,0,553
182,182,23,8,265,0,2,0,0,0,380,0,0,0,1,679,1,0,0,680
183,183,26,14,246,4,1,2,2,0,372,3,3,2,2,677,2,0,0,679
184,184,45,29,354,2,0,1,1,0,391,0,0,1,0,824,0,0,0,824
185,185,43,16,231,1,0,1,1,0,336,0,0,1,0,630,2,0,0,632
186,186,24,10,267,0,0,0,1,0,293,0,1,0,0,596,3,0,0,599
187,187,28,366,118,0,1,0,0,0,187,0,1,2,1,704,2,0,0,706
188,188,19,312,47,1,0,0,1,0,155,0,1,1,0,537,2,0,0,539
189,189,38,457,102,1,0,1,0,1,221,0,0,0,6,827,3,0,0,830
190,190,35,341,79,2,1,2,0,1,183,0,0,1,4,649,5,0,0,654
191,191,26,315,61,0,0,0,2,0,164,0,0,0,2,570,2,0,0,572
192,192,29,352,111,1,1,0,0,1,251,0,0,2,2,750,4,0,0,754
193,193,30,312,129,0,1,4,0,0,198,0,1,1,1,677,2,0,0,679
194,194,39,329,127,1,0,0,2,1,245,0,2,1,4,751,5,0,0,756
195,195,30,288,134,2,1,0,1,3,214,1,0,1,1,676,5,0,0,681
196,196,28,408,79,3,0,1,2,0,146,0,0,0,6,673,2,0,0,675
197,197,20,77,135,0,0,1,0,2,118,0,1,1,1,356,6,0,0,362
198,198,21,377,67,2,0,2,2,1,169,2,0,0,2,645,3,0,0,648
199,199,23,311,152,2,0,1,1,0,148,0,1,3,3,645,1,0,0,646
200,200,29,314,58,0,0,0,0,0,166,0,2,6,2,577,1,0,0,578
201,201,34,204,186,1,0,1,1,0,179,0,1,0,0,607,1,0,0,608
202,202,50,201,245,1,1,2,0,1,270,0,0,0,3,774,4,0,0,778
203,203,26,326,86,0,0,1,0,0,166,1,0,1,4,611,2,0,0,613
204,204,24,303,92,0,1,0,0,1,190,0,1,1,1,614,2,0,0,616
205,205,18,230,32,1,0,0,1,2,108,2,1,0,1,396,0,0,0,396
206,206,25,187,95,0,0,1,1,0,127,0,0,0,2,438,1,0,0,439
207,207,17,196,175,3,0,0,0,0,173,0,1,0,0,565,3,0,0,568
208,208,20,285,71,0,0,0,0,0,123,0,0,10,2,511,6,0,0,517
209,209,27,62,285,1,0,0,0,0,179,2,0,0,1,557,1,0,0,558
210,210,32,355,155,2,0,0,1,2,311,3,0,2,2,865,3,0,0,868
211,211,72,357,167,1,0,2,3,0,274,1,1,4,0,882,4,0,0,886
212,212,40,153,122,1,1,0,0,0,153,0,0,0,0,470,2,0,0,472
213,213,44,193,102,0,0,0,0,0,118,0,1,1,0,459,1,0,0,460
214,214,47,23,225,0,0,0,0,1,163,0,1,0,2,462,1,0,0,463
215,215,34,220,106,1,1,1,0,0,217,0,1,0,3,584,3,0,0,587
216,216,44,49,206,1,0,0,1,1,108,1,1,0,0,412,1,0,0,413
217,217,25,263,117,3,5,1,0,0,116,0,0,1,5,536,2,0,0,538
218,218,29,166,114,4,2,1,0,2,129,0,0,1,1,449,2,0,0,451
219,219,64,284,176,0,1,2,0,1,145,1,2,0,1,677,3,0,0,680
220,220,22,208,92,1,3,0,0,0,154,1,0,0,2,483,2,0,0,485
221,221,50,125,158,0,6,0,0,0,137,2,1,1,2,482,3,0,0,485
222,222,21,308,129,2,0,0,0,0,136,0,0,1,1,598,4,0,0,602
223,223,42,222,101,0,1,0,0,1,199,1,1,0,4,572,3,0,0,575
224,224,43,468,63,0,1,0,0,0,136,0,1,1,4,717,1,0,0,718
225,225,40,361,91,0,1,0,0,0,182,0,1,0,1,677,3,0,0,680
226,226,39,415,102,2,1,3,0,1,200,0,0,1,1,765,0,0,0,765
227,227,54,213,176,0,3,1,0,0,165,0,0,0,0,612,4,0,0,616
228,228,59,253,193,1,0,0,0,0,199,0,2,0,0,707,7,0,0,714
229,229,47,23,212,1,0,0,0,0,111,0,0,1,0,395,1,0,0,396
230,230,72,57,416,2,4,1,0,0,246,0,0,0,2,800,1,0,0,801
231,231,11,520,21,1,0,0,1,0,87,1,0,5,0,647,0,0,0,647
232,232,11,352,39,2,0,0,0,0,98,0,0,1,0,503,0,0,0,503
233,233,37,168,177,2,0,0,0,1,133,0,0,0,0,518,1,0,0,519
234,234,42,294,172,1,1,2,0,2,189,2,1,4,5,715,4,0,0,719
235,235,22,184,75,0,1,1,2,0,106,0,2,1,0,394,1,0,0,395
236,236,46,195,165,1,0,1,0,1,193,0,1,0,1,604,1,0,0,605
237,237,56,377,103,2,0,2,1,0,237,0,1,0,1,780,4,0,0,784
238,238,30,150,137,0,1,0,0,1,136,0,0,2,2,459,0,0,0,459
239,239,50,214,244,2,1,2,1,0,217,0,0,0,1,732,3,0,0,735
240,240,46,363,135,1,0,0,0,0,167,0,1,1,3,717,4,0,0,721
241,241,52,218,124,2,1,2,0,1,211,0,2,0,1,614,2,0,0,616
242,242,21,352,98,1,0,1,0,0,134,1,0,1,0,609,3,0,0,612
243,243,28,301,84,0,0,4,1,0,159,1,1,0,0,579,3,0,0,582
244,244,38,72,305,0,1,0,0,0,158,0,0,0,0,574,2,0,0,576
245,245,14,61,234,0,1,1,0,0,147,0,0,0,0,458,3,0,0,461
246,246,34,478,76,0,1,1,0,0,184,0,0,0,1,775,1,0,0,776
247,247,18,297,145,0,0,1,0,2,171,0,0,0,3,637,2,0,0,639
248,248,42,47,205,0,0,2,0,0,164,0,0,0,1,461,2,0,0,463
249,249,46,255,256,1,1,2,0,0,248,0,0,1,2,812,3,0,0,815
250,250,26,242,85,0,1,0,0,0,137,0,0,0,0,491,3,0,0,494
251,251,26,411,99,2,0,1,0,0,125,0,0,1,2,667,1,0,0,668
252,252,35,134,181,1,0,1,1,0,176,0,1,2,0,532,1,0,0,533
253,253,49,195,310,0,1,0,0,0,201,1,0,2,1,760,2,0,0,762
254,254,21,310,94,0,1,0,0,0,110,0,1,0,0,537,1,0,0,538
255,255,43,91,213,0,0,1,0,0,114,0,0,1,2,465,1,0,0,466
256,256,54,99,357,1,2,0,1,0,169,0,0,1,0,684,2,0,0,686
257,257,29,64,305,0,0,1,0,0,125,0,1,2,2,529,0,0,0,529
258,258,20,443,52,0,0,3,0,0,51,0,0,2,2,573,0,0,0,573
259,259,28,61,223,3,0,1,0,0,148,0,0,1,0,465,1,0,0,466
260,260,49,28,301,3,2,0,0,1,177,0,2,1,0,564,1,0,0,565
261,261,35,267,208,0,1,0,1,0,186,0,2,0,4,704,1,0,0,705
262,262,29,250,74,1,0,0,0,0,134,0,0,0,1,489,2,0,0,491
263,263,23,530,37,1,1,0,2,0,136,2,2,2,2,738,4,0,0,742
264,264,31,551,54,1,2,1,0,0,142,1,1,1,3,788,2,0,0,790
265,265,78,382,181,2,1,1,0,0,173,0,2,1,2,823,1,0,0,824
266,266,51,443,103,4,1,1,0,1,232,2,1,2,2,843,1,0,0,844
267,267,24,386,84,0,1,5,0,0,203,1,3,1,1,709,4,0,0,713
268,268,27,256,98,0,0,2,0,2,223,1,0,1,0,610,2,0,0,612
269,269,28,434,53,0,0,0,0,0,130,0,0,1,0,646,1,0,0,647
270,270,21,314,58,1,0,1,0,0,121,0,0,0,1,517,4,0,0,521
271,271,66,43,395,1,0,0,0,1,233,1,0,1,1,742,2,0,0,744
272,272,82,37,439,1,4,0,0,0,197,0,0,2,0,762,2,0,0,764
273,273,61,20,233,1,1,0,1,0,119,0,0,0,0,436,1,0,0,437
274,274,42,495,96,0,4,1,0,0,125,0,0,1,0,764,1,0,0,765
275,275,42,312,193,1,0,4,0,0,196,0,0,0,0,748,3,0,0,751
276,276,44,173,215,0,0,0,0,0,188,0,1,0,1,622,2,0,0,624
277,277,44,23,264,0,2,0,0,0,150,0,0,0,1,484,0,0,0,484
278,278,33,377,89,1,6,3,0,2,195,1,0,0,4,711,6,0,0,717
279,279,66,73,248,0,13,1,0,0,190,1,0,1,2,595,0,0,0,595
280,280,35,259,47,0,2,0,1,0,154,1,1,0,7,507,1,0,0,508
281,281,52,369,101,0,0,0,2,0,152,0,0,2,1,679,1,0,0,680
282,282,21,550,11,0,5,2,0,0,83,0,0,1,0,673,1,0,0,674
283,283,19,129,138,0,0,0,0,0,127,0,0,4,2,419,0,0,0,419
284,284,32,139,216,4,1,0,1,0,220,1,1,1,1,617,1,0,0,618
285,285,67,90,364,1,0,1,0,0,209,0,1,0,0,733,4,0,0,737
286,286,30,357,112,1,1,0,0,0,182,2,0,0,2,687,3,0,0,690
287,287,34,23,282,1,7,0,0,0,154,0,0,2,2,505,2,0,0,507
288,288,28,251,92,2,3,0,0,0,130,1,0,0,5,512,2,0,0,514
289,289,83,5,439,3,4,1,0,0,229,0,0,1,2,767,3,0,0,770
290,290,37,119,306,2,1,0,0,0,257,0,1,0,10,733,4,0,0,737
291,291,27,50,222,0,0,1,0,0,254,0,0,2,0,556,3,0,0,559
292,292,13,335,113,2,1,2,1,0,151,0,1,0,0,619,1,0,0,620
293,293,47,150,135,0,0,2,1,0,188,0,1,2,0,526,1,0,0,527
294,294,35,324,114,0,1,1,0,0,245,0,0,0,5,725,5,0,0,730
295,295,17,250,126,1,0,2,0,0,137,2,0,2,1,538,0,0,0,538
296,296,33,168,160,1,2,1,0,1,314,0,0,0,6,686,1,0,0,687
297,297,25,412,100,0,3,3,0,1,172,0,1,0,2,719,2,0,0,721
298,298,14,296,12,0,0,1,0,0,62,0,0,0,3,388,0,0,0,388
299,299,24,316,38,2,0,5,1,1,89,1,0,1,0,478,0,0,0,478
300,300,15,511,42,0,2,1,2,0,116,0,0,18,3,710,3,0,0,713
301,301,18,586,40,1,1,0,0,1,115,0,0,26,2,790,4,0,0,794
302,302,33,418,174,2,0,2,3,0,256,0,0,0,1,889,3,0,0,892
303,303,14,53,449,1,0,2,1,0,113,0,0,0,1,634,2,0,0,636
304,304,9,11,360,1,0,0,0,0,93,0,0,1,0,475,0,0,0,475
305,305,45,265,156,0,1,0,0,0,226,0,0,1,0,694,3,0,0,697
306,306,23,270,74,0,1,1,1,1,182,0,0,2,2,557,5,0,0,562
307,307,69,159,284,1,1,0,0,0,301,1,0,0,0,816,2,0,0,818
308,308,47,60,162,0,0,0,0,2,196,0,0,0,0,467,2,0,0,469
309,309,78,121,277,1,0,0,0,0,240,1,0,1,2,721,7,0,0,728
310,310,17,149,109,2,0,0,0,0,141,0,0,0,0,418,0,0,0,418
311,311,13,143,116,0,1,0,0,0,182,0,0,0,0,455,4,0,0,459
312,312,32,152,252,0,0,0,0,0,156,0,0,0,0,592,2,0,0,594
313,313,32,329,141,3,1,1,1,2,286,0,2,0,0,798,0,0,0,798
314,314,10,156,98,2,0,1,0,0,153,0,0,0,1,421,1,0,0,422
315,315,26,171,244,1,0,0,1,1,274,1,0,0,0,719,1,0,0,720
316,316,23,167,212,0,1,1,0,1,212,0,1,0,1,619,2,0,0,621
