Polling Station No,KADAMBUR RAJU.C,KARUNANITHI.K,PANDI.P,RAMACHANDRAN.R,ARUMUGAVEL.T,KANNAN.S,SARAVANAN.S,BALASUBRAMANIAN.S,HARI BALAKRISHNAN.G,ATHIKUMAR KUDUMBAR.B,GUNASEKARAN.P,GURUSAMY.K,CHINNA MAHARAJA.K,SEKAR.C,PARAMASIVAN.S,POUNDURAI.K,PANDIMUNEESWARI.K,PREMKUMAR.K,PONNUSAMY.M,MUNEESWARAN.R,RENGANAYAGALU.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
82,250,348,109,2,0,1,1,223,0,6,0,0,0,1,2,0,3,3,2,0,0,951,0,1,952,0
83,194,243,40,0,0,1,0,128,1,14,0,0,0,0,1,1,1,1,0,0,0,625,0,1,626,0
84,156,202,34,0,0,1,1,75,1,3,0,0,0,0,1,1,2,1,0,0,0,478,0,0,478,0
85,238,170,42,0,0,3,1,156,0,8,1,0,2,0,1,4,0,0,0,0,0,626,0,1,627,0
86,254,198,41,1,0,1,1,158,0,19,0,0,0,0,0,0,0,0,0,0,0,673,0,1,674,0
87,219,117,36,2,0,0,0,87,0,14,0,1,0,1,1,2,2,0,0,0,0,482,0,1,483,0
88,53,130,37,4,0,0,3,47,1,123,0,1,2,1,2,7,1,2,2,1,1,418,0,2,420,0
89,151,327,22,1,0,0,1,46,0,13,0,0,0,1,1,0,2,1,0,1,0,567,0,1,568,0
90,192,290,79,0,1,11,3,230,0,0,1,1,2,0,9,6,0,3,0,0,0,828,0,1,829,0
91,221,193,11,1,0,0,0,98,1,0,2,1,1,0,0,8,5,1,0,1,0,544,0,0,544,0
92,179,75,22,0,0,2,0,83,0,1,0,0,0,0,0,1,0,4,0,0,0,367,0,0,367,0
93,216,166,41,0,0,2,1,78,1,27,0,0,0,1,0,6,0,3,0,0,2,544,0,4,548,0
94,258,141,11,1,0,0,0,76,0,3,0,0,0,1,1,0,2,1,0,0,0,495,0,2,497,0
95,216,189,16,0,0,0,0,68,0,2,0,0,0,0,3,2,1,1,0,0,0,498,0,3,501,0
96,273,313,69,2,0,0,4,266,0,11,0,3,2,2,5,6,4,5,0,0,1,966,0,5,971,0
97,199,393,32,1,1,10,1,127,1,0,0,0,1,1,1,4,1,3,0,0,0,776,0,1,777,0
98,314,126,36,1,0,2,2,122,1,4,1,3,0,2,3,2,2,2,0,0,0,623,0,0,623,0
99,159,295,20,0,0,1,0,106,0,6,0,1,0,0,3,1,1,3,0,0,1,597,0,0,597,0
100,152,128,21,0,0,0,0,91,1,14,0,0,0,0,4,3,3,1,0,0,0,418,0,0,418,0
101,270,229,44,6,2,0,2,203,0,7,1,0,0,1,2,1,3,2,0,1,1,775,0,2,777,0
102,276,324,51,7,1,2,3,236,0,7,0,0,0,0,3,2,0,2,1,0,1,916,0,5,921,0
103,471,113,23,1,0,0,1,112,1,0,0,0,0,0,1,7,6,6,1,0,0,743,0,1,744,0
104,410,58,3,0,0,0,0,61,0,1,0,0,0,0,0,2,1,13,0,0,3,552,0,1,553,0
105,276,324,47,0,2,3,0,201,0,10,0,0,0,1,0,1,1,10,1,0,1,878,0,2,880,0
106,201,173,13,0,0,0,0,116,0,0,0,0,0,0,0,0,1,1,0,0,1,506,0,2,508,0
107,249,182,26,0,0,1,1,243,1,3,0,1,0,0,3,2,2,1,0,0,2,717,0,2,719,0
108,305,179,36,0,0,1,0,142,0,3,0,0,0,0,0,0,3,2,0,0,0,671,0,2,673,0
109,174,245,22,0,0,1,3,156,0,5,0,0,0,1,3,1,2,7,0,0,0,620,0,3,623,0
110,281,140,26,0,0,0,0,102,0,4,0,0,0,0,0,2,2,0,0,0,0,557,0,0,557,0
111,299,192,62,2,1,0,1,270,3,0,0,0,2,0,1,2,1,3,1,0,0,840,0,1,841,0
112,298,211,53,1,1,1,1,245,0,4,0,0,0,0,0,2,1,0,0,0,0,818,0,3,821,0
113,233,152,50,0,0,2,2,257,1,0,0,0,0,0,0,4,2,1,1,0,2,707,0,0,707,0
114,256,144,52,0,0,3,1,230,2,2,0,0,0,1,0,2,4,0,0,0,0,697,0,3,700,0
115,178,185,55,1,0,2,3,403,1,2,0,0,0,2,3,2,1,0,1,0,0,839,0,2,841,0
116,196,149,50,0,0,1,1,266,0,2,0,0,0,1,0,4,2,3,0,0,0,675,0,0,675,0
117,154,272,74,1,0,2,2,303,1,3,0,1,0,0,2,0,2,2,0,0,0,819,0,1,820,0
118,145,231,47,1,0,1,1,207,1,0,0,1,0,0,0,1,1,1,0,0,0,638,0,0,638,0
119,238,283,64,0,0,0,0,288,0,10,0,0,0,1,1,1,1,0,0,0,2,889,0,1,890,0
120,245,242,52,0,1,0,1,253,2,10,0,0,0,1,2,2,3,2,0,1,0,817,0,1,818,0
121,197,154,46,0,0,1,0,234,3,3,0,0,0,0,2,2,1,2,0,0,0,645,0,1,646,0
122,233,133,39,0,0,1,2,238,2,4,1,1,0,0,2,1,1,1,1,0,1,661,0,1,662,0
123,157,131,43,0,0,1,2,295,0,9,0,1,0,1,0,1,1,1,0,2,0,645,0,7,652,0
124,355,223,51,1,0,1,1,280,3,8,0,1,0,0,0,1,0,3,0,0,0,928,0,4,932,0
125,147,186,28,0,0,6,1,166,2,2,0,0,1,0,0,2,5,0,0,0,0,546,0,1,547,0
126,317,129,25,0,0,0,2,173,0,2,0,0,0,0,0,0,0,0,0,0,0,648,0,6,654,0
127,237,287,82,0,0,0,0,235,1,15,0,1,0,0,0,0,1,1,0,0,0,860,0,1,861,0
128,195,168,29,2,0,1,0,242,0,4,0,0,0,0,0,2,0,0,0,0,0,643,0,7,650,0
129,329,122,24,0,0,0,2,232,0,0,0,0,0,0,0,0,1,1,0,0,1,712,0,4,716,0
130,229,90,9,0,0,0,2,102,1,0,0,0,1,0,0,1,1,0,0,0,0,436,0,1,437,0
131,174,66,6,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,4,356,0
132,296,98,37,0,0,3,0,201,0,0,0,1,0,1,0,0,1,1,0,0,1,640,0,2,642,0
133,318,146,34,1,0,2,0,240,0,0,0,1,1,0,0,0,1,0,0,0,0,744,0,2,746,1
134,178,62,6,0,0,1,0,132,0,0,0,1,0,0,0,1,0,1,0,0,0,382,0,4,386,0
135,146,115,19,0,0,0,1,184,1,0,0,0,0,0,0,0,0,1,0,0,0,467,0,4,471,0
136,115,82,20,0,0,1,0,138,0,1,0,0,0,0,0,0,0,0,0,0,1,358,0,0,358,0
137,261,118,22,0,1,1,1,223,0,0,0,0,0,0,0,0,1,1,0,0,0,629,0,3,632,0
138,189,101,36,1,0,1,0,248,0,2,0,0,1,0,0,0,1,2,0,0,0,582,0,1,583,0
139,162,121,20,2,0,5,1,197,0,0,0,0,0,0,0,0,1,1,0,1,0,511,0,1,512,0
140,172,337,28,0,0,2,0,160,0,0,0,1,0,0,0,0,1,0,1,0,0,702,0,1,703,0
141,152,282,35,0,0,2,1,175,0,0,0,0,0,0,0,0,0,2,0,1,0,650,0,0,650,0
142,101,219,15,0,0,0,0,87,0,0,0,0,0,0,1,0,1,1,0,0,0,425,0,0,425,0
143,133,156,17,0,0,0,2,94,0,1,0,1,0,0,0,1,3,1,0,0,0,409,0,0,409,0
144,141,109,9,0,0,0,0,72,0,0,0,2,0,0,1,1,1,0,0,0,0,336,0,1,337,1
145,251,85,17,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,5,449,0
146,97,77,3,1,0,0,0,74,0,1,0,0,0,1,0,0,0,0,0,1,1,256,0,3,259,0
147,117,253,13,0,0,1,1,137,0,0,1,0,0,0,1,1,1,2,0,0,0,528,0,0,528,0
148,214,149,17,0,0,1,3,109,0,0,1,1,0,1,1,2,1,0,0,0,0,500,0,1,501,0
149,198,280,57,0,0,4,1,203,0,23,0,1,1,0,1,0,4,2,0,0,0,775,0,1,776,0
150,118,232,27,0,0,3,0,157,0,0,0,1,0,0,0,0,0,0,0,0,0,538,0,1,539,0
151,144,158,30,0,0,3,0,160,1,0,0,0,0,0,2,1,0,0,0,0,0,499,0,0,499,0
152,121,108,23,0,0,1,1,244,1,1,1,0,0,0,0,1,0,1,0,1,0,504,0,3,507,0
153,122,97,29,1,0,2,0,222,0,0,0,0,0,0,0,2,0,0,1,0,1,477,0,1,478,0
154,ge17 42,180,42,2,0,2,1,318,2,0,0,1,0,1,0,1,2,1,0,0,0,727,0,2,729,0
155,68,111,22,1,0,7,0,164,1,0,0,0,0,1,0,0,0,0,0,0,0,375,0,1,376,0
156,81,315,36,1,1,0,0,221,0,0,0,0,0,3,0,3,0,2,0,0,0,663,0,1,664,0
157,60,211,18,1,0,1,0,128,0,0,0,0,1,0,0,1,1,1,0,0,0,423,0,1,424,0
158,59,314,23,0,0,0,0,164,1,1,0,0,0,0,3,1,0,0,0,1,0,567,0,2,569,0
159,77,247,32,0,0,3,0,194,1,0,0,1,1,0,1,1,3,0,0,0,0,561,0,0,561,0
160,112,206,25,1,0,1,1,192,1,0,0,0,0,1,2,0,0,1,0,1,0,544,0,2,546,0
161,135,175,55,0,0,0,1,138,2,24,0,0,0,0,1,2,1,1,0,0,0,535,0,1,536,0
162,116,232,62,0,0,0,0,202,1,7,1,1,0,0,0,0,0,0,0,0,1,623,0,2,625,0
