Polling Station No,T.M.ANBARASAN,S.SARAVANAN,Y.G.MAHALAKSHMI,J.AGNI SELVARASU,ARAVIND CHANDRASEKAR,B. KALYANARAMKUMAR,S.ROYAPPAN,A.VELUSAMY,N.HARI KRISHNAN,M.HARISH,V.ANBARASAN,A.SARAVANAN,S.SARAVANAN,D.SARAVANAN,R.SARAVANAN,R.SURESH,SENKODI VIJAYALAKSHMI,R.SELVAKUMAR,G.DANIEL ANTONYRAJ,MAHESH KUMAR,G.RAMANAN,K.VELAYUDHAM,M.HARISH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
108,263,104,16,0,0,0,0,1,1,270,1,0,0,0,0,0,0,0,0,0,0,0,6,662,0,1,663,0
109,198,109,41,0,0,0,0,0,2,357,0,0,0,0,0,1,0,0,0,0,0,0,3,711,0,7,718,0
110,146,127,31,0,1,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,4,553,0
111,148,97,28,0,0,0,0,0,0,213,0,0,0,0,0,0,2,0,0,0,0,0,1,489,0,6,495,0
112,207,141,12,0,0,0,0,0,1,305,0,0,0,0,0,1,0,1,0,0,1,0,2,671,0,0,671,0
113,265,107,21,0,0,0,1,0,1,293,0,0,0,0,1,0,1,0,0,0,0,0,3,693,0,0,693,0
114,207,109,20,1,0,0,1,0,1,267,0,0,0,0,0,1,0,0,0,0,0,0,2,609,0,1,610,0
115,55,52,6,0,0,0,0,0,0,82,0,0,0,0,1,0,1,0,0,0,0,0,0,197,0,1,198,0
116,274,112,23,0,0,0,2,0,1,326,0,1,0,0,0,0,2,1,0,0,0,0,1,743,0,3,746,0
117,284,97,32,0,0,0,1,2,1,383,0,0,0,1,0,1,0,0,0,0,0,0,2,804,0,1,805,0
118,207,111,36,1,0,0,1,2,2,303,0,0,0,0,0,0,0,0,0,0,0,0,4,667,0,3,670,0
119,189,92,27,0,2,0,0,0,2,306,0,0,1,0,1,0,0,0,0,0,0,0,0,620,0,4,624,1
120,158,79,20,0,0,0,0,0,1,289,0,0,0,0,1,2,0,0,0,0,0,0,1,551,0,1,552,0
121,188,55,21,0,0,0,0,0,1,234,0,1,0,0,1,0,0,0,0,0,0,0,2,503,0,2,505,0
