Polling Station No,ABDUL HAKEEM K,SUNDAR C,PALANIVEL THIAGA RAJAN,RAMAR PANDI T,SAKKARAVARTHY P,MADHAR BADHURUDEEN,AVADAINATHAN V,GURU KARTHICK T,SALEEM,SIVAPERUMAL V,MANIVANNAN,RAJENDRAN R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
54,29,121,72,0,0,238,1,1,0,1,0,1,464,0,2,466,0
55,16,125,68,1,1,183,1,1,0,0,0,1,397,0,3,400,0
56,16,231,166,0,0,414,0,3,0,0,0,0,830,0,5,835,0
57,32,311,158,2,2,408,1,0,0,0,0,2,916,0,3,919,0
58,32,135,212,0,1,347,1,2,2,0,0,0,732,0,5,737,0
59,19,174,133,1,3,174,2,0,0,3,0,0,509,0,2,511,0
60,25,167,142,0,0,200,2,1,0,0,0,0,537,0,4,541,0
61,21,229,133,1,0,317,0,1,0,0,0,1,703,0,3,706,0
62,40,198,143,2,0,276,0,0,0,0,0,1,660,0,6,666,0
63,9,122,84,0,1,168,0,0,0,0,0,1,385,0,0,385,0
64,32,176,135,2,2,268,1,1,0,0,0,1,618,0,3,621,0
65,39,261,137,1,2,399,0,0,0,0,0,1,840,0,2,842,0
66,25,190,145,2,1,275,1,0,1,0,0,0,640,0,6,646,0
67,29,118,70,0,1,224,0,2,0,1,0,0,445,0,1,446,0
68,12,173,105,0,3,189,0,0,0,0,0,1,483,0,1,484,0
69,37,270,139,3,1,308,1,1,1,0,2,3,766,0,2,768,0
70,24,151,146,0,2,260,0,0,0,2,0,0,585,0,1,586,0
71,14,177,89,2,1,218,0,0,0,1,0,0,502,0,0,502,0
72,34,203,154,3,1,471,2,0,2,0,1,2,873,0,3,876,0
73,12,144,90,2,0,233,0,0,0,0,0,0,481,0,4,485,0
74,13,201,113,0,0,281,0,1,1,0,0,1,611,0,2,613,0
75,18,87,91,2,1,166,1,0,1,0,0,0,367,0,2,369,0
76,9,155,104,1,0,189,0,0,0,1,0,0,459,0,7,466,0
77,35,173,196,0,1,304,0,0,1,0,1,1,712,0,1,713,0
78,31,155,145,0,2,322,1,1,1,0,0,1,659,0,3,662,0
79,22,199,177,1,0,313,1,0,0,0,1,0,714,0,2,716,0
80,18,118,169,1,0,229,0,1,0,0,0,0,536,0,1,537,0
81,7,55,85,0,0,166,1,1,0,0,0,0,315,0,1,316,0
82,20,145,138,2,1,303,0,0,0,0,0,1,610,0,2,612,0
83,17,133,136,1,2,220,0,0,0,0,0,0,509,0,3,512,0
84,10,62,57,0,0,110,1,1,1,0,0,1,243,0,1,244,0
85,20,113,99,1,3,220,1,0,0,0,0,0,457,0,1,458,0
86,33,253,177,4,0,337,3,1,0,0,1,0,809,0,7,816,0
87,17,111,100,0,2,243,0,0,0,0,0,0,473,0,4,477,0
88,29,125,132,1,1,278,0,0,0,1,0,0,567,0,0,567,0
89,22,126,160,2,1,323,0,0,0,0,1,0,635,0,4,639,0
90,36,164,199,2,1,354,0,2,0,0,0,0,758,0,6,764,0
91,25,145,173,1,0,348,3,0,0,0,1,0,696,0,1,697,0
92,20,122,131,0,4,201,0,0,0,0,0,0,478,0,2,480,0
93,10,105,117,0,1,177,1,0,0,0,0,0,411,0,4,415,0
94,16,165,123,0,1,226,0,1,0,0,0,2,534,0,1,535,0
95,17,74,153,1,3,214,0,0,1,0,0,0,463,0,1,464,0
96,28,142,190,1,2,269,1,0,0,0,0,1,634,0,2,636,0
97,21,115,183,2,0,289,0,0,0,0,0,1,611,0,5,616,0
98,24,150,179,2,0,276,0,0,0,0,0,0,631,0,5,636,0
99,29,103,208,1,0,303,0,0,0,0,0,0,644,0,5,649,0
100,22,160,156,0,0,331,3,0,0,0,1,1,674,0,6,680,0
101,26,83,121,0,2,241,1,1,0,0,0,0,475,0,2,477,0
102,18,116,127,0,0,199,0,0,0,0,1,0,461,0,0,461,0
103,21,63,173,0,1,202,0,0,0,0,1,0,461,0,0,461,0
104,29,128,290,0,4,303,0,0,2,0,0,0,756,0,2,758,0
105,20,168,199,1,1,284,0,0,0,0,0,0,673,0,2,675,0
106,19,162,186,1,0,260,0,1,0,0,0,0,629,0,4,633,0
107,38,140,194,0,0,315,0,0,0,1,0,0,688,0,4,692,0
108,24,113,119,1,1,181,0,0,0,0,0,0,439,0,1,440,0
109,19,100,253,2,2,354,2,0,1,0,0,0,733,0,1,734,0
110,30,121,202,1,1,246,1,0,0,0,0,0,602,0,5,607,0
111,24,94,148,0,0,192,0,0,1,1,1,0,461,0,2,463,0
112,20,80,259,0,1,253,0,0,1,0,1,0,615,0,3,618,0
113,40,170,169,0,3,439,2,0,0,1,0,0,824,0,2,826,0
114,26,99,146,2,0,211,0,0,0,1,1,0,486,0,0,486,0
115,26,163,149,0,0,208,1,0,0,0,0,0,547,0,2,549,0
116,14,113,144,2,3,310,1,0,1,0,1,0,589,0,1,590,0
117,30,107,192,1,2,232,0,0,1,1,0,1,567,0,5,572,0
118,17,92,235,0,2,275,1,0,0,1,0,0,623,0,7,630,0
119,17,99,103,2,4,269,0,0,0,0,0,0,494,0,3,497,0
120,36,104,118,0,3,226,2,0,0,0,1,0,490,0,0,490,0
121,29,123,211,0,0,333,1,0,0,0,0,0,697,0,5,702,0
122,15,45,106,0,0,136,0,0,1,0,0,0,303,0,1,304,0
123,26,127,121,1,1,252,1,0,1,1,2,0,533,0,0,533,0
124,23,168,147,1,1,332,4,0,0,0,0,0,676,0,5,681,0
125,10,103,56,0,1,150,0,0,0,0,2,0,322,0,3,325,0
126,16,79,125,4,0,304,1,0,0,0,0,1,530,0,4,534,0
127,14,163,244,2,2,524,2,0,0,0,0,0,951,0,0,951,0
128,12,137,152,0,0,199,0,1,0,0,0,0,501,0,0,501,0
129,16,100,213,0,1,164,0,0,0,0,1,0,495,0,3,498,0
130,15,84,109,1,0,104,0,0,0,1,0,1,315,0,2,317,0
131,24,148,208,2,0,231,1,0,0,0,0,0,614,0,5,619,0
132,16,176,167,0,1,160,1,0,0,0,2,0,523,0,3,526,0
133,11,116,164,0,2,160,0,0,1,0,1,0,455,0,2,457,0
134,21,107,198,1,9,176,1,0,1,0,0,0,514,0,4,518,0
135,25,166,166,1,1,225,3,0,1,0,0,0,588,0,7,595,0
136,26,140,219,2,1,226,0,0,0,0,0,0,614,0,4,618,0
137,27,163,169,2,2,203,0,0,0,0,0,0,566,0,4,570,0
138,19,87,108,0,1,120,0,0,1,0,0,0,336,0,3,339,0
139,14,132,152,1,1,152,0,1,0,0,0,1,454,0,2,456,0
140,20,141,138,0,0,152,0,0,0,0,0,0,451,0,3,454,0
141,26,71,241,3,0,206,0,0,1,0,0,0,548,0,1,549,0
142,17,68,366,1,2,324,0,0,1,0,0,0,779,0,5,784,0
143,18,92,287,1,0,281,0,0,4,0,0,0,683,0,0,683,0
144,21,90,229,0,1,295,0,0,1,0,0,0,637,0,3,640,0
145,9,73,387,1,1,282,0,2,3,0,2,0,760,0,3,763,0
146,29,103,185,0,4,204,0,0,0,0,0,0,525,0,4,529,0
147,15,139,186,1,2,202,0,0,0,0,0,0,545,0,2,547,0
148,17,107,87,1,2,139,0,0,1,0,0,0,354,0,2,356,0
149,36,151,227,0,2,294,0,1,0,0,0,2,713,0,4,717,0
150,17,88,121,1,0,130,1,0,0,0,0,0,358,0,4,362,0
151,12,61,123,1,0,110,0,0,0,0,0,0,307,0,3,310,0
152,23,131,341,3,0,408,0,2,1,0,1,0,910,0,1,911,0
153,10,61,394,2,0,257,1,0,0,0,0,0,725,0,1,726,0
154,17,68,262,0,1,185,0,0,0,0,0,0,533,0,0,533,0
155,23,103,292,0,2,243,0,0,0,0,1,0,664,0,2,666,0
156,23,100,334,2,1,155,1,0,0,0,1,0,617,0,0,617,0
157,11,81,148,0,0,151,0,0,0,0,0,1,392,0,3,395,0
158,15,34,552,2,1,269,0,0,3,2,1,1,880,0,1,881,0
159,20,133,239,5,0,330,1,0,3,1,0,1,733,0,2,735,0
160,20,61,317,3,1,237,0,0,2,0,0,0,641,0,1,642,0
161,20,83,276,0,1,239,0,0,0,0,0,0,619,0,2,621,0
162,51,116,327,1,1,300,1,0,1,0,0,0,798,0,2,800,0
163,12,38,358,1,0,234,1,0,4,1,0,0,649,0,5,654,0
164,6,44,321,2,0,188,0,0,1,1,0,0,563,0,1,564,0
165,19,110,208,1,1,232,0,0,1,0,0,0,572,0,3,575,0
166,24,102,320,0,2,350,1,0,0,0,1,0,800,0,2,802,0
167,15,51,165,2,0,256,0,0,1,0,1,0,491,0,0,491,0
168,24,160,157,2,1,303,0,1,1,0,2,0,651,0,2,653,0
169,10,62,132,0,0,106,0,0,0,1,0,0,311,0,0,311,0
170,18,98,172,1,1,309,1,0,0,1,1,1,603,0,1,604,0
171,14,24,43,0,0,64,1,0,0,0,0,0,146,0,0,146,0
172,6,14,45,0,0,63,0,1,0,0,0,0,129,0,0,129,0
173,10,24,54,0,0,78,0,0,1,0,0,0,167,0,1,168,0
174,6,15,40,0,0,56,0,0,0,0,0,0,117,0,0,117,0
175,12,120,292,2,0,515,1,1,0,2,0,1,946,0,2,948,0
176,18,112,211,4,4,398,1,0,1,1,0,0,750,0,5,755,0
177,17,122,193,3,2,426,0,1,0,0,0,0,764,0,2,766,0
178,12,100,218,3,2,385,1,0,0,0,1,0,722,0,3,725,0
179,22,53,286,9,0,286,0,2,0,0,0,0,658,0,1,659,0
180,12,100,233,1,2,195,0,1,0,0,1,0,545,0,2,547,0
181,17,175,199,1,1,322,2,0,0,0,0,1,718,0,1,719,0
182,15,205,142,0,2,275,0,0,0,0,0,0,639,0,0,639,0
183,16,136,144,0,0,178,1,0,0,0,0,0,475,0,2,477,0
184,17,112,124,0,1,174,1,1,0,0,2,0,432,0,0,432,0
185,22,141,164,0,0,243,0,2,1,0,0,0,573,0,7,580,0
186,34,129,169,0,0,136,1,0,0,0,0,1,470,0,2,472,0
187,16,124,105,2,0,131,0,0,1,0,0,1,380,0,1,381,0
188,17,122,157,0,6,147,1,0,0,0,0,0,450,0,1,451,0
189,12,94,83,0,1,158,1,0,1,0,0,0,350,0,2,352,0
190,10,137,99,1,0,139,0,0,2,0,0,1,389,0,5,394,0
191,9,100,74,0,1,106,1,0,0,0,1,1,293,0,2,295,0
192,32,233,183,0,1,250,0,0,0,1,0,0,700,0,3,703,0
193,15,200,128,1,0,181,2,1,0,0,0,0,528,0,6,534,0
194,30,128,161,0,0,148,0,0,0,0,1,0,468,0,3,471,0
195,18,59,92,0,0,139,0,1,1,0,0,0,310,0,2,312,0
196,12,181,100,1,2,130,1,0,0,0,0,0,427,0,4,431,0
197,23,194,155,0,0,190,1,1,1,0,0,0,565,0,2,567,0
198,32,242,128,2,1,229,0,0,0,0,2,3,639,0,2,641,0
199,8,124,45,0,0,83,0,0,0,2,1,0,263,0,4,267,0
200,11,124,66,0,0,165,0,0,0,0,0,1,367,0,4,371,0
201,11,167,35,0,0,112,0,1,0,0,0,0,326,0,3,329,0
202,26,184,164,0,0,247,1,0,1,0,0,0,623,0,4,627,0
203,22,213,118,2,1,226,0,2,1,0,0,0,585,0,6,591,0
204,5,115,70,0,1,122,0,0,0,0,0,1,314,0,0,314,0
205,29,288,110,1,1,233,0,0,0,0,0,0,662,0,4,666,0
206,20,215,147,2,2,244,2,1,1,0,0,2,636,0,3,639,0
207,24,188,226,0,2,327,0,0,0,0,0,0,767,0,5,772,0
208,29,150,138,3,2,214,0,0,1,1,0,2,540,0,2,542,0
209,21,120,197,0,3,171,0,0,0,0,0,1,513,0,1,514,0
210,25,141,236,0,1,231,0,1,0,0,0,0,635,0,1,636,0
211,20,206,174,1,0,164,1,1,0,0,0,0,567,0,1,568,0
212,16,121,199,0,3,127,0,0,0,1,0,0,467,0,2,469,0
213,6,38,563,2,2,130,1,0,1,0,0,0,743,0,3,746,0
214,24,94,391,0,1,212,0,1,0,0,0,0,723,0,4,727,0
215,23,254,166,1,0,288,0,0,0,0,0,2,734,0,1,735,0
216,23,219,132,1,1,321,0,0,1,0,0,0,698,0,1,699,0
217,24,155,127,0,1,241,0,0,0,0,0,0,548,0,2,550,0
218,29,157,174,2,1,323,2,0,0,0,0,0,688,0,6,694,0
219,17,143,92,2,0,113,0,0,0,0,0,0,367,0,6,373,0
220,9,163,73,0,0,142,0,1,0,0,1,1,390,0,2,392,0
221,14,143,96,0,2,108,0,0,0,0,0,1,364,0,3,367,0
222,20,120,100,2,0,138,0,1,0,0,1,0,382,0,3,385,0
223,15,143,89,1,0,197,1,1,0,0,0,0,447,0,2,449,0
224,20,174,168,1,3,332,0,0,0,1,0,1,700,0,4,704,0
225,22,125,132,1,0,205,3,0,0,0,0,0,488,0,4,492,0
226,30,202,206,2,1,329,1,1,0,0,1,0,773,0,1,774,0
227,36,167,214,2,4,361,1,0,2,0,0,0,787,0,2,789,0
228,22,161,127,2,2,263,0,0,0,1,0,0,578,0,1,579,0
229,21,84,85,1,0,167,1,0,0,0,3,1,363,0,1,364,0
230,23,95,132,0,1,274,2,0,0,0,0,0,527,0,6,533,0
231,15,128,171,1,1,313,0,0,0,1,0,0,630,0,4,634,0
232,23,197,182,0,0,315,0,0,0,2,1,1,721,0,1,722,0
233,21,118,124,4,1,228,2,0,0,2,0,1,501,0,3,504,0
234,14,119,143,1,1,277,2,0,0,0,0,1,558,0,3,561,0
235,20,99,184,0,2,172,0,0,0,1,0,0,478,0,3,481,0
236,21,143,195,1,3,241,0,0,0,0,0,0,604,0,3,607,0
237,14,88,137,1,1,175,0,0,0,0,0,0,416,0,5,421,0
238,20,88,188,0,0,191,3,0,0,1,0,2,493,0,2,495,0
239,23,80,152,3,1,160,0,0,0,0,0,0,419,0,1,420,0
240,16,129,163,1,0,199,0,0,0,1,1,0,510,0,1,511,0
241,34,137,251,1,0,370,1,0,1,1,0,0,796,0,5,801,0
242,42,192,189,1,3,340,4,0,2,0,2,0,775,0,1,776,0
243,39,167,227,0,4,382,0,0,0,0,1,0,820,0,4,824,0
244,13,108,112,2,3,317,0,0,0,1,4,1,561,0,0,561,0
245,4,84,89,4,1,296,1,1,2,0,0,1,483,0,3,486,0
246,16,143,169,3,1,483,0,1,0,0,0,0,816,0,1,817,0
247,9,50,519,1,1,271,0,0,0,0,1,0,852,0,0,852,0
248,21,156,277,1,0,235,0,0,0,0,1,1,692,0,3,695,0
249,6,36,494,2,1,160,0,0,0,0,1,1,701,0,5,706,0
250,14,9,367,0,0,101,0,0,0,0,0,0,491,0,1,492,0
251,8,11,402,0,1,80,0,0,0,0,0,0,502,0,2,504,0
252,2,15,364,0,1,79,0,0,0,0,1,0,462,0,4,466,0
253,17,40,144,0,1,107,0,0,0,0,0,0,309,0,0,309,0
