Polling Station No,Polling Station No.,NIASSUH A .DEMAHA AJAHK,T .NAHTANIMAS,.MAVISAMARAP .B.P.V,N .IHTOJAKAN.RD,K .JARIMOOB,T .HSEMAR,R .IVAR,B .HSERUS,V .JARAVLES,A .RAKAVIHD,R .UHTUMIHCTAN,HBARPADNAKINAM C .U N,.RAKNAHSEENAM .G.M,S .UHTUMIRAM,V .NAGURUM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
233,233,28,387,218,292,0,0,1,0,0,0,0,1,2,2,3,934,0,4,938,0
234,234,21,343,286,277,0,0,0,0,1,0,0,1,0,1,3,933,0,2,935,0
235,235,13,289,253,279,2,1,0,0,1,0,0,2,0,0,2,842,0,2,844,0
236,236,18,319,376,124,2,2,0,2,1,0,0,1,2,4,6,857,0,1,858,0
237,237,13,373,384,156,0,0,1,0,1,0,0,1,1,1,2,933,0,1,934,0
238,238,17,257,251,189,0,2,1,0,1,1,0,2,1,1,6,729,0,3,732,0
239,239,2,441,385,131,3,0,0,1,1,1,0,0,1,1,2,969,0,0,969,0
240,240,4,381,400,93,0,1,0,1,0,0,0,0,0,0,1,881,0,1,882,0
241,241,10,210,233,194,2,0,0,0,0,0,0,0,3,5,3,660,0,3,663,0
242,242,27,244,167,175,1,0,0,0,0,0,0,0,1,1,1,617,0,1,618,0
243,243,20,406,309,197,1,0,3,0,0,0,1,0,1,2,2,942,0,3,945,0
244,244,13,348,350,193,1,0,0,0,0,1,0,2,1,1,7,917,0,2,919,0
245,245,35,323,166,209,0,0,2,0,0,2,0,0,0,4,5,746,0,1,747,0
246,246,21,351,114,138,0,0,0,0,0,0,0,0,0,1,1,626,0,0,626,0
247,247,12,211,125,119,0,0,0,0,0,0,0,1,0,1,0,469,0,0,469,0
248,248,38,264,165,180,1,1,1,0,0,0,0,3,0,3,3,659,0,0,659,0
249,249,20,432,307,186,0,1,0,2,0,0,1,1,2,1,5,958,0,1,959,0
250,250,3,143,94,34,0,0,0,0,0,0,0,0,0,0,1,275,0,0,275,0
251,251,33,272,181,174,0,0,0,0,0,1,0,1,0,1,2,665,0,0,665,0
252,252,22,397,226,226,0,0,0,0,0,0,1,2,2,4,5,885,0,0,885,0
253,253,26,147,203,154,0,0,0,0,1,1,0,1,0,1,2,536,0,0,536,0
254,254,33,197,132,168,1,0,1,0,0,0,0,0,1,0,3,536,0,0,536,0
255,255,12,473,308,205,0,0,1,1,0,1,0,1,0,2,3,1007,0,1,1008,0
256,256,33,285,316,252,1,1,0,0,1,0,0,2,1,0,3,895,0,1,896,0
257,257,31,239,108,135,0,0,0,0,0,0,0,0,0,0,0,513,0,0,513,0
258,258,21,160,269,185,0,2,1,0,0,0,0,0,0,1,0,639,0,2,641,0
259,259,18,148,198,138,1,1,0,0,0,0,0,0,0,0,0,504,0,4,508,0
260,260,43,319,234,208,0,2,0,0,3,1,1,1,2,0,1,815,0,5,820,0
261,261,18,278,115,147,0,0,0,0,1,0,0,1,0,0,0,560,0,0,560,0
262,262,24,242,288,125,0,1,1,2,0,0,1,1,0,0,1,686,0,0,686,0
263,263,13,172,57,91,0,0,0,0,0,0,0,0,0,1,2,336,0,0,336,0
264,264,18,454,29,99,1,0,0,0,0,0,0,0,0,0,3,604,0,0,604,0
265,265,30,184,183,120,0,0,0,1,0,0,0,0,0,0,0,518,0,2,520,0
266,266,27,443,348,229,0,0,1,1,1,0,1,0,3,1,5,1060,0,2,1062,0
267,267,54,389,182,181,1,0,0,0,0,0,3,1,1,1,5,818,0,2,820,0
268,268,34,253,305,119,0,0,0,0,0,0,2,0,2,1,2,718,0,1,719,0
269,269,58,462,247,270,0,0,0,0,0,0,0,1,2,0,4,1044,0,1,1045,0
270,270,43,305,114,179,1,1,0,0,0,0,0,0,1,0,2,646,0,3,649,0
271,271,21,194,143,128,0,0,0,0,0,0,0,2,0,0,2,490,0,0,490,0
272,272,23,189,165,237,1,0,0,1,0,0,0,2,0,2,2,622,0,1,623,0
273,273,43,341,377,146,0,0,0,1,0,0,1,2,0,4,1,916,0,2,918,0
274,274,18,376,220,246,4,0,0,0,1,0,0,2,1,0,1,869,0,3,872,0
275,275,34,299,321,237,0,0,7,0,1,0,1,4,3,4,1,912,0,1,913,0
276,276,6,161,342,133,1,0,0,0,0,0,0,0,0,1,0,644,0,0,644,0
277,277,6,235,172,140,0,0,2,0,0,0,0,0,0,0,1,556,0,0,556,0
278,278,16,215,269,203,1,0,0,0,0,0,0,0,2,1,1,708,0,5,713,0
279,279,12,144,203,104,0,0,0,0,0,0,0,0,2,0,1,466,0,0,466,0
280,280,26,327,190,279,0,0,2,0,0,0,0,1,0,0,0,825,0,2,827,0
281,281,52,187,239,151,0,1,10,0,0,1,1,0,2,3,2,649,0,1,650,0
282,282,37,256,366,208,0,0,1,0,0,0,0,0,1,1,2,872,0,1,873,0
283,283,29,186,283,188,0,0,1,1,0,0,0,1,2,1,1,693,0,3,696,0
284,284,6,126,168,93,1,0,0,0,0,0,0,1,1,0,1,397,0,0,397,0
285,285,33,352,315,290,1,2,1,0,0,2,1,0,0,0,0,997,0,3,1000,0
286,286,40,328,174,276,1,0,7,0,0,1,0,3,0,1,3,834,0,4,838,0
287,287,31,279,269,251,0,0,0,1,0,0,1,2,1,3,5,843,0,1,844,0
288,288,25,498,132,130,1,0,0,0,0,0,0,0,0,1,2,789,0,2,791,0
289,289,37,275,246,262,1,2,0,1,0,1,1,2,2,1,2,833,0,1,834,0
290,290,25,151,138,226,0,0,0,0,0,0,0,0,0,0,0,540,0,1,541,0
291,291,20,128,159,141,0,0,0,0,0,0,0,0,1,0,1,450,0,2,452,0
292,292,17,265,238,257,0,0,0,0,0,0,0,1,0,0,1,779,0,1,780,0
293,293,20,134,234,225,1,0,1,0,0,0,0,1,0,1,3,620,0,0,620,0
294,294,24,229,144,243,0,0,2,2,0,0,0,0,0,0,0,644,0,2,646,0
295,295,26,183,201,203,0,0,0,0,1,1,0,1,0,1,3,620,0,2,622,0
296,296,32,250,199,260,0,0,0,0,1,0,0,1,0,1,3,747,0,3,750,0
