Polling Station No,ASWINI B,KALAIVANAN POONDI K,CHANDRASEKARAN GOVI,KANTHAN A,THIYAGARAJAN .M,VEERAMANI V,MUTHARASAN S,SAHUL HAMEED M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
262,10,475,10,1,1,130,1,2,630,0,5,635,0
263,29,356,34,1,2,136,2,3,563,0,3,566,0
264,19,395,66,0,0,156,1,5,642,0,3,645,0
265,43,272,90,0,1,250,3,1,660,0,4,664,0
266,25,300,74,0,0,221,2,0,622,0,2,624,0
267,32,352,120,1,3,219,2,1,730,0,1,731,0
268,9,497,6,0,0,90,1,4,607,0,4,611,0
269,17,364,27,1,0,128,2,1,540,0,2,542,0
270,14,441,9,0,0,77,1,2,544,0,2,546,0
271,15,277,49,0,0,106,1,4,452,0,0,452,0
272,17,252,78,1,0,163,0,1,512,0,3,515,0
273,15,189,56,3,2,229,0,3,497,0,2,499,0
274,33,419,58,1,0,184,0,8,703,0,6,709,0
275,20,566,4,3,2,105,0,3,703,0,2,705,0
276,8,614,2,0,0,90,0,9,723,0,1,724,0
277,12,550,4,0,0,80,0,1,647,0,3,650,0
278,41,331,65,2,2,277,1,2,721,0,2,723,0
279,21,360,40,0,0,147,1,1,570,0,3,573,0
280,17,427,4,0,1,90,0,3,542,0,1,543,0
281,49,319,45,1,4,284,3,4,709,0,3,712,0
282,14,365,30,0,0,75,0,4,488,0,2,490,0
283,8,297,36,0,0,119,0,1,461,0,3,464,0
284,16,342,20,0,0,133,0,1,512,0,1,513,0
285,49,418,110,3,2,296,2,3,883,0,2,885,0
286,27,277,141,0,1,285,0,3,734,0,1,735,0
287,45,195,77,1,2,210,2,2,534,0,5,539,0
288,29,209,70,3,4,322,1,4,642,0,5,647,0
289,39,357,158,2,3,345,1,5,910,0,4,914,0
290,22,282,90,2,5,210,2,4,617,0,1,618,0
291,13,246,129,1,3,173,0,0,565,0,1,566,0
292,58,402,112,1,7,376,2,4,962,0,3,965,0
293,16,199,76,3,0,198,0,0,492,0,1,493,0
294,56,360,76,4,4,312,1,4,817,0,3,820,0
295,20,221,106,2,2,235,1,2,589,0,4,593,0
296,41,232,102,1,1,260,0,0,637,0,3,640,0
297,50,311,115,3,5,331,4,5,824,0,6,830,0
298,47,314,162,3,6,260,0,6,798,0,3,801,0
299,34,311,64,1,1,184,0,1,596,0,2,598,0
300,39,450,82,0,0,230,1,0,802,0,1,803,0
301,20,298,137,2,1,163,0,3,624,0,2,626,0
302,33,183,182,1,1,150,1,1,552,0,0,552,0
303,34,344,182,1,2,270,1,3,837,0,4,841,0
304,64,458,123,1,4,313,4,1,968,0,3,971,0
305,49,322,67,1,1,194,1,0,635,0,3,638,0
306,59,324,94,4,4,409,2,3,899,0,4,903,0
307,51,386,129,2,3,252,0,4,827,0,0,827,0
308,57,460,150,6,2,302,2,5,984,0,6,990,0
309,34,386,91,3,1,303,0,3,821,0,6,827,0
310,41,445,86,1,1,282,2,3,861,0,2,863,0
311,47,346,60,0,3,161,2,0,619,0,2,621,0
312,77,324,264,5,4,326,2,1,1003,0,3,1006,0
313,44,442,171,1,1,213,1,0,873,0,2,875,0
314,45,429,114,4,7,391,5,5,1000,0,2,1002,0
315,14,309,44,1,4,177,2,2,553,0,2,555,0
316,63,429,147,1,2,270,0,0,912,0,5,917,0
317,18,362,78,0,1,166,1,2,628,0,0,628,0
318,21,276,62,0,1,129,1,2,492,0,1,493,0
319,21,206,76,2,0,187,1,3,496,0,4,500,0
320,20,232,103,0,2,209,0,2,568,0,1,569,0
321,43,257,171,0,0,206,1,0,678,0,3,681,0
322,17,246,109,3,2,194,0,0,571,0,3,574,0
323,65,387,123,2,3,223,2,4,809,0,0,809,0
324,31,228,202,1,2,197,2,2,665,0,4,669,0
325,64,197,80,1,0,185,0,2,529,0,3,532,0
326,36,307,117,1,0,207,1,5,674,0,8,682,0
327,23,194,61,2,0,134,0,2,416,0,1,417,0
