Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
263,193,20,221,1,0,131,1,0,0,1,0,1,1,1,571,0,0,571,0
264,68,7,173,2,0,66,0,0,0,0,0,0,1,0,317,0,0,317,0
265,100,6,233,1,0,95,0,0,0,0,0,0,1,0,436,0,1,437,0
266,208,21,187,0,0,175,7,0,0,1,0,0,0,0,599,0,2,601,0
267,219,28,199,1,0,201,15,1,0,0,0,0,0,0,664,0,3,667,0
268,257,16,254,0,1,214,2,0,0,2,0,0,0,2,748,0,4,752,0
269,298,19,203,0,1,182,2,0,1,0,1,0,1,0,708,0,6,714,0
270,6267,12,91,2,0,126,0,0,0,0,0,0,1,0,499,0,1,500,0
271,195,11,218,2,0,113,0,0,0,0,1,0,3,0,543,0,2,545,0
272,435,19,233,1,1,127,0,0,0,0,0,1,4,1,822,0,2,824,0
273,252,28,78,0,0,117,3,0,0,1,0,1,0,0,480,0,0,480,0
274,395,20,186,1,2,238,58,0,0,0,0,2,0,1,903,0,7,910,0
275,357,31,195,3,3,280,11,0,3,1,0,1,1,1,887,0,2,889,0
276,320,10,197,0,1,177,0,0,0,1,0,0,0,1,707,0,3,710,0
277,246,20,157,0,0,149,7,0,0,0,0,1,0,2,582,0,2,584,0
278,216,12,149,0,1,103,2,1,0,0,1,1,0,1,487,0,3,490,0
279,268,12,160,0,0,107,1,0,0,1,0,3,2,1,555,0,5,560,0
280,336,11,229,0,0,136,3,0,0,0,0,0,0,2,717,0,0,717,0
281,341,30,175,1,0,162,1,0,0,1,0,0,1,0,712,0,2,714,0
282,519,44,212,2,1,160,1,1,1,0,1,0,4,0,946,0,5,951,0
283,399,33,176,3,0,167,0,0,0,0,1,1,0,0,780,0,4,784,0
284,431,26,170,1,0,100,1,1,0,0,0,0,0,0,730,0,2,732,0
285,241,6,102,0,0,88,1,0,0,0,0,0,1,1,440,0,2,442,0
286,396,28,230,3,0,183,1,0,1,0,0,1,1,0,844,0,3,847,0
287,296,26,116,0,1,190,2,0,0,1,0,0,0,1,633,0,1,634,0
288,290,28,158,3,1,164,0,0,0,2,0,0,0,1,647,0,2,649,0
289,207,24,167,0,0,107,0,1,0,0,0,0,1,0,507,0,1,508,0
290,220,30,195,2,1,205,2,1,0,0,0,1,1,0,658,0,2,660,0
291,400,9,93,0,1,120,4,0,0,0,0,0,1,0,628,0,1,629,0
292,256,17,139,2,1,164,3,0,0,0,0,0,0,0,582,0,3,585,0
293,277,20,128,1,1,126,3,0,0,0,1,0,0,1,558,0,2,560,0
294,238,35,258,1,0,183,1,1,0,0,0,0,1,0,718,0,1,719,0
295,258,28,129,0,0,214,0,0,1,0,0,0,0,1,631,0,4,635,0
296,342,36,151,0,2,192,2,0,0,1,0,0,3,1,730,0,2,732,0
297,258,22,127,1,0,151,2,0,0,0,0,0,0,0,561,0,3,564,0
298,299,29,126,1,1,169,0,0,0,0,1,0,0,1,627,0,1,628,0
299,347,23,110,0,1,206,2,0,0,0,0,0,0,0,689,0,4,693,0
300,373,33,202,1,1,157,2,0,0,0,0,1,0,0,770,0,6,776,0
301,305,35,214,0,0,200,3,0,0,2,0,0,2,0,761,0,7,768,0
302,396,36,170,2,4,233,0,0,0,0,1,0,1,1,844,0,4,848,0
303,381,29,228,1,0,156,2,0,0,1,0,0,1,0,799,0,7,806,0
304,221,8,339,0,1,135,1,0,0,0,0,0,1,1,707,0,7,714,0
305,471,25,232,0,0,176,0,0,0,1,0,1,0,0,906,0,7,913,0
306,157,14,90,0,0,84,2,0,0,0,0,0,0,0,347,0,2,349,0
307,236,22,183,1,1,132,5,1,1,0,0,0,0,2,584,0,11,595,0
308,361,20,140,0,2,256,0,0,0,0,0,0,2,0,781,0,3,784,0
309,298,24,165,0,0,209,3,0,1,0,0,1,0,0,701,0,4,705,0
310,185,9,239,0,0,77,0,0,0,0,0,0,2,0,512,0,1,513,0
311,313,20,164,0,0,113,0,0,0,0,1,1,0,0,612,0,2,614,0
312,201,33,177,5,1,102,1,1,0,0,0,1,1,0,523,0,2,525,0
313,108,5,247,1,0,55,0,0,0,0,0,1,0,0,417,0,1,418,0
314,450,33,256,3,2,195,0,0,0,0,0,1,0,1,941,0,7,948,0
315,7291,19,147,1,0,128,1,0,0,0,1,2,1,2,593,0,3,596,0
316,393,19,217,0,1,192,3,0,0,0,0,1,1,1,828,0,0,828,0
317,358,19,230,0,1,169,17,0,0,1,0,1,0,1,797,0,1,798,0
318,350,38,243,3,1,210,17,1,1,0,0,0,0,2,866,0,6,872,0
319,310,15,157,0,0,111,5,0,0,0,0,0,1,1,600,0,4,604,0
320,287,11,145,3,0,99,8,0,1,0,1,0,1,0,556,0,4,560,0
321,273,11,131,0,1,97,6,0,0,1,0,3,2,0,525,0,1,526,0
322,201,11,61,0,1,80,0,0,0,0,1,0,0,0,355,0,0,355,0
323,282,28,177,1,0,167,2,0,0,0,0,1,1,2,661,0,4,665,0
324,241,20,108,0,0,143,0,1,0,2,0,0,0,1,516,0,3,519,0
325,379,50,243,0,0,182,2,0,0,0,1,1,1,1,860,0,2,862,0
326,292,17,172,0,1,153,1,0,0,1,1,1,2,1,642,0,4,646,0
327,303,36,113,1,2,178,0,0,0,1,0,1,0,1,636,0,1,637,0
328,293,28,119,2,0,147,1,0,0,1,0,0,0,0,591,0,1,592,0
329,284,18,107,1,2,103,0,0,1,0,0,1,1,0,518,0,0,518,0
330,240,24,168,1,1,113,0,1,0,0,0,0,1,2,551,0,1,552,0
331,335,24,151,2,0,139,1,0,1,0,0,0,2,0,655,0,2,657,0
332,412,43,194,1,0,187,2,0,0,0,2,0,0,0,841,0,9,850,0
333,282,28,175,1,0,175,1,0,1,0,1,0,1,0,665,0,0,665,0
334,397,15,166,1,0,143,8,0,1,0,0,0,1,0,732,0,4,736,0
335,458,22,273,1,0,144,7,0,0,0,0,1,1,0,907,0,2,909,0
336,252,7,175,1,0,178,4,0,0,0,1,2,1,0,621,0,3,624,0
337,392,31,202,3,1,240,9,0,0,1,0,2,1,0,882,0,0,882,0
338,298,35,181,3,2,191,1,0,0,2,0,0,0,0,713,0,7,720,0
339,396,32,170,0,1,243,3,0,0,0,0,2,3,1,851,0,2,853,0
340,529,47,228,0,0,238,0,0,0,0,1,0,1,1,1045,0,4,1049,0
341,348,25,239,3,1,170,0,0,0,1,1,0,4,1,793,0,4,797,0
342,377,25,244,0,0,228,3,0,0,2,0,1,1,1,882,0,8,890,0
343,211,13,120,0,1,97,0,0,0,0,0,0,0,0,442,0,1,443,0
344,216,6,106,1,0,67,1,0,0,0,0,0,1,0,398,0,4,402,0
