Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
87,190,16,126,0,1,280,4,0,0,0,1,0,0,0,0,2,1,0,1,0,622,0,0,622,0
88,334,26,101,2,1,239,3,0,0,0,1,0,0,0,0,4,5,0,0,0,716,0,1,717,0
89,225,25,252,2,0,427,1,1,0,0,1,1,2,0,0,3,1,0,0,0,941,0,1,942,0
90,332,18,114,0,2,240,1,1,0,0,0,0,0,0,0,1,0,0,0,0,709,0,0,709,0
91,245,25,161,1,3,339,3,0,0,0,0,0,0,0,0,0,1,0,0,0,778,0,4,782,0
92,200,22,221,2,2,248,1,0,0,0,0,0,0,0,0,4,1,0,0,0,701,0,1,702,0
93,270,15,96,1,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,583,0
94,325,33,157,2,1,364,1,0,0,1,0,0,0,1,0,0,0,0,0,0,885,0,6,891,0
95,185,32,161,1,2,285,9,3,0,0,1,0,0,1,0,1,0,0,0,0,681,0,1,682,0
96,177,18,98,1,1,252,12,1,0,1,0,0,0,0,0,1,1,1,0,0,564,0,4,568,0
97,204,32,298,0,0,373,4,0,0,0,0,0,2,0,3,0,0,0,1,1,918,0,2,920,0
98,152,23,188,1,1,259,11,0,1,0,0,0,1,1,1,1,2,0,1,0,643,0,3,646,0
99,203,92,181,2,1,234,0,0,0,0,0,0,1,2,0,1,0,0,0,0,717,0,0,717,0
100,157,47,195,0,1,303,1,0,0,0,0,1,0,0,0,0,2,0,0,0,707,0,1,708,0
101,192,46,195,0,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,1,641,0
102,175,10,137,1,1,190,0,0,0,0,1,1,0,0,0,0,0,0,0,0,516,0,1,517,0
