Polling Station No,ABIRAMI. D,SARAVANAKUMAR. T,MAHENDRAN. I,VELLAIPANDI. V,AYYAPPAN. P,VIJAY. M,KIRANYA. S,DHANASEKARAN. T,THIAGARAJAN. O. V,THIRUMOORTHY. A,PRAVEENA. S,MUTHU. N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,14,231,82,0,22,184,1,0,0,2,1,2,539,0,1,540,0
39,29,324,134,2,36,136,1,1,2,3,1,2,671,0,3,674,0
40,66,224,307,2,16,211,1,2,0,0,2,4,835,0,6,841,0
41,50,246,267,2,66,187,0,0,0,2,1,1,822,0,2,824,0
42,61,218,284,1,29,311,0,2,1,2,1,1,911,0,5,916,0
43,17,127,143,3,14,155,2,0,0,0,1,0,462,0,1,463,0
44,52,129,212,3,23,190,2,2,0,1,0,2,616,0,2,618,0
45,42,117,164,2,32,260,1,1,2,2,0,0,623,0,2,625,0
46,34,125,177,1,34,292,0,0,0,0,0,0,663,0,1,664,0
47,28,173,142,1,38,276,2,0,1,1,0,0,662,0,3,665,0
48,54,191,222,1,120,359,1,1,2,2,4,1,958,0,2,960,0
49,45,236,85,1,67,166,0,1,0,0,0,2,603,0,3,606,0
50,25,178,129,1,25,173,1,0,1,0,3,1,537,0,1,538,0
51,40,95,225,2,39,196,0,0,2,1,0,0,600,0,3,603,0
52,53,221,195,1,60,217,2,0,2,1,2,1,755,0,4,759,0
53,32,126,196,3,66,108,1,0,1,0,0,1,534,0,1,535,0
54,33,168,154,2,10,207,1,0,0,1,0,0,576,0,0,576,0
55,60,252,125,6,41,207,1,0,0,1,1,2,696,0,1,697,0
56,26,110,136,2,9,242,1,0,0,1,0,2,529,0,2,531,0
57,37,174,271,1,24,206,0,1,1,2,0,1,718,0,2,720,0
58,36,173,266,2,17,254,0,0,1,1,1,0,751,0,2,753,0
59,53,221,156,0,18,254,1,0,1,0,0,0,704,0,4,708,0
60,65,193,222,0,34,275,2,0,1,1,1,1,795,0,4,799,0
61,29,201,95,3,6,207,2,1,0,0,1,0,545,0,2,547,0
62,59,143,85,1,28,149,0,1,0,0,0,1,467,0,2,469,0
63,47,154,86,0,20,209,1,0,0,0,0,0,517,0,2,519,0
64,28,173,150,1,26,224,0,1,1,1,0,0,605,0,2,607,0
65,34,167,164,0,47,208,0,0,0,0,0,2,622,0,0,622,0
66,28,217,177,0,23,231,0,0,0,0,0,0,676,0,6,682,0
67,60,199,189,0,39,284,2,0,1,0,2,0,776,0,1,777,0
68,48,302,206,0,31,230,1,0,2,0,2,2,824,0,1,825,0
69,38,118,176,1,8,118,0,0,0,0,0,0,459,0,1,460,0
70,30,125,193,1,5,105,0,0,0,0,0,0,459,0,2,461,0
71,41,97,153,0,66,153,0,0,1,0,0,1,512,0,2,514,0
72,37,149,244,1,51,212,0,0,0,1,1,0,696,0,1,697,0
73,46,204,155,1,30,208,1,0,0,0,0,1,646,0,2,648,0
74,45,294,158,0,22,208,0,0,0,0,0,0,727,0,0,727,0
75,29,102,132,0,11,140,1,0,0,1,0,0,416,0,2,418,0
76,23,74,133,0,9,152,0,0,1,0,0,0,392,0,0,392,0
77,39,113,170,0,24,172,0,1,1,0,0,0,520,0,3,523,0
78,15,240,119,1,16,222,1,0,2,1,1,0,618,0,2,620,0
79,60,117,213,3,62,242,0,0,2,0,0,1,700,0,4,704,0
80,47,159,290,2,67,245,1,0,1,0,0,0,812,0,3,815,0
81,23,82,173,0,18,162,1,1,0,0,0,0,460,0,1,461,0
82,37,132,238,5,12,218,0,1,3,0,0,0,646,0,2,648,0
83,47,149,232,1,78,325,2,0,1,0,1,1,837,0,5,842,0
84,46,133,183,0,29,185,0,0,0,0,0,1,577,0,5,582,0
85,48,162,265,2,38,329,0,0,0,0,0,0,844,0,2,846,0
86,43,164,195,3,74,221,0,0,3,0,0,0,703,0,1,704,0
87,39,192,201,0,25,192,0,0,0,0,1,0,650,0,1,651,0
88,27,265,195,2,10,297,0,0,0,0,1,1,798,0,6,804,0
89,53,182,225,1,35,240,1,5,2,0,0,0,744,0,2,746,0
90,42,182,200,0,16,176,2,1,1,1,0,1,622,0,1,623,0
91,32,120,148,1,27,230,1,1,0,0,0,1,561,0,1,562,0
92,55,130,182,2,25,261,1,0,0,0,1,0,657,0,4,661,0
93,43,187,181,2,10,217,0,2,2,0,1,2,647,0,1,648,0
94,21,82,107,2,16,193,2,1,0,0,0,1,425,0,1,426,0
95,38,163,114,2,40,303,2,1,4,0,2,1,670,0,2,672,0
96,30,237,190,2,74,241,3,1,2,2,1,3,786,0,2,788,0
97,28,173,96,0,29,191,1,0,0,1,0,0,519,0,1,520,0
98,47,268,261,2,69,226,2,0,0,0,0,0,875,0,1,876,0
99,39,278,120,2,27,196,1,1,1,0,0,1,666,0,3,669,0
100,48,130,172,4,78,196,0,1,0,1,1,0,631,0,0,631,0
101,47,142,186,4,74,128,1,0,1,2,1,3,589,0,1,590,0
102,26,169,179,1,30,181,0,0,2,2,0,0,590,0,2,592,0
103,35,106,81,1,45,153,3,0,1,2,0,1,428,0,2,430,0
104,24,130,119,1,50,111,0,0,1,2,0,0,438,0,0,438,0
105,53,162,295,2,128,294,0,0,2,1,1,1,939,0,4,943,0
106,24,51,141,2,84,127,0,1,0,0,1,0,431,0,1,432,0
107,22,179,259,1,44,194,1,0,1,0,1,0,702,0,2,704,0
108,24,173,252,0,37,151,0,0,2,0,2,1,642,0,1,643,0
109,60,240,221,5,66,260,0,1,1,0,0,0,854,0,1,855,0
110,23,89,146,4,30,166,0,0,2,0,2,0,462,0,0,462,0
111,46,167,328,5,15,207,1,0,1,1,0,1,772,0,4,776,0
112,26,208,259,2,57,167,1,0,1,0,0,1,722,0,0,722,0
113,17,213,182,1,54,193,1,0,0,0,1,1,663,0,0,663,0
114,20,202,183,4,53,192,0,1,3,1,3,2,664,0,0,664,0
115,27,107,77,3,43,158,2,1,1,1,1,2,423,0,1,424,0
116,59,193,183,1,29,216,2,2,1,1,3,1,691,0,3,694,0
117,27,279,183,2,96,240,1,0,0,0,0,0,828,0,2,830,0
118,51,129,178,0,91,215,3,1,1,2,6,2,679,0,5,684,0
119,27,57,148,2,35,116,0,0,0,0,0,0,385,0,0,385,0
120,45,195,291,1,59,258,0,0,1,0,2,0,852,0,1,853,0
121,33,176,180,2,38,174,1,1,3,4,2,3,617,0,0,617,0
122,67,196,104,2,13,206,1,0,2,2,1,0,594,0,1,595,0
123,20,41,211,2,76,148,3,0,1,0,0,0,502,0,1,503,0
124,44,60,201,3,102,171,2,0,3,1,2,0,589,0,1,590,0
125,8,19,47,1,30,75,1,0,0,1,0,0,182,0,0,182,0
126,37,59,233,1,86,325,2,0,1,0,1,2,747,0,0,747,0
127,101,106,329,4,79,380,0,1,5,0,4,4,1013,0,3,1016,0
128,41,155,317,8,93,312,2,1,2,3,6,3,943,0,2,945,0
129,41,105,270,3,45,160,1,0,2,0,2,2,631,0,0,631,0
130,60,60,196,1,126,126,0,0,0,2,0,0,571,0,4,575,0
131,74,132,329,1,105,207,0,0,3,0,1,0,852,0,2,854,0
132,33,25,83,1,28,102,0,0,1,1,1,0,275,0,1,276,0
133,50,136,275,2,53,242,0,0,1,1,0,0,760,0,1,761,0
134,77,81,194,1,300,141,0,0,0,2,0,0,796,0,2,798,0
135,75,186,284,2,66,260,2,0,2,1,1,0,879,0,0,879,0
136,64,223,232,3,60,154,2,1,0,1,0,0,740,0,1,741,0
137,11,85,74,1,23,31,0,0,0,0,0,0,225,0,0,225,0
138,58,199,127,1,46,118,0,0,1,1,2,0,553,0,1,554,0
139,34,172,163,3,68,100,0,0,2,0,0,1,543,0,1,544,0
140,29,144,118,1,17,68,0,1,0,0,1,0,379,0,1,380,0
141,54,203,197,1,48,183,0,2,0,1,1,0,690,0,0,690,0
142,41,46,56,0,30,83,1,0,0,0,0,0,257,0,1,258,0
143,58,187,177,1,113,141,2,0,0,3,0,1,683,0,0,683,0
144,48,130,171,3,95,149,1,0,0,0,1,1,599,0,3,602,0
145,51,194,129,7,174,136,0,0,3,0,0,0,694,0,1,695,0
146,43,140,114,1,95,104,0,0,0,0,0,0,497,0,2,499,0
147,48,84,262,2,174,102,3,0,0,0,2,0,677,0,2,679,0
148,75,188,297,3,238,213,0,1,0,1,0,2,1018,0,4,1022,0
149,95,135,154,2,131,206,1,0,0,1,2,0,727,0,4,731,0
150,52,202,183,1,93,247,0,0,1,0,2,1,782,0,3,785,0
151,23,74,132,3,67,182,1,0,0,1,0,2,485,0,2,487,0
152,18,89,47,6,20,116,0,0,0,1,1,1,299,0,2,301,0
153,36,148,182,2,35,184,3,1,1,1,0,1,594,0,1,595,0
154,23,179,100,3,32,100,0,0,0,0,0,0,437,0,1,438,0
155,53,246,142,2,41,297,0,0,0,2,0,2,785,0,2,787,0
156,38,219,141,3,25,214,0,1,0,0,1,0,642,0,2,644,0
157,36,233,173,0,28,258,0,1,0,0,0,0,729,0,1,730,0
158,53,214,279,1,25,214,0,0,1,1,0,1,789,0,0,789,0
159,45,222,198,0,25,193,0,2,0,1,1,2,689,0,0,689,0
160,32,203,103,0,38,145,0,0,0,0,0,1,522,0,0,522,0
161,43,203,332,2,88,185,1,1,2,0,0,1,858,0,0,858,0
162,46,214,383,2,45,172,0,0,1,3,1,0,867,0,2,869,0
163,51,168,197,3,57,164,0,0,0,0,0,0,640,0,1,641,0
164,73,210,167,3,55,125,1,1,1,0,1,0,637,0,3,640,0
165,65,254,256,4,89,147,0,0,2,0,1,3,821,0,7,828,0
166,38,169,114,1,37,72,1,0,0,0,1,0,433,0,3,436,0
167,34,230,148,3,65,157,1,2,3,0,0,2,645,0,1,646,0
168,32,134,108,0,35,124,0,0,1,1,1,0,436,0,4,440,0
169,19,194,243,3,61,110,0,0,1,1,1,0,633,0,0,633,0
170,27,203,193,4,82,202,1,0,1,0,1,2,716,0,3,719,0
171,65,210,148,0,57,187,2,0,3,1,1,0,674,0,2,676,0
172,20,123,122,1,29,148,0,1,1,0,2,2,449,0,1,450,0
173,35,101,188,3,38,150,1,1,0,1,0,1,519,0,2,521,0
174,37,234,235,3,38,315,0,0,3,0,1,0,866,0,8,874,0
175,31,169,139,1,59,226,1,0,1,2,0,1,630,0,0,630,0
176,97,181,260,5,54,192,0,0,0,1,3,1,794,0,3,797,0
177,24,184,252,0,24,207,0,0,2,1,2,1,697,0,2,699,0
178,33,197,218,0,43,230,0,0,1,0,1,1,724,0,4,728,0
179,6,55,55,0,9,75,1,0,0,0,0,0,201,0,1,202,0
180,15,119,100,2,17,92,2,0,0,0,1,0,348,0,0,348,0
181,49,255,265,2,46,265,1,0,0,0,0,0,883,0,0,883,0
182,47,217,234,0,38,223,0,0,0,2,0,1,762,0,5,767,0
183,39,220,303,2,29,186,0,0,0,0,0,0,779,0,2,781,0
184,30,179,238,0,24,140,1,0,2,0,1,0,615,0,0,615,0
185,96,248,223,1,58,207,1,2,2,1,1,1,841,0,2,843,0
186,40,264,230,3,52,257,1,1,0,0,0,1,849,0,0,849,0
187,90,207,214,0,47,239,0,2,1,2,2,3,807,0,2,809,0
188,50,115,159,3,62,202,1,0,0,1,0,1,594,0,1,595,0
189,34,123,103,1,24,129,1,1,3,0,0,1,420,0,1,421,0
190,51,149,174,3,37,230,1,0,3,2,0,0,650,0,1,651,0
191,24,95,79,2,23,127,1,0,0,0,0,0,351,0,1,352,0
192,61,125,290,1,113,183,0,0,0,1,0,0,774,0,1,775,0
193,32,103,125,4,29,145,1,0,0,0,0,0,439,0,2,441,0
194,41,178,318,0,42,241,1,0,1,0,2,0,824,0,3,827,0
195,14,47,44,0,17,93,0,0,0,0,0,0,215,0,1,216,0
196,64,151,284,1,42,182,1,1,0,0,4,0,730,0,1,731,0
197,41,159,289,2,27,251,2,1,0,1,1,2,776,0,5,781,0
198,74,242,173,4,64,249,0,0,2,1,1,0,810,0,3,813,0
199,49,206,204,2,67,211,0,1,3,1,0,0,744,0,0,744,0
200,30,218,108,0,60,172,0,1,0,2,0,0,591,0,3,594,0
201,27,186,62,0,20,156,0,0,2,2,1,0,456,0,1,457,0
202,84,354,213,3,36,257,1,0,0,1,2,1,952,0,4,956,0
203,73,219,168,1,50,206,2,0,1,1,1,0,722,0,1,723,0
204,65,121,154,1,57,161,0,1,1,0,0,0,561,0,1,562,0
205,39,209,235,2,39,214,0,0,2,0,2,1,743,0,0,743,0
206,27,128,148,0,20,121,0,1,2,0,1,0,448,0,2,450,0
207,55,78,161,1,20,141,1,0,0,0,0,0,457,0,0,457,0
208,63,181,173,2,67,197,1,0,2,2,0,2,690,0,2,692,0
209,58,146,142,4,42,215,1,3,1,1,2,0,615,0,6,621,0
210,40,74,151,1,14,198,1,0,0,1,1,0,481,0,3,484,0
211,64,145,155,3,42,185,1,0,1,0,0,1,597,0,2,599,0
212,32,110,120,3,17,81,0,1,0,0,0,0,364,0,2,366,0
213,42,99,194,2,45,201,0,1,0,1,1,2,588,0,0,588,0
214,30,130,127,3,53,136,0,2,0,1,2,0,484,0,1,485,0
215,13,93,143,2,21,152,0,0,1,1,3,2,431,0,2,433,0
216,24,86,164,1,34,226,2,0,1,1,1,1,541,0,0,541,0
217,60,134,222,0,54,175,1,1,1,1,2,1,652,0,0,652,0
218,43,190,147,3,18,183,1,0,0,2,1,1,589,0,0,589,0
219,47,160,225,5,35,137,0,0,0,0,0,0,609,0,3,612,0
220,11,71,105,3,16,146,4,1,4,0,1,1,363,0,3,366,0
221,51,147,448,1,30,159,0,0,1,1,1,0,839,0,0,839,0
222,35,141,168,5,42,232,1,0,14,0,1,1,640,0,0,640,0
223,26,176,122,2,60,246,1,0,6,1,0,1,641,0,0,641,0
224,36,205,212,5,38,279,1,1,2,1,2,0,782,0,7,789,0
225,56,212,161,2,46,233,0,0,3,0,1,1,715,0,2,717,0
226,41,241,289,2,113,224,2,0,0,6,4,1,923,0,1,924,0
227,58,128,343,0,205,168,0,1,1,1,2,0,907,0,3,910,0
228,34,200,188,1,27,180,1,0,2,1,4,1,639,0,2,641,0
229,41,197,230,2,23,266,1,1,0,0,1,0,762,0,5,767,0
230,31,175,149,0,30,138,0,0,1,1,0,1,526,0,0,526,0
231,63,200,311,6,65,286,2,0,1,2,1,1,938,0,6,944,0
232,45,180,255,5,69,308,2,1,0,0,0,1,866,0,2,868,0
233,24,172,235,4,67,200,0,2,1,0,1,2,708,0,1,709,0
234,73,105,325,4,30,431,1,2,5,1,0,0,977,0,3,980,0
235,97,152,115,2,15,346,1,1,3,0,1,4,737,0,4,741,0
236,26,58,70,0,8,124,1,2,0,1,0,4,294,0,2,296,0
237,23,326,77,1,12,192,1,1,0,1,0,3,637,0,2,639,0
238,23,198,198,3,18,279,0,0,0,2,4,1,726,0,1,727,0
239,56,396,149,3,54,239,1,1,5,2,1,2,909,0,6,915,0
240,38,227,197,2,64,240,3,0,4,0,2,2,779,0,3,782,0
241,83,249,176,3,27,162,1,2,0,2,4,1,710,0,1,711,0
242,84,268,210,6,49,222,2,0,1,1,1,0,844,0,7,851,0
243,65,320,173,1,26,186,0,1,2,1,3,2,780,0,3,783,0
244,82,170,121,1,77,139,1,3,2,3,3,3,605,0,3,608,0
245,63,169,114,3,76,178,1,0,0,0,2,3,609,0,0,609,0
246,33,221,219,2,50,171,0,0,0,0,2,2,700,0,0,700,0
247,13,268,275,1,50,272,0,1,0,0,0,0,880,0,0,880,0
248,16,163,364,1,13,199,0,0,1,1,1,0,759,0,1,760,0
249,31,161,196,3,83,332,0,1,1,1,0,0,809,0,2,811,0
250,34,236,198,0,60,139,1,0,0,2,1,0,671,0,3,674,0
251,26,120,216,1,40,196,0,0,1,0,4,1,605,0,2,607,0
252,63,384,136,2,100,234,2,1,0,1,1,0,924,0,0,924,0
253,34,199,263,2,80,115,0,0,3,1,0,0,697,0,4,701,0
254,30,129,176,0,79,127,0,0,0,1,0,0,542,0,0,542,0
255,16,60,110,1,28,122,1,0,0,0,0,2,340,0,0,340,0
256,46,230,298,2,89,219,0,2,1,3,3,0,893,0,2,895,0
257,18,91,121,0,23,63,0,0,0,0,0,0,316,0,0,316,0
258,45,261,258,4,146,308,0,0,0,0,1,0,1023,0,3,1026,0
259,28,225,183,4,84,115,2,0,0,0,1,2,644,0,4,648,0
260,41,280,176,4,150,213,1,0,2,2,0,1,870,0,1,871,0
261,68,145,238,3,81,222,0,1,1,0,2,2,763,0,2,765,0
262,18,97,248,1,36,108,1,0,0,0,0,0,509,0,3,512,0
263,39,181,177,2,76,113,0,0,0,1,0,1,590,0,1,591,0
264,18,152,139,1,56,297,0,1,1,0,0,0,665,0,3,668,0
265,27,139,192,3,81,176,0,0,0,0,1,0,619,0,3,622,0
266,18,48,170,5,33,140,0,0,0,0,0,0,414,0,2,416,0
267,42,117,224,2,67,278,0,0,0,0,1,2,733,0,0,733,0
268,11,186,163,2,14,115,0,1,0,2,1,0,495,0,2,497,0
269,6,142,192,2,44,92,1,0,0,0,1,1,481,0,0,481,0
270,209,274,160,9,33,202,5,2,1,2,4,0,901,0,3,904,0
271,85,206,187,4,48,185,1,0,0,1,1,0,718,0,2,720,0
272,47,234,145,0,103,192,3,1,2,1,2,5,735,0,4,739,0
273,11,47,82,1,50,49,3,0,0,1,0,0,244,0,0,244,0
274,53,170,214,4,111,125,1,0,2,3,0,1,684,0,1,685,0
275,28,104,137,2,76,98,1,1,2,1,3,0,453,0,1,454,0
276,34,186,148,4,58,140,0,0,4,0,1,2,577,0,0,577,0
277,125,193,150,11,23,269,1,1,2,0,2,2,779,0,6,785,0
278,8,183,180,3,115,104,0,1,0,1,1,0,596,0,1,597,0
279,13,125,165,2,110,130,0,1,2,0,0,0,548,0,2,550,0
280,16,50,150,0,59,205,0,0,0,5,0,1,486,0,1,487,0
281,23,80,237,2,69,233,1,1,0,1,0,0,647,0,0,647,0
282,49,194,118,15,47,146,1,0,0,1,4,1,576,0,2,578,0
283,43,188,158,5,89,286,3,2,0,2,4,2,782,0,1,783,0
284,68,123,198,2,49,225,2,2,0,2,1,2,674,0,0,674,0
285,75,228,297,1,68,135,1,1,0,0,2,1,809,0,4,813,0
286,28,140,186,2,51,181,0,0,0,3,0,1,592,0,1,593,0
287,49,214,159,0,52,182,0,1,0,0,0,0,657,0,3,660,0
288,29,199,252,1,60,237,1,1,1,1,1,2,785,0,4,789,0
289,41,168,186,3,57,241,2,0,0,0,0,0,698,0,0,698,0
290,27,195,264,2,63,218,0,0,0,1,1,2,773,0,7,780,0
291,33,241,219,5,47,238,2,1,0,4,2,1,793,0,8,801,0
292,65,175,297,2,98,174,0,0,3,1,4,1,820,0,6,826,0
293,46,304,219,8,79,159,2,1,1,0,0,1,820,0,2,822,0
294,43,168,202,3,12,230,0,1,1,1,4,1,666,0,1,667,0
295,39,198,333,6,12,264,1,1,3,2,3,0,862,0,3,865,0
296,44,149,219,1,16,280,0,0,1,0,1,2,713,0,7,720,0
297,40,182,201,1,30,168,0,1,1,0,0,2,626,0,1,627,0
298,11,77,148,0,11,130,0,2,0,0,0,0,379,0,0,379,0
299,80,255,143,5,37,271,4,0,1,2,4,3,805,0,6,811,0
300,49,135,317,3,48,188,0,0,1,0,1,1,743,0,5,748,0
301,178,340,117,10,30,203,3,2,4,2,3,3,895,0,4,899,0
302,38,243,128,5,38,187,3,0,3,2,1,0,648,0,3,651,0
303,47,198,184,2,33,149,1,1,3,0,4,0,622,0,1,623,0
304,50,294,54,2,36,157,0,0,1,0,1,1,596,0,4,600,0
305,66,431,57,2,41,183,3,0,1,1,2,4,791,0,4,795,0
306,91,193,30,0,32,174,0,0,0,0,2,0,522,0,2,524,0
307,13,108,105,0,8,85,0,0,0,0,0,0,319,0,0,319,0
308,40,243,69,2,30,118,2,2,0,1,0,2,509,0,1,510,0
309,44,213,222,2,66,256,1,1,1,4,5,1,816,0,2,818,0
310,65,163,313,2,170,201,0,0,0,1,0,1,916,0,2,918,0
311,69,151,245,2,71,141,1,0,0,1,2,0,683,0,1,684,0
312,28,190,229,2,46,186,1,1,0,0,1,1,685,0,0,685,0
313,9,134,132,1,23,75,1,0,0,0,1,0,376,0,1,377,0
314,59,303,245,4,65,315,1,1,0,0,2,2,997,0,3,1000,0
315,68,313,266,3,14,185,1,0,1,2,1,1,855,0,3,858,0
316,26,131,143,1,7,122,0,0,0,0,2,0,432,0,0,432,0
317,43,233,205,3,13,109,0,3,2,1,1,1,614,0,2,616,0
318,50,140,211,1,33,122,1,2,0,2,0,1,563,0,1,564,0
319,5,63,83,2,22,100,1,0,0,3,2,0,281,0,0,281,0
320,36,183,191,3,35,180,0,1,0,0,1,6,636,0,5,641,0
321,22,133,270,6,26,203,1,2,2,1,1,2,669,0,0,669,0
322,15,211,162,0,60,213,1,1,0,2,2,5,672,0,5,677,0
323,10,75,222,1,25,134,1,1,1,0,1,0,471,0,1,472,0
324,22,72,263,1,51,117,0,1,2,0,0,1,530,0,2,532,0
325,55,126,175,1,29,148,1,0,2,1,1,0,539,0,4,543,0
326,57,332,147,0,19,262,2,0,1,1,2,2,825,0,2,827,0
327,64,146,245,2,113,126,1,0,3,3,0,2,705,0,2,707,0
328,14,265,200,1,9,134,0,0,0,2,2,1,628,0,2,630,0
329,47,254,247,4,36,221,1,1,2,0,3,4,820,0,2,822,0
330,52,249,135,2,31,175,0,0,1,3,4,2,654,0,1,655,0
331,34,122,144,0,13,126,2,0,1,1,0,0,443,0,6,449,0
332,46,230,270,2,27,177,0,2,0,2,1,0,757,0,4,761,0
333,21,123,107,0,30,40,0,0,0,1,2,1,325,0,0,325,0
334,61,207,133,5,29,128,0,0,0,1,0,0,564,0,1,565,0
335,84,95,155,6,18,143,2,0,3,1,0,1,508,0,4,512,0
336,54,78,274,1,38,220,2,0,0,0,1,0,668,0,2,670,0
337,32,124,124,2,28,96,0,0,1,0,0,1,408,0,1,409,0
338,55,179,154,2,30,201,1,0,2,2,1,3,630,0,0,630,0
339,20,112,98,0,30,131,0,0,0,0,0,1,392,0,1,393,0
340,69,147,148,2,64,244,0,4,1,0,0,4,683,0,4,687,0
341,94,170,175,6,43,215,1,2,1,2,1,0,710,0,0,710,0
342,19,111,102,1,5,102,0,0,0,0,0,0,340,0,2,342,0
