Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
152,297,281,17,0,0,311,0,0,0,1,0,5,0,0,0,912,0,1,913,0
153,300,324,33,1,0,293,7,0,0,2,0,18,0,0,1,979,0,7,986,0
154,186,242,21,0,0,172,9,2,0,0,1,3,0,1,0,637,0,1,638,0
155,236,338,50,0,0,246,3,0,0,0,0,32,1,0,2,908,0,4,912,0
156,126,128,8,0,1,115,1,0,0,0,1,2,0,0,0,382,0,1,383,0
157,132,104,4,0,0,72,0,0,0,0,1,0,0,0,2,315,0,2,317,0
158,303,232,25,1,0,141,13,0,0,0,0,12,0,0,1,728,0,0,728,0
159,293,269,20,1,0,191,16,0,0,0,0,9,0,0,0,799,0,5,804,0
160,226,206,8,1,1,182,2,1,0,0,0,3,0,0,2,632,0,2,634,0
161,167,167,10,0,0,141,2,1,0,0,1,6,0,1,1,497,0,1,498,0
162,285,236,26,0,0,225,2,0,0,1,0,7,1,1,1,785,0,2,787,0
163,125,132,12,0,0,97,1,0,0,0,0,1,0,2,1,371,0,5,376,0
164,282,281,38,0,1,221,1,0,0,0,0,0,0,4,1,829,0,4,833,0
165,173,323,25,0,0,186,2,0,0,0,1,0,0,2,1,713,0,0,713,0
166,334,196,20,0,0,159,9,1,0,0,0,2,0,0,2,723,0,2,725,0
167,183,206,31,1,0,200,2,0,0,0,0,0,0,0,0,623,0,3,626,0
168,282,276,36,0,0,254,7,0,0,0,0,4,0,0,0,859,0,5,864,0
169,169,270,23,0,1,241,0,1,0,0,1,5,0,0,1,712,0,3,715,0
170,214,261,14,2,1,275,0,0,0,0,0,2,0,1,3,773,0,1,774,0
171,275,260,36,0,2,373,3,0,0,0,0,0,0,0,1,950,0,2,952,0
172,227,207,38,0,2,366,11,0,0,0,0,0,1,0,1,853,0,7,860,0
173,277,335,39,0,0,251,12,0,0,2,1,62,1,0,3,983,0,1,984,0
174,276,330,27,0,2,315,3,0,2,1,0,4,1,1,4,966,0,10,976,0
175,195,230,31,0,0,128,11,0,0,0,0,4,1,1,1,602,0,2,604,0
176,254,477,52,0,1,269,28,1,0,0,0,0,1,0,2,1085,0,4,1089,0
177,134,228,15,0,0,120,1,1,0,0,0,0,0,0,0,499,0,2,501,0
178,204,162,36,1,0,152,7,0,0,1,0,0,0,0,0,563,0,0,563,0
179,203,287,17,0,1,203,2,0,0,0,0,4,0,1,3,721,0,4,725,0
180,151,192,4,0,2,165,0,0,0,0,0,2,0,0,1,517,0,3,520,0
181,320,344,29,0,0,138,15,0,0,0,0,0,0,0,3,849,0,2,851,0
