Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
85,85,0,18,67,279,0,0,0,0,1,133,0,0,0,0,0,2,0,0,0,2,0,502,0,4,506,0
86,86,0,18,64,300,0,0,0,0,1,136,0,0,0,0,1,0,0,0,0,1,0,521,0,8,529,0
87,87,0,13,42,356,2,1,0,0,0,98,1,0,0,0,0,1,0,0,0,1,0,515,0,4,519,0
88,88,1,27,148,242,2,1,0,0,1,243,3,0,1,0,0,1,0,0,0,1,0,671,0,2,673,0
89,89,1,27,252,231,0,0,0,0,0,352,0,0,0,1,0,1,0,0,2,2,0,869,0,2,871,0
90,90,3,18,201,232,1,0,0,0,1,326,3,0,0,0,0,2,1,0,1,1,0,790,0,5,795,0
91,91,0,6,5,236,1,0,0,0,1,51,0,0,0,0,0,0,0,0,0,1,0,301,0,3,304,0
92,92,0,15,179,161,0,0,0,0,1,296,4,0,1,0,1,1,0,0,0,0,0,659,0,1,660,0
93,93,1,19,41,504,2,0,0,0,0,126,0,2,0,0,1,0,0,0,0,1,0,697,0,6,703,0
94,94,0,30,192,163,1,0,0,2,2,339,0,0,0,0,1,0,0,0,0,0,0,730,0,5,735,0
95,95,0,13,142,143,0,1,0,0,2,241,0,0,0,0,0,1,0,0,1,1,0,545,0,2,547,0
96,96,0,11,158,117,0,0,0,0,0,271,0,0,0,0,1,0,0,0,2,0,0,560,0,7,567,0
97,97,1,10,45,317,1,0,0,0,0,147,0,0,0,1,0,0,0,0,0,1,0,523,0,5,528,0
98,98,1,19,117,218,1,1,1,0,2,318,0,0,1,0,1,0,0,0,1,1,0,682,0,4,686,0
99,99,0,14,87,202,0,0,0,0,0,234,2,0,0,2,0,1,1,0,1,3,0,547,0,2,549,0
100,100,1,22,97,212,0,1,1,0,0,147,0,1,1,2,0,2,0,0,1,0,0,488,0,2,490,0
101,101,0,28,119,244,0,0,0,1,0,229,1,0,0,0,0,0,0,0,0,0,0,622,0,10,632,0
102,102,0,33,124,228,1,0,1,1,0,200,0,0,1,1,0,0,0,0,0,1,1,592,0,2,594,0
103,103,2,22,139,105,2,0,1,0,0,292,2,0,0,0,2,0,0,0,0,0,0,567,0,2,569,0
104,104,0,15,92,78,0,0,0,0,2,236,0,0,0,0,0,0,0,0,0,1,0,424,0,0,424,0
105,105,1,14,204,112,1,0,0,0,0,332,2,2,0,0,1,0,0,0,0,1,0,670,0,3,673,0
