Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
174,621,,,21,138,,,151,,,,,,,,,525,,525,
175,917,,401,25,115,,,214,,,,,,,,,768,,768,
176,836,,177,20,219,,,233,,,,,,,,,,,,
177,,,,,,,,,,,13,14,15,16,17,,,,,
178,919,,183,,285,,,230,,,,,,,,,,,,
179,589,,225,,,,,136,,,,,,,,,24,,3,
180,1003,,,3,,,,322,,,,,,,,,876,,,
181,588,,,,,,,186,,,,,,,,,468,,,
182,547,,,,,,,154,,,,,,,,,453,,,
183,722,,,,,,,229,,,,,,,,,614,,614,
184,698,,,5,,,,259,,,,,,,,,582,,582,
185,555,,,,,,,,,,,,,,,,,,491,
186,1013,,,21,,,,3,,,,,,,,,805,,805,
187,513,,,,100,,,,,,,,,,,,,,419,
188,615,,251,,,,,179,,,,,,,,,549,,549,
189,588,,134,12,4,,,235,,,,,,,,,508,,508,
190,869,,310,30,,,,215,,,,,,,,,748,,748,
191,828,,267,23,138,,,258,,,,,,,,,599,,699,
192,,,,,,,,,11,,13,14,15,16,,,,,,
193,932,,389,22,145,,,217,,,,,,,,,802,,802,
194,748,,202,,238,,,,,,,,,,,,592,,592,
195,807,,425,9,,,,,,,,,,,,,682,,682,
196,677,,292,,,,,,,,,,,,,,595,,595,
197,551,,,,,,,,,,,,,,,,500,,500,
198,660,,3,,,,,,,,,,,,,,541,,,
199,951,,,,,,,,,,,,,,,,796,,,
200,679,,,26,,,,,,,,,,,,,589,,589,
201,,,,,,,0,,,,,,,,,,704,,704,
202,855,,,,,,,,,,,,,,,,1,,728,
203,620,,,,,,,,,,,,,,,,,,529,
204,961,,271,26,146,,,,,,,,,,,,,,,
205,591,,113,21,176,,,156,,,,,,,,,,,478,
206,,,,,,,,,,,13,,15,16,,,,,,
207,1189,,244,26,346,,,299,,,,,,,,,,,956,
208,960,,130,,419,,,167,,,,,,,,,,,,
209,634,,,,119,,,136,,,,,,,,,,,,
210,879,,,11,,,,,,,,,,,,,1,,,
211,571,,,,9,,,3,,,,,,,,,,,,
212,737,,,29,,,,,,,,,,,,,,,627,
213,833,,,,,,,293,,,,,,,,,0,,751,
214,721,,,1,102,,,230,,,,,,,,,,,583,
215,921,,,29,297,,,195,,,,,,,,,703,,703,
216,699,,,,95,,,254,,,,,,,,,556,,556,
217,759,,,,129,,,203,,,,,,,,,,,678,
218,907,,,14,142,,,362,,,,,,,,,759,,759,
219,340,,95,10,49,,,114,,,,,,,,,278,,278,
220,864,,213,20,237,,,240,,,,,,,,,730,,730,
221,,,,,,,,,11,12,13,14,15,16,17,,,,,
222,657,,151,16,154,,,181,,,,,,,,,516,,516,
223,606,,209,,131,,,137,,,,,,,,,507,,507,
224,499,,,,,,,,,,,,,,,,448,,405,
225,475,,8,,3,,,4,,,,,,,,,405,,,
226,781,,179,,,,,,,,,,,,,,636,,636,
227,795,,234,,,,,308,,,,,,,,,587,,687,
228,750,,137,,129,,,253,,,,,,,,,,,611,
229,823,,386,,107,,,188,,,,,,,,,731,,,
230,,,,1,138,,,,,,,,,,,,928,,,
231,807,,249,,1,,,305,,,,,,,,,589,,589,
232,716,,197,,,,,281,,,,,,,,,589,,589,
233,968,,258,,,,,258,,,,,,,,,,,,
234,863,,220,,149,,,286,,,,,,,,,695,,695,
235,938,,229,,131,,,261,,,,,,,,,,,,
236,759,,217,,,,,190,,,,,,,,,509,,509,
237,,,,,,,,,,12,13,,15,16,17,,,,,22
238,608,,155,,128,,,184,,,,,,,,,489,,489,
239,590,,,,89,,,170,,,,,,,,,453,,453,
240,1203,,4,34,126,,,368,,,,,,,,,981,,981,
241,836,,,,113,,,,,,,,,,,,648,,648,
242,912,,313,4,106,,,,,,,,,,,,757,,757,
243,601,,93,,78,,,,,,,,,,,,438,,,
244,593,,134,3,,,,,,,,,,,,,428,,,
245,768,,165,,124,,,1,,,,,,,,,520,,,
246,572,,166,,,,,,,,,,,,,,370,,370,
247,690,,247,14,,,,,,,,,,,,,582,,582,
248,664,,204,,,,,,,,,,,,,,463,,463,
249,1190,,420,21,132,,,,,,,,,,,,907,,907,
250,648,,194,27,115,,,187,,,,,,,,,529,,,
251,997,,412,16,96,,,260,,,,,,,,,815,,815,
252,900,,195,21,278,,,204,,,,,,,,,709,,709,
253,701,,170,,165,,,213,,,,,,,,,571,,,
254,,,,,,,,10,,12,13,,15,,,,,,,
255,534,,,,211,,,143,,,,,,,,,441,,441,
256,1045,,374,22,180,,,268,,,,,,,,,875,,875,
257,582,,91,,223,,,158,,,,,,,,,,,495,
258,522,,80,,203,,,,,,,,,,,,3,,432,
259,640,,182,23,,,,,,,,,,,,,,,514,
260,668,,118,,,,,,,,,,,,,,563,,563,
261,710,,263,,,,,,,,,,,,,,631,,631,
262,713,,242,1,,,,201,,,,,,,,,633,,633,
263,728,,122,,,,,160,,,,,,,,,596,,596,
264,697,,132,,,,,187,,,,,,,,,,,586,
265,1108,,300,29,,,,257,,,,,,,,,,,953,
266,665,,144,,,,,168,,,,,,,,,,,558,
267,7740,,290,,,,,209,,,,,,,,,,,634,
268,562,,203,,,,,143,,,,,,,,,494,,494,
269,,,,,,,,,,12,13,,15,16,,,,,,
270,728,,285,,123,,,186,,,,,,,,,610,,610,
271,1004,,173,21,405,,,209,,,,,,,,,,,832,
272,751,,226,,164,,,204,,,,,,,,,,,639,
273,618,,,1,272,,,118,,,,,,,,,,,512,
274,727,,251,,134,,,205,,,,,,,,,,,622,
275,652,,196,,175,,,153,,,,,,,,,550,,550,
276,1073,,176,,446,,,197,,,,,,,,,880,,880,
277,,,251,,,,,163,,,,,,,,,504,,504,
278,,,1020,,343,,,324,,,,,,,,,1765,193,1958,
279,208984,399,63106,5709,42502,362,443,60477,158,338,275,136,315,401,549,584,175754,193,175947,
