Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
157,161,28,2,278,0,0,0,0,1,251,0,0,0,1,1,1,1,1,2,728,0,4,732,0
158,235,18,2,328,1,0,1,1,1,252,0,0,1,0,0,3,4,0,0,847,0,3,850,0
159,259,16,0,288,4,0,3,0,3,210,0,1,0,1,5,5,8,0,0,803,0,2,805,0
160,262,23,1,348,1,0,0,1,0,306,1,3,0,0,3,1,7,1,0,958,0,6,964,0
161,236,21,2,416,2,1,0,2,2,177,1,0,1,0,0,1,2,0,0,864,0,5,869,0
162,209,13,0,127,0,0,0,1,2,169,1,0,1,0,2,1,2,0,0,528,0,0,528,0
163,125,22,1,177,0,1,0,1,1,180,0,0,2,0,0,0,1,0,2,513,0,0,513,0
164,228,13,0,326,0,0,0,1,3,151,0,0,0,0,1,3,1,2,0,729,0,1,730,0
165,187,14,3,321,3,2,0,1,5,356,0,0,1,0,1,2,2,1,0,899,0,1,900,0
166,208,23,2,280,1,0,2,2,2,334,1,0,0,1,3,4,3,1,2,869,0,2,871,0
167,328,20,3,406,2,0,0,2,3,234,5,0,1,0,1,1,3,0,1,1010,0,4,1014,0
168,273,8,1,161,0,0,0,1,1,110,0,0,0,0,2,1,6,0,1,565,0,1,566,0
169,89,12,1,278,0,0,0,1,0,179,1,0,1,0,1,1,0,1,0,565,0,3,568,0
170,239,23,1,222,0,2,0,2,0,217,0,0,0,0,1,1,3,0,0,711,0,0,711,0
171,134,7,1,217,2,0,0,0,1,142,2,0,0,0,0,1,2,0,1,510,0,3,513,0
172,164,54,2,255,4,0,1,1,0,246,0,0,0,0,1,0,1,0,0,729,0,3,732,0
173,176,21,3,232,4,1,1,3,1,303,5,0,2,2,1,1,4,0,0,760,0,5,765,0
174,143,16,0,194,0,0,1,1,1,219,1,0,0,0,0,2,1,0,0,579,0,2,581,0
175,272,19,2,309,2,0,0,2,1,304,0,0,0,0,1,4,0,1,0,917,0,1,918,0
176,117,33,2,327,0,0,0,5,5,297,1,0,0,0,1,1,1,0,0,790,0,3,793,0
177,358,22,2,202,0,0,1,2,1,319,1,0,0,0,2,2,0,0,0,912,0,5,917,0
178,262,12,0,184,2,0,0,1,2,181,0,0,1,0,0,3,1,0,0,649,0,0,649,0
179,224,43,1,280,2,0,0,2,0,257,4,0,1,0,0,2,1,1,0,818,0,2,820,0
