Polling Station No,K. DEENU,A. RAMU,M. RAJU,C. THANGARAJU,C. DINESH KUMAR,D. VIDHYASAGAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
114,18,57,232,179,2,1,489,0,2,491,0
115,22,133,217,262,3,1,638,0,2,640,0
116,22,130,190,158,1,0,501,0,2,503,0
117,11,151,194,207,1,0,564,0,4,568,0
118,36,145,239,247,1,4,672,0,7,679,0
119,14,228,127,157,2,2,530,0,0,530,0
120,10,114,175,121,3,1,424,0,1,425,0
121,12,111,141,141,0,0,405,0,4,409,0
122,31,197,194,220,3,0,645,0,3,648,0
123,48,71,317,288,2,2,728,0,5,733,2
124,34,192,263,273,1,0,763,0,4,767,0
125,22,104,234,196,1,1,558,0,2,560,0
126,13,100,112,116,2,1,344,0,2,346,0
127,38,272,319,308,2,3,942,0,3,945,0
128,22,124,311,307,5,1,770,0,6,776,0
129,21,75,126,217,2,3,444,0,1,445,0
130,16,110,251,220,4,0,601,0,2,603,0
131,19,58,135,170,2,1,385,0,2,387,0
132,34,74,172,187,0,0,467,0,5,472,0
133,8,124,185,159,3,1,480,0,4,484,0
134,44,124,319,229,5,1,722,0,4,726,0
135,25,110,335,295,7,0,772,0,3,775,0
136,16,66,151,141,3,0,377,0,3,380,0
137,28,126,186,198,3,0,541,0,0,541,0
138,12,47,269,216,2,1,547,0,4,551,0
139,25,119,294,274,1,3,716,0,2,718,0
140,7,29,121,122,0,1,280,0,2,282,0
141,24,73,234,281,11,0,623,0,2,625,0
142,22,74,228,318,7,2,651,0,2,653,0
143,17,56,161,152,1,1,388,0,2,390,0
144,19,139,212,253,0,3,626,0,1,627,0
145,14,239,100,125,0,0,478,0,1,479,0
146,43,129,355,345,3,0,875,0,0,875,0
147,8,125,116,94,0,0,343,0,1,344,0
148,23,155,249,315,3,2,747,0,3,750,0
149,14,95,160,235,1,0,505,0,2,507,0
150,17,136,180,116,1,1,451,0,4,455,0
151,15,158,168,210,2,1,554,0,2,556,0
152,12,167,175,154,2,2,512,0,4,516,0
153,13,118,147,159,4,2,443,0,3,446,0
154,40,102,231,229,3,2,607,0,3,610,0
155,24,215,199,291,5,3,737,0,6,743,0
156,20,200,302,213,3,2,740,0,3,743,0
157,25,185,243,309,4,2,768,0,2,770,0
158,15,119,245,180,3,3,565,0,2,567,0
159,16,130,229,188,0,1,564,0,1,565,0
160,10,292,182,199,0,2,685,0,2,687,0
161,19,177,188,240,1,1,626,0,4,630,0
162,22,125,202,207,1,1,558,0,6,564,0
163,27,195,335,360,3,1,921,0,10,931,0
164,10,96,193,196,2,0,497,0,6,503,0
165,14,105,225,211,1,0,556,0,3,559,0
166,15,84,176,157,0,0,432,0,2,434,0
167,37,137,280,247,3,1,705,0,4,709,0
168,23,93,339,304,3,0,762,0,5,767,0
169,14,203,319,252,0,2,790,0,3,793,0
170,14,111,285,171,2,0,583,0,1,584,0
171,9,70,144,95,3,0,321,0,1,322,0
172,10,120,339,215,3,0,687,0,7,694,0
173,14,84,504,179,3,1,785,0,4,789,0
174,24,146,286,197,5,3,661,0,1,662,0
175,19,109,317,265,5,1,716,0,6,722,0
176,13,85,157,152,0,1,408,0,1,409,0
177,27,165,279,297,2,2,772,0,6,778,0
178,23,115,207,169,3,1,518,0,4,522,0
179,9,46,130,100,3,0,288,0,3,291,0
180,19,114,291,313,5,2,744,0,6,750,1
181,8,72,240,101,1,0,422,0,2,424,0
182,27,124,305,265,3,0,724,0,2,726,0
183,27,109,350,328,2,1,817,0,4,821,0
184,19,137,228,233,5,2,624,0,3,627,0
185,6,57,58,45,0,1,167,0,1,168,0
186,29,226,249,119,1,0,624,0,2,626,0
187,4,76,105,98,1,1,285,0,0,285,0
188,11,75,69,48,1,0,204,0,0,204,0
189,22,143,267,102,2,2,538,0,4,542,0
190,4,208,131,75,1,2,421,0,1,422,0
191,34,289,201,200,5,1,730,0,1,731,0
192,5,42,66,52,2,0,167,0,3,170,0
193,13,89,168,162,5,1,438,0,7,445,0
194,18,104,308,181,3,0,614,0,5,619,0
195,34,222,301,247,2,3,809,0,4,813,0
196,28,141,302,202,1,4,678,0,1,679,0
197,39,267,339,208,3,5,861,0,3,864,0
198,17,190,128,104,2,2,443,0,0,443,0
199,23,101,185,154,4,0,467,0,3,470,0
200,13,78,142,71,0,0,304,0,0,304,0
201,33,169,276,220,1,2,701,0,1,702,0
202,33,118,281,185,6,1,624,0,6,630,0
203,16,70,180,151,2,3,422,0,0,422,0
204,20,126,195,120,6,4,471,0,2,473,0
205,10,83,120,51,0,0,264,0,1,265,0
206,5,40,48,29,1,1,124,0,0,124,0
207,4,85,130,35,3,0,257,0,1,258,0
208,30,165,220,201,1,1,618,0,1,619,0
209,21,223,251,191,7,0,693,0,3,696,0
210,22,290,203,228,5,4,752,0,4,756,0
211,16,202,98,181,0,0,497,0,2,499,0
212,9,216,87,129,1,1,443,0,3,446,0
213,35,325,267,237,2,4,870,0,3,873,0
214,24,201,306,209,3,2,745,0,3,748,0
215,17,251,222,149,3,0,642,0,2,644,0
216,15,319,165,172,3,0,674,0,1,675,0
217,32,245,206,116,2,1,602,0,3,605,0
218,20,163,138,179,0,2,502,0,4,506,0
219,27,200,177,191,6,3,604,0,2,606,0
220,39,103,254,135,4,0,535,0,0,535,0
221,7,62,171,122,2,0,364,0,0,364,0
222,23,159,230,169,2,0,583,0,1,584,0
223,14,207,168,186,1,0,576,0,1,577,0
224,13,332,246,208,2,1,802,0,3,805,0
225,29,172,247,170,4,5,627,0,3,630,0
226,11,154,150,125,1,3,444,0,3,447,0
227,11,182,140,155,3,1,492,0,1,493,0
228,33,194,284,187,2,0,700,0,1,701,1
229,21,161,266,150,2,3,603,0,5,608,0
230,23,130,287,185,5,1,631,0,1,632,0
231,10,58,137,73,2,2,282,0,1,283,0
232,31,97,313,166,4,11,622,0,2,624,0
233,11,107,255,121,3,0,497,0,1,498,0
234,3,71,137,87,1,3,302,0,0,302,0
