Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
112,112,175,300,32,177,2,0,1,0,1,0,0,0,1,689,0,0,0,689
113,113,64,398,19,225,1,0,0,0,0,0,1,0,2,710,2,0,0,712
114,114,280,286,25,257,1,0,0,0,0,2,1,2,3,857,3,0,0,860
115,115,263,133,13,130,1,2,0,0,0,2,1,1,0,546,0,0,0,546
116,116,311,181,24,260,1,0,0,2,0,0,1,1,1,782,1,0,0,783
117,117,45,364,50,224,0,1,0,0,0,1,0,0,3,688,2,0,0,690
118,118,196,182,30,210,1,0,0,0,0,0,1,2,3,625,1,0,0,626
119,119,136,332,45,231,2,0,1,1,0,1,0,3,2,754,1,0,0,755
120,120,74,268,37,165,0,0,0,0,0,0,0,1,2,547,4,0,0,551
121,121,231,179,32,120,1,1,0,0,0,0,0,0,0,564,3,0,0,567
122,122,114,213,57,147,1,0,1,0,0,0,0,1,0,534,4,0,0,538
123,123,141,224,25,205,0,0,0,0,0,2,0,0,1,598,2,0,0,600
124,124,109,274,37,249,0,1,0,1,0,0,1,1,0,673,3,0,0,676
125,125,89,330,66,249,1,0,1,0,1,0,0,1,1,739,1,0,0,740
126,126,71,143,27,125,2,0,0,0,0,0,1,0,0,369,1,0,0,370
127,127,231,221,38,242,0,0,0,0,0,1,1,1,3,738,2,0,0,740
128,128,111,362,69,267,5,2,0,0,2,1,0,0,1,820,1,0,0,821
129,129,55,465,94,244,1,0,0,1,0,0,0,1,0,861,2,0,0,863
130,130,42,344,75,239,1,0,0,0,1,0,0,1,0,703,0,0,0,703
131,131,78,289,30,201,3,0,0,0,1,0,1,0,0,603,3,0,0,606
132,132,151,163,38,207,2,2,0,0,1,0,1,1,2,568,0,0,0,568
133,133,204,118,22,104,0,0,0,0,0,0,0,0,0,448,1,0,0,449
134,134,63,196,28,158,2,0,0,0,1,0,0,0,0,448,1,0,0,449
135,135,238,168,37,210,1,0,0,1,0,2,0,3,0,660,5,0,0,665
136,136,202,231,56,175,1,0,0,0,0,0,0,2,0,667,1,0,0,668
137,137,255,80,24,127,3,1,1,1,0,1,0,0,1,494,0,0,0,494
138,138,220,66,29,181,1,0,0,0,1,0,0,2,0,500,1,0,0,501
139,139,159,78,19,143,0,0,1,0,0,0,0,1,1,402,1,0,0,403
140,140,213,291,49,263,3,0,0,0,0,0,0,2,1,822,4,0,0,826
141,141,37,233,40,155,2,0,1,1,0,0,0,0,0,469,0,0,0,469
142,142,47,200,45,132,0,0,1,0,0,0,1,0,1,427,0,0,0,427
143,143,247,68,21,93,0,0,2,0,2,3,0,0,0,436,2,0,0,438
144,144,258,97,33,244,3,0,1,0,0,1,0,1,0,638,0,0,0,638
145,145,282,96,29,167,3,0,0,0,0,0,0,1,0,578,4,0,0,582
146,146,108,145,21,148,1,0,0,0,0,1,0,1,0,425,0,0,0,425
147,147,84,203,33,154,0,1,0,0,0,0,0,2,0,477,0,0,0,477
148,148,203,253,39,206,0,0,0,0,0,1,1,0,0,703,1,0,0,704
149,149,133,83,44,153,0,0,0,0,0,2,0,0,0,415,0,0,0,415
150,150,85,145,40,178,0,0,0,0,1,0,0,0,1,450,2,0,0,452
151,151,262,109,19,169,1,1,0,0,0,0,0,0,0,561,0,0,0,561
152,152,186,82,18,100,1,0,0,0,5,1,0,0,0,393,4,0,0,397
153,153,205,61,27,157,1,1,0,0,4,2,0,0,0,458,0,0,0,458
154,154,254,83,37,143,0,0,0,0,0,0,0,0,0,517,2,0,0,519
155,155,298,92,24,222,0,1,0,0,2,0,0,0,1,640,5,0,0,645
156,156,266,139,36,168,0,1,0,0,2,2,0,0,3,617,5,0,0,622
157,157,107,91,27,87,1,0,0,0,0,0,1,0,0,314,1,0,0,315
158,158,280,104,45,203,1,0,0,0,1,0,0,4,1,639,4,0,0,643
159,159,325,109,51,194,2,0,1,0,1,0,1,2,0,686,3,0,0,689
160,160,332,115,52,258,2,0,0,1,1,2,0,3,2,768,8,0,0,776
161,161,357,103,24,134,4,0,0,0,0,1,3,0,0,626,4,0,0,630
162,162,234,245,48,197,0,1,0,0,0,0,0,0,1,726,3,0,0,729
163,163,317,145,47,221,2,0,0,0,0,5,2,0,1,740,1,0,0,741
164,164,216,159,30,153,2,0,1,2,1,2,0,0,0,566,2,0,0,568
165,165,159,151,22,214,1,1,0,0,1,2,1,0,0,552,1,0,0,553
166,166,190,60,15,122,1,0,0,0,1,0,0,1,1,391,2,0,0,393
167,167,244,118,27,134,0,0,0,0,0,0,1,1,1,526,1,0,0,527
168,168,211,214,39,217,1,1,1,0,0,1,1,1,2,689,2,0,0,691
169,169,285,125,35,162,3,6,3,3,4,3,4,3,4,640,2,0,0,642
170,170,30,450,24,92,0,0,0,0,0,1,0,0,3,600,1,0,0,601
171,171,20,294,46,298,2,0,2,0,0,0,5,2,0,669,1,0,0,670
172,172,25,200,30,222,1,0,0,0,0,0,2,0,0,480,1,0,0,481
173,173,2,464,23,73,0,0,1,0,0,0,0,0,0,563,0,0,0,563
174,174,2,538,31,80,0,0,0,0,0,0,0,0,0,651,1,0,0,652
175,175,177,232,27,270,3,0,1,0,0,2,2,0,1,715,1,0,0,716
176,176,78,230,20,115,0,1,0,0,0,0,1,2,2,449,3,0,0,452
177,177,28,228,53,154,2,0,0,0,0,0,0,2,1,468,1,0,0,469
178,178,80,286,60,183,1,0,0,0,0,0,0,1,0,611,0,0,0,611
179,179,16,174,43,150,1,0,2,0,0,1,0,0,0,387,2,0,0,389
180,180,50,226,54,192,1,0,0,0,0,0,2,0,0,525,2,0,0,527
181,181,31,354,50,223,1,0,0,1,1,0,0,0,0,661,2,0,0,663
182,182,20,193,40,137,1,0,0,0,0,0,0,0,0,391,0,0,0,391
183,183,47,164,47,162,0,0,0,0,0,0,0,0,0,420,1,0,0,421
184,184,18,188,51,142,1,0,0,0,0,0,0,0,0,400,2,0,0,402
185,185,97,169,43,185,3,0,0,0,0,0,3,0,0,500,0,0,0,500
186,186,111,275,33,191,5,1,0,0,0,1,0,0,1,618,1,0,0,619
187,187,224,153,42,177,0,1,0,1,0,0,1,1,0,600,4,0,0,604
188,188,224,105,29,174,0,1,0,0,0,0,0,0,1,534,2,0,0,536
189,189,206,243,66,240,1,0,0,1,0,0,1,0,0,758,3,0,0,761
190,190,121,254,46,281,0,0,1,1,0,4,2,0,0,710,3,0,0,713
191,191,99,334,59,258,1,0,0,1,0,0,0,1,2,755,5,0,0,760
192,192,171,184,46,160,1,4,0,0,1,0,0,1,0,568,1,0,0,569
193,193,233,178,84,222,3,0,1,2,0,1,0,3,1,728,3,0,0,731
194,194,82,229,65,169,0,1,0,0,0,0,0,0,2,548,4,0,0,552
195,195,42,314,50,206,0,0,0,1,0,0,0,0,0,613,1,0,0,614
196,196,97,223,59,152,1,0,0,0,0,0,0,0,0,532,1,0,0,533
197,197,256,210,72,267,5,1,2,0,0,2,1,0,0,816,3,0,0,819
198,198,90,424,88,245,0,1,0,1,0,2,0,1,1,853,2,0,0,855
199,199,185,77,20,120,0,0,0,0,0,0,1,1,0,404,1,0,0,405
200,200,196,108,26,124,0,0,0,0,0,0,1,1,0,456,3,0,0,459
201,201,62,304,76,186,1,1,0,0,1,1,0,0,3,635,0,0,0,635
202,202,188,212,74,198,2,1,0,1,1,2,1,0,0,680,6,0,0,686
203,203,123,147,24,116,1,0,0,0,0,0,0,0,1,412,1,0,0,413
204,204,41,216,50,146,2,0,0,1,1,3,1,2,2,465,2,0,0,467
205,205,37,212,51,124,1,0,0,1,0,0,0,1,0,427,2,0,0,429
206,206,35,204,45,133,2,0,1,0,0,1,0,1,1,423,1,0,0,424
207,207,38,427,60,241,2,1,0,0,1,0,3,0,0,773,3,0,0,776
208,208,147,235,39,161,2,0,1,0,1,3,0,1,2,592,0,0,0,592
209,209,113,303,41,203,2,1,0,1,1,0,0,0,3,668,0,0,0,668
210,210,370,142,35,190,2,1,0,0,0,0,1,1,0,742,4,0,0,746
211,211,220,144,19,166,1,0,0,0,0,0,0,0,0,550,3,0,0,553
212,212,267,112,19,177,1,0,0,0,1,0,1,1,0,579,3,0,0,582
213,213,127,139,16,106,0,0,0,0,0,0,0,0,1,389,3,0,0,392
214,214,192,118,23,135,2,2,1,0,0,0,0,1,0,474,2,0,0,476
215,215,165,103,24,165,1,0,0,0,0,0,2,0,0,460,1,0,0,461
216,216,57,177,39,144,0,0,0,0,0,4,1,0,0,422,0,0,0,422
217,217,25,192,27,144,0,0,0,0,0,3,0,0,0,391,1,0,0,392
218,218,211,106,18,143,2,0,0,0,0,1,1,0,0,482,1,0,0,483
219,219,270,121,30,147,0,0,1,1,0,6,0,1,0,577,2,0,0,579
220,220,65,152,46,172,2,1,0,0,1,2,2,0,0,443,0,0,0,443
221,221,117,160,39,115,0,0,0,0,1,1,0,1,0,434,3,0,0,437
222,222,83,293,77,166,1,2,1,0,0,0,1,0,0,624,1,0,0,625
223,223,261,169,59,197,1,6,0,1,0,1,0,0,1,696,3,0,0,699
224,224,74,210,73,170,0,3,0,0,0,1,1,0,1,533,0,0,0,533
225,225,69,171,29,126,0,0,0,0,1,0,0,0,0,396,2,0,0,398
226,226,131,104,19,123,1,0,0,0,0,1,0,0,0,379,0,0,0,379
227,227,44,412,58,174,0,0,0,0,0,0,0,0,1,689,3,0,0,692
228,228,38,172,40,114,1,0,0,0,0,1,0,1,1,368,1,0,0,369
229,229,27,284,36,137,0,0,0,2,0,1,3,1,0,491,1,0,0,492
230,230,44,187,23,219,0,0,0,0,1,1,1,0,0,476,0,0,0,476
231,231,65,180,24,146,0,0,0,0,0,0,1,1,0,417,0,0,0,417
232,232,55,174,41,201,3,0,0,0,0,1,1,0,0,476,0,0,0,476
233,233,72,224,27,101,1,0,0,0,0,1,1,0,1,428,2,0,0,430
234,234,83,235,51,182,0,0,0,0,1,1,0,0,0,553,3,0,0,556
235,235,38,266,80,153,0,0,0,1,0,0,0,0,1,539,0,0,0,539
236,236,42,178,31,122,0,1,0,0,0,0,0,0,0,374,1,0,0,375
237,237,19,385,87,241,2,7,0,0,0,1,0,0,0,742,1,0,0,743
238,238,103,360,100,265,2,1,0,1,0,0,1,1,0,834,1,0,0,835
239,239,176,247,78,273,3,4,0,0,1,1,0,1,1,785,1,0,0,786
240,240,58,231,44,216,0,0,0,1,0,0,1,1,1,553,0,0,0,553
241,241,191,137,26,120,0,0,0,0,1,0,0,0,0,475,0,0,0,475
242,242,49,187,35,125,0,0,0,0,0,0,1,1,0,398,1,0,0,399
243,243,21,195,42,109,0,0,0,0,0,0,0,0,1,368,0,0,0,368
244,244,222,234,58,204,0,0,1,0,0,1,1,0,1,722,1,0,0,723
245,245,74,353,105,209,2,2,0,0,0,2,0,2,1,750,3,0,0,753
246,246,69,215,36,146,1,0,0,0,0,1,1,0,0,469,1,0,0,470
247,247,307,86,25,118,0,0,1,0,0,0,0,0,0,537,3,0,0,540
248,248,51,225,84,146,1,0,2,0,1,0,0,0,1,511,0,0,0,511
249,249,33,195,36,87,0,0,0,0,0,1,0,0,0,352,0,0,0,352
250,250,97,253,66,199,1,2,0,0,0,2,0,1,1,622,2,0,0,624
251,251,115,244,67,168,2,0,0,0,0,0,0,0,2,598,1,0,0,599
252,252,72,302,72,207,1,0,0,0,0,1,0,0,2,657,3,0,0,660
253,253,224,182,68,207,2,1,1,0,0,1,2,2,1,691,2,0,0,693
254,254,16,158,22,184,0,0,0,0,2,1,0,0,0,383,1,0,0,384
255,255,41,217,75,186,2,0,0,0,0,1,0,0,0,522,0,0,0,522
256,256,14,134,45,185,1,0,0,0,1,0,1,0,0,381,3,0,0,384
257,257,31,228,70,154,1,1,0,0,0,1,0,0,0,486,1,0,0,487
258,258,56,253,81,120,0,0,0,1,2,0,0,1,0,514,1,0,0,515
259,259,96,317,113,258,1,0,0,0,0,0,0,0,0,785,4,0,0,789
260,260,139,311,79,207,1,1,0,0,0,2,2,1,1,744,2,0,0,746
261,261,226,156,84,228,2,0,0,0,1,2,1,0,0,700,2,0,0,702
262,262,119,153,78,117,2,1,1,0,0,0,0,0,0,471,2,0,0,473
263,263,239,152,52,163,0,1,1,0,1,36,0,0,0,645,2,0,0,647
264,264,258,243,56,230,0,0,0,2,0,15,0,1,2,807,4,0,0,811
265,265,26,167,70,145,1,0,0,0,0,0,1,0,1,411,1,0,0,412
266,266,35,272,44,106,1,1,1,0,0,0,0,1,0,461,2,0,0,463
267,267,343,67,25,88,2,0,0,0,0,1,1,0,1,528,0,0,0,528
268,268,70,257,52,129,0,0,0,2,0,0,1,0,0,511,0,0,0,511
269,269,8,197,17,66,0,0,0,0,0,0,0,0,0,288,1,0,0,289
270,270,95,256,63,162,2,0,0,0,0,2,1,1,1,583,3,0,0,586
271,271,216,169,30,138,3,1,0,0,0,5,0,1,1,564,3,0,0,567
272,272,70,200,38,184,1,0,0,1,0,2,0,1,1,498,4,0,0,502
273,273,72,253,24,140,2,0,0,2,0,1,0,0,1,495,2,0,0,497
274,274,162,192,47,167,2,0,1,3,0,0,0,0,1,575,0,0,0,575
275,275,280,167,50,172,2,0,0,0,0,0,0,1,0,672,2,0,0,674
276,276,6,178,53,246,1,0,0,0,0,2,0,0,0,486,0,0,0,486
277,277,6,116,21,161,0,0,0,0,0,0,0,0,0,304,1,0,0,305
278,278,11,303,59,395,3,0,0,2,1,1,0,1,0,776,0,0,0,776
279,279,8,167,53,257,1,1,0,0,0,0,1,2,0,490,0,0,0,490
280,280,5,198,51,347,1,0,0,1,0,0,1,0,0,604,0,0,0,604
281,281,11,191,44,440,0,0,0,0,0,0,0,0,1,687,0,0,0,687
282,282,7,179,43,401,2,0,1,0,0,0,0,0,0,633,1,0,0,634
283,283,5,253,39,311,3,0,0,0,0,0,0,1,0,612,3,0,0,615
284,284,5,173,48,287,0,1,0,0,0,0,0,1,0,515,2,0,0,517
285,285,9,212,33,439,3,1,0,1,0,1,3,0,1,703,0,0,0,703
286,286,21,265,41,406,2,0,0,0,0,0,2,1,1,739,0,0,0,739
287,287,22,260,65,587,3,1,0,1,0,0,3,2,0,944,0,0,0,944
288,288,10,239,53,577,1,0,0,1,1,0,4,1,2,889,4,0,0,893
289,289,8,204,41,320,4,0,1,1,0,1,0,0,0,580,0,0,0,580
290,290,58,148,43,108,0,1,0,0,0,1,1,1,0,361,1,0,0,362
291,291,141,242,88,195,0,1,1,0,1,1,0,0,0,670,2,0,0,672
292,292,93,120,65,129,0,0,0,1,0,0,0,0,0,408,0,0,0,408
293,293,46,272,79,165,1,0,1,0,0,1,1,1,0,567,3,0,0,570
294,294,56,325,115,218,10,0,1,0,1,0,0,0,1,727,3,0,0,730
295,295,57,246,72,203,2,0,1,0,0,1,1,0,0,583,1,0,0,584
296,296,14,225,46,404,1,0,1,0,1,1,2,1,0,696,2,0,0,698
297,297,13,221,44,347,1,0,0,0,0,1,1,1,0,629,0,0,0,629
298,298,45,236,74,422,2,0,1,0,1,0,0,0,0,781,2,0,0,783
299,299,90,229,68,280,0,0,1,0,0,1,1,0,0,670,2,0,0,672
300,300,30,167,36,302,3,0,1,0,0,0,2,0,0,541,0,0,0,541
301,301,23,146,50,267,1,0,0,0,2,0,1,0,0,490,0,0,0,490
302,76,10,168,28,285,0,0,0,1,0,0,1,2,2,497,1,0,0,498
