Polling Station No,M.ARUNKUMAR,S.KIRTHIKA,S.SENTHILNATHAN,K.MUNIYAPPAN,R.KARTHIKEYAN,D.SHANMUGAN,M.RAMESH,M.RAVIKUMAR,A.KATHIRVEL,K.DHANABAL,A.DURAISAMY,R.NATARAJAN,L.BHARATHI,R.VELUSAMY,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,39,185,290,3,50,298,0,2,2,0,1,0,1,5,876,0,4,880,0
39,52,163,287,0,1,410,0,2,3,1,1,0,3,1,924,0,3,927,0
40,17,132,241,0,0,175,1,1,0,0,1,0,1,2,571,0,3,574,0
41,34,162,173,4,0,347,2,2,0,2,1,1,1,1,730,0,3,733,0
42,22,206,305,0,1,377,1,0,1,2,1,1,3,1,921,0,3,924,0
43,19,132,169,1,1,199,2,0,0,0,1,0,1,0,525,0,5,530,0
44,31,211,238,0,1,227,0,0,2,2,0,1,2,1,716,0,1,717,0
45,20,102,273,4,1,373,1,0,1,2,1,1,2,3,784,0,4,788,0
46,14,165,166,2,0,162,0,0,0,0,0,1,0,4,514,0,5,519,0
47,16,148,182,0,1,135,0,0,1,1,0,0,2,4,490,0,1,491,0
48,18,181,194,1,0,132,0,1,0,0,1,0,1,4,533,0,1,534,0
49,29,266,208,1,2,243,1,1,1,1,0,0,1,3,757,0,0,757,0
50,13,93,101,0,0,149,0,0,1,0,0,1,0,4,362,0,0,362,0
51,35,178,284,4,2,352,0,0,0,0,1,1,3,2,862,0,7,869,0
52,42,316,192,0,1,380,1,3,0,1,3,1,2,4,946,0,4,950,0
53,12,210,238,3,1,150,0,1,3,0,0,1,2,3,624,0,2,626,0
54,37,194,248,2,1,189,2,1,2,0,0,1,0,1,678,0,1,679,0
55,25,177,132,0,1,151,0,0,0,2,1,0,2,2,493,0,4,497,0
56,40,370,227,0,1,255,0,0,2,0,0,1,1,3,900,0,7,907,0
57,23,303,197,1,2,198,0,1,1,0,0,1,1,5,733,0,3,736,0
58,31,229,264,3,1,170,0,2,2,1,1,0,2,3,709,0,2,711,1
59,30,181,229,24,1,154,1,3,2,1,0,4,6,10,646,0,1,647,0
60,34,277,312,5,2,254,0,2,0,3,1,1,6,4,901,0,4,905,0
61,14,152,210,0,1,212,0,1,0,2,1,0,3,3,599,0,5,604,0
62,23,227,200,3,2,163,0,2,0,0,3,0,4,5,632,0,4,636,0
63,19,276,167,1,1,140,1,2,1,0,1,0,4,0,613,0,0,613,0
64,11,163,116,1,2,88,0,0,0,0,0,2,0,2,385,0,2,387,0
65,12,256,145,1,1,136,1,1,0,1,0,0,2,1,557,0,2,559,0
66,13,285,172,2,1,201,1,0,0,0,2,1,1,4,683,0,2,685,0
67,33,264,151,2,1,211,1,2,1,0,0,0,0,3,669,0,3,672,0
68,24,422,169,2,1,238,1,1,3,8,0,1,2,9,881,0,4,885,0
69,22,291,219,7,0,155,0,1,1,0,1,1,1,4,703,0,2,705,0
70,20,235,125,3,0,152,0,0,1,3,2,0,2,1,544,0,3,547,0
71,29,202,236,1,3,299,0,2,1,3,2,0,3,6,787,0,3,790,0
72,19,175,192,1,1,164,0,0,1,1,1,1,0,2,558,0,4,562,0
73,24,307,323,3,2,348,0,0,1,1,2,2,6,8,1027,0,5,1032,0
74,19,280,230,0,1,143,1,0,1,1,1,1,1,3,682,0,4,686,0
75,18,270,192,0,1,243,0,2,2,2,0,0,1,4,735,0,2,737,0
76,17,172,176,1,1,262,2,1,1,3,0,0,1,1,638,0,4,642,0
77,28,181,183,15,4,267,2,0,2,3,1,1,4,4,695,0,5,700,0
78,25,260,189,4,0,230,2,3,0,4,2,2,1,2,724,0,4,728,0
79,11,156,143,4,0,252,0,2,0,1,1,0,0,1,571,0,1,572,0
80,12,138,116,0,2,89,0,0,0,10,0,0,1,0,368,0,4,372,0
81,7,147,147,1,2,143,0,0,0,1,1,0,2,3,454,0,3,457,0
82,15,156,108,1,2,164,1,1,1,1,0,0,2,1,453,0,4,457,0
83,35,207,119,1,2,282,1,0,1,0,1,0,0,0,649,0,0,649,0
84,30,374,190,0,2,284,1,2,1,0,0,0,1,4,889,0,6,895,0
85,27,315,319,2,4,183,0,0,0,1,1,0,2,4,858,0,3,861,0
86,18,203,153,0,8,274,2,1,1,3,0,1,1,1,666,0,1,667,0
87,17,238,117,3,0,75,0,0,0,0,0,0,2,3,455,0,3,458,0
88,16,175,125,2,0,142,0,0,0,0,2,0,4,7,473,0,4,477,0
89,22,269,199,1,0,216,0,0,0,2,1,0,3,1,714,0,6,720,0
90,28,169,198,3,1,279,1,1,0,2,1,2,5,4,694,0,7,701,0
91,22,152,168,1,0,150,0,11,0,0,0,1,3,2,510,0,0,510,0
92,28,199,145,2,2,187,1,0,1,0,0,0,1,5,571,0,2,573,0
93,26,301,194,4,2,191,1,1,0,0,0,1,5,4,730,0,3,733,0
94,20,234,192,1,39,220,1,3,1,1,1,0,3,5,721,0,1,722,0
95,23,168,175,1,11,95,1,1,1,0,1,2,2,4,485,0,0,485,0
96,26,243,231,2,26,190,0,0,0,1,5,0,2,2,728,0,3,731,0
97,8,173,234,4,24,210,1,0,2,1,5,0,2,2,666,0,5,671,0
98,46,265,172,2,5,246,1,0,0,4,0,1,4,5,751,0,12,763,0
99,51,280,141,4,6,265,0,2,1,2,2,1,2,4,761,0,1,762,0
100,20,216,92,2,1,171,0,0,0,1,2,0,1,6,512,0,5,517,0
101,46,265,162,3,2,290,1,2,0,3,1,2,8,6,791,0,1,792,0
102,41,239,217,0,1,225,0,0,0,1,0,1,3,2,730,0,1,731,0
103,37,283,198,3,0,334,0,0,1,1,7,0,5,4,873,0,8,881,0
104,16,103,172,2,0,185,0,0,0,1,0,0,0,1,480,0,1,481,0
105,4,83,181,0,0,152,0,0,0,0,0,0,1,1,422,0,3,425,0
106,24,80,431,1,0,273,1,0,0,0,0,0,3,0,813,0,2,815,0
107,21,296,288,5,2,273,1,0,0,3,0,1,0,4,894,0,6,900,0
108,8,210,149,2,0,115,0,1,0,0,1,0,1,2,489,0,2,491,0
109,32,146,160,5,2,212,0,4,0,2,1,0,6,4,574,0,3,577,0
110,17,161,157,2,0,153,1,0,0,0,2,1,1,1,496,0,5,501,0
111,13,212,129,0,3,129,1,0,1,0,0,0,0,1,489,0,1,490,0
112,15,212,115,1,0,144,0,0,1,3,0,1,1,2,495,0,3,498,0
113,15,173,115,1,1,188,1,0,1,2,2,0,2,2,503,0,4,507,0
114,14,157,76,1,3,169,0,2,1,1,0,0,2,3,429,0,4,433,0
115,23,189,145,2,4,217,2,3,0,1,0,1,2,0,589,0,3,592,0
116,34,130,158,0,1,223,0,1,1,2,0,2,6,7,565,0,4,569,0
117,8,102,78,6,8,135,2,0,2,0,1,1,5,1,349,0,2,351,0
118,35,162,138,3,0,210,1,0,0,3,0,0,1,4,557,0,3,560,0
119,17,228,145,1,1,109,0,1,1,2,2,0,1,3,511,0,2,513,0
120,12,183,167,0,0,128,0,0,0,1,0,0,2,2,495,0,2,497,0
121,13,194,118,0,1,134,0,0,0,1,0,0,3,1,465,0,0,465,0
122,22,319,305,2,1,210,1,1,0,0,1,1,4,10,877,0,7,884,0
123,20,154,191,1,0,137,0,0,0,1,0,0,1,0,505,0,2,507,0
124,19,226,212,2,2,160,2,2,1,1,0,1,3,6,637,0,3,640,0
125,21,225,127,1,0,125,1,1,0,1,1,0,0,1,504,0,3,507,0
126,12,170,177,1,3,182,0,0,1,0,1,0,0,0,547,0,1,548,0
127,12,223,155,4,2,150,0,0,1,0,0,2,3,3,555,0,1,556,0
128,32,172,206,0,3,180,1,0,2,0,0,0,1,1,598,0,3,601,0
129,20,88,287,5,3,231,0,0,0,2,1,1,1,3,642,0,1,643,0
130,38,252,153,1,0,147,0,0,3,1,0,2,2,2,601,0,1,602,0
131,30,128,121,1,0,145,1,0,0,0,0,0,2,1,429,0,2,431,0
132,47,152,133,1,1,147,2,0,0,2,2,0,4,3,494,0,6,500,0
133,27,107,218,2,25,157,1,1,0,0,5,2,3,4,552,0,6,558,0
134,31,286,263,1,3,333,0,1,0,2,3,2,5,8,938,0,2,940,0
135,23,263,221,3,11,187,0,2,4,0,2,1,3,4,724,0,2,726,0
136,17,238,150,3,0,120,3,1,1,0,0,3,4,8,548,0,5,553,0
137,11,110,195,4,0,137,1,0,0,0,1,0,2,1,462,0,1,463,0
138,23,234,182,3,1,176,1,0,2,0,1,0,0,0,623,0,1,624,0
139,21,136,136,2,3,169,1,0,2,0,0,2,6,1,479,0,3,482,0
140,24,152,261,3,41,305,1,2,2,0,5,1,7,6,810,0,7,817,0
141,34,164,108,2,0,253,0,0,1,2,1,1,1,5,572,0,4,576,0
142,43,398,189,3,5,228,3,3,2,1,2,2,0,5,884,0,3,887,0
143,15,180,205,3,58,137,0,1,2,0,1,1,5,3,611,0,4,615,0
144,15,124,279,6,18,172,1,0,0,1,3,1,1,5,626,0,2,628,0
145,26,298,216,7,16,211,2,0,2,1,4,3,5,6,797,0,4,801,0
146,21,244,261,5,51,189,2,0,1,1,1,0,3,6,785,0,3,788,0
147,38,206,297,2,48,232,2,0,3,1,1,2,5,6,843,0,5,848,0
148,21,145,173,2,32,113,0,0,1,0,1,1,1,1,491,0,2,493,0
149,18,134,184,2,7,243,2,0,1,0,1,0,3,5,600,0,5,605,0
150,14,220,176,2,2,145,0,1,1,1,0,1,0,3,566,0,3,569,0
151,21,248,146,0,1,124,0,1,0,0,0,0,1,1,543,0,2,545,0
152,13,116,158,1,194,147,1,1,6,3,11,2,1,5,659,0,5,664,0
153,11,280,172,1,5,206,1,1,2,2,1,0,4,3,689,0,3,692,0
154,8,159,164,4,71,194,0,1,3,4,6,3,0,5,622,0,2,624,0
155,21,157,232,2,67,165,1,3,1,1,6,1,0,5,662,0,3,665,0
156,27,110,310,4,61,223,0,0,1,5,1,0,3,4,749,0,5,754,0
157,21,151,193,6,11,182,0,0,0,0,2,0,2,1,569,0,3,572,0
158,18,132,160,2,43,157,0,0,0,0,5,1,3,4,525,0,4,529,0
159,21,251,107,3,8,226,0,1,0,0,2,0,1,2,622,0,2,624,0
160,38,147,198,1,9,406,2,1,0,3,2,2,1,5,815,0,3,818,0
161,13,107,164,0,56,85,0,1,1,1,1,0,0,1,430,0,0,430,0
162,17,149,215,2,112,125,0,1,5,0,6,2,2,4,640,0,1,641,0
163,18,191,278,10,3,220,2,0,3,2,2,0,5,6,740,0,3,743,0
164,21,264,364,13,0,244,0,2,0,0,1,0,2,4,915,0,4,919,0
165,23,62,204,1,10,175,0,1,1,0,4,0,0,1,482,0,4,486,0
166,38,115,197,2,12,236,2,1,1,0,1,0,1,3,609,0,2,611,0
167,19,181,189,1,2,189,0,1,0,1,1,0,0,6,590,0,3,593,0
168,36,201,202,6,3,313,0,1,3,2,0,1,6,7,781,0,6,787,0
169,21,126,210,2,44,221,0,0,0,1,1,0,4,3,633,0,1,634,0
170,21,121,186,1,4,267,0,1,0,0,1,0,2,7,611,0,1,612,0
171,24,225,223,1,4,196,0,1,0,0,1,3,2,3,683,0,5,688,0
172,14,135,195,6,6,146,2,1,1,0,1,2,3,7,519,0,6,525,0
173,8,149,51,1,0,40,0,1,0,0,1,0,0,2,253,0,2,255,0
174,4,158,125,3,4,110,0,1,0,0,1,0,3,4,413,0,2,415,0
175,20,104,165,2,15,219,1,0,1,1,0,2,4,6,540,0,2,542,0
176,31,127,274,1,65,179,0,0,3,1,3,1,0,2,687,0,2,689,0
177,34,194,149,1,2,168,0,2,2,0,0,0,4,0,556,0,4,560,0
178,18,149,101,0,2,177,0,1,0,0,1,1,0,2,452,0,2,454,0
179,18,248,183,0,5,179,5,0,0,0,0,0,0,0,638,0,1,639,0
180,40,294,211,3,2,234,1,3,0,3,0,1,0,5,797,0,4,801,0
181,23,273,266,2,4,357,0,0,2,1,0,1,2,3,934,0,3,937,0
182,27,224,313,4,31,359,1,1,3,4,2,1,3,4,977,0,5,982,0
183,10,251,203,1,6,169,0,0,0,2,1,0,2,4,649,0,3,652,0
184,29,257,144,3,5,180,0,1,3,1,0,2,5,5,635,0,4,639,0
185,18,89,163,2,0,261,0,1,0,1,2,0,0,2,539,0,1,540,0
186,20,243,171,0,3,191,2,0,1,2,1,0,0,4,638,0,0,638,0
187,21,195,162,1,2,147,0,0,0,0,0,0,1,4,533,0,1,534,0
188,38,185,230,4,3,336,2,0,2,1,2,0,5,2,810,0,5,815,0
189,19,206,196,5,2,198,1,0,1,0,2,0,3,3,636,0,3,639,0
190,17,225,187,0,2,178,1,0,0,1,1,0,1,3,616,0,5,621,0
191,16,291,201,1,0,122,0,0,0,0,0,1,3,3,638,0,4,642,0
192,23,214,175,1,1,81,0,1,0,1,1,0,0,0,498,0,1,499,0
193,18,195,283,0,2,225,0,1,1,1,2,2,0,3,733,0,4,737,0
194,29,373,296,2,2,241,2,1,0,1,0,0,2,1,950,0,4,954,0
195,16,165,141,1,0,119,0,0,0,0,0,0,2,2,446,0,0,446,0
196,20,194,176,1,5,185,2,2,0,2,0,1,2,5,595,0,6,601,0
197,20,321,253,0,2,177,0,0,0,0,2,1,2,1,779,0,3,782,0
198,7,197,213,3,8,222,2,0,4,1,1,0,3,4,665,0,1,666,0
199,32,209,207,1,1,263,0,0,0,0,1,0,2,3,719,0,0,719,0
200,30,134,266,6,3,264,0,0,0,0,1,1,3,1,709,0,3,712,0
201,54,235,317,2,14,296,0,1,1,0,0,0,3,2,925,0,3,928,0
202,37,281,288,3,17,222,1,0,1,0,3,1,4,2,860,0,6,866,0
203,14,178,191,3,3,176,2,2,1,3,2,1,0,8,584,0,2,586,0
204,18,131,130,2,2,152,2,1,1,0,0,1,4,9,453,0,5,458,0
205,19,146,252,2,26,192,1,2,0,1,0,1,1,3,646,0,5,651,0
206,17,134,128,0,7,182,1,0,0,1,1,1,0,4,476,0,3,479,0
207,32,244,239,2,1,145,0,0,1,1,0,0,5,3,673,0,5,678,0
208,11,222,125,0,0,48,0,1,0,0,0,2,0,2,411,0,0,411,0
209,19,224,160,1,0,116,1,1,0,0,1,0,0,6,529,0,1,530,0
210,33,328,161,1,26,217,0,0,1,1,2,2,2,6,780,0,4,784,0
211,38,232,210,5,11,229,0,2,1,1,1,0,5,7,742,0,2,744,0
212,17,149,225,3,74,144,1,1,2,4,0,0,0,3,623,0,1,624,0
213,28,431,145,1,3,152,0,0,1,1,1,0,2,5,770,0,0,770,0
214,23,295,153,0,1,102,1,0,2,0,0,1,0,0,578,0,2,580,0
215,22,94,243,1,1,230,1,0,1,0,1,0,1,1,596,0,1,597,0
216,33,153,184,0,1,231,0,1,1,1,0,1,1,1,608,0,4,612,0
217,23,293,226,3,2,144,0,0,1,0,0,0,2,2,696,0,5,701,0
218,19,196,181,3,1,182,1,0,2,3,5,0,4,7,604,0,4,608,0
219,19,150,264,1,1,214,1,1,0,1,0,3,1,2,658,0,6,664,0
220,18,91,154,4,0,202,1,1,2,0,2,0,0,1,476,0,0,476,0
221,38,177,233,1,1,310,2,3,0,3,1,0,2,2,773,0,5,778,0
222,28,164,267,2,1,212,1,0,0,0,0,0,1,0,676,0,2,678,0
223,24,197,270,2,1,249,0,0,1,0,0,0,2,3,749,0,2,751,0
224,32,128,316,2,4,329,0,1,1,0,0,1,0,3,817,0,3,820,0
225,9,120,188,0,0,215,0,0,0,0,0,2,4,0,538,0,2,540,0
226,27,184,339,0,2,282,1,0,1,0,0,0,1,3,840,0,4,844,0
227,22,394,228,4,3,145,2,1,2,0,2,0,0,4,807,0,4,811,0
228,18,241,91,2,1,122,2,1,1,2,0,3,2,1,487,0,2,489,0
229,29,165,168,6,2,266,2,1,2,1,2,1,2,7,654,0,4,658,0
230,19,294,236,1,0,198,0,4,1,1,0,1,6,5,766,0,2,768,0
231,22,295,227,1,2,264,2,1,0,1,2,1,2,0,820,0,2,822,0
232,23,310,212,9,9,216,0,1,2,0,0,2,3,4,791,0,4,795,0
233,26,252,305,1,1,238,0,0,0,1,0,2,1,3,830,0,3,833,0
234,8,182,138,0,1,87,0,0,0,0,0,0,4,1,421,0,2,423,0
235,21,251,266,3,0,255,0,2,0,0,1,1,0,2,802,0,5,807,0
236,26,277,256,7,5,184,5,0,0,2,2,2,1,5,772,0,4,776,0
237,38,182,255,2,2,184,1,0,0,2,0,0,2,1,669,0,3,672,0
238,15,102,161,2,0,256,0,0,2,2,1,0,1,3,545,0,4,549,0
239,19,170,254,0,48,146,1,1,0,0,1,1,1,2,644,0,2,646,0
240,12,265,226,2,1,226,0,0,0,1,0,1,1,13,748,0,4,752,0
241,20,312,173,4,1,111,0,3,0,0,2,4,7,6,643,0,2,645,0
242,11,195,109,2,1,107,0,0,2,2,2,1,1,2,435,0,0,435,0
243,16,204,157,1,2,218,0,0,0,0,3,1,4,4,610,0,3,613,0
244,20,198,152,1,0,86,0,1,1,1,0,1,4,1,466,0,1,467,0
245,36,286,293,3,4,283,5,3,4,2,2,1,8,9,939,0,6,945,0
246,14,284,161,6,0,97,0,0,0,0,0,0,0,2,564,0,3,567,0
247,31,345,224,2,2,178,0,5,3,1,0,1,2,4,798,0,5,803,0
248,21,69,169,3,1,106,0,0,0,0,0,1,2,1,373,0,1,374,0
249,33,364,100,2,4,185,2,1,0,1,1,0,0,6,699,0,2,701,0
250,19,208,157,3,4,185,9,0,0,2,2,2,2,7,600,0,4,604,0
251,25,168,217,2,23,178,0,2,2,0,2,0,0,5,624,0,3,627,0
252,14,148,178,2,37,126,0,3,0,2,2,2,1,2,517,0,2,519,0
253,15,365,228,1,0,203,0,1,2,0,1,0,6,9,831,0,2,833,0
254,8,229,140,3,0,141,0,0,0,3,2,2,2,3,533,0,2,535,0
255,20,216,191,1,29,185,1,0,1,1,2,3,6,10,666,0,12,678,0
256,29,139,444,0,0,290,0,0,0,1,1,1,2,3,910,0,1,911,0
257,22,153,269,2,22,186,1,0,1,0,1,0,1,1,659,0,1,660,0
258,17,215,184,1,0,103,0,0,2,0,1,0,0,3,526,0,8,534,0
259,27,265,210,1,0,144,1,0,1,0,0,1,3,4,657,0,4,661,0
260,18,273,232,1,1,222,0,3,0,0,1,2,1,4,758,0,5,763,0
261,27,266,222,12,3,246,1,1,0,0,2,3,3,14,800,0,3,803,0
262,19,262,201,2,12,196,1,0,2,3,1,1,4,3,707,0,3,710,0
263,23,206,188,1,3,243,1,0,0,1,0,1,2,2,671,0,3,674,0
264,23,104,329,2,1,294,0,0,0,0,0,1,2,0,756,0,3,759,0
265,22,91,171,0,1,186,1,0,0,0,0,0,0,1,473,0,3,476,0
266,18,162,153,2,9,197,0,0,1,1,1,2,1,7,554,0,1,555,0
267,11,187,184,8,6,196,2,0,1,2,2,1,3,4,607,0,0,607,0
268,37,173,235,0,0,246,0,0,1,0,0,0,0,3,695,0,7,702,0
269,20,145,282,0,2,236,1,0,0,1,1,0,0,0,688,0,2,690,0
270,23,162,139,0,2,255,0,0,0,1,1,2,3,6,594,0,7,601,0
271,7,102,126,0,3,128,0,1,0,0,2,0,0,0,369,0,1,370,0
272,13,189,237,2,2,277,0,0,2,0,0,0,1,4,727,0,2,729,0
273,22,135,263,2,1,353,1,2,2,1,0,2,0,4,788,0,6,794,0
274,21,272,218,2,2,168,0,1,1,3,0,1,5,5,699,0,8,707,0
275,18,173,234,0,64,199,1,1,3,1,1,9,1,1,706,0,3,709,0
276,12,230,226,3,25,164,0,0,2,1,3,1,1,4,672,0,4,676,0
277,15,186,166,0,0,192,2,0,0,1,3,0,1,1,567,0,5,572,0
278,7,88,152,4,0,133,1,1,1,0,0,0,0,3,390,0,2,392,0
279,55,228,224,2,12,267,0,1,1,1,1,1,1,1,795,0,2,797,0
280,28,196,249,1,9,264,1,1,0,1,0,1,1,2,754,0,6,760,0
281,26,79,223,2,1,215,1,0,0,0,1,2,2,1,553,0,1,554,0
282,16,249,178,1,0,153,0,0,0,0,1,2,4,5,609,0,5,614,0
283,15,209,154,6,0,222,0,0,2,0,1,2,5,6,622,0,3,625,0
284,8,114,208,5,2,169,0,0,0,0,1,0,5,9,521,0,4,525,0
285,19,115,177,2,11,211,1,2,0,0,0,1,1,4,544,0,3,547,0
286,26,222,299,3,5,251,0,2,3,0,1,1,5,4,822,0,7,829,0
287,21,210,173,2,3,184,0,0,1,1,0,2,2,5,604,0,2,606,0
288,11,139,194,2,2,137,1,0,1,2,0,2,5,2,498,0,1,499,1
289,16,249,175,4,9,129,1,1,3,1,0,0,2,4,594,0,1,595,0
290,17,254,165,1,0,97,0,0,0,0,0,2,1,1,538,0,2,540,0
