Polling Station No,Polling Station No.,D.NAJAR IALIAK.RD,S.IHZOMNEHT,S.IHTOJAGAN,M.IMHSKALAJAR,R.RANAYYA,G.NAGALABNA,P.RAKNAS,.L.B .A.B P.MAVLES,A.NAPPALA,S.HAIAPPURAK,K.MALLEHC,N.LAMUREP,P.NADNAKINAM,M.NARAHONAM,.NAYIDNAPAYAJIV M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
131,131,14,104,173,3,249,1,1,1,0,0,0,0,1,0,0,547,0,2,549,0
132,132,31,165,98,1,238,0,1,3,3,0,1,0,0,1,0,542,0,2,544,0
133,133,11,96,147,3,233,2,3,2,0,0,1,0,2,2,2,504,0,1,505,0
134,134,15,99,171,0,163,0,0,0,0,0,1,1,2,1,1,454,0,2,456,0
135,135,35,56,165,2,116,1,3,4,0,0,0,0,2,4,0,388,0,3,391,0
136,136,53,62,338,2,225,0,6,7,0,1,0,2,3,1,1,701,0,2,703,0
137,137,36,68,277,2,263,3,0,5,1,1,1,2,0,3,3,665,0,0,665,0
138,138,34,274,281,3,229,1,1,0,1,0,1,1,6,4,1,837,0,5,842,0
139,139,28,149,236,2,133,0,4,2,1,1,0,1,3,1,1,562,0,3,565,0
140,140,16,364,215,3,130,0,0,5,0,0,2,0,2,4,2,743,0,2,745,0
141,141,53,278,235,5,397,0,2,4,1,0,0,3,1,1,3,983,0,1,984,0
142,142,26,259,156,0,360,0,0,1,0,0,0,0,4,0,1,807,0,2,809,0
143,143,13,199,100,0,177,0,0,1,0,0,0,0,1,1,1,493,0,1,494,0
144,144,20,166,103,0,221,0,0,2,2,0,0,0,1,0,1,516,0,5,521,0
145,145,59,154,223,1,479,5,2,6,0,1,0,2,0,0,1,933,0,3,936,0
146,146,14,67,160,1,168,0,2,0,2,0,0,1,1,1,2,419,0,2,421,0
147,147,34,113,205,1,405,2,0,0,0,0,0,0,1,0,3,764,0,1,765,0
148,148,43,140,199,2,347,3,1,6,1,0,0,0,0,1,3,746,0,0,746,0
149,149,66,107,264,3,300,0,1,7,3,0,3,5,3,2,3,767,0,7,774,0
150,150,41,134,244,1,255,5,4,2,1,0,0,0,4,2,2,695,0,2,697,0
151,151,18,164,158,3,204,1,0,2,0,0,0,1,2,2,0,555,0,3,558,0
152,152,11,117,166,3,229,0,0,2,0,0,1,1,1,1,1,533,0,0,533,0
153,153,17,94,198,4,260,0,0,1,1,0,0,0,0,1,4,580,0,1,581,0
154,154,28,72,44,0,78,0,0,0,1,0,1,0,1,0,0,225,0,1,226,0
155,155,55,218,212,0,353,1,2,6,1,1,2,0,0,0,3,854,0,4,858,0
156,156,43,231,127,2,309,1,0,6,4,1,0,1,0,1,1,727,0,4,731,0
157,157,28,171,249,9,295,2,1,2,2,0,1,4,3,0,0,767,0,3,770,0
158,158,19,192,123,1,275,1,2,2,1,1,2,0,3,1,4,627,0,7,634,0
159,159,22,96,189,2,260,1,0,4,0,0,1,1,0,1,0,577,0,1,578,0
160,160,28,80,118,1,162,0,0,2,0,0,0,1,2,1,0,395,0,1,396,0
161,161,17,203,202,4,378,1,0,3,2,3,0,0,3,2,1,819,0,0,819,0
162,162,32,195,268,3,242,2,1,6,1,0,0,0,1,1,1,753,0,2,755,0
163,163,44,157,179,4,416,0,1,3,0,0,1,0,1,2,0,808,0,0,808,0
164,164,22,219,245,4,411,0,0,2,1,0,2,0,1,1,0,908,0,4,912,0
165,165,13,53,167,1,201,0,0,3,0,0,0,0,0,0,0,438,0,1,439,0
166,166,19,154,156,3,287,0,1,3,0,1,0,1,1,0,2,628,0,5,633,0
167,167,9,119,247,1,314,0,0,2,1,0,1,0,1,3,1,699,0,2,701,0
168,168,20,169,271,0,338,1,1,2,0,0,2,2,8,3,2,819,0,4,823,0
169,169,14,118,238,1,256,0,0,0,0,0,0,0,0,1,2,630,0,2,632,0
170,170,19,107,128,3,210,1,4,1,0,0,0,0,3,0,1,477,0,1,478,0
171,171,34,178,222,1,365,0,1,2,3,0,0,2,3,1,1,813,0,5,818,0
172,172,25,271,220,2,287,1,10,4,1,1,2,3,3,3,3,836,0,3,839,0
173,173,22,149,179,0,209,1,3,4,0,0,1,0,0,0,0,568,0,0,568,0
174,174,55,139,248,2,319,0,0,4,0,0,0,2,1,0,1,771,0,3,774,0
175,175,43,157,229,1,263,0,1,4,0,0,1,1,5,0,2,707,0,1,708,0
176,176,69,144,247,2,444,1,0,1,0,0,5,1,2,2,6,924,0,2,926,0
177,177,59,74,143,1,275,2,0,2,3,0,0,0,1,0,0,560,0,0,560,0
178,178,21,265,190,4,311,1,1,3,3,1,0,1,2,0,2,805,0,3,808,0
179,179,7,156,48,1,77,0,0,0,1,0,0,1,0,1,0,292,0,1,293,0
180,180,22,44,521,2,149,2,2,1,1,0,2,1,3,8,4,762,0,2,764,0
181,181,8,169,144,0,266,0,0,2,2,0,1,2,1,2,0,597,0,2,599,0
182,182,23,110,256,3,118,2,4,9,0,1,0,0,0,0,1,527,0,0,527,0
183,183,46,144,176,5,223,1,5,3,2,0,0,3,0,1,2,611,0,1,612,0
184,184,26,121,198,2,77,1,2,3,0,0,0,0,2,2,0,434,0,0,434,0
185,185,22,20,551,1,115,0,0,3,1,0,0,0,0,2,3,718,0,3,721,0
186,186,10,38,181,0,149,1,0,0,0,0,2,0,1,1,1,384,0,0,384,0
187,187,15,245,255,1,413,3,0,0,1,0,1,3,4,1,7,949,0,3,952,0
188,188,42,184,316,1,254,0,4,3,3,3,2,1,1,2,6,822,0,5,827,0
189,189,16,97,127,1,142,0,0,0,0,0,0,1,1,0,0,385,0,1,386,0
190,190,27,138,231,3,162,5,1,6,1,0,0,0,3,1,3,581,0,4,585,0
191,191,12,306,254,3,264,3,0,4,1,0,0,0,3,1,2,853,0,0,853,0
192,192,43,106,200,3,128,1,10,4,0,0,0,1,1,0,0,497,0,4,501,0
193,193,1,201,135,5,116,0,0,0,0,0,0,1,3,2,3,467,0,1,468,0
194,194,53,80,196,3,179,2,12,3,0,0,0,0,2,0,2,532,0,4,536,0
195,195,27,187,342,3,306,2,0,1,0,0,0,4,4,7,5,888,0,3,891,0
196,196,25,198,215,3,320,6,2,6,7,0,4,3,6,4,11,810,0,7,817,0
197,197,18,267,249,2,514,0,0,1,10,0,0,3,3,0,2,1069,0,1,1070,0
198,198,23,118,165,1,272,2,3,3,1,0,0,0,1,3,2,594,0,3,597,0
199,199,27,103,201,1,274,1,3,0,0,1,1,0,0,0,0,612,0,1,613,0
200,200,26,218,183,1,306,6,1,2,1,0,1,0,0,1,0,746,0,4,750,0
201,201,20,157,190,1,283,5,2,1,0,1,1,0,0,0,1,662,0,2,664,0
202,202,23,173,183,0,290,1,0,1,2,0,0,0,2,0,1,676,0,0,676,0
203,203,35,151,204,0,329,2,0,4,1,0,0,0,5,2,0,733,0,6,739,0
204,204,35,117,206,2,347,0,2,4,1,0,0,0,0,0,1,715,0,2,717,0
205,205,17,70,119,0,226,4,0,0,0,0,0,2,1,0,1,440,0,1,441,0
206,206,19,109,267,2,244,1,1,4,0,0,0,1,0,2,1,651,0,2,653,0
207,207,32,218,190,2,390,0,4,1,1,0,1,2,1,1,1,844,0,3,847,0
208,208,35,234,201,0,391,0,0,4,0,0,2,2,1,0,0,870,0,0,870,0
209,209,21,151,197,3,338,0,1,1,1,0,0,0,0,1,1,715,0,3,718,0
210,210,16,137,191,3,301,1,0,2,4,0,0,0,0,2,0,657,0,2,659,0
211,211,51,209,279,0,217,0,6,6,3,0,1,2,2,1,2,779,0,3,782,0
212,212,28,166,235,0,144,1,0,5,1,0,0,0,4,1,1,586,0,3,589,0
213,213,20,63,147,2,85,1,1,0,0,1,0,0,0,0,4,324,0,3,327,0
214,214,33,126,205,3,555,4,0,1,4,0,3,5,2,6,0,947,0,3,950,0
215,215,22,68,89,1,366,0,0,1,1,1,0,0,0,2,0,551,0,0,551,0
216,216,8,125,201,5,208,0,1,1,1,0,2,1,3,1,0,557,0,6,563,0
217,217,21,47,130,0,277,1,0,0,0,0,0,0,0,0,1,477,0,2,479,0
218,218,38,221,178,2,377,0,2,3,3,2,2,1,1,1,2,833,0,3,836,0
219,219,48,132,226,1,332,0,0,6,1,1,1,0,1,1,1,751,0,2,753,0
220,220,55,206,176,1,384,1,1,5,0,0,0,1,1,2,1,834,0,1,835,0
221,221,29,150,96,0,167,0,0,3,1,0,2,0,1,0,1,450,0,0,450,0
222,222,26,88,139,0,284,1,0,3,3,1,0,1,2,1,1,550,0,2,552,0
223,223,12,65,125,1,204,1,0,0,1,0,1,2,0,1,1,414,0,2,416,0
224,224,10,54,80,0,144,2,0,2,0,0,0,0,1,0,0,293,0,1,294,0
225,225,19,94,420,0,193,0,0,2,0,0,0,1,1,2,0,732,0,4,736,0
226,226,28,181,217,1,255,0,13,2,1,1,0,0,0,0,4,703,0,4,707,0
227,227,25,141,134,1,99,1,3,0,0,0,0,0,0,6,0,410,0,3,413,0
228,228,33,477,119,3,226,0,0,1,4,0,1,2,6,3,3,878,0,3,881,0
229,229,7,132,26,0,100,1,0,2,0,0,0,0,1,1,0,270,0,1,271,0
230,230,14,450,78,2,178,1,0,2,2,0,2,3,9,2,3,746,0,4,750,0
231,231,15,127,184,5,217,1,0,7,0,2,0,1,2,1,0,562,0,0,562,0
232,232,57,192,230,9,381,1,7,9,1,0,1,1,8,1,4,902,0,2,904,0
233,233,21,99,93,1,237,0,0,4,1,0,0,1,1,0,1,459,0,2,461,0
234,234,24,140,197,2,227,0,1,1,0,0,0,2,0,1,0,595,0,1,596,0
235,235,13,94,104,0,201,0,1,0,2,1,2,3,2,1,0,424,0,1,425,0
236,236,33,91,136,1,276,1,1,5,3,1,1,2,1,2,2,556,0,2,558,0
237,237,24,93,165,2,267,0,0,2,0,0,0,0,1,0,0,554,0,1,555,0
238,238,9,160,171,0,156,0,0,0,0,0,0,0,4,0,2,502,0,2,504,0
239,239,47,268,243,0,285,3,0,1,4,0,1,0,2,0,2,856,0,5,861,0
240,240,21,185,192,2,223,1,1,4,0,0,0,1,0,0,2,632,0,0,632,0
241,241,42,89,321,0,278,1,2,1,3,0,0,1,0,0,1,739,0,1,740,0
242,242,26,143,211,0,250,1,1,1,0,0,0,1,1,0,1,636,0,2,638,0
243,243,32,195,230,3,202,0,4,1,5,0,1,0,6,0,4,683,0,3,686,0
244,244,46,197,294,1,262,1,3,3,2,0,0,0,7,10,2,828,0,1,829,0
245,245,49,129,202,3,171,3,0,1,0,0,0,0,1,0,0,559,0,3,562,0
246,246,64,118,265,0,245,3,1,5,4,0,1,0,2,1,2,711,0,4,715,0
247,247,55,164,164,1,231,1,1,6,3,0,0,0,3,0,0,629,0,1,630,0
248,248,24,97,178,1,262,1,0,0,4,0,0,0,0,2,1,570,0,0,570,0
249,249,9,151,154,0,97,0,0,2,3,0,1,0,1,0,0,418,0,1,419,0
250,250,40,149,145,1,238,2,4,3,2,0,0,1,1,1,1,588,0,3,591,0
251,251,18,76,99,2,118,1,2,1,3,0,0,1,1,1,0,323,0,0,323,0
252,252,30,164,121,3,164,1,1,1,9,0,0,0,0,0,1,495,0,1,496,0
253,253,79,231,281,5,244,0,7,4,23,0,0,1,5,1,1,882,0,6,888,0
254,254,48,173,166,1,205,0,0,6,3,1,0,0,1,0,2,606,0,2,608,0
255,255,21,118,58,0,104,2,0,0,1,0,1,0,3,0,0,308,0,1,309,0
256,256,14,210,221,7,317,1,1,1,1,0,1,4,0,2,2,782,0,2,784,0
257,257,97,159,405,2,341,0,6,6,4,0,0,1,3,1,2,1027,0,1,1028,0
258,258,4,213,183,0,141,2,0,1,0,0,0,2,4,0,1,551,0,1,552,0
259,259,35,123,137,1,137,1,5,3,1,0,0,1,1,0,0,445,0,2,447,0
260,260,81,125,292,2,112,0,11,1,0,0,0,1,1,0,0,626,0,0,626,0
261,261,10,315,136,1,291,2,1,2,4,0,0,2,3,3,3,773,0,1,774,0
262,262,36,129,222,2,261,2,0,2,0,0,1,1,1,1,0,658,0,5,663,0
263,263,31,198,463,2,280,1,0,0,0,0,0,4,4,3,1,987,0,2,989,0
264,264,59,266,372,1,218,5,0,1,0,0,1,1,1,0,0,925,0,5,930,0
265,265,37,302,278,1,198,0,2,0,3,0,0,0,8,1,2,832,0,3,835,0
266,266,33,163,304,5,297,4,0,3,0,0,0,1,4,1,0,815,0,7,822,0
267,267,23,207,228,2,244,1,0,3,0,1,0,0,1,2,1,713,0,2,715,0
268,268,41,163,430,1,281,0,0,6,1,0,1,1,1,2,1,929,0,6,935,0
269,269,27,253,224,4,200,1,0,3,0,2,1,0,3,3,2,723,0,3,726,0
270,270,27,143,179,1,240,2,0,1,0,1,0,1,1,1,0,597,0,2,599,0
271,271,29,184,180,2,219,0,1,2,2,0,1,3,1,3,5,632,0,3,635,0
272,272,14,150,191,6,138,0,1,0,0,0,1,0,2,0,0,503,0,2,505,0
273,273,70,188,288,4,313,0,4,2,2,0,0,2,2,0,5,880,0,3,883,0
274,274,33,254,131,0,318,3,6,6,4,0,0,1,1,2,1,760,0,2,762,0
275,275,28,155,121,1,150,1,2,2,0,0,0,2,1,1,2,466,0,2,468,0
276,276,25,114,140,1,289,3,0,3,1,0,0,0,0,0,1,577,0,2,579,0
277,277,9,183,181,3,176,2,0,1,0,1,0,1,0,2,1,560,0,0,560,0
278,278,16,160,234,1,186,1,0,2,0,0,0,2,4,2,0,608,0,0,608,0
279,279,23,126,53,2,177,2,0,3,0,0,0,0,1,0,0,387,0,1,388,0
280,280,21,149,96,1,238,1,0,3,1,0,1,1,2,0,1,515,0,0,515,0
281,281,22,186,142,0,179,3,0,1,0,0,0,0,0,0,0,533,0,4,537,0
282,282,15,299,287,6,235,2,0,0,2,0,0,0,0,1,3,850,0,2,852,0
283,283,6,123,140,0,118,1,0,1,1,0,1,0,4,1,0,396,0,1,397,0
284,284,10,111,111,0,90,2,0,5,0,0,0,0,0,0,1,330,0,0,330,0
285,285,23,230,129,1,157,0,0,3,1,1,1,1,3,1,0,551,0,1,552,0
286,286,32,135,286,0,210,2,1,1,1,0,0,2,0,1,0,671,0,4,675,0
287,287,39,160,352,3,169,0,5,4,1,0,0,0,1,1,2,737,0,2,739,0
288,288,53,143,169,4,159,9,0,1,0,0,2,0,4,0,1,545,0,3,548,0
289,289,80,136,253,1,147,5,0,4,2,0,1,2,2,2,3,638,0,0,638,0
290,290,10,452,144,3,149,2,0,1,0,0,3,2,5,1,2,774,0,3,777,0
291,291,7,121,46,1,126,0,0,1,0,0,0,0,0,0,0,302,0,3,305,0
292,292,7,134,143,0,141,2,0,1,0,0,0,0,1,0,0,429,0,0,429,0
293,293,35,40,417,3,197,1,0,2,0,0,0,0,2,2,5,704,0,0,704,0
294,294,27,137,181,1,220,1,1,2,2,0,0,1,0,0,1,574,0,0,574,0
295,295,28,284,231,1,244,3,1,2,5,0,0,2,3,0,1,805,0,1,806,0
296,296,56,130,174,0,75,0,1,1,0,0,0,0,1,0,0,438,0,0,438,0
297,297,40,192,227,1,278,2,2,4,0,0,2,0,2,2,2,754,0,2,756,0
298,298,40,241,204,2,238,0,0,6,1,0,0,2,1,0,0,735,0,1,736,0
299,299,30,220,176,1,195,3,0,3,1,0,0,0,2,0,1,632,0,3,635,0
300,300,78,132,310,2,157,0,7,1,1,0,0,0,1,3,7,699,0,0,699,0
301,301,30,175,361,1,234,0,0,9,1,0,0,0,2,1,5,819,0,0,819,0
302,302,42,214,163,0,225,0,0,3,1,0,1,1,1,0,1,652,0,4,656,0
303,303,38,244,190,2,156,0,0,4,0,0,2,0,4,2,0,642,0,3,645,0
304,304,21,131,105,1,145,2,0,1,0,0,0,0,0,3,1,410,0,1,411,0
305,305,31,221,160,1,185,5,3,2,1,0,0,1,1,2,2,615,0,3,618,0
