Polling Station No,Polling,C .NASAVINEERS,.RAMUKLIHTNES P.I,S .ISARAHTUM,NANHSIRK S .IALLIP IPOG,B.HTEERAB KIEHS,G .AJAR REEZAN,M .PEEDARP,P .RAVEHTUMAR,M .UBAB SINA,J .SSAD AIKCORA,R .ILA RAMU,.LAMUREP HSENAG D,R .MAGEMRAK,M .AYNARAS,P .NASAVINEES,IHTINAYAHDAVLES M .,N .JARAGAN,S .UBAB,M .NAPPAYINUM,G .NARDNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
17,17,237,230,33,0,0,340,1,0,0,0,0,0,0,2,0,0,0,0,0,0,843,0,7,850,0
18,18,143,183,33,3,0,265,0,0,0,0,0,0,0,0,2,0,0,1,0,0,630,0,3,633,0
19,19,199,207,35,0,2,297,1,0,0,0,0,0,0,0,1,2,0,0,0,0,744,0,0,744,0
20,20,202,154,25,1,0,226,0,3,0,0,0,0,0,1,0,0,1,0,0,0,613,0,4,617,0
21,21,198,189,28,0,0,284,4,0,0,0,1,0,0,0,0,1,0,0,0,0,705,0,5,710,0
22,22,316,201,41,0,1,307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,867,0,2,869,0
23,23,65,92,16,0,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,266,0,1,267,0
24,24,174,209,9,0,0,176,0,1,0,0,0,0,0,0,0,0,1,0,0,0,570,0,5,575,0
25,25,201,227,30,0,0,277,0,1,0,0,0,0,0,0,1,3,2,1,0,0,743,0,2,745,0
26,26,163,252,26,0,3,249,1,2,1,0,1,0,0,0,3,2,0,0,0,0,703,0,0,703,0
27,27,222,139,38,0,2,204,3,1,2,1,0,0,0,1,1,2,1,2,0,1,620,0,1,621,0
28,28,201,204,25,0,2,198,2,0,0,0,5,2,0,0,0,3,1,2,0,0,645,0,0,645,0
29,29,244,237,32,0,0,261,1,0,0,0,0,0,0,0,0,1,0,3,0,0,779,0,6,785,0
30,30,233,261,37,0,2,361,0,1,0,0,0,1,0,0,0,0,1,0,0,0,897,0,0,897,0
31,31,234,191,43,0,1,276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,746,0,7,753,0
32,32,270,236,36,0,0,319,1,0,1,0,0,0,0,0,1,1,0,0,0,0,865,0,6,871,0
33,33,263,186,32,0,1,203,0,0,0,0,0,0,0,0,1,2,0,1,1,0,690,0,0,690,0
34,34,94,135,15,0,0,168,3,2,0,0,0,0,1,0,1,0,0,1,0,0,420,0,2,422,0
35,35,86,143,17,0,0,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,362,0,1,363,0
36,36,116,151,23,1,1,178,6,0,0,0,0,0,0,0,1,0,0,0,0,0,477,0,3,480,0
37,37,172,197,36,1,0,229,23,0,0,0,0,0,0,0,0,1,1,0,0,0,660,0,1,661,0
38,38,109,145,20,0,0,257,2,0,1,0,0,0,0,0,0,1,1,1,0,0,537,0,3,540,0
39,39,176,216,42,1,1,277,1,0,1,0,1,0,0,2,0,0,0,0,0,0,718,0,3,721,0
40,40,235,190,32,1,0,273,1,0,0,1,0,0,0,0,0,0,3,1,1,0,738,0,5,743,0
41,41,164,383,22,1,0,196,0,1,0,1,0,0,0,0,0,1,0,0,0,0,769,0,1,770,0
42,42,177,191,38,0,2,205,0,2,0,0,0,0,0,1,0,0,0,0,1,0,617,0,5,622,0
43,43,116,148,20,0,0,161,1,0,1,0,0,0,0,0,0,1,1,0,0,0,449,0,3,452,0
44,44,198,215,11,0,0,131,0,0,0,0,0,0,0,0,0,1,1,0,0,0,557,0,0,557,0
45,45,165,230,19,1,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,646,0,1,647,0
46,46,147,209,29,0,0,229,0,1,0,0,0,0,0,0,1,0,1,0,0,0,617,0,2,619,0
47,47,232,305,21,1,0,218,1,0,1,0,0,0,0,0,1,0,1,4,0,0,785,0,2,787,0
48,48,99,126,8,1,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,291,0
49,49,300,78,9,0,0,76,0,1,0,0,0,0,0,0,1,3,0,0,0,0,468,0,1,469,0
50,50,227,190,19,0,1,184,2,1,0,0,0,0,0,0,1,0,0,1,0,0,626,0,0,626,0
51,51,124,159,13,0,0,122,0,0,0,0,1,0,0,0,0,1,0,0,0,0,420,0,0,420,0
52,52,279,232,11,1,0,135,0,0,0,1,0,0,0,0,0,2,1,1,1,0,664,0,0,664,0
53,53,441,199,23,0,0,227,0,0,0,0,0,0,0,0,0,2,2,1,0,0,895,0,3,898,0
54,54,212,231,17,0,0,135,0,0,0,0,1,0,0,0,1,0,1,5,0,1,604,0,0,604,0
55,55,205,338,33,0,1,296,1,0,0,1,2,0,1,0,0,1,0,1,0,0,880,0,2,882,0
56,56,297,360,64,0,0,248,0,0,0,1,0,0,1,0,0,2,0,0,0,1,974,0,2,976,0
57,57,157,284,15,0,0,108,1,0,0,0,0,0,0,0,0,1,2,2,0,0,570,0,1,571,0
58,58,174,425,23,0,0,177,4,0,0,1,0,0,0,0,0,2,0,3,0,0,809,0,1,810,0
59,59,45,101,9,1,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225,0,1,226,0
60,60,178,146,17,0,0,157,1,0,0,0,0,0,0,1,1,0,0,0,0,1,502,0,1,503,0
61,61,185,191,16,1,0,103,0,2,0,0,0,0,0,0,2,4,1,1,0,0,506,0,0,506,0
62,62,329,253,36,0,1,240,0,0,0,0,0,0,1,0,3,4,2,2,0,1,872,0,2,874,0
63,63,143,130,8,0,0,65,0,0,0,0,0,0,0,1,0,4,4,1,0,0,356,0,0,356,0
64,64,317,229,31,0,0,143,0,0,0,0,0,0,0,0,0,3,2,1,0,1,727,0,0,727,0
65,65,298,192,20,0,1,182,0,0,0,0,0,1,0,0,1,5,1,0,1,0,702,0,0,702,0
66,66,169,93,13,0,0,89,0,0,0,0,0,0,0,0,1,2,1,1,0,0,369,0,1,370,0
67,67,339,284,16,0,1,187,1,0,0,0,0,0,2,1,4,16,2,2,0,0,855,0,1,856,0
68,68,124,106,11,0,0,99,0,0,0,0,0,0,0,1,4,3,0,2,0,0,350,0,0,350,0
69,69,290,396,13,0,0,231,1,0,1,1,0,0,0,0,1,2,0,0,1,0,937,0,2,939,0
70,70,230,145,18,0,0,150,0,0,0,0,0,0,0,0,0,0,1,1,0,0,545,0,4,549,0
71,71,167,197,24,0,0,151,4,1,0,0,0,0,0,0,0,0,0,1,0,0,545,0,2,547,0
72,72,232,285,39,0,0,263,6,0,0,1,0,0,1,0,1,1,2,1,0,0,832,0,2,834,0
73,73,134,155,19,0,0,208,1,0,0,0,0,0,1,0,0,0,1,0,0,1,520,0,5,525,0
74,74,124,197,37,0,1,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,4,632,0
75,75,114,190,33,0,0,231,0,0,1,0,0,0,0,0,0,0,0,1,0,0,570,0,8,578,0
76,76,149,176,37,0,0,284,2,1,0,0,0,0,0,0,1,0,0,0,0,0,650,0,2,652,0
77,77,113,204,35,0,0,251,3,1,0,0,0,0,0,1,0,2,0,0,0,0,610,0,1,611,0
78,78,69,103,14,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,2,297,0
79,79,193,254,29,0,1,241,0,0,0,0,0,2,0,0,0,0,0,1,0,0,721,0,4,725,0
80,80,84,159,24,0,0,145,1,2,0,0,1,0,1,2,1,0,0,0,0,0,420,0,0,420,0
81,81,173,275,41,0,0,332,3,2,0,0,0,0,0,0,1,0,0,0,0,0,827,0,4,831,0
82,82,224,209,24,0,0,154,4,1,0,0,1,0,1,0,0,1,4,0,0,0,623,0,1,624,0
83,83,168,107,9,0,0,137,2,0,0,0,0,0,0,0,0,1,1,1,0,0,426,0,2,428,0
84,84,142,185,25,0,0,164,1,1,0,0,1,0,0,0,1,0,0,0,0,0,520,0,4,524,0
85,85,187,211,17,1,0,253,0,1,1,0,1,0,0,0,0,1,1,0,1,0,675,0,2,677,0
86,86,63,145,14,0,0,161,0,0,0,0,0,0,0,1,0,1,3,0,1,0,389,0,8,397,0
87,87,215,291,26,0,2,220,0,0,1,0,0,0,1,0,1,0,2,1,0,0,760,0,0,760,0
88,88,135,90,6,0,1,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,318,0,0,318,0
89,89,171,196,28,0,2,224,0,0,0,0,1,1,0,0,1,1,1,0,0,0,626,0,6,632,0
90,90,154,166,13,0,2,125,4,0,0,0,0,0,0,0,0,1,1,0,0,1,467,0,2,469,0
91,91,90,205,27,0,0,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,517,0,4,521,0
92,92,49,92,16,0,0,95,0,0,0,0,0,0,2,0,0,0,0,0,0,0,254,0,0,254,0
93,93,159,179,28,0,0,183,2,0,0,0,0,0,0,0,1,0,1,0,0,0,553,0,6,559,0
94,94,179,179,38,1,1,232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,631,0,0,631,0
95,95,225,314,32,0,0,241,0,1,0,0,0,0,0,0,1,1,1,0,0,0,816,0,2,818,0
96,96,93,79,11,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,270,0
97,97,121,233,34,0,1,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,4,558,0
98,98,113,138,18,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,429,0,4,433,0
99,99,259,161,31,0,0,184,0,1,0,1,0,0,0,0,1,3,0,0,0,0,641,0,2,643,0
100,100,206,156,35,0,0,222,0,1,0,0,0,1,0,0,1,0,0,0,0,0,622,0,3,625,0
101,101,171,165,25,1,2,247,1,1,1,0,0,0,0,0,0,1,3,0,0,0,618,0,2,620,0
102,102,175,306,36,2,2,308,1,0,0,0,0,0,0,0,0,1,1,2,1,0,835,0,2,837,0
103,103,213,153,29,0,1,199,0,0,1,0,2,0,0,0,0,1,0,0,0,0,599,0,3,602,0
104,104,77,211,33,0,0,177,0,0,0,0,0,0,0,0,1,1,0,0,0,0,500,0,1,501,0
105,105,73,114,10,0,0,87,1,0,0,0,0,0,0,1,0,2,0,0,0,0,288,0,2,290,0
106,106,95,328,20,0,0,248,0,0,0,0,0,0,0,1,0,0,1,0,0,0,693,0,5,698,0
107,107,63,340,28,0,4,272,1,0,0,0,0,0,0,2,0,0,1,0,0,0,711,0,0,711,0
108,108,255,238,24,1,0,233,0,0,1,0,3,0,0,0,0,1,1,1,1,1,760,0,0,760,0
109,109,208,253,20,0,1,253,0,5,0,0,0,0,0,1,0,0,0,0,0,0,741,0,2,743,0
110,110,222,235,23,2,1,299,0,1,0,0,0,1,0,0,1,0,0,0,0,1,786,0,8,794,0
111,111,153,318,22,1,1,225,1,0,0,0,0,1,0,0,1,0,0,0,0,0,723,0,0,723,0
112,112,156,246,24,0,1,262,0,0,1,0,0,0,0,1,0,0,0,0,0,0,691,0,2,693,0
113,113,140,399,23,0,0,239,0,1,0,1,0,0,0,0,0,1,0,0,0,0,804,0,2,806,0
114,114,124,318,31,0,1,217,1,1,0,0,0,0,0,0,0,0,1,0,0,0,694,0,3,697,0
115,115,197,282,33,0,0,286,0,1,0,0,0,1,0,0,0,1,1,1,0,0,803,0,6,809,0
116,116,83,119,13,0,0,130,3,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,1,349,0
117,117,129,152,18,0,0,104,0,1,0,0,0,0,0,0,1,1,1,0,0,0,407,0,3,410,0
118,118,152,172,20,0,1,186,0,0,0,0,0,0,0,0,0,0,2,0,0,0,533,0,4,537,0
119,119,208,236,36,1,0,234,2,0,0,0,0,0,0,0,1,1,2,0,0,1,722,0,7,729,0
120,120,245,175,39,0,0,344,0,1,1,2,0,0,0,0,0,2,1,1,0,0,811,0,6,817,0
121,121,119,145,15,4,1,121,1,1,0,1,0,1,0,0,0,0,2,0,0,0,411,0,2,413,0
122,122,206,173,39,0,1,263,0,1,0,0,0,0,0,0,1,1,0,0,0,0,685,0,5,690,0
123,123,205,207,16,0,0,237,1,0,1,0,0,1,0,0,0,2,0,0,0,0,670,0,2,672,0
124,124,79,75,10,0,0,118,0,2,2,0,0,0,0,0,0,0,0,0,0,0,286,0,1,287,0
125,125,158,196,29,0,1,170,1,1,0,0,1,0,0,0,1,0,0,0,0,0,558,0,1,559,0
126,126,171,212,19,0,0,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,597,0,4,601,0
127,127,226,234,19,1,2,312,0,1,0,0,1,0,1,0,0,1,1,1,0,0,800,0,4,804,0
128,128,148,204,18,1,0,223,2,3,0,0,0,0,0,0,0,0,0,0,0,0,599,0,4,603,0
129,129,118,137,24,1,1,184,1,1,0,0,0,0,0,0,0,0,0,0,0,0,467,0,4,471,0
130,130,177,213,36,2,1,235,2,0,1,2,0,1,0,2,0,2,0,0,0,0,674,0,7,681,0
131,131,99,147,18,0,1,169,0,0,0,0,0,0,0,1,1,0,0,1,0,0,437,0,3,440,0
132,132,187,242,29,0,0,258,1,1,0,0,0,0,0,0,0,2,1,2,0,0,723,0,3,726,0
133,133,109,137,9,0,0,169,0,2,0,0,0,0,0,0,0,1,1,0,0,0,428,0,1,429,0
134,134,188,242,28,1,0,322,0,1,0,0,2,1,0,1,2,0,0,4,0,0,792,0,2,794,0
135,135,160,201,21,0,0,164,0,6,0,0,0,0,0,0,0,0,0,0,0,0,552,0,3,555,0
136,136,120,302,21,0,1,268,0,1,0,0,0,0,0,0,0,1,0,1,0,0,715,0,6,721,0
137,137,144,198,33,0,0,255,0,0,0,0,0,0,1,3,1,0,0,0,0,0,635,0,5,640,0
138,138,202,113,17,2,0,178,0,4,0,0,1,0,1,0,1,1,0,0,1,0,521,0,3,524,0
139,139,167,167,17,0,0,213,1,1,0,1,0,0,0,0,0,1,0,0,0,0,568,0,0,568,0
140,140,227,139,23,1,1,253,0,0,0,1,0,0,0,0,0,1,0,0,0,0,646,0,8,654,0
141,141,175,217,15,1,1,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,4,643,0
142,142,183,252,29,0,1,257,0,0,0,0,0,0,0,0,0,0,0,1,1,1,725,0,0,725,0
143,143,121,196,11,0,0,228,1,0,0,0,0,0,0,0,0,1,0,0,0,0,558,0,0,558,0
144,144,146,230,24,0,0,264,1,0,0,0,0,0,0,0,0,2,1,0,0,0,668,0,4,672,0
145,145,281,219,31,1,2,276,1,0,1,0,0,0,0,0,0,1,0,0,0,0,813,0,1,814,0
146,146,174,195,27,0,1,184,0,0,0,0,0,0,1,0,0,1,0,0,0,0,583,0,4,587,0
147,147,139,156,18,0,2,156,0,0,0,0,0,0,0,0,0,0,1,1,0,0,473,0,1,474,0
148,148,170,157,17,1,0,176,0,9,0,0,0,0,0,0,0,0,0,1,0,0,531,0,3,534,0
149,149,171,228,22,0,0,264,1,3,0,0,0,0,0,0,0,0,0,2,0,0,691,0,4,695,0
150,150,141,170,29,0,0,315,0,8,0,0,0,0,0,0,0,0,3,0,0,0,666,0,5,671,0
151,151,237,132,26,0,1,230,0,0,1,0,0,1,0,0,1,0,0,0,0,0,629,0,5,634,0
152,152,163,143,21,2,2,214,1,1,0,0,0,0,1,0,0,0,1,1,0,0,550,0,2,552,0
153,153,179,246,33,1,0,187,0,1,1,0,1,0,0,0,0,1,2,0,0,0,652,0,3,655,0
154,154,223,212,38,1,1,292,0,6,0,0,0,1,0,0,0,0,0,0,0,0,774,0,7,781,0
155,155,124,170,18,1,0,151,0,0,0,1,1,0,0,0,0,0,0,0,0,1,467,0,1,468,0
156,156,85,103,19,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,1,320,0
157,157,163,166,11,0,1,215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,557,0,2,559,0
158,158,177,285,26,1,0,329,1,1,0,0,1,0,0,1,3,2,1,1,0,0,829,0,2,831,0
159,159,210,326,35,1,3,380,0,0,0,1,0,0,0,1,0,0,3,2,1,1,964,0,5,969,0
160,160,223,268,25,0,3,344,0,0,0,0,0,1,0,0,0,1,0,0,0,0,865,0,2,867,0
161,161,201,349,21,0,1,314,0,3,1,0,2,0,0,2,1,1,1,0,0,0,897,0,0,897,0
162,162,214,328,17,0,2,347,0,1,0,2,0,1,0,0,1,2,1,0,0,0,916,0,2,918,0
163,163,222,309,13,1,3,294,1,1,2,0,1,0,0,0,1,3,1,0,0,0,852,0,5,857,0
164,164,146,308,26,0,3,355,0,1,0,0,0,0,0,1,2,0,3,3,1,2,851,0,7,858,0
165,165,162,239,21,2,0,234,0,1,0,0,1,0,0,0,0,0,1,0,0,0,661,0,1,662,0
166,166,77,143,10,0,0,75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,307,0
167,167,263,266,33,0,0,248,1,0,0,0,0,0,0,0,0,0,1,1,0,0,813,0,1,814,0
168,168,305,243,23,0,0,390,1,1,0,0,0,0,0,0,0,4,0,1,0,0,968,0,0,968,0
169,169,121,84,11,0,0,70,0,0,0,0,0,0,0,0,0,1,1,0,0,0,288,0,0,288,0
170,170,271,236,31,0,1,263,0,0,0,0,1,0,0,1,0,0,0,3,0,0,807,0,2,809,0
171,171,52,82,11,1,0,122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269,0,0,269,0
172,172,165,221,29,1,1,204,0,0,0,0,0,0,0,0,1,3,0,1,0,0,626,0,2,628,0
173,173,205,259,28,0,0,221,0,0,0,8,1,1,0,0,0,1,0,0,0,0,724,0,0,724,0
174,174,275,253,17,1,0,248,1,0,0,0,0,0,0,0,1,1,1,1,2,0,801,0,2,803,0
175,175,189,152,10,0,0,143,0,0,0,0,1,0,0,0,1,2,4,2,0,0,504,0,3,507,0
176,176,200,198,14,1,0,242,0,0,0,0,0,0,0,0,0,2,1,1,0,0,659,0,3,662,0
177,177,242,268,50,1,0,241,0,1,0,1,1,0,0,2,1,1,0,0,0,0,809,0,0,809,0
178,178,170,274,18,1,2,247,0,0,1,1,0,0,0,0,0,1,0,0,0,0,715,0,6,721,0
179,179,157,209,25,0,1,290,0,1,0,0,0,0,0,0,0,1,1,0,0,0,685,0,1,686,0
180,180,229,210,18,0,1,170,1,0,0,0,0,0,0,0,1,1,1,2,0,0,634,0,3,637,0
181,181,228,245,19,0,0,244,1,0,0,0,0,0,0,0,0,4,2,1,0,0,744,0,2,746,0
182,182,113,220,21,0,1,178,0,1,1,0,0,0,0,0,0,0,0,0,0,0,535,0,0,535,0
183,183,125,147,18,1,0,133,0,0,0,0,1,0,0,0,1,0,0,0,0,0,426,0,2,428,0
184,184,210,218,22,0,0,153,0,1,1,0,0,0,0,0,1,2,4,0,1,0,613,0,1,614,0
185,185,179,432,26,0,2,262,1,0,1,0,2,0,0,0,2,1,2,0,1,0,911,0,0,911,0
186,186,245,347,22,0,1,237,0,1,0,0,1,1,0,0,1,2,1,0,0,1,860,0,1,861,0
187,187,46,195,4,0,0,111,0,0,0,0,0,1,0,0,0,1,1,0,0,0,359,0,1,360,0
188,188,248,239,19,0,1,198,1,0,0,0,0,0,0,1,0,2,5,6,1,0,721,0,1,722,0
189,189,345,302,21,0,1,230,3,0,1,1,2,0,2,2,0,1,3,1,0,0,915,0,0,915,0
190,190,375,211,16,1,1,243,1,0,0,0,0,0,2,0,1,3,4,0,0,0,858,0,3,861,0
191,191,297,289,17,0,3,249,0,1,1,1,0,0,0,0,0,0,1,2,0,0,861,0,4,865,0
192,192,216,347,24,0,1,307,0,0,0,0,0,0,0,0,1,2,3,1,0,1,903,0,2,905,0
193,193,201,261,28,0,1,255,0,0,0,0,0,0,1,0,0,0,2,0,1,0,750,0,4,754,0
194,194,103,99,16,1,0,164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,384,0,1,385,0
195,195,214,382,28,0,0,284,1,0,0,0,0,0,1,1,1,0,3,2,0,0,917,0,2,919,0
196,196,185,252,41,0,1,350,1,1,0,0,2,0,0,1,0,0,0,0,0,0,834,0,2,836,0
197,197,150,184,17,0,1,200,1,0,0,0,0,0,0,1,1,0,0,0,0,0,555,0,2,557,0
198,198,76,134,1,0,0,118,1,0,0,0,0,0,0,0,0,1,0,1,0,0,332,0,5,337,0
199,199,152,324,16,0,0,269,0,2,0,0,0,0,0,0,1,2,1,2,1,0,770,0,2,772,0
200,200,197,258,20,0,0,248,0,0,1,0,1,0,0,0,1,0,1,0,0,0,727,0,2,729,0
201,201,153,179,17,0,1,253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,604,0,3,607,0
202,202,202,282,25,1,1,274,0,0,0,0,0,1,0,0,0,1,0,0,0,0,787,0,3,790,0
203,203,128,219,11,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572,0,5,577,0
204,204,166,222,24,0,0,260,0,0,0,0,0,0,1,0,0,0,2,1,0,0,676,0,1,677,0
205,205,74,632,12,0,5,145,0,0,2,0,0,1,0,0,1,0,0,2,0,0,874,0,2,876,0
206,206,101,540,7,0,4,169,0,0,0,0,1,1,0,0,0,0,0,0,0,0,823,0,9,832,0
207,207,87,559,25,0,1,121,1,0,1,1,0,1,0,0,0,0,2,1,0,0,800,0,3,803,0
208,208,76,562,12,0,3,111,0,0,0,0,1,1,0,0,0,1,0,0,0,0,767,0,2,769,0
209,209,34,544,9,0,3,138,0,0,1,0,0,0,1,0,0,0,0,1,0,0,731,0,1,732,0
210,210,142,193,14,1,0,216,0,1,0,1,1,0,0,0,0,0,0,1,0,0,570,0,3,573,0
211,211,81,497,6,0,3,116,1,0,0,0,0,0,0,2,0,0,0,0,0,0,706,0,1,707,0
212,212,141,431,15,0,2,165,0,0,0,0,3,0,0,0,3,0,0,2,0,0,762,0,0,762,0
213,213,196,468,16,0,1,191,1,0,0,0,1,0,0,0,2,0,1,1,0,0,878,0,4,882,0
214,214,100,337,7,0,0,91,1,1,0,0,0,0,0,0,1,1,0,1,0,0,540,0,0,540,0
215,215,95,479,8,0,2,200,0,0,0,0,0,0,1,0,1,0,0,0,0,0,786,0,4,790,0
216,216,88,212,5,0,2,327,0,0,2,0,0,0,0,0,0,2,0,1,0,0,639,0,3,642,0
217,217,141,311,23,0,1,320,0,1,0,1,1,0,0,1,2,0,2,2,0,0,806,0,3,809,0
218,218,179,224,19,1,2,397,0,0,2,1,1,1,0,0,1,1,3,0,0,1,833,0,1,834,0
219,219,36,247,3,1,0,175,0,0,0,0,0,0,0,0,0,0,1,1,0,0,464,0,1,465,0
220,220,116,293,21,0,0,433,0,0,1,0,0,0,0,0,0,1,1,1,0,0,867,0,1,868,0
221,221,150,429,8,0,6,220,0,1,0,0,0,1,0,0,1,1,1,1,0,0,819,0,1,820,0
222,222,111,336,18,0,1,388,0,1,0,0,1,0,0,1,3,0,0,0,0,0,860,0,1,861,0
223,223,88,201,18,0,1,304,0,0,0,1,0,0,0,0,1,1,1,2,0,1,619,0,0,619,0
224,224,127,342,25,0,3,286,0,1,0,0,1,0,0,0,1,0,1,1,0,0,788,0,1,789,0
225,225,99,363,21,1,3,297,0,0,1,0,1,0,0,0,0,0,0,4,0,0,790,0,4,794,0
226,226,73,360,11,0,0,259,1,1,0,0,0,0,0,0,0,0,1,2,0,0,708,0,1,709,0
227,227,79,234,15,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,506,0
228,228,69,263,25,1,3,250,1,0,0,0,0,0,0,0,0,1,0,2,1,0,616,0,1,617,0
229,229,202,170,29,0,0,390,1,1,0,0,0,0,0,1,0,0,1,0,0,0,795,0,1,796,0
230,230,270,177,24,0,1,317,0,1,1,0,1,0,0,0,0,1,0,1,3,0,797,0,6,803,0
231,231,259,299,37,0,1,353,0,1,1,1,0,0,2,0,1,2,2,0,0,0,959,0,5,964,0
232,232,306,179,30,0,0,361,2,0,1,0,0,0,0,0,0,0,1,0,1,0,881,0,3,884,0
233,233,201,213,31,0,1,336,0,0,1,0,0,0,0,0,0,1,3,4,0,0,791,0,1,792,0
234,234,144,145,21,0,3,271,1,0,0,0,0,0,0,1,1,0,0,1,0,0,588,0,0,588,0
235,235,268,167,34,2,3,357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,832,0,4,836,0
236,236,200,225,16,1,1,341,1,2,0,0,0,0,0,0,3,0,0,1,0,0,791,0,2,793,0
237,237,193,156,20,0,1,232,0,0,0,0,1,0,0,1,0,0,1,2,0,1,608,0,3,611,0
238,238,218,124,19,0,0,253,0,0,0,0,0,1,0,1,0,1,2,1,0,0,620,0,2,622,0
239,239,135,139,16,0,0,166,0,0,0,0,0,0,0,0,1,0,0,0,1,0,458,0,3,461,0
240,240,140,250,34,0,1,235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,661,0,1,662,0
241,241,161,119,16,0,0,194,0,2,0,0,0,2,0,1,1,0,0,0,0,0,496,0,2,498,0
242,242,148,219,20,1,1,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,738,0
243,243,200,183,32,1,3,322,1,0,0,0,0,0,1,0,2,1,1,1,1,0,749,0,8,757,0
244,244,212,261,35,1,0,419,0,0,0,0,1,0,1,2,2,2,1,1,0,0,938,0,2,940,0
245,245,110,144,23,0,1,235,0,2,0,0,0,0,1,0,0,1,0,1,0,0,518,0,3,521,0
246,246,329,214,19,1,2,350,2,0,1,0,1,0,0,0,1,1,0,0,0,0,921,0,1,922,0
247,247,168,298,18,1,0,335,1,0,0,0,3,0,0,0,3,2,0,4,0,0,833,0,1,834,0
248,248,175,252,15,1,0,314,1,0,1,0,0,0,0,0,0,1,3,2,0,0,765,0,4,769,0
