Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
58,150,13,111,1,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,506,0,1,507,0
59,235,31,119,0,0,0,1,291,0,1,1,0,0,0,0,1,2,0,1,0,0,0,1,2,0,0,0,1,687,0,4,691,0
60,592,11,27,1,0,0,0,195,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,830,0,0,830,0
61,234,20,81,2,0,0,0,289,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,630,0,1,631,0
62,221,10,78,1,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,494,0,2,496,0
63,258,25,120,1,1,0,0,356,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,766,0,4,770,0
64,269,23,120,0,0,0,0,340,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,754,0,4,758,0
65,313,13,110,0,0,0,4,336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,778,0,5,783,0
66,234,29,92,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,663,0,2,665,0
67,180,8,54,2,5,3,1,493,0,0,0,0,0,0,0,1,2,0,0,1,2,2,0,1,1,0,0,0,756,0,1,757,0
68,124,11,59,1,1,1,1,279,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,481,0,2,483,0
69,101,8,71,0,1,0,0,312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,494,0,1,495,0
70,94,5,56,1,0,0,0,202,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,363,0,1,364,0
71,288,19,107,0,0,0,1,346,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,765,0,2,767,0
