Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Candidate_25,Candidate_26,Candidate_27,Candidate_28,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,184,192,1,47,0,1,320,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,750,0,750,0
67,162,144,0,28,0,1,262,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,6,610,0,610,0
68,167,141,1,41,0,1,316,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,5,678,0,678,0
69,149,179,2,42,0,2,235,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,615,0,615,0
70,165,98,1,15,1,0,247,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,2,533,0,533,0
71,177,127,0,26,0,0,255,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,3,592,0,592,0
72,177,164,1,45,0,0,231,2,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,1,8,8,636,0,636,0
73,167,194,0,46,0,0,260,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,677,0,677,0
74,173,156,1,34,0,0,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,670,0,670,0
75,181,161,1,53,0,0,371,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,4,773,0,773,0
76,180,170,1,39,0,1,246,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,7,7,651,0,651,0
77,131,159,0,30,1,0,205,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,5,5,541,0,541,0
78,172,183,0,27,0,1,271,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,659,0,659,0
79,179,142,1,39,0,1,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,646,0,646,0
80,146,141,1,36,0,1,240,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,573,0,573,0
81,170,189,0,35,0,0,265,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,8,671,0,671,0
82,172,188,2,33,0,2,240,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,8,8,650,0,650,0
83,141,178,0,29,0,0,226,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,3,582,0,582,0
84,148,161,1,27,0,0,320,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,663,0,663,0
85,190,214,0,30,0,1,217,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,665,0,665,0
86,136,215,2,18,0,0,236,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,611,0,611,0
87,148,211,1,37,0,0,216,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,6,6,626,0,626,0
88,204,155,4,23,0,0,266,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,1,0,0,0,3,3,665,0,665,0
89,150,158,3,34,0,0,209,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,8,566,0,566,0
90,144,116,0,26,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,9,487,0,487,0
91,163,166,2,37,0,1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,618,0,618,0
92,114,90,1,32,0,0,207,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,7,7,458,0,458,0
93,142,187,0,23,0,0,298,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6,6,660,0,660,0
94,164,151,2,25,0,0,253,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,2,2,603,0,603,0
95,220,152,0,53,1,0,310,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,743,0,743,0
96,230,160,1,45,0,1,320,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,7,767,0,767,0
97,199,143,0,47,0,0,320,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4,4,718,0,718,0
98,186,165,0,46,0,0,315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,6,6,722,0,722,0
99,176,151,2,35,0,0,393,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,765,0,765,0
100,221,201,0,57,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,739,0,739,0
101,186,154,0,42,0,2,355,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,4,4,750,0,750,0
102,177,104,0,36,0,0,417,0,0,0,0,1,0,1,1,1,2,1,0,1,0,0,1,1,1,0,0,1,1,746,0,746,0
103,101,143,1,37,0,1,202,1,0,0,1,0,0,0,1,2,2,4,0,0,0,0,0,1,1,0,0,1,1,499,0,499,0
104,218,159,1,45,0,1,355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,784,0,784,0
105,144,143,1,36,0,0,356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,685,0,685,0
106,190,167,0,56,0,0,302,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,724,0,724,0
107,234,111,0,47,0,2,406,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,3,3,810,0,810,0
108,220,120,0,52,0,1,396,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,4,796,0,796,0
109,225,205,0,66,0,4,415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,920,0,920,0
110,169,88,2,42,0,3,406,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,1,717,0,717,0
111,220,95,2,33,0,0,418,0,0,0,0,0,0,0,0,2,1,1,0,1,1,2,1,0,0,3,3,2,2,785,0,785,0
112,154,54,2,22,0,1,403,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,2,642,0,642,0
113,174,86,3,33,0,0,391,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,693,0,693,0
114,160,90,0,34,1,1,501,4,1,1,0,2,0,1,0,1,1,0,0,2,0,0,0,0,2,0,0,2,2,804,0,804,0
115,253,118,2,23,1,1,380,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,2,2,787,0,787,0
116,115,44,3,21,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,405,0,405,0
117,157,55,1,19,0,1,328,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,567,0,567,0
118,197,121,0,45,0,0,356,0,0,0,0,1,0,0,2,0,2,1,0,1,1,0,0,0,0,2,0,4,4,733,0,733,0
119,189,143,0,58,0,0,402,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,6,6,804,0,804,0
120,215,176,0,50,0,1,409,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,862,0,862,0
121,194,114,2,53,0,3,359,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,2,733,0,733,0
122,154,96,0,52,0,2,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,708,0,708,0
123,221,117,0,41,0,1,360,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,747,0,747,0
124,223,112,0,42,0,0,355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,737,0,737,0
125,205,126,1,28,0,0,380,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,4,4,750,0,750,0
126,193,116,1,33,0,0,289,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,637,0,637,0
127,213,159,0,43,0,0,346,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,768,0,768,0
128,196,90,2,30,0,1,313,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,639,0,639,0
129,240,91,2,30,0,1,351,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,1,722,0,722,0
130,176,78,0,28,0,0,248,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,539,0,539,0
131,134,116,1,29,0,1,282,2,0,2,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,2,575,0,575,0
132,160,87,0,27,0,1,282,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,561,0,561,0
133,148,85,0,20,0,3,382,0,0,0,0,0,1,0,0,1,1,3,0,0,2,0,0,0,0,0,0,5,5,651,0,651,0
134,118,80,3,33,0,2,372,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,614,0,614,0
135,112,92,2,28,2,1,417,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,1,661,0,661,0
136,291,103,0,33,0,3,320,2,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,1,1,0,0,0,0,760,0,760,0
137,188,79,1,23,0,0,303,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,4,601,0,601,0
138,257,123,0,50,0,1,314,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,753,0,753,0
139,119,101,0,18,0,0,279,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,523,0,523,0
140,136,76,0,32,0,0,261,0,1,1,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,3,3,517,0,517,0
141,138,108,2,36,0,1,386,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,2,681,0,681,0
142,122,51,0,18,0,0,255,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,453,0,453,0
143,154,88,0,25,0,0,325,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,2,2,600,0,600,0
144,119,83,0,26,0,0,356,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,593,0,593,0
145,154,94,0,36,0,2,289,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,4,4,587,0,587,0
146,256,73,1,30,0,1,365,0,0,0,0,0,1,0,1,0,1,0,0,0,16,0,0,0,1,0,0,2,2,748,0,748,0
147,189,74,0,20,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,586,0,586,0
148,166,81,1,29,1,0,360,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,643,0,643,0
149,198,98,1,33,0,1,378,0,1,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,5,5,722,0,722,0
150,244,102,0,39,0,1,331,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,5,5,730,0,730,0
151,141,125,0,34,0,2,365,0,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,3,677,0,677,0
152,123,97,0,28,0,1,368,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,7,7,628,0,628,0
153,198,295,1,58,0,0,286,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,849,0,849,0
154,137,103,1,30,0,1,338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,614,0,614,0
155,257,52,3,38,0,0,356,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,4,4,714,0,714,0
156,117,49,0,23,0,1,278,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,473,0,473,0
157,99,44,1,17,1,0,268,2,1,2,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,442,0,442,0
158,186,90,0,42,0,0,452,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,5,779,0,779,0
159,191,100,1,51,0,0,433,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,782,0,782,0
160,209,122,0,43,1,0,433,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,1,6,6,821,0,821,0
161,186,137,1,46,0,0,422,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,801,0,801,0
162,192,97,1,27,0,0,257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,7,583,0,583,0
163,170,85,0,31,0,0,270,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,563,0,563,0
164,189,118,0,38,0,1,253,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,606,0,606,0
165,195,131,0,39,2,0,385,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,758,0,758,0
166,159,145,1,38,0,1,186,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,538,0,538,0
167,186,123,1,26,0,0,263,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,5,5,611,0,611,0
168,164,148,2,44,1,0,301,0,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,4,4,672,0,672,0
169,192,141,3,32,1,1,216,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,2,593,0,593,0
170,173,92,0,25,0,0,274,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,575,0,575,0
171,192,125,2,33,0,2,302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,665,0,665,0
172,189,101,1,29,0,0,212,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,538,0,538,0
173,189,124,0,17,0,1,205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,539,0,539,0
174,223,86,0,34,0,2,213,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,567,0,567,0
175,206,96,1,28,0,1,249,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,584,0,584,0
176,208,122,2,40,0,0,349,1,1,0,0,0,0,0,0,1,2,4,0,1,0,1,1,0,0,1,1,3,3,738,0,738,0
177,166,105,1,23,0,0,191,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,494,0,494,0
178,199,96,1,25,0,0,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,490,0,490,0
179,112,88,0,24,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,403,0,403,0
180,130,150,0,20,0,1,259,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,563,0,563,0
181,166,169,0,34,0,0,258,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,636,0,636,0
182,172,128,0,28,1,0,212,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,3,547,0,547,0
183,116,69,0,22,0,1,271,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,486,0,486,0
184,158,110,0,30,0,0,279,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,584,0,584,0
185,159,144,0,35,0,0,226,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,6,573,0,573,0
186,164,108,1,38,0,1,316,0,2,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2,2,639,0,639,0
187,173,94,0,24,0,0,306,1,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,607,0,607,0
188,219,124,0,29,0,2,362,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,2,0,1,1,0,4,4,750,0,750,0
189,137,104,0,26,1,1,349,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,4,630,0,630,0
190,166,132,1,23,1,1,347,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,676,0,676,0
191,157,146,0,32,0,0,383,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,723,0,723,0
192,149,71,1,29,0,1,406,1,0,1,0,0,0,0,0,2,3,3,0,1,0,0,1,1,0,0,1,0,0,671,0,671,0
193,143,123,0,20,0,1,178,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,468,0,468,0
194,99,140,0,17,0,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,455,0,455,0
195,114,245,0,26,0,1,266,1,0,0,0,2,1,0,0,1,0,5,0,0,0,0,1,0,0,0,0,2,2,665,0,665,0
196,184,100,1,43,0,1,401,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,4,4,742,0,742,0
197,188,153,0,27,0,0,321,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,698,0,698,0
198,148,71,0,37,0,1,354,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,1,4,4,623,0,623,0
