Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
97,97,5,41,294,108,0,7,1,108,0,2,0,0,0,1,0,0,0,0,567,0,1,568,0
98,98,0,13,131,178,1,0,0,101,0,0,0,0,0,0,0,0,0,1,425,0,2,427,0
99,99,3,13,212,268,1,0,5,160,0,1,0,0,2,0,0,2,0,0,667,0,4,671,0
100,100,0,15,128,376,1,0,0,129,0,0,0,0,0,1,0,0,0,1,651,0,4,655,0
101,101,2,17,235,166,2,0,0,170,0,0,0,1,1,1,1,0,1,0,597,0,0,597,0
102,102,0,6,146,215,0,1,1,120,0,1,0,0,0,3,0,0,0,0,493,0,2,495,0
103,103,3,12,253,326,1,0,2,96,1,0,0,0,0,0,0,0,0,0,694,0,2,696,0
104,104,0,12,129,235,0,0,0,90,0,0,0,1,2,0,0,0,0,0,469,0,0,469,0
105,105,0,20,241,288,0,1,1,202,0,0,0,1,0,0,0,0,2,1,757,0,6,763,0
106,106,1,17,147,137,1,0,0,99,0,0,0,0,0,2,0,0,0,1,405,0,6,411,0
107,107,0,74,409,185,1,5,1,180,0,0,0,1,1,0,2,1,0,1,861,0,3,864,0
108,108,0,83,354,107,0,4,0,128,0,0,0,2,0,0,0,2,2,3,685,0,5,690,0
109,109,1,55,300,113,0,3,0,90,1,0,0,0,2,0,0,1,0,0,566,0,4,570,0
110,110,0,12,147,112,3,0,1,71,0,0,0,2,0,0,0,0,1,0,349,0,2,351,0
111,111,4,34,336,285,0,1,3,193,0,1,0,1,0,0,0,0,0,0,858,0,2,860,0
112,112,0,36,186,240,0,1,4,161,0,0,0,0,0,0,1,1,1,0,631,0,5,636,0
113,113,0,27,238,382,3,1,0,218,0,1,0,2,1,0,1,1,4,1,880,0,8,888,0
114,114,1,27,170,337,1,0,0,198,0,0,0,0,0,0,0,0,2,0,736,0,3,739,0
115,115,1,27,154,328,1,0,2,209,1,0,0,0,0,0,0,0,2,1,726,0,1,727,0
116,116,1,13,225,282,1,0,1,217,0,0,0,0,0,0,1,1,1,0,743,0,4,747,0
117,117,5,11,276,204,2,0,2,163,0,0,0,1,0,0,0,2,0,0,666,0,5,671,0
118,118,0,26,249,340,1,0,2,151,1,0,0,1,0,0,0,0,0,0,771,0,1,772,0
119,119,2,24,285,211,2,0,1,252,0,1,0,0,0,1,2,1,0,0,782,0,0,782,0
120,120,0,54,287,165,1,2,1,116,0,0,0,4,0,0,0,1,0,0,631,0,3,634,0
121,121,3,45,380,144,1,4,1,74,0,0,1,3,0,1,1,0,0,0,658,0,3,661,0
122,122,6,53,338,200,1,5,2,168,0,0,0,8,0,0,0,1,1,1,784,0,4,788,0
123,123,2,39,265,232,2,7,5,147,0,0,1,1,1,0,0,0,1,0,703,0,2,705,0
124,124,3,14,302,222,2,0,0,201,0,0,1,1,1,1,0,0,1,0,749,0,7,756,0
125,125,0,17,348,71,2,0,0,246,2,0,0,1,0,0,0,1,1,0,689,0,4,693,0
126,126,1,21,363,86,0,0,0,194,1,0,0,1,2,1,1,0,0,0,671,0,9,680,0
127,127,0,59,262,282,1,0,0,180,1,1,0,1,1,0,2,0,0,0,790,0,4,794,0
128,128,0,36,312,365,4,0,1,194,1,2,0,3,1,0,0,0,0,1,920,0,5,925,0
129,129,0,16,130,251,3,0,0,141,0,0,0,0,1,0,0,0,0,0,542,0,1,543,0
130,130,0,23,107,208,1,0,1,117,0,0,1,2,0,0,0,0,0,0,460,0,0,460,0
131,131,0,23,148,232,2,2,0,130,0,0,0,2,0,2,0,0,0,0,541,0,3,544,0
132,132,1,74,331,429,0,0,3,155,0,0,0,0,0,2,2,2,0,0,999,0,5,1004,0
133,133,2,45,218,299,0,2,2,60,0,0,0,1,0,0,0,0,0,0,629,0,1,630,0
134,134,0,37,221,410,2,1,1,174,0,0,0,1,0,2,0,0,0,1,850,0,8,858,0
135,135,1,25,158,333,3,0,1,95,0,0,0,0,1,1,0,0,0,0,618,0,4,622,0
136,136,1,28,159,366,2,0,0,144,1,0,0,1,1,1,1,0,0,0,705,0,2,707,0
137,137,0,16,255,311,3,0,1,125,0,0,0,0,0,0,0,0,0,1,712,0,11,723,0
138,138,0,20,104,307,1,1,0,120,0,0,0,0,0,1,0,1,0,0,555,0,2,557,0
139,139,0,31,185,229,2,0,6,160,0,0,0,0,1,0,0,0,0,2,616,0,2,618,0
140,140,1,22,233,325,1,1,1,232,2,1,0,1,2,0,0,2,1,0,825,0,5,830,0
141,141,1,19,181,197,0,0,3,197,0,1,0,0,0,0,0,1,0,0,600,0,2,602,0
142,142,0,15,211,166,2,1,2,156,0,0,1,1,0,2,0,1,0,1,559,0,4,563,0
143,143,2,40,264,285,2,31,1,156,0,0,0,0,1,0,0,1,0,0,783,0,5,788,0
144,144,0,7,117,223,1,1,0,229,0,0,0,0,0,0,0,1,2,0,581,0,1,582,0
145,145,0,5,86,207,2,1,0,152,1,0,0,2,0,0,0,0,0,0,456,0,1,457,0
146,146,0,5,159,189,1,0,0,182,2,0,0,0,0,0,0,0,0,1,539,0,1,540,0
147,147,0,0,123,246,2,0,1,149,0,0,0,1,0,0,1,0,0,1,524,0,6,530,0
148,148,5,32,459,84,3,5,2,239,2,0,1,1,0,2,1,1,0,1,838,0,3,841,0
149,149,1,25,340,49,0,3,0,144,0,0,0,2,0,0,1,1,1,1,568,0,4,572,0
150,150,2,35,314,52,2,0,0,155,0,0,0,0,0,0,0,0,0,1,561,0,1,562,0
151,151,3,33,245,88,5,1,2,152,1,0,0,1,1,3,0,1,0,0,536,0,0,536,0
152,152,6,50,283,183,2,2,2,317,0,1,0,1,1,1,0,3,1,0,853,0,4,857,0
153,153,2,9,217,99,2,0,1,125,0,1,0,3,0,2,0,1,2,1,465,0,2,467,0
154,154,2,13,118,178,3,1,2,150,1,0,0,0,0,1,0,0,0,0,469,0,3,472,0
155,155,0,27,199,297,3,0,3,256,0,0,0,1,0,0,0,0,0,0,786,0,8,794,0
156,156,1,16,137,235,1,0,1,93,1,0,1,0,0,1,0,0,1,0,488,0,3,491,0
157,157,0,60,278,187,0,3,3,258,3,1,1,1,1,0,0,0,0,0,796,0,4,800,0
158,158,2,56,362,207,0,0,2,197,0,1,0,1,0,1,0,0,0,1,830,0,3,833,0
159,159,1,4,169,170,1,0,1,112,0,0,0,0,1,0,0,1,1,0,461,0,4,465,0
160,160,0,31,224,292,2,1,4,235,2,0,0,0,1,0,0,1,1,0,794,0,0,794,0
161,161,1,2,61,63,0,1,1,98,0,0,0,0,0,0,0,0,1,0,228,0,0,228,0
162,162,2,109,354,69,0,12,0,119,0,0,0,3,0,0,2,1,2,0,673,0,9,682,0
163,163,1,21,259,298,6,0,1,203,0,0,0,1,2,0,0,0,0,1,793,0,5,798,0
164,164,2,20,279,300,4,1,1,158,0,1,1,0,0,0,1,0,0,0,768,0,2,770,0
165,165,2,8,271,441,5,2,1,284,1,0,1,2,3,6,2,2,0,0,1031,0,4,1035,0
166,166,1,9,240,302,4,2,1,79,0,0,1,0,0,0,0,1,0,0,640,0,0,640,0
167,167,3,6,179,131,0,1,0,136,0,0,0,0,2,2,0,0,0,0,460,0,1,461,0
168,168,2,20,190,228,4,0,0,185,0,0,0,1,0,0,1,0,0,0,631,0,8,639,0
169,169,0,29,197,241,4,0,0,135,0,0,1,0,0,0,2,0,0,0,609,0,3,612,0
170,170,0,41,173,214,2,1,2,203,0,1,0,1,3,1,0,0,0,1,643,0,1,644,0
171,171,1,32,184,300,5,0,1,210,0,0,0,2,0,1,0,0,1,1,738,0,4,742,0
172,172,2,26,173,207,1,0,2,122,0,0,0,0,0,0,0,1,0,0,534,0,1,535,0
173,173,1,35,162,210,4,0,1,117,0,0,0,2,1,0,1,0,0,1,535,0,2,537,0
174,174,0,53,253,403,1,0,1,180,0,0,0,1,0,0,0,3,1,0,896,0,1,897,0
175,175,4,42,251,112,1,4,0,159,1,0,0,1,0,1,0,0,1,3,580,0,3,583,0
176,176,0,43,157,149,1,4,1,171,0,0,0,0,0,0,0,1,0,0,527,0,1,528,0
177,177,0,43,235,219,0,0,2,184,1,0,0,2,1,0,0,0,1,0,688,0,3,691,0
178,178,1,47,216,234,2,1,3,183,1,1,0,0,0,1,0,1,1,0,692,0,2,694,0
179,179,2,55,254,213,4,0,5,272,1,1,1,1,2,2,1,0,0,0,814,0,7,821,0
180,180,0,47,206,142,0,0,2,236,0,0,0,1,0,0,0,1,0,0,635,0,7,642,0
181,181,1,46,269,145,0,6,3,234,0,0,0,0,0,0,0,0,0,2,706,0,5,711,0
182,182,1,9,278,111,0,0,0,197,0,0,0,1,2,0,0,0,1,1,601,0,5,606,0
183,183,0,47,167,169,1,0,0,166,0,0,1,0,0,0,1,0,0,0,552,0,9,561,0
184,184,0,32,220,136,0,6,6,155,0,0,0,1,1,0,0,0,0,0,557,0,3,560,0
185,185,7,29,234,185,2,0,0,288,1,2,0,1,1,0,0,1,1,0,752,0,3,755,0
186,186,1,48,298,146,0,0,1,284,0,0,0,0,0,0,1,1,0,0,780,0,5,785,0
187,187,1,36,178,95,2,0,1,225,0,0,0,2,2,0,0,8,1,0,551,0,6,557,0
188,188,1,28,142,98,1,1,3,138,0,0,0,1,1,0,0,0,0,0,414,0,2,416,0
189,189,4,101,179,212,4,3,3,290,0,0,0,1,1,2,0,0,0,0,800,0,4,804,0
190,190,3,59,221,167,1,1,7,168,0,1,0,0,1,1,0,0,0,0,630,0,0,630,0
191,191,3,60,241,216,0,1,1,213,1,0,0,1,2,2,1,1,0,0,743,0,1,744,0
192,192,2,68,267,163,1,1,4,170,1,0,0,2,0,2,0,0,1,2,684,0,1,685,0
193,193,2,57,297,112,1,2,1,282,1,2,1,0,0,0,1,1,0,2,762,0,3,765,0
194,194,0,41,171,154,1,0,3,132,0,0,0,0,0,0,0,0,0,0,502,0,4,506,0
195,195,0,32,268,90,1,1,5,164,0,0,0,2,2,0,1,3,0,2,571,0,4,575,0
196,196,1,42,274,98,4,4,1,192,1,0,2,3,0,0,0,0,0,2,624,0,3,627,0
197,197,1,22,89,99,0,0,6,81,0,0,0,0,0,0,1,0,0,0,299,0,0,299,0
198,198,3,32,201,277,4,2,2,295,1,0,2,1,0,1,0,1,0,0,822,0,0,822,0
199,199,2,28,231,101,1,0,2,163,0,0,0,0,1,1,0,1,1,0,532,0,0,532,0
200,200,0,28,222,100,3,0,1,168,0,0,0,1,0,1,0,0,1,0,525,0,2,527,0
201,201,3,65,279,171,1,0,5,279,0,1,0,1,0,0,0,1,1,1,808,0,0,808,0
202,202,1,67,248,136,1,1,3,271,0,0,1,0,1,1,0,0,0,0,731,0,3,734,0
203,203,0,47,290,200,3,2,2,235,0,1,0,0,1,0,0,0,0,0,781,0,5,786,0
204,204,0,33,222,147,1,0,4,193,0,0,0,0,0,2,0,1,0,0,603,0,5,608,0
205,205,1,27,195,130,0,0,5,131,2,0,0,1,0,1,2,0,1,2,498,0,2,500,0
206,206,2,33,270,204,1,2,5,271,0,0,0,1,0,0,1,3,0,0,793,0,1,794,0
207,207,2,62,196,78,0,0,2,250,0,0,0,0,0,0,0,1,0,1,592,0,3,595,0
208,208,1,95,349,161,2,1,5,286,3,0,1,4,2,1,1,3,0,2,917,0,5,922,0
209,209,1,39,171,71,0,0,1,137,2,0,1,0,0,0,0,1,0,0,424,0,2,426,0
210,210,0,38,354,170,2,2,2,234,0,1,1,1,0,2,0,2,0,3,812,0,7,819,0
211,211,0,33,237,188,1,0,3,186,0,1,0,2,2,0,0,1,0,1,655,0,1,656,0
212,212,0,10,119,127,3,0,2,134,0,0,0,1,0,0,0,2,0,0,398,0,2,400,0
213,213,0,51,238,89,1,1,1,177,0,0,0,0,0,0,1,0,0,1,560,0,1,561,0
214,214,1,36,289,194,1,0,3,257,0,0,1,2,0,1,1,0,0,0,786,0,2,788,0
215,215,0,25,160,178,2,0,2,209,1,0,0,0,0,0,0,0,1,0,578,0,0,578,0
216,216,0,44,208,148,0,2,0,208,0,1,0,1,0,0,0,1,0,0,613,0,2,615,0
217,217,2,39,239,72,0,1,0,157,0,0,1,0,1,0,1,1,1,1,516,0,3,519,0
218,218,2,48,287,69,2,11,2,161,2,2,0,1,0,1,0,0,0,2,590,0,5,595,0
219,219,1,23,115,197,1,0,1,140,0,0,1,0,1,0,0,0,0,0,480,0,0,480,0
220,220,1,19,91,137,1,0,3,144,0,1,1,2,0,0,0,1,0,0,401,0,0,401,0
221,221,1,30,202,145,3,0,6,287,0,0,0,2,0,0,0,3,0,0,679,0,2,681,0
222,222,1,33,186,141,1,0,1,240,0,0,0,0,0,1,0,1,0,0,605,0,1,606,0
223,223,2,31,187,263,4,1,5,249,0,0,0,0,1,0,0,0,0,1,744,0,2,746,0
224,224,1,7,226,212,1,1,4,188,0,1,0,2,0,1,0,1,0,1,646,0,2,648,0
225,225,0,25,162,131,1,1,0,162,0,0,0,2,0,1,0,1,0,1,487,0,0,487,0
226,226,0,28,226,173,3,6,6,199,1,0,0,0,0,0,0,0,0,0,642,0,0,642,0
227,227,0,5,52,32,1,0,0,17,1,0,0,0,0,0,0,0,0,0,108,0,0,108,0
228,228,2,37,292,138,2,0,4,227,0,0,0,0,1,1,0,1,2,5,712,0,3,715,0
229,229,0,13,161,115,1,1,3,128,1,1,0,0,1,0,1,0,0,0,426,0,1,427,0
230,230,2,29,250,162,1,0,3,139,3,0,0,0,0,0,0,0,0,0,589,0,0,589,0
231,231,6,61,273,145,2,3,0,188,1,0,0,1,0,0,0,2,0,0,682,0,8,690,0
232,232,4,59,246,121,0,2,1,145,1,0,0,0,1,1,0,1,1,1,584,0,0,584,0
233,233,1,33,376,220,4,0,7,181,0,0,1,0,2,0,0,1,0,2,828,0,10,838,0
234,234,1,14,308,143,1,1,0,188,0,0,0,0,1,1,0,0,0,0,658,0,8,666,0
235,235,1,15,200,108,2,0,2,91,0,0,0,0,0,1,0,0,0,3,423,0,7,430,0
236,236,1,5,139,121,1,0,1,114,0,0,0,0,0,0,0,0,0,0,382,0,1,383,0
237,237,2,23,151,195,1,1,2,223,0,1,0,2,0,0,1,1,1,0,604,0,3,607,0
238,238,1,42,328,187,1,2,3,246,0,2,2,1,2,0,0,0,0,2,819,0,2,821,0
239,239,0,0,31,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,41,0,0,41,0
240,240,2,49,218,111,0,2,1,136,0,0,0,1,3,1,0,0,0,0,524,0,3,527,0
241,241,3,68,299,231,3,0,6,274,1,0,1,0,0,0,0,0,0,0,886,0,4,890,0
242,242,1,16,137,227,1,0,0,148,0,0,0,0,1,0,0,0,0,1,532,0,1,533,0
243,243,0,36,192,222,0,0,4,187,0,0,0,0,0,1,0,1,0,0,643,0,1,644,0
244,244,0,50,288,181,2,13,4,186,0,0,0,1,1,0,0,1,0,0,727,0,3,730,0
245,245,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
