Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
63,63,237,99,23,0,1,5,2,289,0,1,0,0,0,0,0,2,4,1,1,0,0,0,0,0,1,0,666,0,6,672,0
64,64,226,136,32,11,0,2,1,227,0,0,0,1,0,0,1,2,8,3,0,0,0,0,1,0,0,0,651,0,1,652,0
65,65,317,123,31,0,0,2,0,371,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,1,0,0,852,0,0,852,0
66,66,335,79,30,2,0,1,1,250,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,702,0,5,707,0
67,67,222,56,25,2,0,1,0,176,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,486,0,3,489,0
68,68,319,151,29,2,0,2,1,262,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,771,0,4,775,0
69,69,283,101,30,2,2,1,0,221,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,645,0,0,645,0
70,70,265,111,37,0,0,0,1,206,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,625,0,5,630,0
71,71,401,98,39,4,0,0,0,325,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,2,875,0,9,884,0
72,72,263,103,27,2,1,1,3,274,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,677,0,1,678,0
73,73,322,87,45,1,1,1,0,311,0,0,1,0,2,1,1,0,1,1,0,1,0,0,1,0,0,0,777,0,3,780,0
74,74,212,57,25,1,0,0,1,167,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,468,0,4,472,0
75,75,284,98,35,1,1,2,0,239,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,664,0,3,667,0
76,76,292,118,54,1,1,0,1,289,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,762,0,3,765,0
77,77,323,81,34,0,2,0,1,231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,676,0,6,682,0
78,78,323,118,57,1,1,0,0,256,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,758,0,4,762,0
79,79,286,113,53,3,0,0,0,291,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,747,0,2,749,0
80,80,288,75,32,0,0,0,0,223,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,621,0,3,624,0
81,81,208,39,24,1,1,0,0,190,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,466,0,2,468,0
82,82,260,101,27,1,0,0,1,221,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,614,0,6,620,0
