Polling Station No,ISAKI PANDIAN,DR.KALAI KATHIRAVAN,S.SELVA MOHANDAS PANDIAN,P. PUSHPALATHA,GOMATHI SANKAR,R. SELVAKUMAR,S.THIRUMALAI KUMAR,M.POOSA DURAI,S.MANOGARAN,A. RAJAPRAKASH,GANESHAN. S,K.M.KALIAPPAN,R.KRISHNAN,SHAHUL HAMEED,S. THANGAPALAM,DURAIRAJ,P.NOBLE KRISHNA,G. POORANA SELVAN,M. PONNUDURAI,A.MARIAPPAN,K.MUTHU,R. RAMKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
17,2,126,193,21,1,0,0,35,0,176,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,554,0
18,2,167,165,30,1,0,1,17,0,183,0,1,0,1,0,0,1,0,0,0,2,0,571,0,5,576,0
19,1,175,161,16,2,0,1,85,0,155,0,0,0,0,0,1,1,1,0,0,1,0,600,0,1,601,0
20,3,155,147,15,2,0,0,51,2,132,0,1,0,0,2,1,2,2,0,0,2,1,518,0,2,520,0
21,2,265,281,36,0,0,5,9,0,264,0,2,0,2,2,3,1,9,4,1,1,2,889,0,1,890,0
22,1,347,176,33,1,1,2,5,1,280,2,0,0,0,1,1,1,2,1,1,0,0,856,0,3,859,0
23,4,183,186,20,1,0,0,1,0,110,0,0,0,1,3,0,1,1,0,0,1,1,513,0,1,514,0
24,2,118,223,22,0,0,1,16,0,150,0,0,1,0,0,1,0,0,2,0,5,0,541,0,2,543,0
25,1,222,354,30,0,0,0,9,1,231,0,0,0,0,2,3,2,3,1,0,1,0,860,0,3,863,0
26,0,157,226,14,0,0,0,1,0,111,0,2,1,1,1,1,0,0,2,0,0,0,517,0,2,519,0
27,0,143,155,15,1,0,0,3,1,90,0,0,0,0,1,0,0,1,0,0,0,0,410,0,1,411,0
28,0,151,283,26,0,0,1,5,0,106,0,0,0,0,0,1,0,0,0,0,0,3,576,0,0,576,0
29,0,87,234,15,1,0,0,6,0,108,0,0,0,2,0,0,0,2,5,0,0,0,460,0,0,460,0
30,6,200,292,22,2,1,0,8,2,198,0,1,1,0,2,2,2,5,3,2,0,1,750,0,1,751,0
31,0,136,150,14,1,0,0,6,0,179,0,0,0,0,0,0,0,0,0,0,0,0,486,0,4,490,0
32,1,159,126,16,0,0,1,4,0,164,0,1,0,0,0,0,1,1,0,0,0,0,474,0,1,475,0
33,0,345,116,40,1,0,10,0,0,190,2,0,1,1,2,1,1,0,2,1,0,0,713,0,4,717,0
34,0,206,168,49,0,0,3,2,0,290,0,1,0,1,2,1,1,0,0,0,0,0,724,0,3,727,0
35,1,304,189,34,0,1,6,1,1,244,1,0,0,0,1,3,0,0,0,2,0,0,788,0,3,791,0
36,2,97,239,20,0,0,0,9,0,139,0,1,0,0,1,2,0,1,1,0,1,0,513,0,2,515,0
37,0,146,200,29,1,1,1,5,1,208,0,0,0,1,0,0,0,2,0,1,0,1,597,0,0,597,0
38,0,88,188,17,4,0,1,1,0,189,0,0,0,0,1,1,1,2,1,0,0,0,494,0,2,496,0
39,3,123,162,18,2,0,1,1,0,190,0,0,0,0,1,0,2,0,0,0,0,0,503,0,2,505,0
40,1,138,211,37,5,0,17,1,1,182,0,0,2,0,0,1,0,1,0,1,0,0,598,0,4,602,0
41,2,257,165,33,1,1,6,6,1,165,0,0,0,0,0,1,0,0,0,0,0,0,638,0,7,645,0
42,2,68,105,12,0,0,4,3,1,79,0,0,0,0,0,1,0,0,0,0,0,0,275,0,3,278,0
43,1,122,115,26,0,0,5,1,0,143,0,0,0,0,0,2,0,0,0,1,0,1,417,0,1,418,0
44,0,159,103,25,1,0,9,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,412,0,1,413,0
45,2,126,200,22,1,0,3,4,1,153,0,1,0,1,1,0,0,3,0,0,0,2,520,0,4,524,0
46,4,368,136,35,0,0,13,7,2,286,0,2,2,1,3,1,1,5,1,1,0,1,869,0,8,877,0
47,1,166,294,22,0,0,0,2,0,152,1,0,2,2,0,0,0,0,0,0,0,0,642,0,2,644,0
48,0,135,294,24,0,0,0,2,0,127,1,1,0,0,1,0,2,1,0,1,0,0,589,0,5,594,0
49,2,119,369,28,0,0,0,19,0,204,0,0,0,0,2,3,2,0,1,1,0,0,750,0,4,754,0
50,1,124,265,22,0,0,1,2,1,222,1,0,0,0,0,0,0,1,0,0,1,0,641,0,2,643,0
51,0,196,114,23,0,0,6,2,0,116,0,0,0,1,0,0,0,0,0,0,0,0,458,0,2,460,0
52,2,136,95,27,0,0,2,2,1,64,0,0,0,0,0,0,0,0,0,0,0,1,330,0,3,333,0
53,2,387,155,28,0,0,6,0,1,213,0,0,1,3,1,3,0,1,0,0,0,2,803,0,2,805,0
54,1,344,86,22,0,0,5,27,0,135,1,0,0,0,0,0,0,1,0,0,0,0,622,0,2,624,0
55,0,241,213,42,1,1,5,4,1,209,0,0,0,0,0,0,0,0,0,0,0,0,717,0,3,720,0
56,0,187,210,44,0,0,7,3,0,169,0,0,0,4,0,0,0,0,0,0,0,0,624,0,3,627,0
57,1,177,155,29,0,0,7,2,0,154,0,0,0,0,0,0,0,0,0,1,0,1,527,0,2,529,0
58,0,75,72,15,0,0,5,2,0,76,0,0,1,0,0,1,0,0,0,0,0,0,247,0,1,248,0
59,2,135,110,19,1,0,3,1,2,197,0,0,2,0,2,1,1,2,0,0,0,0,478,0,1,479,0
60,3,158,49,28,0,0,1,1,1,219,0,1,3,0,2,3,0,1,0,0,1,0,471,0,1,472,0
61,4,209,141,22,0,0,5,0,1,283,0,0,0,1,4,2,0,0,0,0,1,0,673,0,2,675,0
62,0,172,114,31,2,0,2,2,0,406,0,1,1,1,2,3,0,2,0,0,0,0,739,0,7,746,0
63,1,115,46,31,2,0,0,4,1,314,1,3,1,1,3,0,1,0,0,0,1,0,525,0,2,527,0
64,1,225,77,44,0,0,1,2,0,267,1,0,1,0,1,1,5,3,0,0,0,1,630,0,2,632,0
65,3,168,94,23,0,0,0,2,1,261,1,2,0,0,1,1,0,0,1,1,0,0,559,0,0,559,0
66,3,532,59,29,1,0,2,0,2,230,1,0,0,2,2,2,0,2,0,0,0,0,867,0,3,870,0
67,2,128,60,11,1,0,0,0,0,93,1,0,0,0,1,1,0,1,1,0,0,0,300,0,1,301,1
68,0,455,8,6,0,0,0,0,1,57,0,0,0,1,0,1,0,2,0,0,0,0,531,0,2,533,0
69,0,529,6,28,0,0,1,0,1,58,0,0,1,0,0,1,0,5,0,0,0,0,630,0,0,630,0
70,1,613,19,15,0,0,0,1,0,83,0,0,0,0,3,0,1,0,0,0,0,0,736,0,7,743,0
71,1,526,13,20,0,0,0,0,0,52,0,1,0,1,1,0,0,1,0,0,0,0,616,0,3,619,0
72,0,424,105,20,1,0,0,0,1,175,0,1,1,2,0,2,1,5,3,0,0,1,742,0,3,745,0
73,1,466,15,5,0,0,0,0,1,54,0,0,0,1,0,1,1,3,0,0,0,0,548,0,1,549,0
74,0,480,21,13,0,0,0,0,0,125,1,0,0,1,2,1,0,3,0,0,0,0,647,0,1,648,0
75,2,451,23,11,0,0,0,0,1,117,0,0,0,3,0,0,0,1,0,0,0,0,609,0,1,610,0
76,0,672,16,10,0,0,0,1,0,72,0,0,0,0,2,3,0,3,0,0,0,1,780,0,2,782,0
77,0,566,8,13,0,0,1,0,0,62,0,0,1,0,0,1,0,0,0,0,0,0,652,0,3,655,0
78,4,132,229,9,1,0,0,0,0,208,0,0,0,0,0,0,1,2,0,0,0,1,587,0,2,589,0
79,1,25,139,4,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1,0,231,0,1,232,0
80,3,490,7,2,1,0,0,0,0,59,0,0,0,1,0,0,0,2,0,0,0,1,566,0,0,566,0
81,0,335,8,12,1,0,0,0,0,51,0,0,0,0,0,1,0,1,0,0,0,0,409,0,0,409,0
82,2,479,1,8,0,0,0,0,0,71,1,0,0,0,0,0,1,0,0,0,0,0,563,0,1,564,0
83,2,467,6,5,0,0,1,0,0,68,0,0,0,0,1,1,0,1,0,0,0,1,553,0,5,558,0
84,0,603,8,13,0,0,1,0,1,105,0,0,1,1,3,0,0,9,0,0,1,0,746,0,7,753,0
85,2,358,207,20,0,0,0,5,1,170,0,0,1,0,0,0,0,2,2,0,0,0,768,0,0,768,0
86,3,121,260,17,0,0,0,18,1,104,0,0,0,0,0,1,0,0,0,1,0,0,526,0,1,527,0
87,1,191,287,22,0,0,0,17,1,135,0,0,0,0,0,0,1,1,3,1,0,0,660,0,0,660,0
88,2,160,198,12,0,0,1,19,0,132,0,1,1,0,1,0,0,1,0,0,0,0,528,0,0,528,0
89,0,272,73,12,0,0,0,0,0,69,0,1,0,0,0,0,0,1,0,0,0,0,428,0,1,429,0
90,0,391,9,5,0,0,1,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,470,0,0,470,0
91,2,174,268,14,1,0,0,35,1,164,0,1,1,0,0,1,0,1,0,0,0,0,663,0,2,665,0
92,2,234,184,14,0,0,3,3,0,143,0,0,0,0,1,0,0,2,0,0,1,1,588,0,3,591,0
93,0,190,255,24,0,1,1,1,0,241,0,2,1,1,0,0,1,0,0,0,1,0,719,0,1,720,0
94,4,134,371,23,1,0,2,6,0,182,0,0,0,0,0,0,3,1,0,0,0,0,727,0,2,729,0
95,1,120,232,27,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,520,0,3,523,0
96,1,104,220,21,0,0,0,0,0,128,0,2,0,0,0,0,3,3,0,0,0,3,485,0,0,485,0
97,1,106,151,11,2,0,0,1,0,165,0,0,0,0,0,1,0,1,1,0,1,0,441,0,1,442,0
98,1,261,173,16,1,0,0,2,1,156,0,0,0,1,0,1,0,1,0,0,1,1,616,0,5,621,0
99,0,208,116,8,0,0,0,0,1,89,0,1,0,1,0,1,0,1,2,0,0,1,429,0,0,429,0
100,1,142,252,29,0,0,0,7,0,164,1,0,0,0,1,0,2,0,2,1,1,1,604,0,1,605,0
101,5,477,9,8,0,0,0,0,0,42,0,0,5,1,0,0,0,1,0,0,0,0,548,0,3,551,0
102,1,597,105,16,0,0,0,0,0,107,0,0,0,1,1,0,0,1,0,0,1,0,830,0,2,832,0
103,1,647,7,18,0,0,0,0,1,45,0,0,0,1,0,0,0,0,0,0,0,0,720,0,2,722,0
104,0,681,7,11,1,0,0,1,0,57,0,0,0,1,0,0,0,0,1,0,0,0,760,0,4,764,0
105,1,697,17,25,1,0,0,0,0,70,0,0,0,1,0,0,0,4,0,0,0,0,816,0,0,816,0
106,2,129,249,15,0,0,0,1,0,167,0,1,0,0,0,0,2,0,0,1,0,1,568,0,2,570,0
107,0,105,168,14,1,0,2,0,0,128,0,1,1,2,0,0,0,1,1,0,0,0,424,0,1,425,0
108,0,173,281,16,0,1,0,7,2,199,0,0,0,1,3,0,0,1,0,0,0,0,684,0,1,685,0
109,2,78,219,11,0,1,1,1,0,134,1,0,0,0,0,0,0,1,0,2,1,0,452,0,2,454,0
110,1,124,330,22,0,0,0,1,0,109,0,0,0,0,2,1,0,0,0,0,0,0,590,0,0,590,0
111,0,127,283,12,0,0,0,2,0,160,0,0,0,1,1,1,0,2,2,1,0,0,592,0,2,594,0
112,1,109,284,27,0,1,1,1,1,209,0,1,0,0,2,1,1,2,1,0,0,3,645,0,3,648,0
113,0,290,155,20,0,0,0,0,0,151,0,0,0,0,1,0,0,1,1,0,0,0,619,0,2,621,0
114,2,199,313,30,3,0,1,30,1,235,0,0,0,1,1,0,1,2,1,0,0,0,820,0,3,823,0
115,5,110,325,36,2,0,0,14,0,121,1,0,0,0,2,3,0,0,2,1,0,0,622,0,2,624,0
116,1,132,384,40,1,0,2,71,2,175,3,1,1,0,2,2,1,0,2,2,0,4,826,0,3,829,0
117,0,152,278,41,1,0,2,131,1,138,0,2,0,0,1,3,4,1,1,0,0,1,757,0,5,762,0
118,1,194,283,29,2,1,2,38,0,173,0,0,0,0,0,1,0,1,2,0,0,0,727,0,1,728,0
119,1,299,272,43,2,0,39,7,1,166,1,2,3,2,6,2,1,1,0,0,0,2,850,0,1,851,0
120,3,384,180,91,1,1,13,14,0,285,0,0,1,1,1,3,3,4,1,0,1,1,988,0,2,990,0
121,2,265,274,44,1,0,2,2,0,192,0,1,1,1,1,2,0,1,2,2,1,1,795,0,2,797,0
122,1,199,185,20,2,0,7,42,1,147,0,0,0,0,0,1,1,0,1,0,0,0,607,0,0,607,0
123,0,199,183,49,0,0,5,37,1,122,0,0,0,2,3,0,1,0,0,0,0,0,602,0,0,602,0
124,0,148,104,18,0,1,0,1,0,71,0,0,0,0,1,1,0,0,0,0,0,0,345,0,0,345,0
125,1,257,291,84,1,0,0,2,0,196,0,0,1,0,1,2,1,3,2,0,1,0,843,0,0,843,0
126,1,148,148,43,0,0,0,0,0,104,1,1,0,0,1,0,0,1,1,1,1,0,451,0,1,452,0
127,1,167,203,33,1,0,21,0,0,197,0,0,2,0,1,0,1,0,0,1,1,0,629,0,4,633,0
128,0,186,249,62,1,0,8,1,2,124,0,0,1,3,1,3,0,5,0,0,0,0,646,0,0,646,0
129,0,130,177,80,1,0,0,0,0,121,0,0,0,0,1,0,0,2,0,1,0,0,513,0,0,513,0
130,3,222,257,67,0,0,0,37,0,203,1,1,2,2,1,3,3,4,1,0,0,1,808,0,2,810,0
131,2,154,188,81,1,0,1,0,2,199,0,0,0,1,0,0,0,0,0,1,0,1,631,0,1,632,0
132,1,142,170,44,1,1,0,0,1,77,0,0,1,0,0,1,0,0,1,0,0,0,440,0,0,440,0
133,1,194,155,61,0,0,0,1,0,169,0,0,1,1,0,2,0,1,0,0,0,0,586,0,2,588,0
134,2,159,178,54,0,0,0,1,0,108,1,0,0,3,0,0,1,2,0,0,1,0,510,0,1,511,0
135,3,218,242,81,2,0,0,1,0,198,0,2,0,3,2,0,0,1,1,0,0,0,754,0,1,755,0
136,2,288,292,56,2,1,0,1,1,207,0,0,0,1,2,1,0,1,1,0,0,1,857,0,3,860,0
137,1,202,290,87,1,0,0,5,1,215,0,0,1,0,1,1,1,0,0,0,1,1,808,0,2,810,0
138,2,237,151,60,0,2,0,56,1,125,0,0,4,1,0,3,0,8,1,0,0,1,652,0,1,653,0
139,6,283,230,45,1,0,1,0,0,239,1,0,0,1,1,2,2,3,5,1,0,2,823,0,3,826,0
140,1,117,59,27,0,0,38,1,0,49,0,1,1,0,3,0,0,2,0,0,0,1,300,0,1,301,0
141,0,236,126,47,0,0,3,1,0,128,0,0,0,0,0,0,0,0,0,0,0,1,542,0,0,542,0
142,1,329,129,61,0,0,0,0,0,195,0,0,1,1,0,1,0,0,0,1,0,1,720,0,1,721,0
143,0,210,223,47,2,0,0,93,1,170,1,1,2,3,2,0,0,0,0,0,0,1,756,0,3,759,0
144,3,239,292,64,1,0,17,45,2,206,0,2,4,1,1,3,1,0,0,0,1,1,883,0,7,890,0
145,2,285,505,30,0,0,0,2,1,126,1,3,4,3,6,4,0,1,0,0,0,0,973,0,3,976,0
146,2,127,262,55,0,0,0,0,0,152,1,0,0,1,0,0,0,1,2,0,0,0,603,0,2,605,0
147,1,141,232,82,0,0,1,1,0,146,1,0,0,1,1,1,0,1,0,0,0,1,610,0,2,612,0
148,0,125,240,90,1,0,2,0,1,193,0,0,0,1,1,2,2,0,2,2,1,1,664,0,2,666,0
149,3,245,267,90,1,1,2,3,2,189,2,2,4,0,3,2,1,2,1,1,0,1,822,0,1,823,0
150,1,149,251,55,0,1,0,0,0,140,0,0,1,1,2,1,0,1,2,0,1,1,607,0,3,610,0
151,1,137,198,54,0,0,1,0,0,125,0,0,1,1,0,1,1,1,0,0,0,0,521,0,1,522,0
152,2,247,383,113,1,0,0,0,1,223,0,0,1,1,3,1,4,6,3,1,0,1,991,0,4,995,0
153,1,122,178,42,0,1,9,35,1,137,0,1,1,0,2,2,1,1,0,0,0,0,534,0,0,534,0
154,0,153,158,21,0,0,6,34,0,59,0,0,1,1,1,3,1,0,0,0,0,6,444,0,1,445,0
155,2,182,270,83,1,0,1,0,0,243,0,0,0,0,0,1,0,0,0,0,0,1,784,0,5,789,0
156,0,152,156,53,0,0,0,2,0,204,1,1,0,0,0,2,0,0,0,0,0,1,572,0,4,576,0
157,1,240,220,92,1,0,0,5,0,313,1,1,0,0,1,1,1,1,0,1,0,3,882,0,4,886,0
158,2,311,193,86,0,0,1,3,0,250,0,0,0,0,0,0,0,1,0,1,0,1,849,0,3,852,0
159,0,301,221,92,0,0,0,4,0,271,0,1,0,0,2,0,0,1,1,0,0,2,896,0,2,898,0
160,3,267,183,55,2,0,3,0,0,169,0,0,0,0,1,1,0,2,0,0,0,1,687,0,1,688,0
161,2,260,246,89,1,0,0,0,0,222,0,0,0,1,0,0,0,1,0,0,0,1,823,0,4,827,0
162,2,193,158,55,0,0,0,0,1,189,0,0,1,0,0,1,0,1,0,0,0,2,603,0,2,605,0
163,0,236,383,53,0,0,0,0,1,191,0,0,0,1,2,0,0,0,1,0,0,1,869,0,1,870,0
164,1,193,215,52,0,0,0,0,0,118,0,0,0,3,0,0,0,1,0,0,0,0,583,0,1,584,0
165,3,240,398,124,0,0,0,2,0,177,1,0,0,0,2,1,1,3,1,2,0,2,957,0,1,958,0
166,1,110,308,79,1,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,1,635,0,0,635,0
167,1,95,234,16,0,1,0,0,1,41,1,0,0,0,0,0,1,0,3,1,0,0,395,0,0,395,0
168,0,234,177,40,1,0,1,4,0,97,1,1,0,0,0,0,0,2,0,0,0,1,559,0,0,559,0
169,6,242,258,54,0,0,0,0,0,215,0,1,0,1,3,2,0,1,0,0,0,0,783,0,1,784,0
170,2,295,340,97,2,0,1,3,0,179,0,0,0,1,0,0,1,5,1,1,2,0,930,0,2,932,0
171,1,179,240,52,1,0,0,0,0,160,1,0,0,0,2,2,2,3,0,1,0,0,644,0,0,644,0
172,4,219,352,74,0,0,0,1,0,223,1,0,1,1,0,0,0,1,5,0,1,1,884,0,4,888,0
173,1,190,268,66,0,0,0,0,0,119,1,0,1,1,0,0,2,3,4,0,2,1,659,0,1,660,0
174,1,185,246,64,1,0,0,0,1,150,1,1,0,2,2,1,0,2,1,1,0,1,660,0,1,661,0
175,0,187,210,82,1,0,1,0,1,108,1,0,0,0,2,0,1,2,0,0,0,1,597,0,1,598,0
176,1,143,277,54,0,1,0,1,0,119,0,0,2,0,1,0,0,0,0,0,0,0,599,0,1,600,0
177,1,132,198,60,1,0,0,1,0,114,0,1,0,0,0,0,1,0,0,0,0,1,510,0,2,512,0
178,0,179,311,78,1,0,1,1,0,94,0,0,0,1,1,2,0,5,3,1,0,1,679,0,2,681,0
179,0,217,312,88,0,0,0,0,0,127,0,0,1,0,1,0,0,5,2,0,0,0,753,0,1,754,0
180,0,110,70,21,0,0,0,0,0,71,0,0,0,0,1,0,0,1,0,0,0,0,274,0,5,279,0
181,0,317,264,93,0,0,0,1,1,128,1,0,0,1,2,0,0,2,3,1,0,1,815,0,0,815,0
182,4,228,331,86,1,0,0,0,1,153,0,1,2,3,0,1,1,0,1,0,0,3,816,0,3,819,0
183,0,253,251,72,0,1,0,1,1,200,0,0,1,0,2,2,2,0,0,0,0,3,789,0,1,790,0
184,0,167,276,58,1,0,0,0,0,118,1,0,0,2,4,0,0,0,1,0,0,1,629,0,0,629,0
185,0,204,229,62,0,0,0,0,2,189,0,1,0,0,1,2,2,2,0,0,0,2,696,0,3,699,0
186,0,273,220,89,0,1,1,3,0,253,0,0,0,0,0,1,0,2,2,0,0,0,845,0,0,845,0
187,1,165,195,34,2,0,0,23,0,173,0,0,0,0,1,1,0,1,1,0,0,0,597,0,1,598,0
188,4,129,163,49,2,1,1,3,1,197,1,2,0,2,1,4,1,1,1,0,2,2,567,0,1,568,0
189,6,132,158,45,2,0,2,0,0,107,0,0,2,0,1,2,0,2,1,0,0,0,460,0,6,466,0
190,1,112,223,34,0,0,0,0,0,97,0,0,0,1,1,0,0,0,0,0,0,1,470,0,0,470,0
191,0,190,248,78,0,0,2,1,0,156,0,0,0,0,2,1,0,1,0,1,0,1,681,0,1,682,0
192,4,263,311,85,2,0,0,0,0,186,0,0,0,1,1,1,1,4,5,0,0,1,865,0,3,868,0
193,1,135,260,72,0,0,0,0,0,108,0,1,0,0,0,0,1,0,0,0,0,17,595,0,2,597,0
194,3,210,279,80,1,0,0,1,1,176,0,0,1,0,1,1,1,0,1,0,0,2,758,0,3,761,0
195,1,252,308,82,1,0,0,1,0,211,0,0,0,2,1,0,1,2,2,0,1,2,867,0,1,868,0
196,1,208,344,70,0,1,0,1,1,194,0,0,0,0,1,0,0,3,0,0,1,3,828,0,0,828,0
197,1,95,123,40,0,0,0,0,0,80,0,0,0,0,1,0,1,0,0,0,0,1,342,0,2,344,0
198,0,187,319,81,2,1,2,1,1,142,1,1,0,0,1,0,2,3,3,0,2,3,752,0,0,752,0
199,2,221,402,61,0,0,0,2,0,179,1,0,0,2,0,1,3,2,2,0,1,4,883,0,2,885,0
200,1,167,197,71,0,0,2,0,1,110,0,0,0,0,0,1,1,3,1,2,0,0,557,0,0,557,0
201,2,267,226,130,0,0,0,3,0,235,0,0,1,0,1,2,1,6,2,0,0,1,877,0,2,879,0
202,1,206,241,31,1,1,1,0,0,128,1,0,0,2,3,1,0,1,2,0,2,1,623,0,2,625,0
203,0,501,104,45,0,0,0,0,0,98,0,0,0,1,0,2,0,3,0,0,0,1,755,0,1,756,0
204,1,117,171,33,0,0,0,2,1,132,0,0,0,0,1,1,1,0,1,0,0,0,461,0,1,462,0
205,2,275,85,49,0,0,0,1,0,79,0,1,0,1,0,0,0,1,1,0,0,0,495,0,1,496,0
206,1,206,307,62,1,1,0,0,0,192,0,0,1,0,1,1,2,4,4,1,0,0,784,0,1,785,0
207,1,276,382,65,0,0,1,0,0,169,1,1,0,0,4,0,2,0,2,0,0,1,905,0,1,906,0
208,2,169,176,78,0,0,11,44,3,139,0,0,1,1,0,0,0,8,0,0,0,0,632,0,1,633,0
209,0,187,221,99,0,0,51,21,2,97,0,0,0,1,4,3,0,2,1,0,0,0,689,0,2,691,0
210,2,222,258,28,2,0,1,87,2,196,0,0,0,3,3,2,3,3,2,1,1,2,818,0,2,820,0
211,0,163,150,11,2,1,1,141,2,111,0,1,1,1,0,0,3,3,0,1,0,0,592,0,1,593,0
212,2,169,201,34,0,0,16,70,0,159,1,0,1,2,3,1,0,1,1,0,0,1,662,0,2,664,0
213,0,147,102,15,0,0,14,0,1,62,0,0,0,2,1,1,0,0,0,0,0,0,345,0,1,346,0
214,0,225,364,41,1,0,31,4,2,144,2,0,0,3,3,2,2,1,0,0,1,2,828,0,2,830,0
215,0,98,117,21,0,0,3,223,0,59,0,0,0,0,0,0,1,0,2,0,1,0,525,0,2,527,0
216,1,289,229,38,2,0,17,76,1,111,0,0,2,3,2,0,0,2,0,0,0,0,773,0,3,776,0
217,2,167,141,46,0,0,1,216,2,91,0,1,2,1,3,1,1,2,0,0,1,0,678,0,0,678,0
218,0,205,129,68,2,1,5,5,0,79,2,0,1,1,3,1,1,3,1,0,0,1,508,0,0,508,0
219,6,203,201,36,0,0,2,62,1,148,0,0,1,2,2,0,0,1,1,0,0,1,667,0,2,669,0
220,2,214,216,80,0,0,1,167,0,181,0,0,0,3,0,0,0,0,0,0,0,0,864,0,1,865,0
221,4,292,111,43,1,0,15,6,0,121,1,1,1,3,0,2,1,2,1,0,0,0,605,0,2,607,0
222,2,188,181,34,0,2,23,26,0,104,0,1,0,1,3,2,0,1,1,0,0,0,569,0,1,570,0
223,1,232,227,45,0,0,12,58,2,139,0,0,1,1,2,1,1,2,1,0,0,1,726,0,0,726,0
224,3,272,222,39,1,0,3,79,3,181,0,1,1,3,1,1,0,5,3,0,0,0,818,0,0,818,0
225,1,107,226,17,0,0,1,9,1,84,0,0,0,0,4,1,0,2,0,0,0,0,453,0,0,453,0
226,0,170,172,18,0,0,1,19,0,162,0,1,0,2,4,1,1,2,2,0,1,0,556,0,1,557,0
227,3,236,176,41,1,3,58,118,1,144,0,0,2,0,2,3,1,0,0,0,2,0,791,0,4,795,0
228,1,73,146,12,0,0,55,5,0,87,0,0,0,1,0,0,0,1,2,0,0,0,383,0,2,385,0
229,0,195,212,46,0,0,40,54,1,183,0,0,0,3,2,0,1,0,0,1,0,0,738,0,2,740,0
230,2,321,219,32,2,0,1,61,0,90,0,1,1,2,1,0,0,1,1,1,1,2,739,0,0,739,0
231,4,210,154,30,2,0,10,40,1,99,0,1,0,2,2,0,1,2,1,0,1,1,561,0,0,561,0
232,0,65,124,12,0,0,16,164,0,45,0,0,0,0,0,0,0,1,2,0,0,0,429,0,1,430,0
233,4,227,274,99,0,1,2,10,1,159,0,1,0,1,1,2,1,3,0,0,0,3,789,0,1,790,0
234,1,206,350,77,1,2,1,59,0,133,0,0,1,2,4,4,1,4,2,2,3,1,854,0,1,855,0
235,1,211,275,56,0,1,1,54,0,95,1,2,0,4,8,4,1,1,0,0,1,0,716,0,2,718,0
236,2,148,233,66,1,0,0,3,0,141,0,0,0,1,0,0,0,0,1,0,0,0,596,0,1,597,0
237,0,155,185,31,1,0,1,1,0,172,0,0,0,0,1,1,0,1,0,0,1,0,550,0,0,550,0
238,1,114,171,28,0,0,0,14,2,150,0,1,0,1,0,1,0,0,0,0,0,0,483,0,1,484,0
239,2,240,188,59,0,0,2,86,1,215,0,1,2,1,2,0,0,2,0,0,0,1,802,0,2,804,0
