Polling Station No,SEETHALAKSHMI.M.K,NALLASIVAM.N,PRABHU.V.B,RAVIKUMAR.R,SENGOTTAIYAN.K.A,THIRUVENGATESH.M,MALARVIZHI,ANANDHAKUMAR.M,SAKTHIVEL.G,SHANMUGAM.G,SEETHA.R,SUMATHI.G,SELVAKUMAR.R,DHANAPAL.K,PALANISAMYRAAJ.M,BHUVANESHWARI.A,RAMESH.P,VENKATACHALAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
24,16,317,142,6,512,3,0,0,1,1,0,4,2,1,2,1,0,3,1011,0,4,1015,0
25,14,234,171,1,206,0,3,0,0,0,0,0,2,0,3,2,1,2,639,0,3,642,0
26,21,173,163,2,170,0,2,0,0,1,0,0,1,3,3,2,0,4,545,0,1,546,0
27,25,187,184,2,223,0,0,0,0,0,0,2,1,0,1,2,0,0,627,0,2,629,0
28,13,138,115,1,128,0,1,0,0,0,0,0,0,0,0,1,0,0,397,0,1,398,0
29,23,214,168,1,504,4,2,2,1,1,1,2,2,1,3,2,0,4,935,0,2,937,0
30,24,185,134,4,325,5,0,0,0,0,1,0,3,0,5,1,3,4,694,0,3,697,0
31,33,241,215,5,433,2,1,1,0,1,4,5,0,1,5,2,1,0,950,0,3,953,0
32,24,189,209,0,223,1,0,0,0,0,1,0,0,1,0,2,1,0,651,0,8,659,0
33,37,237,184,3,304,4,0,0,0,0,0,1,0,2,5,3,0,1,781,0,2,783,0
34,44,277,152,0,296,2,1,0,0,0,0,1,0,0,2,0,2,1,778,0,6,784,0
35,31,312,224,0,361,0,0,0,0,1,2,1,1,0,2,2,2,4,943,0,3,946,0
36,44,255,260,1,266,0,0,0,1,0,0,0,2,1,4,0,1,2,837,0,5,842,0
37,25,208,287,2,208,1,0,0,0,0,0,0,0,0,1,3,1,4,740,0,4,744,0
38,24,268,318,2,325,0,0,1,0,0,1,0,2,3,3,2,3,1,953,0,3,956,0
39,9,217,142,2,228,0,0,0,0,0,1,1,0,1,3,3,1,2,610,0,4,614,0
40,7,115,116,0,175,2,0,0,0,0,1,2,2,1,3,1,0,1,426,0,1,427,0
41,37,301,254,1,173,0,1,0,0,1,1,0,2,4,4,6,1,3,789,0,2,791,0
42,29,232,285,4,288,2,0,0,1,0,0,2,1,4,0,2,2,2,854,0,1,855,0
43,35,254,132,2,424,1,0,1,1,0,0,2,2,2,0,1,1,3,861,0,4,865,0
44,30,240,186,6,300,3,1,0,1,0,2,2,2,2,3,1,1,2,782,0,2,784,0
45,25,165,206,3,248,1,0,0,0,0,0,1,0,0,1,0,0,2,652,0,1,653,0
46,19,335,134,2,289,9,1,0,0,1,2,5,0,3,4,2,1,2,809,0,4,813,0
47,24,150,205,1,151,5,0,0,2,0,0,0,0,1,0,2,0,2,543,0,2,545,0
48,21,205,163,3,259,5,0,1,1,0,1,3,0,2,1,1,0,0,666,0,0,666,0
49,23,174,156,2,182,7,0,0,1,1,0,2,3,2,2,1,0,0,556,0,1,557,0
50,45,153,169,0,231,1,0,0,0,1,0,1,1,0,1,5,0,0,608,0,3,611,0
51,11,178,123,0,278,0,1,1,0,0,0,1,0,0,2,1,0,2,598,0,1,599,0
52,44,277,204,2,369,4,1,1,0,0,0,2,0,0,2,1,0,2,909,0,1,910,0
53,16,269,114,7,306,2,0,0,3,1,0,1,1,1,2,1,0,1,725,0,0,725,0
54,13,91,169,0,149,0,0,0,0,0,0,0,0,0,1,0,0,1,424,0,2,426,0
55,24,249,186,3,280,3,0,0,1,0,1,1,0,0,1,1,1,3,754,0,3,757,0
56,22,271,109,5,417,2,0,1,0,0,0,4,1,1,0,2,0,3,838,0,3,841,0
57,26,241,161,2,296,12,0,0,0,0,0,0,0,0,0,1,0,2,741,0,5,746,0
58,18,352,102,1,315,2,0,0,0,0,1,0,0,0,0,1,0,5,797,0,4,801,0
59,30,297,170,3,411,3,3,0,0,0,0,1,0,2,0,2,1,4,927,0,5,932,0
60,13,183,124,1,209,9,0,0,0,0,1,1,0,1,0,1,0,0,543,0,2,545,0
61,13,217,83,2,207,27,3,0,0,1,0,0,0,0,1,2,0,0,556,0,2,558,0
62,26,209,77,0,180,87,0,1,0,0,0,1,4,0,2,0,0,2,589,0,7,596,0
63,33,282,138,0,296,67,1,0,0,0,1,1,1,0,1,0,0,2,823,0,1,824,0
64,33,235,163,1,359,0,1,0,0,0,0,1,1,0,0,2,0,1,797,0,8,805,0
65,33,321,124,2,414,1,0,0,1,0,0,1,0,0,0,1,1,2,901,0,1,902,0
66,29,331,162,1,347,0,0,0,1,0,0,0,2,0,0,1,0,0,874,0,9,883,0
67,21,237,84,0,230,0,0,3,0,0,0,1,2,2,0,1,0,3,584,0,0,584,0
68,34,253,150,1,329,0,1,1,1,0,0,2,0,1,0,1,0,0,774,0,5,779,0
69,ge 1 22,364,109,1,318,0,0,2,0,1,0,1,0,0,0,0,0,0,818,0,0,818,0
70,26,331,149,2,326,1,0,2,0,0,0,0,0,1,0,0,0,0,838,0,2,840,0
71,24,282,177,7,414,1,1,1,1,0,1,2,5,0,3,1,1,0,921,0,3,924,0
72,27,261,120,1,322,0,2,0,0,0,0,0,1,0,1,1,0,2,738,0,5,743,0
73,21,188,173,1,285,0,0,0,0,1,0,0,1,0,0,1,1,2,674,0,8,682,0
74,15,221,136,0,235,1,0,2,0,0,0,0,1,1,0,0,0,0,612,0,4,616,0
75,28,266,122,3,340,2,0,1,0,0,0,0,1,0,3,1,2,0,769,0,5,774,0
76,31,233,122,1,280,2,1,0,0,1,1,0,0,0,0,1,0,0,673,0,6,679,0
77,24,170,193,2,281,1,1,1,0,1,1,2,1,0,0,1,0,1,680,0,7,687,0
78,43,243,122,1,304,2,0,0,0,0,0,1,0,0,0,1,1,0,718,0,6,724,0
79,34,274,237,4,350,0,1,0,1,0,0,0,1,1,0,0,0,0,903,0,2,905,0
80,57,267,161,4,367,3,2,0,1,0,1,1,1,2,2,2,0,3,874,0,4,878,0
81,41,190,123,0,321,4,0,3,1,1,0,2,2,0,1,1,0,2,692,0,3,695,0
82,14,334,118,6,519,2,1,1,1,0,1,2,0,2,2,2,0,1,1006,0,1,1007,0
83,20,118,107,1,222,0,0,0,0,0,0,0,1,0,0,1,0,1,471,0,1,472,0
84,16,155,114,2,227,3,1,0,0,0,0,0,0,0,2,1,0,1,522,0,2,524,0
85,21,148,87,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,2,410,0
86,11,206,77,2,197,4,0,1,0,0,0,1,0,0,1,1,0,2,503,0,7,510,0
87,27,315,98,1,303,0,0,1,0,0,0,2,0,0,1,2,0,0,750,0,6,756,0
88,24,188,99,0,144,0,0,0,0,0,0,0,1,0,0,0,0,0,456,0,3,459,0
89,23,383,117,2,272,1,0,0,0,0,0,0,1,0,1,0,0,1,801,0,3,804,0
90,14,174,58,1,180,0,0,0,1,1,0,0,0,0,0,0,0,0,429,0,5,434,0
91,36,191,156,1,239,6,0,1,0,0,0,1,0,0,0,1,0,0,632,0,4,636,0
92,24,109,111,0,147,3,2,0,0,0,0,1,0,0,0,0,1,0,398,0,7,405,0
93,24,243,141,0,219,6,0,1,0,0,0,0,0,0,0,1,0,0,635,0,4,639,0
94,7,252,72,3,304,1,1,1,0,0,0,0,0,0,0,0,0,1,642,0,1,643,0
95,21,189,89,3,167,0,0,1,0,0,0,0,0,0,1,0,1,1,473,0,1,474,0
96,16,184,148,2,210,2,0,0,0,1,0,0,1,0,1,1,0,0,566,0,8,574,0
97,30,279,141,0,243,2,1,0,0,0,0,0,0,0,0,1,0,0,697,0,3,700,0
98,18,221,111,0,319,0,0,0,0,0,0,0,1,0,0,0,0,0,670,0,5,675,0
99,28,243,119,0,271,0,1,0,0,0,0,0,0,2,0,1,0,0,665,0,4,669,0
100,23,171,130,0,292,0,0,1,0,0,0,0,0,0,0,2,0,0,619,0,5,624,0
101,19,272,145,1,308,1,2,1,0,0,1,1,0,0,0,1,0,0,752,0,3,755,0
102,42,289,133,3,365,1,1,4,1,0,0,1,1,2,1,3,0,2,849,0,6,855,0
103,24,308,163,2,290,0,0,0,0,1,0,1,2,0,0,2,0,1,794,0,4,798,0
104,32,380,106,6,507,0,0,1,0,0,1,3,0,0,6,2,0,2,1046,0,5,1051,0
105,23,196,102,0,222,0,0,0,0,0,0,0,0,1,5,2,1,0,552,0,4,556,0
106,35,302,127,0,372,2,0,0,0,0,0,0,0,0,7,3,0,4,852,0,5,857,0
107,31,218,98,0,289,0,1,1,1,0,0,0,0,1,1,1,0,3,645,0,2,647,0
108,23,251,143,1,329,0,1,4,0,2,0,0,2,0,0,4,1,1,762,0,1,763,0
109,25,156,130,2,212,0,0,0,0,0,0,1,1,3,0,1,0,0,531,0,4,535,0
110,29,277,109,0,312,0,1,3,0,0,0,0,1,3,1,0,0,0,736,0,4,740,0
111,19,214,131,2,279,0,0,0,1,0,1,0,0,0,0,1,0,0,648,0,2,650,0
112,28,259,137,3,300,0,3,0,0,0,0,1,1,0,0,0,1,0,733,0,9,742,0
113,24,181,88,1,289,4,0,1,0,0,0,0,0,0,0,0,0,0,588,0,2,590,0
114,28,198,167,2,321,3,1,1,0,0,0,3,1,0,0,0,0,1,726,0,3,729,0
115,43,319,215,1,383,2,0,1,0,0,0,1,1,0,1,2,1,3,973,0,9,982,0
116,18,218,218,0,323,1,1,1,0,0,0,0,0,1,1,1,0,0,783,0,5,788,0
117,53,209,291,3,364,1,0,0,0,1,0,2,0,3,0,3,1,2,933,0,1,934,0
118,32,223,289,4,359,0,0,0,0,0,1,0,1,5,4,3,0,1,922,0,2,924,0
119,18,176,135,3,165,0,4,0,1,0,0,1,0,0,0,0,0,0,503,0,3,506,0
120,32,287,251,9,300,1,7,0,0,0,0,2,2,1,5,0,0,4,901,0,2,903,0
121,30,177,193,2,292,0,0,0,1,1,1,0,3,1,5,3,1,2,712,0,4,716,0
122,11,133,111,2,206,0,0,0,0,0,0,0,1,1,2,2,1,1,471,0,4,475,0
123,21,191,177,1,240,1,4,1,0,0,0,1,0,1,1,1,1,0,641,0,2,643,0
124,35,269,171,0,266,0,1,0,0,0,0,0,0,1,0,1,0,2,746,0,0,746,0
125,34,153,343,4,296,0,4,1,1,1,0,2,0,1,3,0,1,0,844,0,4,848,0
126,25,251,210,1,273,0,0,0,0,0,0,1,1,1,4,0,1,0,768,0,4,772,0
127,8,144,62,2,215,2,2,0,1,0,2,0,0,1,0,1,0,0,440,0,2,442,0
128,28,214,180,0,281,1,1,2,0,0,0,0,1,0,1,0,0,1,710,0,4,714,0
129,21,197,189,4,511,1,2,2,1,0,2,0,1,0,1,2,0,3,937,0,7,944,0
130,8,153,58,1,295,1,0,0,0,0,1,0,2,0,1,0,1,1,522,0,1,523,0
131,12,117,71,0,279,2,0,0,1,0,1,1,0,1,1,0,0,1,487,0,2,489,0
132,26,166,129,0,245,2,12,0,0,1,0,0,0,0,1,0,1,1,584,0,1,585,0
133,30,235,213,7,329,5,1,3,2,1,1,2,2,1,7,3,0,2,844,0,3,847,0
134,9,75,88,1,89,1,1,0,0,1,1,0,2,0,4,1,0,0,273,0,1,274,0
135,28,212,113,5,245,23,0,0,0,0,0,1,1,0,1,3,0,5,637,0,8,645,0
136,34,253,138,3,390,16,1,3,0,1,0,0,0,0,2,2,0,0,843,0,4,847,0
137,38,275,186,2,426,0,1,3,1,0,0,1,1,2,5,1,0,0,942,0,2,944,0
138,ge 2 36,242,126,4,363,2,0,3,0,1,0,1,1,0,3,1,0,0,783,0,1,784,0
139,38,226,123,5,361,6,0,1,1,0,0,2,0,1,3,1,0,0,768,0,1,769,0
140,18,109,66,0,168,0,0,0,0,0,0,2,1,0,0,1,0,2,367,0,4,371,0
141,33,274,173,1,414,3,0,3,2,0,0,1,2,2,6,2,0,2,918,0,2,920,0
142,31,251,102,0,243,1,1,2,0,0,0,2,0,1,3,3,0,0,640,0,1,641,0
143,37,400,111,1,297,3,0,0,1,0,0,1,1,0,2,2,0,1,857,0,2,859,0
144,63,345,165,1,315,2,1,1,0,0,2,0,1,1,1,3,0,0,901,0,3,904,0
145,31,315,114,0,343,1,0,0,0,0,0,1,0,1,1,2,1,3,813,0,10,823,0
146,49,263,219,2,263,2,0,0,2,1,0,4,1,2,1,5,0,3,817,0,2,819,0
147,27,242,246,1,315,2,0,1,0,0,0,1,2,0,2,3,0,0,842,0,5,847,0
148,20,195,93,1,196,38,0,0,1,0,2,2,2,1,3,3,0,1,558,0,2,560,0
149,34,242,170,3,232,48,3,1,0,1,0,1,6,3,2,3,0,7,756,0,3,759,0
150,22,221,150,3,223,28,1,0,2,0,1,0,1,0,0,4,0,1,657,0,0,657,0
151,29,237,97,3,213,25,1,2,0,0,0,0,0,2,2,0,0,2,613,0,2,615,0
152,16,146,235,1,215,2,1,0,0,1,0,0,0,1,3,1,0,1,623,0,0,623,0
153,21,246,241,5,191,21,2,0,1,1,1,1,0,2,1,1,0,0,735,0,5,740,0
154,33,241,293,6,328,0,1,0,3,0,1,1,3,3,3,0,2,1,919,0,5,924,0
155,33,234,283,4,236,5,1,1,1,0,0,1,0,3,0,1,1,2,806,0,1,807,0
156,14,146,178,4,200,1,4,1,1,1,0,3,2,1,1,1,1,0,559,0,2,561,0
157,32,290,300,5,292,17,1,0,0,1,1,2,2,1,3,3,0,2,952,0,5,957,0
158,17,184,377,4,172,1,0,0,2,0,1,0,0,3,2,3,0,1,767,0,3,770,0
159,20,169,220,0,212,1,1,2,0,0,0,0,2,1,3,1,2,2,636,0,0,636,0
160,14,148,248,1,169,3,0,0,0,0,0,0,1,0,2,2,0,2,590,0,1,591,0
161,20,148,326,2,146,2,2,0,0,0,1,0,1,3,0,2,2,1,656,0,7,663,0
162,25,181,323,7,216,2,5,1,0,0,1,1,1,0,0,1,0,1,765,0,1,766,0
163,13,142,168,3,138,2,0,0,0,1,0,3,3,0,1,0,0,1,475,0,1,476,0
164,24,124,164,2,130,43,0,1,0,0,0,1,2,1,1,0,1,2,496,0,2,498,0
165,25,174,209,4,324,0,1,0,3,0,0,1,0,0,0,1,1,1,744,0,3,747,0
166,12,102,107,2,368,4,2,2,2,0,0,3,4,2,1,5,0,4,620,0,4,624,0
167,14,169,308,6,261,2,0,0,1,0,1,1,1,4,3,2,0,2,775,0,2,777,0
168,20,154,318,2,199,1,1,2,0,0,0,0,1,0,1,0,0,1,700,0,0,700,0
169,12,117,196,2,136,1,1,1,0,0,2,2,0,1,2,2,0,0,475,0,0,475,0
170,35,271,145,5,201,0,0,0,0,0,0,0,4,3,2,2,1,3,672,0,4,676,0
171,19,141,214,3,192,66,1,1,1,2,0,0,1,1,0,2,3,5,652,0,3,655,0
172,13,251,184,2,216,3,0,0,1,0,0,1,0,0,2,0,0,2,675,0,0,675,0
173,25,200,227,1,194,5,1,0,0,0,0,0,0,2,3,2,0,0,660,0,2,662,0
174,27,206,269,5,216,13,0,0,2,1,1,0,2,0,0,5,0,3,750,0,2,752,0
175,31,189,205,1,269,1,0,0,0,1,0,0,1,1,1,2,0,2,704,0,2,706,0
176,17,272,275,2,182,0,0,0,0,0,0,0,0,3,1,0,0,0,752,0,3,755,0
177,16,193,214,7,276,3,2,0,0,0,1,2,2,0,4,2,1,0,723,0,1,724,0
178,17,196,277,1,211,1,0,0,0,0,1,2,1,2,3,3,0,6,721,0,2,723,0
179,20,191,293,6,201,0,1,1,1,1,0,2,2,2,2,0,0,4,727,0,1,728,0
180,17,216,244,2,190,0,0,0,0,0,0,0,0,0,1,0,1,3,674,0,0,674,0
181,34,170,242,2,164,0,0,0,0,0,1,0,1,0,1,1,1,5,622,0,2,624,0
182,6,130,106,1,194,0,0,0,1,1,0,0,0,0,1,0,0,0,440,0,1,441,0
183,26,259,191,2,316,1,0,0,0,0,0,2,1,2,0,2,2,1,805,0,3,808,0
184,23,143,242,13,241,1,1,0,1,2,0,2,0,2,1,3,4,1,680,0,1,681,0
185,27,136,214,4,230,7,2,1,0,0,0,2,3,2,6,2,1,0,637,0,2,639,0
186,22,152,234,2,203,5,0,1,0,0,0,1,3,0,1,2,1,0,627,0,1,628,0
187,12,55,142,3,130,2,0,0,0,0,0,4,0,0,0,0,0,0,348,0,3,351,0
188,45,197,180,3,318,27,0,1,2,1,2,1,4,2,3,1,0,2,789,0,2,791,0
189,19,150,111,1,81,15,0,2,0,1,0,0,0,1,1,1,1,2,386,0,1,387,0
190,36,249,156,2,277,12,0,0,0,0,0,0,0,0,0,0,1,1,734,0,0,734,0
191,20,181,141,1,184,12,0,1,1,0,1,0,1,3,3,0,1,1,551,0,3,554,0
192,22,190,340,4,313,24,1,2,1,0,0,5,1,0,1,6,0,1,911,0,4,915,0
193,40,230,211,6,482,7,0,1,0,1,4,0,3,3,2,6,1,3,1000,0,2,1002,0
194,17,180,236,2,248,4,0,1,0,1,0,3,0,0,0,4,1,3,700,0,1,701,0
195,16,168,146,4,200,7,0,0,2,0,2,1,3,0,1,2,0,5,557,0,2,559,0
196,18,110,89,4,179,11,0,0,1,0,0,0,1,0,0,0,0,1,414,0,2,416,0
197,35,172,183,6,266,18,0,1,0,1,1,1,0,2,3,2,1,3,695,0,2,697,0
198,17,177,220,1,235,12,0,0,0,1,1,2,2,1,1,3,0,2,675,0,3,678,0
199,28,160,215,1,243,2,0,0,2,1,0,2,1,2,0,0,0,2,659,0,8,667,0
200,9,102,265,1,186,0,0,0,0,0,0,1,1,2,2,0,1,3,573,0,0,573,0
201,12,170,216,5,171,0,0,0,0,0,0,1,0,1,1,2,0,4,583,0,7,590,0
202,22,140,139,0,140,32,0,0,0,0,0,1,2,3,0,0,0,2,481,0,0,481,0
203,13,181,183,1,208,5,0,1,0,0,0,3,0,3,5,0,0,1,604,0,5,609,0
204,16,134,141,2,186,4,1,1,0,1,1,1,0,2,4,0,0,1,495,0,1,496,0
205,19,109,226,1,173,13,1,0,0,1,0,0,0,0,3,2,0,2,550,0,2,552,0
206,18,121,275,4,268,1,2,1,1,1,1,2,2,0,3,0,1,1,702,0,4,706,0
207,ge 3 53,189,223,3,238,2,0,1,0,0,0,1,1,0,2,0,1,0,714,0,0,714,0
208,32,213,199,1,216,1,0,0,0,0,1,1,1,1,2,0,0,3,671,0,4,675,0
209,27,207,371,7,325,1,0,0,1,0,0,1,2,3,2,2,1,1,951,0,2,953,0
