Polling Station No,AMMAN K.ARJUNAN,V SENTHILBALAJI,PERARIVALAN. V,GOKULA KRISHNAN.S,V. SENTHILKUMAR,B. DHANDAPANI,G. MAHESHWARAN,N. ABILAZAN,IMTHIYAS,P. KATHIRAVAN,GOPALAKRISHNAN,P. SANGARARAJ,J. SURIYAKUMAR,M. SENTHILKUMAR,V. SENTHILKUMAR,K. DINESH KUMAR,P. PALANIVEL,J. PRAVEENKUMAR,T. MAGIZHAN,P. MANOJ,B. YUVARAJ,S. RANGARAJ,M. RAVICHANDRAN,K.S. RAJAGOPAL,K. RAJAPANDIAN,D. VIGNESHWARAN,K. VIJAYAN,VENKATACHALAM PARAMASIVAM,V. VELMURUGAN,M. JOHN BOSCO,L. HAKKIM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
178,11,600,15,0,74,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,2,709,0
179,76,268,14,1,198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,2,560,0
180,73,435,20,0,121,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,657,0,5,662,0
181,48,412,16,1,134,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,615,0
182,79,230,3,0,231,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,547,0,3,550,0
183,68,206,12,0,375,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,2,669,0
184,43,123,4,0,205,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,381,0,3,384,0
185,68,110,16,0,117,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,1,314,0
186,189,197,13,1,184,0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,593,0,4,597,0
187,69,337,8,0,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,523,0
188,g2e14,2 196,5,0,343,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,765,0,3,768,0
189,10,604,6,1,83,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,709,0,1,710,0
190,3,524,12,1,110,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,656,0,0,656,0
191,6,618,4,0,72,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,1,706,0
192,9,545,10,0,65,2,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,636,0,1,637,0
193,13,630,11,0,49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,4,709,0
194,62,544,14,1,190,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,818,0,2,820,0
195,44,418,11,0,201,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,678,0,2,680,0
196,14,591,3,1,50,0,0,0,1,0,1,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,4,673,0
197,72,225,9,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,401,0,1,402,0
198,22,336,7,0,127,0,0,0,1,0,0,0,0,2,1,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,503,0,2,505,0
199,62,416,12,0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,570,0,1,571,0
200,80,430,10,0,127,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,1,652,0
201,72,426,10,0,182,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,2,693,0
202,47,343,7,1,143,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,549,0,1,550,0
203,166,273,36,0,390,1,0,0,1,0,0,0,1,3,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,877,0,5,882,0
204,114,212,12,0,281,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,625,0,1,626,0
205,132,323,10,0,267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,3,0,0,1,0,0,743,0,3,746,0
206,105,264,21,3,421,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,2,822,0
207,118,272,14,3,397,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,1,0,1,1,0,0,0,813,0,0,813,0
208,47,107,7,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,388,0,2,390,0
209,84,201,8,0,337,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,638,0,1,639,0
210,110,259,5,3,301,1,0,0,0,0,0,0,0,1,1,2,3,2,0,0,1,0,0,0,0,1,1,1,0,0,0,692,0,1,693,0
211,138,215,21,0,430,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,813,0,1,814,0
212,153,213,16,0,361,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,751,0,4,755,0
213,188,140,14,1,381,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,729,0,3,732,0
214,166,150,20,0,524,0,0,0,0,0,0,0,1,3,1,0,2,2,0,1,0,1,0,1,1,0,0,0,0,0,0,873,0,3,876,0
215,129,151,6,1,356,2,1,0,0,0,1,0,0,2,0,2,0,1,0,1,1,1,0,0,3,0,0,0,1,0,0,659,0,5,664,0
216,109,257,20,1,419,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,814,0,0,814,0
217,141,356,15,0,327,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,849,0,4,853,0
218,137,99,13,0,122,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,2,377,0
219,112,127,15,0,149,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,410,0,1,411,0
220,184,99,12,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,462,0,3,465,0
221,73,168,16,0,228,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,489,0,4,493,0
222,169,158,21,0,254,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,607,0,4,611,0
223,114,149,19,0,183,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,470,0,3,473,0
224,187,182,27,1,292,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,696,0,1,697,0
225,194,138,20,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,534,0,4,538,0
226,147,127,16,1,171,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,469,0,3,472,0
227,97,141,13,0,148,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,405,0,0,405,0
228,164,136,29,0,230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,2,563,0
229,125,151,20,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,2,484,0
230,124,282,15,1,218,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,646,0,4,650,0
231,117,195,29,0,216,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,2,561,0
232,130,136,16,1,229,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,517,0,0,517,0
233,145,90,18,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,438,0,1,439,0
234,96,77,13,0,110,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,301,0
235,185,101,9,0,103,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,1,403,0
236,156,162,13,0,171,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,1,507,0
237,128,183,6,2,171,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,496,0,0,496,0
238,221,182,19,0,233,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,2,663,0
239,132,106,24,1,227,4,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,502,0,4,506,0
240,79,165,22,0,190,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,463,0,3,466,0
241,135,161,22,0,198,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,521,0,1,522,0
242,159,168,25,0,238,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,593,0,3,596,0
243,43,396,9,1,137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,1,588,0
244,159,149,13,1,147,0,0,0,0,0,0,1,0,1,0,4,5,0,1,0,1,0,0,0,1,1,0,0,0,0,1,485,0,2,487,0
245,225,79,8,1,93,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,411,0,12,423,0
246,130,219,12,0,137,2,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,3,508,0
247,130,199,13,0,151,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,501,0,3,504,0
248,114,89,9,0,122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,336,0
249,104,159,15,1,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,5,555,0
250,204,97,15,0,137,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,456,0,5,461,0
251,167,299,27,1,362,2,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,865,0,7,872,0
252,124,155,12,0,248,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,1,0,0,0,0,0,548,0,2,550,0
253,149,189,22,1,218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,582,0,2,584,0
254,220,142,32,1,298,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,704,0,3,707,0
255,138,146,18,0,220,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,529,0,3,532,0
256,140,180,30,0,276,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,634,0,6,640,0
257,128,137,25,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,502,0,2,504,0
258,160,180,44,2,302,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,693,0,2,695,0
259,120,190,30,0,248,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,1,1,0,0,0,597,0,4,601,0
260,162,114,9,0,273,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,564,0,4,568,0
261,201,190,21,0,258,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,675,0,3,678,0
262,101,130,19,1,138,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,2,394,0
263,171,199,30,2,457,3,0,0,0,0,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,870,0,3,873,0
264,108,207,25,0,240,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,589,0,3,592,0
265,88,124,22,1,256,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,495,0,2,497,0
266,160,187,22,1,328,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,706,0,3,709,0
267,75,120,17,1,208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,1,423,0
268,112,109,10,2,225,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,2,1,0,0,1,0,0,0,1,0,471,0,1,472,0
269,116,152,9,1,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,519,0,1,520,0
270,207,153,36,0,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,715,0,0,715,0
271,170,185,38,0,287,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,686,0,5,691,0
272,261,185,35,1,372,1,0,0,1,0,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,0,0,1,1,0,0,866,0,3,869,0
273,194,162,18,0,245,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,622,0,1,623,0
274,243,174,19,2,323,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,764,0,6,770,0
275,211,247,22,0,232,1,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,723,0,6,729,0
276,183,207,39,1,260,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,698,0,4,702,0
277,149,109,20,0,189,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,476,0,3,479,0
