Polling Station No,Candidate_1,NALAME.J,AMAHTOHSURUP AHTIRAP G.N,PADARP.B.K,NASARAVOOP.T,AHSA.K,UDNIS.K,LAHTIBAHT.K,A.NARAKABUS,IHTAMUS.M,NABURIHTAM HTARAHB,HSEJAR.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
288,17,187,301,1,0,258,0,1,0,0,0,765,765,0,2,767,0
289,11,195,115,2,0,104,0,3,1,1,2,434,434,0,1,435,0
290,29,249,191,2,1,491,2,1,0,1,0,967,967,0,4,971,0
291,25,244,184,7,3,434,1,1,3,1,2,905,905,0,3,908,0
292,11,239,111,2,0,248,3,4,1,2,3,624,624,0,2,626,0
293,18,208,152,2,2,392,2,0,2,0,0,778,778,0,3,781,0
294,15,130,84,3,2,269,1,2,0,0,0,506,506,0,3,509,0
295,25,265,149,1,1,226,1,0,0,1,1,670,670,0,2,672,0
296,26,211,133,0,2,286,0,1,0,2,1,662,662,0,3,665,0
297,29,196,131,1,1,229,0,1,0,0,0,588,588,0,0,588,0
298,24,227,124,2,0,159,0,1,0,0,0,537,537,0,1,538,0
299,25,237,174,1,3,406,1,2,0,1,1,851,851,0,2,853,0
300,17,271,178,3,3,616,1,3,1,4,1,1098,1098,0,6,1104,0
301,32,212,205,1,0,291,0,0,0,1,1,743,743,0,2,745,0
302,20,192,208,2,0,213,1,4,1,1,0,642,642,0,2,644,0
303,20,94,406,4,1,217,0,4,0,1,0,747,747,0,1,748,0
304,36,121,395,2,0,431,1,3,0,0,0,989,989,0,2,991,0
305,24,108,564,1,2,372,2,3,2,3,0,1081,1081,0,3,1084,0
306,15,181,234,1,0,293,4,3,2,1,1,735,735,0,1,736,0
307,10,137,85,1,0,281,0,3,0,0,0,517,517,0,3,520,0
308,21,194,106,2,3,303,1,2,0,0,1,633,633,0,3,636,0
309,21,84,321,3,0,349,2,1,2,3,1,787,787,0,2,789,0
310,10,71,207,2,1,402,0,0,0,1,2,696,696,0,2,698,0
311,7,59,138,1,3,241,1,1,1,0,1,453,453,0,1,454,0
312,15,105,213,2,0,411,1,0,1,2,0,750,750,0,2,752,0
313,9,248,76,0,0,261,4,0,3,2,0,603,603,0,0,603,0
314,16,311,74,0,1,261,3,6,0,1,0,673,673,0,2,675,0
315,19,294,70,2,1,289,2,2,0,1,0,680,680,0,6,686,0
316,19,320,65,1,3,279,2,4,0,1,0,694,694,0,1,695,0
317,21,295,75,1,3,219,1,4,2,3,1,625,625,0,0,625,0
318,21,234,361,7,2,436,0,5,1,3,1,1071,1071,0,0,1071,0
319,33,246,235,3,0,439,2,0,1,3,0,962,962,0,2,964,0
