Polling Station No,KASI. C,EDAPPADI PALANISWAMI. K,PRIYADHARSHINI. A,GOVINDARAJ.V,SURESH. L,ELUMALAI. P,IYYAPPAN PERUMAL. P,KUMARESAN. M,SAKTHIVEL. S,SUBRAMANI. P,THULASIMANI. P,PREMKUMAR. K,MURUGAN. C,STUDENT'S FRIEND MURUGAN. M,RAJA. K. B.SC. B.TECH. EX.INAS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
36,131,295,37,9,1,3,2,2,1,1,6,222,1,1,4,716,0,5,721,0
37,93,402,31,6,0,1,1,0,0,1,1,203,1,0,2,742,0,3,745,0
38,83,677,63,6,0,0,0,0,0,0,4,204,1,4,5,1047,0,8,1055,0
39,101,442,34,6,1,5,2,3,0,2,2,118,1,2,4,723,0,7,730,0
40,68,350,14,4,0,0,0,0,0,1,1,92,0,1,2,533,0,6,539,0
41,91,341,12,8,1,0,3,0,0,0,3,184,1,1,1,646,0,1,647,0
42,70,468,23,9,0,0,1,0,0,1,0,184,1,1,3,761,0,1,762,0
43,163,467,18,5,0,0,0,0,2,0,3,234,0,0,1,893,0,0,893,0
44,66,379,28,7,0,1,1,1,0,0,1,226,1,2,2,715,0,2,717,0
45,e 717,505,29,10,1,2,2,0,0,1,5,237,1,2,1,873,0,4,877,0
46,45,399,19,4,2,1,6,2,1,1,2,185,0,0,2,669,0,2,671,0
47,67,407,22,6,3,0,2,0,0,0,6,363,1,3,4,884,0,6,890,0
48,71,304,12,13,0,1,1,0,0,0,1,137,0,0,1,541,0,2,543,0
49,63,350,26,10,2,0,3,0,0,0,1,274,1,0,3,733,0,3,736,0
50,64,486,28,5,1,1,0,0,1,0,3,155,1,2,6,753,0,7,760,0
51,74,410,22,6,0,0,2,0,0,0,1,162,0,0,1,678,0,1,679,1
52,70,564,13,12,0,0,0,0,0,0,0,319,0,0,0,978,0,3,981,0
53,66,308,32,5,0,1,2,1,0,0,1,130,0,0,4,550,0,4,554,0
54,106,460,30,2,1,1,0,0,0,0,2,172,0,1,1,776,0,1,777,0
55,82,531,35,2,0,0,0,0,0,0,0,128,0,0,1,779,0,5,784,0
56,54,424,24,13,1,0,2,1,0,0,6,246,0,3,1,775,0,3,778,0
57,43,338,21,9,0,0,2,1,0,0,4,217,2,1,0,638,0,4,642,0
58,83,560,17,0,1,0,0,1,0,0,1,119,0,1,0,783,0,3,786,0
59,100,616,35,5,0,2,0,0,0,0,0,176,0,0,0,934,0,3,937,0
60,75,353,26,1,3,0,0,1,0,1,0,95,1,2,1,559,0,1,560,0
61,85,609,29,2,2,1,2,0,0,1,5,119,1,0,1,857,0,1,858,0
62,47,180,6,1,0,0,0,0,0,0,3,58,0,0,0,295,0,0,295,0
63,72,610,24,5,0,0,0,2,0,0,5,213,0,1,2,934,0,4,938,0
64,61,376,15,2,0,0,3,1,0,1,0,68,0,0,1,528,0,1,529,0
65,123,687,35,4,0,0,1,0,0,1,0,176,0,0,4,1031,0,3,1034,0
66,100,537,47,9,4,0,3,0,1,1,3,168,1,2,3,879,0,3,882,0
67,82,374,22,1,3,0,0,0,0,0,2,70,0,0,3,557,0,2,559,0
68,97,648,37,12,0,0,1,1,0,0,1,226,1,0,1,1025,0,5,1030,0
69,126,411,34,2,1,1,1,0,0,0,1,200,1,1,3,782,0,0,782,0
70,162,507,36,9,1,0,1,0,0,1,0,277,1,0,0,995,0,3,998,0
71,96,438,35,2,1,0,1,0,0,0,1,186,1,0,3,764,0,6,770,0
72,157,564,64,6,10,0,0,0,0,0,1,159,0,1,1,963,0,4,967,0
73,111,397,24,5,1,0,0,0,0,0,0,171,1,1,2,713,0,4,717,0
74,77,327,29,1,0,0,0,0,0,0,0,117,0,0,1,552,0,0,552,0
75,171,511,70,4,3,1,1,0,2,0,0,248,0,1,1,1013,0,2,1015,0
76,160,378,28,8,1,1,0,0,0,0,3,223,0,0,2,804,0,10,814,0
77,86,290,19,4,2,0,0,1,0,1,1,70,0,1,3,478,0,1,479,0
78,73,349,32,4,0,0,0,0,0,2,0,129,1,1,2,593,0,8,601,0
79,48,301,15,2,2,0,1,0,0,0,2,104,1,0,1,477,0,3,480,0
80,267,517,35,3,3,1,0,0,0,0,2,136,0,1,2,967,0,1,968,0
81,118,221,15,1,1,0,0,0,0,0,1,82,0,0,0,439,0,1,440,0
82,144,512,32,6,1,0,3,0,0,0,2,261,1,1,5,968,0,3,971,0
83,161,455,18,5,1,1,0,0,0,0,1,197,1,1,0,841,0,6,847,0
84,175,510,34,6,1,0,0,1,0,0,2,298,0,1,1,1029,0,4,1033,0
85,41,185,15,1,1,0,0,0,0,0,0,105,0,1,3,352,0,0,352,0
86,193,473,33,8,1,1,2,0,0,0,0,149,0,0,0,860,0,6,866,0
87,124,427,29,4,0,1,0,0,0,0,1,188,0,0,4,778,0,4,782,0
88,190,321,32,5,0,0,0,0,0,0,1,185,0,1,1,736,0,4,740,0
89,122,302,14,2,0,0,1,0,0,0,1,115,0,0,0,557,0,3,560,0
90,e 1265,222,17,4,0,0,0,0,0,0,0,107,1,0,0,516,0,0,516,0
91,163,345,23,2,0,0,0,0,0,0,0,127,0,0,0,660,0,5,665,0
92,117,247,7,3,0,0,3,0,0,0,1,130,0,1,4,513,0,3,516,0
93,137,362,17,3,0,0,3,1,0,0,3,171,1,0,0,698,0,3,701,0
94,88,152,22,3,0,1,0,0,0,0,0,80,0,0,2,348,0,5,353,0
95,90,272,31,6,0,0,1,0,0,0,0,132,0,0,0,532,0,3,535,0
96,158,368,33,4,0,0,0,0,0,0,0,220,1,0,1,785,0,0,785,0
97,116,367,19,2,0,0,0,1,0,0,2,119,0,1,0,627,0,0,627,0
98,99,314,14,2,0,0,1,0,0,0,1,167,0,1,0,599,0,1,600,0
99,125,324,11,4,1,0,0,0,0,0,0,152,1,0,0,618,0,3,621,0
100,120,344,14,5,2,0,1,0,0,0,1,124,1,0,5,617,0,2,619,0
101,151,486,25,2,0,0,0,0,0,0,0,156,0,0,4,824,0,3,827,0
102,161,298,14,4,1,0,0,0,0,0,2,136,0,0,1,617,0,2,619,0
103,163,501,17,3,1,1,1,0,0,0,0,217,1,0,2,907,0,4,911,0
104,143,634,24,6,0,0,0,0,0,0,1,189,2,1,4,1004,0,4,1008,0
105,84,371,29,4,0,0,2,0,0,0,1,191,0,0,1,683,0,2,685,0
106,164,635,26,7,3,0,1,0,0,0,4,231,0,1,6,1078,0,5,1083,0
107,183,456,37,12,2,1,0,0,1,1,4,346,0,2,3,1048,0,4,1052,0
108,80,311,20,7,1,1,0,0,1,0,1,156,0,0,0,578,0,0,578,0
109,114,313,60,10,5,0,3,1,0,1,2,232,1,2,5,749,0,4,753,0
110,117,401,40,0,9,0,0,0,0,0,1,212,2,2,1,785,0,4,789,0
111,178,668,39,2,4,0,0,0,0,1,2,172,0,2,0,1068,0,5,1073,0
112,129,519,38,2,0,0,2,0,0,0,1,143,0,0,2,836,0,1,837,0
113,168,426,27,2,0,0,0,2,0,0,0,95,0,0,0,720,0,3,723,0
114,185,629,30,12,0,1,1,0,0,0,0,214,0,0,3,1075,0,1,1076,0
115,198,608,45,6,0,0,0,1,2,1,3,196,3,4,6,1073,0,5,1078,0
116,104,531,40,2,1,0,1,0,0,0,2,133,0,0,1,815,0,5,820,0
117,117,386,11,3,0,0,2,0,0,0,2,157,3,4,4,689,0,11,700,0
118,88,490,30,7,1,0,1,1,0,0,2,225,0,1,4,850,0,3,853,0
119,63,240,31,6,0,0,0,0,0,0,0,67,0,1,0,408,0,2,410,0
120,126,502,25,2,2,0,0,1,1,1,2,103,0,4,5,774,0,1,775,0
121,137,493,47,3,1,1,0,0,1,1,1,103,1,3,2,794,0,1,795,0
122,78,360,27,3,0,0,1,1,0,0,2,83,0,1,3,559,0,1,560,0
123,192,579,31,7,1,0,0,0,0,0,4,177,0,1,5,997,0,6,1003,0
124,166,497,62,7,2,0,2,3,0,1,1,198,3,3,5,950,0,5,955,0
125,154,457,28,12,1,1,0,1,0,0,2,130,0,1,6,793,0,8,801,0
126,64,262,13,1,1,0,0,0,0,0,0,88,0,0,0,429,0,2,431,0
127,165,441,40,5,4,2,0,0,0,0,5,199,1,4,1,867,0,5,872,0
128,193,519,45,5,0,1,2,0,0,1,0,211,0,0,1,978,0,9,987,0
129,171,537,28,7,0,0,2,2,0,0,5,226,1,1,6,986,0,7,993,0
130,120,696,28,6,0,0,1,1,0,0,2,159,0,2,3,1018,0,12,1030,0
131,125,487,29,6,0,1,1,2,1,1,0,120,2,4,4,783,0,1,784,0
132,142,569,48,8,0,0,0,0,1,0,3,216,1,4,4,996,0,6,1002,0
133,142,521,42,1,1,1,0,0,0,0,1,141,2,1,2,855,0,5,860,0
134,147,367,37,6,0,1,0,0,0,0,1,122,0,1,2,684,0,5,689,0
135,e 1385,654,23,5,0,0,1,0,0,0,1,141,0,2,4,1016,0,6,1022,0
136,204,484,22,4,1,0,1,0,0,0,1,120,1,3,1,842,0,9,851,0
137,160,573,28,5,0,3,0,0,0,0,2,244,0,0,8,1023,0,7,1030,0
138,114,533,35,2,1,1,0,0,0,0,0,167,0,0,4,857,0,3,860,0
139,159,552,30,8,2,5,0,0,0,0,2,115,0,1,4,878,0,5,883,0
140,162,511,25,4,2,4,0,0,0,2,1,106,0,4,0,821,0,4,825,0
141,120,564,22,1,0,1,0,0,0,0,5,190,0,2,2,907,0,4,911,0
142,40,342,15,1,0,0,0,0,0,1,0,61,0,0,0,460,0,0,460,0
143,110,471,33,6,1,2,1,1,0,0,3,179,1,1,6,815,0,5,820,0
144,64,495,27,3,1,0,1,0,0,1,1,185,0,0,2,780,0,3,783,0
145,153,524,26,2,0,1,0,0,0,0,0,121,0,1,0,828,0,3,831,0
146,117,621,49,7,0,3,3,1,0,1,4,241,2,4,7,1060,0,4,1064,0
147,142,648,36,7,0,2,1,0,1,3,1,168,3,3,5,1020,0,6,1026,0
148,127,483,17,5,0,0,1,0,0,0,5,115,1,2,1,757,0,6,763,0
149,37,294,13,4,1,0,0,1,0,0,3,67,1,0,0,421,0,0,421,0
150,131,609,32,0,4,1,0,1,1,0,1,136,1,0,0,917,0,5,922,0
151,129,612,13,1,0,11,0,1,0,1,3,89,1,3,2,866,0,5,871,0
152,49,271,6,3,0,0,0,0,0,0,0,91,0,1,0,421,0,1,422,0
153,116,490,43,5,2,0,0,2,0,1,2,139,0,1,4,805,0,3,808,0
154,41,482,20,4,6,0,0,1,0,0,1,156,0,1,1,713,0,3,716,0
155,105,489,19,3,1,1,0,0,1,0,0,145,0,2,0,766,0,3,769,0
156,140,655,23,10,0,1,2,0,0,0,3,183,2,1,5,1025,0,5,1030,0
157,77,459,29,5,2,2,0,0,1,0,0,168,0,1,4,748,0,3,751,0
158,88,280,16,3,1,0,1,0,0,0,0,71,1,0,1,462,0,1,463,0
159,55,557,22,6,0,3,1,3,2,1,7,154,0,5,3,819,0,2,821,0
160,105,529,14,5,0,0,2,1,1,1,2,208,1,1,5,875,0,6,881,0
161,110,474,28,12,1,0,3,0,0,3,4,190,0,2,5,832,0,5,837,0
162,111,327,11,2,0,0,1,0,1,0,1,117,0,3,4,578,0,5,583,0
163,168,605,29,8,1,3,1,0,2,0,3,154,0,1,7,982,0,2,984,0
164,100,410,23,6,1,1,3,0,0,1,1,199,0,1,4,750,0,3,753,0
165,130,380,13,10,0,0,0,0,0,1,4,162,1,2,3,706,0,2,708,0
166,153,400,19,6,1,0,1,2,0,1,1,201,0,1,9,795,0,3,798,0
167,224,563,18,2,0,0,1,0,0,0,1,157,0,1,4,971,0,2,973,0
168,215,519,31,8,0,0,1,1,0,0,0,196,1,3,4,979,0,3,982,0
169,268,436,31,5,1,0,0,0,0,0,3,158,0,3,6,911,0,7,918,0
170,114,263,22,4,0,0,0,0,0,0,1,125,0,1,3,533,0,9,542,0
171,221,426,13,2,4,1,0,0,0,1,0,155,0,0,1,824,0,4,828,0
172,149,410,21,6,0,0,3,1,0,0,0,154,3,2,7,756,0,3,759,0
173,183,419,38,8,2,1,0,1,0,1,1,170,1,2,6,833,0,2,835,0
174,157,397,40,9,0,2,1,0,1,0,4,191,2,1,6,811,0,3,814,0
175,185,407,36,11,2,0,1,1,0,0,2,110,1,5,2,763,0,4,767,0
176,241,607,30,9,1,0,3,1,0,1,1,169,1,2,5,1071,0,3,1074,0
177,118,624,30,6,2,2,0,0,0,0,2,138,1,2,2,927,0,13,940,0
178,174,646,24,4,0,2,1,2,1,0,2,132,0,1,11,1000,0,10,1010,0
179,287,489,28,8,1,0,1,1,1,2,1,145,1,6,2,973,0,10,983,0
180,e 1436,249,8,1,0,0,0,1,0,0,1,109,0,0,1,506,0,3,509,0
181,86,475,21,4,0,1,2,0,1,0,0,104,1,1,1,697,0,3,700,0
182,102,456,34,6,1,0,0,0,2,0,2,144,0,2,3,752,0,2,754,0
183,160,585,27,6,0,1,2,0,0,0,1,138,1,0,5,926,0,5,931,0
184,117,480,42,9,3,0,1,1,0,1,1,161,0,1,1,818,0,5,823,0
185,240,383,46,5,0,0,1,0,0,0,2,83,1,2,6,769,0,8,777,0
186,129,434,20,2,0,1,1,0,0,1,1,142,1,1,0,733,0,5,738,0
187,95,298,16,5,0,1,1,0,0,0,1,87,0,0,4,508,0,4,512,0
188,243,399,17,10,0,0,2,1,0,0,0,143,0,2,4,821,0,9,830,0
189,250,339,28,14,4,1,2,1,0,0,1,142,4,3,5,794,0,11,805,0
190,138,545,24,5,1,0,2,0,0,0,0,102,0,1,0,818,0,5,823,0
191,186,435,18,7,5,1,1,1,0,0,2,153,1,5,3,818,0,10,828,0
192,126,386,7,2,2,0,0,1,0,0,1,145,0,1,1,672,0,2,674,0
193,89,546,24,11,2,4,1,0,0,0,2,165,0,4,3,851,0,3,854,0
194,119,291,15,4,4,0,0,0,0,0,0,153,0,1,0,587,0,4,591,0
195,140,383,16,4,5,1,1,1,0,0,1,94,1,2,1,650,0,1,651,0
196,114,447,36,7,1,2,0,0,0,0,1,164,1,0,0,773,0,8,781,0
197,217,139,4,7,0,0,0,0,0,0,1,60,0,0,2,430,0,4,434,0
198,68,503,12,11,1,1,4,1,0,0,0,156,1,0,2,760,0,3,763,1
199,104,410,18,4,3,0,0,1,0,0,0,87,0,0,0,627,0,2,629,0
200,73,348,6,10,1,0,1,0,0,0,1,191,0,1,3,635,0,1,636,0
201,178,468,31,5,0,1,0,0,0,0,2,190,0,0,0,875,0,6,881,0
202,134,479,21,7,2,6,2,4,0,0,0,120,0,1,3,779,0,2,781,1
203,136,384,31,7,0,0,0,4,0,1,1,198,0,2,0,764,0,6,770,0
204,98,425,18,6,1,1,1,1,0,0,0,181,0,1,0,733,0,10,743,0
205,103,313,22,3,2,0,0,5,0,1,0,95,0,2,1,547,0,2,549,0
206,72,342,13,5,2,0,0,3,0,0,0,83,0,1,1,522,0,4,526,0
207,76,295,12,3,6,1,0,0,0,0,1,109,0,0,1,504,0,4,508,0
208,88,442,31,6,1,0,1,0,0,0,1,122,1,1,2,696,0,5,701,0
209,316,365,21,3,0,0,0,2,1,2,2,131,0,2,5,850,0,2,852,0
210,168,263,19,3,1,0,0,0,0,0,0,102,0,3,0,559,0,3,562,0
211,66,337,10,4,2,0,1,0,0,0,0,61,0,0,1,482,0,1,483,0
212,84,263,25,1,3,2,0,2,1,0,0,125,0,2,0,508,0,1,509,0
213,149,521,20,4,0,2,1,2,0,0,0,176,0,1,1,877,0,3,880,0
214,90,308,15,2,0,0,0,0,0,0,0,75,0,1,0,491,0,0,491,0
215,86,324,17,0,0,0,1,0,0,0,1,78,0,0,1,508,0,3,511,0
216,145,496,12,8,1,1,1,3,2,1,1,114,0,2,0,787,0,1,788,0
217,103,600,20,6,0,0,2,3,1,0,2,231,0,2,3,973,0,6,979,0
218,87,338,16,4,2,0,0,0,1,0,0,97,0,0,0,545,0,3,548,0
219,111,327,16,1,2,0,0,0,0,0,0,120,0,1,1,579,0,3,582,0
220,117,264,13,9,2,0,1,0,1,0,1,192,0,2,4,606,0,12,618,0
221,109,535,37,5,1,0,2,0,1,0,0,156,0,2,1,849,0,5,854,0
222,62,254,8,3,1,0,0,0,0,0,0,90,0,0,0,418,0,0,418,0
223,111,547,37,2,0,1,1,0,0,0,0,156,0,2,5,862,0,2,864,0
224,134,549,10,4,0,4,0,3,0,1,0,158,0,2,0,865,0,3,868,0
225,e 1596,659,13,12,1,4,0,0,0,0,2,195,2,1,1,1086,0,1,1087,0
226,85,439,21,4,2,0,1,0,1,0,1,116,0,3,0,673,0,2,675,0
227,134,414,14,7,0,2,0,0,0,1,0,163,0,0,1,736,0,1,737,0
228,153,537,20,6,0,0,2,0,0,0,0,145,0,2,1,866,0,0,866,0
229,113,405,21,7,0,2,0,0,1,0,0,102,0,0,1,652,0,4,656,0
230,129,453,16,1,2,1,2,1,0,0,0,98,0,3,2,708,0,2,710,0
231,62,309,10,7,0,0,1,0,0,0,0,128,0,2,0,519,0,4,523,0
232,178,162,16,1,1,0,1,0,0,1,0,130,0,0,0,490,0,2,492,0
233,194,629,23,3,1,1,0,0,0,1,2,122,0,3,0,979,0,2,981,0
234,100,155,16,2,0,0,0,0,0,0,0,50,0,1,0,324,0,2,326,0
235,140,459,12,8,1,0,0,5,0,0,0,127,0,1,1,754,0,2,756,0
236,167,418,25,3,3,1,0,2,0,1,1,152,1,1,1,776,0,1,777,0
237,78,224,9,2,3,0,1,2,0,0,0,69,0,0,0,388,0,1,389,0
238,183,508,23,3,22,0,0,7,1,1,0,161,1,1,1,912,0,2,914,0
239,130,428,14,4,13,0,0,0,0,0,0,143,0,1,1,734,0,5,739,0
240,105,296,20,4,2,0,1,3,0,0,1,143,0,0,0,575,0,4,579,0
241,177,489,29,8,5,0,0,14,0,0,1,148,0,1,1,873,0,0,873,0
242,160,435,26,5,4,0,1,16,0,0,1,176,1,2,3,830,0,3,833,0
243,124,464,34,4,3,0,1,4,0,0,0,166,0,0,1,801,0,6,807,0
244,168,522,33,7,5,0,1,9,0,0,0,203,0,1,0,949,0,3,952,0
245,131,453,23,6,19,1,2,2,0,0,2,274,0,0,4,917,0,1,918,0
246,149,448,12,10,3,1,1,1,0,0,0,142,0,1,0,768,0,5,773,0
247,119,543,30,4,1,1,0,1,0,0,1,148,0,1,0,849,0,4,853,0
248,110,435,16,6,0,1,1,1,0,1,0,177,0,3,1,752,0,1,753,0
249,118,337,7,5,1,4,1,0,0,0,0,84,1,1,1,560,0,1,561,0
250,179,448,20,1,2,0,0,0,0,0,2,106,1,2,1,762,0,4,766,0
251,61,499,18,4,4,2,1,1,0,1,0,108,2,1,2,704,0,3,707,0
252,184,436,38,7,2,0,0,0,0,0,1,174,1,1,3,847,0,3,850,0
253,129,251,18,6,1,1,1,0,0,0,2,136,1,0,3,549,0,3,552,0
254,98,313,11,3,0,1,0,0,0,0,0,74,0,0,3,503,0,2,505,0
255,131,455,28,5,0,2,0,0,0,1,0,199,1,2,7,831,0,4,835,0
256,106,527,21,4,0,1,1,1,6,0,0,242,1,1,1,912,0,6,918,0
257,99,467,36,4,1,0,1,3,0,0,1,174,0,4,1,791,0,3,794,0
258,145,484,26,3,3,0,0,0,0,1,1,188,0,8,0,859,0,6,865,0
259,139,607,23,11,1,2,3,0,0,2,1,220,1,3,5,1018,0,10,1028,0
260,118,496,29,9,0,2,3,1,1,0,1,96,1,2,4,763,0,3,766,0
261,137,468,14,4,1,0,0,0,0,0,3,191,0,3,3,824,0,8,832,0
262,162,348,19,1,0,0,1,0,1,0,0,84,1,0,1,618,0,4,622,0
263,72,360,19,3,2,1,0,0,0,0,1,88,0,3,2,551,0,1,552,0
264,82,412,31,2,0,1,1,0,0,0,3,124,1,2,1,660,0,1,661,0
265,224,524,31,4,1,1,3,1,0,0,0,143,0,0,2,934,0,4,938,0
266,152,548,29,7,0,8,2,0,0,0,1,300,0,0,6,1053,0,5,1058,0
267,147,469,23,0,0,0,0,0,0,0,1,82,0,1,3,726,0,2,728,0
268,119,374,12,3,0,0,0,0,0,0,1,78,1,0,1,589,0,0,589,0
269,81,217,4,1,0,0,0,0,0,0,1,91,0,0,2,397,0,2,399,0
270,e 1667,498,27,3,0,1,0,1,0,1,0,180,1,0,3,882,0,5,887,0
271,191,458,22,2,0,2,0,0,0,0,3,154,1,1,0,834,0,5,839,0
272,194,674,41,6,0,0,1,0,1,1,0,107,0,0,2,1027,0,3,1030,0
273,238,480,29,3,3,0,0,0,0,0,0,123,0,0,2,878,0,9,887,0
274,101,318,16,5,3,0,0,1,0,0,0,73,0,1,0,518,0,1,519,0
275,123,300,4,3,2,0,2,0,0,0,1,103,0,0,3,541,0,2,543,0
276,157,340,18,10,0,1,0,0,0,0,1,148,0,0,3,678,0,6,684,0
277,104,465,27,1,1,0,0,0,0,0,1,98,1,1,2,701,0,3,704,0
278,146,407,33,2,4,0,2,0,0,0,1,92,0,2,4,693,0,4,697,0
279,98,284,13,4,0,0,0,0,0,0,2,92,0,1,1,495,0,1,496,0
280,141,602,44,12,2,1,0,1,1,1,2,105,2,1,1,916,0,4,920,0
281,135,419,14,7,1,0,2,0,0,0,0,120,0,0,0,698,0,3,701,0
282,104,541,32,7,1,1,2,0,0,0,1,141,2,1,8,841,0,8,849,0
283,116,430,34,3,0,1,1,0,0,0,1,79,0,0,3,668,0,1,669,0
284,63,475,15,5,0,1,0,0,0,0,0,196,0,2,2,759,0,0,759,0
285,198,415,18,5,1,0,0,0,0,0,1,112,0,2,2,754,0,4,758,0
286,121,595,32,3,4,2,1,2,0,2,2,211,1,2,4,982,0,3,985,0
287,66,415,23,6,1,0,2,0,0,0,3,158,1,1,4,680,0,2,682,0
288,114,470,19,6,0,0,1,0,1,0,1,169,1,1,4,787,0,3,790,0
289,148,560,14,1,0,0,1,0,0,1,0,112,1,1,3,842,0,5,847,0
290,70,493,10,6,0,0,0,0,0,0,0,71,2,0,2,654,0,1,655,0
291,84,359,35,5,2,1,2,0,0,0,1,172,0,1,3,665,0,4,669,0
292,88,421,12,1,1,1,0,0,0,0,1,138,1,1,3,668,0,1,669,0
293,53,323,18,3,2,0,0,0,0,1,0,103,0,2,3,508,0,5,513,0
294,119,407,18,3,0,0,2,1,0,0,3,161,1,2,1,718,0,1,719,0
295,99,408,19,5,0,1,0,0,0,2,2,134,1,1,1,673,0,3,676,0
296,80,438,24,4,0,0,2,1,0,0,0,135,1,1,3,689,0,4,693,0
297,79,348,46,1,0,0,0,0,0,0,2,98,0,0,5,579,0,2,581,0
298,62,328,33,6,1,1,1,0,0,0,1,163,0,3,2,601,0,4,605,0
299,143,400,53,1,3,0,1,0,0,1,0,100,0,0,1,703,0,7,710,0
300,132,607,26,9,2,0,2,0,0,0,1,182,1,1,0,963,0,7,970,0
301,115,341,32,5,0,0,0,0,0,0,0,116,0,0,0,609,0,2,611,0
302,139,576,35,6,1,0,0,0,0,0,0,138,0,0,2,897,0,2,899,0
303,46,257,14,2,0,0,0,0,0,0,1,69,0,0,1,390,0,1,391,0
304,137,466,28,12,0,0,1,0,0,0,2,179,0,0,5,830,0,2,832,0
305,63,255,18,2,2,0,1,0,0,0,1,95,1,1,1,440,0,2,442,0
306,124,345,17,6,0,0,1,0,0,0,0,100,0,0,1,594,0,3,597,0
307,319,407,15,2,1,0,1,0,0,0,1,128,0,0,0,874,0,2,876,0
308,134,401,13,5,2,0,0,0,0,0,1,92,0,0,0,648,0,1,649,0
309,126,506,9,0,0,0,1,0,0,0,0,57,0,0,0,699,0,0,699,0
310,136,477,14,4,1,2,2,0,0,0,0,146,0,0,0,782,0,1,783,0
311,114,469,13,3,1,1,0,0,0,1,0,102,0,0,2,706,0,1,707,0
312,75,106,30,1,0,0,0,0,0,0,0,92,0,0,1,305,0,1,306,0
313,164,644,36,8,6,0,1,0,0,1,0,172,1,1,3,1037,0,4,1041,0
314,160,276,23,5,2,0,1,0,0,0,2,126,0,0,0,595,0,5,600,0
315,e 1757,608,30,3,2,0,0,0,0,0,1,175,0,0,1,977,0,5,982,0
316,130,303,10,4,3,0,1,1,0,0,0,89,0,0,0,541,0,5,546,0
317,146,626,21,4,3,0,1,0,1,0,2,118,1,3,2,928,0,3,931,0
318,105,433,25,5,1,0,0,0,0,0,1,123,0,0,1,694,0,2,696,0
319,231,356,22,0,1,0,2,0,0,0,1,97,0,0,1,711,0,8,719,0
320,125,418,21,4,1,0,0,0,0,0,4,217,0,2,5,797,0,6,803,0
