Polling Station No,oN .SP,NITSUA,R .M IHDNAG,M RAMUKUHTUM,LEAHCIM YNOTNA J,A JARAGANAK ETALAS,T ONID,L NAJARAGAN,G SGNIK NIVREB,P LIYAMILLAV,A RAMUK HTIJA,S NARAKESANUG,A RAMUKAVIS,MAGNILUBMAYUS A,MAGNILUBMAYUS P,HSENID,NAREEM U DEMAHOM ROOGAN REEP,EEGIAF YDUKNAROOS NEEDIHOM EEGIAF sailA,S YNOM ANTER,S IALLIP MARIAV,S NOSRABEJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
26,26,222,213,44,0,0,0,0,233,1,0,2,6,0,0,1,0,0,0,0,0,722,1,0,0,723
27,27,220,259,18,1,0,0,2,189,0,0,6,4,2,1,3,0,0,0,0,0,705,2,0,0,707
28,28,142,264,29,1,0,2,1,137,0,0,0,6,0,0,0,1,1,0,0,0,584,0,0,0,584
29,29,112,229,32,0,1,0,0,151,0,1,0,22,1,0,0,1,2,0,0,0,552,0,0,0,552
30,30,109,328,19,0,0,0,0,210,0,0,0,16,1,0,1,0,0,2,0,0,686,3,0,0,689
31,31,69,237,8,0,0,0,0,129,2,1,0,5,1,2,0,1,0,0,1,0,456,2,0,0,458
32,32,142,335,37,0,0,1,0,150,0,0,0,4,2,6,1,2,1,3,0,1,685,1,0,0,686
33,33,133,417,33,0,1,0,0,208,0,0,0,4,1,0,1,0,1,0,0,0,799,0,0,0,799
34,34,295,96,25,1,0,0,0,186,0,0,0,0,0,0,0,1,0,1,0,0,605,0,0,0,605
35,35,107,38,17,0,0,2,1,112,0,0,0,0,0,0,0,0,1,0,0,0,278,0,0,0,278
36,36,420,67,34,1,0,0,1,399,0,0,0,0,1,1,0,1,1,0,0,0,926,1,0,0,927
37,37,292,238,36,3,1,1,0,248,1,0,1,1,0,0,3,2,3,2,0,1,833,3,0,0,836
38,38,59,393,14,0,0,1,0,134,0,0,0,0,0,0,0,0,1,1,0,0,603,0,0,0,603
39,39,111,358,28,1,2,1,1,133,0,2,0,1,1,0,1,0,0,0,0,0,640,4,0,0,644
40,40,166,180,28,1,0,2,2,131,0,0,0,1,1,0,1,0,3,2,0,0,518,1,0,0,519
41,41,341,70,54,2,0,1,0,180,1,0,1,0,0,1,0,1,5,0,1,0,658,1,0,0,659
42,42,181,128,48,2,0,4,2,212,1,0,2,0,1,1,2,1,6,1,1,1,594,1,0,0,595
43,43,326,276,45,4,2,2,0,227,0,0,0,1,0,0,0,1,0,1,0,0,885,0,0,0,885
44,44,155,293,33,0,0,0,0,133,1,1,0,0,0,0,1,1,1,1,1,0,621,3,0,0,624
45,45,99,217,26,0,0,4,0,123,0,0,0,0,1,1,0,3,1,1,0,1,477,0,0,0,477
46,46,221,306,41,0,0,0,1,246,0,0,2,4,1,3,1,4,2,0,0,0,832,1,0,0,833
47,47,371,178,29,0,1,8,1,194,1,2,2,2,0,0,1,2,2,0,0,0,794,0,0,0,794
48,48,190,227,25,1,0,1,1,154,0,0,0,1,3,0,0,1,1,1,0,0,606,2,0,0,608
49,49,188,335,29,0,0,1,0,183,1,1,0,2,2,0,0,0,2,3,0,0,747,0,0,0,747
50,50,132,280,28,0,0,2,3,153,0,0,0,1,1,0,1,2,1,0,0,0,604,0,0,0,604
51,51,306,36,28,0,0,1,0,140,0,0,1,0,0,0,0,3,0,0,0,0,515,2,0,0,517
52,52,274,165,31,0,0,0,0,123,0,0,0,0,0,0,0,1,2,1,0,1,598,0,0,0,598
53,53,242,176,29,1,0,2,0,178,0,0,0,2,1,0,1,1,4,1,0,1,639,1,0,0,640
54,54,117,233,32,1,0,2,2,220,1,0,2,4,2,0,0,1,4,0,0,1,622,2,0,0,624
55,55,89,147,11,0,0,2,0,93,0,0,0,0,0,0,0,0,1,0,1,0,344,1,0,0,345
56,56,130,303,22,0,0,2,1,167,0,0,1,8,1,1,0,1,3,1,0,0,641,2,0,0,643
57,57,150,283,27,0,0,0,0,214,0,0,0,0,2,0,0,0,2,2,0,0,680,1,0,0,681
58,58,151,375,53,0,0,1,2,157,2,0,0,1,2,1,0,0,0,0,0,0,745,0,0,0,745
59,59,218,319,21,0,0,5,0,155,1,2,0,10,2,1,1,2,0,0,0,1,738,4,0,0,742
60,60,133,299,24,1,0,0,2,162,2,1,0,6,0,1,0,0,2,1,0,0,634,0,0,0,634
61,61,231,213,17,0,0,2,1,154,1,0,0,4,0,0,0,0,0,2,0,0,625,0,0,0,625
62,62,127,295,30,1,0,1,1,163,0,0,1,26,3,3,1,0,1,0,1,0,654,1,0,0,655
63,63,54,165,17,0,1,0,0,99,2,0,0,3,0,14,0,0,1,0,0,0,356,0,0,0,356
64,64,108,265,27,0,0,0,1,137,0,0,1,4,2,2,0,1,3,0,0,1,552,1,0,0,553
65,65,186,286,34,0,0,3,0,132,0,0,0,3,0,2,0,0,2,1,0,0,649,0,0,0,649
66,66,200,339,30,0,0,3,0,210,1,1,2,0,0,0,1,2,6,1,0,1,797,1,0,0,798
67,67,88,221,10,0,0,0,0,91,1,0,0,1,0,1,1,0,1,1,0,0,416,1,0,0,417
68,68,96,241,26,0,0,1,0,110,0,0,0,8,0,0,0,1,1,0,0,0,484,0,0,0,484
69,69,84,198,13,2,0,2,0,144,0,2,1,0,2,1,2,3,1,1,0,0,456,0,0,0,456
70,70,70,216,7,0,0,1,1,79,2,0,1,0,0,0,0,2,0,0,0,0,379,2,0,0,381
71,71,250,134,30,0,1,1,0,124,0,0,1,1,1,2,0,0,1,1,0,1,548,0,0,0,548
72,72,146,278,25,0,0,0,2,138,0,0,0,0,0,0,1,0,2,1,0,0,593,0,0,0,593
73,73,225,191,44,0,1,2,0,183,0,1,0,0,1,0,0,1,4,0,0,0,653,0,0,0,653
74,74,94,238,23,1,0,2,1,160,1,0,1,6,1,2,1,1,4,4,0,1,541,1,0,0,542
75,75,100,290,29,0,1,1,1,162,0,1,0,1,0,1,0,0,0,2,1,1,591,1,0,0,592
76,76,275,7,35,0,0,1,2,328,1,0,1,0,0,1,0,1,4,0,0,0,656,2,0,0,658
77,77,357,10,36,1,1,3,0,316,0,0,1,0,1,0,0,0,0,0,0,0,726,1,0,0,727
78,78,180,5,26,0,0,1,1,297,0,2,0,0,1,0,0,0,1,0,0,0,514,1,0,0,515
79,79,293,7,45,0,1,2,0,361,0,0,0,0,1,0,0,4,4,0,0,3,721,0,0,0,721
80,80,194,403,25,0,0,2,0,220,2,0,0,4,1,0,2,2,2,4,0,1,862,1,0,0,863
81,81,195,399,50,1,0,0,2,268,3,0,0,2,0,1,0,0,3,2,0,1,927,4,0,0,931
82,82,121,253,32,0,0,1,2,263,3,0,3,4,1,0,0,3,1,0,0,0,687,0,0,0,687
83,83,98,143,25,1,0,0,2,172,0,1,0,3,0,0,1,1,0,0,0,1,448,2,0,0,450
84,84,136,137,28,0,0,2,1,158,0,0,0,1,0,1,0,1,0,0,0,0,465,2,0,0,467
85,85,88,292,33,0,1,1,0,153,0,0,0,0,3,0,0,1,0,0,0,0,572,2,0,0,574
86,86,117,157,30,0,0,1,2,221,1,0,0,1,0,0,0,1,0,0,0,0,531,2,0,0,533
87,87,304,7,35,0,0,3,2,408,2,0,0,1,0,0,0,0,0,0,1,0,763,1,0,0,764
88,88,91,4,19,0,0,1,0,59,0,0,0,0,1,0,0,0,0,0,0,0,175,0,0,0,175
89,89,456,7,44,0,0,1,0,319,0,1,0,1,1,1,0,0,1,0,0,0,832,1,0,0,833
90,90,448,6,36,1,0,0,0,282,1,0,0,0,1,0,0,0,0,0,0,0,775,0,0,0,775
91,91,350,126,20,1,0,1,0,201,0,2,0,0,0,0,0,0,1,0,0,0,702,3,0,0,705
92,92,184,127,17,0,1,1,1,188,0,0,0,0,2,0,0,0,2,0,0,0,523,0,0,0,523
93,93,139,87,15,1,0,0,2,115,0,0,0,0,0,0,0,1,0,0,1,0,361,1,0,0,362
94,94,143,92,20,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,436,1,0,0,437
95,95,185,161,22,0,1,1,0,122,1,0,0,1,1,1,1,3,2,0,0,0,502,1,0,0,503
96,96,295,193,47,1,1,0,1,359,1,1,3,0,2,1,0,0,2,0,0,0,907,1,0,0,908
97,97,281,118,36,2,0,2,0,236,1,0,0,1,0,0,0,0,4,2,0,1,684,1,0,0,685
98,98,214,155,25,0,0,0,0,161,1,1,0,0,0,0,0,0,0,0,0,0,557,1,0,0,558
99,99,173,82,10,0,0,0,0,106,0,0,0,0,2,0,0,1,0,0,0,0,374,0,0,0,374
100,100,345,58,26,0,0,0,0,92,1,0,1,0,0,0,1,3,0,0,1,0,528,3,0,0,531
101,101,264,122,29,0,0,0,0,217,0,1,1,0,0,0,1,0,1,1,0,0,637,3,0,0,640
102,102,204,148,23,1,0,1,2,163,0,0,0,0,1,0,0,2,0,0,1,0,546,2,0,0,548
103,103,248,212,35,2,0,1,2,371,1,1,1,1,1,0,0,0,1,0,1,0,878,4,0,0,882
104,104,245,228,22,1,0,2,2,321,3,2,0,1,1,1,0,1,4,2,1,1,838,3,0,0,841
105,105,218,161,21,1,0,1,2,207,1,0,0,1,0,0,1,0,1,1,0,0,616,0,0,0,616
106,106,320,143,23,2,0,2,2,300,0,1,1,1,2,1,0,0,3,1,1,1,804,0,0,0,804
107,107,288,188,37,1,0,4,0,287,0,0,1,0,3,0,2,0,2,0,1,0,814,1,0,0,815
108,108,241,156,35,0,0,0,3,215,0,0,0,0,0,1,0,1,1,0,0,0,653,3,0,0,656
109,109,166,187,40,0,1,2,0,340,0,1,2,0,1,1,1,1,2,0,1,0,746,0,0,0,746
110,110,244,237,33,0,0,0,1,328,1,1,0,0,0,1,0,1,1,4,0,0,852,1,0,0,853
111,111,167,141,26,0,0,2,0,306,1,1,1,3,0,0,0,1,1,1,0,0,651,3,0,0,654
112,112,249,169,59,1,2,6,4,326,2,1,2,1,3,0,0,4,1,0,1,0,831,4,0,0,835
113,113,174,196,27,1,0,0,1,294,0,0,0,0,4,1,0,1,3,2,2,0,706,0,0,0,706
114,114,105,204,36,0,0,1,2,158,0,0,0,0,1,0,1,0,1,1,0,0,510,1,0,0,511
115,115,226,226,20,0,0,0,5,252,2,2,0,1,0,0,0,1,0,0,0,0,735,2,0,0,737
116,116,253,268,26,0,0,0,1,295,2,0,1,0,2,0,0,1,1,2,0,0,852,2,0,0,854
117,117,134,209,27,0,1,3,1,197,0,2,1,0,0,0,0,0,1,0,0,0,576,4,0,0,580
118,118,182,195,27,1,0,0,1,203,0,1,1,0,2,0,0,0,2,0,0,0,615,2,0,0,617
119,119,106,217,20,1,1,1,2,180,0,0,0,1,0,0,0,0,0,0,0,1,530,0,0,0,530
120,120,104,200,12,0,0,0,0,140,0,1,1,0,2,0,0,3,4,0,0,1,468,3,0,0,471
121,121,326,66,15,1,0,1,1,178,0,1,0,0,0,0,0,0,0,0,0,0,589,1,0,0,590
122,122,191,335,26,0,0,1,1,228,1,0,0,1,1,0,2,1,1,2,0,0,791,3,0,0,794
123,123,227,132,22,0,0,0,0,160,2,0,0,0,3,0,0,2,2,0,0,1,551,2,0,0,553
124,124,48,137,10,1,0,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,295,4,0,0,299
125,125,288,144,20,0,0,3,0,215,0,0,0,0,1,1,0,2,1,0,0,0,675,1,0,0,676
126,126,136,286,25,0,0,1,0,300,0,1,0,1,0,0,1,1,1,1,0,0,754,2,0,0,756
127,127,286,120,24,0,0,0,0,153,0,2,0,0,1,1,0,0,0,1,0,0,588,0,0,0,588
128,128,448,65,25,0,0,2,1,229,0,0,0,0,0,1,1,5,1,0,0,0,778,6,0,0,784
129,129,221,140,42,1,1,0,0,282,1,0,0,1,2,0,0,0,0,0,0,0,691,1,0,0,692
130,130,203,77,20,0,0,1,4,185,0,0,1,0,1,0,0,1,3,1,1,0,498,0,0,0,498
131,131,206,275,24,2,0,0,2,337,0,0,2,2,0,0,0,1,3,0,0,0,854,2,0,0,856
132,132,113,234,16,0,0,0,0,163,0,0,0,0,2,1,0,2,0,0,0,0,531,2,0,0,533
133,133,144,231,20,2,3,3,2,343,0,0,0,0,2,0,0,1,2,0,0,0,753,2,0,0,755
134,134,119,172,23,0,0,1,2,157,0,0,0,0,0,0,0,2,0,0,0,0,476,2,0,0,478
135,135,133,245,26,0,0,1,1,214,0,3,0,1,0,0,0,1,0,0,0,0,625,2,0,0,627
136,136,196,277,40,0,1,2,2,343,0,0,0,0,2,0,0,2,5,5,0,1,876,6,0,0,882
137,137,244,130,25,0,0,0,1,262,0,1,0,1,2,0,0,1,2,0,0,0,669,0,0,0,669
138,138,146,310,27,0,0,3,3,313,0,3,1,0,1,1,0,1,2,1,0,0,812,5,0,0,817
139,139,140,112,28,1,0,0,0,254,0,1,0,1,0,1,1,4,0,0,0,0,543,0,0,0,543
140,140,80,226,33,0,0,0,1,284,1,1,0,0,1,1,0,0,0,1,0,0,629,1,0,0,630
141,141,76,183,12,0,1,0,0,115,2,0,0,0,0,0,0,2,0,0,0,0,391,2,0,0,393
142,142,118,197,11,0,1,0,3,171,0,1,0,0,1,2,0,0,1,0,1,1,508,0,0,0,508
143,143,82,131,14,0,0,1,0,207,0,1,1,0,0,0,0,0,1,0,0,0,438,3,0,0,441
144,144,183,203,15,0,0,0,1,258,1,1,0,1,0,1,0,1,2,0,1,0,668,1,0,0,669
145,145,169,241,25,0,0,0,3,210,1,1,0,0,0,0,0,0,1,0,0,0,651,1,0,0,652
146,146,139,324,32,0,0,1,0,260,1,0,1,0,1,0,1,0,0,1,0,0,761,1,0,0,762
147,147,385,48,33,1,0,2,3,149,0,0,0,0,0,0,0,0,0,0,0,0,621,2,0,0,623
148,148,249,26,29,0,0,0,1,204,0,0,1,0,2,0,0,0,2,0,0,0,514,4,0,0,518
149,149,337,29,29,1,0,0,2,140,0,0,0,0,1,0,0,0,3,0,0,1,543,4,0,0,547
150,150,285,56,23,0,0,0,0,130,0,0,0,0,0,0,0,1,0,0,0,0,495,1,0,0,496
151,151,233,156,39,1,2,3,0,293,1,0,0,2,0,1,0,2,1,0,0,0,734,4,0,0,738
152,152,245,138,23,0,0,5,4,226,0,0,0,0,0,1,2,0,4,2,0,3,653,1,0,0,654
153,153,164,225,26,1,0,6,0,213,2,1,0,1,0,1,0,0,2,1,0,0,643,0,0,0,643
154,154,402,24,42,0,0,2,0,214,0,1,0,1,0,0,0,1,0,0,0,0,687,2,0,0,689
155,155,407,70,20,0,0,2,0,121,0,0,0,1,0,0,2,0,0,0,0,0,623,3,0,0,626
156,156,315,135,22,0,2,0,2,166,1,0,1,2,1,1,0,1,3,0,0,0,652,4,0,0,656
157,157,322,108,23,0,1,1,0,178,0,0,0,0,0,0,0,0,0,0,0,0,633,3,0,0,636
158,158,394,99,18,0,0,1,1,181,0,0,0,0,0,0,0,1,0,1,0,0,696,0,0,0,696
159,159,304,89,20,0,1,0,0,287,0,0,0,0,0,1,0,2,2,1,1,0,708,1,0,0,709
160,160,253,30,27,0,0,2,0,178,0,0,0,0,0,1,0,1,1,0,0,0,493,1,0,0,494
161,161,244,65,25,0,1,0,0,249,2,0,0,0,2,0,0,2,0,0,0,0,590,2,0,0,592
162,162,321,81,28,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,536,1,0,0,537
163,163,342,29,30,0,0,1,0,217,0,0,0,1,0,1,1,1,1,0,0,0,624,0,0,0,624
164,164,376,10,19,0,1,2,0,110,1,0,0,0,0,0,0,0,2,0,0,0,521,2,0,0,523
165,165,388,87,21,0,0,2,0,162,0,0,1,1,1,0,0,0,3,1,0,0,667,4,0,0,671
166,166,186,73,19,1,0,0,0,143,0,0,1,0,1,1,0,1,0,1,1,0,428,0,0,0,428
167,167,169,87,21,0,0,2,1,192,1,0,0,0,2,0,0,0,2,0,0,0,477,0,0,0,477
168,168,396,22,19,2,0,1,0,107,0,0,0,1,0,0,1,0,2,0,0,0,551,2,0,0,553
169,169,439,65,29,0,0,5,1,241,0,0,0,2,0,0,0,2,0,0,0,0,784,2,0,0,786
170,170,135,218,16,1,0,0,0,151,0,0,0,0,1,0,0,0,2,0,0,0,524,1,0,0,525
171,171,164,228,25,0,0,1,3,246,0,0,0,1,0,0,0,0,1,0,0,0,669,1,0,0,670
172,172,415,46,20,0,1,1,0,167,0,0,1,0,0,0,0,0,1,2,0,2,656,4,0,0,660
173,173,378,29,16,1,0,1,0,77,0,0,0,0,0,0,0,0,1,0,0,0,503,2,0,0,505
174,174,172,269,25,0,0,2,7,286,0,0,1,0,0,0,0,0,3,0,0,0,765,3,0,0,768
175,175,271,168,35,0,0,1,0,260,1,0,0,1,0,0,0,1,1,0,0,0,739,0,0,0,739
176,176,99,155,13,0,0,0,1,178,0,0,0,1,0,0,1,0,0,0,0,0,448,1,0,0,449
177,177,81,168,7,1,1,1,2,161,1,0,0,0,0,0,0,0,0,1,0,0,424,1,0,0,425
178,178,118,214,29,0,0,0,1,197,0,0,0,1,1,0,0,0,1,0,0,0,562,0,0,0,562
179,179,104,211,11,1,0,0,0,121,0,1,0,0,0,0,0,0,0,0,0,0,449,1,0,0,450
180,180,104,183,19,0,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,0,430,2,0,0,432
181,181,110,239,19,0,0,0,3,236,1,0,1,0,1,1,1,4,0,0,0,0,616,2,0,0,618
182,182,179,232,28,0,0,0,2,272,0,2,0,1,0,0,0,2,1,0,0,0,719,1,0,0,720
183,183,146,246,18,0,0,0,0,274,1,0,0,1,1,0,0,1,1,0,0,0,689,2,0,0,691
184,184,110,289,22,1,1,0,4,295,0,0,1,0,0,0,0,1,1,0,0,0,725,2,0,0,727
185,185,219,190,13,0,1,2,1,233,1,0,1,1,0,0,0,0,0,0,0,0,662,0,0,0,662
186,186,186,269,30,0,0,1,1,286,0,4,0,1,2,0,0,0,0,0,0,0,780,2,0,0,782
187,187,85,207,14,0,0,1,0,158,1,0,1,1,0,0,0,0,0,0,0,0,468,0,0,0,468
188,188,68,161,7,2,0,0,0,95,0,0,0,0,0,0,1,1,0,0,0,0,335,1,0,0,336
189,189,106,120,17,1,0,0,0,124,0,2,0,0,1,0,0,0,0,0,0,0,371,0,0,0,371
190,190,60,181,16,0,0,0,1,134,0,0,1,0,2,0,0,0,0,0,0,0,395,3,0,0,398
191,191,80,154,20,0,0,0,0,156,1,0,1,0,1,0,0,0,0,0,1,0,414,1,0,0,415
192,192,87,125,7,0,1,1,0,106,0,0,0,0,1,0,0,0,1,0,0,0,329,1,0,0,330
193,193,278,106,37,1,0,0,1,214,0,0,0,1,0,0,0,0,1,0,0,0,639,1,0,0,640
194,194,185,155,29,0,0,0,0,164,0,0,0,0,1,0,0,0,0,0,1,0,535,2,0,0,537
195,195,316,148,20,0,0,2,0,186,0,0,0,0,0,1,0,0,0,0,1,0,674,2,0,0,676
196,196,146,192,22,0,0,2,1,143,0,0,0,0,0,0,0,0,0,0,0,0,506,1,0,0,507
197,197,250,248,22,1,0,0,1,286,0,0,0,1,0,1,1,0,4,1,0,0,816,0,0,0,816
198,198,172,125,8,0,0,0,0,64,0,0,1,0,0,0,0,0,0,0,1,0,371,1,0,0,372
199,199,106,156,14,0,0,0,1,99,1,0,0,1,2,0,0,0,1,0,0,0,381,1,0,0,382
200,200,167,74,24,0,0,0,0,95,1,0,0,3,0,1,0,0,0,0,0,0,365,1,0,0,366
201,201,351,69,54,1,0,1,0,290,0,1,1,1,0,0,0,1,0,1,1,0,772,2,0,0,774
202,202,163,54,15,0,0,0,0,167,0,0,0,1,0,0,0,0,0,0,0,1,401,0,0,0,401
203,203,165,39,18,0,0,2,1,153,0,0,0,0,1,1,1,0,0,0,0,0,381,0,0,0,381
204,204,243,35,41,1,0,2,2,232,2,0,0,0,2,0,0,0,0,1,0,1,562,1,0,0,563
205,205,183,37,12,1,0,1,1,155,0,1,0,0,1,0,0,1,0,0,0,0,393,1,0,0,394
206,206,277,33,31,0,0,1,1,255,0,0,0,0,0,0,0,0,0,1,0,0,599,0,0,0,599
207,207,282,33,48,0,0,2,2,288,1,0,0,1,2,0,0,0,1,0,0,0,660,1,0,0,661
208,208,385,86,35,1,2,2,1,200,1,0,0,1,0,0,0,1,0,0,0,0,715,6,0,0,721
209,209,404,53,43,0,1,0,0,151,2,0,0,2,1,0,0,2,1,0,0,0,660,5,0,0,665
210,210,297,89,26,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,536
211,211,314,91,28,0,1,2,0,171,1,0,0,0,0,1,0,0,0,1,0,0,610,2,0,0,612
212,212,293,59,21,0,0,3,0,163,1,1,0,0,0,0,0,0,1,1,0,0,543,0,0,0,543
213,213,296,69,14,0,0,2,0,104,0,0,1,0,0,1,0,0,0,0,0,0,487,0,0,0,487
214,214,398,61,37,0,1,1,2,289,0,0,0,0,1,1,0,0,0,0,0,0,791,4,0,0,795
215,215,184,47,23,0,0,1,1,177,1,0,0,0,0,0,0,0,1,0,0,0,435,1,0,0,436
216,216,195,62,29,0,0,2,0,135,0,1,1,2,1,0,0,1,1,0,0,0,430,1,0,0,431
217,217,483,39,49,0,0,0,1,231,0,0,1,0,0,0,0,2,2,0,0,1,809,3,0,0,812
218,218,273,185,31,0,0,2,0,196,0,0,2,0,0,1,0,0,1,1,0,0,692,0,0,0,692
219,219,142,320,25,0,0,1,0,220,1,0,0,1,0,0,0,1,1,0,0,0,712,2,0,0,714
220,220,226,86,16,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,444,1,0,0,445
221,221,184,108,21,0,0,0,0,103,0,1,0,0,0,0,0,1,1,1,0,1,421,0,0,0,421
222,222,233,49,33,0,0,0,0,134,1,0,0,0,0,0,0,0,1,0,0,0,451,2,0,0,453
223,223,258,66,28,0,0,0,0,111,0,0,1,0,0,0,0,1,1,0,0,0,466,1,0,0,467
224,224,440,52,61,1,1,0,0,269,1,0,0,1,0,1,0,0,1,0,0,0,828,2,0,0,830
225,225,118,8,13,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,200,1,0,0,201
226,226,359,40,40,1,1,5,2,302,0,0,0,2,1,0,0,2,0,1,0,0,756,1,0,0,757
227,227,165,152,29,0,0,0,1,170,1,0,0,4,0,0,0,0,0,0,0,0,522,0,0,0,522
228,228,226,267,34,1,0,1,0,237,0,0,0,10,0,0,2,0,0,1,0,0,779,3,0,0,782
229,229,371,19,38,1,0,0,1,184,0,2,0,0,1,0,0,0,0,0,0,0,617,1,0,0,618
230,230,235,54,25,0,0,0,0,164,0,0,0,0,1,0,0,0,0,0,0,0,479,1,0,0,480
231,231,181,26,17,0,1,0,0,105,0,0,0,1,0,0,0,0,0,0,0,0,331,2,0,0,333
232,232,257,84,20,0,0,1,0,162,1,0,0,0,0,0,0,1,1,0,0,0,527,2,0,0,529
233,233,238,141,25,1,0,0,1,179,0,1,0,0,1,0,0,0,1,0,0,0,588,1,0,0,589
234,234,135,94,5,0,0,0,1,71,0,0,0,3,0,1,0,0,1,0,0,0,311,1,0,0,312
235,235,271,230,31,0,0,1,0,194,0,1,1,2,0,0,1,1,0,0,0,0,733,4,0,0,737
236,236,146,96,19,1,0,0,0,188,0,0,0,1,0,0,2,0,1,1,0,0,455,0,0,0,455
237,237,113,77,15,0,0,0,2,153,0,0,0,0,0,0,1,0,0,0,0,0,361,0,0,0,361
238,238,180,114,28,0,0,0,0,281,0,0,0,1,0,0,0,1,0,0,0,0,605,1,0,0,606
239,239,100,136,14,0,0,0,0,141,1,0,0,0,0,0,0,0,0,0,0,1,393,0,0,0,393
240,240,165,296,29,0,0,2,1,336,0,0,1,0,1,0,0,1,3,0,0,1,836,3,0,0,839
241,241,155,263,26,0,0,0,2,300,1,0,0,1,1,0,0,1,2,0,0,1,753,0,0,0,753
242,242,138,237,30,0,0,0,0,300,0,0,0,0,2,1,1,2,0,0,1,1,713,0,0,0,713
243,243,169,183,30,0,0,0,0,249,0,0,0,3,1,0,1,0,1,1,0,0,638,1,0,0,639
244,244,153,151,23,0,0,1,2,186,0,0,0,1,3,1,0,2,0,2,0,0,525,0,0,0,525
245,245,115,106,9,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,355
246,246,231,204,27,0,0,0,1,273,1,0,1,0,0,0,0,0,4,1,1,0,744,3,0,0,747
247,247,88,165,17,0,0,1,0,200,0,1,0,0,2,1,0,1,0,0,0,0,476,3,0,0,479
248,248,88,201,20,0,1,0,1,169,0,0,0,0,0,0,0,0,0,1,0,0,481,0,0,0,481
