Polling Station No,Candidate_1,M .IHTAMOG,V .AYIHTAS,S .AYVIHD .RD,K.C .AJAR,M .AYHTAS,V .NANAVARAS,S .NAIDNAPARDNUOS,B .YMASLAB,M.URUGAJAR,P .IHDNAGARDNI,P .NASENAG,A .LEVIHTKAS,M .RAMUKISAS,M.P .LIHTNES,M .IARUDALLEHC,S .RAMUKAVLES,A.RAMUK HSENID,N .RAMUK HSENID,M .HTNEEVAN,M .NARAWSEMARAP,D .HTNASARP,P .YBAB,S.B .NAVLESROP,A .INUMAHAM,R .LEVAKCINAM,S .NAGURUM,K.P .MAHDNANAGURUM,S .JARLAMIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
16,16,2,13,312,198,151,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,685,0,1,686,0
17,17,1,26,265,182,139,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,622,0,0,622,0
18,18,0,49,192,248,109,1,0,0,1,0,1,1,0,2,0,0,0,0,0,3,2,0,0,1,0,0,1,0,611,0,2,613,0
19,19,0,37,263,332,341,1,0,2,0,0,0,0,2,1,0,1,2,0,1,0,2,1,0,0,0,0,1,0,987,0,7,994,0
20,20,0,25,293,161,139,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,621,0
21,21,0,11,186,205,127,0,0,0,0,0,3,1,4,1,0,0,0,0,1,2,1,0,1,0,0,2,1,0,546,0,3,549,0
22,22,0,57,351,203,406,0,0,2,0,0,2,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1029,0,1,1030,0
23,23,3,14,309,142,125,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,598,0,0,598,0
24,24,0,13,235,159,143,0,1,2,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,1,2,1,1,0,565,0,2,567,0
25,25,2,24,218,199,218,0,0,0,0,0,1,0,0,1,1,1,2,1,0,4,2,0,0,0,0,0,1,1,676,0,2,678,0
26,26,0,7,256,195,168,0,0,0,0,0,1,1,2,0,1,1,1,0,2,1,2,0,0,0,1,0,0,1,640,0,2,642,0
27,27,1,22,210,197,222,2,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,662,0,1,663,0
28,28,0,8,290,230,231,0,0,0,0,0,0,3,0,2,0,0,0,1,1,2,2,0,1,0,3,0,0,0,774,0,3,777,0
29,29,3,16,170,108,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,424,0,1,425,0
30,30,0,32,126,244,179,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,588,0,4,592,0
31,31,2,19,259,187,196,0,1,1,2,0,0,1,0,1,2,0,1,0,0,4,2,0,1,0,2,1,0,0,682,0,3,685,0
32,32,0,23,120,252,177,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,582,0,1,583,0
33,33,0,11,144,120,153,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,439,0,1,440,0
34,34,2,28,343,232,391,3,0,0,1,0,1,2,1,2,0,0,0,0,2,0,0,0,0,0,4,0,0,2,1014,0,2,1016,0
35,35,3,42,280,209,391,0,0,0,0,0,0,1,1,3,0,2,1,0,1,3,4,0,0,0,0,3,0,0,944,0,3,947,0
36,36,0,15,147,151,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,468,0,2,470,0
37,37,1,18,219,225,259,0,0,0,0,1,0,0,1,3,2,2,1,1,1,2,1,0,0,2,2,0,0,0,741,0,4,745,0
38,38,0,6,191,105,80,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,388,0,0,388,0
39,39,1,43,320,176,326,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,4,0,0,0,0,0,2,2,880,0,2,882,0
40,40,1,15,239,204,215,0,1,2,0,1,0,1,3,0,1,0,0,0,1,1,2,0,0,0,1,0,1,2,691,0,5,696,0
41,41,0,23,240,123,224,1,1,0,1,0,1,3,0,2,1,1,0,0,0,3,1,1,0,1,2,2,0,1,632,0,2,634,0
42,42,0,17,207,153,173,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,558,0,1,559,0
43,43,2,31,294,224,405,1,0,2,1,2,2,5,2,3,2,5,0,0,0,0,1,0,0,0,0,0,2,0,984,0,1,985,0
44,44,1,16,208,163,244,0,2,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,644,0,3,647,0
45,45,5,24,257,324,253,3,0,7,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,886,0,5,891,0
46,46,0,27,256,244,245,0,2,0,1,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,1,0,0,2,785,0,3,788,0
47,47,0,31,262,196,174,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,669,0,1,670,0
48,48,2,24,315,136,235,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,0,720,0,1,721,0
49,49,2,12,413,190,212,0,1,1,0,0,0,1,2,2,1,1,2,0,1,0,0,1,0,1,1,1,1,0,846,0,3,849,0
50,50,2,11,254,125,166,0,1,1,0,0,0,1,5,0,0,1,0,0,2,0,2,0,0,0,1,1,1,1,575,0,2,577,0
51,51,2,14,139,164,215,1,0,0,0,0,0,6,0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,0,548,0,1,549,0
52,52,1,6,447,188,232,0,1,1,0,0,0,0,4,2,1,0,1,0,0,2,1,1,0,1,4,2,1,2,898,0,3,901,0
53,53,3,17,438,184,218,2,0,2,0,1,0,0,1,0,1,1,1,0,3,2,1,0,0,0,0,0,0,0,875,0,2,877,0
54,54,2,21,356,209,251,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,844,0,6,850,0
55,55,7,28,391,352,234,1,0,0,0,1,3,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1024,0,3,1027,0
56,56,0,24,179,247,280,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,1,737,0
57,57,2,25,298,202,201,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,736,0,4,740,0
58,58,1,7,238,185,153,0,0,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,592,0,1,593,0
59,59,0,5,167,186,226,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,2,0,0,2,1,1,0,1,599,0,1,600,0
60,60,1,8,296,240,277,0,0,2,1,0,0,2,0,2,0,1,1,1,0,1,0,0,0,0,1,0,0,0,834,0,2,836,0
61,61,0,18,151,215,178,2,0,2,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,3,0,0,1,575,0,1,576,0
62,62,0,19,269,342,346,1,0,1,1,0,1,0,0,1,0,1,3,2,0,2,1,2,0,1,6,0,0,0,999,0,7,1006,0
63,63,1,16,167,181,289,1,0,0,0,2,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,662,0,3,665,0
64,64,2,16,186,161,354,1,0,2,0,0,1,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,731,0,4,735,0
65,65,1,16,286,222,222,0,0,1,0,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,2,0,1,762,0,5,767,0
66,66,2,21,170,224,229,1,1,0,0,0,2,2,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,660,0,2,662,0
67,67,0,30,206,127,186,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,560,0,3,563,0
68,68,1,26,470,224,298,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3,0,1033,0,4,1037,0
69,69,1,15,453,218,294,0,0,1,1,1,0,1,0,3,0,3,0,0,3,1,0,1,0,1,0,0,1,0,998,0,1,999,0
70,70,1,19,161,333,254,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,772,0,1,773,0
71,71,0,18,162,209,387,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,785,0,3,788,0
72,72,1,29,100,323,405,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,867,0,4,871,0
73,73,0,40,347,222,319,0,1,0,0,0,0,1,1,0,1,0,3,1,1,1,0,0,0,0,0,1,0,1,940,0,4,944,0
74,74,0,18,155,285,350,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,816,0,8,824,0
75,75,2,26,160,275,365,1,1,3,4,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,841,0,6,847,0
76,76,1,30,223,243,309,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,815,0,6,821,0
77,77,0,21,175,255,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,668,0,4,672,0
78,78,2,24,82,169,187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,3,468,0
79,79,0,19,91,192,244,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,550,0,5,555,0
80,80,1,17,76,169,253,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,521,0,1,522,0
81,81,0,18,84,149,249,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,504,0,3,507,0
82,82,1,32,127,204,289,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,657,0,6,663,0
83,83,0,19,90,199,244,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,2,556,0
84,84,0,24,87,199,274,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,593,0,4,597,0
85,85,0,24,79,130,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,4,480,0
86,86,1,23,143,159,229,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,561,0,5,566,0
87,87,2,31,139,172,275,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,624,0
88,88,1,16,118,180,215,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,535,0,6,541,0
89,89,2,19,158,172,304,1,0,1,1,0,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,665,0,2,667,0
90,90,0,24,170,116,235,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,549,0,3,552,0
91,91,1,13,138,136,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,554,0,1,555,0
92,92,0,14,135,146,183,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,485,0,2,487,0
93,93,1,18,140,178,230,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,571,0,0,571,0
94,94,1,29,258,136,94,0,0,1,0,0,1,2,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,530,0,3,533,0
95,95,2,8,96,134,175,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,421,0,3,424,0
96,96,1,13,125,231,181,0,0,0,7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,563,0,1,564,0
97,97,1,20,412,276,315,0,0,1,0,0,0,2,0,1,2,2,0,0,2,2,0,0,0,0,2,0,0,1,1039,0,3,1042,0
98,98,1,19,298,406,269,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1003,0,2,1005,0
99,99,0,12,109,127,212,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,464,0,2,466,0
100,100,0,20,278,149,169,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,620,0,2,622,0
101,101,1,14,158,142,138,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,456,0,0,456,0
102,102,2,22,139,191,295,0,0,0,0,0,0,1,0,1,1,1,0,0,2,4,0,0,0,0,1,1,0,0,661,0,1,662,0
103,103,0,20,158,200,309,1,1,1,0,2,0,0,1,0,0,1,0,0,0,3,2,0,0,0,2,2,0,0,703,0,1,704,0
104,104,0,21,165,222,246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,657,0,3,660,0
105,105,1,30,197,259,271,0,0,0,1,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,767,0,1,768,0
106,106,1,25,241,147,235,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,1,658,0,1,659,0
107,107,3,32,191,281,312,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,1,828,0,2,830,0
108,108,1,58,236,187,194,1,2,1,0,0,1,1,2,3,1,1,0,0,2,2,1,0,0,1,2,0,0,0,697,0,1,698,0
109,109,0,20,251,117,92,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,1,491,0,1,492,0
110,110,1,26,368,310,357,2,1,1,0,0,0,1,7,3,2,0,1,1,1,2,1,0,1,1,1,0,1,0,1089,0,3,1092,0
111,111,3,24,324,187,299,0,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,848,0,2,850,0
112,112,1,16,280,167,257,0,0,3,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,2,0,0,734,0,0,734,0
113,113,0,12,235,177,188,1,0,0,0,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,621,0,0,621,0
114,114,1,18,183,167,206,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,583,0,1,584,0
115,115,3,17,172,123,187,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,508,0,2,510,0
116,116,1,32,222,318,306,0,4,0,0,1,0,2,2,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,895,0,1,896,0
117,117,2,8,140,310,202,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,2,2,0,0,674,0,0,674,0
118,118,4,21,209,263,313,2,0,2,2,1,1,0,1,2,1,1,0,0,0,1,1,0,0,0,1,0,0,2,828,0,6,834,0
119,119,2,20,329,229,296,5,1,1,0,0,2,0,0,0,4,0,0,2,3,2,2,0,0,0,2,2,1,0,903,0,2,905,0
120,120,1,35,146,343,372,1,1,0,0,0,1,1,3,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,910,0,0,910,0
121,121,0,24,112,268,248,1,2,1,1,1,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,667,0,1,668,0
122,122,3,21,267,216,293,1,1,0,0,0,0,2,2,2,1,1,0,0,1,2,2,1,0,0,2,2,3,1,824,0,2,826,0
123,123,1,28,195,159,200,2,2,3,0,0,0,1,1,0,2,1,0,1,1,0,1,0,1,1,1,1,1,0,603,0,0,603,0
124,124,0,20,116,194,333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,668,0,1,669,0
125,125,3,20,129,232,295,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,0,0,0,1,0,0,0,0,689,0,1,690,0
126,126,0,21,129,252,262,0,0,1,0,1,0,2,0,0,1,1,0,0,2,0,0,1,0,0,2,1,2,0,678,0,1,679,0
127,127,0,13,88,157,205,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,1,1,0,1,475,0,1,476,0
128,128,0,14,201,144,200,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,568,0,0,568,0
129,129,0,21,213,217,343,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,799,0,2,801,0
130,130,1,43,256,239,367,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,916,0,1,917,0
131,131,2,42,181,225,211,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,667,0,2,669,0
132,132,1,24,247,140,189,1,2,0,0,2,1,1,1,1,1,1,1,0,2,5,3,1,0,1,1,3,0,1,630,0,2,632,0
133,133,0,11,164,131,130,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,443,0,2,445,0
134,134,3,21,230,126,387,1,0,2,0,0,1,0,0,3,4,0,0,2,1,1,0,3,1,0,2,1,2,4,795,0,4,799,0
135,135,0,21,137,230,211,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,606,0,3,609,0
136,136,1,18,152,224,195,1,0,2,0,0,0,1,0,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,601,0,1,602,0
137,137,4,29,239,301,272,0,0,3,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,855,0,5,860,0
138,138,0,32,218,261,301,0,1,2,0,1,0,2,4,0,2,0,0,0,3,2,0,0,0,1,1,0,0,0,831,0,3,834,0
139,139,0,29,142,182,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,552,0,0,552,0
140,140,1,26,172,220,198,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,622,0,0,622,0
141,141,0,15,154,151,208,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,2,0,0,0,538,0,1,539,0
142,142,0,25,152,192,160,0,0,1,0,1,0,2,0,1,0,0,0,1,1,1,2,0,0,1,1,0,0,0,541,0,0,541,0
143,143,1,14,278,151,193,0,0,0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,644,0,0,644,0
144,144,2,16,412,285,298,1,0,1,0,0,1,0,1,2,3,3,0,2,3,3,5,1,0,1,5,1,1,1,1048,0,0,1048,0
145,145,1,11,142,179,122,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,462,0,0,462,0
146,146,1,9,238,293,133,1,1,2,0,1,0,2,2,3,2,0,0,0,0,6,1,1,0,0,0,0,0,2,698,0,1,699,0
147,147,3,23,249,205,230,0,0,0,0,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,720,0,1,721,0
148,148,1,28,241,255,335,0,0,0,0,0,2,3,1,0,2,0,0,0,1,2,1,0,0,0,4,0,0,1,877,0,1,878,0
149,149,2,14,237,193,276,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,728,0,5,733,0
150,150,0,36,349,257,383,0,0,0,0,0,2,2,2,0,2,3,1,1,2,2,0,1,0,0,0,0,2,0,1045,0,4,1049,0
151,151,1,23,220,123,158,0,0,0,0,0,0,1,2,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,534,0,0,534,0
152,152,2,59,277,209,138,3,0,1,0,0,1,1,1,0,1,1,1,0,3,3,1,0,0,0,4,1,1,1,709,0,1,710,0
153,153,2,59,232,270,156,0,0,0,0,0,0,1,1,1,2,3,0,0,1,2,2,0,1,0,1,1,0,0,735,0,0,735,0
154,154,2,17,160,188,181,0,0,0,0,0,0,1,3,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,559,0,1,560,0
155,155,1,13,224,143,250,0,0,0,0,0,0,0,2,1,1,0,0,0,2,3,4,0,0,0,2,1,0,1,648,0,1,649,0
156,156,0,21,198,216,321,1,0,1,0,1,1,1,1,0,0,1,1,0,3,4,1,1,0,0,1,0,0,0,774,0,1,775,0
157,157,1,26,215,248,201,2,1,1,0,0,0,1,2,0,0,1,1,0,1,3,1,0,0,0,0,2,0,2,709,0,1,710,0
158,158,2,33,181,228,322,2,0,0,2,0,0,3,3,3,1,1,0,1,5,2,3,1,0,0,0,0,1,1,795,0,2,797,0
159,159,1,7,330,175,144,1,0,1,0,0,2,1,4,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,672,0,4,676,0
160,160,0,10,285,113,159,1,1,0,0,0,0,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,576,0,0,576,0
161,161,0,10,191,148,145,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,503,0,0,503,0
162,162,1,6,58,192,114,0,0,2,0,0,0,1,0,0,1,1,0,0,3,5,0,1,0,0,1,3,0,1,390,0,0,390,0
163,163,1,13,115,255,275,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,669,0,0,669,0
164,164,0,15,92,173,184,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,469,0,0,469,0
165,165,0,29,155,128,249,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,567,0,4,571,0
166,166,1,14,280,167,249,0,0,0,2,0,0,0,0,1,2,2,2,0,1,1,1,0,1,0,1,0,0,3,728,0,3,731,0
167,167,3,28,121,92,194,1,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,448,0,1,449,0
168,168,1,35,243,275,282,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,1,848,0,5,853,0
169,169,2,17,208,223,324,2,1,4,0,0,1,2,0,0,2,2,1,1,0,0,1,0,0,0,1,1,1,0,794,0,0,794,0
170,170,0,23,126,135,110,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,399,0,1,400,0
171,171,3,35,314,229,277,1,0,1,0,1,2,2,4,0,3,1,1,3,2,2,3,0,2,3,0,1,0,0,890,0,1,891,0
172,172,1,45,416,250,276,1,4,1,1,2,0,2,3,0,1,4,1,1,4,1,1,1,0,0,1,5,1,1,1024,0,4,1028,0
173,173,1,32,324,280,326,1,0,3,0,0,1,2,1,2,1,0,4,1,1,1,0,0,3,2,2,3,0,1,992,0,3,995,0
174,174,0,19,198,145,149,0,0,0,1,0,1,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,1,0,526,0,0,526,0
175,175,0,27,321,250,274,2,2,1,1,0,1,5,2,5,3,6,0,0,3,1,2,1,0,2,5,0,1,1,916,0,6,922,0
176,176,0,16,194,182,190,0,0,1,0,0,1,1,1,1,1,2,1,0,3,0,0,0,0,1,2,0,0,0,597,0,1,598,0
177,177,2,19,254,215,273,1,0,4,0,0,2,1,1,0,0,0,0,1,0,5,2,0,1,0,2,0,0,1,784,0,2,786,0
178,178,1,22,274,189,194,1,0,1,0,1,0,1,1,0,0,0,1,0,3,1,1,1,0,2,0,1,2,1,698,0,3,701,0
179,179,0,14,153,191,200,0,0,2,0,0,1,1,5,0,1,2,1,0,0,3,2,0,0,0,0,1,0,0,577,0,1,578,0
180,180,0,20,214,187,274,0,4,0,1,0,0,1,0,0,0,3,0,0,1,5,2,1,1,0,5,0,0,0,719,0,3,722,0
181,181,2,9,289,174,273,0,1,0,2,0,1,1,2,4,1,0,0,1,1,0,0,2,0,0,0,2,0,0,765,0,0,765,0
182,182,4,12,121,241,181,1,1,3,0,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,573,0,1,574,0
183,183,0,56,212,180,308,2,1,3,2,0,4,1,1,3,0,3,2,1,0,0,1,2,0,0,1,2,0,0,785,0,2,787,0
184,184,0,25,137,287,266,0,0,0,0,0,0,3,1,0,0,2,1,2,0,0,1,0,0,0,0,1,3,0,729,0,2,731,0
185,185,0,10,178,247,293,1,0,1,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,738,0,2,740,0
186,186,0,14,109,166,156,0,0,0,1,0,2,2,2,1,0,1,1,0,2,0,1,0,1,0,0,1,0,0,460,0,1,461,0
187,187,3,13,189,126,186,3,0,0,1,3,2,1,2,4,3,0,0,1,1,2,0,0,0,0,1,1,1,1,544,0,2,546,0
188,188,0,39,217,184,239,0,1,2,1,2,2,4,0,0,1,1,0,1,1,0,0,0,0,0,3,1,0,1,700,0,5,705,0
189,189,0,42,256,332,258,1,1,0,0,3,3,2,4,6,2,3,0,5,1,4,3,4,0,1,5,1,1,2,940,0,6,946,0
