Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
210,118,38,138,0,0,0,2,384,0,0,1,0,0,0,0,681,0,4,685,0
211,144,64,190,1,0,0,2,543,0,0,0,0,0,0,1,945,0,3,948,0
212,120,38,167,1,1,0,1,457,0,0,0,1,0,0,0,786,0,10,796,0
213,103,35,183,0,0,0,1,457,2,0,0,0,0,1,0,782,0,1,783,0
214,139,31,141,0,0,0,1,345,0,0,0,0,0,2,0,659,0,5,664,0
215,94,24,130,3,0,0,0,271,1,2,0,0,0,1,0,526,0,3,529,0
216,99,20,85,0,0,1,4,259,0,0,0,2,0,1,1,472,0,1,473,0
217,145,30,165,0,2,1,3,411,0,0,1,0,0,1,1,760,0,5,765,0
218,62,20,150,0,1,0,0,247,0,0,0,0,1,0,0,481,0,1,482,0
219,101,12,74,0,0,0,1,182,0,0,0,1,0,0,2,373,0,4,377,0
220,175,13,93,0,1,0,3,322,1,0,2,0,0,0,0,610,0,3,613,0
221,139,29,145,0,0,0,2,323,1,0,1,0,0,0,0,640,0,3,643,0
222,180,47,125,2,0,1,3,477,2,0,1,0,0,0,1,839,0,0,839,0
223,248,53,119,1,0,0,3,439,2,0,0,0,0,1,0,866,0,5,871,0
224,146,28,169,0,1,0,2,276,0,0,0,1,0,2,0,625,0,2,627,0
225,165,40,141,0,1,1,4,281,0,0,1,0,1,0,0,635,0,4,639,0
226,138,29,135,0,0,0,1,317,0,0,0,0,0,1,0,621,0,1,622,0
227,109,31,134,0,1,0,3,322,0,1,1,0,0,0,0,602,0,9,611,0
228,135,34,177,0,0,1,2,371,0,0,0,0,0,0,0,720,0,6,726,0
229,105,33,188,0,0,1,1,262,0,0,0,0,1,0,1,592,0,3,595,0
230,298,51,91,2,16,0,0,302,1,0,0,2,1,1,1,766,0,4,770,0
231,134,32,139,0,1,0,0,259,0,0,0,0,0,0,0,565,0,2,567,0
