Polling Station No,K. S. RAVICHANDRAN,PORKODI ARMSTRONG,JAGADESH CHANDER .M,C. CHRISTY,A. SELVA KUMAR,M. R. PALLAVI,S JAYAKALPANA,R. ANANDAN,M. KANNADASAN,M. KOLANJI,D. SATHISH KUMAR,SATHISH,S. SENTHAMIZHAN,G. J. DHARANIRAJ,S. PARTHIBAN,PRAKASH ARUNACHALAM,PRASANTH. D,PRAVEEN THIYAGARAJAN,R. MURUGAN,M. MOHAN,S. RAJENDRAN,M. LOKESH,C. JAGAN MOHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,255,104,10,1,1,322,2,0,0,0,1,0,1,0,0,1,2,0,0,1,0,2,0,703,0,0,703,0
43,188,104,8,0,3,308,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,620,0,1,621,0
44,96,35,6,0,0,160,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,302,0,2,304,0
45,90,49,7,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,1,360,0
46,239,106,12,1,0,390,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,755,0,1,756,0
47,240,73,7,1,0,229,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,553,0,2,555,0
48,131,84,10,1,0,196,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,429,0,1,430,0
49,152,85,16,1,1,245,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,504,0,1,505,0
50,167,78,11,0,0,286,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,546,0,4,550,1
51,104,91,17,2,1,294,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,517,0,0,517,0
52,142,34,7,0,3,268,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,458,0
53,203,76,16,0,0,282,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,580,0,3,583,0
54,155,114,14,0,2,295,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,587,0,5,592,0
55,134,104,13,0,1,302,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,556,0,2,558,0
56,145,168,12,0,0,319,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,651,0,1,652,0
57,186,140,16,0,0,400,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,745,0,3,748,0
58,138,108,21,0,0,349,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,626,0,2,628,0
59,194,134,23,0,1,398,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,755,0,3,758,1
60,105,116,10,0,1,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,611,0,3,614,0
61,161,105,17,0,1,394,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,682,0,3,685,1
62,121,95,10,0,1,334,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,567,0,2,569,0
63,e 1141,77,14,1,1,350,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,588,0,3,591,1
64,183,106,16,0,1,351,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,1,660,0
65,132,90,13,0,0,302,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,541,0,1,542,0
66,144,102,7,0,0,338,1,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,598,0,3,601,0
67,178,130,6,2,0,340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,657,0,1,658,0
68,234,99,6,1,1,334,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,680,0,1,681,0
69,164,68,8,0,1,325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,3,570,0
70,249,137,19,1,0,442,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,852,0,0,852,1
71,174,110,19,0,0,279,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,585,0,0,585,0
72,217,121,14,1,1,345,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,704,0,3,707,0
73,275,112,10,0,0,336,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,737,0,0,737,0
74,216,119,11,0,0,308,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,659,0,1,660,0
75,226,141,20,1,1,287,2,0,0,0,0,0,0,0,0,2,2,1,2,0,3,2,0,690,0,6,696,0
76,210,151,15,1,1,222,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,605,0,3,608,0
77,153,152,13,1,2,186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,509,0,9,518,0
78,184,97,12,0,1,212,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,513,0,4,517,0
79,133,148,6,1,1,145,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,436,0,5,441,0
80,307,124,27,0,0,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,616,0,2,618,0
81,260,142,14,0,0,190,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,611,0,5,616,0
82,240,131,15,0,0,174,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,562,0,5,567,0
83,185,173,25,0,1,288,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,678,0,2,680,0
84,166,105,17,0,0,289,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,583,0,3,586,0
85,134,112,23,0,2,319,4,0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,0,601,0,0,601,0
86,106,70,8,0,1,293,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,485,0,0,485,0
87,102,61,7,0,2,318,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,495,0,0,495,0
88,105,86,3,0,0,315,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,513,0,1,514,0
89,153,106,8,0,1,401,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,677,0,2,679,0
90,163,96,13,2,0,378,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1,660,0,2,662,0
91,153,97,10,1,0,311,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,579,0,2,581,0
92,144,134,7,0,2,269,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,557,0,0,557,0
93,126,67,5,0,1,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410,0,1,411,0
94,184,86,6,0,0,319,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,599,0
95,205,96,12,1,2,295,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,3,616,0
96,213,132,8,1,1,347,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,706,0,5,711,0
97,120,185,13,0,0,334,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,656,0,4,660,0
98,121,87,8,0,0,298,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,520,0,3,523,0
99,199,137,23,3,1,380,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,756,0,3,759,0
100,132,97,14,1,0,306,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,561,0,2,563,0
101,143,104,12,0,0,351,2,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,618,0,1,619,0
102,134,83,8,0,3,302,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,532,0,1,533,0
103,141,120,10,0,2,461,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,738,0,3,741,0
104,188,104,22,0,0,388,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,706,0,1,707,0
105,171,96,13,0,0,344,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,629,0,4,633,0
106,122,82,7,1,0,236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,450,0,2,452,0
107,191,103,15,0,1,314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,3,629,0
108,226,143,15,0,1,458,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,849,0,1,850,0
109,171,64,12,1,0,283,5,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,542,0,1,543,0
110,125,54,27,0,0,257,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,466,0,1,467,0
111,227,84,14,1,0,505,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,837,0,1,838,0
112,163,75,6,0,2,467,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,717,0,1,718,0
113,163,75,8,0,3,439,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,694,0,0,694,0
114,209,110,12,1,2,214,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,552,0,1,553,0
115,214,98,3,0,0,279,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,1,599,0
116,93,80,5,0,1,233,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,415,0,2,417,0
117,310,98,7,0,3,215,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,638,0,6,644,0
118,301,82,10,0,1,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,5,646,0
119,229,171,9,0,0,160,1,0,0,0,0,0,0,0,0,1,4,3,1,0,1,1,0,581,0,5,586,0
120,173,29,9,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,320,0,0,320,0
121,258,271,13,0,0,348,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,897,0,8,905,0
122,108,53,7,0,0,316,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,2,488,0
123,199,112,15,0,1,263,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,596,0,2,598,0
124,137,119,5,0,2,292,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,562,0,1,563,0
125,166,120,7,0,0,130,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,425,0,9,434,0
126,e 298,294,3,0,2,153,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,554,0,13,567,1
127,137,375,4,0,0,206,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,730,0,11,741,0
128,124,41,6,0,0,147,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,320,0,0,320,0
129,354,64,7,0,1,225,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,655,0,0,655,0
130,291,81,10,0,0,434,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,820,0,0,820,0
131,335,70,11,0,0,311,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,733,0,2,735,0
132,321,117,14,0,2,345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,2,802,0
133,244,35,2,0,1,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,479,0,0,479,0
134,394,38,6,0,2,213,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,1,657,0
135,476,13,3,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,623,0,0,623,0
136,511,15,4,0,0,152,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,686,0,1,687,0
137,242,17,3,0,2,137,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,407,0,1,408,0
138,469,60,7,0,0,277,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,818,0,1,819,0
139,313,74,5,0,2,263,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,659,0,3,662,0
140,325,39,6,0,1,204,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,579,0,3,582,0
141,204,39,0,1,1,189,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,440,0,1,441,0
142,237,99,16,0,0,390,2,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,751,0,1,752,0
143,240,102,14,0,1,378,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,741,0,1,742,0
144,255,62,15,0,1,361,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,699,0,1,700,0
145,210,82,12,1,0,319,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,629,0,0,629,0
146,221,109,12,0,1,283,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,630,0,1,631,0
