Polling Station No,R. SATHYA,BALAJI RAMACHANDRAN,MARKANDAYAN G V,P. KASIRAM,R. PERUMAL,C. PONPANDI,P.MADASAMY,K. AJAY KUMAR,V. GANESAN,A. PATTURAJ,A. PRABAHAR,M. PONNUSAMY,G. MUNIYASAMY,P. RAJASEKARAN,P. JEYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
109,185,43,153,169,2,5,1,1,0,0,0,0,1,0,1,561,0,2,563,0
110,106,76,226,150,1,0,10,0,0,0,0,0,1,0,1,571,0,1,572,0
111,143,28,311,252,1,31,2,0,0,0,0,1,1,2,1,773,0,2,775,0
112,185,41,282,145,1,3,29,3,1,0,1,0,0,0,0,691,0,0,691,0
113,151,39,284,307,0,4,3,0,1,0,1,0,2,0,0,792,0,1,793,0
114,117,85,156,262,1,0,48,0,0,1,1,1,1,0,0,673,0,3,676,0
115,139,23,146,79,0,0,19,1,2,0,0,1,1,3,2,416,0,2,418,0
116,105,49,255,211,0,8,2,0,1,1,1,4,1,0,1,639,0,6,645,0
117,159,47,237,123,0,0,5,1,0,1,1,0,0,4,1,579,0,2,581,0
118,133,36,281,161,0,0,0,0,0,0,0,0,0,4,0,615,0,1,616,0
119,156,14,163,122,0,0,0,0,0,0,0,0,0,2,0,457,0,3,460,0
120,172,7,90,24,0,0,0,0,0,0,0,0,0,1,0,294,0,3,297,0
121,135,52,157,81,0,16,7,0,0,0,0,0,0,2,0,450,0,2,452,0
122,127,18,98,124,0,3,2,1,0,0,0,0,1,0,3,377,0,0,377,0
123,233,95,263,229,3,83,7,0,2,1,0,2,0,2,0,920,0,1,921,0
124,271,38,236,206,0,1,5,1,1,8,1,1,0,1,2,772,0,4,776,0
125,269,41,184,77,0,1,0,1,0,0,0,0,0,1,1,575,0,4,579,0
126,353,48,319,237,0,8,0,0,2,1,0,0,1,3,0,972,0,4,976,0
127,237,27,183,172,1,3,2,0,0,0,1,2,0,1,1,630,0,0,630,0
128,190,29,166,53,1,0,0,0,0,0,0,0,0,2,0,441,0,1,442,0
129,109,19,114,97,0,12,122,1,1,0,1,2,0,1,2,481,0,2,483,0
130,275,43,254,190,0,6,1,2,1,2,0,1,0,3,0,778,0,4,782,0
131,212,53,177,141,1,7,0,1,1,1,0,0,1,1,0,596,0,1,597,0
132,138,27,139,133,0,10,2,0,0,0,0,0,0,2,0,451,0,0,451,0
133,223,53,257,257,3,6,11,2,0,0,0,0,3,0,0,815,0,8,823,0
134,204,37,198,150,0,2,0,2,0,0,0,0,0,1,0,594,0,1,595,0
135,3209,47,225,185,0,17,23,2,1,0,1,1,1,0,0,712,0,5,717,0
136,151,69,229,124,0,25,3,0,0,1,0,1,0,3,2,608,0,2,610,0
137,196,28,280,197,0,6,0,1,1,1,0,0,0,2,1,713,0,2,715,0
138,197,33,160,236,0,9,0,0,0,1,1,2,1,0,0,640,0,2,642,0
139,84,39,278,147,0,7,1,0,0,0,0,0,0,0,0,556,0,1,557,0
140,99,24,247,310,1,21,1,3,0,0,1,0,1,1,1,710,0,5,715,0
141,73,41,237,201,1,11,4,0,0,0,0,1,2,0,0,571,0,1,572,0
142,102,35,168,181,1,2,38,0,0,0,1,1,0,0,0,529,0,3,532,0
143,167,74,276,363,0,5,31,0,0,1,0,1,0,2,3,923,0,6,929,0
144,176,13,147,113,0,0,2,1,0,0,0,0,0,2,1,455,0,1,456,0
145,100,35,205,153,0,15,12,0,0,0,0,0,1,0,0,521,0,1,522,0
146,151,26,154,140,0,1,80,0,1,0,0,1,0,1,0,555,0,1,556,0
147,95,36,224,211,1,4,0,1,0,0,1,0,0,1,0,574,0,2,576,0
148,272,31,216,344,2,2,0,1,0,0,0,0,1,2,0,871,0,3,874,0
149,139,17,141,133,0,17,0,1,0,0,1,0,1,3,0,453,0,3,456,0
150,221,50,154,186,1,2,0,0,1,1,0,1,0,0,0,617,0,0,617,0
151,244,38,258,276,0,1,3,0,2,0,1,1,1,3,0,828,0,3,831,0
152,100,23,99,110,0,6,1,0,0,0,0,0,0,2,0,341,0,4,345,0
153,221,41,187,364,3,4,0,3,0,0,1,4,5,1,0,834,0,5,839,0
154,237,16,316,248,0,0,0,0,0,1,1,0,0,1,1,821,0,3,824,0
155,311,19,175,161,0,8,1,0,0,0,1,2,1,2,1,682,0,4,686,0
156,158,7,133,98,0,0,4,1,0,0,0,0,0,2,0,403,0,1,404,0
157,154,28,72,79,1,13,0,1,0,0,0,1,1,1,0,351,0,0,351,0
158,123,13,69,116,0,3,1,0,0,0,1,0,0,0,0,326,0,0,326,0
159,102,15,192,57,0,0,0,3,0,0,0,0,0,1,0,370,0,2,372,0
160,235,16,218,174,1,10,1,0,0,0,0,1,0,1,0,657,0,2,659,0
161,331,24,201,298,1,11,6,1,0,0,1,0,1,2,3,880,0,4,884,0
162,294,25,188,239,2,10,0,0,0,0,0,1,0,2,0,761,0,3,764,0
163,279,54,185,297,0,8,0,1,0,0,0,0,3,1,1,829,0,5,834,0
164,220,41,145,248,0,0,0,3,0,1,0,0,1,1,1,661,0,0,661,0
165,310,22,152,328,0,0,0,0,0,0,0,2,1,0,2,817,0,5,822,0
166,197,47,248,423,2,6,0,0,0,0,0,0,2,0,1,926,0,7,933,0
167,150,25,107,294,0,0,2,0,0,0,0,0,2,1,0,581,0,0,581,0
168,169,33,159,280,0,4,1,1,0,1,1,0,1,2,0,652,0,2,654,0
169,180,25,199,230,2,1,0,1,1,0,0,1,0,1,0,641,0,3,644,0
170,141,21,119,177,0,1,0,0,0,0,0,1,0,1,0,461,0,2,463,0
171,328,13,324,202,0,1,2,0,0,0,0,0,1,3,1,875,0,2,877,0
172,350,24,263,215,0,2,12,0,0,0,0,0,1,3,0,870,0,0,870,0
173,255,32,212,246,0,9,0,0,0,0,1,0,0,0,1,756,0,11,767,0
174,141,10,96,76,0,0,0,0,0,0,0,0,0,0,0,323,0,0,323,0
175,350,31,201,95,0,1,0,0,0,2,1,1,1,4,0,687,0,1,688,0
176,271,30,173,112,0,2,0,1,0,1,0,1,0,0,0,591,0,1,592,0
177,210,31,248,132,0,7,0,0,1,0,0,0,0,3,0,632,0,3,635,0
178,239,20,154,160,2,2,1,0,0,0,1,0,2,1,0,582,0,2,584,0
179,162,2,104,126,0,2,0,1,0,0,0,1,1,1,0,400,0,2,402,0
180,4458,4,161,338,5,0,1,1,0,0,0,1,2,0,3,974,0,1,975,0
181,199,24,194,92,0,2,20,0,0,0,0,0,0,1,1,533,0,0,533,0
182,221,6,112,110,1,3,6,0,1,1,0,1,1,2,1,466,0,2,468,0
183,257,30,157,92,1,2,19,0,1,0,0,1,1,0,1,562,0,2,564,0
184,123,17,110,52,0,1,0,0,0,0,0,0,0,0,0,303,0,0,303,0
185,301,35,241,166,1,0,0,3,0,0,0,0,0,2,0,749,0,5,754,0
186,111,34,234,199,0,17,9,0,0,0,0,0,0,3,0,607,0,3,610,0
187,189,60,304,280,3,18,51,1,1,0,0,2,0,2,0,911,0,3,914,0
188,290,50,258,249,1,4,0,0,0,1,0,0,0,0,0,853,0,0,853,0
189,160,28,262,178,0,10,0,0,0,0,0,1,0,2,0,641,0,2,643,0
190,182,30,163,141,1,9,2,1,0,0,0,0,1,0,1,531,0,2,533,0
191,153,49,216,199,0,1,0,0,0,0,1,2,0,5,1,627,0,7,634,0
192,256,26,321,173,0,13,0,1,0,0,1,1,1,1,0,794,0,2,796,0
193,317,42,255,234,0,6,1,0,0,0,1,0,0,2,1,859,0,3,862,0
194,361,40,196,206,0,8,0,0,0,0,0,0,0,0,0,811,0,3,814,0
195,150,19,59,58,0,13,0,0,0,0,0,0,0,2,0,301,0,1,302,0
196,343,22,190,172,0,3,1,0,0,1,0,0,0,3,0,735,0,2,737,0
197,218,21,177,115,0,0,7,2,0,0,0,1,2,1,0,544,0,3,547,0
198,174,29,368,116,0,2,0,1,0,0,0,1,1,1,1,694,0,4,698,0
199,177,7,92,31,0,0,0,0,0,0,0,0,0,0,0,307,0,1,308,0
200,290,36,207,163,0,25,12,1,0,3,0,0,0,2,1,740,0,2,742,0
201,126,32,158,162,0,5,2,0,1,0,3,0,0,3,1,493,0,3,496,0
202,139,24,151,143,0,3,0,0,1,0,0,0,0,2,0,463,0,1,464,0
203,210,35,196,196,0,9,4,0,1,0,0,0,0,1,0,652,0,6,658,0
204,210,33,266,278,1,9,10,2,0,1,0,0,0,2,0,812,0,3,815,0
205,130,71,300,217,1,2,11,1,0,0,0,1,1,2,0,737,0,3,740,0
206,160,50,196,215,2,12,1,0,0,0,1,2,0,0,0,639,0,1,640,0
207,180,33,158,209,0,2,1,0,0,0,0,1,1,0,1,586,0,4,590,0
208,187,43,176,196,2,10,0,1,0,0,0,0,0,1,0,616,0,2,618,0
209,91,29,199,125,1,6,0,0,0,0,0,0,0,0,0,451,0,1,452,0
210,187,46,197,183,0,1,0,0,0,0,0,0,0,0,0,614,0,1,615,0
211,142,56,315,271,1,2,3,0,1,1,0,0,0,1,0,793,0,1,794,0
212,100,27,218,155,0,5,4,1,0,0,0,0,0,0,0,510,0,3,513,0
213,78,38,147,107,0,23,1,0,0,0,0,0,0,0,1,395,0,1,396,0
214,176,50,290,334,2,16,6,2,1,1,2,2,2,5,0,889,0,3,892,0
215,246,56,312,243,0,0,10,2,1,1,1,0,1,2,0,875,0,3,878,0
216,260,73,232,102,1,1,77,0,0,0,1,1,1,0,2,751,0,2,753,0
217,104,73,184,53,0,0,0,1,0,0,0,0,0,1,0,416,0,1,417,0
218,144,28,56,47,0,0,32,0,0,0,0,0,1,0,1,309,0,1,310,0
219,100,56,304,188,0,6,8,0,0,0,0,0,1,5,1,669,0,3,672,0
220,195,12,76,57,0,0,0,0,0,0,0,0,0,1,1,342,0,3,345,0
221,167,56,203,163,0,1,133,0,0,0,0,2,2,1,0,728,0,0,728,0
222,93,25,134,81,0,20,1,0,0,0,0,0,0,0,0,354,0,1,355,0
223,224,42,291,146,1,12,1,0,1,0,0,0,0,1,0,719,0,3,722,0
224,219,45,198,226,1,1,0,1,0,0,0,0,0,2,0,693,0,1,694,0
225,5130,51,175,121,0,2,17,0,0,0,0,0,2,2,0,500,0,1,501,0
226,129,34,188,143,2,7,1,0,0,0,0,0,1,2,1,508,0,2,510,0
227,167,89,226,250,1,1,1,0,0,0,0,2,1,1,0,739,0,3,742,0
228,93,60,317,391,1,5,0,0,0,0,1,1,3,1,0,873,0,4,877,0
229,178,86,186,168,1,0,0,0,0,0,0,0,1,2,1,623,0,2,625,0
230,67,110,434,324,2,0,0,0,1,0,0,1,0,1,0,940,0,1,941,0
231,81,65,276,217,3,1,0,1,0,0,0,0,2,2,0,648,0,1,649,0
232,216,103,204,227,0,1,0,1,1,0,1,1,3,0,2,760,0,0,760,0
233,180,86,283,250,0,2,1,0,2,0,0,3,2,4,1,814,0,1,815,0
234,78,56,250,195,1,1,0,0,0,0,0,0,0,2,0,583,0,0,583,0
235,109,86,267,186,0,0,0,0,0,0,0,0,0,0,0,648,0,2,650,0
236,145,22,103,76,0,0,0,0,0,0,0,0,0,0,0,346,0,0,346,0
237,266,38,224,157,1,0,0,0,0,1,0,0,1,2,1,691,0,3,694,0
238,180,67,200,120,0,0,10,0,0,0,0,1,0,3,1,582,0,1,583,0
239,153,87,336,160,0,3,15,1,1,0,2,0,0,1,7,766,0,3,769,0
240,353,85,299,234,3,0,15,1,0,0,0,2,0,2,3,997,0,6,1003,0
241,179,89,273,195,1,10,11,0,0,2,0,1,0,3,0,764,0,1,765,0
242,246,114,302,197,2,16,20,3,0,0,0,1,0,1,0,902,0,1,903,0
243,156,131,135,182,0,1,55,3,0,0,1,1,1,2,1,669,0,6,675,0
244,160,24,211,158,0,2,1,0,0,0,0,0,0,0,0,556,0,0,556,0
245,117,41,209,99,1,2,10,1,0,0,1,1,0,0,1,483,0,3,486,0
246,235,139,343,179,1,0,23,2,2,1,1,2,2,1,0,931,0,1,932,0
247,81,24,121,158,0,0,12,0,2,1,0,0,1,0,0,400,0,1,401,0
248,132,76,204,315,2,0,26,0,0,0,0,1,0,0,1,757,0,1,758,0
249,97,53,124,171,0,1,20,0,0,1,0,1,0,2,0,470,0,3,473,0
250,135,9,129,64,0,0,14,2,0,0,0,1,0,1,0,355,0,3,358,1
251,137,90,244,128,0,0,56,1,2,2,0,1,0,4,1,666,0,1,667,0
252,156,54,195,124,1,0,1,0,0,1,0,0,2,2,0,536,0,1,537,0
253,177,59,148,182,3,0,28,0,0,0,0,1,1,0,0,599,0,5,604,0
254,216,89,225,243,0,1,4,0,0,0,1,0,1,0,0,780,0,1,781,0
255,215,40,216,142,0,5,12,0,1,0,0,0,0,1,0,632,0,1,633,0
256,218,25,189,129,1,0,1,0,1,0,0,1,0,1,0,566,0,0,566,0
257,229,34,239,321,0,0,0,1,0,0,0,0,0,0,0,824,0,4,828,0
258,257,65,204,199,3,8,18,1,0,0,0,0,1,0,2,758,0,2,760,0
259,225,86,264,255,5,10,55,1,3,1,0,3,1,2,2,913,0,3,916,0
260,165,26,231,160,0,0,2,0,0,1,0,1,1,2,0,589,0,1,590,0
261,205,29,142,239,0,2,3,0,0,0,0,0,0,1,1,622,0,1,623,0
262,76,37,334,215,0,3,6,1,0,0,1,0,0,1,1,675,0,2,677,0
263,183,126,230,161,1,0,1,2,0,0,0,1,2,2,0,709,0,1,710,0
264,165,58,238,255,0,0,0,1,0,0,0,0,0,1,1,719,0,1,720,0
265,179,113,363,305,2,2,15,3,0,1,0,0,0,4,3,990,0,4,994,0
266,120,112,105,117,0,0,3,0,0,0,2,0,0,3,2,464,0,0,464,0
267,166,140,176,240,0,2,14,3,0,0,1,1,0,0,0,743,0,3,746,0
268,62,20,158,97,1,2,3,0,0,0,0,0,2,0,1,346,0,0,346,0
269,206,49,169,168,1,6,0,1,0,0,0,1,1,0,0,602,0,2,604,0
270,6178,2,153,119,0,0,0,0,0,0,1,0,1,0,0,454,0,0,454,0
271,163,75,186,204,1,1,48,1,0,0,2,0,0,1,0,682,0,1,683,0
272,81,64,305,410,0,1,21,0,0,0,2,0,0,1,1,886,0,1,887,0
273,38,38,324,348,0,1,0,0,1,0,0,0,0,0,0,750,0,0,750,0
274,16,29,241,385,1,0,1,1,0,0,1,0,2,2,1,680,0,1,681,0
