Polling Station No,Candidate_1,DEMAS LUDBA .P,IRIGANURA .M,RAMUKAYAJIV .LP .RD,A. JARAIKCORA,NAVARIHTAK .R,ANEEM .P,R. NAMRAVAJAR,NAMAR .A,M. NAVARIHTAK,NAPPURAK .M,NAIATTUK,NIDUHPRAS,NANNIHC .P,LIHTNES RAMUK .A,AKKAYIREP,M. HSEJAR,RAMUKAYAJIV .P,RAMUK AYAJIV .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
49,49,220,73,167,2,375,1,0,1,0,1,1,0,1,0,1,3,0,0,846,0,0,846,0
50,50,185,54,142,4,297,0,0,0,1,1,0,1,0,0,0,1,1,0,687,0,4,691,0
51,51,79,6,75,1,114,1,0,0,0,1,0,2,0,0,0,0,1,0,280,0,0,280,0
52,52,230,54,313,4,460,1,1,1,0,2,1,2,1,1,1,2,2,1,1077,0,0,1077,0
53,53,222,53,189,1,247,0,0,0,0,1,1,1,0,0,2,1,5,2,725,0,2,727,0
54,54,134,25,193,5,197,0,1,0,0,0,0,2,0,2,1,5,1,0,566,0,2,568,0
55,55,233,51,197,4,317,3,2,0,1,0,2,5,2,3,0,4,5,2,831,0,6,837,0
56,56,124,36,78,0,187,1,0,0,0,1,0,0,0,0,0,1,1,0,429,0,0,429,0
57,57,145,24,143,0,209,0,0,0,0,0,0,1,0,0,0,2,2,0,526,0,2,528,0
58,58,283,36,142,1,350,1,2,0,0,0,0,1,0,0,0,1,2,0,819,0,1,820,0
59,59,270,63,185,5,379,4,0,1,1,4,2,2,0,3,4,4,4,1,932,0,3,935,0
60,60,156,23,277,0,243,0,0,0,0,1,0,1,2,0,0,0,1,0,704,0,2,706,0
61,61,230,27,182,3,272,2,0,0,1,0,0,0,0,1,0,0,1,0,719,0,3,722,0
62,62,175,30,158,4,203,0,1,0,0,0,0,0,0,1,0,2,1,0,575,0,0,575,0
63,63,184,25,174,1,259,0,0,0,1,0,0,1,1,0,0,2,0,1,649,0,1,650,0
64,64,240,15,315,1,318,0,1,0,1,1,1,0,0,1,0,2,2,0,898,0,2,900,0
65,65,101,23,205,1,212,0,0,0,0,1,1,1,0,1,2,1,1,0,550,0,3,553,0
66,66,143,22,163,1,189,1,0,0,1,0,0,0,1,0,0,0,2,3,526,0,3,529,0
67,67,244,46,238,3,407,1,0,0,1,1,0,1,0,1,0,3,5,0,951,0,4,955,0
68,68,390,19,13,0,72,0,0,0,0,0,0,0,0,0,0,0,3,0,497,0,1,498,0
69,69,387,8,13,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,450,0,2,452,0
70,70,287,33,202,7,332,0,0,1,2,1,0,1,0,1,1,0,2,0,870,0,3,873,0
71,71,444,23,14,0,129,0,0,0,1,1,0,0,0,0,1,1,1,0,615,0,1,616,0
72,72,261,31,293,0,352,1,0,0,3,1,1,1,1,1,0,4,4,0,954,0,4,958,0
73,73,141,29,169,1,266,0,1,0,0,1,0,1,0,0,0,3,2,0,614,0,2,616,0
74,74,154,40,205,1,207,0,1,0,0,0,0,1,0,0,2,0,1,0,612,0,2,614,0
75,75,68,9,82,2,176,0,2,0,1,0,0,1,0,1,0,0,1,1,344,0,4,348,0
76,76,157,20,348,5,348,4,1,0,1,1,1,3,0,4,1,1,3,0,898,0,1,899,0
77,77,243,68,206,3,334,0,0,0,0,5,0,2,0,0,0,0,4,1,866,0,1,867,0
78,78,218,38,275,3,372,1,1,0,0,3,0,1,1,2,1,1,2,0,919,0,6,925,0
79,79,110,17,168,2,226,3,1,1,1,0,0,0,1,0,0,2,1,0,533,0,1,534,0
80,80,171,23,292,3,322,0,0,0,0,2,1,0,0,0,0,0,2,0,816,0,1,817,0
81,81,170,34,146,2,307,3,1,0,0,1,0,0,0,0,0,0,1,0,665,0,1,666,0
82,82,180,22,199,1,276,0,0,1,0,0,0,0,1,2,0,4,3,0,689,0,2,691,0
83,83,148,25,153,5,348,0,0,0,1,1,1,1,0,0,1,2,3,0,689,0,4,693,0
84,84,112,20,238,1,252,0,0,1,0,1,0,1,0,0,0,1,0,0,627,0,2,629,0
85,85,111,18,361,1,225,0,1,0,0,0,0,0,0,0,0,2,0,1,720,0,2,722,0
86,86,170,23,124,1,201,0,0,0,0,1,1,1,1,2,1,0,1,0,527,0,0,527,0
87,87,204,21,202,0,280,0,2,1,0,1,0,2,0,3,2,7,4,0,729,0,3,732,0
88,88,236,30,263,1,337,2,1,0,0,1,1,0,0,1,0,8,2,1,884,0,3,887,0
89,89,178,32,210,5,296,4,0,0,0,2,1,5,1,2,1,2,4,1,744,0,6,750,0
90,90,151,19,439,6,328,1,0,0,0,1,1,2,3,6,0,1,5,0,963,0,3,966,0
91,91,157,20,276,1,288,0,0,0,0,3,0,1,0,0,0,3,4,0,753,0,7,760,0
92,92,98,22,173,3,242,0,1,0,1,1,2,3,1,0,1,4,3,1,556,0,2,558,0
93,93,233,23,210,6,421,4,1,0,1,0,1,3,1,0,2,3,4,0,913,0,1,914,0
94,94,79,19,178,2,207,1,1,1,0,0,0,1,2,2,0,0,2,0,495,0,2,497,0
95,95,161,17,201,0,281,2,0,1,2,1,1,2,0,2,1,1,1,0,674,0,2,676,0
96,96,104,19,153,6,257,1,0,0,1,0,1,4,2,3,0,1,0,0,552,0,1,553,0
97,97,134,33,187,3,227,0,0,1,1,0,0,1,2,0,0,2,0,0,591,0,2,593,0
98,98,213,11,179,0,151,1,0,0,0,0,1,2,1,0,0,1,3,0,563,0,1,564,0
99,99,188,31,260,5,263,0,0,0,0,0,0,0,1,1,0,1,1,0,751,0,4,755,0
100,100,182,45,295,3,364,1,1,2,0,3,0,0,1,0,1,0,0,0,898,0,1,899,0
101,101,123,23,301,4,384,0,1,1,2,0,0,3,1,0,1,0,3,0,847,0,4,851,0
102,102,101,24,213,1,221,1,1,1,2,0,0,0,0,0,3,1,0,0,569,0,5,574,0
103,103,72,25,188,1,170,2,1,0,0,0,1,2,1,0,0,1,1,0,465,0,5,470,0
104,104,131,24,145,3,305,0,0,2,2,0,0,1,1,0,1,2,0,0,617,0,4,621,0
105,105,139,21,177,0,220,0,1,0,0,0,0,1,0,2,0,2,0,0,563,0,1,564,0
106,106,240,26,189,3,358,2,1,0,0,0,0,2,0,0,0,2,3,0,826,0,6,832,0
107,107,175,49,429,2,222,0,0,0,0,0,1,0,0,1,3,1,3,0,886,0,7,893,0
108,108,358,47,267,1,258,1,0,0,0,1,0,1,1,1,0,4,2,1,943,0,4,947,0
109,109,159,25,189,0,327,0,0,0,2,0,1,1,0,0,0,1,0,0,705,0,4,709,0
110,110,172,25,152,2,307,0,0,0,1,0,0,2,1,0,0,2,1,0,665,0,3,668,0
111,111,262,29,231,1,292,3,1,0,3,0,0,0,0,1,0,0,2,0,825,0,4,829,0
112,112,128,16,126,2,174,1,0,0,0,0,0,0,0,0,0,1,1,0,449,0,0,449,0
113,113,103,13,131,0,170,0,0,1,0,0,0,0,0,0,2,0,0,1,421,0,1,422,0
114,114,240,17,156,3,243,0,0,0,2,1,0,1,0,0,1,0,1,0,665,0,3,668,0
115,115,306,14,216,0,211,0,1,0,0,0,0,0,0,0,0,0,1,1,750,0,7,757,0
116,116,194,7,159,2,262,1,0,0,1,0,0,1,0,0,0,0,1,0,628,0,1,629,0
117,117,110,6,82,0,135,0,0,0,0,1,0,0,0,0,0,0,0,0,334,0,2,336,0
118,118,138,14,146,0,169,0,0,0,0,0,0,0,1,2,0,2,1,0,473,0,3,476,0
119,119,163,21,158,1,174,1,0,1,0,0,0,0,0,0,1,0,0,0,520,0,5,525,0
120,120,312,7,67,0,238,1,0,0,0,0,1,0,0,0,0,0,0,0,626,0,3,629,0
121,121,367,19,118,1,241,0,0,2,1,0,1,0,0,0,0,0,1,2,753,0,3,756,0
122,122,167,14,90,1,128,0,0,0,1,0,0,1,0,1,1,0,2,0,406,0,2,408,0
123,123,279,43,296,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,3,903,0
124,124,339,25,145,0,397,1,0,1,0,0,0,1,0,0,0,1,0,2,912,0,1,913,0
125,125,277,29,252,2,417,1,0,1,0,1,0,0,0,0,0,2,2,0,984,0,4,988,0
126,126,233,19,202,0,243,1,0,0,0,0,1,2,0,0,0,0,2,0,703,0,0,703,0
127,127,131,10,69,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,1,318,0
128,128,250,51,282,1,338,0,0,0,0,2,0,0,1,0,1,2,1,0,929,0,2,931,0
129,129,323,22,95,0,357,0,0,0,0,0,0,0,0,0,0,0,0,1,798,0,0,798,0
130,130,202,22,82,0,226,2,0,0,0,0,0,0,0,0,0,0,2,2,538,0,2,540,0
131,131,201,14,93,0,229,0,2,0,0,0,0,0,0,0,0,1,0,0,540,0,0,540,0
132,132,173,34,75,3,272,1,0,0,0,1,0,0,1,0,0,0,3,2,565,0,1,566,0
133,133,236,37,55,2,268,1,0,0,1,0,0,0,0,1,0,1,1,0,603,0,0,603,0
134,134,201,48,257,1,370,0,0,0,0,0,0,0,2,2,0,0,2,0,883,0,3,886,0
135,135,199,38,204,0,332,0,0,0,0,1,0,0,0,0,1,2,2,0,779,0,6,785,0
136,136,131,10,71,0,121,0,0,0,0,0,0,1,0,0,0,1,0,0,335,0,2,337,0
137,137,170,21,130,1,224,0,1,1,0,0,0,2,0,0,0,0,1,0,551,0,1,552,0
138,138,242,27,154,0,272,0,1,0,0,0,0,0,0,0,1,0,0,0,697,0,1,698,0
139,139,142,24,115,2,191,1,1,0,0,0,1,2,0,0,0,1,1,1,482,0,3,485,0
140,140,254,26,201,1,398,0,1,0,0,1,0,1,0,0,0,2,0,0,885,0,7,892,0
141,141,188,23,130,0,238,0,0,0,2,0,0,0,0,2,2,0,2,0,587,0,4,591,0
142,142,112,28,91,2,210,1,0,0,1,0,0,0,0,0,1,1,1,1,449,0,4,453,0
143,143,129,41,381,0,169,1,0,0,0,1,0,0,1,0,1,1,3,2,730,0,4,734,0
144,144,175,23,222,1,191,0,0,0,1,0,0,0,0,0,0,1,2,0,616,0,7,623,0
145,145,280,16,182,0,259,0,0,0,0,1,0,1,1,0,0,1,0,0,741,0,5,746,0
146,146,278,38,168,1,344,1,1,0,2,1,0,0,0,1,0,0,3,0,838,0,4,842,0
147,147,188,31,438,1,279,0,0,0,1,0,0,0,1,0,0,2,1,1,943,0,2,945,0
148,148,198,33,391,5,244,0,0,1,1,1,0,1,0,1,1,2,0,0,879,0,2,881,0
149,149,225,25,279,2,308,2,0,1,1,0,1,0,0,1,1,0,0,0,846,0,4,850,0
150,150,149,30,221,2,321,1,1,0,1,0,1,0,0,2,0,2,4,1,736,0,2,738,0
151,151,144,41,97,3,244,2,1,0,0,0,0,0,0,1,43,0,1,0,577,0,0,577,0
152,152,182,38,288,0,235,0,1,0,0,0,0,0,1,0,2,0,1,1,749,0,0,749,0
153,153,207,44,167,2,398,2,2,2,2,0,1,1,1,1,2,5,6,0,843,0,8,851,0
154,154,112,37,81,1,304,1,0,0,0,0,0,0,0,0,1,0,0,0,537,0,1,538,0
155,155,208,24,142,1,213,0,0,0,0,0,0,1,0,0,0,0,5,0,594,0,0,594,0
156,156,131,21,135,4,197,1,0,0,0,1,0,1,1,2,0,0,2,1,497,0,2,499,0
157,157,151,26,133,0,231,0,0,0,1,0,1,0,0,1,0,2,0,1,547,0,1,548,0
158,158,208,24,164,3,125,0,1,2,2,2,1,2,0,0,2,1,1,0,538,0,6,544,0
159,159,156,32,328,1,250,1,2,0,2,1,1,0,0,0,1,2,2,2,781,0,9,790,0
160,160,130,18,191,1,222,1,1,1,1,2,1,0,0,0,1,0,1,1,572,0,4,576,0
161,161,117,20,76,1,215,0,0,0,1,0,0,1,0,0,2,0,2,0,435,0,2,437,0
162,162,218,51,307,1,241,0,0,0,0,0,0,0,1,1,0,3,1,2,826,0,3,829,0
163,163,146,31,233,3,246,0,0,0,0,0,1,1,0,1,0,1,0,0,663,0,0,663,0
164,164,234,41,310,3,349,0,1,1,0,1,0,1,0,1,1,2,1,0,946,0,2,948,0
165,165,77,10,257,0,186,2,0,1,0,1,0,0,0,0,0,0,0,0,534,0,2,536,0
166,166,160,27,412,2,260,0,1,1,1,0,0,2,0,2,0,2,2,0,872,0,1,873,0
167,167,144,33,268,2,170,0,0,2,0,0,0,1,0,1,0,3,0,0,624,0,2,626,0
168,168,225,37,392,5,303,2,0,2,2,0,1,2,1,1,1,6,5,1,986,0,6,992,0
169,169,147,35,292,1,180,0,1,0,0,0,0,1,0,0,0,2,0,0,659,0,0,659,0
170,170,120,51,318,0,197,0,0,1,2,1,1,1,0,0,0,0,3,1,696,0,2,698,0
171,171,127,28,282,0,132,0,1,0,0,1,0,0,1,1,0,0,1,1,575,0,2,577,0
172,172,127,36,293,1,118,1,1,0,0,2,1,0,0,1,0,2,1,0,584,0,2,586,0
173,173,249,71,538,1,234,0,0,1,0,1,0,2,2,2,4,3,2,4,1114,0,5,1119,0
174,174,191,57,504,4,147,1,0,0,1,1,0,0,1,1,1,0,2,0,911,0,2,913,0
175,175,178,18,482,4,285,0,1,0,1,4,0,0,0,1,0,0,2,1,977,0,7,984,0
176,176,171,35,341,1,159,0,0,1,0,0,0,0,0,0,1,2,1,1,713,0,1,714,0
177,177,176,39,375,1,183,0,0,0,0,0,0,0,0,2,0,1,4,1,782,0,4,786,0
178,178,109,37,245,3,182,0,0,1,0,3,0,0,0,0,4,1,1,1,587,0,0,587,0
179,179,94,6,235,2,163,0,2,0,0,1,0,0,0,0,0,1,2,1,507,0,1,508,0
180,180,138,44,297,2,358,0,2,0,0,0,0,1,1,2,2,3,3,2,855,0,4,859,0
181,181,143,28,293,4,165,0,2,0,0,1,0,0,0,3,2,1,4,2,648,0,2,650,0
182,182,104,18,293,0,96,2,1,0,1,0,0,0,0,0,1,3,0,0,519,0,0,519,0
183,183,147,61,462,4,216,1,0,2,0,1,0,1,0,0,1,2,1,0,899,0,1,900,0
184,184,188,22,359,3,293,2,1,1,0,1,0,1,1,4,0,0,5,0,881,0,11,892,0
185,185,271,14,289,1,272,0,0,6,1,3,0,0,1,0,0,4,1,0,863,0,2,865,0
186,186,79,25,292,1,143,0,0,0,0,0,0,0,0,0,0,0,1,0,541,0,2,543,0
187,187,59,15,412,1,159,1,0,0,1,2,1,2,0,0,0,1,1,0,655,0,3,658,0
188,188,77,19,281,3,131,2,0,1,1,1,1,2,0,0,0,0,2,0,521,0,2,523,0
189,189,138,17,219,4,90,0,0,0,0,0,0,1,0,0,0,0,3,0,472,0,2,474,0
190,190,71,26,225,1,288,0,0,1,0,0,0,1,0,0,1,1,0,0,615,0,1,616,0
191,191,173,30,348,0,158,0,0,2,1,2,0,0,0,1,0,0,0,0,715,0,5,720,0
192,192,161,12,252,4,167,1,0,0,1,1,0,1,1,1,2,3,2,0,609,0,6,615,0
193,193,144,20,258,3,255,0,0,1,0,1,1,0,0,3,0,0,8,1,695,0,4,699,0
194,194,126,27,425,3,265,1,1,1,0,0,1,0,0,0,1,2,2,1,856,0,3,859,0
195,195,125,22,290,4,334,0,0,0,0,0,1,1,0,0,0,1,1,1,780,0,4,784,0
196,196,40,11,265,1,90,0,1,0,1,0,0,0,1,0,0,0,0,1,411,0,4,415,0
197,197,79,34,543,2,224,0,1,0,1,0,0,1,0,1,2,3,0,0,891,0,4,895,0
198,198,148,11,258,2,83,2,0,0,0,0,0,1,0,0,0,5,2,0,512,0,2,514,0
199,199,185,21,443,2,197,1,2,0,0,1,1,1,1,0,0,4,8,2,869,0,3,872,0
200,200,180,15,306,5,228,0,0,0,0,1,1,0,0,1,2,2,2,1,744,0,3,747,0
201,201,646,9,29,0,94,0,1,0,0,0,0,1,0,0,1,0,0,0,781,0,1,782,0
202,202,69,29,265,0,175,1,0,0,1,1,1,0,0,0,0,3,0,1,546,0,7,553,0
203,203,497,8,16,0,86,0,0,0,0,0,0,0,1,0,0,0,1,0,609,0,0,609,0
204,204,49,11,137,2,118,1,0,0,0,0,0,0,2,0,1,0,0,2,323,0,1,324,0
205,205,501,6,13,1,69,0,0,0,0,0,0,0,0,0,0,0,1,0,591,0,0,591,0
206,206,102,7,294,1,202,1,0,0,0,0,0,1,0,4,0,2,1,0,615,0,1,616,0
207,207,114,11,262,3,214,0,0,1,0,0,0,1,0,1,0,0,0,0,607,0,3,610,0
208,208,104,16,412,3,217,1,0,0,0,0,1,1,0,2,0,1,2,1,761,0,5,766,0
209,209,101,20,394,5,141,1,1,0,0,0,0,1,2,1,0,4,3,3,677,0,2,679,0
210,210,601,3,31,1,101,0,1,0,0,0,1,0,0,0,0,3,1,0,743,0,0,743,0
211,211,613,9,23,0,79,0,0,0,0,1,0,2,0,0,0,1,2,0,730,0,2,732,0
212,212,76,44,617,4,173,0,0,0,0,1,1,2,1,0,0,2,0,1,922,0,2,924,0
213,213,120,14,442,2,142,0,0,0,0,1,0,0,0,0,0,1,0,1,723,0,1,724,0
214,214,194,32,380,1,289,1,1,0,3,0,0,2,1,0,3,1,2,1,911,0,2,913,0
215,215,77,13,103,0,114,0,0,0,0,0,0,0,0,0,0,0,2,1,310,0,3,313,0
216,216,235,36,368,1,243,1,3,0,2,1,1,0,0,3,0,1,1,1,897,0,6,903,0
217,217,140,16,247,3,173,1,1,0,1,2,0,0,0,1,0,0,0,0,585,0,0,585,0
218,218,156,37,360,1,233,2,0,0,1,0,0,0,1,0,0,0,1,0,792,0,4,796,0
219,219,198,36,195,4,260,1,0,0,1,0,2,1,0,1,0,2,3,0,704,0,4,708,0
220,220,98,15,247,1,173,1,1,1,0,2,0,3,1,0,0,2,2,0,547,0,5,552,0
221,221,147,20,232,2,238,0,0,0,0,1,0,0,1,0,1,3,0,0,645,0,6,651,0
222,222,158,23,227,2,199,0,1,0,0,0,0,0,0,0,0,2,2,0,614,0,1,615,0
223,223,157,21,213,3,226,0,0,0,0,0,0,0,0,0,0,1,1,0,622,0,0,622,0
224,224,174,54,398,2,274,0,0,1,0,0,0,0,0,3,1,2,2,0,911,0,12,923,0
225,225,205,65,232,3,324,3,3,0,2,0,1,3,1,2,0,2,1,1,848,0,5,853,0
226,226,76,17,230,1,164,0,0,0,0,1,1,0,1,2,0,0,0,0,493,0,1,494,0
227,227,74,21,214,3,183,1,0,0,0,1,0,0,0,1,0,0,0,0,498,0,0,498,0
228,228,148,59,290,4,409,3,1,0,0,0,2,0,0,1,0,4,1,0,922,0,3,925,0
229,229,141,27,204,5,225,1,0,0,1,1,0,2,1,1,1,2,0,0,612,0,0,612,0
230,230,156,30,353,2,210,1,0,0,3,0,0,0,0,1,1,0,0,0,757,0,2,759,0
231,231,149,27,352,1,251,0,0,1,1,1,2,2,2,1,0,3,3,1,797,0,3,800,0
232,232,108,35,156,1,148,0,0,0,1,1,1,0,0,1,0,0,1,0,453,0,0,453,0
233,233,193,44,237,5,423,5,0,0,1,1,0,8,1,2,0,3,1,0,924,0,4,928,0
234,234,231,32,270,1,280,1,0,0,0,0,0,3,1,0,1,2,8,0,830,0,8,838,0
235,235,35,31,171,1,76,0,0,0,2,0,0,0,0,0,0,0,0,0,316,0,0,316,0
236,236,82,20,200,1,146,0,0,0,0,0,0,0,0,0,2,0,5,1,457,0,6,463,0
237,237,226,40,329,1,234,0,0,0,0,0,0,1,1,0,0,0,0,1,833,0,3,836,0
238,238,164,26,270,2,209,0,1,1,0,3,0,4,1,0,0,1,3,1,686,0,4,690,0
239,239,168,25,183,2,192,1,0,1,0,1,0,1,2,1,0,5,1,0,583,0,2,585,0
240,240,121,53,287,4,366,2,2,2,0,1,2,1,1,0,0,3,0,0,845,0,3,848,0
241,241,159,32,354,1,178,0,0,1,0,0,0,0,2,3,0,0,1,2,733,0,5,738,0
242,242,167,31,232,4,200,0,0,0,0,0,1,0,1,0,0,1,2,1,640,0,2,642,0
243,243,134,21,314,3,257,2,1,0,0,0,1,0,0,4,0,1,2,0,740,0,3,743,0
244,244,169,20,353,5,237,1,0,0,1,0,2,0,0,3,1,1,2,0,795,0,3,798,0
245,245,59,45,523,1,199,0,0,0,0,0,0,1,0,0,1,0,1,0,830,0,2,832,0
246,246,74,28,353,3,133,0,1,0,0,0,0,0,1,0,0,0,1,0,594,0,2,596,0
247,247,144,13,284,2,132,0,0,0,1,0,0,0,0,1,0,1,0,0,578,0,2,580,0
248,248,232,28,358,1,247,0,0,0,0,2,0,1,0,3,0,2,0,1,875,0,1,876,0
249,249,141,28,316,4,140,1,1,0,0,0,2,1,0,1,0,1,2,1,639,0,2,641,0
250,250,191,19,303,2,284,1,0,0,1,1,0,1,0,0,1,4,4,2,814,0,10,824,0
251,251,89,16,140,2,119,1,0,0,0,0,0,0,0,1,0,2,4,0,374,0,2,376,0
252,252,194,27,366,5,214,2,0,0,0,0,0,1,0,1,3,3,2,0,818,0,1,819,0
253,253,131,27,249,6,195,0,0,1,0,3,0,1,0,0,0,0,1,0,614,0,0,614,0
254,254,214,44,371,2,325,2,0,1,0,1,1,1,0,2,0,0,2,1,967,0,3,970,0
255,255,102,45,155,6,117,0,0,0,0,1,0,0,0,1,0,1,0,0,428,0,1,429,0
256,256,92,27,391,0,174,2,1,0,1,0,0,0,3,0,0,1,1,0,693,0,2,695,0
257,257,135,55,291,3,261,3,2,1,0,0,0,1,1,1,1,4,0,0,759,0,5,764,0
258,258,82,37,228,0,157,0,0,0,0,0,3,0,1,0,0,2,1,1,512,0,1,513,0
259,259,119,31,264,1,146,1,0,0,0,0,0,2,0,0,0,0,1,1,566,0,2,568,0
260,260,140,33,216,3,335,0,1,0,0,0,1,3,0,1,0,3,2,1,739,0,1,740,0
261,261,271,20,197,1,177,1,0,0,2,0,0,1,0,1,1,0,1,0,673,0,5,678,0
262,262,257,11,124,0,128,1,0,0,0,0,0,0,1,1,0,2,4,0,529,0,1,530,0
263,263,113,27,336,1,287,0,0,0,0,0,0,2,0,1,1,1,0,0,769,0,4,773,0
264,264,179,11,206,1,175,0,0,0,0,0,0,1,0,2,0,2,0,1,578,0,2,580,0
265,265,174,40,245,6,296,1,0,0,0,3,0,2,0,0,0,1,1,0,769,0,3,772,0
266,266,154,36,177,4,227,0,0,0,0,3,0,1,0,0,0,1,1,0,604,0,1,605,0
267,267,170,29,159,2,216,0,0,0,0,2,0,0,0,0,1,2,3,4,588,0,2,590,0
268,268,157,63,479,6,263,1,2,0,0,1,0,1,0,1,0,1,3,1,979,0,3,982,0
269,269,147,30,231,2,282,0,1,0,1,0,0,2,2,1,0,1,0,0,700,0,4,704,0
