Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
98,98,116,389,22,152,2,3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,690,0,1,691,0
99,99,110,217,30,240,1,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,606,0,4,610,0
100,100,166,229,58,375,0,1,0,0,1,0,0,0,3,0,1,1,0,0,0,0,1,0,0,836,0,2,838,0
101,101,173,224,39,345,0,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,789,0,1,790,0
102,102,134,235,29,383,3,0,0,2,0,1,0,1,3,3,1,0,0,1,0,5,0,1,1,803,0,1,804,0
103,103,174,181,32,329,1,1,2,0,0,0,0,0,1,0,0,3,2,2,0,7,1,0,0,736,0,0,736,0
104,104,191,261,26,436,1,2,1,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,2,927,0,5,932,0
105,105,179,236,49,321,0,0,0,1,0,0,1,0,2,0,1,0,3,1,0,1,0,1,0,796,0,1,797,0
106,106,266,219,28,407,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,928,0,1,929,0
107,107,198,80,6,233,1,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,524,0,2,526,0
108,108,173,126,11,280,3,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,601,0,2,603,0
109,109,155,110,20,276,3,1,1,0,0,0,0,0,0,0,1,0,2,5,0,1,0,0,0,575,0,0,575,0
110,110,182,181,21,269,4,1,1,0,0,0,0,0,2,0,1,19,1,0,0,1,0,0,0,683,0,1,684,0
111,111,177,247,32,203,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,2,0,0,0,669,0,3,672,0
112,112,219,349,18,402,3,1,0,0,0,0,0,0,1,1,4,6,4,7,0,3,0,0,0,1018,0,2,1020,0
113,113,150,97,15,252,1,1,0,0,0,0,0,0,2,1,0,1,1,1,0,1,1,0,0,524,0,3,527,0
114,114,158,199,15,281,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,657,0,3,660,0
115,115,227,192,30,344,7,1,3,0,0,0,0,0,2,1,2,3,2,0,0,0,0,0,0,814,0,0,814,0
116,116,127,87,27,227,11,1,0,1,0,0,0,0,0,3,1,1,1,4,0,1,1,0,0,493,0,1,494,0
117,117,194,179,36,397,4,3,0,0,0,0,0,0,0,1,0,4,3,0,0,3,1,0,1,826,0,1,827,0
118,118,177,303,19,218,1,0,0,0,0,0,0,1,1,0,1,4,5,2,0,0,0,1,0,733,0,2,735,0
119,119,143,287,15,198,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,649,0,0,649,0
120,120,143,443,21,202,0,1,0,1,1,0,0,0,0,0,1,3,1,2,1,0,0,1,0,821,0,4,825,0
