Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
53,182,27,98,0,2,325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,636,0,5,641,0
54,223,28,138,0,3,395,2,0,0,2,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,799,0,3,802,0
55,139,9,72,0,2,265,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,490,0,5,495,0
56,93,8,51,0,0,141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,294,0,0,294,0
57,89,13,62,0,0,184,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,353,0,0,353,0
58,159,14,68,0,0,281,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,526,0,5,531,0
59,203,22,104,0,1,217,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550,0,2,552,0
60,254,17,63,0,1,387,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,728,0,2,730,0
61,177,13,61,0,0,227,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,483,0,2,485,0
62,146,13,55,0,1,283,0,0,0,1,0,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,507,0,2,509,0
63,237,25,101,2,1,310,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,680,0,3,683,0
64,220,19,93,1,0,281,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,620,0,1,621,0
65,157,28,56,0,0,385,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,2,0,0,0,0,1,635,0,3,638,0
66,227,17,51,0,0,233,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,531,0,4,535,0
67,205,8,61,0,0,234,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,515,0,2,517,0
68,208,9,70,0,0,213,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,5,508,0
69,172,13,122,0,1,259,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,2,572,0
70,246,23,119,1,3,373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,766,0,4,770,0
71,226,12,53,1,0,280,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,576,0,1,577,0
72,242,25,92,0,0,250,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,615,0,5,620,0
73,183,22,100,0,0,175,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,6,488,0
74,ge123 1,13,59,1,0,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,366,0,2,368,0
