Polling Station No,SIVAJI PERUMAL,NEHRUJI GUNASEKARAN,K.R.JAYARAM,V.SRINIDHI,N.R.APPATHURAI,SARVESWARAN,S.S.SUNDHARAM,MURUGAN.O,K.S.SRI GIRI PRASATH,AKBAR ALI,M.ASHOK KUMAR,AYOOB RIYAS,N.RAJASEKARAN,UMA PARAMASIVAM,KARTHIK,K.KUMAR BABU,S.SATHEESH,SUBARAMANIAN.N,P.TAMILSELVI,THAHIR HUSSAIN,V.BALAMURUGAN,R.MANIKANDABRABHU,A.MOUNAKUMAR,DR.K.RAJKUMAR,RAJKUMAR.M,VASANTHI,VIJAYAKUMAR,JANANI.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
68,1,46,253,204,1,0,0,1,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,711,0,5,716,0
69,0,29,262,126,0,0,0,2,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,4,610,0
70,0,20,231,140,1,0,0,1,212,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,3,611,0
71,1,15,102,152,1,0,2,1,188,1,0,0,0,0,0,2,1,0,0,2,0,1,0,0,1,1,0,0,471,0,1,472,0
72,0,42,219,180,3,0,0,1,320,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,769,0,3,772,0
73,0,27,139,168,2,0,1,0,272,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,616,0,1,617,0
74,1,25,112,108,0,0,1,0,136,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,387,0,3,390,0
75,1,29,158,173,2,0,2,1,275,3,0,0,0,2,0,1,0,0,1,0,0,0,2,1,0,0,0,0,651,0,4,655,0
76,0,39,216,147,2,0,2,0,299,1,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,713,0,3,716,0
77,1,9,122,89,2,0,0,0,165,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,393,0,4,397,0
78,1,52,208,169,0,0,0,0,298,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,734,0,5,739,0
79,1,29,101,94,0,0,1,0,228,0,0,0,0,0,0,1,0,0,3,2,1,0,1,0,2,1,0,0,465,0,2,467,0
80,1,22,175,186,1,1,0,1,290,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,685,0,5,690,0
81,3,16,208,262,0,2,0,2,307,2,1,0,1,0,0,0,0,1,6,3,2,2,1,1,1,0,1,0,822,0,2,824,0
82,1,26,224,209,1,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,708,0,7,715,0
83,1,36,240,190,0,0,1,4,266,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,746,0,6,752,0
84,2,28,176,212,1,0,0,1,296,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,721,0,7,728,0
85,3,21,217,117,0,0,1,0,220,0,1,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,586,0,6,592,0
86,1,36,170,155,0,0,0,1,258,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,628,0,3,631,0
87,0,29,125,127,0,0,1,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,451,0,3,454,0
88,2,34,229,117,0,0,0,1,302,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,693,0,0,693,0
89,1,35,198,169,1,1,1,3,357,2,1,0,2,0,0,1,0,0,2,2,0,0,0,2,0,0,1,1,780,0,0,780,0
90,1,18,172,136,1,0,0,2,304,2,2,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,1,0,645,0,7,652,0
91,2,32,199,144,0,0,0,0,218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,596,0,7,603,0
92,0,20,178,140,1,0,1,0,252,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0,0,601,0,5,606,0
93,1,39,211,203,0,0,0,1,310,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,770,0,6,776,0
94,0,31,180,145,0,0,0,0,259,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,4,0,1,1,628,0,5,633,0
95,0,9,119,264,0,1,1,0,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560,0,1,561,0
96,1,21,203,156,0,2,0,0,197,0,1,1,0,0,0,1,1,0,2,1,2,0,0,0,1,1,0,1,592,0,3,595,0
97,2,16,126,181,0,0,1,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,482,0,5,487,0
98,1,20,112,376,1,0,1,1,172,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,690,0,7,697,0
99,0,21,223,109,0,0,0,0,136,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,497,0,6,503,0
100,3,26,218,177,0,0,1,0,200,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,630,0,8,638,0
101,3,12,181,167,0,0,2,0,232,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,604,0,3,607,0
102,1,23,153,120,2,0,0,1,182,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,486,0,2,488,0
103,0,22,173,163,2,0,1,0,200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,564,0,3,567,0
104,1,23,174,144,1,0,0,0,211,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,560,0,1,561,0
105,1,19,144,95,0,0,0,0,175,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,1,443,0,3,446,0
106,1,41,198,175,0,0,1,0,190,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,611,0,5,616,0
107,0,27,206,144,1,0,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,3,514,0
108,0,24,182,129,0,1,1,0,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,3,484,0
109,1,20,100,113,1,0,0,0,107,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,347,0,2,349,0
110,1,18,75,93,1,0,0,1,111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,302,0,0,302,0
111,1,23,206,180,3,0,1,0,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,7,655,0
112,0,21,237,179,2,0,1,0,205,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,650,0,8,658,0
113,0,20,74,320,1,0,2,0,273,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,697,0,4,701,0
114,1,19,126,177,0,5,0,2,286,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,621,0,3,624,0
115,2,32,257,146,1,0,1,1,371,3,0,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,821,0,2,823,0
116,1,28,121,167,3,0,0,0,285,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,611,0,2,613,0
117,0,31,120,97,0,0,0,0,128,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,381,0,7,388,0
118,2,36,80,257,1,1,1,0,311,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,695,0,4,699,0
119,0,43,88,186,3,0,1,0,255,2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,584,0,7,591,0
120,0,25,163,139,1,9,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,555,0,4,559,0
121,3,7,146,136,0,0,1,1,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,455,0,10,465,0
122,2,32,149,179,0,0,1,0,301,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,672,0,6,678,0
123,0,21,63,121,0,0,0,0,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,3,347,0
124,0,41,212,187,1,3,1,3,263,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,715,0,5,720,0
125,4,32,218,215,0,3,0,3,365,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,1,1,849,0,6,855,0
126,0,20,171,147,1,1,0,3,257,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,4,606,0
127,2,36,221,207,0,0,0,0,427,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,900,0,2,902,0
128,1,21,174,98,1,2,1,1,227,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,529,0,1,530,0
129,3,28,191,137,2,0,1,0,207,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,1,578,0,5,583,0
130,2,32,153,191,2,0,2,1,291,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,680,0,6,686,0
131,3,15,189,171,5,2,2,1,385,0,0,1,0,1,0,0,1,1,0,1,2,1,0,0,0,0,1,1,783,0,3,786,0
132,1,21,166,165,1,2,0,0,246,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,607,0,1,608,0
133,0,27,242,162,1,0,1,0,183,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,622,0,2,624,0
134,1,21,108,104,2,0,0,1,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,403,0,3,406,0
135,2,20,127,167,2,5,0,0,205,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,531,0,3,534,0
136,0,27,155,167,2,0,0,1,224,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,584,0,2,586,0
137,5,31,135,152,2,0,1,0,203,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,535,0,6,541,0
138,1,36,120,162,0,2,0,0,259,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,588,0,3,591,0
139,0,24,137,119,2,0,1,0,180,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,468,0,6,474,0
140,2,24,121,158,0,0,1,0,147,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,456,0,4,460,0
141,1,17,165,142,0,0,0,0,161,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,3,491,0
142,3,19,191,130,0,2,0,0,308,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,659,0,2,661,0
143,1,8,99,102,2,0,0,0,171,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,386,0,0,386,0
144,2,35,161,201,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,2,740,0
145,1,20,186,213,3,0,0,1,299,1,1,0,1,0,0,0,0,2,1,1,0,0,0,1,2,0,1,0,734,0,0,734,0
146,1,28,123,136,3,0,1,2,304,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,603,0,3,606,0
147,2,24,155,164,2,0,0,2,273,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,1,630,0,2,632,0
148,0,18,176,163,0,0,1,0,231,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,592,0,9,601,0
149,4,32,187,230,2,0,0,3,371,1,0,2,0,0,0,0,3,2,1,4,2,1,0,0,1,1,0,2,849,0,2,851,0
150,0,26,188,139,0,0,0,0,177,1,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,540,0,3,543,0
151,3,30,149,213,1,1,0,3,288,0,1,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,697,0,4,701,0
152,1,26,248,135,1,0,1,1,227,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,647,0,7,654,0
153,3,35,204,127,0,1,1,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,495,0,10,505,0
154,0,20,169,109,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,444,0,10,454,0
155,1,31,234,156,1,0,2,1,261,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,693,0,5,698,0
156,0,29,173,205,0,0,1,1,314,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,729,0,1,730,0
157,1,31,240,166,2,2,1,0,312,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,761,0,3,764,0
