Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
77,109,175,27,246,3,1,4,1,3,0,569,0,3,569,0,3,572,0
78,275,197,20,208,0,2,0,1,0,2,705,0,3,705,0,3,708,0
79,153,156,51,224,0,1,1,0,3,0,589,0,3,589,0,3,592,0
80,132,120,28,99,2,2,1,0,0,0,384,0,2,384,0,2,386,0
81,345,154,56,289,0,2,2,5,7,3,863,0,13,863,0,13,876,0
82,147,120,47,387,1,1,3,4,2,3,715,0,5,715,0,5,720,0
83,297,234,73,193,0,1,2,8,0,3,811,0,5,811,0,5,816,0
84,78,71,15,110,1,1,0,1,1,2,280,0,4,280,0,4,284,0
85,253,130,32,184,1,1,0,4,0,4,609,0,4,609,0,4,613,0
86,211,33,13,140,0,0,2,2,2,0,403,0,6,403,0,6,409,0
87,228,147,48,237,1,2,0,1,3,1,668,0,4,668,0,4,672,0
88,118,222,44,271,0,1,1,1,0,0,658,0,1,658,0,1,659,0
89,194,202,48,311,4,1,1,3,2,3,769,0,5,769,0,5,774,0
90,147,109,19,174,2,0,0,0,1,3,455,0,1,455,0,1,456,0
91,151,234,71,289,3,2,0,7,3,1,761,0,2,761,0,2,763,0
92,122,111,27,143,1,1,0,0,1,2,408,0,6,408,0,6,414,0
93,221,87,35,216,4,1,2,4,2,4,576,0,9,576,0,9,585,0
94,261,173,44,209,3,2,0,1,3,2,698,0,6,698,0,6,704,0
95,306,168,85,150,0,0,1,3,2,3,718,0,6,718,0,6,724,0
96,219,209,22,176,0,7,1,2,1,0,637,0,5,637,0,5,642,0
97,224,195,30,200,2,8,2,1,1,7,670,0,6,670,0,6,676,0
98,331,208,117,253,3,4,1,2,1,5,925,0,7,925,0,7,932,0
99,130,119,43,322,0,0,0,1,1,2,618,0,3,618,0,3,621,0
100,210,178,19,142,3,2,0,1,0,1,556,0,1,556,0,1,557,0
101,287,66,37,190,0,1,1,2,1,3,588,0,3,588,0,3,591,0
102,235,173,35,200,4,2,0,0,2,4,655,0,5,655,0,5,660,0
103,101,79,19,104,0,0,0,1,0,0,304,0,2,304,0,2,306,0
104,283,261,40,205,6,0,1,3,0,1,800,0,5,800,0,5,805,0
105,257,150,30,425,6,3,2,5,3,4,885,0,5,885,0,5,890,0
106,60,169,60,148,0,1,0,5,0,0,443,0,0,443,0,0,443,0
107,218,235,72,251,6,3,1,1,2,2,791,0,7,791,0,7,798,0
108,184,197,28,245,0,5,1,5,1,2,668,0,6,668,0,6,674,0
109,121,164,28,228,1,1,1,2,1,0,547,0,0,547,0,0,547,0
110,295,283,38,243,2,1,3,6,2,4,877,0,11,877,0,11,888,0
111,176,181,27,246,3,1,0,0,1,2,637,0,4,637,0,4,641,0
112,186,101,29,270,3,2,1,3,3,4,602,0,5,602,0,5,607,0
113,145,111,19,207,0,0,2,2,0,0,486,0,2,486,0,2,488,0
114,174,161,11,221,0,1,1,1,1,4,575,0,4,575,0,4,579,0
115,204,197,75,283,1,0,1,2,3,4,770,0,9,770,0,9,779,0
116,139,156,55,250,1,0,3,2,2,3,611,0,3,611,0,3,614,0
117,288,194,43,271,0,3,0,2,0,2,803,0,4,803,0,4,807,0
118,382,240,52,220,7,0,0,2,3,2,908,0,6,908,0,6,914,0
119,297,223,17,173,0,2,0,3,2,1,718,0,0,718,0,0,718,0
120,222,226,42,272,1,3,5,4,2,2,779,0,5,779,0,5,784,0
121,273,137,30,224,2,1,3,4,0,2,676,0,2,676,0,2,678,0
122,206,123,26,158,0,1,0,0,1,1,516,0,4,516,0,4,520,0
123,195,188,29,289,1,1,0,2,3,3,711,0,3,711,0,3,714,0
124,183,219,31,168,1,0,2,1,3,3,611,0,0,611,0,0,611,0
125,248,288,35,202,1,2,0,0,0,4,780,0,2,780,0,2,782,0
126,243,197,45,282,2,3,2,2,2,1,779,0,1,779,0,1,780,0
127,173,172,41,247,1,2,2,1,2,3,644,0,1,644,0,1,645,0
128,206,142,71,374,3,4,4,2,6,3,815,0,8,815,0,8,823,0
129,117,189,50,267,2,1,2,3,0,0,631,0,5,631,0,5,636,0
130,243,263,35,274,1,2,1,1,1,2,823,0,7,823,0,7,830,0
131,281,193,76,412,2,8,2,3,0,3,980,0,3,980,0,3,983,0
132,200,209,34,252,2,0,1,6,1,7,712,0,9,712,0,9,721,0
133,182,263,42,297,1,6,0,4,4,2,801,0,14,801,0,14,815,0
134,308,215,61,248,2,2,1,3,2,3,845,0,3,845,0,3,848,0
135,346,165,35,290,4,2,0,2,1,5,850,0,4,850,0,4,854,0
136,404,183,48,222,3,3,2,2,0,6,873,0,8,873,0,8,881,0
137,184,180,33,146,0,7,0,4,2,1,557,0,1,557,0,1,558,0
138,128,132,20,236,1,2,0,1,0,0,520,0,1,520,0,1,521,0
139,199,182,35,410,1,6,0,2,0,4,839,0,6,839,0,6,845,0
140,260,187,48,320,6,3,3,0,0,3,830,0,2,830,0,2,832,0
141,114,314,21,284,0,8,0,0,1,1,743,0,3,743,0,3,746,0
142,163,250,61,325,0,8,0,2,0,2,811,0,0,811,0,0,811,0
143,91,141,37,340,1,10,1,0,0,1,622,0,1,622,0,1,623,0
144,80,130,15,310,2,6,2,2,0,0,547,0,2,547,0,2,549,0
145,116,62,12,213,2,69,1,2,0,0,477,0,2,477,0,2,479,0
146,256,106,32,302,0,10,4,0,1,0,711,0,3,711,0,3,714,0
147,264,216,41,298,2,1,2,1,1,1,827,0,5,827,0,5,832,0
148,164,104,35,259,1,2,0,4,3,0,572,0,1,572,0,1,573,0
149,169,134,64,307,2,8,2,2,5,2,695,0,6,695,0,6,701,0
150,301,198,42,98,1,0,0,1,1,0,642,0,3,642,0,3,645,0
151,104,127,21,188,0,3,1,3,1,2,450,0,3,450,0,3,453,0
152,84,209,27,231,0,6,1,0,0,2,560,0,4,560,0,4,564,0
153,266,136,27,154,2,1,0,3,1,5,595,0,3,595,0,3,598,0
154,169,160,37,219,0,16,1,3,0,1,606,0,4,606,0,4,610,0
155,264,106,19,169,3,0,2,0,0,3,566,0,13,566,0,13,579,0
156,149,212,17,182,1,2,0,1,1,0,565,0,2,565,0,2,567,0
157,159,135,24,177,1,1,0,1,1,0,499,0,3,499,0,3,502,0
158,140,181,32,151,0,0,0,0,1,0,505,0,2,505,0,2,507,0
159,186,109,55,206,4,4,1,3,3,1,572,0,4,572,0,4,576,0
160,214,137,60,329,3,3,1,5,4,7,763,0,7,763,0,7,770,0
161,57,82,27,81,2,0,0,0,1,0,250,0,1,250,0,1,251,0
162,94,270,66,282,1,1,1,1,2,3,721,0,3,721,0,3,724,0
163,212,160,21,265,0,3,2,1,7,3,674,0,8,674,0,8,682,0
164,142,213,37,132,1,61,2,4,1,2,595,0,3,595,0,3,598,0
165,104,110,12,146,3,6,0,2,1,1,385,0,2,385,0,2,387,0
166,176,175,22,226,3,1,1,3,0,2,609,0,10,609,0,10,619,0
167,258,250,49,175,4,12,1,3,0,4,756,0,7,756,0,7,763,0
168,133,128,37,171,0,3,2,5,0,2,481,0,7,481,0,7,488,0
169,183,160,41,322,1,4,1,5,2,0,719,0,11,719,0,11,730,0
170,182,196,56,232,3,0,0,1,2,4,676,0,4,676,0,4,680,0
171,174,123,33,182,0,0,1,0,2,1,516,0,4,516,0,4,520,0
172,313,118,33,294,1,0,2,4,6,2,773,0,9,773,0,9,782,0
173,324,235,26,137,0,4,0,0,2,1,729,0,7,729,0,7,736,0
174,199,133,17,154,1,0,2,2,0,1,509,0,5,509,0,5,514,0
175,191,181,35,271,3,4,1,0,2,3,691,0,1,691,0,1,692,0
176,230,90,65,250,9,2,1,5,2,4,658,0,3,658,0,3,661,0
177,167,104,45,191,1,0,1,3,3,5,520,0,6,520,0,6,526,0
178,286,242,63,199,1,10,4,5,2,7,819,0,12,819,0,12,831,0
179,242,237,82,254,0,4,1,2,2,1,825,0,4,825,0,4,829,0
180,328,126,67,363,2,1,0,7,5,0,899,0,5,899,0,5,904,0
181,154,172,32,194,3,3,2,3,2,2,567,0,1,567,0,1,568,0
182,254,104,32,219,1,0,1,5,1,2,619,0,7,619,0,7,626,0
183,164,116,38,248,0,1,0,4,1,1,573,0,6,573,0,6,579,0
184,147,113,29,270,1,0,0,4,1,5,570,0,5,570,0,5,575,0
185,281,243,55,286,3,1,2,5,5,6,887,0,12,887,0,12,899,0
186,244,121,28,196,1,0,3,2,2,2,599,0,7,599,0,7,606,0
187,155,212,48,306,3,3,5,2,1,4,739,0,6,739,0,6,745,0
188,243,241,43,319,4,3,2,3,3,4,865,0,10,865,0,10,875,0
189,249,86,46,192,2,1,0,2,3,3,584,0,9,584,0,9,593,0
190,161,143,21,190,1,4,2,2,0,6,530,0,8,530,0,8,538,0
191,283,189,46,232,3,1,0,3,2,1,760,0,5,760,0,5,765,0
192,85,94,19,104,0,1,1,1,0,1,306,0,2,306,0,2,308,0
193,157,137,42,324,1,4,2,3,4,6,680,0,7,680,0,7,687,0
194,160,303,57,185,0,1,1,1,1,1,710,0,6,710,0,6,716,0
195,131,181,28,328,5,5,1,2,1,0,682,0,9,682,0,9,691,0
196,96,134,22,234,2,4,3,10,2,1,508,0,4,508,0,4,512,0
197,207,59,19,175,2,2,1,1,3,2,471,0,4,471,0,4,475,0
198,215,246,53,251,2,4,1,6,1,1,780,0,5,780,0,5,785,0
199,209,199,45,151,2,1,0,1,3,5,616,0,7,616,0,7,623,0
200,287,161,30,175,2,0,1,1,4,0,661,0,5,661,0,5,666,0
201,201,252,64,168,1,1,2,0,3,3,695,0,2,695,0,2,697,0
202,210,137,58,302,1,1,5,4,1,4,723,0,7,723,0,7,730,0
203,139,165,47,211,1,0,3,2,2,3,573,0,7,573,0,7,580,0
204,176,134,20,150,0,0,0,3,0,1,484,0,2,484,0,2,486,0
205,70,179,20,198,1,0,1,2,1,3,475,0,1,475,0,1,476,0
206,178,181,23,94,0,0,1,2,0,3,482,0,2,482,0,2,484,0
207,106,211,36,201,2,2,1,2,2,6,569,0,7,569,0,7,576,0
208,141,171,37,137,1,1,0,2,2,0,492,0,2,492,0,2,494,0
209,180,97,24,235,8,4,3,5,4,9,569,0,10,569,0,10,579,0
210,133,212,71,180,1,1,4,0,0,1,603,0,2,603,0,2,605,0
211,267,184,48,182,1,1,2,0,1,0,686,0,6,686,0,6,692,0
212,183,188,29,125,1,1,0,0,0,4,531,0,7,531,0,7,538,0
213,128,283,8,74,0,0,0,0,2,0,495,0,5,495,0,5,500,0
214,239,316,35,198,1,2,0,2,4,4,801,0,7,801,0,7,808,0
215,112,249,20,143,0,1,2,2,3,0,532,0,2,532,0,2,534,0
216,249,352,60,276,1,3,2,1,2,2,948,0,4,948,0,4,952,0
217,156,156,27,151,3,0,2,2,0,0,497,0,3,497,0,3,500,0
218,175,173,60,202,1,1,1,4,5,4,626,0,8,626,0,8,634,0
219,203,280,56,238,2,3,3,4,1,3,793,0,3,793,0,3,796,0
220,220,276,26,270,3,4,1,3,2,3,808,0,3,808,0,3,811,0
221,62,140,30,46,1,1,1,0,1,0,282,0,2,282,0,2,284,0
222,199,239,30,185,2,1,0,4,4,3,667,0,5,667,0,5,672,0
223,183,200,35,281,2,1,3,3,2,4,714,0,6,714,0,6,720,0
224,291,216,12,307,4,2,1,5,0,2,840,0,1,840,0,1,841,0
225,253,148,35,298,1,1,0,6,4,4,750,0,9,750,0,9,759,0
226,137,97,41,255,4,2,1,5,0,3,545,0,4,545,0,4,549,0
227,224,229,60,324,3,6,4,7,0,3,860,0,4,860,0,4,864,0
228,194,255,64,296,3,5,1,24,1,2,845,0,3,845,0,3,848,0
229,220,241,34,305,1,13,1,6,0,2,823,0,4,823,0,4,827,0
230,122,97,24,294,5,0,2,1,6,1,552,0,6,552,0,6,558,0
231,70,101,11,120,1,0,1,0,0,0,304,0,1,304,0,1,305,0
232,343,191,55,238,0,3,0,1,1,1,833,0,3,833,0,3,836,0
233,269,187,65,237,1,4,6,3,3,2,777,0,7,777,0,7,784,0
234,245,214,59,253,0,11,11,1,3,3,800,0,5,800,0,5,805,0
235,121,284,21,191,1,1,1,1,0,2,623,0,4,623,0,4,627,0
236,44,398,15,208,3,3,2,1,0,0,674,0,1,674,0,1,675,0
237,12,469,10,195,0,0,0,1,0,4,691,0,1,691,0,1,692,0
238,380,106,32,287,0,2,3,3,3,3,819,0,10,819,0,10,829,0
239,186,162,19,283,2,0,3,4,1,3,663,0,6,663,0,6,669,0
240,159,148,32,214,1,0,0,1,0,1,556,0,3,556,0,3,559,0
241,112,167,22,197,0,1,0,2,0,1,502,0,3,502,0,3,505,0
242,12,531,16,128,0,0,1,1,0,0,689,0,1,689,0,1,690,0
243,210,243,27,238,0,0,0,1,3,2,724,0,4,724,0,4,728,0
244,148,121,15,208,0,1,1,1,0,1,496,0,1,496,0,1,497,0
245,58,282,6,173,1,0,1,0,1,0,522,0,0,522,0,0,522,0
246,92,162,47,228,0,1,1,3,0,0,534,0,3,534,0,3,537,0
247,86,249,21,202,1,1,2,17,1,2,582,0,1,582,0,1,583,0
248,72,393,20,282,1,1,1,3,1,1,775,0,1,775,0,1,776,0
249,213,226,34,247,0,0,1,7,1,0,729,0,0,729,0,0,729,0
250,108,141,39,133,0,1,1,15,0,2,440,0,0,440,0,0,440,0
