Polling Station No,GANESAN V.G.,LAKSHMANAN,VIJAYAPRABHAKAR,SELVAM P,BALASUBRAMANIAM M,RATHINARAJA S,VIKRAMAN N,AMIRTHA PANDI M.V,AJAY I,GUNASUNDARAM R,GURUSAMY S,SANTHOSH KUMAR R,SUBBURAJ K,MUTHUVEL S,RANJITH S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,141,9,156,211,3,1,1,0,1,0,0,0,2,0,1,526,0,4,530,0
39,177,63,224,239,2,1,2,0,3,0,1,1,1,2,0,716,0,2,718,0
40,237,70,167,279,1,0,0,0,2,1,2,1,2,2,0,764,0,5,769,0
41,143,46,147,190,1,2,1,1,4,1,1,0,2,5,0,544,0,7,551,0
42,30,59,226,145,15,0,0,2,4,0,1,1,1,0,1,485,0,1,486,0
43,172,22,190,498,1,0,0,0,11,1,0,7,1,3,0,906,0,6,912,0
44,77,15,95,152,1,0,0,0,2,0,0,0,4,1,0,347,0,3,350,0
45,107,28,109,247,1,0,0,1,1,0,0,1,0,1,0,496,0,3,499,0
46,e 1170,15,136,135,0,0,1,0,2,1,0,1,1,1,0,463,0,5,468,0
47,239,15,118,158,1,1,0,0,2,1,0,0,1,2,0,538,0,2,540,0
48,110,38,191,229,42,0,1,2,3,0,1,1,4,6,1,629,0,5,634,0
49,87,38,281,194,38,0,0,0,4,1,1,1,8,6,0,659,0,0,659,0
50,179,17,96,148,0,1,0,0,1,0,0,0,0,1,0,443,0,0,443,0
51,152,16,135,181,2,0,1,0,2,0,0,1,3,2,0,495,0,3,498,0
52,198,27,297,143,0,1,0,1,2,1,0,0,1,6,0,677,0,3,680,0
53,83,56,244,156,57,1,0,0,4,0,1,1,2,1,1,607,0,0,607,0
54,92,33,272,245,39,0,1,1,5,0,0,0,1,3,0,692,0,0,692,0
55,166,56,262,302,22,1,0,0,8,1,1,1,3,5,0,828,0,2,830,0
56,79,62,228,251,39,2,0,1,2,0,0,0,2,0,0,666,0,0,666,0
57,44,25,155,80,33,0,1,1,3,0,0,0,1,2,0,345,0,1,346,1
58,173,21,200,109,20,0,0,0,2,0,1,0,3,3,1,533,0,7,540,0
59,121,28,245,248,15,1,0,0,3,1,2,2,2,7,3,678,0,1,679,0
60,107,14,97,183,10,1,0,0,1,0,0,0,1,3,0,417,0,2,419,0
61,177,20,212,149,21,0,0,0,1,0,2,0,1,9,0,592,0,3,595,0
62,124,54,232,192,7,0,0,0,3,0,0,1,1,0,0,614,0,3,617,0
63,219,56,295,206,16,0,0,1,3,0,2,0,6,5,0,809,0,8,817,0
64,182,28,290,188,6,0,1,1,3,2,3,0,2,3,1,710,0,6,716,0
65,90,69,275,239,11,0,0,2,4,0,0,0,1,5,0,696,0,0,696,0
66,62,46,212,179,9,0,0,0,1,0,0,0,1,3,1,514,0,2,516,0
67,107,11,281,267,1,0,0,0,0,0,0,1,1,4,1,674,0,4,678,0
68,138,28,178,187,2,1,0,0,1,1,1,1,0,0,0,538,0,2,540,0
69,61,53,253,297,62,0,1,0,5,0,1,0,0,8,0,741,0,2,743,0
70,206,19,384,239,0,0,1,0,4,0,0,0,0,7,0,860,0,3,863,0
71,107,18,189,166,3,0,0,1,0,0,0,0,0,3,0,487,0,0,487,0
72,173,50,387,271,23,1,0,0,0,2,2,1,1,4,0,915,0,1,916,0
73,128,63,288,381,18,0,1,1,5,1,2,4,5,4,0,901,0,5,906,0
74,89,32,184,219,1,2,0,0,3,3,0,0,0,0,2,535,0,6,541,0
75,80,40,189,272,6,0,1,0,0,0,0,0,0,1,0,589,0,2,591,0
76,90,35,130,185,2,0,0,0,1,1,0,0,0,0,0,444,0,4,448,0
77,130,38,181,354,7,1,0,0,0,2,0,0,0,0,1,714,0,10,724,0
78,83,50,144,215,5,0,0,0,2,2,0,2,0,0,0,503,0,6,509,0
79,79,43,156,262,2,1,1,1,2,0,0,1,0,3,2,553,0,10,563,0
80,61,37,118,211,1,0,0,0,0,1,1,0,0,0,0,430,0,2,432,0
81,93,52,218,434,7,1,0,0,6,1,2,0,1,1,0,816,0,8,824,0
82,65,37,128,217,2,1,0,1,3,1,0,0,0,1,1,457,0,2,459,0
83,73,36,87,256,3,0,0,0,1,0,1,1,0,2,1,461,0,5,466,0
84,136,41,170,156,0,0,0,2,1,0,0,0,0,1,1,508,0,0,508,0
85,160,18,166,201,1,0,0,1,1,0,0,0,0,0,0,548,0,2,550,0
86,102,26,139,439,0,1,0,1,0,1,2,1,1,2,0,715,0,2,717,0
87,97,18,106,242,3,2,0,0,0,0,3,0,3,1,0,475,0,0,475,0
88,96,22,107,133,2,0,0,1,3,2,0,0,0,0,0,366,0,3,369,0
89,78,41,129,224,12,0,0,1,0,0,0,1,0,1,1,488,0,4,492,0
90,107,46,201,224,0,0,2,2,1,1,0,0,0,0,0,584,0,6,590,0
91,29,8,64,60,1,0,0,1,1,1,0,1,0,0,0,166,0,5,171,0
92,e 270,24,251,262,21,0,0,15,2,1,1,3,2,2,1,655,0,1,656,0
93,96,27,138,154,0,1,0,0,5,2,2,0,2,2,0,429,0,1,430,0
94,165,32,143,204,1,0,0,0,2,0,0,0,0,1,0,548,0,3,551,0
95,209,36,268,279,32,3,1,0,1,1,1,0,3,2,0,836,0,5,841,0
96,251,95,324,318,0,0,0,2,2,2,1,2,5,3,1,1006,0,5,1011,0
97,135,47,202,392,3,0,0,0,1,0,2,0,0,4,0,786,0,4,790,0
98,136,40,210,412,5,2,0,2,6,0,1,1,2,0,1,818,0,4,822,0
99,117,33,189,297,0,0,0,1,1,1,0,1,4,2,1,647,0,3,650,0
100,70,36,170,345,1,0,0,0,4,0,1,0,1,0,0,628,0,3,631,0
101,80,23,96,212,1,0,0,0,2,1,0,0,0,0,0,415,0,2,417,0
102,58,7,169,240,1,1,0,0,2,0,0,1,4,1,1,485,0,2,487,0
103,122,45,161,235,0,0,0,0,0,0,0,1,0,3,0,567,0,1,568,0
104,79,17,108,242,4,1,0,0,0,0,0,0,1,1,0,453,0,4,457,0
105,135,27,136,203,2,0,0,1,1,0,0,0,1,2,0,508,0,3,511,0
106,111,37,191,275,4,0,0,1,5,1,0,0,0,0,0,625,0,4,629,0
107,60,19,68,104,0,0,0,0,0,0,0,0,0,0,0,251,0,1,252,0
108,172,46,204,396,2,0,1,1,1,0,2,1,3,1,0,830,0,7,837,0
109,116,36,197,345,3,1,0,0,2,2,0,0,1,1,1,705,0,6,711,0
110,131,39,226,381,0,1,0,2,2,2,0,0,0,0,0,784,0,8,792,0
111,97,29,155,218,2,0,1,0,0,2,0,0,0,0,0,504,0,9,513,0
112,83,18,73,138,4,0,0,0,0,0,2,0,0,0,0,318,0,3,321,0
113,123,19,166,203,1,0,0,1,0,2,1,0,0,0,0,516,0,2,518,0
114,132,25,137,186,0,1,1,0,1,0,0,0,1,0,1,485,0,6,491,0
115,174,27,157,315,0,0,0,0,0,2,0,0,0,1,0,676,0,7,683,0
116,104,19,150,158,1,0,0,0,0,0,1,0,0,2,0,435,0,6,441,0
117,115,22,201,224,1,1,0,0,0,0,0,0,0,0,0,564,0,4,568,0
118,129,33,177,433,0,1,0,0,2,1,1,1,0,2,0,780,0,6,786,0
119,107,38,207,283,0,0,0,1,1,4,0,0,0,0,0,641,0,5,646,0
120,91,19,124,188,0,0,0,0,2,0,1,0,1,0,0,426,0,9,435,0
121,182,40,203,314,0,1,0,1,2,2,0,1,0,1,1,748,0,2,750,0
122,109,37,156,246,2,0,0,0,2,2,2,0,1,0,0,557,0,5,562,0
123,67,17,362,174,0,1,0,0,3,1,0,0,0,0,0,625,0,10,635,0
124,136,24,199,237,0,0,0,2,1,3,2,1,0,0,1,606,0,3,609,0
125,66,14,115,88,0,0,0,0,0,0,0,0,0,2,0,285,0,3,288,0
126,82,34,211,284,11,1,0,1,1,0,0,0,3,1,0,629,0,7,636,0
127,88,17,70,98,0,0,0,0,2,0,0,1,0,0,1,277,0,2,279,0
128,106,27,108,197,0,0,2,0,0,1,2,1,0,3,0,447,0,3,450,0
129,124,29,128,203,2,2,2,0,2,4,1,0,0,1,1,499,0,9,508,0
130,114,36,171,247,0,0,1,1,2,1,0,1,0,0,0,574,0,8,582,0
131,90,21,114,168,0,0,0,0,1,1,0,0,0,0,0,395,0,2,397,0
132,115,17,110,168,0,2,0,0,2,1,0,1,0,1,0,417,0,4,421,0
133,166,26,131,157,1,0,0,0,0,2,1,0,2,1,0,487,0,2,489,0
134,175,35,266,362,0,1,0,0,5,1,3,0,1,4,0,853,0,4,857,0
135,119,32,228,209,0,0,0,0,4,0,0,0,0,0,0,592,0,1,593,0
136,88,30,560,226,0,0,0,0,0,0,0,1,1,1,0,907,0,3,910,0
137,53,15,424,181,0,0,0,2,1,1,0,0,1,1,1,680,0,3,683,0
138,e 380,14,208,169,0,1,0,0,0,0,0,0,0,0,0,472,0,3,475,0
139,88,28,348,208,1,0,0,0,5,0,0,2,1,1,0,682,0,1,683,0
140,110,27,415,203,0,1,0,0,1,6,0,0,2,0,1,766,0,5,771,0
141,135,26,140,220,0,0,1,0,2,2,0,1,0,0,1,528,0,4,532,0
142,52,11,502,151,0,0,0,0,0,1,0,1,0,0,0,718,0,2,720,0
143,51,14,51,80,0,0,0,0,0,1,0,0,0,0,0,197,0,2,199,0
144,164,38,185,313,1,1,0,0,1,2,0,1,1,1,1,709,0,5,714,0
145,62,26,149,216,0,0,0,0,0,0,0,0,0,1,1,455,0,3,458,0
146,89,48,255,327,0,2,1,3,2,2,0,1,0,0,1,731,0,2,733,0
147,106,37,173,202,0,1,0,0,1,1,0,0,0,5,0,526,0,6,532,0
148,108,43,348,373,0,3,1,0,1,0,0,0,2,3,0,882,0,5,887,0
149,75,19,65,138,0,0,0,0,2,0,0,0,0,1,1,301,0,4,305,0
150,140,38,156,328,2,2,0,0,2,0,0,0,0,1,0,669,0,8,677,0
151,136,66,221,371,1,0,0,1,2,0,1,0,0,0,0,799,0,3,802,0
152,142,52,212,341,0,1,0,0,2,0,0,0,0,0,0,750,0,6,756,0
153,163,75,233,358,0,1,1,2,3,2,0,0,0,0,0,838,0,14,852,0
154,81,18,83,154,0,2,1,0,2,3,0,0,0,1,0,345,0,3,348,0
155,165,29,146,250,0,0,0,1,2,4,0,0,0,0,0,597,0,3,600,0
156,141,32,153,211,0,1,1,0,1,5,0,0,0,0,0,545,0,1,546,0
157,99,26,100,190,1,3,1,0,2,0,0,1,0,1,0,424,0,7,431,0
158,140,36,173,300,1,2,0,1,2,2,1,0,0,0,1,659,0,7,666,0
159,166,29,163,284,2,1,1,0,2,3,1,0,0,2,3,657,0,9,666,0
160,71,27,82,152,0,1,0,0,1,1,0,0,0,0,1,336,0,7,343,0
161,153,40,165,198,0,1,0,2,1,13,2,0,0,0,0,575,0,6,581,0
162,120,35,169,241,0,1,3,1,1,3,0,1,0,0,0,575,0,3,578,0
163,67,16,110,151,1,0,0,0,2,0,0,0,0,1,0,348,0,2,350,0
164,103,38,185,261,1,0,0,0,1,1,1,0,0,1,1,593,0,8,601,0
165,125,45,160,361,0,2,0,0,2,0,0,0,0,0,0,695,0,3,698,0
166,74,27,71,199,1,0,0,0,2,0,0,0,1,2,0,377,0,2,379,0
167,77,29,167,306,1,1,1,0,1,0,0,0,0,0,1,584,0,3,587,0
168,55,28,109,144,0,1,0,0,2,0,0,0,1,0,0,340,0,1,341,0
169,75,37,151,335,2,0,0,0,3,3,1,0,2,0,0,609,0,5,614,0
170,103,39,172,359,1,1,0,1,1,2,1,0,0,0,0,680,0,5,685,0
171,101,41,112,200,0,1,0,0,0,0,0,0,1,0,1,457,0,1,458,0
172,166,53,211,342,1,0,1,1,1,1,1,0,3,1,2,784,0,7,791,0
173,131,29,243,281,1,0,0,0,1,1,1,0,2,1,1,692,0,4,696,0
174,118,30,132,205,0,0,1,0,2,0,0,0,1,0,0,489,0,4,493,0
175,106,45,306,380,4,0,0,0,3,0,2,2,0,2,0,850,0,4,854,0
176,138,59,204,393,2,1,1,0,2,0,0,1,2,0,0,803,0,5,808,0
177,72,26,164,204,0,0,0,0,1,1,0,0,1,0,0,469,0,4,473,0
178,70,47,143,305,1,0,0,0,1,0,1,0,0,0,0,568,0,1,569,0
179,96,18,93,141,1,0,0,0,1,2,0,1,1,1,0,355,0,1,356,0
180,85,23,139,234,4,0,1,0,1,0,0,2,0,1,0,490,0,0,490,0
181,187,37,198,391,1,0,1,0,4,1,0,1,1,2,0,824,0,4,828,0
182,87,35,216,327,1,1,0,1,2,1,1,0,0,1,1,674,0,3,677,0
183,66,13,131,273,3,0,0,0,3,0,0,0,1,4,0,494,0,3,497,0
184,e 4161,19,155,347,2,0,1,0,0,0,1,0,0,0,1,687,0,4,691,0
185,120,46,192,398,4,2,1,0,0,2,0,0,2,1,0,768,0,3,771,0
186,66,42,260,401,2,0,1,0,0,0,2,0,0,0,0,774,0,1,775,0
187,94,28,190,307,1,0,2,4,1,1,0,0,0,2,0,630,0,1,631,0
188,74,39,74,222,2,1,0,0,0,1,0,2,1,0,0,416,0,4,420,0
189,149,98,211,309,6,0,0,0,1,0,1,0,2,5,2,784,0,1,785,0
190,52,25,98,194,0,0,0,0,1,1,0,0,1,3,0,375,0,2,377,0
191,134,25,152,302,4,1,0,0,0,0,1,0,0,0,0,619,0,4,623,0
192,175,50,146,366,1,1,2,2,1,0,1,0,1,0,1,747,0,4,751,0
193,99,45,142,261,0,0,1,1,0,0,0,0,0,1,0,550,0,6,556,0
194,88,53,143,265,0,0,0,0,2,0,0,0,0,0,0,551,0,7,558,0
195,108,52,157,304,0,0,0,0,0,0,1,1,1,0,2,626,0,6,632,0
196,55,25,71,171,0,1,0,0,0,2,0,0,1,1,1,328,0,3,331,0
197,134,36,148,226,0,0,0,0,1,0,1,0,0,1,2,549,0,6,555,0
198,234,42,364,380,1,0,1,1,1,1,2,0,0,4,1,1032,0,7,1039,0
199,93,15,84,113,0,1,1,0,0,0,0,1,1,0,0,309,0,4,313,0
200,125,15,188,101,0,0,0,0,0,0,0,1,0,3,0,433,0,1,434,0
201,143,18,129,164,0,0,1,0,3,0,0,0,1,0,1,460,0,2,462,0
202,154,47,161,175,1,1,0,1,0,1,0,0,1,0,1,543,0,3,546,0
203,185,20,143,120,0,0,0,1,0,1,0,2,0,0,0,472,0,0,472,0
204,101,60,299,186,13,0,0,0,4,0,1,0,1,1,0,666,0,1,667,0
205,123,36,232,229,0,0,0,0,4,1,1,0,4,2,1,633,0,5,638,0
206,121,21,119,161,3,0,0,0,2,2,2,0,1,1,0,433,0,0,433,0
207,89,54,254,354,13,0,0,0,5,0,0,0,1,2,0,772,0,7,779,0
208,123,44,282,244,13,1,2,0,6,0,0,0,2,1,1,719,0,2,721,0
209,99,78,275,233,19,1,1,0,2,0,1,1,4,2,1,717,0,7,724,0
210,95,43,228,318,1,0,1,0,1,0,0,0,0,0,1,688,0,3,691,0
211,49,26,121,262,5,0,1,0,0,0,0,1,0,0,0,465,0,2,467,0
212,53,13,115,114,5,0,1,0,4,0,1,0,0,1,0,307,0,1,308,0
213,48,33,108,155,2,2,0,0,1,1,0,0,0,1,0,351,0,4,355,0
214,29,21,38,110,1,0,0,0,0,0,0,0,0,0,1,200,0,1,201,0
215,151,34,161,359,2,0,0,0,1,1,0,0,0,1,0,710,0,3,713,0
216,72,17,123,223,3,0,0,0,1,0,1,1,0,0,1,442,0,0,442,0
217,75,22,160,240,1,0,0,0,3,0,0,0,0,1,0,502,0,2,504,0
218,110,25,141,162,1,1,0,1,3,1,1,0,1,1,0,448,0,2,450,0
219,71,34,148,190,0,2,0,0,1,0,0,0,0,4,0,450,0,3,453,0
220,77,46,151,333,1,2,0,0,0,1,0,0,0,0,0,611,0,2,613,0
221,144,33,112,301,0,0,0,0,1,2,0,1,0,0,0,594,0,3,597,0
222,64,16,85,183,2,0,1,0,1,0,0,0,1,1,0,354,0,1,355,0
223,100,35,118,249,1,0,0,0,0,1,1,0,2,2,0,509,0,3,512,0
224,120,43,130,381,0,1,0,1,1,1,3,0,1,3,0,685,0,6,691,0
225,80,31,107,227,2,0,0,0,1,0,1,1,1,1,0,452,0,5,457,0
226,60,23,103,198,2,0,0,0,0,0,1,0,0,0,0,387,0,1,388,0
227,126,54,160,437,2,4,0,0,1,2,0,1,0,1,1,789,0,7,796,0
228,146,44,157,291,1,1,1,0,3,1,0,0,2,4,0,651,0,1,652,0
229,101,38,140,334,1,0,0,1,1,0,1,1,1,1,0,620,0,6,626,0
230,e 5107,31,136,233,1,0,0,0,2,1,0,0,1,0,0,512,0,5,517,0
231,130,73,235,440,1,0,1,1,5,1,3,1,4,0,1,896,0,6,902,0
232,100,55,152,444,0,0,1,0,6,1,0,0,1,0,1,761,0,2,763,0
233,178,54,208,183,1,0,0,0,4,1,4,2,2,3,0,640,0,3,643,0
234,84,86,226,193,12,0,1,1,4,1,0,0,4,4,3,619,0,3,622,0
235,286,90,231,246,1,0,0,1,4,0,1,0,0,5,2,867,0,4,871,0
236,206,77,172,172,1,0,0,1,1,0,2,0,0,1,0,633,0,3,636,0
237,193,14,146,228,1,0,2,1,3,0,1,0,0,1,0,590,0,3,593,0
238,141,42,212,151,0,0,0,0,1,0,0,0,0,1,0,548,0,5,553,0
239,105,14,108,150,1,0,0,0,1,0,0,0,0,0,0,379,0,2,381,0
240,146,10,175,149,0,0,0,0,0,0,0,1,0,1,0,482,0,1,483,0
241,202,24,241,222,0,1,2,0,1,0,0,0,1,0,0,694,0,0,694,0
242,140,20,224,187,2,0,5,2,2,0,1,0,0,3,1,587,0,2,589,0
243,117,10,308,161,2,0,1,1,5,0,1,1,2,2,1,612,0,4,616,0
244,49,21,279,227,2,0,17,1,1,1,0,0,1,4,1,604,0,1,605,0
245,75,46,250,291,12,1,3,0,4,0,1,1,7,4,0,695,0,2,697,0
246,97,49,208,164,24,1,1,0,4,0,3,1,1,8,0,561,0,0,561,0
247,53,42,121,146,91,1,2,0,5,0,0,0,1,3,0,465,0,1,466,0
248,127,10,209,61,1,0,0,0,1,0,1,0,0,5,0,415,0,3,418,0
249,121,17,325,311,5,0,0,0,3,0,0,0,2,4,0,788,0,0,788,0
250,133,81,227,301,19,0,1,0,1,1,2,2,6,4,1,779,0,6,785,0
251,35,22,90,101,17,2,1,0,0,1,2,2,2,3,0,278,0,2,280,0
252,102,39,86,184,4,0,0,1,0,0,1,1,17,2,1,438,0,0,438,0
253,159,28,265,300,5,2,0,0,1,0,2,0,7,0,0,769,0,6,775,0
254,91,11,122,87,2,0,0,1,1,0,1,0,3,3,0,322,0,2,324,0
255,105,13,208,223,1,0,0,0,0,0,0,1,0,0,0,551,0,1,552,0
256,100,16,172,72,2,0,0,1,3,0,0,0,3,1,1,371,0,2,373,0
257,123,7,249,174,5,1,0,0,0,1,0,0,4,0,1,565,0,1,566,0
258,120,58,331,293,4,4,0,1,4,1,1,0,1,1,0,819,0,3,822,0
259,125,72,349,335,5,3,1,1,1,0,0,0,0,3,0,895,0,3,898,0
260,120,8,177,145,0,0,0,0,0,1,1,0,2,0,0,454,0,1,455,0
261,100,24,193,168,0,0,0,0,3,1,0,0,0,1,0,490,0,1,491,0
262,180,67,300,306,1,1,0,1,4,0,1,2,3,4,1,871,0,0,871,0
263,114,35,264,220,2,0,0,0,1,0,1,0,3,1,0,641,0,3,644,0
264,177,71,385,230,27,3,0,0,1,2,2,1,4,4,2,909,0,4,913,0
265,175,58,233,160,1,0,0,0,1,0,2,3,0,2,0,635,0,4,639,0
266,118,20,258,147,21,0,0,1,1,0,1,0,1,3,0,571,0,1,572,0
267,161,36,229,183,1,0,0,0,3,1,0,0,2,1,1,618,0,3,621,0
268,152,53,256,121,40,0,0,0,3,0,0,0,4,5,1,635,0,3,638,0
269,155,53,215,224,7,1,2,0,4,0,1,2,6,7,1,678,0,0,678,0
270,94,42,219,184,14,0,0,1,2,1,1,0,4,6,0,568,0,4,572,0
271,27,7,206,198,2,0,0,0,0,0,0,0,1,3,0,444,0,2,446,0
272,149,63,220,269,1,0,0,1,1,1,3,1,1,4,0,714,0,2,716,0
273,121,72,197,139,21,0,0,0,1,0,0,1,0,0,0,552,0,2,554,0
274,140,19,167,26,3,1,0,1,3,1,0,1,0,7,1,370,0,1,371,0
275,56,68,208,160,67,2,0,0,5,1,4,0,4,1,0,576,0,3,579,0
276,e 683,46,170,127,58,1,0,1,5,2,2,1,7,2,1,506,0,0,506,0
277,198,18,253,256,1,1,0,0,2,1,2,2,1,4,0,739,0,2,741,0
278,130,5,60,76,0,0,0,0,1,0,0,0,1,1,0,274,0,2,276,0
279,112,17,262,138,2,1,0,0,1,1,0,0,0,2,0,536,0,2,538,0
280,170,15,224,205,2,0,0,0,3,2,0,1,5,5,0,632,0,1,633,0
281,91,17,188,106,0,0,1,0,0,0,1,0,12,0,0,416,0,2,418,0
