Polling Station No,ANUSHA V,SATHIYANARAYANAN B,RAJA ANBAZHAGAN,ANAND N,RAVI M L,ABUKITHER M,ARAVIND GOSH Y T,EASAN NATARAJAN T,KUMAR SRI SRI B,SATHISH KUMAR B,GNANASEKARAN G,THENNARASU P,PADMINI NARASIMHAN,BADRI S,BALAJI S,PRASATH D,MANIKANDAN T,MANIKANDAN N,MOORTHY N,MYTHILI C,RAMKUMAR L,RAMACHANDRAN O N,RAJESH E,VETRIVEL K,JAYAVEL,JOTHIRAJ G M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
40,20,142,149,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,525,0,3,528,0
41,15,101,120,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,428,0,3,431,0
42,24,105,96,232,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,462,0,1,463,0
43,12,79,84,96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,1,274,0
44,20,94,140,251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,2,508,0
45,17,131,93,215,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,458,0,0,458,0
46,11,98,183,284,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,584,0,4,588,0
47,12,77,242,309,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,5,3,0,0,1,656,0,3,659,0
48,24,154,163,304,3,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,657,0,4,661,0
49,33,121,155,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,512,0,4,516,0
50,25,181,146,239,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,594,0,6,600,0
51,19,94,179,164,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,459,0,3,462,0
52,25,141,188,278,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,639,0,2,641,0
53,12,109,126,150,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,400,0,1,401,0
54,18,188,109,143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,10,470,0
55,17,90,160,257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,1,527,0
56,18,76,84,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,283,0,1,284,0
57,31,126,182,228,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,1,0,1,0,0,0,575,0,6,581,0
58,22,162,170,254,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,612,0,6,618,0
59,17,164,187,243,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,617,0,2,619,0
60,18,126,273,361,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,786,0,2,788,0
61,23,109,145,159,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,442,0,4,446,0
62,10,88,138,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,391,0,0,391,0
63,30,126,216,277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,651,0,6,657,0
64,28,218,234,348,3,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,838,0,2,840,0
65,17,235,113,180,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,551,0,6,557,0
66,17,128,117,165,0,2,0,0,0,1,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,437,0,4,441,0
67,27,202,163,253,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,652,0,1,653,0
68,15,150,153,338,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,660,0,3,663,0
69,ge 1 21,148,336,316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,823,0,3,826,0
70,13,73,187,221,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,4,0,0,0,504,0,3,507,0
71,22,135,263,290,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,716,0,0,716,1
72,29,128,228,303,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,692,0,1,693,0
73,15,119,210,282,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,632,0,1,633,0
74,30,207,177,250,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,666,0,4,670,0
75,11,120,192,199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,526,0,4,530,0
76,22,193,178,216,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,0,0,616,0,4,620,0
77,21,173,231,338,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,768,0,1,769,0
78,21,104,190,234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,3,553,0
79,33,117,207,286,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,646,0,4,650,0
80,16,204,137,209,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,571,0,6,577,0
81,17,100,180,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,507,0,2,509,0
82,22,179,232,261,1,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,1,0,703,0,3,706,0
83,22,164,191,220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,600,0,2,602,0
84,17,160,144,153,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,9,484,0
85,25,117,84,134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,362,0,4,366,0
86,10,114,290,254,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,672,0,2,674,0
87,25,203,242,280,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,756,0,5,761,1
88,19,141,150,268,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,584,0,0,584,0
89,30,156,203,257,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,654,0,3,657,0
90,18,157,103,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,376,0,4,380,0
91,25,190,106,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,454,0,8,462,0
92,30,260,126,200,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,5,624,0
93,14,118,91,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,318,0,4,322,0
94,22,149,137,206,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,518,0,4,522,0
95,27,146,140,219,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,540,0,5,545,0
96,24,196,83,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,474,0,9,483,0
97,23,142,253,337,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,762,0,4,766,0
98,10,84,243,315,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,661,0,2,663,0
99,11,117,129,184,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,445,0,4,449,0
100,13,166,97,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,5,387,0
101,23,205,93,196,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520,0,6,526,0
102,36,235,93,146,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,515,0,7,522,0
103,18,217,141,242,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,622,0,6,628,0
104,14,221,70,127,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437,0,2,439,0
105,11,170,31,74,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,290,0,1,291,0
106,24,278,70,170,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,7,552,0
107,10,82,150,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,442,0,2,444,0
108,17,358,73,160,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,614,0,5,619,0
109,13,123,177,234,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,1,550,0
110,11,80,207,233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,533,0,0,533,0
111,12,109,140,199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,462,0,2,464,0
112,14,157,84,159,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,418,0,2,420,0
113,27,177,152,242,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,605,0,4,609,0
114,7,82,53,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,3,231,0
115,8,155,137,312,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,620,0,2,622,0
116,20,138,134,217,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,514,0,6,520,0
117,17,100,159,194,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,473,0,4,477,0
118,11,84,165,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,444,0,0,444,0
119,25,83,209,304,0,1,0,2,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,630,0,1,631,0
120,9,100,296,320,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,731,0,0,731,0
121,20,95,212,240,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,571,0,2,573,0
122,7,52,184,204,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,452,0,4,456,0
123,12,58,213,260,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,546,0,0,546,0
124,39,159,199,252,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,655,0,6,661,0
125,26,117,286,323,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,760,0,4,764,0
126,21,89,278,236,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,631,0,5,636,0
127,8,47,135,181,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,374,0,1,375,0
128,16,80,154,172,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,430,0,3,433,0
129,29,163,234,221,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,659,0,9,668,0
130,19,214,193,237,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5,1,0,0,3,0,1,681,0,4,685,0
131,30,207,231,436,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,914,0,3,917,0
132,23,146,127,118,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,421,0,3,424,0
133,6,116,112,133,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,373,0,2,375,0
134,27,197,177,251,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,661,0,5,666,0
135,22,145,170,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,527,0,6,533,0
136,23,175,208,224,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,637,0,2,639,0
137,27,196,200,174,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,605,0,4,609,0
138,ge 2 20,129,154,229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,537,0,3,540,0
139,24,137,182,215,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,563,0,11,574,0
140,16,132,193,289,3,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,2,1,1,0,645,0,4,649,0
141,5,72,99,111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,290,0,0,290,0
142,15,161,128,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,520,0,5,525,0
143,22,120,239,319,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,706,0,2,708,0
144,15,82,188,218,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,5,511,0
145,15,225,180,180,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,3,0,0,607,0,4,611,0
146,6,166,88,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,425,0,9,434,0
147,18,137,88,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,349,0,3,352,0
148,2,114,64,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,280,0
149,20,207,64,104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,1,397,0
150,14,229,137,242,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,627,0,9,636,0
151,18,191,159,213,3,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,1,0,1,0,0,593,0,4,597,0
152,12,200,82,117,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,3,417,0
153,22,94,85,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,309,0,1,310,0
154,6,144,155,203,0,3,0,0,0,1,0,0,1,0,0,3,1,0,1,2,0,1,1,0,0,0,522,0,6,528,0
155,13,166,90,121,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,397,0,3,400,0
156,15,196,63,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,3,374,0
157,32,242,86,196,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,562,0,6,568,0
158,28,252,179,360,1,0,0,1,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,829,0,4,833,0
159,12,171,71,111,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,7,374,0
160,4,131,130,198,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,465,0,2,467,0
161,19,148,143,230,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,545,0,3,548,0
162,5,114,51,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,242,0,0,242,0
163,28,283,98,148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,558,0,5,563,0
164,18,187,78,193,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,481,0,3,484,0
165,24,278,128,209,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,645,0,10,655,0
166,19,138,135,237,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,534,0,4,538,0
167,9,116,106,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,333,0
168,17,173,119,142,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,456,0,8,464,0
169,10,104,41,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,3,211,0
170,9,159,83,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,408,0,3,411,0
171,18,184,233,397,2,0,0,0,0,1,0,0,0,0,1,1,0,2,5,2,0,0,0,0,0,0,846,0,3,849,0
172,11,193,85,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,5,377,0
173,11,170,47,99,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,331,0,4,335,0
174,13,212,56,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,412,0,3,415,0
175,8,122,41,106,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,281,0,7,288,0
176,12,88,119,159,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,380,0,1,381,0
177,15,249,76,161,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,507,0,5,512,0
178,15,118,43,57,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,238,0,1,239,0
179,11,165,99,132,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,424,0,4,428,0
180,15,155,83,123,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,379,0,3,382,0
181,8,146,67,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,326,0,5,331,0
182,12,87,87,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,6,295,0
183,3,149,59,97,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,2,312,0
184,5,91,73,81,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,255,0,0,255,0
185,11,122,96,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,327,0,4,331,0
186,13,146,80,111,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,355,0,7,362,0
187,16,169,136,188,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,519,0,3,522,0
188,13,143,91,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,4,392,0
189,24,158,159,201,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,545,0,3,548,0
190,11,55,127,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,2,266,0
191,20,100,176,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,407,0,3,410,0
192,26,197,162,213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,9,608,0
193,19,183,103,153,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,460,0,6,466,0
194,20,160,105,146,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,434,0,6,440,0
195,10,69,116,208,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,405,0,1,406,0
196,24,160,200,328,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,715,0,0,715,0
197,18,85,109,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,2,335,0
198,7,50,82,146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,287,0
199,22,109,212,313,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,662,0,1,663,0
200,14,141,232,296,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,691,0,1,692,1
201,9,100,104,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,394,0,2,396,0
202,15,124,164,291,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,601,0,1,602,0
203,19,68,138,211,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,444,0,1,445,0
204,22,126,225,313,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,694,0,3,697,0
205,16,92,208,248,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,569,0,3,572,0
206,13,94,218,321,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,654,0,4,658,0
207,ge 3 19,122,193,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,644,0,2,646,0
208,12,238,82,156,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,2,494,0
209,23,218,94,140,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,481,0,5,486,0
