Polling Station No,R AJUHDNI,S SAANURAK,RP NAHTANLIHTNES,K UHTUMIRAM,M MAKCINAMAJAR,INAR IAHTNALUK,MAHTNANAGURUM URUG,X HSEJAR,C RAMUKJAR,JARAYADURI,M KIHTRAK,M NARAWSEELAK,MANAHTNAS,UBARPAGAN,YMASLUAP,T.S NARAKABARP,K HSEMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
296,41,192,84,0,0,156,0,0,0,0,0,0,0,2,0,0,1,476,0,1,477,0
297,23,58,293,1,0,133,0,0,0,0,1,0,0,2,0,0,0,511,0,0,511,0
298,72,179,115,2,0,214,2,0,0,0,0,0,2,0,0,1,0,587,0,4,591,0
299,46,276,149,0,1,221,0,0,0,0,0,0,0,0,2,1,0,696,0,0,696,0
300,29,154,153,0,0,199,2,0,0,1,0,0,0,0,2,0,0,540,0,7,547,0
301,35,125,81,1,0,170,0,0,0,1,0,0,0,1,1,1,0,416,0,2,418,0
302,51,74,180,1,0,233,1,1,0,0,0,0,2,0,0,0,0,543,0,0,543,0
303,36,214,245,0,1,359,0,1,1,1,0,1,1,0,2,1,0,863,0,5,868,0
304,54,194,141,0,0,216,3,0,1,1,2,0,0,1,0,1,1,615,0,4,619,0
305,67,166,225,0,2,242,2,1,0,0,1,0,0,0,1,0,1,708,0,4,712,0
306,67,139,145,0,2,251,3,0,0,0,1,1,0,0,0,2,1,612,0,5,617,0
307,25,118,82,1,0,154,2,1,0,0,0,0,1,0,0,0,0,384,0,1,385,0
308,43,110,67,0,0,200,1,0,1,0,0,0,0,0,0,0,0,422,0,3,425,0
309,44,141,90,3,1,190,1,0,0,1,0,0,0,0,1,1,0,473,0,1,474,0
310,50,145,108,0,2,188,0,0,0,0,0,0,0,0,0,0,0,493,0,2,495,0
311,48,125,97,1,1,207,0,0,0,0,0,0,0,0,1,0,0,480,0,3,483,0
312,31,112,89,2,0,153,0,0,0,0,0,0,0,1,0,1,0,389,0,0,389,0
313,48,168,100,2,0,211,2,0,0,1,1,0,1,0,0,0,0,534,0,3,537,0
314,48,156,134,0,1,259,1,0,0,0,1,1,0,1,0,0,0,602,0,1,603,0
315,35,130,110,0,0,136,1,0,1,0,0,0,0,0,0,2,0,415,0,0,415,0
316,38,96,103,0,0,211,1,0,0,0,0,0,0,0,0,0,1,450,0,1,451,0
317,109,238,88,0,0,235,3,1,0,0,1,0,1,0,0,1,0,677,0,3,680,0
318,51,253,113,2,2,356,11,0,0,0,2,2,2,0,0,0,1,795,0,1,796,0
319,63,206,172,1,1,212,3,0,1,0,0,1,0,0,1,0,0,661,0,1,662,0
320,28,95,139,2,0,124,3,0,0,0,1,2,1,2,0,1,1,399,0,4,403,0
321,49,77,120,0,1,202,1,0,0,0,2,0,0,0,1,2,1,456,0,0,456,0
322,30,55,135,1,0,171,0,0,0,0,0,3,0,0,0,0,0,395,0,4,399,0
323,42,126,135,0,1,183,4,0,0,0,0,0,0,1,0,1,0,493,0,2,495,0
324,48,85,177,0,0,167,0,0,0,1,1,1,0,1,0,0,0,481,0,0,481,0
325,13,102,149,4,0,186,3,0,0,0,0,2,0,0,1,0,0,460,0,3,463,0
326,28,191,81,0,1,164,0,0,0,0,1,0,0,1,0,2,0,469,0,1,470,0
327,62,256,103,4,1,273,1,2,0,0,1,0,0,3,0,0,0,706,0,3,709,0
328,42,208,255,2,1,360,7,0,1,0,1,1,1,0,3,0,0,882,0,6,888,0
329,75,253,212,3,2,244,2,1,0,1,1,19,0,1,3,0,0,817,0,3,820,0
330,62,225,148,3,2,263,0,0,0,0,1,4,0,1,0,0,1,710,0,3,713,0
331,44,113,163,2,0,171,18,0,0,0,2,0,0,2,1,4,2,522,0,4,526,0
332,56,115,190,1,0,199,21,0,1,0,3,2,1,1,1,1,1,593,0,4,597,0
333,87,219,196,3,1,376,12,3,0,0,4,1,1,1,0,2,1,907,0,4,911,0
334,44,320,107,0,0,185,2,1,0,1,1,2,0,0,1,0,0,664,0,4,668,0
335,66,165,263,2,1,201,3,1,1,0,1,1,1,2,0,0,2,710,0,3,713,0
336,33,79,159,1,2,122,2,0,2,0,0,0,0,2,0,3,1,406,0,0,406,0
337,38,137,116,2,2,137,0,1,0,0,0,0,0,1,0,1,0,435,0,2,437,0
338,39,150,118,3,1,138,0,3,1,0,0,0,0,0,0,2,2,457,0,7,464,0
339,38,155,152,1,1,160,2,0,1,0,3,1,1,0,0,1,1,517,0,8,525,0
340,38,152,208,4,1,191,2,1,3,0,2,1,0,1,0,0,0,604,0,2,606,0
341,41,135,179,1,1,130,5,0,1,0,1,1,1,0,0,0,1,497,0,3,500,0
342,40,176,118,1,1,178,1,1,1,0,0,2,1,0,1,0,2,523,0,1,524,0
343,54,139,86,0,0,90,1,0,2,0,0,0,0,0,0,1,0,373,0,1,374,0
344,87,200,201,0,2,186,2,0,2,1,1,0,0,3,4,2,1,692,0,4,696,0
345,43,168,270,3,1,201,1,2,4,1,2,1,1,1,0,3,0,702,0,7,709,0
346,34,122,79,0,0,76,0,0,0,0,1,0,0,0,0,1,2,315,0,1,316,0
347,37,91,139,2,1,90,0,0,0,0,0,0,0,0,0,2,1,363,0,2,365,0
348,111,205,179,1,0,180,16,0,0,0,0,1,0,0,1,1,1,696,0,3,699,0
349,48,193,245,1,2,308,1,3,1,0,1,0,2,1,1,0,0,807,0,2,809,0
350,66,211,139,2,0,318,2,1,0,1,0,1,0,0,3,1,0,745,0,5,750,0
351,59,170,189,2,1,207,5,0,1,0,3,2,0,1,1,0,0,641,0,2,643,0
352,47,306,130,1,0,284,5,2,0,1,2,1,2,0,4,1,1,787,0,5,792,0
353,21,97,179,2,0,90,0,0,0,0,1,1,0,0,1,0,3,395,0,6,401,0
354,28,94,139,2,1,95,0,0,0,0,0,0,0,0,0,1,0,360,0,4,364,0
355,18,64,86,1,1,51,1,0,0,0,1,0,0,0,0,0,1,224,0,2,226,0
356,35,74,98,0,0,57,1,0,0,0,0,0,0,1,1,0,0,267,0,0,267,0
357,23,148,188,1,0,143,0,1,0,0,2,0,1,0,0,0,0,507,0,0,507,0
358,75,163,258,3,5,221,19,1,1,1,1,1,1,0,1,0,1,752,0,7,759,0
359,64,210,209,1,1,168,2,1,0,0,1,0,0,2,1,1,0,661,0,2,663,0
360,40,77,77,0,0,72,1,1,3,1,1,0,0,0,0,1,0,274,0,3,277,0
361,37,102,161,5,0,99,0,0,0,0,1,0,0,1,2,1,0,409,0,4,413,0
362,50,102,257,2,0,184,2,0,0,0,0,0,0,1,0,0,0,598,0,1,599,0
363,68,102,229,1,0,76,2,0,0,0,0,1,0,0,0,1,0,480,0,1,481,0
364,48,122,124,1,0,107,3,0,0,0,0,0,0,0,0,1,0,406,0,1,407,0
365,84,177,279,0,1,179,0,0,1,0,1,0,1,0,0,2,2,727,0,0,727,0
366,53,187,270,1,0,203,9,1,2,3,0,1,1,3,0,0,1,735,0,4,739,0
367,39,117,163,4,2,143,0,0,1,0,0,2,0,4,4,3,0,482,0,7,489,0
368,75,225,240,2,1,213,1,3,1,1,3,0,3,2,0,2,0,772,0,6,778,0
369,46,92,111,2,2,169,4,0,0,0,1,0,2,1,1,2,0,433,0,4,437,0
370,191,224,88,1,5,191,2,2,4,2,4,2,0,1,1,4,2,724,0,2,726,0
371,27,132,242,0,2,98,13,0,0,2,0,2,0,1,0,0,1,520,0,2,522,0
372,155,215,191,1,3,244,6,0,1,0,0,1,1,0,0,1,3,822,0,8,830,0
373,47,154,132,1,1,130,2,0,2,0,3,0,1,0,1,2,1,477,0,5,482,0
374,27,116,190,2,1,133,3,0,1,0,0,0,1,0,1,1,0,476,0,5,481,0
375,43,156,253,3,1,176,3,0,1,1,2,1,0,2,2,1,5,650,0,4,654,0
376,47,78,124,3,2,96,0,0,2,0,2,0,0,2,1,1,2,360,0,1,361,0
377,17,122,120,2,0,79,0,0,0,1,1,1,1,3,1,3,1,352,0,0,352,0
378,67,156,140,1,0,134,1,1,3,1,5,0,1,1,1,6,2,520,0,2,522,0
379,67,217,349,4,1,174,9,0,2,1,1,0,1,1,4,2,0,833,0,2,835,0
380,33,184,219,2,0,169,5,1,0,1,2,2,0,1,0,1,3,623,0,3,626,0
381,53,161,97,4,1,192,0,0,1,0,0,1,0,0,0,0,1,511,0,3,514,0
382,39,103,86,2,1,140,0,0,0,0,0,1,0,0,1,0,0,373,0,2,375,0
383,128,185,357,2,0,175,5,0,1,1,0,1,1,3,3,2,1,865,0,3,868,0
384,106,223,210,2,0,211,9,13,2,1,3,2,0,0,3,2,4,791,0,10,801,0
385,27,136,193,0,0,64,3,1,1,0,1,0,0,0,0,1,0,427,0,2,429,0
386,78,129,146,5,3,138,1,2,0,0,3,1,1,2,1,1,1,512,0,2,514,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,10,106,115,2,0,77,70,0,0,0,1,0,0,0,0,1,0,382,0,1,383,0
389,42,117,145,0,0,110,3,0,0,0,0,0,0,2,1,1,0,421,0,4,425,0
390,45,142,121,0,0,166,0,2,1,0,4,0,0,2,0,2,1,486,0,0,486,0
391,44,143,137,0,0,116,2,2,1,0,2,0,1,2,1,0,1,452,0,1,453,0
392,50,149,205,1,3,158,1,0,1,0,1,2,1,2,0,0,0,574,0,2,576,0
393,71,208,160,3,1,183,4,1,0,0,1,1,3,3,1,4,1,645,0,3,648,0
394,17,62,155,1,0,65,2,0,0,0,0,2,0,5,0,0,1,310,0,1,311,0
395,60,162,281,4,1,178,9,0,3,0,4,0,3,0,1,2,1,709,0,3,712,0
396,29,116,74,1,0,138,5,0,0,0,1,0,0,0,0,0,0,364,0,1,365,0
