Polling Station No,E.KRITHIKA,S.SUDHARSANAM,MADHAVARAM V.MOORTHY,N.JANAKIRAMAN,R.KARTHIKEYAN,I.RAFFIK,M.L.VIJAYPRABHU,S.SIVAKUMAR,SUDARSANAM,A.NAGARAJAN,R.S.BALAJI,G.PRABU,A.PONNALAGAN,C.MOORTHY,V.MURTHY,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
49,35,252,170,0,0,1,293,1,2,0,0,0,0,0,0,754,0,4,758,0
50,24,225,98,1,0,0,258,0,0,0,0,0,1,0,0,607,0,1,608,0
51,e 131,294,110,0,0,0,344,0,0,0,0,0,1,1,0,781,0,5,786,0
52,25,248,128,1,0,0,316,0,1,0,1,0,0,0,0,720,0,3,723,0
53,32,263,95,0,1,1,290,0,0,0,0,0,2,0,0,684,0,3,687,0
54,31,223,121,1,0,0,407,0,2,0,0,0,2,0,0,787,0,4,791,0
55,13,176,94,2,0,2,242,0,0,0,0,0,0,0,0,529,0,8,537,0
56,24,245,89,0,0,1,336,0,0,0,0,0,0,1,0,696,0,3,699,0
57,45,227,182,1,1,2,407,1,0,1,0,1,1,0,0,869,0,9,878,0
58,16,152,257,0,2,1,386,0,0,1,0,0,0,0,1,816,0,3,819,0
59,28,177,164,1,1,1,299,0,0,0,0,0,0,0,0,671,0,5,676,0
60,16,162,130,0,0,2,246,0,0,1,0,0,0,0,0,557,0,1,558,0
61,19,173,157,0,1,2,297,0,0,0,0,1,0,0,0,650,0,4,654,0
62,23,204,245,0,1,0,342,0,0,1,1,1,2,0,0,820,0,4,824,0
63,31,262,136,1,1,1,342,0,0,0,0,1,0,0,0,775,0,5,780,0
64,26,292,161,1,0,3,386,0,0,1,0,0,1,0,0,871,0,3,874,0
65,30,177,191,1,1,3,337,0,1,0,0,0,2,1,1,745,0,4,749,0
66,12,167,72,0,1,1,168,0,0,0,0,0,0,0,0,421,0,1,422,0
67,12,229,133,0,0,1,316,1,0,0,0,0,0,1,0,693,0,2,695,0
68,33,238,100,2,0,3,532,0,1,0,0,0,0,0,0,909,0,5,914,0
69,18,329,108,0,0,1,413,0,0,0,0,1,0,0,0,870,0,2,872,0
70,14,176,74,2,0,2,229,0,0,1,0,1,0,0,1,500,0,3,503,0
71,14,137,53,0,1,2,251,1,1,0,0,0,0,0,0,460,0,0,460,0
72,15,265,198,1,0,3,383,0,1,0,0,0,0,0,0,866,0,1,867,0
73,13,180,104,0,0,1,363,0,1,1,0,1,0,0,1,665,0,3,668,0
74,7,249,116,0,0,2,343,0,0,0,0,0,0,0,0,717,0,2,719,0
75,19,220,88,3,2,1,413,0,0,0,0,1,0,0,0,747,0,2,749,0
76,19,250,133,2,0,2,320,0,0,0,0,0,1,0,1,728,0,3,731,0
77,23,258,122,1,0,1,345,0,0,1,0,0,0,0,0,751,0,3,754,0
78,21,305,64,7,0,4,360,0,1,0,0,0,0,0,1,763,0,2,765,0
79,16,375,81,0,0,1,332,0,0,2,2,0,0,0,0,809,0,3,812,0
80,5,177,59,3,0,1,283,0,0,0,0,1,0,0,1,530,0,5,535,0
81,27,196,96,0,0,0,295,0,2,0,0,0,1,0,0,617,0,2,619,0
82,24,198,118,2,1,1,471,0,1,0,0,1,0,0,1,818,0,0,818,0
83,33,215,62,4,0,0,395,0,1,0,0,0,0,0,0,710,0,7,717,0
84,16,227,106,0,0,1,441,0,0,2,0,0,0,0,0,793,0,2,795,0
85,33,233,209,0,1,1,383,0,1,0,0,0,0,0,1,862,0,2,864,0
86,38,241,182,2,0,2,428,0,0,0,0,0,1,0,0,894,0,6,900,0
87,25,192,127,1,0,1,452,1,1,0,1,0,2,0,0,803,0,0,803,0
88,38,179,166,0,0,4,448,1,0,0,0,0,0,1,0,837,0,8,845,0
89,33,188,152,0,0,0,393,0,0,0,0,1,0,0,0,767,0,3,770,0
90,13,265,69,1,0,1,426,1,1,0,0,0,0,0,0,777,0,3,780,0
91,25,323,62,0,0,4,358,0,0,0,0,1,0,0,0,773,0,3,776,0
92,15,222,97,0,0,0,311,0,0,0,0,0,0,0,0,645,0,1,646,0
93,21,253,90,0,0,3,449,0,0,0,0,0,0,0,2,818,0,9,827,0
94,19,218,93,1,0,2,352,0,0,0,0,0,1,0,1,687,0,3,690,0
95,23,237,95,0,0,0,312,0,0,0,0,0,0,0,0,667,0,3,670,0
96,29,200,58,0,1,0,349,0,1,0,0,0,0,2,0,640,0,9,649,0
97,23,267,106,1,0,3,376,0,1,0,0,0,0,0,0,777,0,7,784,0
98,26,257,106,0,0,1,401,0,0,0,0,0,0,0,0,791,0,5,796,0
99,21,276,74,1,0,0,331,1,1,0,0,1,0,0,0,706,0,6,712,0
100,28,172,112,1,0,2,353,1,0,0,0,0,0,1,1,671,0,3,674,0
101,38,195,155,0,0,1,418,0,1,0,0,0,1,1,0,810,0,4,814,0
102,e 238,170,113,0,0,0,391,3,0,0,0,1,0,0,2,718,0,3,721,0
103,16,203,111,0,0,1,376,0,1,2,0,0,0,0,0,710,0,6,716,0
104,15,105,79,2,0,0,162,1,0,0,0,0,0,0,0,364,0,3,367,0
105,32,203,100,1,1,0,419,0,1,1,0,0,0,0,1,759,0,5,764,0
106,27,267,131,1,0,1,314,0,1,0,0,0,0,0,0,742,0,4,746,0
107,12,131,67,0,0,1,143,0,0,0,0,0,0,0,0,354,0,1,355,0
108,9,122,37,1,0,0,152,0,0,0,0,0,0,0,0,321,0,2,323,0
109,25,140,83,0,0,1,291,0,0,1,2,1,0,0,0,544,0,2,546,0
110,10,127,78,1,0,0,255,0,0,0,0,0,0,0,0,471,0,2,473,0
111,35,214,144,1,0,1,413,2,0,0,2,0,0,1,1,814,0,7,821,0
112,41,267,137,1,1,0,455,0,0,0,0,1,0,0,0,903,0,8,911,0
113,22,177,138,1,0,1,364,1,0,0,0,0,0,0,0,704,0,0,704,0
114,30,210,162,0,0,2,496,2,0,0,0,0,0,0,0,902,0,3,905,0
115,22,143,105,0,0,0,409,0,0,0,0,0,1,0,0,680,0,3,683,0
116,16,143,77,1,1,1,344,1,0,0,0,0,1,0,0,585,0,1,586,0
117,16,130,67,2,0,3,241,1,0,0,0,1,0,0,0,461,0,2,463,0
118,26,113,65,0,0,0,212,1,0,0,0,0,0,1,0,418,0,8,426,0
119,33,189,108,0,0,3,386,0,0,0,0,2,0,0,0,721,0,3,724,0
120,35,179,117,0,0,3,471,1,0,1,1,0,0,0,0,808,0,3,811,0
121,25,175,112,0,0,2,349,1,0,0,1,0,0,0,0,665,0,3,668,0
122,17,199,133,0,0,1,314,0,1,0,0,0,0,0,0,665,0,4,669,0
123,18,106,177,1,1,2,384,0,0,0,0,0,0,1,0,690,0,5,695,0
124,33,150,113,0,1,0,294,0,0,0,0,0,0,0,0,591,0,2,593,0
125,25,162,142,0,0,0,343,0,0,0,0,1,0,0,0,673,0,1,674,0
126,52,221,92,0,1,1,325,0,0,0,0,0,0,0,2,694,0,5,699,0
127,20,189,56,0,1,1,215,0,0,0,0,0,1,0,0,483,0,2,485,0
128,18,199,107,0,0,1,263,0,3,1,0,0,0,0,0,592,0,1,593,0
129,19,143,89,0,0,0,250,0,0,0,0,0,0,0,0,501,0,5,506,0
130,30,149,125,0,1,1,301,1,1,0,0,1,1,0,1,612,0,4,616,0
131,40,193,187,1,0,2,475,0,1,1,0,1,0,1,0,902,0,4,906,0
132,21,118,97,0,0,1,327,1,0,0,1,0,0,0,0,566,0,4,570,0
133,14,155,50,0,0,2,250,0,0,2,0,1,0,0,3,477,0,3,480,0
134,14,141,117,1,0,0,280,1,0,0,0,1,1,0,0,556,0,1,557,0
135,25,171,180,0,1,0,434,1,0,0,1,0,1,0,0,814,0,4,818,0
136,16,85,119,0,0,1,292,1,0,0,1,0,0,1,0,516,0,1,517,0
137,14,91,110,1,1,3,192,0,0,0,0,0,0,0,0,412,0,1,413,0
138,39,184,185,1,1,3,545,0,2,0,0,0,0,0,0,960,0,3,963,0
139,23,135,279,3,1,2,519,1,1,1,0,3,0,1,0,969,0,2,971,0
140,27,157,151,0,0,0,413,1,0,0,0,2,0,0,0,751,0,4,755,0
141,36,205,97,0,0,1,335,1,0,0,0,0,1,0,0,676,0,3,679,0
142,24,233,140,0,0,0,333,0,1,0,0,0,0,1,0,732,0,6,738,0
143,22,203,132,3,0,0,327,1,0,0,0,1,0,0,0,689,0,7,696,0
144,13,118,78,1,0,0,241,0,0,0,0,0,0,0,0,451,0,3,454,0
145,27,179,73,0,0,1,278,2,0,0,1,0,0,0,0,561,0,2,563,0
146,14,301,90,1,1,5,352,0,0,1,0,0,1,1,0,767,0,2,769,0
147,17,268,115,0,0,3,421,0,0,0,1,0,0,0,0,825,0,4,829,0
148,20,204,98,2,0,5,260,1,1,0,0,0,0,0,0,591,0,0,591,0
149,26,182,124,1,0,2,529,0,0,0,0,0,0,0,0,864,0,2,866,0
150,15,213,91,0,0,3,330,0,0,1,0,0,1,0,1,655,0,1,656,0
151,16,125,139,0,1,1,416,0,0,1,0,0,0,1,1,701,0,1,702,0
152,20,222,82,1,0,2,360,1,0,0,1,1,0,1,0,691,0,17,708,0
153,e 312,230,107,1,0,2,498,0,0,0,0,1,0,0,0,851,0,3,854,0
154,18,212,77,0,2,2,378,1,2,0,0,0,0,0,1,693,0,2,695,0
155,37,350,130,3,2,4,456,0,0,0,0,0,0,0,1,983,0,4,987,0
156,33,372,91,2,0,0,495,0,0,0,0,1,0,0,1,995,0,1,996,0
157,20,202,87,1,0,0,397,0,1,0,0,1,0,0,0,709,0,0,709,0
158,29,268,108,1,1,3,453,0,0,0,0,0,0,0,0,863,0,1,864,0
159,16,268,88,2,0,1,388,0,0,0,0,0,1,1,0,765,0,4,769,0
160,29,198,17,1,0,4,310,0,1,1,0,0,1,0,3,565,0,4,569,0
161,25,253,81,3,0,1,380,0,2,2,1,0,0,0,2,750,0,3,753,0
162,28,316,134,1,0,1,405,0,0,0,0,0,0,0,0,885,0,1,886,0
163,4,213,114,2,2,0,468,0,1,1,0,0,0,0,0,805,0,0,805,0
164,24,126,75,0,0,1,407,0,0,1,0,2,1,0,1,638,0,1,639,0
165,13,145,153,2,0,0,236,1,0,0,0,0,0,0,0,550,0,3,553,0
166,25,260,119,0,0,0,299,0,0,0,0,0,0,0,1,704,0,1,705,0
167,21,143,96,1,1,1,411,0,0,1,0,0,1,1,1,678,0,3,681,0
168,3,185,64,2,0,0,263,1,0,0,0,0,0,0,0,518,0,2,520,0
169,17,140,70,0,1,0,266,0,0,1,0,1,0,0,0,496,0,2,498,0
170,33,189,69,1,0,2,410,1,0,0,0,0,0,0,0,705,0,2,707,0
171,11,131,115,1,3,1,330,2,1,0,0,0,0,0,0,595,0,0,595,0
172,10,174,69,2,1,0,282,0,0,0,0,0,0,0,0,538,0,6,544,0
173,27,185,141,0,1,0,396,0,0,0,2,0,0,0,1,753,0,5,758,0
174,23,302,99,7,0,1,409,0,0,1,0,1,0,0,2,845,0,2,847,0
175,11,238,107,29,12,3,344,0,0,0,0,0,1,3,1,749,0,0,749,0
176,12,268,105,6,1,0,379,0,0,0,0,0,1,0,0,772,0,3,775,0
177,14,238,176,2,0,2,408,0,0,1,0,0,0,0,0,841,0,5,846,0
178,37,218,116,0,0,2,533,0,1,1,1,0,1,1,0,911,0,5,916,0
179,30,162,93,1,0,2,410,0,0,0,0,0,1,0,2,701,0,1,702,0
180,13,125,121,0,0,2,313,0,0,0,0,0,1,0,2,577,0,2,579,0
181,23,128,72,2,0,1,294,0,1,2,0,0,0,0,0,523,0,1,524,0
182,21,103,87,0,1,1,296,2,1,0,0,0,0,0,0,512,0,1,513,0
183,28,246,164,2,0,1,332,1,1,0,0,0,1,0,0,776,0,3,779,0
184,32,332,159,2,0,2,415,0,0,1,1,0,0,2,0,946,0,3,949,0
185,10,182,100,0,0,0,237,1,0,0,0,0,0,0,0,530,0,0,530,0
186,25,251,106,1,1,2,446,0,0,0,0,0,0,0,0,832,0,1,833,0
187,16,223,129,0,1,0,411,0,1,0,0,0,1,0,1,783,0,2,785,0
188,29,209,105,0,0,2,381,0,0,0,0,0,0,1,1,728,0,1,729,0
189,22,174,98,1,0,0,391,0,0,0,0,0,0,0,0,686,0,4,690,0
190,39,221,99,0,0,3,396,0,0,0,0,0,0,0,1,759,0,3,762,0
191,22,280,130,2,0,1,392,1,0,0,0,0,0,0,0,828,0,2,830,0
192,25,172,88,2,0,1,423,1,0,0,1,0,0,0,0,713,0,1,714,0
193,17,122,40,1,0,0,317,0,0,0,0,0,0,0,0,497,0,0,497,0
194,24,156,86,1,0,2,337,0,1,1,0,3,0,0,0,611,0,1,612,0
195,34,187,98,1,1,2,370,1,0,0,0,0,0,0,0,694,0,1,695,0
196,35,177,105,0,0,1,489,0,1,0,0,0,0,0,0,808,0,2,810,0
197,34,185,126,1,0,0,413,0,0,1,0,0,0,0,0,760,0,4,764,0
198,22,148,100,2,0,1,316,0,0,0,0,0,0,0,0,589,0,1,590,0
199,32,222,91,0,0,2,456,0,0,0,1,0,0,0,0,804,0,6,810,0
200,32,203,111,0,0,0,387,1,0,0,1,0,2,0,1,738,0,2,740,0
201,34,195,87,1,1,0,303,0,0,0,0,1,0,0,0,622,0,5,627,0
202,26,122,96,0,0,2,279,0,0,0,0,0,0,0,0,525,0,1,526,0
203,28,182,88,1,2,1,392,0,0,0,0,0,0,0,0,694,0,0,694,0
204,e 423,180,107,0,0,0,315,0,0,0,1,0,0,0,0,626,0,3,629,0
205,20,198,116,0,0,0,376,1,0,0,0,0,0,0,0,711,0,4,715,0
206,23,201,117,1,1,1,508,0,0,1,0,0,1,0,0,854,0,4,858,0
207,21,233,94,0,0,6,374,0,0,0,0,0,0,0,0,728,0,1,729,0
208,30,200,86,1,0,0,294,0,1,0,0,0,0,1,0,613,0,4,617,0
209,15,115,72,0,0,0,191,0,0,1,0,0,0,0,0,394,0,6,400,0
210,49,200,172,5,0,3,447,2,0,0,1,3,1,3,0,886,0,3,889,0
211,38,182,147,0,0,1,488,0,0,0,1,0,0,0,0,857,0,2,859,0
212,14,118,179,1,1,1,248,1,0,1,0,1,0,1,0,566,0,2,568,0
213,18,108,176,1,0,2,209,0,0,0,0,0,0,1,0,515,0,2,517,0
214,30,186,101,0,1,4,402,0,0,0,0,1,0,1,0,726,0,1,727,0
215,50,156,138,0,1,4,547,1,0,0,0,0,0,0,2,899,0,4,903,0
216,30,163,147,0,0,0,294,1,0,0,1,0,0,0,0,636,0,1,637,0
217,21,125,105,0,1,1,234,0,0,0,0,0,1,0,0,488,0,4,492,0
218,22,113,97,4,0,0,252,0,0,1,0,1,1,0,0,491,0,3,494,0
219,27,154,104,0,0,1,239,0,0,0,0,0,0,0,1,526,0,2,528,0
220,24,178,234,1,0,0,424,0,0,1,0,0,1,0,0,863,0,3,866,0
221,30,176,143,2,1,2,491,0,0,0,0,1,1,1,0,848,0,1,849,0
222,31,160,194,0,0,0,438,1,0,1,0,0,0,2,0,827,0,6,833,0
223,29,155,129,0,0,0,403,1,0,0,0,0,0,1,1,719,0,2,721,0
224,34,138,92,0,0,3,389,0,0,0,0,0,0,0,0,656,0,2,658,0
225,44,140,98,2,0,1,307,0,1,1,0,0,0,0,1,595,0,4,599,0
226,18,82,116,0,0,1,292,0,0,0,1,1,2,1,0,514,0,4,518,0
227,16,99,72,0,0,0,253,0,0,0,0,0,0,1,1,442,0,2,444,0
228,47,179,98,0,0,1,478,2,0,0,1,1,0,0,0,807,0,6,813,0
229,32,163,90,0,1,2,362,0,0,0,0,1,1,0,0,652,0,1,653,0
230,19,175,115,0,0,1,569,0,0,1,0,1,2,0,0,883,0,9,892,0
231,29,190,128,0,1,0,451,0,1,0,0,0,0,0,0,800,0,2,802,0
232,32,157,70,0,0,1,392,1,0,0,1,0,0,0,1,655,0,0,655,0
233,49,308,169,0,1,1,505,2,1,1,0,1,0,0,0,1038,0,6,1044,0
234,34,286,104,1,0,2,586,0,0,1,0,2,0,1,0,1017,0,6,1023,0
235,19,252,153,2,1,3,456,1,1,0,0,1,0,0,0,889,0,5,894,0
236,31,217,126,0,0,0,452,0,0,0,0,0,0,1,0,827,0,4,831,0
237,44,263,116,1,0,0,515,0,1,0,2,0,0,0,0,942,0,9,951,0
238,38,254,98,0,0,0,442,0,0,0,0,0,0,0,1,833,0,3,836,0
239,43,216,139,0,0,0,461,1,0,0,0,1,1,0,1,863,0,1,864,0
240,38,224,110,0,0,2,509,0,0,1,0,2,0,0,0,886,0,0,886,0
241,40,218,117,1,0,0,463,0,0,0,0,0,0,0,1,840,0,5,845,0
242,43,269,152,0,0,0,518,0,0,0,0,0,0,1,0,983,0,2,985,0
243,40,193,146,1,0,5,528,2,0,2,0,2,0,0,0,919,0,4,923,0
244,42,209,129,1,0,0,443,1,0,0,1,0,0,1,0,827,0,3,830,0
245,26,187,92,3,1,3,352,0,1,1,0,0,0,0,1,667,0,3,670,0
246,17,124,102,0,0,0,300,0,0,0,0,0,0,0,0,543,0,1,544,0
247,21,234,129,1,0,0,351,1,1,0,0,1,0,1,0,740,0,4,744,0
248,22,129,88,0,1,1,247,0,1,0,0,2,0,1,0,492,0,3,495,0
249,20,135,124,1,0,0,317,0,1,0,0,1,0,0,0,599,0,10,609,0
250,36,177,115,0,0,1,499,0,0,1,0,2,0,0,0,831,0,3,834,0
251,34,257,142,0,0,0,409,0,0,0,0,0,0,0,0,842,0,5,847,0
252,33,211,96,0,1,1,416,0,0,1,2,0,1,0,0,762,0,5,767,0
253,27,204,91,0,0,0,375,0,0,0,1,0,0,0,1,699,0,3,702,0
254,30,198,125,1,0,1,480,0,0,0,0,0,0,0,0,835,0,6,841,0
255,e 528,192,116,0,0,0,486,0,0,0,0,0,1,1,0,824,0,4,828,0
256,37,187,140,2,0,0,385,1,1,0,0,0,0,0,0,753,0,4,757,0
257,33,228,133,0,0,0,506,0,0,0,0,0,1,1,0,902,0,3,905,0
258,24,165,138,1,2,0,532,1,0,0,1,1,0,0,0,865,0,3,868,0
259,42,196,100,1,0,3,380,1,0,0,0,0,0,0,0,723,0,3,726,0
260,48,215,109,0,0,0,464,3,0,0,1,2,0,0,0,842,0,3,845,0
261,23,274,98,1,1,3,477,1,0,0,0,0,0,0,0,878,0,1,879,0
262,29,210,107,1,1,1,464,1,1,0,0,0,0,0,2,817,0,4,821,0
263,18,268,55,0,1,1,445,0,0,0,0,1,0,0,0,789,0,1,790,0
264,18,183,102,3,0,1,400,1,0,0,0,0,0,0,0,708,0,1,709,0
265,19,219,90,2,1,0,420,1,1,0,0,2,0,0,0,755,0,3,758,0
266,18,345,33,0,0,1,307,0,0,0,0,1,0,0,0,705,0,4,709,0
267,20,231,95,0,0,0,408,1,0,0,0,0,0,0,0,755,0,5,760,0
268,23,244,119,3,0,0,449,1,0,0,0,0,0,0,1,840,0,1,841,0
269,35,201,171,2,1,2,447,0,0,1,0,1,0,0,1,862,0,1,863,0
270,34,195,116,0,0,0,422,0,0,0,0,0,0,0,0,767,0,3,770,0
271,29,185,108,1,0,1,465,0,0,0,0,1,0,2,0,792,0,7,799,0
272,25,156,109,0,0,1,402,0,0,2,0,1,0,0,0,696,0,9,705,0
273,28,214,118,1,0,0,494,2,0,0,0,0,0,0,0,857,0,7,864,0
274,45,197,122,3,0,1,527,2,0,0,2,0,0,0,0,899,0,5,904,0
275,21,192,131,2,0,0,411,0,1,0,0,0,0,0,1,759,0,5,764,0
276,15,161,145,1,0,5,451,1,0,1,0,0,0,1,1,782,0,1,783,0
277,25,115,100,1,0,1,422,0,0,0,1,0,3,0,1,669,0,2,671,0
278,44,173,104,1,0,2,412,0,0,0,0,0,1,0,0,737,0,4,741,0
279,55,212,90,1,0,1,445,0,0,1,0,0,0,0,2,807,0,4,811,0
280,26,246,111,1,0,1,438,0,0,0,0,0,0,1,0,824,0,5,829,0
281,24,142,85,0,0,0,387,0,0,0,0,0,0,0,0,638,0,2,640,0
282,15,137,125,0,2,0,238,0,0,0,0,0,0,0,1,518,0,4,522,0
283,26,199,120,1,0,2,522,0,0,0,1,1,0,0,0,872,0,8,880,0
284,27,222,115,2,0,2,396,0,0,0,0,0,0,2,1,767,0,5,772,0
285,21,272,88,0,0,0,311,0,1,0,1,0,0,0,0,694,0,8,702,0
286,24,234,127,1,1,1,458,1,1,2,1,4,0,0,1,856,0,0,856,0
287,25,230,127,2,0,1,380,1,0,0,0,0,1,0,0,767,0,2,769,0
288,15,181,100,1,0,2,304,0,0,0,0,0,0,0,0,603,0,0,603,0
289,22,178,132,2,0,1,389,1,0,0,0,2,0,0,0,727,0,0,727,0
290,20,225,91,3,0,0,399,0,0,0,1,1,0,1,1,742,0,0,742,0
291,21,282,69,2,0,0,437,0,0,0,0,1,0,0,0,812,0,2,814,0
292,18,228,80,6,1,2,377,0,1,0,0,2,0,0,0,715,0,2,717,0
293,10,203,64,9,0,5,256,0,1,0,0,0,0,0,0,548,0,2,550,0
294,12,210,90,1,2,1,382,0,1,0,0,1,1,1,0,702,0,3,705,0
295,15,265,86,1,0,1,448,0,1,0,0,0,0,0,1,818,0,4,822,0
296,14,256,94,1,0,3,419,0,0,0,0,1,0,2,2,792,0,2,794,0
297,13,114,86,0,0,0,239,1,0,0,0,0,0,0,1,454,0,3,457,0
298,14,273,69,0,1,2,260,0,0,0,0,0,0,0,0,619,0,0,619,0
299,22,162,73,2,0,0,342,0,0,0,0,0,0,0,0,601,0,2,603,0
300,30,215,92,0,0,0,303,0,0,0,0,0,0,0,0,640,0,2,642,0
301,24,218,107,1,0,0,338,0,0,0,0,1,0,2,0,691,0,1,692,0
302,18,132,87,1,0,2,286,2,0,0,0,0,0,0,3,531,0,2,533,0
303,9,175,85,2,1,8,260,1,0,0,0,0,1,1,0,543,0,1,544,0
304,22,212,104,1,1,3,327,0,0,1,1,0,1,1,1,675,0,3,678,0
305,23,163,101,2,1,0,342,1,0,0,0,1,0,0,0,634,0,1,635,0
306,e 65,65,64,0,0,0,121,0,0,0,1,0,0,0,0,256,0,2,258,0
307,11,234,55,0,0,1,283,1,0,0,0,0,1,0,0,586,0,0,586,0
308,16,182,128,0,1,1,191,0,0,0,0,0,0,1,0,520,0,6,526,0
309,15,99,91,1,0,0,207,1,0,0,1,0,0,0,0,415,0,2,417,0
310,12,207,85,0,2,1,197,0,0,0,0,0,0,0,0,504,0,1,505,0
311,8,196,89,0,3,5,208,1,0,0,0,0,0,0,0,510,0,2,512,0
312,3,172,27,0,1,0,165,0,0,0,0,0,0,0,0,368,0,2,370,0
313,13,285,68,1,0,2,305,0,0,0,0,0,0,1,0,675,0,1,676,0
314,5,123,11,3,0,0,131,0,0,0,0,0,1,0,0,274,0,3,277,0
315,30,230,71,0,2,1,388,0,0,0,1,0,0,0,0,723,0,1,724,0
316,11,101,63,0,1,5,273,0,0,0,0,0,0,0,0,454,0,2,456,0
317,13,261,36,1,0,3,328,0,0,1,0,0,0,0,0,643,0,1,644,0
318,11,119,30,2,1,2,348,1,0,0,0,0,0,0,0,514,0,2,516,0
319,9,145,53,2,1,3,241,0,0,0,0,0,0,0,2,456,0,2,458,0
320,12,120,181,4,1,2,247,1,0,0,0,0,0,0,0,568,0,4,572,0
321,11,135,78,1,0,0,158,0,0,0,0,2,0,0,1,386,0,2,388,0
322,13,190,94,1,0,4,293,1,0,0,0,0,0,0,0,596,0,0,596,0
323,15,151,109,2,0,2,343,1,0,0,0,1,1,1,0,626,0,2,628,0
