Polling Station No,PAUL MANOJ PANDIAN,R PAULRAJ,K R P PRABAKARAN,A UDHAYAKUMAR,A SUBASH CHANDRA BOSE,MADASAMY,VIBIN CHAKKARAVARTHY,U ARAVIND,K ARUNKUMAR,R KOTHERIMOHIDEEN,T MARIKUMAR,JEYANTHI,W JAYSON,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
179,194,81,255,1,0,0,271,0,1,0,0,0,1,804,0,3,807,0
180,219,57,149,0,0,3,128,1,0,1,0,0,1,559,0,2,561,0
181,166,44,252,2,0,0,182,1,0,1,0,2,0,650,0,3,653,0
182,133,67,158,3,0,1,124,0,0,0,0,1,0,487,0,2,489,0
183,173,68,319,2,0,0,220,1,1,0,1,0,0,785,0,3,788,0
184,156,63,203,3,0,2,165,0,0,0,1,0,0,593,0,3,596,0
185,78,19,110,9,0,1,89,0,0,0,1,0,0,307,0,1,308,0
186,210,34,88,0,1,11,98,1,0,0,0,1,1,445,0,1,446,0
187,229,98,260,5,0,2,235,2,0,1,0,2,1,835,0,4,839,0
188,191,65,279,1,0,1,148,0,0,1,0,4,3,693,0,2,695,0
189,174,71,166,1,0,0,111,1,0,0,0,1,0,525,0,0,525,0
190,209,126,255,1,0,1,191,0,0,0,0,1,2,786,0,1,787,0
191,181,96,168,0,0,0,139,0,0,0,1,1,2,588,0,2,590,0
192,175,86,132,0,0,2,119,5,0,0,0,2,0,521,0,0,521,0
193,148,41,180,0,0,1,169,0,0,3,0,0,0,542,0,2,544,0
194,120,69,190,1,0,2,155,0,0,0,0,2,1,540,0,1,541,0
195,260,98,178,1,0,1,236,2,1,0,0,2,0,779,0,2,781,0
196,288,58,159,1,1,1,165,0,0,0,0,4,0,677,0,7,684,0
197,255,97,209,1,0,0,136,0,0,0,0,0,3,701,0,0,701,0
198,260,97,140,2,0,0,175,0,0,0,1,0,1,676,0,2,678,0
199,230,116,261,2,0,0,211,1,0,0,0,1,1,823,0,3,826,0
200,96,31,197,5,0,0,145,0,0,1,0,4,0,479,0,1,480,0
201,188,129,349,2,0,1,207,2,1,0,2,3,1,885,0,1,886,0
202,196,66,243,0,0,1,157,0,0,0,0,2,0,665,0,2,667,0
203,180,63,134,0,0,1,170,1,1,0,1,0,1,552,0,3,555,0
204,71,38,192,2,0,0,125,1,0,1,2,0,0,432,0,0,432,0
205,239,90,226,0,0,1,183,0,0,1,1,0,1,742,0,4,746,0
206,114,18,92,0,0,0,109,0,0,0,0,1,2,336,0,0,336,0
207,167,70,260,2,0,0,134,0,0,1,0,1,0,635,0,5,640,0
208,259,125,335,0,0,0,235,0,0,1,2,2,0,959,0,2,961,0
209,198,79,275,3,1,1,215,2,0,0,1,0,0,775,0,8,783,0
210,143,36,111,2,1,2,124,0,2,0,0,1,0,422,0,2,424,0
211,247,55,170,2,0,0,282,0,2,0,0,2,2,762,0,5,767,0
212,155,59,91,2,0,0,193,1,0,0,0,1,0,502,0,4,506,0
213,331,95,204,3,0,1,262,0,1,0,0,3,1,901,0,8,909,0
214,148,42,196,13,0,0,130,0,0,1,1,5,1,537,0,14,551,0
215,280,98,327,0,0,0,215,1,0,1,1,2,4,929,0,5,934,0
216,287,103,445,3,0,3,224,0,1,0,2,2,1,1071,0,4,1075,0
217,334,21,203,0,0,0,161,0,0,8,1,1,0,729,0,2,731,0
218,388,30,86,2,0,1,188,0,0,4,4,0,0,703,0,3,706,0
219,568,20,6,0,0,1,86,0,0,30,0,0,1,712,0,3,715,0
220,130,52,135,22,0,0,203,1,0,0,0,0,1,544,0,2,546,0
221,156,61,238,2,0,3,238,3,0,0,0,1,1,703,0,2,705,0
222,157,40,288,1,0,2,305,1,3,0,0,1,1,799,0,2,801,0
223,144,47,190,1,0,2,311,1,0,0,2,1,1,700,0,2,702,0
224,139,40,182,0,1,2,207,1,0,0,0,0,0,572,0,2,574,0
225,168,32,293,0,0,0,225,0,1,0,0,1,1,721,0,5,726,0
226,169,31,183,1,0,1,208,1,0,1,0,0,0,595,0,4,599,0
227,176,36,164,0,0,0,134,0,0,1,0,0,0,511,0,0,511,0
228,229,80,159,12,4,2,143,0,0,1,0,1,0,631,0,0,631,0
229,304,14,212,1,0,2,118,0,0,1,0,0,0,652,0,4,656,0
230,338,33,281,0,1,0,164,1,0,0,0,3,0,821,0,6,827,0
231,477,7,12,0,0,1,84,0,2,0,1,0,0,584,0,1,585,0
232,563,10,8,0,0,0,63,1,0,3,0,0,0,648,0,4,652,0
233,246,92,204,1,2,0,158,1,0,1,1,2,1,709,0,5,714,0
234,355,8,8,0,0,0,80,0,0,0,0,0,0,451,0,2,453,0
235,507,36,49,3,0,0,128,1,1,8,0,1,0,734,0,3,737,0
236,183,15,127,44,1,0,139,0,0,0,0,0,0,509,0,5,514,0
237,152,56,162,3,0,0,68,2,0,0,0,0,0,443,0,1,444,0
238,294,63,235,5,1,15,215,0,1,0,0,4,0,833,0,3,836,0
239,466,22,20,0,0,2,83,0,0,8,0,1,3,605,0,7,612,0
240,330,10,21,0,0,0,48,1,0,3,0,0,0,413,0,5,418,0
241,392,48,122,1,0,0,153,0,0,2,0,1,1,720,0,4,724,0
242,424,47,108,0,0,1,261,1,0,0,0,1,1,844,0,6,850,0
243,147,66,196,0,0,16,137,0,0,0,1,0,0,563,0,1,564,0
244,125,46,127,0,0,0,64,0,0,0,0,0,0,362,0,0,362,0
245,91,31,94,9,0,2,97,0,0,0,0,0,0,324,0,1,325,0
246,231,73,150,0,0,0,156,0,0,0,1,0,0,611,0,2,613,0
247,265,83,143,1,0,0,154,0,0,0,0,0,0,646,0,1,647,0
248,266,43,135,0,0,0,170,0,0,0,0,1,0,615,0,4,619,0
249,143,46,135,0,0,0,79,0,0,0,0,0,0,403,0,0,403,0
250,292,67,231,4,0,0,179,0,1,0,0,1,1,776,0,4,780,0
251,225,45,215,3,1,15,175,2,1,0,0,2,0,684,0,4,688,0
252,207,36,276,0,0,3,237,0,0,0,0,2,0,761,0,8,769,0
253,202,31,289,1,3,0,194,1,0,0,1,2,0,724,0,4,728,0
254,385,65,139,6,2,2,223,0,0,0,0,3,1,826,0,6,832,0
255,234,33,143,2,1,1,196,1,0,0,0,2,0,613,0,1,614,0
256,179,99,131,1,2,2,110,0,0,0,0,0,0,524,0,3,527,0
257,170,28,184,1,0,2,188,0,0,6,0,2,0,581,0,3,584,0
258,193,28,102,1,0,0,181,0,0,0,0,3,0,508,0,5,513,0
259,245,25,112,1,1,0,154,1,0,0,0,0,1,540,0,1,541,0
260,210,20,123,0,0,0,180,0,0,8,0,0,1,542,0,4,546,0
261,232,42,282,1,1,0,357,0,0,0,1,1,0,917,0,9,926,0
262,125,29,212,0,1,1,162,1,2,0,1,0,0,534,0,2,536,0
263,217,46,194,73,2,0,147,2,0,0,1,2,0,684,0,3,687,0
264,106,22,71,6,0,1,124,0,0,0,0,0,0,330,0,1,331,0
265,97,45,67,1,1,0,114,0,0,0,0,4,0,329,0,1,330,0
266,282,38,207,5,0,24,244,1,0,0,1,2,1,805,0,1,806,0
267,119,35,139,1,1,1,113,0,0,0,0,0,0,409,0,1,410,0
268,213,57,151,1,1,2,152,0,1,0,0,0,0,578,0,5,583,0
269,395,46,229,0,0,12,258,0,0,0,0,1,0,941,0,5,946,0
270,622,20,99,15,0,3,147,2,0,0,1,2,0,911,0,0,911,0
271,365,5,3,0,1,0,65,0,0,1,0,0,0,440,0,0,440,0
272,214,48,152,11,0,6,138,0,1,1,1,2,1,575,0,0,575,0
273,198,34,157,14,3,4,167,0,0,0,1,0,1,579,0,2,581,0
274,679,21,34,5,0,1,144,0,0,2,1,0,0,887,0,4,891,0
275,583,12,5,0,0,0,90,1,0,2,0,0,0,693,0,0,693,0
276,297,48,218,2,2,33,218,2,2,0,0,2,0,824,0,3,827,0
277,125,30,182,2,0,0,182,0,0,0,0,0,0,521,0,1,522,0
278,178,24,187,0,0,6,196,0,0,0,1,1,0,593,0,3,596,0
279,215,65,210,14,3,1,233,0,1,0,1,2,1,746,0,1,747,0
280,206,87,289,4,22,0,156,0,0,0,0,0,0,764,0,4,768,0
281,160,23,207,1,1,5,181,0,0,0,3,1,0,582,0,1,583,0
282,227,52,203,2,0,7,176,0,0,0,1,6,0,674,0,3,677,0
283,255,70,266,29,1,1,190,0,0,0,0,3,0,815,0,6,821,0
284,160,36,185,2,3,2,202,0,1,0,0,1,0,592,0,2,594,0
285,381,107,183,6,0,0,184,0,0,0,0,2,0,863,0,3,866,0
286,310,61,178,12,1,0,141,1,0,0,0,2,0,706,0,2,708,0
287,134,21,190,4,0,11,135,0,0,0,1,1,1,498,0,0,498,0
288,139,29,150,11,1,28,105,1,0,0,0,3,0,467,0,5,472,0
289,49,12,92,0,1,0,63,0,1,0,0,0,0,218,0,1,219,0
290,301,73,300,17,1,9,224,2,0,1,1,5,3,937,0,8,945,0
291,181,67,220,4,2,20,128,0,0,0,0,0,0,622,0,3,625,0
292,171,23,255,0,0,8,162,1,1,0,0,1,1,623,0,3,626,0
293,193,29,212,2,0,18,162,0,0,0,0,2,0,618,0,5,623,0
294,327,166,280,24,3,0,274,0,0,0,1,1,0,1076,0,1,1077,0
295,218,142,352,0,1,0,195,0,1,0,2,4,0,915,0,4,919,0
296,265,70,263,18,1,0,164,1,0,0,0,0,0,782,0,1,783,0
297,236,41,225,4,0,26,221,0,2,1,1,5,2,764,0,5,769,0
298,150,39,237,2,0,6,195,0,0,2,1,0,1,633,0,0,633,0
299,190,58,267,1,2,39,263,1,3,0,0,3,0,827,0,7,834,0
300,203,31,230,6,1,17,77,2,2,0,0,2,0,571,0,5,576,0
301,188,69,105,1,0,0,178,0,1,0,1,1,1,545,0,0,545,0
302,185,58,60,9,0,1,184,0,0,0,0,1,0,498,0,0,498,0
303,208,82,244,14,1,1,410,0,1,1,0,2,0,964,0,10,974,0
304,113,28,128,27,0,11,122,1,0,0,0,0,0,430,0,3,433,0
305,118,64,139,1,0,1,105,0,0,0,0,0,0,428,0,2,430,0
306,185,96,205,1,0,0,214,4,0,0,0,0,2,707,0,1,708,0
307,152,119,118,1,0,0,124,1,0,1,0,1,2,519,0,1,520,0
308,118,75,238,3,0,0,245,0,0,0,0,1,0,680,0,4,684,0
309,223,77,224,5,1,7,350,0,1,0,2,1,1,892,0,6,898,0
310,229,95,162,9,1,1,283,0,0,2,1,0,0,783,0,1,784,0
311,149,65,150,0,0,1,230,1,0,0,0,0,0,596,0,2,598,0
312,201,67,205,2,0,1,304,1,1,0,0,1,0,783,0,7,790,0
313,123,43,80,5,0,0,174,0,0,0,0,0,2,427,0,1,428,0
314,130,34,83,0,0,1,186,0,1,1,0,0,0,436,0,6,442,0
315,154,64,218,1,0,1,267,1,0,1,0,7,0,714,0,6,720,0
316,209,70,146,1,0,2,262,0,0,1,0,1,0,692,0,8,700,0
317,214,63,130,5,2,0,241,0,0,0,1,0,1,657,0,4,661,0
318,157,57,87,12,1,0,134,0,0,0,1,0,2,451,0,1,452,0
319,175,46,159,1,0,0,210,0,0,0,0,3,0,594,0,3,597,0
320,179,72,176,6,0,0,280,0,0,0,0,2,0,715,0,4,719,0
321,302,117,108,1,0,1,230,0,1,0,0,1,0,761,0,1,762,0
322,209,112,102,0,0,0,261,0,0,1,0,0,0,685,0,1,686,0
323,228,114,73,1,1,2,279,0,0,1,0,1,0,700,0,0,700,0
324,251,85,158,37,0,0,278,1,1,0,0,0,0,811,0,4,815,0
325,183,63,226,14,1,2,280,0,0,0,1,0,1,771,0,0,771,0
326,106,27,165,2,0,5,126,0,1,0,0,0,0,432,0,1,433,0
327,152,26,148,1,0,6,184,0,0,0,0,2,1,520,0,2,522,0
328,164,40,172,1,1,10,215,0,0,0,0,2,1,606,0,6,612,0
329,176,41,176,63,0,3,150,1,0,0,0,0,0,610,0,2,612,0
330,110,48,73,11,1,1,60,0,0,0,1,1,0,306,0,0,306,0
331,305,96,233,1,0,1,367,0,0,0,0,1,0,1004,0,1,1005,0
332,201,117,124,0,0,1,244,0,1,0,0,0,0,688,0,2,690,0
